,https://roic.ai/company/PFSW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
38,PP&E,- -,- -,2700000,21555000,- -,11695000,9589000,14264000,13040000,12884000,11918000,12106000,10314000,9124000,14945000,27917000,27190000,26604000,24093000,30264000,24178000,21496000,54839000,19178000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,15362000,15362000,3602000,3602000,- -,- -,- -,- -,8366000,39829000,46210000,45698000,45185000,45393000,45615000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6647000,5824000,961000,805000,- -,- -,- -,- -,2170000,8810000,6864000,3371000,1803000,1135000,665000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22009000,21186000,4563000,4407000,- -,- -,- -,- -,10536000,48639000,53074000,49069000,46988000,46528000,46280000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,12300000,528000,- -,3379000,1181000,1803000,1637000,848000,911000,1188000,2555000,3329000,3127000,3286000,2883000,2556000,2174000,2454000,3861000,3501000,3772000,- -
45,Total Non-Current Assets,- -,- -,15000000,22083000,- -,15074000,10770000,16067000,14677000,35741000,34015000,17857000,17276000,12453000,18072000,31203000,30073000,39696000,74906000,85792000,77108000,71985000,105139000,65458000
46,Other Assets,- -,20911000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20911000,69100000,64840000,- -,107026000,108359000,130327000,131726000,164152000,158173000,144521000,127769000,130230000,136372000,133471000,132036000,140746000,191290000,211336000,185787000,177073000,203608000,174027000
48,Accounts Payable,- -,- -,38300000,6277000,- -,7317000,11996000,61583000,60053000,61972000,56975000,61988000,53642000,55692000,48544000,40493000,34096000,38842000,51170000,59752000,45070000,47580000,44640000,35648000
49,Short-Term Debt,- -,- -,- -,274000,- -,60863000,57085000,19098000,21626000,23802000,22238000,22251000,19179000,18320000,23939000,16660000,8231000,6850000,3153000,7300000,9460000,2610000,2971000,9487000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,1707000,- -,- -,- -,- -,- -,- -,5164000,5254000,6766000,6648000,8181000,9098000,7390000,7156000,7405000,7328000,6058000,5115000
52,Other Current Liabilities,- -,- -,1100000,8232000,- -,6155000,7101000,10971000,12011000,21934000,22438000,21054000,13180000,15870000,18657000,23097000,25045000,28473000,42242000,32765000,33041000,24623000,30529000,34295000
53,Total Current Liabilities,- -,- -,39400000,14783000,- -,76042000,76182000,91652000,93690000,107708000,101651000,105293000,91165000,95136000,97906000,86898000,75553000,83263000,103955000,106973000,94976000,82141000,84198000,84545000
54,Long-Term Debt,- -,- -,29000000,2407000,- -,3094000,2762000,7232000,6289000,6076000,6378000,4951000,3348000,2136000,3583000,5400000,2876000,4062000,32238000,52399000,37866000,39348000,34829000,3414000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7562000,7491000,5355000,4499000,4127000,4034000,1927000,1398000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
