,https://roic.ai/company/HUBG,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,63639000,96360000,111928000,132281000,1365980000,1305382000,1324519000,1335319000,1386208000,1477119000,1532293000,1567428000,1765146000,1455439000,1763855000,2657075000,3011748000,3257247000,3465025000,3408565000,3448956000,3938346000,3558674000,3515697000,3389818000,3993926000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1153000,146000,119000,148000,134000,82000,32000,83000,393000,416000,1359000,2103000,403000,5000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000,91000,54000,638000,1207000,1246000,1785000,2971000,3625000,6754000,9611000,10994000,9746000,7302000
14,Depreciation and Amortization,2786000,5688000,7656000,10082000,12616000,16989000,11476000,10797000,11828000,10025000,8170000,7195000,7369000,8199000,8572000,16340000,21575000,21302000,29380000,37042000,44712000,62173000,83910000,116887000,123679000,130629000
15,EBITDA,14124000,21562000,22861000,28466000,20441000,17740000,14015000,27692000,41826000,65212000,88659000,100423000,103797000,64175000,78719000,111275000,134039000,135103000,113032000,151595000,169758000,159864000,324325000,271751000,229525000,368841000
16,EBITDA ratio,0.1543,0.1660,0.1653,0.1753,0.0148,0.0134,0.0105,0.0204,0.0293,0.0426,0.0551,0.0606,0.0558,0.0425,0.0429,0.0404,0.0429,0.0400,0.0317,0.0430,0.0475,0.0396,0.0880,0.0741,0.0657,0.0871
17,Operating Income,27925000,33495000,26406000,30134000,18399000,10548000,11141000,24295000,40598000,54380000,77236000,90740000,95462000,55531000,69882000,94459000,112360000,113747000,83877000,117030000,123834000,96551000,124919000,152420000,105826000,238457000
18,Operating Income ratio,0.3050,0.2579,0.1909,0.1855,0.0133,0.0080,0.0083,0.0179,0.0285,0.0355,0.0480,0.0547,0.0513,0.0368,0.0381,0.0343,0.0360,0.0337,0.0235,0.0332,0.0347,0.0239,0.0339,0.0416,0.0303,0.0563
19,Total Other Income Expenses (Gains),-16587000,-17621000,-11201000,-11750000,-10574000,-9797000,-8602000,-7400000,-10600000,807000,2272000,2488000,864000,354000,211000,-162000,-1103000,-1192000,-2010000,-5448000,-2413000,-5614000,-8194000,-8550000,-9726000,-7547000
20,Income Before Tax,11338000,15874000,15205000,18384000,7825000,751000,2539000,16895000,29998000,55187000,79508000,93228000,96326000,55885000,70093000,94297000,111257000,112555000,81867000,111582000,121421000,90937000,116725000,143870000,96100000,230910000
21,Income Before Tax Ratio,0.1238,0.1222,0.1099,0.1132,0.0057,0.0006,0.0019,0.0124,0.0210,0.0360,0.0494,0.0562,0.0518,0.0370,0.0382,0.0343,0.0356,0.0334,0.0229,0.0316,0.0340,0.0225,0.0317,0.0392,0.0275,0.0546
22,Income Tax expense (Gain),4294000,6349000,6297000,7538000,3208000,308000,1041000,8465000,12719000,22241000,31803000,33429000,37081000,21620000,26635000,36119000,43304000,43445000,30309000,40633000,46616000,-44216000,29064000,36699000,22541000,59436000
23,Net Income,7044000,9525000,8908000,10846000,4617000,443000,1498000,8430000,17279000,32946000,48686000,59799000,59245000,34265000,43458000,58178000,67953000,69110000,51558000,70949000,74805000,135153000,201740000,107171000,73559000,171474000
24,Net Income ratio,0.0769,0.0734,0.0644,0.0668,0.0033,0.0003,0.0011,0.0062,0.0121,0.0215,0.0302,0.0361,0.0318,0.0227,0.0237,0.0211,0.0218,0.0205,0.0144,0.0201,0.0209,0.0335,0.0548,0.0292,0.0210,0.0405
25,EPS,0.34,0.37,0.29,0.35,0.15,0.01,0.05,0.27,0.49,0.82,1.22,1.55,1.59,0.92,1.17,1.58,1.83,1.88,1.41,1.98,2.21,4.07,6.04,3.22,2.22,5.13
26,EPS Diluted,0.34,0.36,0.29,0.35,0.15,0.01,0.05,0.27,0.46,0.80,1.19,1.53,1.58,0.91,1.16,1.57,1.83,1.87,1.40,1.97,2.20,4.05,6.01,3.20,2.19,5.06
27,Weighted Average Shares Outstanding,20232000,25743243,30717241,30768794,30780000,29533333,30836000,30848000,35200000,39860000,39958000,38660000,37174000,37367000,37223000,36913000,37053000,36829000,36590000,35876000,33841000,33220000,33393000,33284000,33180000,33433000
28,Weighted Average Shares Outstanding Diluted,20434783,26095890,30984348,30988571,30780000,29533333,30856000,31460000,37556000,41392000,40823000,39128000,37484000,37525000,37385000,37063000,37185000,36982000,36732000,35968000,33949000,33350000,33560000,33480000,33543000,33873000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940942/000094094206000053/hubgroup10k2005.htm,https://www.sec.gov/Archives/edgar/data/940942/000094094207000008/hub10k2006.htm,https://www.sec.gov/Archives/edgar/data/940942/000094094208000007/hubgroup10k2007.htm,- -,https://www.sec.gov/Archives/edgar/data/940942/000094094210000004/0000940942-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312511045282/d10k.htm,https://www.sec.gov/Archives/edgar/data/940942/000119312512078156/0001193125-12-078156-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312513074185/0001193125-13-074185-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312514065229/d644558d10k.htm,https://www.sec.gov/Archives/edgar/data/940942/000156459015001071/hubg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/940942/000156459016013549/0001564590-16-013549-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459017002435/0001564590-17-002435-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459018003839/0001564590-18-003839-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459019005778/0001564590-19-005778-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459020007787/0001564590-20-007787-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459021009409/0001564590-21-009409-index.htm,https://www.sec.gov/Archives/edgar/data/940942/000095017022002100/0000950170-22-002100-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13893000,12056000,15178000,1865000,- -,- -,- -,- -,16806000,36133000,43491000,38002000,85799000,126863000,115144000,49091000,70760000,68964000,109769000,207749000,127404000,28557000,61435000,168729000,124506000,159784000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23353000,- -
33,Cash and Short-Term Investments,13893000,12056000,15178000,1865000,- -,- -,- -,- -,16806000,37520000,43491000,38002000,85799000,126863000,115144000,49091000,70760000,68964000,109769000,207749000,127404000,28557000,61435000,168729000,147859000,159784000
34,Net Receivables,114125000,127673000,148104000,190221000,195765000,149765000,140451000,136266000,149075000,167467000,166653000,170772000,155680000,157249000,203837000,350415000,372862000,398097000,426689000,390331000,477939000,589716000,499109000,446776000,520240000,704534000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3532000,3183000,6036000,2771000,11542000,14987000,7953000,9254000,9413000,10047000,11085000,9448000,9899000,10268000,10179000,16286000,15723000,18973000,34108000,26530000,16947000,37785000,28149000,24716000,4736000,29970000
37,Total Current Assets,131550000,142912000,169318000,194857000,207307000,164752000,148404000,145520000,175294000,215034000,221229000,218222000,251378000,294380000,329160000,415792000,459345000,486034000,570566000,624610000,622290000,656058000,588693000,640221000,672835000,894288000
38,PP&E,14058000,19616000,19111000,24244000,43854000,39098000,34209000,27855000,19487000,13524000,26974000,29662000,32713000,28510000,47806000,124587000,157584000,260400000,338327000,374847000,438594000,562150000,681859000,704578000,718231000,726739000
39,Goodwill,42255000,102151000,115858000,219648000,213907000,208166000,215175000,215175000,215175000,215175000,225448000,230448000,233110000,232892000,233029000,263470000,263251000,263032000,262813000,262594000,262376000,348661000,483584000,484459000,508555000,576913000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7502000,7056000,6610000,6164000,5856000,21667000,20068000,15729000,14434000,13139000,11844000,74348000,134788000,120967000,163953000,196672000
41,Intangible Assets,42255000,102151000,115858000,219648000,213907000,208166000,215175000,215175000,215175000,215175000,232950000,237504000,239720000,239056000,238885000,285137000,283319000,278761000,277247000,275733000,274220000,423009000,618372000,605426000,672508000,773585000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,3000000,5000000,6118000,9583000,11421000,14323000,17218000,20754000,21944000,21108000,20877000,24181000,19236000,22601000,23000000,- -
43,Tax Assets,11357000,2479000,- -,898000,- -,- -,- -,- -,- -,- -,- -,47148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2005000,668000,504000,1962000,2177000,4008000,1474000,1017000,889000,-315000,395000,-45569000,1747000,1819000,2135000,2845000,2387000,1994000,4043000,4848000,4278000,5543000,16738000,18748000,18822000,42682000
45,Total Non-Current Assets,69675000,124914000,135473000,246752000,259938000,251272000,250858000,244047000,235551000,229384000,263319000,273745000,280298000,278968000,300247000,426892000,460508000,561909000,641561000,676536000,737969000,1014883000,1336205000,1351353000,1432561000,1543006000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,201225000,267826000,304791000,441609000,467245000,416024000,399262000,389567000,410845000,444418000,484548000,491967000,531676000,573348000,629407000,842684000,919853000,1047943000,1212127000,1301146000,1360259000,1670941000,1924898000,1991574000,2105396000,2437294000
48,Accounts Payable,103028000,115003000,131422000,152838000,175272000,136863000,128206000,120543000,117479000,121447000,124515000,129703000,111171000,118321000,131142000,221982000,206497000,232350000,256345000,230432000,266555000,338933000,272859000,257247000,285320000,424923000
49,Short-Term Debt,3164000,3428000,3161000,6195000,12341000,8054000,8061000,8017000,- -,- -,- -,- -,- -,- -,- -,2237000,2120000,4184000,22123000,35017000,47860000,80043000,104558000,106306000,105448000,109888000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9481000,9272000,14422000,14320000,19217000,25215000,19246000,26591000,34642000,42442000,49911000,54509000,36376000,27211000,36276000,46683000,68768000,84791000,81048000,93248000,103306000,100567000,149341000,143811000,138337000,152258000
53,Total Current Liabilities,115673000,127703000,149005000,173353000,206830000,170132000,155513000,155151000,152121000,163889000,174426000,184212000,147547000,145532000,167418000,270902000,277385000,321325000,359516000,358697000,417721000,519543000,526758000,507364000,529105000,687069000
54,Long-Term Debt,28714000,22873000,29589000,131414000,109089000,96059000,94027000,67017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6475000,72460000,100895000,115529000,214808000,229071000,186934000,176797000,212395000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,556000,4959000,15202000,17380000,15382000,24364000,31788000,38454000,43587000,47148000,59410000,61973000,71739000,91764000,100431000,117835000,140501000,160182000,164659000,121095000,153877000,155304000,162325000,155944000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7691000,9708000,9535000,12002000,13950000,41153000,41140000,40781000,38866000,33532000,34171000,45623000,34358000,66693000,79246000,41572000
58,Total Non-Current Liabilities,28714000,22873000,30145000,136373000,124291000,113439000,109409000,91381000,31788000,38454000,51278000,56856000,68945000,73975000,85689000,132917000,141571000,165091000,251827000,294609000,314359000,381526000,417306000,408931000,418368000,409911000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25673000,23219000,20890000,18441000,15907000,13273000,10473000,7584000,41953000,48222000,47531000
61,Total Liabilities,144387000,150576000,179150000,309726000,331121000,283571000,264922000,246532000,183909000,202343000,225704000,241068000,216492000,219507000,253107000,403819000,418956000,486416000,611343000,653306000,732080000,901069000,944064000,916295000,947473000,1096980000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,59000,77000,77000,77000,70000,70000,70000,74000,103000,210000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000,419000
64,Retained Earnings,6440000,15965000,24873000,35719000,40336000,37404000,38902000,47332000,64611000,97557000,146243000,206042000,265287000,299552000,343010000,401188000,469141000,538251000,589809000,660758000,735563000,870716000,1072456000,1179601000,1253160000,1424634000
65,Other Comprehensive Income/Loss,-2700000,-6100000,-9000000,-12200000,-16023000,-23690000,- -,-32043000,-42783000,-49470000,-49399000,-54166000,-15458000,-15467000,6000,4000,1000,-85000,-77000,-178000,-273000,-194000,-182000,-186000,-191000,-207000
66,Other Total Stockholders Equity,53039000,107308000,109691000,108287000,111741000,118669000,95368000,127672000,205005000,193778000,161581000,98604000,64936000,69337000,32865000,37254000,31336000,22942000,10633000,-13159000,-107530000,-101069000,-91859000,-104555000,-95465000,-84532000
67,Total Stockholders Equity,56838000,117250000,125641000,131883000,136124000,132453000,134340000,143035000,226936000,242075000,258844000,250899000,315184000,353841000,376300000,438865000,500897000,561527000,600784000,647840000,628179000,769872000,980834000,1075279000,1157923000,1340314000
68,Total Liabilities And Stockholders Equity,201225000,267826000,304791000,441609000,467245000,416024000,399262000,389567000,410845000,444418000,484548000,491967000,531676000,573348000,629407000,842684000,919853000,1047943000,1212127000,1301146000,1360259000,1670941000,1924898000,1991574000,2105396000,2437294000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,201225000,267826000,304791000,441609000,467245000,416024000,399262000,389567000,410845000,444418000,484548000,491967000,531676000,573348000,629407000,842684000,919853000,1047943000,1212127000,1301146000,1360259000,1670941000,1924898000,1991574000,2105396000,2437294000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940942/000094094206000053/hubgroup10k2005.htm,https://www.sec.gov/Archives/edgar/data/940942/000094094207000008/hub10k2006.htm,https://www.sec.gov/Archives/edgar/data/940942/000094094208000007/hubgroup10k2007.htm,- -,https://www.sec.gov/Archives/edgar/data/940942/000094094210000004/0000940942-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312511045282/d10k.htm,https://www.sec.gov/Archives/edgar/data/940942/000119312512078156/0001193125-12-078156-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312513074185/0001193125-13-074185-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312514065229/d644558d10k.htm,https://www.sec.gov/Archives/edgar/data/940942/000156459015001071/hubg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/940942/000156459016013549/0001564590-16-013549-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459017002435/0001564590-17-002435-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459018003839/0001564590-18-003839-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459019005778/0001564590-19-005778-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459020007787/0001564590-20-007787-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459021009409/0001564590-21-009409-index.htm,https://www.sec.gov/Archives/edgar/data/940942/000095017022002100/0000950170-22-002100-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7044000,9525000,8908000,10846000,4617000,443000,1498000,8430000,17279000,32946000,48686000,59799000,59245000,34265000,43458000,58178000,67953000,69110000,51558000,70949000,74805000,135153000,201740000,107171000,73559000,171474000
74,Depreciation and Amortization,2786000,5688000,7656000,10082000,12616000,16989000,11476000,10797000,11828000,10025000,8170000,7195000,7369000,8199000,8572000,16340000,21575000,21302000,29380000,37042000,44712000,62173000,83910000,116887000,123679000,130629000
75,Deferred Income Tax,2722000,6349000,6008000,1754000,3208000,308000,5928000,7672000,12752000,20816000,690000,3523000,9294000,5519000,9545000,18821000,8786000,16438000,24501000,16378000,13801000,-41351000,39499000,1821000,7463000,-3992000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4360000,4394000,3576000,4788000,6539000,7667000,8258000,7833000,8479000,9873000,13480000,16286000,17053000,20056000
77,Change in Working Capital,-9530000,-668000,5104000,1191000,-21027000,-5857000,-1729000,-2522000,32804000,27972000,-4342000,-12793000,69821000,45017000,12894000,-16852000,37070000,-17251000,46341000,54863000,-61344000,-68054000,-74580000,70922000,10873000,-46159000
78,Accounts Receivable,-30000000,-13700000,-12000000,-42100000,-5544000,43204000,9314000,4185000,-13849000,-18392000,393000,-4119000,15092000,-1569000,-46582000,-45047000,-22429000,-25420000,-28621000,36373000,-87629000,-84775000,-31475000,32732000,-47219000,-115568000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,20900000,11800000,8900000,21400000,22434000,-43676000,-8657000,-7663000,-2866000,3968000,4754000,4223000,-18532000,7150000,12822000,23095000,7438000,27635000,20370000,-25736000,35709000,59037000,5521000,-14933000,5594000,78448000
81,Other Working Capital,15877000,15209000,20313000,21504000,477000,-5380000,-7109000,-9631000,23173000,51145000,46803000,34010000,103831000,148848000,161742000,144890000,181960000,164709000,211050000,265913000,204569000,136515000,61935000,132857000,143730000,-903000
82,Other Non-Cash Items,16307000,18561000,1012000,-12072000,41936000,15751000,-4610000,7121000,-38812000,-40134000,23383000,22856000,-88582000,-52166000,-40391000,-6409000,-49006000,20151000,-61497000,-15368000,22020000,27426000,-53210000,-58578000,-57673000,-19173000
83,Cash Provided by Operating Activities,19329000,39455000,28688000,11801000,41350000,27634000,12563000,31498000,35851000,51625000,76587000,80580000,61507000,45228000,37654000,74866000,92917000,117417000,98541000,171697000,102473000,125220000,210839000,254509000,174954000,252835000
84,CAPEX,-6815000,-8488000,-3975000,-11234000,-26613000,-10319000,-6538000,-4384000,-3166000,-4370000,-8372000,-10197000,-10732000,-4246000,-25616000,-55010000,-56882000,-110917000,-119171000,-83042000,-107409000,-74541000,-199791000,-94847000,-115306000,-132952000
85,Acquisitions Net,-2513000,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,-39942000,-5000000,-5000000,- -,-170000,-85182000,-550000,- -,- -,- -,- -,-165933000,-248656000,-734000,-84845000,-122360000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-37459000,-61119000,-10719000,-108710000,- -,- -,- -,- -,- -,579000,12597000,725000,1342000,84000,988000,410000,1071000,1837000,612000,2309000,2061000,5327000,238961000,29464000,3289000,45177000
89,Cash Used for Investing Activites,-46787000,-69607000,-14694000,-119944000,-26613000,-10319000,-10538000,-4384000,-3166000,-3791000,-35717000,-14472000,-14390000,-4162000,-24798000,-139782000,-56361000,-109080000,-118559000,-80733000,-105348000,-235147000,-209486000,-66117000,-196862000,-210135000
90,Debt Repayment,-7271000,-6409000,-28843000,-50930000,-16206000,-17317000,-14025000,-27054000,-69034000,- -,- -,- -,- -,- -,- -,-729000,-2454000,-3203000,-9700000,-25751000,-37401000,-82669000,-136325000,-108607000,-201807000,-110290000
91,Common Stock Issued,52945000,54813000,303000,605000,31000,2000,- -,232000,63265000,4738000,1963000,760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2000,- -,- -,- -,- -,- -,- -,-292000,-4110000,-33245000,-49622000,-76309000,-2630000,-1101000,-25070000,-1523000,-13020000,-13791000,-18024000,-28823000,-100000000,- -,- -,-24998000,- -,- -
93,Dividends Paid,-6918000,-20921000,-10939000,-10484000,-454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2595000,832000,28607000,155639000,27000,- -,12000000,- -,-6000000,- -,12337000,3952000,3310000,1108000,480000,1120000,592000,6863000,88541000,61721000,60038000,93735000,167876000,52510000,179512000,102878000
95,Cash Used/Provided by Financing Activities,41349000,28315000,-10872000,94830000,-16602000,-17315000,-2025000,-27114000,-15879000,-28507000,-35322000,-71597000,680000,7000,-24590000,-1132000,-14882000,-10131000,60817000,7147000,-77363000,11066000,31551000,-81095000,-22295000,-7412000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000,15000,-5000,-5000,-2000,6000,-131000,-107000,14000,-26000,-3000,-20000,-10000
97,Net Change In Cash,13891000,-1837000,3122000,-13313000,-16602000,-17315000,-2025000,-27114000,-15879000,19327000,7358000,-5489000,47797000,41064000,-11719000,-66053000,21669000,-1796000,40805000,97980000,-80345000,-98847000,32878000,107294000,-44223000,35278000
98,Cash at the End of Period,13893000,12056000,15178000,1865000,- -,- -,- -,- -,16806000,36133000,43491000,38002000,85799000,126863000,115144000,49091000,70760000,68964000,109769000,207749000,127404000,28557000,61435000,168729000,124506000,159784000
99,Cash at the Beginning of Period,2000,13893000,12056000,15178000,1865000,- -,- -,- -,- -,16806000,36133000,43491000,38002000,85799000,126863000,115144000,49091000,70760000,68964000,109769000,207749000,127404000,28557000,61435000,168729000,124506000
100,Free Cash Flow,12514000,30967000,24713000,567000,14737000,17315000,6025000,27114000,32685000,47255000,68215000,70383000,50775000,40982000,12038000,19856000,36035000,6500000,-20630000,88655000,-4936000,50679000,11048000,159662000,59648000,119883000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/940942/000094094206000053/hubgroup10k2005.htm,https://www.sec.gov/Archives/edgar/data/940942/000094094207000008/hub10k2006.htm,https://www.sec.gov/Archives/edgar/data/940942/000094094208000007/hubgroup10k2007.htm,- -,https://www.sec.gov/Archives/edgar/data/940942/000094094210000004/0000940942-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312511045282/d10k.htm,https://www.sec.gov/Archives/edgar/data/940942/000119312512078156/0001193125-12-078156-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312513074185/0001193125-13-074185-index.html,https://www.sec.gov/Archives/edgar/data/940942/000119312514065229/d644558d10k.htm,https://www.sec.gov/Archives/edgar/data/940942/000156459015001071/hubg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/940942/000156459016013549/0001564590-16-013549-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459017002435/0001564590-17-002435-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459018003839/0001564590-18-003839-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459019005778/0001564590-19-005778-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459020007787/0001564590-20-007787-index.html,https://www.sec.gov/Archives/edgar/data/940942/000156459021009409/0001564590-21-009409-index.htm,https://www.sec.gov/Archives/edgar/data/940942/000095017022002100/0000950170-22-002100-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
