,https://roic.ai/company/DLR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,61090000,88442000,137384000,149350000,157108000,189399000,191085000,203816000,241044000,258642000,321529000,353057000,333021000,298204000
14,Depreciation and Amortization,7659000,9480000,18254000,33750000,52795000,81280000,162591000,190012000,255586000,302488000,316064000,397592000,456204000,464694000,518716000,594996000,770275000,809472000,1366379000,1486632000
15,EBITDA,7598000,26122000,22811000,49851000,84187000,121872000,291342000,367154000,497115000,608061000,686153000,902771000,852710000,971650000,1196332000,1109798000,1425134000,1754285000,2093845000,3566894000
16,EBITDA ratio,0.2979,0.4141,0.2129,0.2387,0.2986,0.3083,0.5524,0.5763,0.5744,0.5722,0.5364,0.6091,0.5275,0.5510,0.5585,0.4515,0.4678,0.5466,0.5364,0.8056
17,Operating Income,5327000,26882000,18780000,63479000,77554000,86889000,127344000,177789000,242306000,304310000,366078000,381812000,258666000,401911000,497286000,451295000,549787000,594215000,557526000,694009000
18,Operating Income ratio,0.2089,0.4261,0.1753,0.3040,0.2751,0.2198,0.2414,0.2790,0.2800,0.2864,0.2862,0.2576,0.1600,0.2279,0.2321,0.1836,0.1805,0.1852,0.1428,0.1567
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-877000,449000,-56797000,-85517000,-135043000,-142226000,-147384000,-60071000,-50013000,-93869000,-55049000,-187127000,-206588000,17001000,-156749000,1126202000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,70547000,92272000,107263000,162084000,218694000,321741000,208653000,308042000,442237000,264168000,343199000,611216000,400777000,1820211000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.1338,0.1448,0.1239,0.1525,0.1710,0.2171,0.1291,0.1747,0.2064,0.1075,0.1127,0.1905,0.1027,0.4111
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,1038000,1851000,-42000,2647000,1292000,5238000,6451000,10385000,7901000,2084000,11995000,38047000,72799000
23,Net Income,-61000,16642000,4557000,16101000,31392000,40592000,67661000,87662000,102294000,156265000,210334000,314488000,200183000,296689000,426187000,248259000,331246000,579761000,356398000,1709259000
24,Net Income ratio,-0.0024,0.2638,0.0425,0.0771,0.1114,0.1027,0.1283,0.1376,0.1182,0.1470,0.1644,0.2122,0.1238,0.1683,0.1989,0.1010,0.1087,0.1807,0.0913,0.3860
25,EPS,-0.00,0.83,0.21,0.25,0.49,0.35,0.42,0.62,0.69,1.33,1.48,2.12,1.00,1.57,2.21,0.99,1.21,2.37,1.01,6.17
26,EPS Diluted,-0.00,0.83,0.21,0.25,0.47,0.34,0.41,0.61,0.68,1.32,1.48,2.12,1.00,1.56,2.20,0.99,1.21,2.35,1.00,6.16
27,Weighted Average Shares Outstanding,20000000,20000000,20000000,23986288,36134983,60527625,68829267,75950370,84275498,98405375,115678062,127941134,132635894,138247606,149953662,174059386,206035408,208325823,260098978,283105966
28,Weighted Average Shares Outstanding Diluted,20000000,20000000,20000000,24221732,37442192,62572937,70435760,77020890,86013471,99169749,116062510,128127641,132852966,138865421,150679688,174895098,206673471,209481231,262522508,283799538
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1297996/000119312505067198/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312506056430/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312507044416/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312508043850/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312509042658/0001193125-09-042658-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312510043123/0001193125-10-043123-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312511047638/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312512082659/0001193125-12-082659-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312513084894/0001193125-13-084894-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312514078397/d681374d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/dlr12311410k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799616000124/0001297996-16-000124-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799617000020/0001297996-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799618000026/0001297996-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/0001297996-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000155837020001906/0001558370-20-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/0001558370-21-002191-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/0001558370-22-002195-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5174000,4557000,10930000,22261000,31352000,73334000,72320000,11719000,40631000,56281000,56808000,41321000,57053000,10528000,51000,126700000,89817000,108501000,142698000
32,Short-Term Investments,- -,- -,- -,- -,- -,8521000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5174000,4557000,10930000,22261000,39873000,73334000,72320000,11719000,40631000,56281000,56808000,41321000,57053000,10528000,51000,126700000,89817000,108501000,142698000
34,Net Receivables,- -,6317000,15287000,32681000,71518000,108079000,39108000,46086000,70337000,90580000,168286000,181163000,135931000,177398000,203938000,276347000,299621000,305501000,603111000,671721000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,99957000,145550000,190067000,246815000,44050000,40362000,132026000,198148000,67605000,152668000,8522000,229934000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,212399000,263956000,272123000,378026000,268617000,278333000,309278000,432599000,282071000,429066000,434843000,625252000,711612000,814419000
38,PP&E,- -,394231000,787412000,1194106000,1784094000,2340456000,2738017000,3150801000,4566842000,5218539000,- -,- -,- -,- -,- -,- -,- -,628681000,1386959000,1405441000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330664000,752970000,3389595000,4348007000,3363070000,8330996000,7937440000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,253741000,250077000,294519000,262611000,560260000,541720000,495567000,1424357000,1544559000,3183181000,3264154000,2270139000,3166198000,2735486000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,253741000,250077000,294519000,262611000,560260000,541720000,495567000,1755021000,2297529000,6572776000,7612161000,5633209000,11497194000,10672926000
42,Investments,- -,- -,- -,- -,- -,- -,8481000,6392000,17635000,23976000,66634000,70504000,94729000,106107000,106402000,163477000,175108000,1287109000,1148158000,1807689000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,67031000,73833000,178364000,215414000,7923703000,8795188000,8627210000,9157540000,9506583000,14239026000,15544583000,14893880000,21332368000,21669085000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,3067270000,3481103000,5057360000,5720540000,8550597000,9407412000,9217506000,11018668000,11910514000,20975279000,23331852000,22442879000,35364679000,35555141000
46,Other Assets,269836000,479698000,1013287000,1529170000,2186219000,2809464000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,269836000,479698000,1013287000,1529170000,2186219000,2809464000,3279669000,3745059000,5329483000,6098566000,8819214000,9685745000,9526784000,11451267000,12192585000,21404345000,23766695000,23068131000,36076291000,36369560000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,171176000,151229000,237631000,315133000,646427000,662687000,605923000,608343000,824878000,980218000,1164509000,1007761000,1186812000,1543623000
49,Short-Term Debt,53000000,44436000,44000000,181000000,145452000,- -,138579000,- -,- -,- -,723729000,724668000,525951000,967884000,199209000,550946000,1647735000,234105000,531905000,398172000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,299000000,213000000,207548000,398000000,-112487000,37004000,51210000,75455000,93434000,102509000,120783000,132720000,146793000,204794000,217241000,238409000,324386000,338729000
53,Total Current Liabilities,53000000,44436000,343000000,394000000,353000000,398000000,197268000,188233000,288841000,390588000,1463590000,1489864000,1252657000,1708947000,1170880000,1735958000,3029485000,1480275000,2043103000,2280524000
54,Long-Term Debt,- -,253429000,475498000,568067000,977186000,1367738000,1395673000,1784444000,2806954000,2940210000,3554836000,4237224000,4147176000,4966357000,5639398000,8097672000,9453744000,9887254000,12772812000,14562225000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698308000,666451000
57,Other Non-Current Liabilities,- -,- -,21502000,180933000,145814000,262000,123627000,137581000,179025000,187357000,302404000,312145000,212713000,239461000,250010000,521265000,425256000,1092502000,2115732000,383573000
58,Total Non-Current Liabilities,- -,253429000,497000000,749000000,1123000000,1368000000,1519300000,1922025000,2985979000,3127567000,3857240000,4549369000,4359889000,5205818000,5889408000,8618937000,9879000000,10979756000,15586852000,15612249000
59,Other Liabilities,130524000,537296000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693539000,1702062000,1512187000
61,Total Liabilities,183524000,328303000,839091000,880228000,1338031000,1687637000,1716568000,2110258000,3274820000,3518155000,5320830000,6039233000,5612546000,6914765000,7060288000,10354895000,12908485000,12460031000,17629955000,17892773000
62,Preferred Stock,- -,- -,- -,159799000,159799000,328867000,662448000,662338000,502341000,569781000,572711000,694831000,1048121000,1290135000,1012961000,1249560000,1249560000,1434420000,950940000,731690000
63,Common Stock,- -,- -,214000,274000,542000,654000,732000,766000,909000,1057000,1247000,1279000,1349000,1456000,1582000,2044000,2051000,2073000,2788000,2824000
64,Retained Earnings,- -,- -,-9517000,-27782000,-52093000,-103090000,-161441000,-231871000,-348148000,-488692000,-656104000,-785222000,-1096607000,-1350089000,-1547420000,-2055552000,-2633071000,-3046579000,-3997938000,-3631929000
65,Other Comprehensive Income/Loss,- -,-13026000,91000,1644000,4190000,3379000,-49503000,-27947000,-42081000,-55880000,-12191000,10691000,-45046000,-96590000,-135605000,-108432000,-115647000,-87922000,135010000,-173880000
66,Other Total Stockholders Equity,86312000,164421000,182411000,252562000,597334000,814106000,1040591000,1155709000,1849497000,2496651000,3562642000,3688937000,3970439000,4655220000,5764497000,11261461000,11355751000,11577320000,20626897000,21075863000
67,Total Stockholders Equity,83177000,147951000,173199000,386497000,709772000,1043916000,1492827000,1558995000,1962518000,2522917000,3468305000,3610516000,3878256000,4500132000,5096015000,10349081000,9858644000,9879312000,17717697000,18004568000
68,Total Liabilities And Stockholders Equity,266701000,476254000,1012290000,1266725000,2047803000,2731553000,3209395000,3669253000,5237338000,6041072000,8789135000,9649749000,9490802000,11414897000,12156303000,20703976000,22767129000,22339343000,35347652000,35897341000
69,Minority Interest,3135000,3444000,997000,262445000,138416000,77911000,70274000,75806000,92145000,57494000,30079000,35996000,35982000,36370000,36282000,700369000,999566000,728788000,728639000,472219000
70,Total Liabilities & Equity,269836000,479698000,1013287000,1529170000,2186219000,2809464000,3279669000,3745059000,5329483000,6098566000,8819214000,9685745000,9526784000,11451267000,12192585000,21404345000,23766695000,23068131000,36076291000,36369560000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1297996/000119312505067198/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312506056430/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312507044416/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312508043850/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312509042658/0001193125-09-042658-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312510043123/0001193125-10-043123-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312511047638/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312512082659/0001193125-12-082659-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312513084894/0001193125-13-084894-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312514078397/d681374d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/dlr12311410k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799616000124/0001297996-16-000124-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799617000020/0001297996-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799618000026/0001297996-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/0001297996-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000155837020001906/0001558370-20-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/0001558370-21-002191-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/0001558370-22-002195-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,16642000,4557000,16101000,31392000,40592000,67661000,87662000,102294000,156265000,210334000,314488000,200183000,296689000,426187000,248259000,331246000,579761000,356398000,1709259000
74,Depreciation and Amortization,- -,9480000,18254000,33750000,52795000,81280000,162591000,190012000,255586000,302488000,316064000,397592000,456204000,464694000,518716000,594996000,770275000,809472000,1366379000,1486632000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12631000,11527000,18019000,6360000,17433000,20521000,27159000,34905000,74577000,84083000
77,Change in Working Capital,- -,619000,-343000000,-51000000,41000000,-45000000,413131000,60592000,-92441000,4156000,-1182411000,-16558000,268152000,-332969000,387539000,-418083000,-1287750000,1739619000,-476468000,22761483000
78,Accounts Receivable,- -,- -,-9465000,-20750000,-37017000,-45513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-425983000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,4771000,15431000,22387000,-11739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116149000
81,Other Working Capital,- -,- -,-343000000,-394000000,-353000000,-398000000,15131000,75723000,-16718000,-12562000,-1194973000,-1211531000,-943379000,-1276348000,-888809000,-1306892000,-2594642000,-855023000,-1331491000,21429992000
82,Other Non-Cash Items,- -,2245000,364827000,83997000,-22186000,28783000,-425575000,-54457000,93590000,-61953000,1186330000,-50659000,-286670000,364458000,-437613000,577612000,1544394000,-1649940000,385655000,-24339229000
83,Cash Provided by Operating Activities,- -,28986000,44638000,82848000,103001000,105655000,217808000,283809000,359029000,400956000,542948000,656390000,655888000,799232000,912262000,1023305000,1385324000,1513817000,1706541000,1702228000
84,CAPEX,- -,-215263000,-357721000,-472899000,-608880000,-625990000,-644648000,-533346000,-1713078000,-843628000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-3684000,- -,- -,- -,- -,-54827000,-24452000,-20627000,-1860858000,- -,63038000,-1564503000,1296699000,-23238000,- -
86,Purchases of Investments,- -,- -,-13556000,- -,-30428000,- -,-21222000,- -,-10577000,-6139000,- -,-17100000,- -,- -,- -,- -,-13254000,-2597000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,24407000,- -,- -,- -,- -,- -,- -,- -,31635000,- -,- -,63956000,- -,- -,70019000,- -
88,Other Investing Activites,- -,- -,- -,-7916000,13113000,92247000,18119000,13437000,-14045000,18965000,-2421106000,-1019057000,-655188000,-665164000,-1299431000,-1484147000,-1458236000,-1569094000,-2646128000,-1061721000
89,Cash Used for Investing Activites,- -,-215263000,-371277000,-480815000,-601788000,-537427000,-647751000,-519909000,-1737700000,-830802000,-2475933000,-1060609000,-644180000,-2526022000,-1299431000,-1357153000,-3035993000,-274992000,-2599347000,-1061721000
90,Debt Repayment,- -,-102673000,-578931000,-364926000,-783957000,-512218000,-1323329000,-669974000,-686787000,-1349740000,-1494283000,-2051054000,-1475667000,-2475444000,-3778649000,-3716593000,-2620520000,-6427374000,-6405745000,-990968000
91,Common Stock Issued,- -,- -,230798000,105220000,381826000,159781000,220915000,83750000,613854000,462447000,894221000,- -,- -,675577000,1089154000,405437000,1194000,535620000,1879957000,172096000
92,Common Stock Repurchased,- -,- -,- -,-13705000,-16489000,-14030000,- -,-26326000,-166750000,- -,- -,- -,- -,- -,-287500000,-182500000,- -,-365050000,-500000000,- -
93,Dividends Paid,- -,- -,-68594000,-58438000,-78377000,-97081000,-130040000,-150188000,-208553000,-286683000,-373101000,-443858000,-509159000,-548058000,-605390000,-715209000,-930782000,-996766000,-1239318000,-1379198000
94,Other Financing Activites,- -,290546000,742749000,736189000,1007115000,904411000,1704379000,997824000,1766306000,1632734000,2921798000,2899658000,1957631000,4096954000,3934316000,4530065000,5307377000,5981549000,7200795000,1607440000
95,Cash Used/Provided by Financing Activities,- -,187873000,326022000,404340000,510118000,440863000,471925000,235086000,1318070000,458758000,1948635000,404746000,-27195000,1749029000,351931000,321200000,1757269000,-1272021000,935689000,-590630000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11287000,3793000,15441000,-4773000,-16484000,-22044000
97,Net Change In Cash,- -,1596000,-617000,6373000,11331000,9091000,41982000,-1014000,-60601000,28912000,15650000,527000,-15487000,22239000,-46525000,-8855000,122041000,-37969000,26399000,27833000
98,Cash at the End of Period,- -,5174000,4557000,10930000,22261000,31352000,73334000,72320000,11719000,40631000,56281000,56808000,41321000,57053000,10528000,13181000,135222000,97253000,123652000,151485000
99,Cash at the Beginning of Period,- -,3578000,5174000,4557000,10930000,22261000,31352000,73334000,72320000,11719000,40631000,56281000,56808000,34814000,57053000,22036000,13181000,135222000,97253000,123652000
100,Free Cash Flow,- -,-186277000,-313083000,-390051000,-505879000,-520335000,-426840000,-249537000,-1354049000,-442672000,542948000,656390000,655888000,799232000,912262000,1023305000,1385324000,1513817000,1706541000,1702228000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1297996/000119312505067198/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312506056430/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312507044416/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312508043850/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312509042658/0001193125-09-042658-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312510043123/0001193125-10-043123-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312511047638/d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312512082659/0001193125-12-082659-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312513084894/0001193125-13-084894-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000119312514078397/d681374d10k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/dlr12311410k.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799616000124/0001297996-16-000124-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799617000020/0001297996-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799618000026/0001297996-18-000026-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/0001297996-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1297996/000155837020001906/0001558370-20-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/0001558370-21-002191-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/0001558370-22-002195-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
