,https://roic.ai/company/WSM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1480000,1388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16231000,- -
14,Depreciation and Amortization,1300000,2000000,3200000,4500000,4700000,6400000,8500000,10400000,11200000,10500000,16500000,24300000,28900000,26400000,45200000,62400000,81600000,91500000,99500000,111600000,123200000,135000000,140700000,148100000,151796000,144600000,130600000,134500000,149800000,162273000,167760000,173195000,183077000,188808000,187759000,188655000,196087000
15,EBITDA,5600000,5700000,9000000,13200000,19900000,25400000,11200000,13400000,30600000,44000000,20800000,63500000,98900000,117100000,155900000,154700000,203700000,293800000,355100000,421800000,472000000,472200000,457100000,191480000,273473000,467633000,512399000,544426000,602480000,664476000,655767000,645106000,635516000,618055000,644780000,1099352000,196104000
16,EBITDA ratio,0.0820,0.0568,0.0658,0.0758,0.0912,0.0885,0.0358,0.0389,0.0746,0.0833,0.0323,0.0782,0.1060,0.1061,0.1126,0.0846,0.0976,0.1244,0.1289,0.1345,0.1334,0.1267,0.1159,0.0570,0.0881,0.1334,0.1377,0.1347,0.1373,0.1414,0.1318,0.1269,0.1201,0.1090,0.1093,0.1621,1961.0400
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,910697000,17000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1343,0.1700
19,Total Other Income Expenses (Gains),-100000,-800000,-1600000,-2000000,-2400000,-1300000,-800000,-1500000,-1200000,-1200000,- -,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1153000,-300000,100000,800000,600000,-62000,-627000,-688000,-1372000,-6706000,-8853000,-16231000,- -
20,Income Before Tax,4300000,3700000,5800000,8700000,15200000,19000000,2700000,3000000,19400000,33500000,4400000,39200000,70000000,90700000,110700000,92300000,122100000,202300000,255600000,310200000,348800000,337200000,316300000,42000000,120289000,323100000,381800000,410000000,452700000,502203000,488007000,471911000,452439000,429247000,457021000,894466000,17000
21,Income Before Tax Ratio,0.0630,0.0369,0.0424,0.0499,0.0697,0.0662,0.0086,0.0087,0.0473,0.0634,0.0068,0.0483,0.0750,0.0822,0.0800,0.0505,0.0585,0.0857,0.0928,0.0989,0.0986,0.0905,0.0802,0.0125,0.0388,0.0922,0.1026,0.1014,0.1032,0.1069,0.0981,0.0928,0.0855,0.0757,0.0775,0.1319,0.1700
22,Income Tax expense (Gain),1900000,1900000,2500000,3500000,6200000,7800000,1100000,1200000,8200000,13900000,1800000,16500000,28700000,35800000,42600000,35500000,47000000,77900000,98400000,119000000,133900000,128300000,120600000,11900000,42847000,122833000,144899000,153226000,173780000,193349000,177939000,166524000,192894000,95563000,100959000,213752000,3000
23,Net Income,2400000,1800000,3300000,5200000,9000000,11200000,1600000,1800000,11200000,19600000,2500000,22700000,41300000,54900000,68100000,56800000,75100000,124400000,157200000,191200000,214900000,208900000,195800000,30000000,77442000,200200000,236900000,256700000,278900000,308854000,310068000,305387000,259545000,333684000,356062000,680714000,14000
24,Net Income ratio,0.0351,0.0179,0.0241,0.0299,0.0412,0.0390,0.0051,0.0052,0.0273,0.0371,0.0039,0.0280,0.0443,0.0497,0.0492,0.0310,0.0360,0.0527,0.0571,0.0610,0.0607,0.0560,0.0496,0.0089,0.0250,0.0571,0.0637,0.0635,0.0636,0.0657,0.0623,0.0601,0.0490,0.0588,0.0604,0.1004,0.1400
25,EPS,0.03,0.03,0.04,0.07,0.10,0.12,0.01,0.02,0.12,0.20,0.03,0.23,0.41,0.51,0.61,0.51,0.67,1.08,1.36,1.65,1.86,1.83,1.79,0.28,0.73,1.87,2.27,2.59,2.89,3.30,3.42,3.45,3.03,4.10,4.56,8.81,0.00
26,EPS Diluted,0.03,0.03,0.04,0.07,0.10,0.12,0.01,0.02,0.11,0.19,0.03,0.21,0.38,0.48,0.58,0.49,0.65,1.04,1.32,1.60,1.81,1.79,1.76,0.28,0.72,1.83,2.22,2.54,2.82,3.24,3.37,3.41,3.02,4.05,4.49,8.61,0.00
27,Weighted Average Shares Outstanding,80000000,72000000,73333333,80000000,85714286,93333333,106666667,90000000,97391304,100512821,100000000,100888889,101975309,108534000,111634000,111800000,112494000,115100000,115583000,116159000,115616000,114020000,109273000,105530000,105763000,106956000,104352000,99266000,96669000,93634000,90787000,88594000,83726000,81420000,78108000,77260000,77260000
28,Weighted Average Shares Outstanding Diluted,80000000,72000000,73333333,80000000,85714286,93333333,106666667,90000000,101818182,103157895,100000000,105581395,110133333,115310000,117224000,114920000,115440000,119550000,119016000,119347000,118427000,116773000,111447000,106880000,107373000,109522000,106582000,101051000,98765000,95200000,92102000,89462000,83726000,82340000,79225000,79055000,79055000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719955/000095014996000427/0000950149-96-000427-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014997000919/0000950149-97-000919-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014998000750/0000950149-98-000750-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/719955/000095014901500551/0000950149-01-500551-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014902000794/0000950149-02-000794-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014903000871/f87217ke10vk.htm,https://www.sec.gov/Archives/edgar/data/719955/000095014904000792/f97543e10vk.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312505077123/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312506075968/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312507068798/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312508074283/0001193125-08-074283-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312509071708/0001193125-09-071708-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312510075151/0001193125-10-075151-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312511085046/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312512140070/0001193125-12-140070-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312513142309/0001193125-13-142309-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312514129974/0001193125-14-129974-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312515118009/0001193125-15-118009-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312516525847/0001193125-16-525847-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312517104341/0001193125-17-104341-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312518102232/0001193125-18-102232-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312519097973/0001193125-19-097973-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312520088937/0001193125-20-088937-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312521100319/0001193125-21-100319-index.htm,https://www.sec.gov/Archives/edgar/data/719955/000162828022007494/0001628280-22-007494-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,78800000,97200000,107300000,92800000,19700000,75400000,193500000,163900000,239200000,361000000,275400000,119000000,148800000,513943000,628400000,502800000,424600000,330100000,222927000,193647000,213713000,390136000,338954000,432162000,1200337000,850338000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,78800000,97200000,107300000,92800000,19700000,75400000,193500000,163900000,239200000,361000000,275400000,119000000,148800000,513943000,628400000,502800000,424600000,330100000,222927000,193647000,213713000,390136000,338954000,432162000,1200337000,850338000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,11900000,15200000,20100000,22400000,38200000,32100000,34300000,31600000,42500000,51000000,48800000,48100000,37400000,44187000,41600000,46000000,63000000,60300000,67465000,79304000,88803000,90119000,107102000,111737000,143728000,131683000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121600000,110700000,132500000,173200000,257300000,283100000,249200000,321200000,404100000,452400000,520300000,610600000,693700000,572900000,466124000,513400000,553500000,640000000,813200000,887701000,978138000,977505000,1061593000,1124992000,1100544000,1006299000,1246372000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22200000,24600000,25300000,26200000,37400000,51900000,60500000,76400000,88300000,139700000,150900000,166200000,189000000,181600000,155939000,164200000,174100000,189200000,215500000,213830000,85011000,87159000,94597000,123295000,111192000,116716000,95501000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161200000,226000000,270200000,326800000,409900000,392900000,417200000,625400000,687900000,873800000,1083200000,1101000000,1049800000,940700000,1180193000,1347600000,1276400000,1316800000,1419100000,1391923000,1336100000,1367180000,1636445000,1694343000,1755635000,2467080000,2323894000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147300000,172100000,201000000,243100000,313200000,490500000,570100000,631800000,765000000,852400000,880300000,912600000,981100000,942200000,829027000,730600000,734700000,812000000,849300000,883012000,886813000,923283000,932283000,929635000,2095421000,1959903000,2053537000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,19000000,18900000,18740000,- -,18680000,18838000,85382000,85343000,85446000,85354000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,19000000,18900000,18740000,- -,18680000,18838000,85382000,85343000,85446000,85354000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,5800000,6000000,- -,15900000,8500000,7500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,- -,8500000,12200000,8800000,11300000,8900000,21100000,18500000,- -,- -,- -,53809000,- -,- -,- -,- -,- -,141784000,- -,- -,- -,- -,61854000,56585000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,500000,-2400000,6300000,-8600000,-12200000,-8700000,-4000000,8900000,-1800000,-400000,34700000,63000000,52600000,16140000,53600000,30400000,39900000,49400000,36602000,52730000,167736000,198183000,103484000,117643000,87141000,106250000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157900000,178400000,207000000,249400000,329000000,499000000,577700000,639100000,782800000,871700000,898400000,947300000,1044100000,994800000,898976000,784200000,784400000,870900000,917600000,938354000,1081327000,1109699000,1149304000,1118501000,2298407000,2194344000,2301726000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319100000,404400000,477200000,576200000,738900000,891900000,994900000,1264500000,1470700000,1745500000,1981600000,2048300000,2093900000,1935500000,2079169000,2131800000,2060800000,2187700000,2336700000,2330277000,2417427000,2476879000,2785749000,2812844000,4054042000,4661424000,4625620000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58300000,64400000,58500000,71000000,102500000,159200000,98900000,166100000,155900000,173800000,196100000,214800000,197600000,162400000,188241000,228000000,218300000,259200000,404800000,397037000,447412000,453710000,457144000,526702000,521235000,542992000,612512000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29600000,- -,- -,6400000,- -,- -,- -,7419000,8988000,23435000,18864000,15853000,14734000,14702000,1587000,1542000,1795000,1724000,1785000,1968000,- -,- -,- -,- -,527741000,509104000,217409000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,48260000,41997000,22435000,41849000,49365000,32488000,67052000,23245000,56783000,21461000,22501000,69476000,79554000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16304000,20532000,39015000,57267000,70837000,91843000,90349000,- -,192450000,190417000,207415000,228193000,261679000,296827000,294276000,292460000,290445000,289613000,373164000,447770000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,65100000,77100000,76500000,113300000,152100000,198300000,234977000,257480000,285950000,318169000,326210000,307323000,193249000,373654000,189708000,161288000,188761000,226322000,215264000,252188000,213270000,258219000,257665000,270966000,422740000,493995000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122100000,129500000,135600000,153900000,215800000,311300000,297200000,424800000,442900000,522200000,590400000,627700000,611500000,460700000,563482000,611700000,571800000,657100000,861100000,875948000,996427000,961256000,1007823000,1074812000,1609555000,1848000000,1771686000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46800000,89300000,89800000,44600000,35500000,23200000,24600000,18100000,28400000,19200000,14500000,12800000,11200000,10300000,8672000,7100000,5500000,3800000,2000000,- -,- -,- -,299422000,299620000,- -,1025057000,1066839000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,- -,- -,- -,- -,- -,- -,- -,18670000,44997000,36555000,- -,85612000,91744000,99764000,121486000,130618000,- -,135238000,67306000,41525000,45222000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,39600000,58600000,72400000,104300000,130000000,140600000,177600000,194800000,246500000,251400000,237730000,260403000,279945000,295420000,168488000,136556000,117836000,96114000,99005000,222774000,132165000,207632000,241173000,1163405000,137182000,122888000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75300000,128900000,148400000,120300000,139800000,153200000,165200000,195700000,223200000,265700000,265900000,269200000,316600000,326800000,304092000,261200000,233800000,221400000,219600000,229623000,222774000,267403000,574360000,582318000,1208627000,1162239000,1189727000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322502000,1234811000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197400000,258400000,284000000,274200000,355600000,464500000,462400000,620500000,666100000,787900000,856300000,896900000,928100000,787500000,867574000,872900000,805600000,878500000,1080700000,1105571000,1219201000,1228659000,1582183000,1657130000,2818182000,3010239000,2961413000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48300000,50000000,55800000,- -,122900000,110300000,600000,1100000,1200000,1200000,1100000,1100000,1100000,1100000,1070000,1000000,1000000,1000000,900000,919000,896000,873000,837000,789000,772000,764000,720000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73300000,96100000,137400000,192300000,260400000,317200000,392300000,446800000,547800000,664600000,791300000,784300000,746200000,725100000,751290000,777900000,762900000,790900000,729000000,701214000,668545000,701702000,647422000,584333000,644794000,1019762000,1074084000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63700000,-83900000,-105200000,-128500000,-167500000,-221200000,-15400000,-261000,3287000,5169000,7695000,7784000,15251000,5509000,10387000,12990000,12590000,13633000,6524000,-2548000,-10616000,-9903000,-6782000,-11073000,-14587000,-7117000,-10828000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63800000,83800000,105200000,238200000,167500000,221200000,155000000,196339000,252304000,286693000,325223000,358247000,403172000,416275000,448848000,466973000,478772000,503605000,519578000,525121000,539401000,555548000,562089000,581665000,604881000,637776000,600231000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121700000,146000000,193200000,302000000,383300000,427500000,532500000,643978000,804591000,957662000,1125318000,1151431000,1165723000,1147984000,1211595000,1258863000,1255262000,1309138000,1256002000,1224706000,1198226000,1248220000,1203566000,1155714000,1235860000,1651185000,1664207000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319100000,404400000,477200000,576200000,738900000,892000000,994900000,1264478000,1470691000,1745562000,1981618000,2048331000,2093823000,1935484000,2079169000,2131763000,2060862000,2187638000,2336702000,2330277000,2417427000,2476879000,2785749000,2812844000,4054042000,4661424000,4625620000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,22000,9000,-62000,-18000,-31000,77000,16000,- -,37000,-62000,62000,-2000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319100000,404400000,477200000,576200000,738900000,891900000,994900000,1264500000,1470700000,1745500000,1981600000,2048300000,2093900000,1935500000,2079169000,2131800000,2060800000,2187700000,2336700000,2330277000,2417427000,2476879000,2785749000,2812844000,4054042000,4661424000,4625620000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/719955/000095014996000427/0000950149-96-000427-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014997000919/0000950149-97-000919-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014998000750/0000950149-98-000750-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/719955/000095014901500551/0000950149-01-500551-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014902000794/0000950149-02-000794-index.html,https://www.sec.gov/Archives/edgar/data/719955/000095014903000871/f87217ke10vk.htm,https://www.sec.gov/Archives/edgar/data/719955/000095014904000792/f97543e10vk.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312505077123/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312506075968/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312507068798/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312508074283/0001193125-08-074283-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312509071708/0001193125-09-071708-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312510075151/0001193125-10-075151-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312511085046/d10k.htm,https://www.sec.gov/Archives/edgar/data/719955/000119312512140070/0001193125-12-140070-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312513142309/0001193125-13-142309-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312514129974/0001193125-14-129974-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312515118009/0001193125-15-118009-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312516525847/0001193125-16-525847-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312517104341/0001193125-17-104341-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312518102232/0001193125-18-102232-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312519097973/0001193125-19-097973-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312520088937/0001193125-20-088937-index.html,https://www.sec.gov/Archives/edgar/data/719955/000119312521100319/0001193125-21-100319-index.htm,https://www.sec.gov/Archives/edgar/data/719955/000162828022007494/0001628280-22-007494-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,11200000,1600000,1800000,11200000,19600000,2500000,22700000,41300000,54900000,68100000,56800000,75100000,124400000,157200000,191200000,214900000,208900000,195800000,30000000,77442000,200200000,236900000,256700000,278900000,308854000,310068000,305387000,259545000,333684000,356062000,680714000,14000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,6400000,8500000,10400000,11200000,10500000,16500000,24300000,28900000,26400000,45200000,62400000,81600000,91500000,99500000,111600000,123200000,135000000,140700000,148100000,151796000,144600000,130600000,134500000,149800000,162273000,167760000,173195000,183077000,188808000,187759000,188655000,196087000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-2800000,-800000,-200000,1300000,100000,-300000,3200000,500000,- -,4800000,-6700000,-2500000,-6500000,-6300000,-20800000,-50800000,-32000000,5100000,-23595000,23600000,14200000,-9000000,-28300000,-248000,7156000,7114000,63381000,23639000,-2557000,-13061000,2535000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7291000,250000,- -,440000,26813000,26812000,1059000,24989000,26630000,24336000,31042000,38788000,44632000,41357000,51116000,42988000,59802000,64163000,73185000,95240000
77,Change in Working Capital,- -,- -,- -,- -,- -,-17200000,- -,- -,- -,- -,39100000,57400000,38100000,38300000,21200000,-112500000,38400000,80600000,44400000,106600000,141200000,-19500000,-35000000,41700000,136711000,119189000,-31300000,-44900000,-101700000,-42025000,-176302000,66251000,222698000,-9091000,-473451000,473000000,-66872000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7800000,1300000,-3300000,- -,-2300000,-15800000,6100000,-2121000,2796000,-10900000,-6829000,1070000,2091000,9579000,-6620000,3477000,-4763000,-16408000,786000,-9366000,-12849000,-9794000,149000,-15329000,-5034000,-31503000,11896000
