,https://roic.ai/company/VNO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331784000,337437000,388132000,517962000,618759000,1590000000,731454000,771191000,744929000,763792000,719705000,742312000,722154000,718259000,744338000,588388000,588441000,589027000,594573000,546892000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,873380000,921097000,1067922000,1822989000,1985189000,- -,1801572000,1858976000,1844407000,2001213000,1968043000,1829419000,1786907000,1729508000,1768674000,1474984000,1551919000,1507008000,1383639000,1344207000
12,Interest Income ,- -,- -,- -,- -,- -,11100000,9300000,- -,11700000,- -,11800000,- -,- -,24100000,18500000,32926000,54385000,31685000,25402000,203995000,167225000,262188000,228499000,-2682000,38031000,10319000,14023000,13861000,19495000,3920000,6371000,3890000,4352000,26125000,19706000,9177000,2801000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,32200000,34900000,33900000,31200000,14200000,16400000,16700000,42900000,114700000,141700000,170273000,173076000,207840000,204260000,30901000,161712000,215587000,634554000,571533000,616592000,541728000,523286000,476266000,457597000,420792000,345864000,367960000,311588000,315970000,262816000,210791000,210849000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,9700000,11300000,11500000,11400000,10800000,11800000,14700000,47400000,59200000,83600000,99846000,123862000,205826000,219911000,253822000,346775000,413162000,462635000,577338000,559053000,556312000,580990000,557888000,561998000,583408000,566207000,595270000,529826000,472785000,438933000,417942000,432594000
15,EBITDA,- -,- -,- -,- -,- -,51000000,63900000,47700000,64200000,66200000,81200000,92800000,151300000,326800000,427800000,504110000,560676000,646569000,884874000,877640000,1048091000,1188889000,1743407000,1339377000,1302551000,1768399000,1791405000,1659546000,1489160000,1880054000,1587810000,1878459000,1109920000,1276342000,3953125000,368358000,808946000
16,EBITDA ratio,- -,- -,- -,- -,- -,1.5596,1.5739,1.1749,1.3375,0.7531,0.7899,0.7911,0.7468,0.7192,0.6448,0.6273,0.5723,0.4505,0.5887,0.5141,0.4114,0.4384,0.5863,0.4966,0.4749,0.6362,0.6144,0.5999,0.5394,0.7132,0.6345,0.7495,0.5326,0.5899,2.0539,0.2411,0.5090
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554816000,581958000,637865000,724639000,726906000,- -,814032000,795779000,805862000,856153000,677628000,874190000,815642000,760248000,550791000,607366000,582961000,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3866,0.3872,0.3736,0.2844,0.2680,- -,0.3018,0.2902,0.2899,0.2936,0.2449,0.3166,0.3094,0.3038,0.2198,0.2914,0.2694,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151200000,-118442000,33763000,-83601000,-119614000,- -,-734847000,-698497000,-54975000,-236859000,-260897000,-740369000,-310457000,-37775000,432271000,-288920000,-123363000,3020039000,-569527000,-47946000
20,Income Before Tax,- -,- -,- -,- -,- -,11700000,18000000,2300000,25400000,- -,- -,- -,- -,- -,- -,- -,- -,403616000,463516000,671628000,641038000,607292000,587502000,79185000,97282000,750887000,619294000,416731000,133821000,505185000,722473000,983062000,318446000,459598000,3437731000,-425215000,197057000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.3578,0.4433,0.0567,0.5292,- -,- -,- -,- -,- -,- -,- -,- -,0.2813,0.3084,0.3934,0.2516,0.2239,0.1976,0.0294,0.0355,0.2701,0.2124,0.1506,0.0485,0.1917,0.2887,0.3923,0.1528,0.2124,1.7861,-0.2783,0.1240
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,4800000,7500000,1100000,-6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10530000,-204537000,20737000,22476000,24827000,8132000,-6406000,11002000,-84695000,8312000,41090000,37633000,103439000,36630000,-10496000
23,Net Income,- -,11000000,14100000,9900000,10100000,4300000,10200000,1200000,28000000,41200000,53000000,61400000,61000000,152900000,202500000,233991000,263738000,232903000,460703000,592917000,539604000,560140000,635688000,395043000,106169000,647883000,662302000,617260000,475971000,864852000,760434000,906917000,227416000,449954000,3147937000,-297005000,175999000
24,Net Income ratio,- -,Infinity,Infinity,Infinity,Infinity,0.1315,0.2512,0.0296,0.5833,0.4687,0.5156,0.5234,0.3011,0.3365,0.3052,0.2912,0.2692,0.1623,0.3065,0.3473,0.2118,0.2065,0.2138,0.1465,0.0387,0.2331,0.2272,0.2231,0.1724,0.3281,0.3039,0.3619,0.1091,0.2080,1.6355,-0.1944,0.1107
25,EPS,- -,0.22,0.29,0.25,0.27,0.13,0.30,0.04,0.69,0.93,2.21,2.44,0.81,1.59,1.93,2.22,2.50,1.94,3.84,4.47,3.62,3.47,3.36,2.16,0.28,3.27,3.26,2.95,2.10,4.18,3.61,5.08,0.85,2.02,16.23,-1.83,0.92
26,EPS Diluted,- -,0.22,0.29,0.25,0.27,0.13,0.30,0.04,0.60,0.93,2.21,2.44,0.77,1.56,1.90,2.16,2.42,1.87,3.73,4.27,3.43,3.28,3.22,2.10,0.28,3.24,3.23,2.94,2.09,4.15,3.59,5.08,0.85,2.01,16.21,-1.83,0.92
27,Weighted Average Shares Outstanding,- -,50991882,47932369,40385570,36787000,33733091,33555948,30595129,40793505,44462762,47453928,49968158,55906762,82594258,87540377,88130668,90878731,107989587,114571619,127725484,136421640,144964820,172408295,156953011,171595000,182340000,184308000,185810000,186941000,187572000,188353000,189100876,189526000,190510891,190869131,191146000,191146000
28,Weighted Average Shares Outstanding Diluted,- -,50991882,47932369,40385570,36787000,33733091,33555948,30595129,46812219,44462762,47453928,49968158,58737484,84152640,88894095,90534232,93822172,111844573,118965079,135776083,143809344,153394798,179881100,161255706,171595000,184159000,186021000,186530000,187709000,188690000,189564000,189100876,191258000,191458706,191104627,191146000,191146000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899689/000110465905008245/a05-1733_110k.htm,https://www.sec.gov/Archives/edgar/data/899689/000110465906012410/a06-1845_110k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968907000007/vrt12310610k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968908000003/vrt200710k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968909000005/0000899689-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968910000004/0000899689-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968911000003/0000899689-11-000003-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968912000004/0000899689-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968913000004/0000899689-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968914000009/vno2013form10k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968915000006/vno2014form10k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968916000046/0000899689-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968917000004/0000899689-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968918000009/0000899689-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968919000010/0000899689-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1040765/000089968920000007/0000899689-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968921000009/0000899689-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968922000006/0000899689-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,89700000,356000000,167800000,112600000,136989000,265584000,208200000,320542000,599282000,294504000,2233317000,1154595000,1526853000,535479000,690789000,606553000,960319000,583290000,1198477000,1835707000,1501027000,1817655000,570916000,1515012000,1624482000,1760225000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334322000,40000000,- -,741321000,- -,- -,- -,150997000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,89700000,356000000,167800000,112600000,136989000,265584000,208200000,320542000,599282000,294504000,2233317000,1154595000,1861175000,575479000,690789000,1347874000,960319000,583290000,1198477000,1986704000,1501027000,1817655000,570916000,1515012000,1624482000,1760225000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,17100000,24100000,49700000,131900000,348163000,444115000,413427000,657354000,950711000,1003078000,1249251000,799310000,1280016000,1055287000,1093551000,1047499000,1186595000,1109971000,1001630000,1029307000,1127203000,985411000,1008453000,837939000,751733000,735979000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263125000,161833000,229193000,192619000,140351000,- -,41566000,293950000,200822000,-643253000,183256000,262440000,186512000,-43198000,98295000,97157000,245616000,501037000,234102000,227268000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,884752000,1139729000,1779186000,1490201000,3622919000,- -,3182757000,1924716000,1985162000,1752120000,2330170000,1955701000,2386619000,2972813000,2726525000,2900223000,1824985000,2853988000,2610317000,2723472000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000000,246200000,1390700000,3089100000,3613000000,3901055000,4183986000,6822268000,6878603000,8314404000,9776018000,11584810000,16565296000,15708565000,15455076000,14910925000,14531974000,- -,- -,- -,14671870000,11606306000,11871012000,- -,379546000,367365000,337197000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522719000,442510000,348745000,319704000,370602000,323322000,276239000,227901000,192731000,159260000,136781000,30965000,23856000,154895000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522719000,442510000,348745000,319704000,370602000,323322000,276239000,227901000,192731000,159260000,136781000,30965000,23856000,154895000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1040236000,982091000,790694000,1645999000,1769541000,- -,1417572000,1589937000,2285545000,2828430000,2703271000,2109294000,1966792000,2276180000,2093855000,1594385000,1329069000,4255127000,3494846000,3305119000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270923000,518505000,696233000,724945000,977011000,- -,586597000,773233000,987094000,1014259000,16561932000,15708907000,16618670000,994529000,4195430000,873054000,13889959000,10767387000,9725438000,10745905000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8133427000,8379199000,9801331000,12146962000,14331362000,- -,18235453000,18260756000,18532309000,18694367000,19635805000,18141523000,18861701000,18170480000,18088322000,14497711000,15355809000,15433025000,13611505000,14543116000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491500000,565200000,2524100000,4425800000,5479200000,6370314000,6777343000,- -,- -,- -,- -,- -,22478935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491500000,565200000,2524100000,4425800000,5479200000,6370314000,6777343000,9018179000,9518928000,11580517000,13637163000,17954281000,22478935000,21418210000,20185472000,20517471000,20446487000,21965975000,20097224000,21248320000,21143293000,20814847000,17397934000,17180794000,18287013000,16221822000,17266588000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202756000,226100000,413923000,476523000,531977000,- -,515607000,475242000,438479000,423512000,- -,- -,- -,- -,- -,415794000,- -,440049000,427202000,613497000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9076000,- -,- -,358468000,852218000,874000000,138000000,2034269000,295870000,- -,550000000,115630000,- -,80000000,575000000,575000000,575000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,57000000,253000000,592000000,1375000000,1635000000,1730000000,16997000,23349000,32506000,42944000,60955000,3409000000,-358468000,-852218000,-874000000,-138000000,-685254000,126406000,499702000,-106045000,343064000,- -,350976000,-176708000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,57000000,253000000,592000000,1375000000,1635000000,1730000000,219753000,249449000,446429000,528543000,592932000,3409000000,515607000,475242000,438479000,423512000,1349015000,422276000,499702000,443955000,458694000,415794000,430976000,838341000,1002202000,1188497000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277200000,242000000,956700000,2051000000,2048800000,2656897000,2477173000,4071320000,4064385000,4936633000,6254883000,9554798000,12951812000,12649086000,10939615000,10893639000,10562002000,10431921000,9978718000,10898859000,11091010000,10611685000,9729487000,9836621000,7406609000,6823996000,8411153000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498510000,542998000,519280000,346119000,287846000,227069000,167730000,59429000,40110000,48118000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19895000,17842000,13278000,13315000,15305000,1280000,1146000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44200000,-10000000,300000,- -,200000,103000,-173000,2099750000,2127521000,2184714000,1590227000,1655781000,188000,2569137000,2103367000,2341670000,1939211000,1767080000,1557208000,1839951000,1786131000,1838126000,2017883000,1637584000,2671656000,1407359000,1103582000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233000000,232000000,957000000,2051000000,2049000000,2657000000,2477000000,6171070000,6191906000,7121347000,7845110000,11210579000,12952000000,15238118000,13060824000,13248587000,12514528000,12712816000,12080204000,13259236000,13223260000,12737657000,11974439000,11641935000,10137694000,8271465000,9562853000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498254000,401008000,370206000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297200000,288900000,1031700000,2209800000,2201800000,2835435000,2727313000,6390823000,6441355000,7567776000,8373653000,11803511000,14866776000,15753725000,13536066000,13687066000,12938040000,14061831000,12502480000,13758938000,13667215000,13196351000,12390233000,12072911000,10976035000,9273667000,10751350000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265488000,250992000,577454000,834527000,828660000,825095000,823807000,823686000,783088000,1021660000,1240278000,1277225000,1277026000,1276954000,1038055000,891988000,891294000,891214000,1182339000,1182459000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3472000,3961000,4320000,4739000,5128000,5675000,6083000,6140000,6195000,7218000,7317000,7373000,7440000,7469000,7493000,7521000,7542000,7577000,7600000,7618000,7633000,7648000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79400000,-77600000,-109600000,-132800000,-117000000,-90366000,-95647000,-169629000,-57618000,133899000,103061000,-69188000,-82178000,-975998000,-1577591000,-1480876000,-1401704000,-1573275000,-1734839000,-1505385000,-1766780000,-1419382000,-4183253000,-4167184000,-1954266000,-2774182000,-3079320000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13564000,-6940000,47782000,83406000,92963000,29772000,-6899000,28449000,73453000,73729000,-18946000,71537000,93267000,46921000,118972000,128682000,7664000,-40233000,-75099000,-17534000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273700000,353900000,1423400000,1915500000,2168900000,2165614000,2662058000,2540741000,2886400000,3248478000,4236841000,5292252000,5339570000,5817380000,6961007000,6932728000,7127258000,7195438000,7143840000,6873025000,7132979000,7153332000,7492658000,7725857000,7827697000,8192507000,8143093000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194300000,276300000,1313800000,1782700000,2055400000,2078720000,2570372000,2627356000,3077573000,4012741000,5263510000,6150770000,6118399000,5664485000,6242769000,6315710000,6828316000,6850935000,6765232000,6745426000,6697595000,6898519000,4337652000,4465231000,6732030000,6533198000,6236346000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491500000,565200000,2345500000,3992500000,4257200000,4914155000,5297685000,9018179000,9518928000,11580517000,13637163000,17954281000,20985175000,21418210000,19778835000,20002776000,19766356000,20912766000,19267712000,20504364000,20364810000,20094870000,16727885000,16538142000,17708065000,15806865000,16987696000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178600000,433300000,1222000000,1456159000,1479658000,- -,- -,- -,- -,- -,1493760000,- -,406637000,514695000,680131000,1053209000,829512000,743956000,778483000,719977000,670049000,642652000,578948000,414957000,278892000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491500000,565200000,2524100000,4425800000,5479200000,6370314000,6777343000,9018179000,9518928000,11580517000,13637163000,17954281000,22478935000,21418210000,20185472000,20517471000,20446487000,21965975000,20097224000,21248320000,21143293000,20814847000,17397934000,17180794000,18287013000,16221822000,17266588000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899689/000110465905008245/a05-1733_110k.htm,https://www.sec.gov/Archives/edgar/data/899689/000110465906012410/a06-1845_110k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968907000007/vrt12310610k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968908000003/vrt200710k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968909000005/0000899689-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968910000004/0000899689-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968911000003/0000899689-11-000003-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968912000004/0000899689-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968913000004/0000899689-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968914000009/vno2013form10k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968915000006/vno2014form10k.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968916000046/0000899689-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968917000004/0000899689-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968918000009/0000899689-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968919000010/0000899689-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1040765/000089968920000007/0000899689-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/899689/000089968921000009/0000899689-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899689/000089968922000006/0000899689-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,4300000,10200000,1200000,28000000,41200000,53000000,61400000,61000000,152900000,202500000,233991000,263738000,232903000,460703000,592917000,539604000,560140000,635688000,395043000,106169000,647883000,662302000,617260000,475971000,864852000,760434000,906917000,227416000,449954000,3147937000,-297005000,175999000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,9700000,11300000,11500000,11400000,10800000,11800000,14700000,47400000,59200000,83600000,99846000,123862000,205826000,219911000,253822000,346775000,413162000,462635000,577338000,559053000,556312000,580990000,557888000,561998000,583408000,566207000,595270000,529826000,472785000,438933000,417942000,432594000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-2600000,4800000,800000,-6400000,-600000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222174000,- -,- -,- -,- -,- -,- -,-90030000,- -,34800000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32829000,- -,53908000,48677000,38329000
77,Change in Working Capital,- -,- -,- -,- -,- -,2300000,-1800000,-3300000,4000000,-2200000,-64000000,7000000,-196000000,-339000000,-783000000,-260000000,-95000000,2394999000,225281000,442477000,-371099000,2068329000,-6438987000,6076150000,-1217676000,97209000,-218075000,-347453000,552270000,353492000,641941000,-261027000,216598000,-1090420000,621638000,-407532000,3546000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45023000,24373000,- -,-1646000,15383000,2019000,8869000,- -,- -,- -,8366000,- -,1183000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25231000,- -,3760000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,3300000,1500000,-1800000,2200000,- -,-64000000,-57000000,-253000000,-592000000,-1375000000,-1635000000,-1730000000,664999000,890280000,1332757000,961658000,3029987000,-3409000000,2667150000,1449474000,1546683000,1328608000,981155000,1533425000,1886917000,2528858000,2267831000,2484429000,1394009000,2015647000,1608115000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-11900000,11700000,5700000,-9600000,-2300000,62400000,-12400000,198400000,316300000,673800000,176084000,95085000,-2361403000,-376944000,-624523000,247398000,-2216963000,6037989000,-6008545000,1186033000,-530318000,-322718000,-2646000,-549450000,-666442000,-1206402000,-240493000,-181327000,970322000,-3599877000,662158000,111338000
