,https://roic.ai/company/EDR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443494000,536904000,610945000,1577742000
37,Total Current Assets,61662000,1400939000,966384000,9003000,31169000,6958000,76746000,17668000,22434000,18758000,34058000,34897000,25244000,1946299000,2021765000,2065208000,3753747000
38,PP&E,- -,11284000,25562000,- -,- -,- -,- -,3007000,3249000,- -,- -,- -,12613000,565617000,1025208000,1000050000,1003459000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,3070000,3951386000,3940565000,4181179000,4506554000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3792000,1161000,1747379000,1553894000,1595468000,1611684000
41,Intangible Assets,3546000,- -,3531000,3111000,3073000,3284000,3965000,4455000,3822000,3497000,3304000,6892000,4231000,5698765000,5494459000,5776647000,6118238000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411879000,1202231000,580095000,251078000,298212000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,945000,2143000,3146000,2970000,3098000,1853000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,897098000,1298612000,1578917000,1786236000,1961499000,2461298000,2559344000,252220000,170772000,540651000,260861000
45,Total Non-Current Assets,3546000,11284000,29093000,3111000,3073000,3284000,901063000,1307019000,1588131000,1792879000,1967773000,2471288000,2989920000,7718833000,7270534000,7568426000,7680770000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,65208000,1412223000,995477000,12114000,34242000,10242000,977809000,1324687000,1610565000,1811637000,2001831000,2506185000,3015164000,9665132000,9292299000,9633634000,11434517000
48,Accounts Payable,2075000,1003066000,397584000,303000,235000,984000,3933000,1749000,2289000,2183000,2455000,4222000,4204000,508544000,509484000,554260000,558863000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,79000000,356900000,24000000,- -,20000000,35047000,97928000,164569000,271942000,59743000
50,Tax Payable,- -,307718000,343079000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,7660000,90000,7928000,9954000,10346000,12243000,14409000,17964000,23498000,17301000,19024000,20727000,20473000,596651000,629918000,783102000,651760000
52,Other Current Liabilities,-9589000,-1003060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313953000,581666000,509139000,387774000,1435071000
53,Total Current Liabilities,146000,96000,405512000,10257000,10581000,13227000,18342000,98713000,382687000,43484000,21479000,44949000,373677000,1784789000,1813110000,1997078000,2705437000
54,Long-Term Debt,- -,6000,- -,- -,- -,- -,358504000,398846000,422681000,24000000,- -,20000000,933449000,4544085000,4929889000,5712834000,5995282000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,556000,634000,526000,514000,927000,943000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544928000,861717000,959746000,402472000
58,Total Non-Current Liabilities,- -,6000,- -,- -,- -,- -,358504000,399402000,423315000,24526000,514000,20927000,934392000,5089013000,5791606000,6672580000,6397754000
59,Other Liabilities,345444000,2338327000,1077029000,485461000,417788000,388671000,756104000,867654000,925469000,803890000,744167000,682144000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455030000,454302000,- -
61,Total Liabilities,345590000,2338417000,1482541000,495718000,428369000,401898000,415942000,566965000,884841000,822848000,765132000,706166000,1170428000,6873802000,7604716000,8669658000,9103191000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,263000,- -,284000,285000,567000,587000,918000,1131000,1148000,480000,569000,731000,757000,1679420000,1038678000,468633000,3000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-101708000,-93287000,-88964000,-41909000,-21998000,- -,- -,- -,- -,- -,-296625000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4465000,-5475000,-3564000,-82562000,-94354000,-125404000,-190786000,-80535000
66,Other Total Stockholders Equity,330270000,- -,297535000,266975000,361819000,324156000,662657000,849878000,813540000,1034683000,1263603000,1802852000,1339820000,- -,- -,- -,2498620000
67,Total Stockholders Equity,330533000,- -,297819000,267260000,362386000,324743000,561867000,757722000,725724000,988789000,1236699000,1800019000,1258015000,1585066000,913274000,277847000,2121463000
68,Total Liabilities And Stockholders Equity,676123000,7386404000,1780360000,762978000,790755000,726641000,977809000,1324687000,1610565000,1811637000,2001831000,2506185000,2428443000,8458868000,8517990000,8947505000,11224654000
69,Minority Interest,-610915000,-5974181000,-784883000,-750864000,-756513000,-716399000,- -,- -,- -,- -,- -,- -,586721000,1206264000,774309000,686129000,209863000
70,Total Liabilities & Equity,65208000,1412223000,995477000,12114000,34242000,10242000,977809000,1324687000,1610565000,1811637000,2001831000,2506185000,3015164000,9665132000,9292299000,9633634000,11434517000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1302343/000095014406003046/0000950144-06-003046-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000095014407002200/0000950144-07-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000095014408001636/0000950144-08-001636-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000136231009003898/0001362310-09-003898-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000114420410013579/0001144204-10-013579-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000114420411013598/0001144204-11-013598-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000114420412013804/0001144204-12-013804-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000130234313000012/0001302343-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000130234314000021/0001302343-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000130234315000066/0001302343-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000130234316000290/0001302343-16-000290-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1766363/000095017022003940/0000950170-22-003940-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-15551000,-12245000,-7287000,-7947000,-7268000,-42291000,-11014000,8421000,4323000,47055000,19911000,- -,- -,316545000,-553819000,-654934000,-467479000
74,Depreciation and Amortization,28908000,- -,4372000,29417000,29089000,- -,30409000,39009000,50847000,60324000,69268000,175134000,341144000,365959000,280749000,310883000,282883000
75,Deferred Income Tax,-209000,- -,- -,59000,228000,- -,197000,-1043000,260000,-165000,-87000,14399000,-98042000,41359000,-48466000,-13401000,- -
76,Stock Based Compensation,4783000,- -,- -,761000,677000,- -,1502000,2041000,2127000,2249000,2814000,87644000,153997000,149138000,101188000,91271000,532467000
77,Change in Working Capital,- -,1339327000,-839971000,-562126000,21842000,-26857000,64673000,-139449000,-279208000,335527000,37305000,-22631000,-338381000,509943000,47145000,-140525000,980180000
78,Accounts Receivable,-374000,-157525000,-37558000,-204000,112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3069000,1310784000,-570121000,-446000,1063000,- -,8500000,5721000,-8846000,3699000,-1740000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,61516000,1400843000,560872000,-1254000,20588000,-6269000,58404000,-81045000,-360253000,-24726000,12579000,-10052000,-348433000,161510000,208655000,68130000,1048310000
82,Other Non-Cash Items,442000,-1993741000,-2577719000,565847000,-11333000,69148000,-44681000,142415000,299058000,-355769000,-29316000,-292204000,157310000,-1261813000,571106000,567924000,-1328051000
83,Cash Provided by Operating Activities,18373000,-666659000,-3420605000,26011000,33235000,- -,41086000,51394000,77407000,89221000,99895000,-37658000,216028000,121131000,397903000,161218000,- -
84,CAPEX,- -,-11284000,-18650000,- -,- -,- -,- -,- -,- -,- -,- -,-114216000,-105084000,-187882000,-135436000,-71651000,- -
85,Acquisitions Net,-187283000,- -,- -,- -,- -,- -,-193393000,-239065000,-109482000,-131392000,-57876000,-593793000,-26968000,-109896000,-32505000,-355573000,- -
86,Purchases of Investments,- -,-5000000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,- -,- -,- -
88,Other Investing Activites,-12874000,- -,- -,-31656000,-41638000,- -,-26705000,-129883000,-188831000,-104383000,-188880000,-1088000,3307000,12969000,214024000,111432000,- -
89,Cash Used for Investing Activites,-200157000,-5011284000,-18650000,-31656000,-41638000,- -,-220098000,-368948000,-298313000,-235775000,-246756000,-709097000,-248745000,-164809000,46083000,-315792000,- -
90,Debt Repayment,357000,- -,- -,755000,1658000,1456000,339000,76000,542000,45000,73000,-47789000,-230458000,-568292000,-581749000,-568733000,- -
91,Common Stock Issued,- -,- -,- -,- -,122561000,12599000,265318000,220441000,16890000,289584000,297247000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-75813000,-17039000,-22073000,-18385000,-33742000,- -,-399821000,-412127000,-556715000,-53856000,- -
93,Dividends Paid,-20213000,- -,- -,-25797000,-14491000,-11477000,-17722000,-33959000,-48010000,-59149000,-70512000,-54278000,-83811000,-21700000,-120975000,-123173000,- -
94,Other Financing Activites,263301000,- -,2967142000,35656000,-79159000,-12744000,75745000,89261000,278591000,-69229000,-30848000,1006962000,1138635000,1013735000,831299000,1199751000,- -
95,Cash Used/Provided by Financing Activities,243445000,- -,2967142000,10614000,30569000,-10166000,247867000,258780000,225940000,142866000,162218000,904895000,424545000,11616000,-428140000,453989000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4258000,4482000,-3978000,-5709000,4845000,- -
97,Net Change In Cash,61661000,- -,- -,4969000,22166000,-24211000,68855000,-58774000,5034000,-3688000,15357000,188636000,440768000,-6511000,5137000,304260000,- -
98,Cash at the End of Period,61662000,1243414000,771301000,9003000,31169000,6958000,75813000,17039000,22073000,18385000,33742000,446679000,887447000,880936000,886073000,1190333000,- -
99,Cash at the Beginning of Period,1000,- -,- -,4034000,9003000,31169000,6958000,75813000,17039000,22073000,18385000,258043000,446679000,887447000,880936000,886073000,1190333000
100,Free Cash Flow,18373000,-677943000,-3439255000,26011000,33235000,- -,41086000,51394000,77407000,89221000,99895000,-151874000,110944000,-66751000,262467000,89567000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1302343/000095014406003046/0000950144-06-003046-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000095014407002200/0000950144-07-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000095014408001636/0000950144-08-001636-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000136231009003898/0001362310-09-003898-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000114420410013579/0001144204-10-013579-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000114420411013598/0001144204-11-013598-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000114420412013804/0001144204-12-013804-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000130234313000012/0001302343-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1302343/000130234314000021/0001302343-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000130234315000066/0001302343-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1302343/000130234316000290/0001302343-16-000290-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1766363/000095017022003940/0000950170-22-003940-index.htm
102,false,,,,,,,,,,,,,,,,,
