,https://roic.ai/company/SCSC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/918965/000102140801507451/0001021408-01-507451-index.html,- -,https://www.sec.gov/Archives/edgar/data/918965/000119312503054725/d10k.htm,https://www.sec.gov/Archives/edgar/data/918965/000119312504154830/d10k.htm,https://www.sec.gov/Archives/edgar/data/918965/000119312505179092/d10k.htm,https://www.sec.gov/Archives/edgar/data/918965/000119312506184564/d10k.htm,https://www.sec.gov/Archives/edgar/data/918965/000119312507191223/0001193125-07-191223-index.html,https://www.sec.gov/Archives/edgar/data/918965/000119312508186801/0001193125-08-186801-index.html,https://www.sec.gov/Archives/edgar/data/918965/000119312509183045/0001193125-09-183045-index.html,https://www.sec.gov/Archives/edgar/data/918965/000119312510198116/0001193125-10-198116-index.html,https://www.sec.gov/Archives/edgar/data/918965/000119312511235318/0001193125-11-235318-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896512000014/0000918965-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896513000026/0000918965-13-000026-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896514000019/0000918965-14-000019-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896515000020/0000918965-15-000020-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896516000052/scsc0630201610k.htm,https://www.sec.gov/Archives/edgar/data/918965/000091896517000022/0000918965-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896518000022/0000918965-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/918965/000091896519000020/scsc0630201910k.htm,https://www.sec.gov/Archives/edgar/data/918965/000091896520000023/0000918965-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/918965/000091896521000022/0000918965-21-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-200000,400000,1500000,1900000,2500000,4800000,7500000,13785000,16464000,19942000,22574000,29982000,35732000,40109000,42626000,55632000,47688000,48812000,73523000,74288000,34662000,81789000,65419000,63619000,69246000,33153000,57597000,-192654000,10795000
74,Depreciation and Amortization,100000,100000,100000,300000,500000,900000,1200000,2678000,4434000,4655000,5024000,5350000,5505000,5766000,6930000,7127000,6781000,6064000,6662000,9922000,8457000,7375000,11997000,17154000,24968000,37495000,36618000,35328000,33507000
75,Deferred Income Tax,- -,-200000,- -,-300000,-500000,-800000,-2800000,-3649000,-1191000,237000,2218000,-51000,-1837000,-5750000,992000,-94000,1763000,-4658000,-1431000,-6377000,-19630000,8606000,3921000,1846000,-1861000,-22286000,-2900000,-12193000,2916000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4738000,6065000,4877000,6840000,5618000,5248000,6522000,7093000,6602000,6459000,6122000,5478000,8039000
77,Change in Working Capital,500000,- -,13700000,28000000,2900000,29444000,15258000,39701000,-526000,53119000,33442000,42558000,88859000,15681000,31011000,37306000,95214000,1362000,80849000,101472000,-49896000,-22161000,-19045000,27103000,124578000,-291969000,2244000,77294000,23575000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54186000,-79145000,-77305000,-36666000,13746000,-31860000,-14476000,14167000,-66129000,-46766000,-12598000,57477000,-118859000
79,Inventory,- -,- -,-6000000,-11200000,-3200000,-7500000,-18800000,-51372000,-43872000,-11380000,31414000,-30090000,5962000,-63604000,-21138000,85000,58929000,-133492000,-79654000,-27043000,86821000,-99214000,-37695000,2999000,28449000,-59498000,-104594000,86177000,-12301000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32267000,57977000,78298000,28306000,-56837000,57532000,28280000,-71706000,19861000,44464000,-2730000,-20846000,175120000
81,Other Working Capital,6500000,6500000,20200000,48200000,51100000,80544000,95802000,135503000,134977000,188096000,221538000,264096000,352955000,368636000,399647000,436953000,532167000,533529000,614378000,715850000,665954000,643793000,624748000,651851000,776429000,484460000,486704000,563998000,587573000
82,Other Non-Cash Items,-100000,-3000000,-17100000,-38200000,-5600000,-55344000,-458000,-76531000,400000,-76108000,-31806000,-94263000,-114411000,-43281000,-107506000,-37082000,-12934000,-135809000,-153792000,-126187000,150233000,-33135000,6708000,-64604000,-128657000,265019000,-126808000,313018000,62108000
83,Cash Provided by Operating Activities,300000,-2700000,-1800000,-8300000,-200000,-21000000,20700000,-24016000,19581000,1845000,31452000,-16424000,13848000,12525000,-25947000,62889000,143250000,-78164000,10688000,59958000,129444000,47722000,75522000,52211000,94876000,27871000,-27127000,226271000,140940000
84,CAPEX,-300000,-100000,-700000,-700000,-1000000,-3500000,-2100000,-13468000,-7619000,-8520000,-6324000,-2484000,-4093000,-9431000,-4542000,-6982000,-3655000,-5606000,-14869000,-12790000,-4831000,-11228000,-20762000,-12081000,-12432000,-8159000,-7215000,-6387000,-2363000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-1000000,-51000000,-11000000,- -,-10000000,-36000000,- -,- -,- -,-60000000,-61000000,-84000000,-144000000,-32000000,- -,34356000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,-300000,-700000,-200000,-100000,-1200000,- -,-110000,-17268000,-20460000,-561000,-540000,-300000,-348000,415000,6570000,-2497000,-5600000,-228000,-12790000,-4831000,-11228000,-20541000,-12556000,-12236000,-7927000,-7376000,-55385000,-2421000
89,Cash Used for Investing Activites,-400000,-400000,-1400000,-900000,-1100000,-4700000,-2100000,-13578000,-24887000,-28980000,-6885000,-3024000,-9393000,-10779000,-55127000,-11412000,-2497000,-15600000,-51097000,-12790000,-4831000,-11228000,-80541000,-73556000,-96236000,-151927000,-39376000,-55385000,31935000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26141000,- -,1706000,- -,-515877000,- -,-102987000,-1308208000,-1792866000,-2150250000,-2116192000,-2192360000,-1958525000
91,Common Stock Issued,500000,4900000,100000,7400000,- -,26400000,- -,2029000,1466000,2265000,4992000,4268000,2135000,2673000,1125000,8238000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18768000,-100206000,-20882000,- -,-9483000,-6078000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1200000,2500000,1300000,-1100000,-3400000,24895000,-178000,25545000,-28000000,13590000,880000,-9139000,77869000,-46816000,-2085000,1322000,31951000,-42292000,510899000,9285000,64862000,1372109000,1810242000,2247758000,2189908000,2041831000,1810207000
95,Cash Used/Provided by Financing Activities,500000,4900000,1300000,9000000,1300000,25300000,-3400000,26924000,1288000,27810000,-23008000,17858000,3015000,-6466000,78994000,-38578000,-28226000,1322000,33657000,-42292000,-4978000,9285000,-56893000,-36305000,-3506000,97508000,64233000,-156607000,-148318000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,328000,-290000,72000,92000,-58000,113000,461000,-87000,-617000,894000,-4450000,-644000,908000,-11293000,-2596000,-440000,-4016000,558000,-3642000,3706000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,15200000,-10670000,-4018000,1003000,1269000,-1518000,7562000,-4778000,-1967000,13360000,112440000,-93059000,-5858000,426000,118991000,46687000,-73205000,-60246000,-5306000,-30564000,-1712000,10637000,28263000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,15300000,4612000,594000,1297000,2565000,1047000,8609000,3831000,1864000,15224000,127664000,34605000,28747000,29173000,148164000,194851000,121646000,61400000,56094000,25530000,23818000,34455000,62718000
99,Cash at the Beginning of Period,- -,300000,2100000,200000,- -,400000,100000,15282000,4612000,294000,1296000,2565000,1047000,8609000,3831000,1864000,15224000,127664000,34605000,28747000,29173000,148164000,194851000,121646000,61400000,56094000,25530000,23818000,34455000
