,https://roic.ai/company/EME,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,439000000,436000000,510700000,555000000,630000000,850600000,983876000,998374000,1200777000,1258563000,1314170000,1232014000,1332266000,1574971000,1390973000,1057171000,1090927000,1302668000,1315017000,1358953000,1337388000,1477596000,1626128000,1730543000,1931863000,2208643000,2094052000,2434662000
35,Inventory,6900000,8000000,9100000,7400000,7200000,9800000,6909000,7158000,12271000,9863000,10580000,10175000,18015000,52247000,54601000,34468000,32778000,44914000,50512000,52123000,46854000,37545000,37426000,42724000,42321000,40446000,53338000,54098000
36,Other Current Assets,115800000,135900000,8200000,10900000,11700000,9000000,10290000,22026000,28784000,42470000,30417000,43829000,38397000,56935000,159297000,158751000,145626000,77749000,73621000,79216000,70305000,65447000,82676000,43812000,48116000,51976000,70679000,80889000
37,Total Current Assets,614200000,632900000,578700000,622700000,732000000,928000000,1138760000,1217324000,1334935000,1389156000,1425571000,1389803000,1662413000,1935790000,2010740000,1977365000,1980167000,1936653000,2044453000,1930105000,1886603000,2067419000,2210847000,2284509000,2386207000,2659883000,3120936000,3390994000
38,PP&E,33700000,27100000,27000000,27200000,32100000,36500000,38959000,42548000,70750000,66156000,56468000,46443000,52780000,83963000,96716000,92057000,88615000,101663000,116631000,123414000,122178000,122018000,127951000,127156000,134351000,401658000,400582000,412844000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288165000,563918000,582714000,593628000,406804000,566805000,566588000,834825000,834102000,843170000,979628000,964893000,990887000,1063911000,851783000,890268000
40,Intangible Assets,- -,- -,- -,- -,- -,68000000,67625000,56011000,304257000,300220000,298214000,300402000,38251000,252146000,292128000,264522000,245089000,370373000,343748000,541497000,502060000,472834000,487398000,495036000,488286000,611444000,582893000,589365000
41,Intangible Assets,- -,- -,- -,- -,- -,68000000,67625000,56011000,304257000,300220000,298214000,300402000,326416000,816064000,874842000,858150000,651893000,937178000,910336000,1376322000,1336162000,1316004000,1467026000,1459929000,1479173000,1675355000,1434676000,1479633000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,30000000,23000000,14958000,19287000,6211000,5618000,4959000,6799000,9122000,8359000,8792000,2309000,2899000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,59600000,50900000,9000000,10800000,36900000,24000000,16520000,33781000,48549000,39715000,37716000,13293000,17414000,12826000,11148000,35035000,28656000,32964000,30691000,29275000,34902000,32670000,79554000,92001000,86177000,93462000,107646000,157975000
45,Total Non-Current Assets,93300000,78000000,36000000,38000000,69000000,128500000,123104000,132340000,423556000,406091000,392398000,389138000,426610000,935853000,997664000,1004529000,775375000,1077423000,1062617000,1535810000,1502364000,1479051000,1683323000,1681395000,1702600000,2170475000,1942904000,2050452000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,707500000,710900000,614700000,660700000,801000000,1056500000,1261864000,1349664000,1758491000,1795247000,1817969000,1778941000,2089023000,2871643000,3008404000,2981894000,2755542000,3014076000,3107070000,3465915000,3388967000,3546470000,3894170000,3965904000,4088807000,4830358000,5063840000,5441446000
48,Accounts Payable,219600000,224000000,218100000,239100000,246900000,342900000,365139000,313227000,409562000,451713000,467415000,452709000,908476000,1109745000,500881000,379764000,416715000,477801000,490621000,487738000,460478000,488251000,501213000,567840000,652091000,665402000,671886000,734275000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,134276000,139767000,80806000,551000,659000,3791000,3886000,45100000,489000,1522000,1787000,19332000,19041000,18848000,15030000,15364000,16013000,71236000,70542000,74049000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383527000,381295000,368555000,429235000,489242000,524156000,552290000,623642000,722252000,788134000
52,Other Current Liabilities,302400000,301500000,203600000,217500000,265000000,374700000,487248000,541034000,636037000,586977000,614152000,592056000,299213000,400687000,1008388000,909741000,815495000,851590000,418584000,410378000,435343000,477394000,506289000,543592000,514004000,578330000,698552000,765273000
53,Total Current Liabilities,522000000,525500000,421700000,456600000,511900000,717600000,852387000,854261000,1179875000,1178457000,1162373000,1045316000,1208348000,1514223000,1513155000,1334605000,1232699000,1330913000,1294519000,1298743000,1283417000,1413728000,1511774000,1650952000,1734398000,1938610000,2163232000,2361731000
54,Long-Term Debt,59800000,68200000,73100000,63200000,117300000,116000000,115878000,848000,905000,561000,1332000,1406000,1239000,223453000,196218000,150251000,151184000,153335000,154112000,335331000,316399000,300065000,408296000,294786000,279764000,288548000,464981000,466286000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,44600000,46600000,36000000,45600000,52000000,52700000,60096000,72622000,87841000,94873000,91903000,116783000,169127000,248926000,255686000,270572000,208814000,284697000,301260000,352215000,359764000,352621000,436158000,346049000,333204000,545420000,382383000,360340000
58,Total Non-Current Liabilities,104400000,114800000,109100000,108800000,169300000,168700000,175974000,73470000,88746000,95434000,93235000,118189000,170366000,472379000,451904000,420823000,359998000,438032000,455372000,687546000,676163000,652686000,844454000,640835000,612968000,833968000,847364000,826626000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3886000,45100000,209303000,1522000,- -,- -,- -,- -,- -,- -,- -,267773000,268960000,286687000
61,Total Liabilities,626400000,640300000,530800000,565400000,681200000,886300000,1028361000,927731000,1268621000,1273891000,1255608000,1163505000,1378714000,1986602000,1965059000,1755428000,1592697000,1768945000,1749891000,1986289000,1959580000,2066414000,2356228000,2291787000,2347366000,2772578000,3010596000,3188357000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,100000,117000,159000,161000,162000,163000,333000,336000,678000,681000,687000,690000,681000,680000,676000,636000,617000,606000,599000,601000,604000,606000,607000
64,Retained Earnings,- -,-10900000,-1400000,6200000,18500000,46300000,86386000,136398000,199300000,219921000,253128000,313170000,399804000,526307000,708511000,869267000,782576000,910042000,1022239000,1133873000,1280991000,1432980000,1596269000,1796556000,2060440000,2367481000,2480321000,2835504000
65,Other Comprehensive Income/Loss,- -,-8600000,-13700000,-17100000,-24300000,-30500000,-47728000,-62551000,-5148000,1257000,7699000,-5370000,-28189000,-15102000,-49318000,-52699000,-42411000,-78649000,-81040000,-65777000,-83197000,-76953000,-101703000,-94200000,-87662000,-89288000,-109233000,-83562000
66,Other Total Stockholders Equity,81100000,90100000,99000000,106200000,125600000,154300000,194728000,347927000,295557000,300016000,301371000,307303000,338358000,373158000,383471000,400816000,412088000,402660000,404201000,397493000,217583000,120067000,41917000,-29688000,-232834000,-221663000,-319026000,-500162000
67,Total Stockholders Equity,81100000,70600000,83900000,95300000,119800000,170200000,233503000,421933000,489870000,521356000,562361000,615436000,710309000,885041000,1043345000,1218071000,1152943000,1234734000,1346080000,1466265000,1416013000,1476711000,1537089000,1673267000,1740545000,2057134000,2052668000,2252387000
68,Total Liabilities And Stockholders Equity,707500000,710900000,614700000,660700000,801000000,1056500000,1261864000,1349664000,1758491000,1795247000,1817969000,1778941000,2089023000,2871643000,3008404000,2973499000,2745640000,3003679000,3095971000,3452554000,3375593000,3543125000,3893317000,3965054000,4087911000,4829712000,5063264000,5440744000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8395000,9902000,10397000,11099000,13361000,13374000,3345000,853000,850000,896000,646000,576000,702000
70,Total Liabilities & Equity,707500000,710900000,614700000,660700000,801000000,1056500000,1261864000,1349664000,1758491000,1795247000,1817969000,1778941000,2089023000,2871643000,3008404000,2981894000,2755542000,3014076000,3107070000,3465915000,3388967000,3546470000,3894170000,3965904000,4088807000,4830358000,5063840000,5441446000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/105634/000095013096000829/0000950130-96-000829-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563497000001/0000105634-97-000001-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/105634/000088981200000931/0000889812-00-000931-index.html,https://www.sec.gov/Archives/edgar/data/105634/000093041301000293/0000930413-01-000293-index.html,https://www.sec.gov/Archives/edgar/data/105634/000093041302000457/0000930413-02-000457-index.html,https://www.sec.gov/Archives/edgar/data/105634/000093041303000565/0000930413-03-000565-index.html,https://www.sec.gov/Archives/edgar/data/105634/000093041304000587/0000930413-04-000587-index.html,https://www.sec.gov/Archives/edgar/data/105634/000093041305001671/0000930413-05-001671-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/105634/000093041308001130/0000930413-08-001130-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000093041309001016/0000930413-09-001016-index.html,https://www.sec.gov/Archives/edgar/data/105634/000093041310000960/0000930413-10-000960-index.html,https://www.sec.gov/Archives/edgar/data/105634/000095012311018213/y88228e10vk.htm,https://www.sec.gov/Archives/edgar/data/105634/000119312512079814/0001193125-12-079814-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563413000042/0000105634-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563414000042/eme-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563415000041/eme-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563416000297/0000105634-16-000297-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563417000043/0000105634-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563418000045/0000105634-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563419000044/0000105634-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563420000043/0000105634-20-000043-index.html,https://www.sec.gov/Archives/edgar/data/105634/000010563421000044/0000105634-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563422000006/0000105634-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,302700000,-10900000,9400000,7600000,12300000,27800000,40089000,50012000,62902000,20621000,33207000,60042000,86634000,126808000,182204000,160756000,-86691000,130826000,146584000,123792000,168664000,172286000,181935000,227196000,283531000,325140000,132943000,383532000
74,Depreciation and Amortization,15700000,8900000,7900000,8200000,10600000,14100000,16101000,18200000,16756000,25951000,26308000,22631000,21310000,37671000,48517000,45745000,41915000,53776000,60966000,67338000,74490000,74189000,79789000,88509000,80915000,92087000,106671000,112436000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,3725000,7432000,7451000,13704000,5002000,-6169000,-23313000,-9492000,2922000,-15390000,8826000,6626000,1318000,7891000,-10617000,-8867000,-58999000,4177000,1701000,-36354000,9517000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5905000,7454000,5742000,5447000,6766000,6943000,8121000,8801000,8902000,9939000,11030000,11386000,11151000,11107000
77,Change in Working Capital,4300000,- -,15200000,49600000,9100000,54000000,-9700000,75973000,76690000,-208003000,55639000,52499000,81289000,109578000,-32498000,76018000,145175000,104708000,-141728000,144194000,-118572000,-28176000,50505000,45382000,-65516000,18252000,69464000,-208359000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57246000,354206000,-8342000,-75529000,-12852000,-3221000,27409000,-115303000,-98773000,-80514000,-146101000,-135954000,139377000,-246856000
79,Inventory,-6900000,-16300000,-11200000,3000000,1200000,14700000,76376000,-59217000,-14174000,-29018000,21130000,28837000,100612000,148688000,-601000,20135000,2118000,-10549000,-5597000,-865000,5269000,9733000,954000,-4936000,-3915000,4345000,-12709000,-116000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43740000,-135107000,16992000,34727000,5425000,-12904000,-25122000,25440000,13141000,54910000,78554000,-33971000,-9022000,54849000
81,Other Working Capital,92200000,92200000,107400000,157000000,166100000,220100000,210400000,286373000,363063000,155060000,210699000,263198000,344487000,454065000,421567000,497585000,642760000,747468000,605740000,749934000,631362000,603186000,653691000,699073000,633557000,651809000,721273000,-12161000
82,Other Non-Cash Items,-316800000,12700000,600000,-39800000,3300000,-60300000,44946000,-66819000,-9083000,155290000,-74375000,3135000,26278000,8277000,140390000,66217000,-22099000,-154158000,105194000,-193516000,106063000,50183000,-47703000,54107000,-43126000,-92866000,522491000,10584000
83,Cash Provided by Operating Activities,5900000,10700000,33100000,25600000,35300000,35600000,91436000,81091000,154697000,1310000,54483000,143309000,209342000,259021000,335026000,359112000,68652000,149425000,184408000,150069000,246657000,266666000,264561000,366134000,271011000,355700000,806366000,318817000
84,CAPEX,-4200000,-4500000,-7400000,-9800000,-39500000,-66500000,-16698000,-17939000,-15585000,-17940000,-16134000,-12445000,-19733000,-21501000,-37514000,-24100000,-19359000,-29581000,-37875000,-35497000,-38035000,-35460000,-39648000,-34684000,-43479000,-48432000,-47969000,-36192000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-4234000,-8750000,-343358000,-10943000,-1568000,-10690000,-40732000,-513064000,-90159000,-29686000,-39902000,-274679000,-20613000,-455471000,-2757000,-28195000,-233046000,-107898000,-75564000,-303232000,-50357000,-119834000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-297000,- -,-65000,-17667000,-22433000,- -,- -,- -,-99000,-675000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,25570000,- -,35305000,4616000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1100000,600000,65800000,-900000,-700000,6000000,2765000,-4528000,-5860000,5620000,13744000,3031000,-5611000,2721000,3843000,1215000,1032000,1409000,3070000,2930000,19124000,3847000,2122000,5164000,1321000,6325000,3463000,2950000
89,Cash Used for Investing Activites,-3100000,-3900000,58400000,-10700000,-40200000,-60500000,-11120000,-31217000,-364803000,-23263000,-3958000,-20104000,-66076000,-531844000,-124127000,-52571000,-32724000,-320518000,-42546000,-483422000,-21668000,-59808000,-270671000,-138093000,-117722000,-345339000,-94863000,-153076000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87517000,-4126000,-204258000,-5242000,-2018000,-404705000,-19169000,-20251000,-514374000,-116647000,-16736000,-44769000,-541457000,-18064000
91,Common Stock Issued,- -,- -,500000,400000,23000000,10200000,426000,2064000,2507000,1963000,1590000,1742000,10400000,10310000,379000,2165000,2305000,2310000,2549000,2854000,3615000,4223000,4814000,4793000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-14000000,-2900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27523000,-23912000,-26070000,-201994000,-104330000,-94221000,-93166000,-216244000,- -,-112553000,-195546000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1350000,-2500000,-3336000,-34073000,-12080000,-21293000,-20095000,-19454000,-18971000,-18640000,-17950000,-17674000,-28163000
94,Other Financing Activites,10200000,-6400000,-94300000,-16700000,29600000,-6900000,-1609000,143000,110936000,5147000,-59971000,-80271000,6098000,233436000,62140000,5004000,157292000,4503000,6867000,607032000,8891000,-9020000,613806000,-4479000,-1422000,43472000,499777000,-3683000
95,Cash Used/Provided by Financing Activities,10200000,-6400000,-93800000,-16300000,38600000,400000,-1183000,2207000,113443000,7110000,-58381000,-78529000,16498000,243746000,-24998000,1693000,-47161000,-29288000,-50587000,167031000,-229950000,-149473000,-9429000,-228470000,-253042000,-19247000,-171907000,-245456000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8525000,1485000,-31669000,12872000,-4906000,867000,2706000,832000,-2796000,-2610000,-6675000,3242000,-3421000,2592000,4046000,-1279000
97,Net Change In Cash,- -,- -,- -,- -,- -,-24500000,79133000,52081000,-96663000,-14843000,-7856000,44676000,169950000,-22098000,154232000,321106000,-16139000,-199514000,93981000,-165490000,-7757000,54775000,-22214000,2813000,-103174000,-6294000,543642000,-80994000
