,https://roic.ai/company/CMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,26500000,20400000,33600000,25800000,19100000,9300000,11700000,11500000,18800000,19100000,21000000,24300000,33000000,31000000,44700000,20067000,33289000,33245000,75058000,123559000,119404000,180719000,419275000,219026000,405603000,399313000,222390000,262422000,378770000,434925000,485323000,517544000,252595000,622473000,192461000,542103000,497745000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,91068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26500000,20400000,33600000,25800000,19100000,9300000,11700000,11500000,18800000,19100000,21000000,24300000,33000000,31000000,44700000,20067000,56289000,124313000,75058000,123559000,119404000,180719000,419275000,219026000,405603000,399313000,222390000,262422000,378770000,434925000,485323000,517544000,252595000,622473000,192461000,542103000,497745000
34,Net Receivables,88700000,101500000,101600000,116900000,157500000,156900000,177400000,209300000,163400000,228000000,268700000,294600000,289700000,318700000,304300000,357719000,299547000,350885000,397490000,607005000,829192000,1134823000,1082713000,1369453000,731282000,824339000,956852000,958364000,989694000,1028425000,900619000,765784000,706595000,749484000,1016088000,880728000,1105580000
35,Inventory,80400000,75800000,61800000,81300000,84300000,82200000,93900000,106200000,136600000,133700000,208100000,186200000,220600000,257200000,249700000,277455000,236679000,268040000,310816000,645484000,706951000,762635000,874104000,1400332000,678541000,674680000,908338000,807923000,757417000,935411000,781371000,652754000,614459000,589005000,692368000,625393000,935387000
36,Other Current Assets,2600000,2400000,4100000,6200000,54500000,40800000,35800000,51300000,79700000,65300000,36300000,34400000,42000000,66600000,63600000,59777000,49662000,50914000,61053000,48184000,45370000,66615000,82760000,228632000,182126000,276874000,238673000,211122000,240314000,155030000,139788000,112043000,140251000,116243000,179088000,165879000,198116000
37,Total Current Assets,198200000,200100000,201100000,230200000,315400000,289200000,318800000,378300000,398500000,446100000,534100000,539500000,585300000,673500000,662300000,715018000,642177000,794152000,844417000,1424232000,1700917000,2144792000,2458852000,3217443000,1997552000,2175206000,2326253000,2239831000,2366195000,2553791000,2307101000,2048125000,1713900000,2077205000,2080005000,2214103000,2736828000
38,PP&E,64600000,70800000,83100000,88200000,93800000,114600000,132700000,130700000,139300000,156800000,209700000,222700000,247300000,318500000,402300000,407512000,395851000,378155000,374382000,451490000,505584000,588686000,767353000,1154322000,1351389000,1232268000,1112015000,994304000,940237000,925098000,883650000,895049000,1061283000,1075038000,1500971000,1571067000,1566123000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35749000,37843000,84837000,74236000,71580000,77638000,76897000,69579000,74319000,66383000,66373000,64915000,64310000,64138000,64321000,66137000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30542000,30542000,- -,- -,- -,- -,- -,- -,25190000,19921000,24234000,16348000,12581000,12780000,14022000,13312000,12648000,10101000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30542000,30542000,35749000,37843000,84837000,74236000,71580000,77638000,102087000,89500000,98553000,82731000,78954000,77695000,78332000,77450000,76969000,76238000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,19700000,22700000,18100000,19000000,10000000,11900000,9300000,6700000,4200000,2000000,4300000,4600000,6500000,10600000,14400000,50332000,46772000,57769000,56607000,81782000,95879000,129641000,208615000,289769000,264379000,227099000,167225000,105024000,98869000,111078000,98820000,108741000,122253000,97729000,100345000,219589000,259482000
45,Total Non-Current Assets,84300000,93500000,101200000,107200000,103800000,126500000,142000000,137400000,143500000,158800000,214000000,227300000,253800000,329100000,416700000,457844000,442623000,435924000,430989000,563814000,632005000,754076000,1013811000,1528928000,1690004000,1530947000,1356878000,1201415000,1128606000,1134729000,1065201000,1082744000,1261231000,1251099000,1678766000,1867625000,1901843000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,282500000,293600000,302300000,337400000,419200000,415700000,460800000,515700000,542000000,604900000,748100000,766800000,839100000,1002600000,1079000000,1172862000,1084800000,1230076000,1275406000,1988046000,2332922000,2898868000,3472663000,4746371000,3687556000,3706153000,3683131000,3441246000,3494801000,3688520000,3372302000,3130869000,2975131000,3328304000,3758771000,4081728000,4638671000
48,Accounts Payable,- -,- -,- -,- -,63800000,68700000,78700000,87800000,100600000,84600000,107900000,117000000,137000000,156400000,191500000,194538000,201292000,275209000,300662000,501806000,549328000,668121000,638081000,1031269000,453565000,731021000,755972000,529002000,454959000,548860000,302457000,243537000,282127000,261258000,288005000,266102000,450723000
49,Short-Term Debt,2600000,1500000,2600000,3700000,5300000,10700000,28400000,59100000,45800000,96800000,19300000,11500000,11500000,112300000,14400000,101294000,10288000,631000,15640000,11782000,7223000,120162000,4726000,137632000,34561000,47041000,65108000,28795000,11201000,20293000,30200000,313469000,19182000,19746000,17439000,18149000,54366000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38660000,43362000,57548000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76991000,6035000,- -
52,Other Current Liabilities,99700000,92600000,94400000,121400000,86300000,69500000,91800000,57000000,68600000,89600000,141200000,135600000,129600000,157400000,165800000,143358000,138362000,139307000,128689000,269889000,335391000,394022000,429782000,563580000,327212000,324897000,377774000,343337000,314949000,322000000,284691000,264112000,307129000,260939000,312155000,454977000,475384000
53,Total Current Liabilities,102300000,94100000,97000000,125100000,155400000,148900000,198900000,203900000,215000000,271000000,268400000,264100000,278100000,426100000,371700000,439190000,349942000,415147000,444991000,783477000,891942000,1182305000,1072589000,1732481000,815338000,1102959000,1198854000,901134000,781109000,891153000,617348000,821118000,608438000,541943000,694590000,745263000,980473000
54,Long-Term Debt,31900000,37900000,35200000,30800000,60500000,54400000,45500000,87200000,76700000,72100000,158000000,146500000,185200000,173800000,265600000,261884000,251638000,255969000,254997000,393368000,386741000,322086000,706817000,1197533000,1181740000,1197282000,1167497000,1157073000,1278814000,1281042000,1277882000,757948000,805580000,1138619000,1227214000,1065536000,1015415000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,14600000,15000000,15300000,13300000,12300000,12000000,12800000,12500000,14800000,19100000,18600000,21000000,20800000,21400000,23300000,31131000,30405000,32813000,44419000,50433000,45629000,34550000,31977000,50160000,44564000,43668000,49572000,20271000,46558000,55600000,55803000,63021000,49197000,37834000,79290000,130810000,112067000
57,Other Non-Current Liabilities,- -,- -,-100000,- -,100000,- -,- -,- -,100000,-100000,-100000,100000,100000,-100000,-100000,20041000,17342000,24841000,24066000,53801000,58627000,78789000,109813000,124171000,113850000,108870000,106560000,116261000,118165000,112134000,101919000,121351000,110986000,116325000,133620000,250706000,235607000
58,Total Non-Current Liabilities,46500000,52900000,50400000,44100000,72900000,66400000,58300000,99700000,91600000,91100000,176500000,167600000,206100000,195100000,288800000,313056000,299385000,313623000,323482000,497602000,490997000,435425000,848607000,1371864000,1340154000,1349820000,1323629000,1293605000,1443537000,1448776000,1435604000,942320000,965763000,1292778000,1440124000,1447052000,1363089000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,148800000,147000000,147400000,169200000,228300000,215300000,257200000,303600000,306600000,362100000,444900000,431700000,484200000,621200000,660500000,752246000,649327000,728770000,768473000,1281079000,1382939000,1617730000,1921196000,3104345000,2155492000,2452779000,2522483000,2194739000,2224646000,2339929000,2052952000,1763438000,1574201000,1834721000,2134714000,2192315000,2343562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80700000,80663000,80663000,161326000,161326000,161326000,322652000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000,1290000
64,Retained Earnings,96200000,102800000,110100000,131300000,140000000,160300000,26300000,173800000,189900000,193000000,224000000,262800000,293600000,328600000,368200000,407128000,424688000,392004000,401869000,524126000,644319000,980454000,1296631000,1471542000,1438205000,1178372000,993578000,1145445000,1166732000,1225855000,1311544000,1372988000,1363806000,1446495000,1585379000,1807826000,2162925000
65,Other Comprehensive Income/Loss,-64400000,-75400000,-89500000,-105700000,-118300000,-136700000,-157000000,-166600000,-187800000,-213700000,-247000000,-284300000,-323300000,-361900000,-402000000,-448616000,-501045000,-543624000,2368000,12713000,18693000,33239000,64452000,112781000,34257000,-12526000,59473000,-18136000,-27176000,-19509000,-113535000,-112914000,-81513000,-93677000,-124126000,-103764000,-84820000
66,Other Total Stockholders Equity,101900000,119200000,134300000,142600000,169200000,176800000,334300000,204900000,233300000,263500000,326200000,356600000,384600000,414700000,371600000,381441000,431167000,491600000,-58630000,-37538000,-86103000,205121000,186194000,52770000,55941000,83600000,106084000,117769000,129153000,140844000,- -,105908000,117174000,139289000,161318000,183849000,215482000
67,Total Stockholders Equity,133700000,146600000,154900000,168200000,190900000,200400000,203600000,212100000,235400000,242800000,303200000,335100000,354900000,381400000,418500000,420616000,435473000,501306000,506933000,660627000,899561000,1220104000,1548567000,1638383000,1529693000,1250736000,1160425000,1246368000,1269999000,1348480000,1319201000,1367272000,1400757000,1493397000,1623861000,1889201000,2294877000
68,Total Liabilities And Stockholders Equity,282500000,293600000,302300000,337400000,419200000,415700000,460800000,515700000,542000000,604900000,748100000,766800000,839100000,1002600000,1079000000,1172862000,1084800000,1230076000,1275406000,1941706000,2282500000,2837834000,3469763000,4742728000,3685185000,3703515000,3682908000,3441107000,3494645000,3688409000,3372153000,3130710000,2974958000,3328118000,3758575000,4081516000,4638439000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46340000,50422000,61034000,2900000,3643000,2371000,2638000,223000,139000,156000,111000,149000,159000,173000,186000,196000,212000,232000
70,Total Liabilities & Equity,282500000,293600000,302300000,337400000,419200000,415700000,460800000,515700000,542000000,604900000,748100000,766800000,839100000,1002600000,1079000000,1172862000,1084800000,1230076000,1275406000,1988046000,2332922000,2898868000,3472663000,4746371000,3687556000,3706153000,3683131000,3441246000,3494801000,3688520000,3372302000,3130869000,2975131000,3328304000,3758771000,4081728000,4638671000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013494001441/0000950134-94-001441-index.html,https://www.sec.gov/Archives/edgar/data/22444/000095013495003133/0000950134-95-003133-index.html,https://www.sec.gov/Archives/edgar/data/22444/000095013496006610/0000950134-96-006610-index.html,https://www.sec.gov/Archives/edgar/data/22444/000095013497008875/0000950134-97-008875-index.html,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013499010599/0000950134-99-010599-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013402015009/0000950134-02-015009-index.html,- -,https://www.sec.gov/Archives/edgar/data/22444/000095013404017154/0000950134-04-017154-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013405021079/0000950134-05-021079-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013406020896/0000950134-06-020896-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013407022255/0000950134-07-022255-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095013408018786/0000950134-08-018786-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095012309055736/0000950123-09-055736-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095012310098248/0000950123-10-098248-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000095012311093536/0000950123-11-093536-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244412000006/0000022444-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244413000012/0000022444-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244414000021/0000022444-14-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/22444/000002244416000059/0000022444-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244417000027/0000022444-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244418000035/0000022444-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244419000042/0000022444-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244420000047/0000022444-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/22444/000002244421000126/0000022444-21-000126-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,28500000,25900000,12000000,12500000,21700000,26200000,38200000,46000000,38600000,42700000,47100000,46255000,24340000,40525000,18904000,132021000,285781000,356347000,355431000,231966000,20802000,-205344000,-129617000,207484000,77315000,115551000,141634000,54762000,46332000,138506000,198093000,279503000,412865000
74,Depreciation and Amortization,- -,- -,- -,- -,20200000,22200000,23600000,25600000,27400000,30100000,38100000,41600000,43700000,47500000,52100000,66583000,67272000,61579000,61203000,71044000,76610000,85378000,107305000,135069000,154679000,168934000,159576000,137310000,136548000,136004000,132779000,126940000,125071000,131659000,158671000,165758000,167613000
75,Deferred Income Tax,- -,- -,- -,- -,-1000000,-200000,800000,-300000,2300000,4300000,-500000,- -,-200000,500000,1900000,7868000,-726000,2408000,11605000,2142000,-8934000,-34459000,-10603000,-4379000,- -,59286000,-19856000,-61967000,56099000,36774000,24504000,-2192000,-14184000,14377000,49523000,49580000,-39873000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17475000,13132000,12893000,13125000,18693000,18051000,23484000,26335000,30311000,23929000,25106000,31850000,43677000
77,Change in Working Capital,- -,- -,- -,- -,-12300000,-19700000,-20400000,54500000,9100000,-8400000,90600000,9700000,31800000,-59800000,43200000,-14772000,16407000,86770000,20421000,241329000,168220000,153512000,423776000,98699000,-302748000,-109967000,55152000,211298000,246389000,77552000,27115000,-462746000,-121545000,429800000,-149847000,83425000,287515000
