,https://roic.ai/company/CACI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),400000,2300000,1800000,1300000,1800000,-400000,2900000,1900000,3900000,5200000,6300000,6700000,6800000,9100000,11248000,13269000,19558000,27069000,39262000,50983000,48161000,46736000,54308000,66311000,61171000,83105000,107537000,92347000,83326000,75327000,80813000,84948000,-2507000,62305000,80157000,42172000
23,Net Income,1100000,2700000,4000000,3700000,4000000,1000000,4200000,3000000,6000000,8200000,9900000,10100000,11700000,14200000,38412000,22301000,30465000,44711000,63669000,85316000,84840000,78532000,83323000,95480000,106515000,144218000,167454000,151689000,135316000,126195000,142799000,163671000,301171000,265604000,321480000,457443000
24,Net Income ratio,0.0111,0.0227,0.0289,0.0253,0.0270,0.0073,0.0300,0.0207,0.0327,0.0352,0.0405,0.0370,0.0359,0.0321,0.0783,0.0396,0.0447,0.0530,0.0556,0.0526,0.0483,0.0405,0.0344,0.0350,0.0338,0.0403,0.0444,0.0412,0.0380,0.0381,0.0381,0.0376,0.0674,0.0533,0.0562,0.0757
25,EPS,0.02,0.06,0.08,0.08,0.09,0.03,0.10,0.07,0.28,0.39,0.46,0.46,0.55,0.65,1.70,0.98,1.22,1.56,2.19,2.88,2.81,2.56,2.77,3.19,3.53,4.76,6.18,6.59,5.78,5.27,5.89,6.71,12.23,10.70,12.84,18.52
26,EPS Diluted,0.02,0.06,0.08,0.08,0.09,0.03,0.10,0.07,0.28,0.39,0.46,0.46,0.53,0.63,1.66,0.96,1.18,1.52,2.13,2.79,2.72,2.51,2.72,3.14,3.47,4.61,5.96,6.35,5.38,5.17,5.76,6.53,11.93,10.46,12.61,18.30
27,Weighted Average Shares Outstanding,23506000,23506000,23190000,22762000,23510000,19626000,19978000,20024000,21230000,21222000,21432000,22010000,21558000,21792000,22620000,22634000,24992000,28647000,29051000,29675000,30242000,30643000,30058000,29976000,30138000,30281000,27077000,23010000,23429000,23948000,24262000,24401000,24616000,24833000,25031000,24705000
28,Weighted Average Shares Outstanding Diluted,23506000,23506000,23190000,22762000,23510000,19626000,19978000,20024000,21230000,21222000,21432000,22010000,22306000,22440000,23154000,23056000,25814000,29425000,29877000,30564000,31161000,31256000,30606000,30427000,30676000,31300000,28111000,23885000,25155000,24388000,24802000,25069000,25255000,25395000,25485000,24992000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16058/000001605801500013/r10k901.htm,https://www.sec.gov/Archives/edgar/data/16058/000092838502003177/0000928385-02-003177-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312503055255/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312504155541/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312505184854/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312506190233/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312507191648/0001193125-07-191648-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312508185214/0001193125-08-185214-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312509182208/0001193125-09-182208-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312510196811/0001193125-10-196811-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312511234902/0001193125-11-234902-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312512371503/0001193125-12-371503-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312513348088/0001193125-13-348088-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312514325463/0001193125-14-325463-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459015007527/0001564590-15-007527-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459016024672/caci-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459017017873/0001564590-17-017873-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459018022021/0001564590-18-022021-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459019032721/caci-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459020040205/0001564590-20-040205-index.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459021044839/0001564590-21-044839-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3200000,2200000,800000,2900000,3200000,1800000,3400000,2700000,900000,2000000,1800000,2000000,2100000,2400000,4931000,14842000,131049000,73735000,63029000,132965000,24650000,285682000,120396000,208488000,254543000,164817000,15740000,64337000,64461000,35364000,49082000,65539000,66194000,72028000,107236000,88031000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20019000,15291000,515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3200000,2200000,800000,2900000,3200000,1800000,3400000,2700000,900000,2000000,1800000,2000000,2100000,2400000,4931000,14842000,151068000,89026000,63544000,132965000,24650000,285682000,120396000,208488000,254543000,164817000,15740000,64337000,64461000,35364000,49082000,65539000,66194000,72028000,107236000,88031000
34,Net Receivables,31800000,44500000,49300000,39400000,43700000,37700000,41300000,39600000,50100000,48300000,68700000,73800000,93300000,111900000,117904000,125991000,147778000,198093000,348367000,338055000,392013000,386150000,441732000,477025000,531033000,573042000,628842000,614616000,615580000,596155000,803817000,757341000,806871000,869840000,841227000,879851000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79696000
36,Other Current Assets,3300000,2300000,2100000,2400000,2700000,3300000,3000000,4700000,5100000,4000000,3700000,3700000,7000000,8200000,9095000,10425000,7283000,10791000,20545000,21910000,33166000,37171000,40697000,39319000,55170000,44219000,41210000,49022000,55808000,44941000,68939000,57022000,58126000,89652000,137423000,283598000
37,Total Current Assets,38300000,49000000,52200000,44700000,49600000,42800000,47700000,47000000,56100000,54300000,74200000,79500000,102400000,122500000,131930000,151258000,306129000,297910000,432456000,492930000,449829000,709003000,602825000,724832000,840746000,782078000,685792000,727975000,735849000,676460000,921838000,879902000,931191000,1031520000,1085886000,1331176000
38,PP&E,6200000,6000000,6400000,7800000,7900000,6100000,7100000,7700000,7800000,8500000,9100000,11600000,11400000,13800000,15039000,15685000,14973000,18634000,25489000,24261000,25082000,22695000,25361000,30923000,58666000,62755000,67449000,65510000,68485000,63689000,81362000,91749000,101140000,149676000,501288000,547331000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124219000,- -,- -,- -,722458000,848820000,1067472000,1083750000,1161861000,1266285000,1406953000,1476965000,2188569000,2189816000,2585343000,2577435000,2620835000,3336079000,3407110000,3632578000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2700000,5900000,5400000,10500000,15500000,37500000,67800000,75402000,88895000,10228000,218708000,651475000,636606000,109726000,113270000,126028000,97829000,108298000,108102000,114816000,104188000,230410000,195182000,275372000,235371000,241755000,436115000,406885000,476106000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2700000,5900000,5400000,10500000,15500000,37500000,67800000,75402000,88895000,134447000,218708000,651475000,636606000,832184000,962090000,1193500000,1181579000,1270159000,1374387000,1521769000,1581153000,2418979000,2384998000,2860715000,2812806000,2862590000,3772194000,3813995000,4108684000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2309000,1749000,- -,- -,- -,- -,20841000,8747000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,400000,500000,700000,300000,500000,1000000,1000000,1200000,6400000,9500000,12300000,11800000,17600000,13626000,26584000,23366000,26798000,44884000,50363000,60995000,77318000,72220000,70140000,75195000,100911000,117866000,126627000,135825000,131969000,123426000,126625000,139285000,133453000,141303000,185181000
45,Total Non-Current Assets,6500000,6400000,6900000,8500000,8200000,6600000,8100000,11400000,14900000,20300000,29100000,39400000,60700000,99200000,104067000,133473000,174535000,264140000,721848000,711230000,918261000,1082944000,1299828000,1282642000,1404020000,1538053000,1707084000,1773290000,2623289000,2580656000,3065503000,3031180000,3103015000,4055323000,4456586000,4841196000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44800000,55400000,59100000,53200000,57800000,49400000,55800000,58400000,71000000,74600000,103300000,118900000,163100000,221700000,235997000,284731000,480664000,562050000,1154304000,1204160000,1368090000,1791947000,1902653000,2007474000,2244766000,2320131000,2392876000,2501265000,3359138000,3257116000,3987341000,3911082000,4034206000,5086843000,5542472000,6172372000
48,Accounts Payable,- -,- -,- -,- -,- -,9900000,9200000,8900000,14800000,11700000,19200000,19900000,24300000,32900000,7087000,7532000,6482000,20739000,37662000,36900000,44921000,59827000,74175000,87300000,98421000,98893000,149549000,133073000,55811000,56840000,95270000,62874000,82017000,118917000,89961000,148636000
49,Short-Term Debt,4500000,9000000,100000,- -,- -,3100000,4800000,7200000,2700000,- -,10000000,- -,- -,- -,- -,- -,8667000,4558000,20829000,3641000,3543000,7643000,3549000,9464000,278653000,7500000,7500000,295517000,41563000,38965000,53965000,53965000,46920000,46920000,114469000,108200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16254000,- -,- -,- -,34127000,28358000,28741000,33584000,25898000,41407000,30277000,41744000,55667000,57082000,70907000
52,Other Current Liabilities,22900000,18100000,24200000,23600000,27600000,11200000,10000000,8900000,13300000,16100000,16400000,17600000,23200000,22800000,55029000,61765000,62216000,90028000,165770000,168203000,162901000,211297000,212546000,221140000,281349000,296701000,299522000,285163000,291629000,277978000,374534000,379628000,368300000,470218000,507647000,557058000
53,Total Current Liabilities,27400000,27100000,24300000,23600000,27600000,24200000,24000000,25000000,30800000,27800000,45600000,37500000,47500000,55700000,62116000,69297000,77365000,115325000,224261000,208744000,211365000,295021000,290270000,317904000,658423000,437221000,484929000,742494000,422587000,399681000,565176000,526744000,538981000,691722000,769159000,884801000
54,Long-Term Debt,200000,100000,5600000,- -,- -,- -,- -,- -,- -,- -,- -,8800000,29800000,62100000,28263000,48888000,26500000,- -,391401000,342861000,364317000,635772000,639074000,628125000,252451000,402437000,531961000,300790000,1238728000,1029335000,1402079000,1177598000,1015420000,1618093000,1667199000,2052221000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5533000,8356000,8397000,7784000,7234000,6514000,4642000,7445000,6507000,6837000
56,Deferred Tax Liabilities,700000,8700000,6100000,4100000,800000,300000,200000,400000,100000,100000,100000,100000,100000,100000,125000,116000,125000,6108000,12307000,6367000,4232000,164000,- -,- -,42990000,68123000,86414000,124079000,197847000,210587000,248458000,273320000,200880000,205339000,253690000,373790000
57,Other Non-Current Liabilities,-200000,100000,- -,- -,- -,-100000,2700000,2500000,2400000,2200000,2300000,1700000,1400000,4900000,3525000,6226000,9515000,19082000,28063000,34000000,42817000,47143000,55424000,68117000,117747000,102734000,119594000,117974000,132413000,129457000,157081000,133185000,167396000,192778000,184607000,189445000
58,Total Non-Current Liabilities,700000,8900000,11700000,4100000,800000,200000,2900000,2900000,2500000,2300000,2400000,10600000,31300000,67100000,31913000,55230000,36140000,25190000,431771000,383228000,411366000,683079000,694498000,696242000,413188000,573294000,743502000,551199000,1577385000,1377163000,1814852000,1590617000,1388338000,2023655000,2112003000,2622293000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377229000,424582000
61,Total Liabilities,28100000,36000000,36000000,27700000,28400000,24400000,26900000,27900000,33300000,30100000,48000000,48100000,78800000,122800000,94029000,124527000,113505000,140515000,656032000,591972000,622731000,978100000,984768000,1014146000,1071611000,1010515000,1228431000,1293693000,1999972000,1776844000,2380028000,2117361000,1927319000,2715377000,2881162000,3507094000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1501000,1529000,3620000,3651000,3696000,3781000,3840000,3875000,3895000,3909000,3937000,4027000,4062000,4117000,4144000,4162000,4176000,4190000,4214000,4231000,4253000,4268000
64,Retained Earnings,16000000,18700000,22700000,26400000,30400000,31400000,35600000,38600000,44600000,52800000,62600000,72700000,84400000,98600000,136997000,159298000,189763000,234474000,298143000,383459000,442702000,521234000,604087000,699567000,794277000,938495000,1105949000,1257638000,1392954000,1519149000,1661948000,1825619000,2126790000,2410164000,2731644000,3189087000
65,Other Comprehensive Income/Loss,-7800000,-7300000,-8500000,-9200000,-10800000,-10600000,-8200000,-9600000,-12400000,-13900000,-17100000,-21100000,-25000000,-29600000,-38775000,-38775000,-25491000,388000,3660000,2721000,5840000,8605000,6768000,-3248000,-9807000,-3115000,-7834000,-9815000,-382000,-14960000,-41083000,-29116000,-19030000,-43156000,-72285000,-36291000
66,Other Total Stockholders Equity,8500000,8000000,8900000,8300000,9800000,4200000,1500000,1500000,5500000,5600000,9800000,19200000,24900000,28400000,42245000,38152000,199267000,183022000,192773000,222227000,292977000,280133000,303135000,293100000,382306000,367525000,59818000,-47037000,-39833000,-28214000,-17863000,-7107000,-5222000,92000,-2437000,-491921000
67,Total Stockholders Equity,16700000,19400000,23100000,25500000,29400000,25000000,28900000,30500000,37700000,44500000,55300000,70800000,84300000,98900000,141968000,160204000,367159000,421535000,498272000,612188000,745359000,813847000,917885000,993328000,1170713000,1306932000,1161995000,1204903000,1356883000,1480137000,1607178000,1793586000,2106752000,2371331000,2661175000,2665143000
68,Total Liabilities And Stockholders Equity,44800000,55400000,59100000,53200000,57800000,49400000,55800000,58400000,71000000,74600000,103300000,118900000,163100000,221700000,235997000,284731000,480664000,562050000,1154304000,1204160000,1368090000,1791947000,1902653000,2007474000,2242324000,2317447000,2390426000,2498596000,3356855000,3256981000,3987206000,3910947000,4034071000,5086708000,5542337000,6172237000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2442000,2684000,2450000,2669000,2283000,135000,135000,135000,135000,135000,135000,135000
70,Total Liabilities & Equity,44800000,55400000,59100000,53200000,57800000,49400000,55800000,58400000,71000000,74600000,103300000,118900000,163100000,221700000,235997000,284731000,480664000,562050000,1154304000,1204160000,1368090000,1791947000,1902653000,2007474000,2244766000,2320131000,2392876000,2501265000,3359138000,3257116000,3987341000,3911082000,4034206000,5086843000,5542472000,6172372000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16058/000001605801500013/r10k901.htm,https://www.sec.gov/Archives/edgar/data/16058/000092838502003177/0000928385-02-003177-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312503055255/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312504155541/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312505184854/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312506190233/d10k.htm,https://www.sec.gov/Archives/edgar/data/16058/000119312507191648/0001193125-07-191648-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312508185214/0001193125-08-185214-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312509182208/0001193125-09-182208-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312510196811/0001193125-10-196811-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312511234902/0001193125-11-234902-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312512371503/0001193125-12-371503-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312513348088/0001193125-13-348088-index.html,https://www.sec.gov/Archives/edgar/data/16058/000119312514325463/0001193125-14-325463-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459015007527/0001564590-15-007527-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459016024672/caci-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459017017873/0001564590-17-017873-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459018022021/0001564590-18-022021-index.html,https://www.sec.gov/Archives/edgar/data/16058/000156459019032721/caci-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459020040205/0001564590-20-040205-index.htm,https://www.sec.gov/Archives/edgar/data/16058/000156459021044839/0001564590-21-044839-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,3700000,4000000,1000000,4200000,3000000,6000000,8200000,9900000,10100000,11700000,14200000,38412000,22301000,30465000,44711000,63669000,85316000,84840000,78532000,83323000,95480000,106515000,144218000,167454000,151689000,135316000,126195000,142799000,163671000,301171000,265604000,321480000,457443000
74,Depreciation and Amortization,- -,- -,- -,2400000,2600000,3000000,2600000,3400000,4300000,5000000,5500000,6900000,8900000,10900000,11967000,14143000,12255000,12604000,19260000,33366000,34858000,40686000,50048000,49433000,55395000,56067000,55962000,54078000,65181000,66083000,64752000,71760000,72196000,85877000,110688000,125363000
75,Deferred Income Tax,- -,- -,- -,-3000000,-4000000,-2800000,-200000,-1200000,-800000,-500000,- -,400000,-2900000,1500000,4008000,1837000,-5410000,1824000,-7078000,-9045000,1140000,2062000,6087000,13363000,-4703000,7587000,10653000,31102000,15559000,27022000,13568000,15148000,-77324000,-1009000,17874000,108973000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16821000,30750000,17915000,15499000,8832000,11557000,14072000,17919000,21945000,23628000,25272000,29302000,30463000
77,Change in Working Capital,- -,- -,- -,9800000,900000,-3400000,5100000,-1700000,3300000,1200000,2100000,13400000,12900000,11900000,3014000,12147000,146803000,-46179000,25610000,75991000,-45722000,175518000,-101427000,94373000,-224605000,162534000,-143994000,-215382000,327781000,-36483000,79883000,-3504000,39052000,-52412000,-23071000,129648000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36055000,-49291000,-23624000,-33919000,32265000,91010000,18889000,-105000,46158000,-42575000,96754000,34550000,-38162000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,21100000,22000000,18600000,23700000,22000000,25300000,26500000,28600000,42000000,54900000,66800000,69814000,81961000,228764000,182585000,208195000,284186000,238464000,413982000,312555000,406928000,182323000,344857000,200863000,-14519000,313262000,276779000,356662000,353158000,392210000,339798000,316727000,446375000
