,https://roic.ai/company/GNTX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0610,0.0938,0.1449,0.0748,0.1303,0.0566,0.1004,0.1685,0.2308,0.2751,0.2500,0.2387,0.2802,0.3360,0.3673,0.3514,0.3114,0.3215,0.3372,0.3278,0.2980,0.2778,0.2749,0.1478,0.1769,0.2492,0.2388,0.2270,0.2800,0.3019,0.3003,0.3041,0.2963,0.2846,0.2692,0.2439,0.2405
22,Income Tax expense (Gain),200000,200000,800000,400000,1000000,100000,800000,2500000,4900000,8200000,9000000,11500000,17000000,24400000,31400000,33979000,31401000,41301500,51403000,53076000,50367000,50212596,57608747,30106914,31715218,65706045,79763583,81038760,105134094,126721911,145121597,162969497,125004782,84163850,75731395,64249308,55554504
23,Net Income,300000,1000000,1200000,700000,2100000,1100000,1900000,5100000,9800000,16500000,18900000,24000000,35200000,50300000,64900000,70544066,65216500,85771291,106761195,112656518,109527511,108761002,122130021,62087947,64637085,137733969,164668228,168586840,222929949,288604579,318469859,347591276,406791922,437883097,424683939,347563621,360797232
24,Net Income ratio,0.0366,0.0781,0.0870,0.0476,0.0882,0.0519,0.0706,0.1131,0.1538,0.1837,0.1694,0.1614,0.1889,0.2263,0.2475,0.2372,0.2102,0.2170,0.2276,0.2228,0.2042,0.1901,0.1868,0.0995,0.1187,0.1687,0.1608,0.1533,0.1902,0.2098,0.2063,0.2070,0.2266,0.2388,0.2285,0.2059,0.2084
25,EPS,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.07,0.08,0.13,0.17,0.22,0.24,0.22,0.28,0.35,0.36,0.35,0.37,0.42,0.22,0.23,0.49,0.58,0.59,0.78,0.99,1.09,1.21,1.42,1.64,1.67,1.41,1.48
26,EPS Diluted,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.07,0.08,0.12,0.17,0.21,0.23,0.21,0.28,0.34,0.36,0.35,0.36,0.42,0.22,0.23,0.49,0.57,0.58,0.78,0.98,1.08,1.19,1.41,1.62,1.66,1.41,1.48
27,Weighted Average Shares Outstanding,178304000,133333333,160000000,140000000,210000000,220000000,253333333,255000000,261333333,264000000,274909091,286567164,278811881,287428571,291685393,297027646,299845977,300951898,307226460,308647995,312935746,293948654,287364755,281804608,274455354,278713662,284985398,286195060,286920036,290952123,293096212,288433772,285864997,267794786,251766382,246499022,233831653
28,Weighted Average Shares Outstanding Diluted,178304000,133333333,160000000,140000000,210000000,220000000,253333333,255000000,261333333,264000000,274909091,286567164,287346939,295882353,301860465,303415338,303332558,306326039,311711518,312934772,312935746,297975348,287364755,282009872,275290700,281471534,288553616,287936062,288548342,294299359,296237899,291072316,288226089,269877349,253272990,246499022,240512557
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000095012498001390/0000950124-98-001390-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000095012401001245/0000950124-01-001245-index.html,https://www.sec.gov/Archives/edgar/data/355811/000095012402000790/0000950124-02-000790-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000136231009002680/0001362310-09-002680-index.html,https://www.sec.gov/Archives/edgar/data/355811/000095012310015388/0000950123-10-015388-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000095012311016242/0000950123-11-016242-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000119312512071341/0001193125-12-071341-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581113000003/0000355811-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581114000007/0000355811-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581115000015/0000355811-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581116000063/0000355811-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581117000013/0000355811-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581118000009/0000355811-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581119000006/0000355811-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581120000007/0000355811-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581121000006/0000355811-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581122000006/0000355811-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,16700000,26800000,50000000,69200000,110195583,139784721,168834111,322662971,395538719,439681693,245499783,317717093,294306512,336108446,348349773,357986774,389678664,309591724,497429804,551557527,546477075,569734496,217025278,296321622,423371036,262311670
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,28246967,65859016,46816690,70943685,99341541,67331928,82727927,80271688,29177273,17123647,86447596,60808237,60802856,- -,- -,4547355,177021197,152538054,169412999,140384053,27164369,5423612
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,16700000,26800000,50000000,94700000,138442550,205643737,215650801,393606656,494880260,507013621,328227710,397988781,323483785,353232093,434797369,418795011,450481520,309591724,497429804,556104882,723498272,722272550,386438277,436705675,450535405,267735282
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,17000000,24500000,30300000,30600000,35614669,31994939,35890380,58955823,56092330,60924437,58337396,64181511,44528810,71159512,95647612,110389715,109579693,143046590,168008704,195969400,211591745,231121788,213537799,235410326,284925335,249794906
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,6200000,8800000,8700000,10000000,12087513,14405350,17742009,20938696,30600789,39836822,48805398,48049560,54993855,53608996,100728730,188753312,159930266,120074164,141757884,174695411,189311437,216765583,225281599,248941855,226291843,316267442
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21600000,32800000,15800000,26400000,2900000,4411118,7814468,7515219,11848156,11035715,11212647,11507590,18274096,34145509,27412894,24095563,34354946,24671561,28473764,49441302,57239099,30587575,14403902,25672579,29319036,17577981,39178119
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56100000,72700000,75900000,115400000,138200000,190555850,259858494,276798409,485349331,592609094,618987527,446878094,528493948,457151959,505413495,655269274,752292984,744663040,601186242,856637694,984008792,1154989029,1184563823,850930254,950376892,979330564,872975749
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18900000,31600000,42200000,59400000,71300000,81919668,110862310,124982665,126806882,135649119,164030341,184134373,205609671,214951719,197530249,205107756,282541588,349938172,357021225,373390992,412720270,465822467,492479330,498473766,498316100,468135135,464121676
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307365845,307365845,307365845,307365845,307365845,307365845,307365845,311922787,313960209
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2200000,1300000,1400000,2300000,2636980,3330760,4032660,4757619,6427185,7102968,7800004,8535052,9650760,10504497,13222442,13024265,29256089,391509600,370502931,349421482,331548129,309862496,290685121,272835033,276524616,272640384
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2200000,1300000,1400000,2300000,2636980,3330760,4032660,4757619,6427185,7102968,7800004,8535052,9650760,10504497,13222442,13024265,29256089,698875445,677868776,656787327,638913974,617228341,598050966,580200878,588447403,586600593
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,146000000,155000000,81348942,109155248,129091167,128168165,141834034,107005522,114642567,95156539,49894363,57782418,137979082,139909323,162028068,207693147
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32100000,33900000,70400000,78700000,125900000,153016195,132771234,203358933,145615934,122174030,-475034,215929,384009,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,67700000,113900000,139500000,199500000,237572843,246964304,332374258,277180435,264250334,303658275,338150306,369528732,305951421,317189994,347421365,423734018,521028295,1162902192,1165902335,1164664136,1154630804,1167490089,1234503814,1218426301,1218610606,1258415416
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2516830833
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109200000,140400000,189800000,254900000,337700000,428128693,506822798,609172667,762529766,856859428,922645802,785028400,898022680,763103380,822603489,1002690639,1176027002,1265691335,1764088434,2022540029,2148672928,2309619833,2352053912,2085434068,2168803193,2197941170,2131391166
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,5800000,8800000,7600000,8300000,9328155,9378937,11793726,18259111,19849569,23607927,23881973,30531649,19706159,27456747,40295464,65470573,43200002,56510321,71456983,66353774,79963630,89898467,92810316,97553917,84784423,98342928
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,7500000,7500000,7500000,78000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1582570,13316102,768142,148251,572834,360014,4293608,24952,3790219,196863
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38960743,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,5600000,5800000,7200000,8200000,10363097,11606467,17266309,32221369,31006689,34480332,33481005,37831056,29766279,31181031,31793165,35223927,44757440,55970093,54474180,57152772,62394349,75748540,76350603,74292883,53991691,83313172
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,11400000,14600000,14800000,16500000,19691252,20985404,29060035,50480480,50856258,58088259,57362978,68362705,49472438,58637778,72088629,100694500,87957442,119980414,133431163,131006546,149857979,243647007,169160919,171846800,177736857,181656100
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265625000,258125000,225625000,178125000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1200000,2000000,3000000,4200000,6333880,6836865,6472270,18405955,22723198,22962168,24971133,22847779,15034620,28036968,37071184,48213981,56773337,50879337,59571421,69524621,71212620,58888644,54521489,51454149,38960743,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7414424,17300442,11746599
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,1200000,2000000,3100000,4100000,6333880,6836865,6472270,18405955,22723198,22962168,24971133,22847779,15034620,28036968,37071184,48213981,56773337,316504337,317696421,295149621,249337620,58888644,54521489,58868573,56261185,11746599
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14500000,12600000,16600000,17900000,20600000,26025132,27822269,35532305,68886435,73579456,81050427,82334111,91210484,64507058,86674746,109159813,148908481,144730779,436484751,451127584,426156167,399195599,302535651,223682408,230715373,233998042,193402699
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,4457465,4510317,4573282,4622449,4672005,9362639,8548571,8685257,8258010,8300363,8537528,8644174,8584581,8734681,17714877,17480281,17264251,16816879,15559717,15076651,14621572,14186450
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58300000,82300000,117500000,167800000,232700000,303213652,368430152,454201443,528358825,591546326,623301775,472192400,530290281,434975514,438937242,514842177,610702253,676039254,818027861,988548070,1109384621,1210984825,1301997327,1102468137,1116372133,1089698996,1042461388
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12300000,-15600000,-20800000,-27900000,-36900000,-47777724,-60316540,-9057754,7787732,11795527,14454655,25051830,22333698,1541435,18339342,22316903,12542203,17570711,21975363,11313015,-1130836,-1271305,7193383,-1600338,-1289103,6851052,1927244
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48700000,61100000,76500000,97100000,116900000,142210168,166376600,123923391,152874325,175266114,194476306,196901488,245502960,253821363,270351796,347834218,395229891,418766010,478865778,553836483,596782695,683446463,723510672,745324144,807928139,852771508,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94700000,127800000,173200000,237000000,317100000,402103561,479000529,573640362,693643331,783279972,841595375,702694289,806812196,698596322,735928743,893530826,1027118521,1120960556,1327603683,1571412445,1722516761,1910424234,2049518261,1861751660,1938087820,1963943128,1937988467
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109200000,140400000,189800000,254900000,337700000,428128693,506822798,609172667,762529766,856859428,922645802,785028400,898022680,763103380,822603489,1002690639,1176027002,1265691335,1764088434,2022540029,2148672928,2309619833,2352053912,2085434068,2168803193,2197941170,2131391166
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109200000,140400000,189800000,254900000,337700000,428128693,506822798,609172667,762529766,856859428,922645802,785028400,898022680,763103380,822603489,1002690639,1176027002,1265691335,1764088434,2022540029,2148672928,2309619833,2352053912,2085434068,2168803193,2197941170,2131391166
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000095012498001390/0000950124-98-001390-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000095012401001245/0000950124-01-001245-index.html,https://www.sec.gov/Archives/edgar/data/355811/000095012402000790/0000950124-02-000790-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355811/000136231009002680/0001362310-09-002680-index.html,https://www.sec.gov/Archives/edgar/data/355811/000095012310015388/0000950123-10-015388-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000095012311016242/0000950123-11-016242-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000119312512071341/0001193125-12-071341-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581113000003/0000355811-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581114000007/0000355811-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581115000015/0000355811-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581116000063/0000355811-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581117000013/0000355811-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581118000009/0000355811-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581119000006/0000355811-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581120000007/0000355811-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581121000006/0000355811-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/355811/000035581122000006/0000355811-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2100000,1100000,1900000,5100000,9800000,16500000,18900000,24000000,35200000,50300000,64900000,70544066,65216500,85771291,106761195,112656518,109527511,108761002,122130021,62087947,64637085,137733969,164668228,168586840,222929949,288604579,318469859,347591276,406791922,437883097,424683939,347563621,360797232
74,Depreciation and Amortization,- -,- -,- -,- -,900000,1300000,1900000,3600000,4600000,3300000,3500000,4500000,7000000,8100000,10400000,12142375,16133584,19714467,21544415,23314554,25453026,27762710,32435258,35891067,38364492,38620674,42634684,50179823,62854155,77376305,80599167,88587430,99570908,102186814,104702974,104739900,99112019
75,Deferred Income Tax,- -,- -,- -,- -,- -,-200000,200000,200000,-1200000,- -,-100000,1100000,-300000,500000,700000,497162,1035648,3701475,1951787,2403593,-2172589,-1754219,-2926921,-842961,-688619,10390886,13942674,843484,-7726800,14817959,13058458,22498361,-14996179,-4414739,-3358537,-15419722,-41694751
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10217484,9084891,10652196,14197557,16433837,17427233,21276991,21430991,19192699,18376965,18305981,21671192,30797327,27421645
77,Change in Working Capital,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,42000000,19300000,- -,39300000,21100000,49164598,68008492,8865284,187130477,106883985,19146432,-171384152,70616127,-52451722,39096196,136404928,68417839,5107114,-175499770,242000703,129795715,152128804,-64214234,-259147481,96760757,23063615,-82138718
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19652701,-26630702,-24488100,-14742103,810022,-22347450,-24962114,-27960696,-15622345,-19530043,17583989,-21872527,-49290457,35135429
79,Inventory,- -,- -,- -,- -,-200000,500000,-200000,-1500000,100000,-1300000,-400000,-400000,-2600000,100000,-1200000,-2112335,-2317837,-3336659,-3196687,-9662093,-9236033,-8968576,755838,-6944295,1384859,-47119734,-88024582,28823046,39856102,-21683721,-32937525,-14616026,-27454146,-8516016,-23660256,22725798,-89975599
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10825490,7750588,12838717,25175109,-22270571,13310319,14946662,-5103209,13609856,9934837,2911849,4743601,-12854038,7266309
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,61300000,61300000,100600000,121700000,170864598,238873090,247738374,434868851,541752836,560899268,389515116,460131243,407679521,446775717,583180645,651598484,656705598,481205828,723206531,853002246,1005131050,940916816,681769335,778530092,801593707,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1100000,-200000,-2500000,-2800000,100000,-41100000,-24900000,-6900000,-46100000,-23100000,-53610462,-68970420,1058598,-200804879,-113890194,-25709922,168054810,-73533856,65730405,-39839749,-205668967,-162192317,16694956,197354063,-316853428,-211775765,-158533776,55473398,257604974,-138493461,-26252970,-1329865
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1900000,3300000,3800000,6400000,10400000,19900000,23200000,24000000,35000000,52100000,74000000,78737739,81423804,119111115,116582995,131368456,126244458,131440151,148720629,120632220,110654296,128133686,141668665,257846054,317338830,327223109,351578425,471464794,501002780,552418646,505966864,464491771,362167562
