,https://roic.ai/company/LEE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207090000,219058000,481884000,454315000,481565000,196300000,93766000,102616000,66204000,60140000,21224000,14766000,37796000,38308000,53397000,39108000,29806000,15208000,40295000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8980000,462000,156110000,167813000,87478000,168256000,117322000,91614000,98699000,90497000,48993000,81995000,78118000,87244000,64079000,46445000,71798000,209903000,70747000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484670000,421520000,2344018000,2132587000,1915673000,364556000,1291081000,1195157000,164903000,1064881000,890404000,870111000,816786000,717649000,613855000,546330000,530995000,749668000,645229000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70951000,66295000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619221000,527001000,2503681000,2332910000,2167230000,1869280000,1492014000,1383009000,1259142000,1175192000,997395000,988819000,922067000,816667000,712063000,611671000,592033000,893690000,786853000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89242000,90434000,90986000,91762000,92374000,90180000,89830000,89906000,89915000,523000,524000,537000,547000,558000,567000,572000,577000,584000,59000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636674000,689785000,733961000,771947000,819786000,-120575000,-225299000,-179194000,-326062000,-342760000,-421077000,-414282000,-390966000,-356005000,-328524000,-279691000,-265423000,-268529000,-245744000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2457000,-3913000,-4001000,3178000,42192000,43193000,21354000,6651000,-6086000,-13435000,7666000,-9831000,-16276000,-22778000,-16068000,-11746000,-29114000,-20050000,42187000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78697000,100537000,115464000,123738000,132090000,134289000,137713000,139460000,140887000,241039000,242537000,245323000,247302000,249740000,251790000,253511000,255476000,256431000,258063000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802156000,876843000,936410000,990625000,1086442000,147087000,23598000,56823000,-101346000,-114633000,-170350000,-178253000,-159393000,-128485000,-92235000,-37354000,-38484000,-31564000,54565000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1421377000,1403844000,3440091000,3323535000,3253672000,2016367000,1515612000,1439832000,1157796000,1060559000,827045000,810566000,762674000,688182000,619828000,574317000,553549000,862126000,841418000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5109000,6274000,7291000,- -,- -,284000,452000,577000,660000,709000,810000,944000,1022000,1094000,1653000,1931000,2133000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1421377000,1403844000,3445200000,3329809000,3260963000,2016367000,1515612000,1440116000,1158248000,1061136000,827705000,811275000,763484000,689126000,620850000,575411000,555202000,864057000,843551000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/58361/000119312505007722/0001193125-05-007722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/58361/000119312506253473/0001193125-06-253473-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/58361/000005836110000011/0000058361-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836112000015/0000058361-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836113000033/0000058361-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836113000038/0000058361-13-000038-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836114000040/0000058361-14-000040-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836115000028/0000058361-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836116000078/0000058361-16-000078-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836117000053/0000058361-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000005836118000038/0000058361-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000143774919024425/0001437749-19-024425-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000143774920025193/0001437749-20-025193-index.htm,https://www.sec.gov/Archives/edgar/data/58361/000143774921028322/0001437749-21-028322-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,43000000,43500000,31500000,38500000,41200000,50900000,58500000,45500000,64200000,62200000,68000000,83663000,314228000,81975000,78041000,86071000,76878000,70832000,80999000,-879909000,-123191000,46105000,-146868000,-16698000,-78317000,6795000,23316000,34961000,27481000,45766000,14268000,-3106000,22785000
74,Depreciation and Amortization,- -,- -,- -,- -,14300000,17300000,23900000,23700000,24700000,23500000,26000000,32100000,29600000,37600000,39700000,41263000,32158000,35050000,46616000,48027000,58443000,88880000,93589000,91078000,79599000,73179000,71334000,65917000,55637000,47173000,45563000,43441000,41282000,31766000,29332000,36133000,42841000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29178000,-6309000,-253307000,-78500000,18943000,-25910000,-779000,-54807000,6425000,12764000,20669000,10360000,-17377000,-2003000,-3560000,5120000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3013000,1974000,1287000,1080000,1261000,1481000,1971000,2306000,2088000,1857000,1638000,1294000,854000
77,Change in Working Capital,- -,- -,- -,- -,5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7890000,1302000,4669000,-58527000,32042000,37831000,-41118000,-86674000,-1248360000,1268119000,16591000,-904182000,973778000,-6027000,-19907000,15615000,-14807000,-8605000,24371000,5264000,-34534000,-20283000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,900000,-1600000,-900000,1400000,-4000000,-4700000,800000,1600000,1400000,-700000,1424000,113000,-6562000,2341000,-1976000,5724000,2859000,5470000,-4875000,3866000,3031000,5051000,1981000,904000,217000,3122000,617000,687000,-1926000,2759000,2724000,1237000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423000,-2280000,-5315000,-9587000,-8327000,-6393000,-8587000,-3676000,- -,4731000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7890000,9192000,13861000,-44666000,-12624000,25207000,-15911000,-102585000,-1350945000,-82826000,-66235000,-970417000,3361000,-2666000,-22573000,-6958000,-21765000,-30370000,-5999000,-735000,-35269000,-13779000
82,Other Non-Cash Items,- -,- -,- -,- -,-2700000,-5500000,-1800000,5900000,-7600000,3400000,-11900000,9900000,3700000,900000,-9800000,-5927000,196384000,-6393000,79108000,-36252000,-12704000,113262000,86527000,2418369000,-1074988000,-50221000,1106943000,-942600000,171768000,40108000,-24753000,-7380000,-325000,-27087000,9177000,53642000,-1239000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,60400000,55300000,53600000,68100000,58300000,77800000,72600000,87500000,97500000,100700000,97900000,126889000,544072000,115301000,145238000,129888000,160448000,202678000,168132000,127871000,74052000,106571000,102604000,80698000,89515000,82075000,74476000,79190000,72281000,59296000,57676000,49869000,50078000
84,CAPEX,- -,- -,- -,- -,-24300000,-15200000,-6400000,-4000000,-10000000,-17600000,-59000000,-18800000,-16300000,-38700000,-47800000,-32494000,-9904000,-13522000,-16128000,-19214000,-24737000,-32544000,-34567000,-20606000,-11555000,-9458000,-7745000,-8040000,-9740000,-13661000,-9707000,-7091000,-4078000,-6025000,-5901000,-8096000,-7479000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71609000,-4518000,-753089000,-1073000,-8909000,-1299738000,-4245000,-1065000,-1624000,- -,- -,- -,- -,- -,- -,- -,- -,-7450000,- -,-6543000,-130985000,- -
