,https://roic.ai/company/ELSE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1400000,1200000,600000,297100,5879400,- -,30000,26000,- -,- -,- -,- -,- -,- -,1078000,1225000,1455000,1022000,391000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000,455000,195000,- -,24000,19000,12000,6000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,1500000,1200000,600000,297100,5879400,10000,30000,26000,- -,- -,- -,- -,- -,- -,1078000,1225000,1455000,1022000,1253000,455000,195000,- -,24000,19000,12000,6000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,24000,18000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,2400000,1800000,1000000,938619,7276487,5772014,2002449,5334426,3101000,2752000,2717000,2178000,775000,1219000,1418000,1549000,2089000,1346000,2234000,1381000,738000,708000,550000,584000,545000,6000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198561,207711,312126,315526,317452,322000,325000,335000,337000,337000,338000,338000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,6000000,6200000,6200000,5949317,6391246,9533073,8860476,8304737,7964000,8208000,6058000,6716000,6783000,6578000,6565000,6570000,7113000,7547000,8641000,9855000,10057000,10352000,10335000,10522000,10398000,10808000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-700000,-700000,-900000,-846671,-983369,-997004,2527546,8280119,4413000,3998000,3307000,2327000,690000,1370000,1691000,1909000,2222000,1631000,734000,-33000,-29000,12000,32000,- -,1000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,3800000,3600000,2800000,2138785,14239507,8728572,966447,999762,1104000,1192000,1453000,1507000,1513000,1529000,1541000,1561000,1575000,1746000,1816000,1879000,1953000,2004000,2019000,2030000,2036000,2041000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,9100000,9100000,8100000,7439992,19855095,17576767,12669995,17902070,13803000,13723000,11153000,10887000,9323000,9815000,10135000,10379000,11249000,11263000,11530000,12040000,12320000,12707000,12725000,12891000,12774000,13188000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,11500000,10900000,9100000,8378611,27131582,23348781,14672444,23236496,16904000,16475000,13870000,13065000,10098000,11034000,11553000,11928000,13338000,12609000,13764000,13421000,13058000,13415000,13275000,13475000,13319000,13194000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,697000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,11500000,10900000,9100000,8378611,27131582,23348781,14672444,23236496,16904000,16475000,13870000,13065000,10098000,11034000,11553000,11928000,13338000,12609000,13764000,13421000,13058000,13415000,13275000,13475000,13319000,13891000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/351789/0000897101-96-000126-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351789/000091205702011132/0000912057-02-011132-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000110465903004931/0001104659-03-004931-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000110465904007834/0001104659-04-007834-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710105002214/0000897101-05-002214-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710106000634/0000897101-06-000634-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710107000686/0000897101-07-000686-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710108000736/0000897101-08-000736-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710109000586/0000897101-09-000586-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710110000478/0000897101-10-000478-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710111000426/0000897101-11-000426-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710112000521/0000897101-12-000521-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710113000417/0000897101-13-000417-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710114000358/0000897101-14-000358-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710115000350/0000897101-15-000350-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710116002013/0000897101-16-002013-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710117000370/0000897101-17-000370-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710118000282/0000897101-18-000282-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710119000244/0000897101-19-000244-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710120000193/0000897101-20-000193-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710121000238/0000897101-21-000238-index.htm,https://www.sec.gov/Archives/edgar/data/351789/000089710122000366/0000897101-22-000366-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,600000,600000,- -,500000,500000,400000,600000,500000,500000,500000,800000,500000,500000,200000,-22413,681741,3516292,646024,-144081,172000,761000,1724000,1196000,606000,334000,527000,548000,1086000,706000,1094000,1214000,202000,295000,-10000,187000,-124000,410000
74,Depreciation and Amortization,100000,100000,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,139900,146648,153355,97598,98629,83000,97000,76000,82000,122000,111000,92000,57000,71000,110000,209000,348000,313000,308000,321000,320000,360000,295000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21100,-5300,26000,13700,-9000,- -,- -,60000,-88000,104000,-14000,3000,14000,38000,-71000,-81000,-104000,-18000,-4000,-16000,-2000,-43000,38000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,162000,67000,63000,74000,51000,15000,11000,6000,5000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,-600000,-200000,-4500000,-118197,3034009,8370291,-4632435,5652154,-4044822,117000,-2498000,-451000,-1442000,600000,1452000,386000,975000,-332000,-936000,-180000,297000,402000,291000,213000,168000,608000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,-205000,202000,-118000,57000,-142000,6000,51000,-81000,-135000,6000,-140000,79000,-48000
79,Inventory,- -,- -,- -,- -,- -,- -,300000,- -,-100000,- -,-100000,- -,- -,-100000,107468,-55466,41930,81260,-20091,-52000,16000,-205000,-28000,-212000,331000,-149000,-188000,-102000,270000,-164000,-340000,49000,-37000,-66000,-77000,123000,-91000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,20000,-4000,35000,-16000,-35000,67000,10000,103000,-61000,-62000,13000,68000,152000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,8700000,8500000,4000000,3881803,6915812,15286103,10653668,16305822,12261000,12378000,9880000,9429000,7987000,8587000,10039000,10425000,11400000,11068000,10132000,9952000,10249000,10651000,10942000,11155000,11323000,11931000
82,Other Non-Cash Items,-700000,-700000,- -,-600000,-600000,-500000,400000,-400000,-400000,-200000,-9500000,400000,-100000,4500000,534222,-3954883,-12087552,1499814,-5872849,3511822,-1118000,816000,349000,888000,-324000,-1456000,-696000,-1444000,-448000,-90000,-1647000,-672000,-584000,-471000,-577000,-36000,-587000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,1100000,200000,200000,400000,700000,400000,300000,300000,512412,-97785,-21614,-2375299,-275147,-278000,-143000,178000,1088000,278000,707000,618000,309000,732000,127000,263000,-306000,196000,468000,130000,152000,331000,769000
84,CAPEX,- -,- -,- -,- -,- -,- -,-100000,-100000,-500000,-1400000,- -,-100000,-100000,-100000,-54918,-72238,-21247,-161267,-24616,-19000,-40000,-6000,-269000,- -,-3000,-38000,-82000,-196000,-23000,-46000,-70000,-8000,-114000,-32000,-257000,-25000,-141000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -
