,https://roic.ai/company/HLX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-8400000,-13300000,-20000000,-28300000,-45900000,-67560000,-92430000,-94000,6165000,17791000,-9244000,27236000,21262000,-33696000,-22241000,-39058000,-10017000,-15667000,-20688000,-62252000,-70901000,-96974000,-69787000,-73964000,-64740000,-51620000,-56082000
66,Other Total Stockholders Equity,13400000,18300000,69100000,77500000,42200000,63809000,86104000,-3742000,-3741000,-3741000,-3741000,805966000,1019946000,1091766000,929655000,931939000,936897000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,22400000,30800000,89400000,113600000,150900000,194725000,226349000,337516000,381141000,485292000,629300000,1525948000,1846566000,1170645000,1405257000,1260604000,1421403000,1393385000,1499051000,1653474000,1278963000,1281814000,1567393000,1617779000,1699591000,1740496000,1647469000
68,Total Liabilities And Stockholders Equity,44900000,83100000,125600000,164200000,243700000,347488000,473122000,867032000,882842000,1038758000,1660864000,4230385000,5188427000,4747711000,3757328000,3566980000,3554209000,3360551000,2519221000,2700698000,2411952000,2246941000,2362837000,2347730000,2596731000,2498278000,2326028000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59802000,263926000,322627000,22205000,25040000,28138000,26029000,25059000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44900000,83100000,125600000,164200000,243700000,347488000,473122000,867032000,882842000,1038758000,1660864000,4290187000,5452353000,5070338000,3779533000,3592020000,3582347000,3386580000,2544280000,2700698000,2411952000,2246941000,2362837000,2347730000,2596731000,2498278000,2326028000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866829/000095012905002450/0000950129-05-002450-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000095012906002658/0000950129-06-002658-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000095012907001105/0000950129-07-001105-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000095012908001388/0000950129-08-001388-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682909000006/0000866829-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682910000005/0000866829-10-000005-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682911000009/0000866829-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682912000009/0000866829-12-000009-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866829/000086682917000006/0000866829-17-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866829/000086682919000006/0000866829-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682920000007/0000866829-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682921000007/0000866829-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682922000005/0000866829-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2700000,8400000,14500000,24100000,16900000,23326000,28932000,12377000,34208000,82659000,152568000,347394000,320478000,-630848000,156054000,-126988000,129979000,-46297000,109922000,195047000,-376980000,-81445000,30052000,28598000,57919000,22174000,-61538000
74,Depreciation and Amortization,2800000,5300000,7500000,9600000,20600000,30730000,34533000,44755000,70793000,104405000,113215000,195924000,338424000,341117000,262617000,317116000,- -,97201000,98535000,109345000,120401000,114187000,108745000,110522000,112720000,133709000,141514000
75,Deferred Income Tax,600000,2100000,3800000,4500000,4300000,21085000,15504000,6130000,18993000,42046000,42728000,57235000,126959000,-3074000,-64926000,-46836000,-4188000,-69584000,-24937000,23154000,-103022000,14849000,-54585000,-2430000,3485000,-3883000,-15202000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11992000,8996000,8365000,7627000,8307000,3133000,6543000,5862000,10877000,9925000,11469000,8568000,7689000
77,Change in Working Capital,5900000,9400000,15600000,16900000,-7100000,37581000,-27780000,-44200000,22303000,86095000,7589000,190136000,-262234000,229219000,-80437000,175985000,175009000,-197005000,202366000,-84767000,4463000,-136736000,-150383000,73436000,-105932000,92830000,61601000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52245000,-46191000,-47998000,-3652000,-3320000,43963000,36354000,-22437000,-28424000,20920000,-3050000,-8419000,-14154000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73448000,-32045000,12841000,-63817000,-630000,33381000,-352000,-31893000,- -,- -
81,Other Working Capital,4000000,13400000,29000000,45900000,38800000,76381000,48601000,4401000,26704000,112799000,120388000,310524000,48290000,277509000,197072000,373057000,548066000,351061000,553427000,468660000,473123000,336387000,186004000,259440000,153508000,246338000,-12473000
82,Other Non-Cash Items,- -,-17600000,-19100000,-19400000,-9200000,-59021000,37918000,46139000,-59176000,-88398000,-73668000,-276653000,-107301000,501305000,130247000,3181000,257991000,660556000,-319835000,113573000,459400000,121997000,106932000,-23307000,90008000,-154598000,6053000
83,Cash Provided by Operating Activities,12000000,7600000,22300000,35700000,25500000,53701000,89107000,65201000,87121000,226807000,242432000,514036000,416326000,437719000,415547000,331454000,567156000,452498000,74358000,359485000,110805000,38714000,51638000,196744000,169669000,98800000,140117000
84,CAPEX,-16900000,-27300000,-28900000,-14900000,-77400000,-95124000,-151261000,-161766000,-93160000,-50223000,-361487000,-469091000,-943596000,-855530000,-423373000,-206772000,-219769000,-323039000,-324426000,-336912000,-320311000,-186487000,-231127000,-137083000,-140854000,-20244000,-8322000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-11500000,-118331000,-407000,- -,-66586000,-623542000,-147498000,- -,418168000,- -,- -,- -,- -,-20085000,- -,25000000,- -,- -,-4081000,- -,- -
86,Purchases of Investments,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,-312973000,-17459000,-846000,-114652000,-8253000,-2699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,10492000,- -,292074000,11586000,6742000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2700000,- -,600000,3900000,28400000,17130000,4936000,-34711000,-1557000,-52339000,-112344000,25676000,76825000,286816000,-378790000,-173303000,-179618000,-415769000,456888000,-315427000,-295719000,-172110000,-221127000,-136014000,-138304000,-19281000,-8271000
89,Cash Used for Investing Activites,-19600000,-27300000,-28300000,-16000000,-48600000,-77994000,-157825000,-314808000,-95124000,-102562000,-529925000,-1379930000,-739654000,-557974000,-68532000,-181556000,-182317000,-415769000,456888000,-335512000,-295719000,-147110000,-221127000,-136014000,-142385000,-19281000,-8271000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-378040000,-8750000,-323345000,-525234000,-812395000,-20376000,-46001000,-242783000,-236695000,-166418000,-78014000,-229564000,-90958000
91,Common Stock Issued,10300000,- -,43800000,100000,2000000,17767000,4084000,93119000,27670000,40377000,8726000,8886000,1568000,2139000,- -,- -,- -,- -,- -,- -,- -,96547000,219504000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2575000,- -,-2676000,-2462000,-2438000,-50266000,-9904000,-3925000,-13995000,-11680000,-7604000,-7197000,-11256000,-8382000,-1121000,-341000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-981000,-1620000,-2200000,-3613000,-3716000,-3192000,-645000,-114000,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2800000,19700000,-25000000,- -,- -,40054000,59494000,119259000,-9869000,-76332000,283978000,1023253000,218497000,261194000,94101000,-8735000,101094000,387199000,336230000,-1313000,251747000,121053000,94673000,120232000,32196000,176986000,-5039000
95,Cash Used/Provided by Financing Activities,7500000,19700000,18800000,100000,2000000,57821000,61003000,212378000,14144000,-40037000,288066000,978260000,206445000,256216000,-298579000,-29279000,-229895000,-145232000,-487421000,-30071000,204625000,-25524000,77482000,-46186000,-45818000,-52578000,-95997000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,106000,237000,556000,-635000,2818000,174000,-1903000,-1376000,-207000,436000,-860000,-2725000,4390000,-2011000,-3625000,1952000,-1677000,1636000,1818000,-42000
97,Net Change In Cash,7500000,19700000,18800000,100000,-21100000,33528000,-7715000,212378000,14144000,84764000,-62000,115184000,-116709000,134058000,47060000,120412000,155380000,-109363000,41100000,-1708000,17700000,-137545000,-90055000,12867000,-16898000,28759000,35807000
98,Cash at the End of Period,- -,- -,- -,- -,11300000,44838000,37123000,- -,6378000,91142000,91080000,206264000,89555000,223613000,270673000,391085000,546465000,437102000,478200000,476492000,494192000,356647000,266592000,279459000,262561000,291320000,327127000
99,Cash at the Beginning of Period,300000,200000,200000,13000000,32400000,11310000,44838000,37123000,- -,6378000,91142000,91080000,206264000,89555000,223613000,270673000,391085000,546465000,437100000,478200000,476492000,494192000,356647000,266592000,279459000,262561000,291320000
100,Free Cash Flow,-4900000,-19700000,-6600000,20800000,-51900000,-41423000,-62154000,-96565000,-6039000,176584000,-119055000,44945000,-527270000,-417811000,-7826000,124682000,347387000,129459000,-250068000,22573000,-209506000,-147773000,-179489000,59661000,28815000,78556000,131795000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866829/000095012905002450/0000950129-05-002450-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000095012906002658/0000950129-06-002658-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000095012907001105/0000950129-07-001105-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000095012908001388/0000950129-08-001388-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682909000006/0000866829-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682910000005/0000866829-10-000005-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682911000009/0000866829-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682912000009/0000866829-12-000009-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866829/000086682917000006/0000866829-17-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/866829/000086682919000006/0000866829-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682920000007/0000866829-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682921000007/0000866829-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/866829/000086682922000005/0000866829-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
