,https://roic.ai/company/AEE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,742000000,748000000,783000000,747000000,818000000,737000000,791000000,874000000,923000000,952000000,1033000000,1081000000,1153000000,1277000000
15,EBITDA,568900000,654200000,644000000,937992000,768597000,619000000,1113000000,812000000,1279000000,1181000000,948000000,2114000000,2200000000,1744000000,2027000000,-388000000,1735000000,2095000000,2222000000,2340000000,2442000000,2486000000,2472000000,2598000000,2807000000
16,EBITDA ratio,0.1710,0.1972,0.1828,0.2433,0.1706,0.1612,0.2423,0.1574,0.1886,0.1717,0.1256,0.2697,0.3103,0.2283,0.2692,-0.0568,0.2972,0.3461,0.3644,0.3851,0.3953,0.3952,0.4183,0.4484,0.4390
17,Operating Income,816400000,838900000,821400000,941502000,965039000,873000000,1090000000,1078000000,1284000000,1173000000,1342000000,1362000000,1416000000,916000000,1241000000,-1240000000,1184000000,1254000000,1259000000,1381000000,1458000000,1357000000,1267000000,1300000000,1333000000
18,Operating Income ratio,0.2454,0.2528,0.2331,0.2442,0.2142,0.2273,0.2373,0.2089,0.1894,0.1705,0.1778,0.1737,0.1997,0.1199,0.1648,-0.1816,0.2028,0.2072,0.2065,0.2273,0.2360,0.2157,0.2144,0.2244,0.2085
19,Total Other Income Expenses (Gains),-195700000,-184700000,-177400000,-183216000,-189601000,-254000000,-283000000,-266000000,-300000000,-342000000,-394000000,-391000000,-460000000,-440000000,-405000000,-414000000,-355000000,-284000000,-311000000,-340000000,-353000000,-299000000,-251000000,-268000000,-181000000
20,Income Before Tax,620700000,654200000,644000000,758286000,775438000,619000000,807000000,812000000,984000000,831000000,948000000,971000000,956000000,476000000,836000000,-1654000000,829000000,970000000,948000000,1041000000,1105000000,1058000000,1016000000,1032000000,1152000000
21,Income Before Tax Ratio,0.1866,0.1972,0.1828,0.1967,0.1721,0.1612,0.1757,0.1574,0.1451,0.1208,0.1256,0.1239,0.1348,0.0623,0.1110,-0.2422,0.1420,0.1603,0.1555,0.1713,0.1789,0.1682,0.1719,0.1781,0.1802
22,Income Tax expense (Gain),234200000,267700000,258900000,301192000,300052000,237000000,301000000,282000000,356000000,284000000,330000000,327000000,332000000,325000000,310000000,-680000000,311000000,377000000,363000000,382000000,576000000,237000000,182000000,155000000,157000000
23,Net Income,334700000,386500000,385100000,457094000,468545000,382000000,524000000,530000000,606000000,547000000,618000000,605000000,612000000,139000000,519000000,-974000000,289000000,586000000,630000000,653000000,523000000,815000000,828000000,871000000,990000000
24,Net Income ratio,0.1006,0.1165,0.1093,0.1185,0.1040,0.0995,0.1141,0.1027,0.0894,0.0795,0.0819,0.0772,0.0863,0.0182,0.0689,-0.1426,0.0495,0.0968,0.1033,0.1075,0.0847,0.1296,0.1401,0.1503,0.1548
25,EPS,2.44,2.82,2.81,3.33,3.41,2.61,3.25,2.84,3.02,2.66,2.98,2.88,2.78,0.58,2.15,-4.01,1.19,2.42,2.60,2.69,2.16,3.34,3.37,3.53,4.01
26,EPS Diluted,2.44,2.82,2.81,3.33,3.40,2.60,3.25,2.84,3.02,2.66,2.98,2.88,2.78,0.58,2.15,-4.01,1.18,2.40,2.59,2.68,2.14,3.32,3.35,3.50,3.98
27,Weighted Average Shares Outstanding,137215462,137215462,137215462,137215462,137320692,146100000,161100000,186400000,200800000,205600000,207400000,210100000,220400000,238800000,241500000,242600000,242600000,242600000,242600000,242600000,242600000,243800000,245600000,247000000,247000000
28,Weighted Average Shares Outstanding Diluted,137215462,137215462,137215462,137215462,137807353,146100000,161100000,186400000,200800000,205600000,207400000,210100000,220400000,238800000,241500000,242600000,244500000,244400000,243600000,243400000,244200000,245800000,247100000,248700000,248700000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1002910/000095012499002196/0000950124-99-002196-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000095012400001810/0000950124-00-001810-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1135361/000113536103000002/0001135361-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291004000118/0001002910-04-000118-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291005000168/0001002910-05-000168-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312506047272/0001193125-06-047272-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000095013707003131/0000950137-07-003131-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000095013708003079/0000950137-08-003079-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312509042636/0001193125-09-042636-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312510043155/0001193125-10-043155-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312511044880/0001193125-11-044880-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1002910/000100291014000054/0001002910-14-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291015000075/0001002910-15-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291016000205/0001002910-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291017000054/0001002910-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291018000069/0001002910-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291019000094/0001002910-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291020000077/0001002910-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291021000065/0001002910-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291022000038/0001002910-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9700000,76900000,194900000,125968000,67092000,628000000,111000000,69000000,96000000,137000000,355000000,92000000,622000000,545000000,255000000,209000000,30000000,5000000,292000000,9000000,10000000,16000000,16000000,139000000,8000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3570000,- -
33,Cash and Short-Term Investments,9700000,76900000,194900000,125968000,67092000,628000000,111000000,69000000,96000000,137000000,355000000,92000000,622000000,545000000,255000000,209000000,30000000,5000000,292000000,9000000,10000000,16000000,16000000,142570000,8000000
34,Net Receivables,419000000,425600000,391100000,530954000,460361000,442000000,547000000,816000000,965000000,887000000,930000000,1221000000,1109000000,1137000000,866000000,818000000,904000000,769000000,725000000,795000000,838000000,837000000,734000000,749000000,820000000
35,Inventory,227600000,245800000,253200000,227050000,295122000,299000000,487000000,623000000,572000000,647000000,735000000,842000000,782000000,707000000,712000000,704000000,526000000,524000000,538000000,527000000,522000000,483000000,494000000,521000000,592000000
36,Other Current Assets,54900000,22900000,39800000,37210000,40939000,83000000,172000000,74000000,185000000,203000000,460000000,360000000,329000000,505000000,462000000,638000000,512000000,748000000,362000000,262000000,242000000,197000000,187000000,240430000,548000000
37,Total Current Assets,711200000,771200000,879000000,921182000,863514000,1452000000,1317000000,1582000000,1818000000,1874000000,2480000000,2515000000,2842000000,2894000000,2295000000,2369000000,1972000000,2046000000,1917000000,1593000000,1612000000,1533000000,1431000000,1653000000,1968000000
38,PP&E,6987100000,6928000000,7165200000,7705672000,8426562000,8914000000,10917000000,13297000000,13572000000,14286000000,15069000000,16567000000,17610000000,17853000000,18127000000,16096000000,16205000000,17424000000,18799000000,11478000000,21466000000,22810000000,24376000000,26807000000,29261000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000000,831000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000000,129000000,7000000,7000000,16000000,22000000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,574000000,940000000,1222000000,1047000000,1029000000,998000000,960000000,418000000,418000000,427000000,433000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000,411000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3575000000,293000000,337000000,357000000,408000000,494000000,549000000,556000000,607000000,704000000,684000000,847000000,982000000,1159000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1129200000,1148200000,1133400000,1087576000,1110499000,1133000000,1425000000,1615000000,1550000000,2371000000,2150000000,-998000000,2085000000,2013000000,2448000000,2535000000,1938000000,2246000000,1957000000,10610000000,1752000000,1777000000,1868000000,2177000000,2936000000
45,Total Non-Current Assets,8116300000,8076200000,8298600000,8793248000,9537061000,10047000000,12916000000,15852000000,16344000000,17704000000,18248000000,20142000000,20948000000,20621000000,21350000000,19466000000,19070000000,20630000000,21723000000,23106000000,24333000000,25682000000,27502000000,30377000000,33767000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8827500000,8847400000,9177600000,9714430000,10400575000,11499000000,14233000000,17434000000,18162000000,19578000000,20728000000,22657000000,23790000000,23515000000,23645000000,21835000000,21042000000,22676000000,23640000000,24699000000,25945000000,27215000000,28933000000,32030000000,35735000000
48,Accounts Payable,293400000,297200000,341300000,462924000,392169000,369000000,480000000,567000000,706000000,671000000,687000000,813000000,694000000,651000000,693000000,625000000,806000000,711000000,777000000,805000000,902000000,817000000,874000000,958000000,1095000000
49,Short-Term Debt,138500000,260200000,209100000,247704000,780297000,610000000,659000000,840000000,289000000,1068000000,1693000000,1554000000,224000000,424000000,327000000,355000000,902000000,834000000,696000000,1239000000,1325000000,1177000000,882000000,498000000,1050000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,63000000,65000000,68000000,55000000,46000000,43000000,46000000,52000000,53000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,98000000,108000000,105000000,- -,- -,107000000,108000000,116000000,- -,3211000,- -
52,Other Current Liabilities,315100000,397300000,526800000,475333000,408558000,222000000,318000000,400000000,492000000,463000000,522000000,696000000,793000000,713000000,667000000,610000000,648000000,704000000,620000000,523000000,605000000,577000000,749000000,720789000,681000000
53,Total Current Liabilities,747000000,954700000,1077200000,1185961000,1581024000,1201000000,1457000000,1807000000,1487000000,2202000000,2902000000,3063000000,1711000000,1888000000,1785000000,1698000000,2461000000,2249000000,2093000000,2674000000,2940000000,2687000000,2505000000,2180000000,2826000000
54,Long-Term Debt,2506100000,2289400000,2448400000,2745068000,2835378000,3433000000,4070000000,5021000000,5354000000,5285000000,5691000000,6554000000,7943000000,7313000000,6677000000,6626000000,5504000000,6120000000,6880000000,6595000000,7094000000,7859000000,8915000000,11078000000,12562000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1747300000,1700200000,1664400000,1704656000,1720852000,1856000000,2004000000,2025000000,2098000000,2262000000,2155000000,2231000000,2648000000,2976000000,3394000000,2864000000,3229000000,3987000000,3945000000,4319000000,2555000000,2666000000,2919000000,3211000000,3499000000
57,Other Non-Current Liabilities,- -,611400000,663200000,647276000,679770000,974000000,2145000000,2566000000,2645000000,3033000000,3033000000,3651000000,3428000000,3454000000,3721000000,3880000000,3162000000,3465000000,3634000000,3866000000,6030000000,6230000000,6393000000,6481000000,7019000000
58,Total Non-Current Liabilities,4253400000,4601000000,4776000000,5097000000,5236000000,6263000000,8219000000,9612000000,10097000000,10580000000,10879000000,12436000000,14019000000,13743000000,13792000000,13370000000,11895000000,13572000000,14459000000,14780000000,15679000000,16755000000,18227000000,20770000000,23080000000
59,Other Liabilities,9076200000,- -,- -,- -,- -,- -,- -,19230000000,20391000000,21357000000,21931000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5569800000,5552600000,5848700000,6278622000,6813084000,7449000000,9675000000,11425000000,11781000000,12979000000,13954000000,15478000000,15730000000,15631000000,15577000000,15068000000,14356000000,15821000000,16552000000,17454000000,18619000000,19442000000,20732000000,22950000000,25906000000
62,Preferred Stock,- -,- -,- -,- -,- -,193000000,182000000,195000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1400000,1400000,1400000,1372000,1380000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,3000000,3000000
64,Retained Earnings,1434700000,1472200000,1505800000,1613960000,1733558000,1739000000,1853000000,1904000000,1999000000,2024000000,2110000000,2181000000,2455000000,2225000000,2369000000,1006000000,907000000,1103000000,1331000000,1568000000,1660000000,2024000000,2380000000,2757000000,3182000000
65,Other Comprehensive Income/Loss,-5285400000,-5602800000,-5891300000,-6204367000,-6535693000,-102000000,-53000000,-55000000,-36000000,62000000,36000000,- -,-16000000,-17000000,-50000000,-8000000,3000000,-9000000,-3000000,-23000000,-18000000,-22000000,-17000000,-1000000,13000000
66,Other Total Stockholders Equity,7107000000,7424000000,7713000000,8024843000,8388246000,2203000000,2552000000,3949000000,4399000000,4495000000,4604000000,4975000000,5412000000,5520000000,- -,- -,5632000000,5617000000,5616000000,5556000000,5540000000,5627000000,5694000000,6179000000,- -
67,Total Stockholders Equity,3257700000,3294800000,3328900000,3435808000,3587491000,4035000000,4536000000,5995000000,6364000000,6583000000,6752000000,7158000000,7853000000,7730000000,7919000000,6616000000,6544000000,6713000000,6946000000,7103000000,7184000000,7631000000,8059000000,8938000000,9700000000
68,Total Liabilities And Stockholders Equity,8827500000,8847400000,9177600000,9714430000,10400575000,11484000000,14211000000,17420000000,18145000000,19562000000,20706000000,22636000000,23583000000,23361000000,23496000000,21684000000,20900000000,22534000000,23498000000,24557000000,25803000000,27073000000,28791000000,31888000000,35606000000
69,Minority Interest,- -,- -,- -,- -,- -,15000000,22000000,14000000,17000000,16000000,22000000,21000000,207000000,154000000,149000000,151000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,142000000,129000000
70,Total Liabilities & Equity,8827500000,8847400000,9177600000,9714430000,10400575000,11499000000,14233000000,17434000000,18162000000,19578000000,20728000000,22657000000,23790000000,23515000000,23645000000,21835000000,21042000000,22676000000,23640000000,24699000000,25945000000,27215000000,28933000000,32030000000,35735000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1002910/000095012499002196/0000950124-99-002196-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000095012400001810/0000950124-00-001810-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1135361/000113536103000002/0001135361-03-000002-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291004000118/0001002910-04-000118-index.html,https://www.sec.gov/Archives/edgar/data/1002910/000100291005000168/0001002910-05-000168-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312506047272/0001193125-06-047272-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000095013707003131/0000950137-07-003131-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000095013708003079/0000950137-08-003079-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312509042636/0001193125-09-042636-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312510043155/0001193125-10-043155-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000119312511044880/0001193125-11-044880-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1002910/000100291014000054/0001002910-14-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291015000075/0001002910-15-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291016000205/0001002910-16-000205-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291017000054/0001002910-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291018000069/0001002910-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291019000094/0001002910-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291020000077/0001002910-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291021000065/0001002910-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1002910/000100291022000038/0001002910-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,334700000,386500000,385100000,457094000,468545000,382000000,524000000,530000000,606000000,547000000,618000000,605000000,612000000,139000000,519000000,-974000000,289000000,586000000,630000000,653000000,523000000,815000000,828000000,871000000,990000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,742000000,748000000,783000000,747000000,818000000,737000000,791000000,874000000,923000000,952000000,1033000000,1081000000,1153000000,1277000000
75,Deferred Income Tax,-24500000,-24800000,-22600000,1699000,28018000,74000000,12000000,351000000,59000000,91000000,-28000000,167000000,402000000,302000000,346000000,-714000000,410000000,451000000,369000000,386000000,539000000,224000000,167000000,148000000,156000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,25000000,24000000,17000000,17000000,20000000,20000000,21000000,22000000
77,Change in Working Capital,-20200000,-147700000,-14700000,-66579000,-452731000,968510000,-391000000,-85000000,556000000,-659000000,-94000000,-126000000,1679000000,-125000000,-496000000,161000000,-1160000000,286000000,27000000,-905000000,-247000000,174000000,80000000,547000000,-788000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,16500000,-18200000,-7400000,26174000,-68072000,-4000000,-47000000,-25000000,-75000000,-75000000,-88000000,-100000000,67000000,78000000,-27000000,5000000,60000000,3000000,-14000000,11000000,17000000,39000000,-10000000,-25000000,-71000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,-42000000,27000000,-36000000,-29000000,81000000,10000000,-2000000,19000000,32000000,-22000000,-3000000,40000000,28000000
81,Other Working Capital,-35800000,-183500000,-198200000,-264779000,-717510000,251000000,-140000000,-225000000,331000000,-328000000,-422000000,-548000000,1131000000,1006000000,510000000,671000000,-489000000,-203000000,-176000000,-1081000000,-1328000000,-1154000000,-1074000000,-527000000,-472000000
82,Other Non-Cash Items,397400000,589200000,569800000,463368000,694210000,-591510000,886000000,333000000,-50000000,1300000000,606000000,145000000,-1464000000,743000000,762000000,2399000000,1390000000,-588000000,93000000,1049000000,320000000,-96000000,-6000000,-1013000000,4000000
83,Cash Provided by Operating Activities,687400000,803200000,917600000,855582000,738042000,833000000,1031000000,1129000000,1171000000,1279000000,1102000000,1533000000,1977000000,1842000000,1878000000,1690000000,1693000000,1551000000,2017000000,2123000000,2104000000,2170000000,2170000000,1727000000,1661000000
84,CAPEX,-416000000,-345300000,-592700000,-950254000,-1126945000,-815000000,-682000000,-806000000,-947000000,-1031000000,-1449000000,-2069000000,-1788000000,-1121000000,-1092000000,-1331000000,-1424000000,-1859000000,-1969000000,-2131000000,-2195000000,-2338000000,-2442000000,-3299000000,-3523000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-479000000,-443000000,12000000,-292000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,- -,-520000000,-383000000,-271000000,-220000000,-403000000,-214000000,-405000000,-363000000,-392000000,-413000000,-315000000,-463000000,-224000000,-452000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497000000,380000000,256000000,199000000,384000000,196000000,391000000,349000000,377000000,396000000,299000000,467000000,183000000,439000000
88,Other Investing Activites,28800000,22500000,34500000,39831000,21621000,12000000,-20000000,-17000000,54000000,74000000,-19000000,-1901000000,-1706000000,-1007000000,-965000000,-1200000000,-1660000000,-1629000000,-1910000000,-2071000000,-2125000000,-2268000000,-2408000000,-3222000000,-3515000000
89,Cash Used for Investing Activites,-387200000,-322800000,-558200000,-910423000,-1105324000,-803000000,-1181000000,-1266000000,-881000000,-1266000000,-1468000000,-2097000000,-1789000000,-1112000000,-1048000000,-1310000000,-1723000000,-1717000000,-1976000000,-2141000000,-2205000000,-2336000000,-2435000000,-3329000000,-3528000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1140000000,66000000,-431000000,-736000000,-908000000,-399000000,-697000000,-120000000,-395000000,-681000000,-841000000,-580000000,-442000000,-8000000
91,Common Stock Issued,- -,- -,- -,- -,33397000,658000000,361000000,1441000000,454000000,96000000,91000000,154000000,634000000,80000000,65000000,- -,- -,- -,- -,- -,- -,74000000,68000000,476000000,308000000
92,Common Stock Repurchased,-63900000,- -,- -,- -,- -,-42000000,-31000000,-1000000,-1000000,-1000000,-1000000,-16000000,-65000000,-52000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000
93,Dividends Paid,-331300000,-348500000,-348500000,-348527000,-348819000,-376000000,-410000000,-479000000,-511000000,-522000000,-548000000,-564000000,-338000000,-368000000,-375000000,-382000000,-388000000,-390000000,-402000000,-416000000,-431000000,-451000000,-472000000,-494000000,-565000000
94,Other Financing Activites,92800000,-97500000,107100000,334454000,623828000,291000000,-287000000,-866000000,-205000000,455000000,1042000000,1867000000,45000000,-36000000,-74000000,864000000,638000000,1228000000,768000000,546000000,1214000000,1423000000,1318000000,2187000000,1999000000
95,Cash Used/Provided by Financing Activities,-302400000,-446000000,-241400000,-14073000,308406000,531000000,-367000000,95000000,-263000000,28000000,584000000,301000000,342000000,-807000000,-1120000000,-426000000,-149000000,141000000,246000000,-265000000,102000000,205000000,334000000,1727000000,1721000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2200000,34500000,118000000,-68914000,-58876000,561000000,-517000000,-42000000,27000000,41000000,218000000,-263000000,530000000,-77000000,-290000000,-46000000,-179000000,-25000000,287000000,-283000000,1000000,39000000,69000000,125000000,-146000000
98,Cash at the End of Period,9700000,76900000,194900000,125968000,67092000,628000000,111000000,69000000,96000000,137000000,355000000,92000000,622000000,545000000,255000000,209000000,30000000,5000000,292000000,9000000,10000000,107000000,176000000,301000000,155000000
99,Cash at the Beginning of Period,11900000,42400000,76900000,194882000,125968000,67000000,628000000,111000000,69000000,96000000,137000000,355000000,92000000,622000000,545000000,255000000,209000000,30000000,5000000,292000000,9000000,68000000,107000000,176000000,301000000
100,Free Cash Flow,271400000,457900000,324900000,-94672000,-388903000,18000000,349000000,323000000,224000000,248000000,-347000000,-536000000,189000000,721000000,786000000,359000000,269000000,-308000000,48000000,-8000000,-91000000,-168000000,-272000000,-1572000000,-1862000000
