,https://roic.ai/company/LE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
22,Income Tax expense (Gain),23600000,20400000,34000000,37700000,18300000,28210000,20354000,41013000,- -,- -,- -,- -,- -,- -,- -,- -,- -,45669000,32243000,49544000,46758000,-9691000,-69098000,-27747000,-1959000,2072000,1756000,12600000
23,Net Income,36100000,30600000,51000000,64200000,31200000,48034000,34657000,66916000,- -,- -,- -,- -,- -,- -,- -,- -,- -,76234000,49827000,78847000,73799000,-19548000,-109782000,28195000,11590000,19290000,10836000,33369000
24,Net Income ratio,0.0364,0.0297,0.0456,0.0508,0.0228,0.0364,0.0237,0.0426,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0442,0.0314,0.0504,0.0474,-0.0138,-0.0822,0.0200,0.0080,0.0133,0.0076,0.0204
25,EPS,1.03,0.89,1.54,2.01,1.02,1.60,1.15,2.27,- -,- -,- -,- -,- -,- -,- -,- -,- -,2.54,1.66,2.47,2.31,-0.61,-3.43,0.88,0.36,0.60,0.33,1.02
26,EPS Diluted,1.02,0.89,1.53,2.00,1.01,1.56,1.14,2.23,- -,- -,- -,- -,- -,- -,- -,- -,- -,2.50,1.63,2.47,2.31,-0.61,-3.43,0.88,0.36,0.60,0.33,1.02
27,Weighted Average Shares Outstanding,35048544,34382022,33116883,31940299,30588235,30085000,30047000,29476000,- -,- -,- -,- -,- -,- -,- -,- -,- -,30004000,30004000,31956521,31957000,31979000,32021000,32076000,32190000,32343000,32566000,32566000
28,Weighted Average Shares Outstanding Diluted,35392157,34382022,33333333,32100000,30891089,30854000,30422000,29977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,30553000,30553000,31956521,32016000,31979000,32021000,32110000,32526000,32345000,32652000,32652000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/799288/000119312514114621/0001193125-14-114621-index.htm,https://www.sec.gov/Archives/edgar/data/799288/000079928815000017/0000799288-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928816000122/0000799288-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928817000041/0000799288-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928818000022/0000799288-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928819000030/0000799288-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/799288/000156459020012223/0001564590-20-012223-index.html,https://www.sec.gov/Archives/edgar/data/799288/000156459021015555/0001564590-21-015555-index.htm,https://www.sec.gov/Archives/edgar/data/799288/000156459022011688/0001564590-22-011688-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5400000,- -,- -,6300000,6600000,76400000,75400000,122100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,22411000,221454000,228368000,213108000,195581000,193405000,77148000,33933000,34301000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5400000,- -,- -,6300000,6600000,76400000,75400000,122100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28300000,22411000,221454000,228368000,213108000,195581000,193405000,77148000,33933000,34301000
34,Net Receivables,4500000,- -,- -,15400000,21100000,17800000,19800000,13300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27100000,33617000,30073000,32061000,39284000,49860000,34549000,50953000,37574000,49668000
35,Inventory,168700000,- -,- -,241200000,219700000,162200000,188200000,227200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378500000,369928000,301367000,329203000,325314000,332297000,321905000,375670000,382106000,384241000
36,Other Current Assets,19600000,- -,- -,36200000,46900000,33000000,35700000,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29300000,25293000,34708000,26918000,29694000,29015000,38522000,41607000,42217000,38739000
37,Total Current Assets,198200000,- -,- -,299100000,294300000,289400000,319100000,402600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,463200000,451249000,587602000,616550000,607400000,606753000,588381000,545378000,495830000,506949000
38,PP&E,97000000,- -,- -,133400000,160600000,165800000,185300000,193900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109700000,101096000,101223000,109831000,122836000,136501000,149894000,196330000,180763000,161283000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,110000000,110000000,110000000,110000000,110000000,110000000,110000000,106700000,106700000
40,Intangible Assets,2500000,- -,- -,900000,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,534000000,531342000,528712000,430000000,257000000,257000000,257000000,257000000,257000000,257000000
41,Intangible Assets,2500000,- -,- -,900000,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644000000,641342000,638712000,540000000,367000000,367000000,367000000,367000000,363700000,363700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,5400000,- -,- -,8700000,8100000,9100000,14600000,12800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196600000,- -,181045000,157252000,90467000,59137000,58670000,- -,- -,- -
44,Other Non-Current Assets,-5500000,- -,- -,-8600000,-8100000,-9100000,-11400000,-10200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195800000,588000,-158583000,-142107000,-73312000,-45256000,-53034000,4921000,5215000,4702000
45,Total Non-Current Assets,99400000,- -,- -,134400000,161600000,166800000,188500000,196500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754500000,743026000,762397000,664976000,506991000,517382000,522530000,568251000,549678000,529685000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,297600000,- -,- -,433500000,455900000,456200000,507600000,599100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217700000,1194275000,1349999000,1281526000,1114391000,1124135000,1110911000,1113629000,1045508000,1036634000
48,Accounts Payable,52800000,- -,- -,83700000,87900000,74500000,96200000,83400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106700000,115387000,132796000,146097000,162408000,155874000,123827000,158436000,134007000,145802000
49,Short-Term Debt,7600000,- -,- -,32400000,38900000,11700000,16900000,16200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5150000,5150000,5150000,5150000,5150000,11014000,18933000,19367000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17753000,7536000,7578000,6663000,9131000,9242000,24905000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44785000,11228000,11097000,10660000,12993000,9051000,30688000,43985000,- -
52,Other Current Liabilities,42300000,- -,- -,65900000,78500000,64700000,65800000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000000,43189000,91175000,67745000,70636000,82114000,103223000,83428000,117997000,146263000
53,Total Current Liabilities,102700000,- -,- -,182000000,205300000,150900000,178900000,185600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193700000,203361000,240349000,230089000,248854000,256131000,241251000,283566000,314922000,311432000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505988000,493838000,490043000,486248000,482453000,378657000,308443000,267205000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195534000,184483000,157252000,90467000,59137000,58670000,57651000,47346000,46191000
57,Other Non-Current Liabilities,5800000,- -,- -,8800000,8100000,9100000,14500000,12800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200800000,3066000,14986000,15838000,13615000,15526000,5826000,45373000,5094000,5110000
58,Total Non-Current Liabilities,5800000,- -,- -,8800000,8100000,9100000,14500000,12800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200800000,198600000,705457000,666928000,594125000,560911000,546949000,481681000,360883000,318506000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45705000,42994000,- -
61,Total Liabilities,108500000,- -,- -,190800000,213400000,160000000,193400000,198400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394500000,401961000,945806000,897017000,842979000,817042000,788200000,765247000,675805000,629938000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,400000,- -,- -,400000,400000,400000,400000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000,320000,320000,320000,320000,324000,326000,330000
64,Retained Earnings,229600000,- -,- -,375200000,406400000,454400000,489100000,556000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68877000,49329000,-60453000,-29810000,-17159000,390000,11226000,44595000
65,Other Comprehensive Income/Loss,14600000,- -,- -,16400000,20000000,21600000,28600000,23400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3161000,-1995000,-7298000,-9384000,-12426000,-10592000,-13183000,-12988000,-11221000,-12642000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826200000,794314000,342294000,344244000,343971000,347175000,352733000,360656000,369372000,374413000
67,Total Stockholders Equity,189100000,- -,- -,242700000,242500000,296200000,314200000,400700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823237000,792314000,404193000,384509000,271412000,307093000,322711000,348382000,369703000,406696000
68,Total Liabilities And Stockholders Equity,297600000,- -,- -,433500000,455900000,456200000,507600000,599100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217737000,1194275000,1349999000,1281526000,1114391000,1124135000,1110911000,1113629000,1045508000,1036634000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,297600000,- -,- -,433500000,455900000,456200000,507600000,599100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217700000,1194275000,1349999000,1281526000,1114391000,1124135000,1110911000,1113629000,1045508000,1036634000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/799288/000079928895000003/0000799288-95-000003-index.html,undefined,undefined,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/799288/000119312514114621/0001193125-14-114621-index.htm,https://www.sec.gov/Archives/edgar/data/799288/000079928815000017/0000799288-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928816000122/0000799288-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928817000041/0000799288-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928818000022/0000799288-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928819000030/0000799288-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/799288/000156459020012223/0001564590-20-012223-index.html,https://www.sec.gov/Archives/edgar/data/799288/000156459021015555/0001564590-21-015555-index.htm,https://www.sec.gov/Archives/edgar/data/799288/000156459022011688/0001564590-22-011688-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,36100000,30600000,51000000,64200000,31200000,48034000,34657000,66916000,- -,- -,- -,- -,- -,- -,- -,- -,- -,76234000,49827000,78847000,73799000,-19548000,-109782000,28195000,11590000,19290000,10836000,33369000
74,Depreciation and Amortization,-10300000,-12500000,-13600000,-15100000,-18700000,-20715000,-23432000,-26946000,- -,- -,- -,- -,- -,- -,- -,- -,- -,22686000,23121000,21599000,19703000,17399000,19003000,24910000,27558000,31136000,37343000,39166000
75,Deferred Income Tax,-2600000,-700000,1000000,-1200000,-5900000,8270000,5138000,-6661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1262000,3066000,-4961000,17545000,-22670000,-67253000,-32757000,223000,-456000,-10770000,-782000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2118000,2395000,2230000,3951000,6161000,8690000,9201000,10156000
77,Change in Working Capital,9800000,10700000,33800000,-5800000,21600000,-28100000,49500000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,76800000,52500000,-21612000,99365000,39208000,-27915000,-7924000,-3492000,-85318000,-80904000,14609000
78,Accounts Receivable,-300000,-4900000,-700000,-7000000,-5600000,3330000,-2055000,6511000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15012000,-13170000
79,Inventory,-16500000,1400000,22400000,-104500000,21500000,57493000,-26018000,-39009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72091000,14672000,10007000,64252000,-29819000,755000,-2709000,7773000,-53819000,-4081000,-4213000
80,Accounts Payable,-4900000,13500000,22500000,11600000,4200000,-13412000,21658000,-12805000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11001000,1443000,9145000,19207000,10005000,16951000,-6950000,-29433000,32716000,-21208000,13089000
81,Other Working Capital,56800000,67500000,101300000,95500000,117100000,89000000,138500000,140200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,217000000,269500000,247888000,347253000,386461000,358546000,350622000,347130000,261812000,180908000,195517000
82,Other Non-Cash Items,-400000,13300000,49600000,-69000000,46100000,115389000,-5299000,38496000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159948000,-32266000,41046000,-1409000,19107000,207410000,12062000,6160000,53947000,125927000,-25949000
83,Cash Provided by Operating Activities,32600000,41400000,121800000,-26900000,74300000,122878000,60564000,73505000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14510000,96248000,114919000,211121000,35891000,23693000,28437000,48200000,27289000,91633000,70569000
84,CAPEX,-31400000,-13900000,-18500000,-47700000,-46800000,-28013000,-44553000,-40514000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15119000,-14993000,-9887000,-16608000,-22224000,-33319000,-38145000,-44852000,-38878000,-30149000,-25238000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,1700000,- -,12400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,97000,14000,- -,- -,47000,1012000,456000,906000,- -,- -
89,Cash Used for Investing Activites,-31300000,-12200000,-18500000,-35300000,-46800000,-28013000,-44553000,-40514000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15013000,-14896000,-9873000,-16608000,-22224000,-33272000,-37133000,-44396000,-37972000,-30149000,-25238000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3862000,-5150000,-5150000,-5150000,-5150000,-204700000,-598825000,-168000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5313000,- -,-110936000,-500000000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-17400000,-17400000,-27700000,-24200000,-27200000,-25093000,-17073000,13749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68799000,- -,512048000,- -,- -,-2262000,-603000,98787000,495750000,122907000
95,Cash Used/Provided by Financing Activities,-17400000,-17400000,-27700000,-24200000,-27200000,-25093000,-17073000,13749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5313000,-68799000,-110936000,8186000,-5150000,-5150000,-7412000,-5753000,-105913000,-103075000,-45093000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383000,90000,44000,-3656000,-1603000,-531000,-1419000,-635000,540000,-1912000,103000
97,Net Change In Cash,-17400000,-17400000,-27700000,-24200000,-27200000,69772000,-1062000,46740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5433000,12643000,-5846000,199043000,6914000,-15260000,-17527000,-2584000,-116056000,-43503000,341000
98,Cash at the End of Period,- -,- -,- -,- -,- -,76413000,75351000,122091000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15614000,28257000,22411000,221454000,228368000,213108000,195581000,195353000,79297000,35794000,36135000
99,Cash at the Beginning of Period,21600000,5400000,17200000,92800000,6300000,6641000,76413000,75351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,21047000,15614000,28257000,22411000,221454000,228368000,213108000,197937000,195353000,79297000,35794000
100,Free Cash Flow,1200000,27500000,103300000,-74600000,27500000,94865000,16011000,32991000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-609000,81255000,105032000,194513000,13667000,-9626000,-9708000,3348000,-11589000,61484000,45331000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/799288/000079928895000003/0000799288-95-000003-index.html,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/799288/000119312514114621/0001193125-14-114621-index.htm,https://www.sec.gov/Archives/edgar/data/799288/000079928815000017/0000799288-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928816000122/0000799288-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928817000041/0000799288-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928818000022/0000799288-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/799288/000079928819000030/0000799288-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/799288/000156459020012223/0001564590-20-012223-index.html,https://www.sec.gov/Archives/edgar/data/799288/000156459021015555/0001564590-21-015555-index.htm,https://www.sec.gov/Archives/edgar/data/799288/000156459022011688/0001564590-22-011688-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
