,https://roic.ai/company/AKR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20340000,408000,276000,148000,- -,- -,- -,25829000,29143000,13231000,7988000,8979000,9065000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26890000,32154000,34471000,37109000,28768000,39474000,39091000,37162000,34645000,58978000,69978000,73788000,72060000,68969000
14,Depreciation and Amortization,9100000,11800000,12483000,13201000,15795000,19887000,20460000,19478000,14804000,17909000,16077000,16853000,27178000,28428000,41038000,42248000,40553000,33683000,38769000,43071000,49645000,60751000,70011000,104934000,117549000,125443000,149793000,123439000
15,EBITDA,14900000,15600000,11759000,11637000,1897000,27082000,40367000,29280000,34203000,25762000,35662000,39619000,65683000,57757000,92114000,107076000,107971000,122821000,106675000,122679000,160429000,165408000,177327000,226386000,219900000,253744000,213365000,215648000
16,EBITDA ratio,0.4071,0.3594,0.2685,0.2615,0.0317,0.2921,0.4172,0.3426,0.4932,0.3710,0.4895,0.4755,0.6396,0.5686,0.6545,0.7267,0.7105,0.8179,0.7936,0.7290,0.8227,0.7613,0.9336,0.9046,0.8386,0.8592,0.8351,0.7373
17,Operating Income,- -,- -,12530000,13675000,13242000,34339000,36575000,12933000,23375000,16833000,22805000,27597000,29955000,25446000,39742000,37252000,42464000,46032000,34857000,55879000,66263000,62661000,21889000,17319000,27541000,72603000,-115379000,30656000
18,Operating Income ratio,- -,- -,0.2861,0.3073,0.2215,0.3704,0.3780,0.1513,0.3371,0.2424,0.3130,0.3312,0.2917,0.2505,0.2824,0.2528,0.2794,0.3066,0.2593,0.3320,0.3398,0.2884,0.1152,0.0692,0.1050,0.2458,-0.4516,0.1048
19,Total Other Income Expenses (Gains),300000,100000,21000,- -,-16167000,- -,- -,- -,- -,1187000,7628000,-3890000,-14669000,-7093000,-16480000,-30394000,10713000,-34010000,-24871000,-29357000,85290000,89096000,30633000,-893000,-47445000,-49931000,49612000,-5454000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23707000,15286000,18353000,23262000,6858000,53177000,12022000,9986000,26522000,151553000,151757000,52522000,16426000,-19904000,22672000,-65767000,25202000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2845,0.1489,0.1807,0.1653,0.0465,0.3499,0.0801,0.0743,0.1576,0.7771,0.6985,0.2765,0.0656,-0.0759,0.0768,-0.2574,0.0862
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2140000,-508000,2059000,-3362000,1541000,2890000,474000,-568000,19000,629000,1787000,-105000,1004000,934000,1468000,271000,93000
23,Net Income,5800000,3800000,-724000,-1564000,-13898000,7195000,19907000,9802000,19399000,7853000,19585000,20626000,39013000,27270000,27548000,31133000,30057000,51555000,39706000,40115000,71064000,65708000,72776000,61470000,31439000,53045000,-8759000,23147000
24,Net Income ratio,0.1585,0.0876,-0.0165,-0.0351,-0.2325,0.0776,0.2057,0.1147,0.2797,0.1131,0.2688,0.2476,0.3799,0.2685,0.1957,0.2113,0.1978,0.3433,0.2954,0.2384,0.3644,0.3024,0.3832,0.2456,0.1199,0.1796,-0.0343,0.0791
25,EPS,0.68,0.44,-0.08,-0.18,-0.91,0.28,0.75,0.35,0.77,0.30,0.67,0.65,1.20,0.83,0.81,0.82,0.75,1.27,0.85,0.72,1.18,0.94,0.94,0.73,0.38,0.62,-0.10,0.27
26,EPS Diluted,0.68,0.44,-0.08,-0.18,-0.91,0.28,0.75,0.35,0.76,0.29,0.65,0.64,1.18,0.82,0.80,0.82,0.74,1.26,0.85,0.72,1.18,0.94,0.94,0.73,0.38,0.62,-0.10,0.27
27,Weighted Average Shares Outstanding,8529412,8636364,9050000,8688889,11764133,25696429,26542667,28005714,25193506,26176667,29231343,31732308,32510833,32855422,33813000,38005000,40136000,40697000,45854000,54919000,59402000,68851000,76577660,83326027,82734211,84890323,86442000,86442000
28,Weighted Average Shares Outstanding Diluted,8529412,8636364,9050000,8688889,11764133,25696429,26542667,28005714,25525000,27079310,30130769,32228125,33061864,33256098,34267000,38242000,40406000,40986000,46335000,54919000,59402000,68870000,76577660,83685000,82734211,84890323,86442000,86442000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/899629/0000899629-96-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899629/000095011603002125/0000950116-03-002125-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095011604000843/0000950116-04-000843-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095011605001036/0000950116-05-001036-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095011606000805/0000950116-06-000805-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089322007000543/0000893220-07-000543-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089322008000567/0000893220-08-000567-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041309001102/0000930413-09-001102-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041310001152/0000930413-10-001152-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041311001472/0000930413-11-001472-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000144530512000495/0001445305-12-000495-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962913000007/0000899629-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962914000008/0000899629-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962915000006/0000899629-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962916000040/0000899629-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962917000009/0000899629-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962918000008/0000899629-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459019003257/0001564590-19-003257-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459020005641/0001564590-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459021007196/0001564590-21-007196-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095017022002570/0000950170-22-002570-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3912000,9193000,15183000,35340000,22167000,39384000,48615000,18005000,17966000,45008000,139571000,123343000,93485000,102390000,149202000,110781000,91813000,79189000,217580000,72776000,71805000,74823000,21268000,15845000,19232000,17746000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40527000,44654000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3912000,9193000,15183000,35340000,22167000,39384000,48615000,18005000,17966000,45008000,180098000,167997000,93485000,102390000,149202000,110781000,91813000,79189000,217580000,72776000,71805000,74823000,21268000,15845000,19232000,17746000
34,Net Receivables,- -,- -,4956000,4802000,6006000,8865000,9667000,7114000,6959000,10394000,10891000,11880000,12949000,13449000,12161000,142003000,18044000,87779000,157232000,156230000,139248000,187613000,346328000,236365000,201780000,193339000,167676000,197511000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-55383000,-13736000,-15358000,-17276000,-53476000,-181445000,-18955000,- -,25730000,26667000,70236000,194263000,163543000,85912000,58753000,53046000,32002000,33038000,32160000,73765000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,191000,14663000,13499000,39612000,139571000,1000,86691000,244393000,192976000,225227000,319281000,429682000,520371000,346301000,476886000,364234000,255050000,242222000,219068000,289022000
38,PP&E,228500000,230700000,235025000,228362000,471120000,491816000,461123000,388520000,328816000,326538000,314825000,317442000,535167000,698594000,932064000,1013661000,1166379000,1290949000,- -,- -,- -,- -,- -,- -,- -,- -,76268000,40743000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4638000,11653000,16103000,- -,22382000,- -,- -,31975000,33663000,44618000,52593000,114584000,127571000,115939000,116820000,100732000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4638000,11653000,16103000,19476000,22382000,- -,26721000,31975000,33663000,44618000,52593000,114584000,127571000,115939000,116820000,100732000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,6164000,13630000,21557000,69199000,32888000,44654000,54978000,51712000,31036000,84568000,221694000,181322000,184352000,173277000,272028000,302070000,262410000,305097000,249807000,322326000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3733000,2096000,2032000,913000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386641000,-568055000,-743248000,-987042000,50316000,134415000,25854000,1335490000,1620290000,1983259000,2460148000,3128729000,3164276000,3323349000,3644062000,3541007000,3609511000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4638000,11653000,16103000,19476000,1138071000,1331830000,1428092000,1589159000,1835275000,2212229000,2686018000,3519074000,3596013000,3703730000,4066892000,3967814000,3972580000
46,Other Assets,242500000,249500000,258517000,254500000,528512000,570803000,523611000,493939000,410744000,373521000,382844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,242500000,249500000,258517000,254500000,528512000,570803000,523611000,493939000,410935000,388184000,396343000,44250000,151224000,16104000,106167000,1382464000,1524806000,1653319000,1908440000,2264957000,2732600000,3032319000,3995960000,3960247000,3958780000,4309114000,4186882000,4261602000
48,Accounts Payable,- -,- -,- -,- -,- -,2014000,3254000,107000,174000,5804000,7640000,7319000,3887000,869000,22236000,17548000,27691000,39647000,29309000,38050000,34026000,38754000,48290000,61420000,65215000,68838000,53031000,236415000
49,Short-Term Debt,- -,- -,- -,3050000,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,654868000,780094000,- -,930000,- -,- -,- -,- -,- -,41500000,- -,60800000,138400000,112905000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287000,176000,19000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,41900000,15650000,96300000,89586000,63946000,53093000,47026000,22296000,18360000,32781000,59313000,239531000,-368704000,-772717000,7427000,29624000,45479000,24663000,77403000,50796000,51603000,-1788000,40235000,-18363000,15763000,24399000
53,Total Current Liabilities,- -,- -,41900000,18700000,96300000,91600000,67200000,53200000,47200000,28100000,26000000,40100000,163200000,240400000,308400000,24925000,35118000,70201000,74788000,62713000,111429000,89550000,99893000,101132000,105450000,111275000,207194000,373719000
54,Long-Term Debt,124400000,151800000,172823000,183943000,277737000,326651000,277223000,261607000,202361000,190492000,153361000,238448000,347402000,517903000,107000000,780197000,854924000,787910000,727978000,1039997000,1130481000,1358606000,1488718000,1424409000,1550545000,1708196000,1720542000,1738314000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35267000,31306000,34052000,33682000,31842000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-13023000,3057000,-137000,49000,-123000,-7000,39000,-92000,39000,-48000,99998000,-3000,654900000,44865000,47242000,25899000,35418000,40659000,54733000,62809000,193957000,187761000,186786000,268996000,178751000,- -
58,Total Non-Current Liabilities,124400000,151800000,159800000,187000000,277600000,326700000,277100000,261600000,202400000,190400000,153400000,238400000,447400000,517900000,761900000,825062000,902166000,813809000,763396000,1080656000,1185214000,1421415000,1717942000,1643476000,1771383000,2010874000,1931135000,1738314000
59,Other Liabilities,273900000,318300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70129000,70611000,71111000,134419000,95103000,38759000
61,Total Liabilities,149500000,166500000,190959000,196456000,292227000,341631000,293138000,276025000,224487000,208765000,171868000,267746000,496836000,587165000,855752000,849987000,937284000,884010000,838184000,1143369000,1296643000,1510965000,1817835000,1744608000,1876833000,2122149000,2138329000,2112033000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,9000,9000,25000,26000,28000,29000,25000,27000,31000,31000,31000,32000,32000,40000,40000,43000,52000,56000,68000,70000,84000,84000,82000,87000,86000,89000
64,Retained Earnings,- -,- -,-724000,-2282000,-16180000,-16180000,-9103000,-9103000,-2679000,-2679000,-2642000,-2642000,13767000,13767000,13767000,16125000,17206000,39317000,45127000,37747000,31617000,12642000,-5635000,-32013000,-89696000,-132961000,-167046000,-196903000
65,Other Comprehensive Income/Loss,- -,- -,-72956000,-83326000,-87202000,-90932000,-102461000,-75373000,-6874000,-5505000,-3180000,-12000,-234000,-953000,-4508000,-2994000,-2857000,-3913000,-4307000,1132000,-4005000,-4463000,-798000,2614000,516000,-31175000,-74891000,-36214000
66,Other Total Stockholders Equity,93000000,83000000,141229000,143643000,339642000,336258000,342009000,302361000,170851000,177891000,222715000,223199000,227555000,227890000,212007000,299014000,303823000,348667000,581925000,665301000,1027861000,1092239000,1594926000,1596514000,1548603000,1706357000,1683165000,- -
67,Total Stockholders Equity,93000000,83000000,67558000,58044000,236285000,229172000,230473000,217914000,161323000,169734000,216924000,220576000,241119000,240736000,221298000,312185000,318212000,384114000,622797000,704236000,1055541000,1100488000,1588577000,1567199000,1459505000,1542308000,1441314000,1521355000
68,Total Liabilities And Stockholders Equity,242500000,249500000,258517000,254500000,528512000,570803000,523611000,493939000,385810000,378499000,388792000,488322000,737955000,827901000,1077050000,1162172000,1255496000,1268124000,1460981000,1847605000,2352184000,2611453000,3406412000,3311807000,3336338000,3664457000,3579643000,3633388000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,25125000,9685000,7551000,-444072000,-586731000,-811797000,-970883000,220292000,269310000,385195000,447459000,417352000,380416000,420866000,589548000,648440000,622442000,644657000,607239000,628214000
70,Total Liabilities & Equity,242500000,249500000,258517000,254500000,528512000,570803000,523611000,493939000,410935000,388184000,396343000,44250000,151224000,16104000,106167000,1382464000,1524806000,1653319000,1908440000,2264957000,2732600000,3032319000,3995960000,3960247000,3958780000,4309114000,4186882000,4261602000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/899629/0000899629-96-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899629/000095011603002125/0000950116-03-002125-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095011604000843/0000950116-04-000843-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095011605001036/0000950116-05-001036-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095011606000805/0000950116-06-000805-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089322007000543/0000893220-07-000543-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089322008000567/0000893220-08-000567-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041309001102/0000930413-09-001102-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041310001152/0000930413-10-001152-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000093041311001472/0000930413-11-001472-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000144530512000495/0001445305-12-000495-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962913000007/0000899629-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962914000008/0000899629-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962915000006/0000899629-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962916000040/0000899629-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962917000009/0000899629-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000089962918000008/0000899629-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459019003257/0001564590-19-003257-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459020005641/0001564590-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000156459021007196/0001564590-21-007196-index.htm,https://www.sec.gov/Archives/edgar/data/899629/000095017022002570/0000950170-22-002570-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5800000,3800000,-724000,-1564000,-13898000,7195000,19907000,9802000,19399000,7853000,19585000,20626000,39013000,27270000,27548000,31133000,30057000,51555000,39706000,40115000,71064000,65708000,72776000,61470000,31439000,53045000,-8759000,23147000
74,Depreciation and Amortization,9100000,11800000,12483000,13201000,15795000,19887000,20460000,19478000,14804000,17909000,16077000,16853000,27178000,28428000,41038000,42248000,40553000,33683000,38769000,43071000,49645000,60751000,70011000,104934000,117549000,125443000,149793000,123439000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5034000,- -,-5034000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3434000,3969000,4104000,4299000,4021000,7667000,6744000,7438000,13695000,11155000,12948000,10957000,10912000,10957000
77,Change in Working Capital,-6400000,- -,-41900000,23200000,-77600000,4700000,24400000,14000000,6191000,33572000,936000,12013000,-23141000,-216770000,18690000,441177000,-61610000,-2832000,89467000,122476000,41973000,-152191000,120242000,-113891000,-113502000,-18653000,-119073000,2403735000
78,Accounts Receivable,-2000000,-2600000,27000,-763000,-4863000,-2549000,-620000,1734000,-2815000,-5934000,-5426000,-11462000,-203000,23413000,- -,- -,- -,1034000,-6757000,997000,-8097000,-5673000,-4847000,-11274000,-10044000,-455000,-29810000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1200000,700000,-195000,1116000,5027000,-3881000,425000,-1838000,-150000,877000,817000,2938000,-2757000,12165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1632000
81,Other Working Capital,- -,- -,-41900000,-18700000,-96300000,-91600000,-67200000,-53200000,-47009000,-13437000,-12501000,-488000,-23629000,-240399000,-221709000,219468000,157858000,155026000,244493000,366969000,408942000,256751000,376993000,263102000,149600000,130947000,11874000,2415609000
82,Other Non-Cash Items,4700000,-1000000,44197000,-21600000,87906000,-5896000,-32194000,-12242000,-15476000,-40252000,-12775000,-25533000,-3423000,266237000,-24823000,-471065000,31273000,-20373000,-112291000,-148096000,-86907000,131892000,-164964000,56165000,47642000,-38581000,69692000,-2429067000
83,Cash Provided by Operating Activities,13200000,14600000,14056000,13237000,12203000,25886000,32573000,31038000,24918000,19082000,23823000,23959000,39627000,105165000,65887000,47462000,44377000,66332000,59672000,65233000,82519000,113598000,111760000,119833000,96076000,127177000,102565000,127177000
84,CAPEX,-41200000,-19400000,-19741000,-10558000,-23253000,-25091000,-15865000,-11272000,-14134000,-13531000,-7139000,-25629000,-87009000,-190559000,-244403000,-127322000,-80520000,-181498000,- -,- -,- -,- -,- -,- -,- -,-39031000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7918000,-898000,-18331000,-50477000,-138592000,54592000,-82601000,-12276000,-20232000,17699000,23750000,-45282000,11345000,- -
86,Purchases of Investments,- -,- -,- -,- -,-861000,- -,- -,- -,- -,- -,-16422000,-12711000,-45697000,-39712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,300000,100000,- -,- -,- -,- -,- -,33713000,- -,- -,3929000,1868000,19000000,- -,- -,- -,42010000,56519000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-19900000,-3900000,-282000,83000,-708000,5161000,24114000,-1034000,38780000,-5869000,4906000,-23006000,54816000,21402000,-49314000,4840000,-3904000,22299000,1847000,-142471000,-185915000,-342227000,-590738000,-7617000,-160369000,-312744000,-107553000,-397057000
89,Cash Used for Investing Activites,-60800000,-23200000,-20023000,-10475000,-24822000,-19930000,8249000,21407000,24646000,-19400000,-14726000,-59478000,-58890000,-208869000,-301635000,-123380000,-60745000,-153157000,-136745000,-87879000,-268516000,-354503000,-610970000,10082000,-136619000,-397057000,-96208000,-397057000
90,Debt Repayment,-13300000,-49500000,-40622000,-14835000,-83543000,-17598000,-133838000,-76173000,-16841000,-32917000,-100928000,-39014000,-168082000,-165451000,-68412000,-229346000,-127823000,-210386000,-549095000,-437807000,-176323000,-383618000,-936654000,-583253000,-714026000,-692560000,-192842000,-521600000
91,Common Stock Issued,- -,- -,- -,- -,95923000,1983000,7692000,- -,- -,8000,37736000,449000,477000,1797000,261000,65328000,100000,44752000,223477000,80688000,357459000,63234000,450130000,- -,- -,145498000,- -,145498000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1983000,-7692000,-1964000,-33420000,- -,- -,- -,-246000,-1094000,-2102000,-5424000,-966000,-726000,-762000,- -,- -,- -,- -,- -,-55111000,- -,-22386000,145498000
93,Dividends Paid,-12300000,-12300000,-9229000,-9577000,- -,-9239000,-12545000,-13569000,-13131000,-14896000,-18507000,-21869000,-23823000,-26039000,-34710000,-30196000,-28909000,-29033000,-32143000,-44115000,-53210000,-86353000,-91334000,-99527000,-88887000,-93902000,-50182000,-93902000
94,Other Financing Activites,71900000,70500000,56662000,19025000,14135000,41038000,92388000,51232000,4585000,17618000,71942000,122066000,260033000,278263000,304059000,282673000,200750000,251438000,437597000,411256000,196462000,502838000,1076097000,555883000,847746000,906006000,262967000,589548000
95,Cash Used/Provided by Financing Activities,46300000,8700000,6811000,-5387000,26515000,14201000,-53995000,-40474000,-58807000,-30187000,-9757000,61632000,68359000,87476000,199096000,83035000,43152000,56045000,79074000,10022000,324388000,96101000,498239000,-126897000,-10278000,265042000,-2443000,265042000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,46300000,8700000,844000,-2625000,13896000,20157000,-13173000,11971000,11221000,-30505000,-660000,26113000,49096000,-16228000,-36652000,7117000,26784000,-30780000,2001000,-12624000,138391000,-144804000,-971000,3018000,-50821000,-4838000,3914000,-4838000
98,Cash at the End of Period,- -,- -,3912000,1287000,15183000,35340000,22167000,34138000,45168000,14663000,13499000,39612000,139571000,123343000,86691000,93808000,120592000,89812000,91813000,79189000,217580000,72776000,71805000,74823000,34848000,30010000,33924000,30010000
99,Cash at the Beginning of Period,4300000,3000000,3068000,3912000,1287000,15183000,35340000,22167000,33947000,45168000,14159000,13499000,90475000,139571000,123343000,86691000,93808000,120592000,89812000,91813000,79189000,217580000,72776000,71805000,85669000,34848000,30010000,34848000
100,Free Cash Flow,-28000000,-4800000,-5685000,2679000,-11050000,795000,16708000,19766000,10784000,5551000,16684000,-1670000,-47382000,-85394000,-178516000,-79860000,-36143000,-115166000,59672000,65233000,82519000,113598000,111760000,119833000,96076000,88146000,102565000,127177000
