,https://roic.ai/company/UA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336917/000119312507041759/0001193125-07-041759-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312508035854/0001193125-08-035854-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312509033942/0001193125-09-033942-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000119312510040052/0001193125-10-040052-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000119312511044799/0001193125-11-044799-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312512078826/0001193125-12-078826-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691713000011/0001336917-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691714000008/0001336917-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/0001336917-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691716000064/0001336917-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691717000017/0001336917-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000009/0001336917-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691719000011/0001336917-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691720000010/0001336917-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691721000009/0001336917-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691722000010/0001336917-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5748000,16322000,19719000,38979000,52558000,38229000,46785000,68477000,96919000,128778000,162330000,208042000,232573000,256979000,-48260000,-46302000,92139000,-549177000,360060000
74,Depreciation and Amortization,- -,- -,1171000,3174000,6546000,9824000,14622000,21347000,28249000,31321000,36301000,43082000,50549000,72093000,100940000,144770000,173747000,181768000,186425000,164984000,141144000
75,Deferred Income Tax,- -,- -,-1918000,-3341000,-331000,-6721000,-4909000,-2818000,-5212000,-10337000,3620000,-12973000,-18832000,-17584000,-4426000,-43004000,55910000,-38544000,38132000,43992000,-2642000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,8466000,12910000,16227000,18063000,19845000,43184000,50812000,60376000,46149000,39932000,41783000,49618000,42070000,43794000
77,Change in Working Capital,- -,- -,-21072000,2868000,117428000,39271000,53157000,36767000,103010000,40380000,99353000,145314000,50811000,425591000,-107819000,259384000,-2033000,347000,143350000,388698000,22539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,2634000,3792000,-32320000,-33923000,-53433000,-35960000,-101057000,-191876000,-249853000,-79106000,186834000,-45450000,167614000,-31153000
79,Inventory,- -,- -,-10679000,-27195000,-5669000,-26504000,-83966000,-19497000,32998000,-65239000,-114646000,4699000,-156900000,-84658000,-278524000,-148055000,-222391000,109919000,149519000,15306000,93287000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,16957000,-4386000,16158000,17209000,35370000,14642000,49137000,-22583000,202446000,145695000,26413000,59458000,-40673000,26027000
81,Other Working Capital,- -,- -,13822000,16690000,134118000,173389000,226546000,263313000,366323000,406703000,506056000,651370000,702181000,1127772000,1019953000,1279337000,1277304000,1277651000,1421001000,1809699000,-1973000
82,Other Non-Cash Items,- -,- -,6369000,-27874000,-127567000,-70652000,-130056000,-32475000,-66701000,-95954000,-239038000,-124285000,-167972000,-519921000,-325748000,-359791000,14767000,489178000,-633000,122297000,99934000
83,Cash Provided by Operating Activities,- -,- -,-9702000,-8851000,15795000,10701000,-14628000,69516000,119041000,50114000,15218000,199761000,120070000,219033000,-44104000,304487000,234063000,628230000,509031000,212864000,664829000
84,CAPEX,- -,- -,-2285000,-8724000,-10887000,-15115000,-34084000,-39194000,-19845000,-30182000,-79392000,-50650000,-87830000,-140528000,-298928000,-386746000,-281339000,-170385000,-145802000,-92291000,-69759000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148097000,-10924000,-539460000,- -,- -,-39207000,- -,158636000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-89650000,-62860000,- -,- -,-11125000,-3862000,- -,- -,- -,-103144000,-24230000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,89650000,62860000,- -,- -,- -,- -,- -,- -,- -,96610000,30712000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,41000,54000,- -,- -,-3472000,-35000,-478000,-6182000,3719000,-2175000,-860000,-2553000,-875000,-1648000,6688000,-1311000,- -,1413000
89,Cash Used for Investing Activites,- -,- -,-2285000,-8683000,-10833000,-15115000,-34084000,-42066000,-19880000,-41785000,-89436000,-46931000,-238102000,-152312000,-847475000,-381139000,-282987000,-202904000,-147113000,66345000,-68346000
90,Debt Repayment,- -,- -,-6529000,- -,- -,- -,- -,-21954000,-33017000,-9543000,-37418000,-69330000,-5471000,-118722000,-265202000,-1170750000,-665000000,-695000000,-162817000,-800000000,-506280000
91,Common Stock Issued,- -,- -,- -,78000,124490000,3544000,3182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-3640000,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2927000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,22029000,17926000,-50501000,9035000,14966000,57335000,16550000,16786000,83225000,81627000,132266000,301028000,705280000,1379672000,771759000,505132000,25747000,1236853000,87543000
95,Cash Used/Provided by Financing Activities,- -,- -,11860000,18004000,56989000,12579000,18148000,35381000,-16467000,7243000,45807000,12297000,126795000,182306000,440078000,205995000,106759000,-189868000,-137070000,436853000,-418737000
96,Effect of Forex Changes on Cash,- -,- -,- -,-52000,-59000,-487000,497000,-1377000,2561000,1001000,-75000,1330000,-3115000,-3341000,-11822000,-8725000,4178000,12467000,5100000,16445000,-23391000
97,Net Change In Cash,- -,- -,-127000,418000,61892000,7678000,-30067000,61454000,85255000,16573000,-28486000,166457000,5648000,245686000,-463323000,120618000,62013000,247925000,229948000,732507000,154355000
98,Cash at the End of Period,- -,- -,667000,1085000,62977000,70655000,40588000,102042000,187297000,203870000,175384000,341841000,347489000,593175000,129852000,250470000,312483000,566060000,796008000,1528515000,1682870000
99,Cash at the Beginning of Period,- -,- -,794000,667000,1085000,62977000,70655000,40588000,102042000,187297000,203870000,175384000,341841000,347489000,593175000,129852000,250470000,318135000,566060000,796008000,1528515000
100,Free Cash Flow,- -,- -,-11987000,-17575000,4908000,-4414000,-48712000,30322000,99196000,19932000,-64174000,149111000,32240000,78505000,-343032000,-82259000,-47276000,457845000,363229000,120573000,595070000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336917/000119312507041759/0001193125-07-041759-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312508035854/0001193125-08-035854-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312509033942/0001193125-09-033942-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000119312510040052/0001193125-10-040052-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000119312511044799/0001193125-11-044799-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312512078826/0001193125-12-078826-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691713000011/0001336917-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691714000008/0001336917-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/0001336917-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691716000064/0001336917-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691717000017/0001336917-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000009/0001336917-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691719000011/0001336917-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1336917/000133691720000010/0001336917-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691721000009/0001336917-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691722000010/0001336917-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
