,https://roic.ai/company/FC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.61,0.93,1.10,1.40,1.71,1.61,1.76,1.66,-0.51,-0.61,-0.95,-5.49,-2.69,-0.96,-0.34,1.20,0.28,0.30,-0.81,-0.04,0.28,0.44,0.83,1.08,0.66,0.47,-0.52,-0.43,-0.07,-0.68,0.97
26,EPS Diluted,0.61,0.93,1.10,1.40,1.71,1.53,1.76,1.62,-0.51,-0.61,-0.95,-5.49,-2.69,-0.96,-0.34,1.18,0.27,0.29,-0.81,-0.04,0.27,0.43,0.80,1.07,0.66,0.47,-0.52,-0.43,-0.07,-0.68,0.96
27,Weighted Average Shares Outstanding,17704918,17012987,21272727,22071429,22631579,21242236,22117000,24091000,20881000,20437000,20199000,19895000,20041000,19734000,19949000,20134000,19593000,19577000,13406000,13525000,17106000,17772000,17348000,16720000,16742000,14944000,13819000,13849000,13948000,13892000,14090000
28,Weighted Average Shares Outstanding Diluted,17704918,17012987,21272727,22071429,22631579,22352941,22117000,24726000,20881000,20437000,20199000,19895000,20041000,19947000,19949000,20554000,19888000,19922000,13406000,13525000,17547000,18360000,17971000,16947000,16923000,15076000,13819000,13849000,13948000,13892000,14143000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886206/000089155400002524/0000891554-00-002524-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620601500016/0000886206-01-500016-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886206/000088620606000040/form10k_111406.htm,https://www.sec.gov/Archives/edgar/data/886206/000088620607000030/0000886206-07-000030-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620608000060/0000886206-08-000060-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620609000034/0000886206-09-000034-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620610000031/0000886206-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620611000036/0000886206-11-000036-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620612000034/0000886206-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620613000032/0000886206-13-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/886206/000088620615000031/0000886206-15-000031-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620616000075/0000886206-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620617000037/0000886206-17-000037-index.html,- -,https://www.sec.gov/Archives/edgar/data/886206/000088620619000036/0000886206-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620620000029/0000886206-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/886206/000088620621000040/0000886206-21-000040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4100000,48400000,63500000,49700000,35000000,24000000,20400000,27800000,- -,21242000,14864000,47049000,41916000,41904000,51690000,30587000,6126000,15904000,1688000,3484000,3016000,11011000,12291000,10483000,16234000,10456000,8924000,10153000,27699000,27137000,47417000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4100000,48400000,63500000,49700000,35000000,24000000,20400000,27800000,- -,21242000,14864000,47049000,41916000,41904000,51690000,30587000,6126000,15904000,1688000,3484000,3016000,11011000,12291000,10483000,16234000,10456000,8924000,10153000,27699000,27137000,47417000
34,Net Receivables,8500000,11400000,17400000,18800000,29400000,33800000,71800000,83600000,- -,84747000,78827000,21117000,20450000,18636000,22399000,24254000,27239000,35691000,23385000,30665000,38129000,41675000,55989000,65773000,67607000,67893000,67622000,72093000,73227000,56407000,70680000
35,Inventory,11700000,17000000,25400000,38300000,49800000,49500000,55700000,47800000,- -,53599000,45173000,39091000,36805000,23693000,20975000,21790000,24033000,8742000,6770000,4470000,4301000,4161000,4321000,6367000,3949000,5042000,3353000,3160000,3481000,2974000,2496000
36,Other Current Assets,1700000,12600000,1900000,5700000,5600000,5700000,21800000,16100000,- -,33447000,26813000,13482000,8178000,5794000,10118000,10489000,12705000,7574000,8299000,9997000,6610000,7348000,8507000,10393000,7635000,6350000,11936000,14757000,14933000,15146000,16115000
37,Total Current Assets,26000000,89400000,108200000,112500000,119800000,113000000,169700000,175300000,- -,193035000,165677000,120739000,107349000,90027000,105182000,87120000,70103000,67911000,40142000,48616000,52056000,64195000,81108000,93016000,95425000,89741000,91835000,100163000,119340000,101664000,136708000
38,PP&E,14600000,22700000,31500000,58300000,92700000,102100000,119800000,127300000,- -,121556000,104876000,75928000,49972000,40584000,35277000,33318000,36063000,26928000,22629000,20330000,19143000,18496000,17180000,17271000,15499000,16083000,19730000,21401000,18579000,15723000,11525000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000,3761000,9172000,9172000,16135000,19641000,19903000,19903000,24220000,24220000,24220000,24220000,31220000
40,Intangible Assets,- -,- -,- -,24600000,47700000,51100000,269200000,270200000,- -,258475000,225805000,95955000,91645000,87507000,83348000,79532000,75923000,72320000,68994000,65240000,61703000,59205000,60654000,57177000,53449000,50196000,57294000,51934000,47690000,47125000,50097000
41,Intangible Assets,- -,- -,- -,24600000,47700000,51100000,269200000,270200000,- -,258475000,225805000,95955000,91645000,87507000,83348000,79532000,75923000,72320000,69499000,69001000,70875000,68377000,76789000,76818000,73352000,70099000,81514000,76154000,71910000,71345000,81317000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4340000,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3222000,5045000,1094000,4951000
44,Other Non-Current Assets,600000,1600000,5000000,2300000,3100000,2200000,13500000,24500000,- -,19413000,38711000,12116000,10775000,7593000,9426000,12249000,14441000,11768000,11608000,9396000,9353000,13012000,14328000,18081000,16369000,14948000,17652000,12935000,10039000,15611000,15153000
45,Total Non-Current Assets,15200000,24300000,36500000,85200000,143500000,155400000,402500000,422000000,- -,399444000,369392000,183999000,152392000,135684000,128051000,129439000,126528000,111016000,103736000,98727000,99371000,99885000,108297000,112170000,105220000,101130000,118896000,113712000,105573000,103773000,112946000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,41200000,113700000,144700000,197700000,263300000,268400000,572200000,597300000,- -,592479000,535069000,304738000,259741000,225711000,233233000,216559000,196631000,178927000,143878000,147343000,151427000,164080000,189405000,205186000,200645000,190871000,210731000,213875000,224913000,205437000,249654000
48,Accounts Payable,6500000,11300000,11700000,12400000,16700000,12600000,31600000,27400000,- -,28251000,26671000,12718000,14619000,14018000,13704000,13769000,12190000,8713000,8758000,6847000,9154000,7758000,9294000,12001000,8306000,10376000,9119000,9790000,9668000,5622000,6948000
49,Short-Term Debt,- -,- -,- -,- -,- -,900000,4600000,4400000,- -,25297000,23424000,189000,17307000,120000,1088000,585000,16628000,670000,13570000,10266000,3149000,3492000,1139000,1298000,1473000,5412000,8118000,12405000,7335000,7600000,8722000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000,285000,869000,1365000,- -,221000,4000,- -,- -,764000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7051000,6201000,7063000,10350000,12752000,20847000,40772000,51888000,62222000,66678000,85889000
52,Other Current Liabilities,9500000,9300000,11800000,15600000,15500000,15200000,50700000,61600000,- -,66149000,50979000,53973000,36899000,42061000,40532000,34094000,32345000,52698000,20976000,26941000,16047000,19198000,25442000,19236000,17103000,17422000,22617000,20761000,24319000,22628000,34980000
53,Total Current Liabilities,16000000,20600000,23500000,28000000,32200000,28700000,86900000,93400000,- -,119697000,101074000,66880000,68825000,56199000,55324000,48448000,61163000,62081000,43304000,44054000,35401000,36649000,42938000,42885000,39634000,54057000,80626000,94844000,103544000,102528000,136539000
54,Long-Term Debt,8900000,10600000,8100000,7600000,4500000,5500000,94100000,126400000,- -,62505000,85516000,1417000,1435000,1350000,34086000,33559000,32965000,32291000,31098000,30364000,32215000,208000,- -,26078000,- -,10313000,17190000,32820000,15000000,15000000,24136000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,2300000,2400000,35700000,35900000,- -,32939000,30842000,- -,- -,- -,- -,11000,565000,4572000,- -,1637000,4084000,7001000,6479000,5575000,7098000,6670000,1033000,210000,180000,5298000,375000
57,Other Non-Current Liabilities,- -,100000,100000,- -,- -,- -,100000,-100000,- -,3285000,7755000,1886000,3681000,1550000,10997000,1192000,1019000,1229000,472000,253000,411000,29667000,33482000,3934000,28407000,26116000,26817000,5501000,24175000,23158000,8741000
58,Total Non-Current Liabilities,8900000,10700000,8200000,7600000,6800000,7900000,129900000,162200000,- -,98729000,124113000,3303000,5116000,2900000,45083000,34762000,34549000,38092000,31570000,32254000,36710000,36876000,39961000,35587000,35505000,43099000,45040000,38531000,39355000,43456000,33252000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29507000,28515000,27376000,26078000,24605000,22943000,21075000,18983000,16648000,14048000
61,Total Liabilities,24900000,31300000,31700000,35600000,39000000,36600000,216800000,255600000,- -,218426000,225187000,70183000,73941000,59099000,100407000,83210000,95712000,100173000,74874000,76308000,72111000,73525000,82899000,78472000,75139000,97156000,125666000,133375000,142899000,145984000,169791000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87203000,87203000,57345000,37345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000,1353000
64,Retained Earnings,19100000,3500000,26900000,57900000,96600000,130800000,169700000,209800000,- -,186711000,167475000,58209000,4221000,-8798000,-14498000,14075000,19489000,25337000,13980000,13462000,18269000,26110000,40429000,58496000,69612000,76628000,69456000,63569000,59403000,49968000,63591000
65,Other Comprehensive Income/Loss,-4100000,-2300000,-10300000,-15500000,-28600000,-38100000,-56100000,-69900000,- -,-98510000,-107861000,-123883000,-8014000,294000,7112000,8264000,8572000,8655000,1961000,3014000,3592000,3410000,1686000,1451000,192000,1222000,667000,341000,269000,641000,709000
66,Other Total Stockholders Equity,1300000,81200000,96400000,119700000,156300000,139100000,241800000,201800000,- -,284499000,248915000,298876000,101037000,86560000,81514000,72312000,71505000,43409000,51710000,53206000,56102000,59682000,63038000,- -,54349000,14512000,13589000,- -,20989000,7491000,- -
67,Total Stockholders Equity,16300000,82400000,113000000,162100000,224300000,231800000,355400000,341700000,- -,374053000,309882000,234555000,185800000,166612000,132826000,133349000,100919000,78754000,69004000,71035000,79316000,90555000,106506000,126714000,125506000,93715000,85065000,80500000,82014000,59453000,79863000
68,Total Liabilities And Stockholders Equity,41200000,113700000,144700000,197700000,263300000,268400000,572200000,597300000,- -,592479000,535069000,304738000,259741000,225711000,233233000,216559000,196631000,178927000,143878000,147343000,151427000,164080000,189405000,205186000,200645000,190871000,210731000,213875000,224913000,205437000,249654000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,41200000,113700000,144700000,197700000,263300000,268400000,572200000,597300000,- -,592479000,535069000,304738000,259741000,225711000,233233000,216559000,196631000,178927000,143878000,147343000,151427000,164080000,189405000,205186000,200645000,190871000,210731000,213875000,224913000,205437000,249654000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/886206/000089155400002524/0000891554-00-002524-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620601500016/0000886206-01-500016-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/886206/000088620606000040/form10k_111406.htm,https://www.sec.gov/Archives/edgar/data/886206/000088620607000030/0000886206-07-000030-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620608000060/0000886206-08-000060-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620609000034/0000886206-09-000034-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620610000031/0000886206-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620611000036/0000886206-11-000036-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620612000034/0000886206-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620613000032/0000886206-13-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/886206/000088620615000031/0000886206-15-000031-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620616000075/0000886206-16-000075-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620617000037/0000886206-17-000037-index.html,- -,https://www.sec.gov/Archives/edgar/data/886206/000088620619000036/0000886206-19-000036-index.html,https://www.sec.gov/Archives/edgar/data/886206/000088620620000029/0000886206-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/886206/000088620621000040/0000886206-21-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10800000,24500000,23400000,30900000,38700000,34200000,38900000,40000000,-8800000,-4409000,-11083000,-100585000,-45253000,-10150000,10186000,28573000,7629000,5848000,-10832000,-518000,4807000,7841000,14319000,18067000,11116000,7016000,-7172000,-5887000,-1023000,-9435000,13623000
74,Depreciation and Amortization,1800000,2700000,4300000,6300000,11700000,16200000,23600000,38600000,43500000,48510000,47873000,42052000,32938000,17814000,14730000,10289000,10030000,9533000,8038000,7429000,7107000,5698000,6131000,7326000,7875000,6943000,7443000,10525000,11359000,11601000,12199000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,600000,-10500000,1562000,637000,-16152000,-1322000,623000,-410000,-15435000,5274000,4152000,-5476000,2406000,2092000,2708000,-1739000,-679000,3665000,1854000,-5594000,-2535000,-1051000,9094000,-9790000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468000,1099000,2788000,3835000,3589000,3534000,2536000,3121000,3658000,2846000,4789000,-573000,8617000
77,Change in Working Capital,-7300000,15900000,-200000,3100000,-3300000,-1500000,-900000,-73800000,-6100000,-8735000,-10744000,-15335000,- -,2832000,-1842000,-11186000,-29732000,-3110000,-8992000,7724000,12093000,10891000,10624000,-8892000,5660000,-20107000,-24475000,5618000,10477000,-16660000,17890000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5196000,-7597000,-1288000,-5810000,-15171000,-9548000,-4355000,-576000,164000,-5679000,-1770000,17142000,-14266000
79,Inventory,-4900000,-6100000,-8500000,-12600000,-5300000,1900000,-1100000,8100000,-12000000,3943000,8303000,3413000,2343000,13262000,2813000,-845000,-2427000,2853000,2170000,606000,382000,96000,-358000,-2136000,2239000,-908000,1583000,157000,-260000,552000,463000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6173000,3646000,-3252000,2264000,676000,1746000,2932000,-5464000,14372000
81,Other Working Capital,68800000,84700000,84500000,87600000,84300000,82800000,81900000,8100000,16200000,64603000,53859000,38524000,38524000,- -,- -,38672000,8940000,5830000,-3162000,4562000,16655000,27546000,38170000,-1347000,55791000,35684000,11209000,11722000,15796000,-864000,20061000
82,Other Non-Cash Items,5300000,-19200000,-11500000,-9300000,-6300000,-3500000,-15900000,68700000,17900000,13695000,9037000,82999000,19439000,- -,-402000,4768000,20157000,-8595000,22076000,-11116000,-13244000,-15411000,-17396000,-1232000,-4662000,33838000,43497000,6294000,5901000,33536000,3638000
83,Cash Provided by Operating Activities,10600000,23900000,16000000,31000000,40800000,45400000,45700000,74100000,36000000,50623000,35720000,-7021000,5802000,11119000,22262000,17009000,13358000,7828000,5282000,7024000,15643000,15562000,15528000,18124000,26190000,32665000,17357000,16861000,30452000,27563000,46177000
84,CAPEX,-4400000,-9100000,-13000000,-24600000,-32700000,-19500000,-20200000,-56000000,-42000000,-24523000,-27027000,-10594000,-4201000,-3970000,-4179000,-8360000,-14226000,-8206000,-2275000,-1384000,-5423000,-4392000,-5398000,-11257000,-4612000,-6229000,-14403000,-9526000,-6841000,-9265000,-4106000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21444000,-4432000,- -,-1000000,- -,- -,- -,150000,1180000,-956000,-3256000,-5411000,- -,-4185000,-6167000,-262000,- -,-7272000,-1108000,-32000,- -,-10209000
86,Purchases of Investments,- -,-9800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10653000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,9800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21383000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,900000,- -,-2600000,-31000000,-6800000,-7400000,-59800000,12200000,1300000,7032000,15096000,163100000,2426000,1556000,-1684000,93000,2596000,25546000,28000,2638000,-3097000,-2113000,-3224000,-7787000,-2166000,-2236000,-7216000,-2998000,-2688000,-7682000,-2504000
89,Cash Used for Investing Activites,-3500000,-18900000,-5800000,-55600000,-39500000,-26900000,-80000000,-43800000,-40700000,-38935000,-16363000,152506000,-2775000,-2414000,4867000,-8267000,-11480000,18520000,-3203000,-2002000,-10834000,-4392000,-9583000,-17424000,-4874000,-6229000,-21675000,-10634000,-6873000,-11865000,-14315000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65306000,-59873000,-77667000,-11710000,-3730000,-36486000,-1302000,-48863000,-36605000,-94549000,-108524000,-22205000,-7600000
91,Common Stock Issued,- -,57400000,7200000,13200000,2200000,1300000,3000000,3600000,76800000,10161000,1042000,502000,236000,154000,109000,427000,388000,462000,284000,447000,328000,435000,495000,614000,689000,679000,682000,808000,975000,1046000,1073000
92,Common Stock Repurchased,-3300000,-800000,- -,- -,-2700000,-28100000,-36400000,-57000000,-32700000,-5483000,-7455000,-73000,-131000,-182000,-30091000,-25167000,-39970000,- -,-28270000,-50000,-218000,-440000,-1309000,-4381000,-14427000,-43586000,-5431000,-2006000,-12000,-13971000,-2971000
93,Dividends Paid,-3500000,-14800000,- -,- -,- -,- -,- -,- -,- -,-5977000,-6084000,-4367000,-8735000,-8735000,-9020000,-4885000,-2215000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2100000,-2400000,-2200000,-2400000,-15500000,-2400000,64100000,31800000,-41800000,-16706000,-12506000,-109935000,-185000,-102000,33045000,-278000,15421000,-16621000,77044000,55859000,72462000,8523000,710000,37808000,137000,59235000,44488000,91068000,101629000,18573000,-1981000
95,Cash Used/Provided by Financing Activities,-4700000,39400000,5000000,10800000,-16000000,-29200000,30700000,-21600000,2300000,-18005000,-25003000,-113873000,-8815000,-8865000,-5957000,-29903000,-26376000,-16159000,-16248000,-3617000,-5095000,-3192000,-3834000,-2445000,-14903000,-32535000,3134000,-4679000,-5932000,-16557000,-11479000
