,https://roic.ai/company/MOG-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,-14600000,-18500000,-16000000,-13100000,-200000,-85000000,-100000,-16600000,-62300000,-42300000,-196300000,-26070000,-54233000,-32966000,-27652000,-181019000,-164513000,-169671000,-230880000,-148880000,-324743000,-98077000,-121238000,-215573000,-173398000,-86895000,-67598000,-76968000,-109610000,-141642000,-115720000,-146193000,-191157000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1042967000,-610130000,-717617000,-849840000,-972730000,-522493000,-526959000,-419768000,-306960000,-704582000,-1002790000,-1562796000,-909172000
91,Common Stock Issued,- -,- -,- -,- -,300000,300000,200000,- -,- -,- -,100000,500000,1100000,59000000,500000,369000,583000,40188000,75122000,4205000,3715000,92014000,5005000,6788000,80734000,2708000,4764000,2227000,10725000,2247000,11436000,4574000,3797000,4560000,5268000,7014000,10866000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,-1600000,-400000,- -,- -,- -,-15000000,-400000,-2100000,-2800000,-5489000,-2589000,-646000,-1190000,-15696000,-3685000,-3242000,-1067000,-10204000,-10219000,-1830000,-34070000,-1400000,-21290000,-280800000,-378999000,-73732000,-27328000,-38576000,-56243000,-232290000,-31673000
93,Dividends Paid,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17889000,-34857000,-25210000,-32106000
94,Other Financing Activites,- -,- -,- -,- -,-6900000,1400000,-5700000,-6600000,-4100000,64400000,-15100000,18300000,27100000,-33200000,154400000,-8714000,4238000,-64232000,-62490000,41801000,35441000,26193000,222733000,45888000,1173292000,543325000,674132000,886435000,911207000,682641000,728523000,369066000,254833000,534918000,989941000,1670516000,875090000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-7100000,1400000,-7100000,-7000000,-4100000,64400000,-15000000,3800000,27800000,23700000,152100000,-13834000,2232000,-24690000,11442000,30310000,35471000,114965000,226671000,42472000,200840000,-65927000,-72791000,37422000,-72088000,-118405000,-165999000,-119860000,-75658000,-221569000,-98681000,-142766000,-86995000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-300000,200000,-100000,500000,500000,-300000,-100000,-300000,-400000,100000,-300000,-990000,-812000,530000,1175000,1810000,-857000,1902000,5160000,1474000,690000,-324000,-903000,-1027000,2458000,-7600000,-22388000,-3751000,10433000,1541000,-2180000,2306000,768000
97,Net Change In Cash,- -,- -,- -,- -,-7100000,1400000,-7100000,-7000000,-4100000,64400000,- -,2100000,27800000,23700000,-1800000,4047000,446000,1679000,61539000,-20790000,-22951000,24071000,26035000,2958000,-5321000,30928000,1258000,35162000,8249000,74202000,78561000,15275000,42945000,-259263000,-35158000,-7476000,15842000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,9700000,- -,- -,9800000,13827000,14273000,15952000,77491000,56701000,33750000,57821000,83856000,86814000,81493000,112421000,113679000,148841000,157090000,231292000,309853000,325128000,368073000,127706000,92548000,85072000,100914000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7400000,9700000,6900000,7000000,8100000,18600000,7600000,7600000,9600000,6800000,11600000,9780000,13827000,14273000,15952000,77491000,56701000,33750000,57821000,83856000,86814000,81493000,112421000,113679000,148841000,157090000,231292000,309853000,325128000,386969000,127706000,92548000,85072000
100,Free Cash Flow,- -,- -,- -,- -,8900000,-5800000,6800000,5700000,4400000,3400000,5200000,4900000,19000000,900000,-154900000,20980000,26304000,31525000,48861000,97695000,65760000,-6680000,-71876000,16131000,36204000,129307000,112495000,107310000,158103000,208331000,253853000,148646000,141982000,7890000,63001000,190893000,164492000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788713000043/0000067887-13-000043-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788714000122/0000067887-14-000122-index.htm,- -,https://www.sec.gov/Archives/edgar/data/67887/000006788716000213/0000067887-16-000213-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788717000087/0000067887-17-000087-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788718000053/0000067887-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788719000086/0000067887-19-000086-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788720000054/0000067887-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/67887/000006788721000065/0000067887-21-000065-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
