,https://roic.ai/company/PSMT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,1800000,- -,- -,7800000,50532000,79303000,90539000,103712000,112330000,29766000,19309000,14531000,35858000,44277000,61039000,70263000,82057000,70112000,89762000,88011000,90760000,105363000,108389000,90678000,255818000,256024000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132775000,137782000
61,Total Liabilities,- -,- -,- -,11000000,13300000,15900000,40300000,125034000,185777000,205061000,223506000,244646000,119021000,121752000,146958000,174977000,186205000,236522000,288490000,316798000,344990000,391953000,425108000,458664000,468747000,457754000,498132000,824093000,789576000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41897000,41889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,- -,- -,- -,- -,107200000,3000000,-900000,-6308000,-2924000,7864000,-24560000,-57902000,-121534000,-109676000,-106087000,-77510000,-49998000,-15578000,28238000,77739000,143871000,215613000,283611000,351060000,420499000,473954000,525804000,582487000,658919000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3300000,-1900000,-2800000,-4500000,-8454000,-17868000,-30348000,-44495000,-16900000,-14000000,-14000000,-12000000,-13000000,-17230000,-17000000,-23000000,-33000000,-41000000,-49000000,-102000000,-104000000,-110000000,-121000000,-144000000,-176820000,-182508000
66,Other Total Stockholders Equity,- -,- -,- -,90300000,1900000,102900000,99300000,146444000,150901000,196238000,186576000,160791000,333804000,358292000,363400000,365013000,- -,368618000,370597000,374172000,378175000,381649000,384970000,391008000,398265000,405045000,415544000,426049000,438931000
67,Total Stockholders Equity,- -,- -,- -,87000000,107200000,103100000,93900000,131683000,130110000,173755000,159419000,127879000,198273000,234619000,245316000,274506000,300398000,336043000,375838000,418914000,481049000,548265000,566584000,638071000,708767000,758002000,797351000,831719000,915345000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,98000000,120500000,119000000,134200000,256717000,315887000,378816000,382925000,372525000,317294000,356371000,392274000,449483000,486603000,572565000,664328000,735712000,826039000,940218000,991692000,1096735000,1177514000,1215756000,1295483000,1655812000,1704921000
69,Minority Interest,- -,- -,- -,- -,5400000,5600000,17900000,4683000,8193000,10187000,8160000,3483000,2560000,2672000,3145000,480000,770000,- -,- -,- -,- -,- -,- -,- -,- -,636000,928000,1013000,869000
70,Total Liabilities & Equity,- -,- -,- -,98000000,125900000,124600000,152100000,261400000,324080000,389003000,391085000,376008000,319854000,359043000,395419000,449963000,487373000,572565000,664328000,735712000,826039000,940218000,991692000,1096735000,1177514000,1216392000,1296411000,1656825000,1705790000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041803/000091205799007609/0000912057-99-007609-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000091205700051612/0000912057-00-051612-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000091205701541388/0000912057-01-541388-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000114544302000834/0001145443-02-000834-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000119312503095068/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1041803/000119312505233544/d10k.htm,https://www.sec.gov/Archives/edgar/data/1041803/000119312506233057/d10k.htm,https://www.sec.gov/Archives/edgar/data/1041803/000119312507255939/0001193125-07-255939-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180308000008/0001041803-08-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1041803/000104180310000041/0001041803-10-000041-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180311000047/0001041803-11-000047-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180312000046/0001041803-12-000046-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180313000052/0001041803-13-000052-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180314000053/0001041803-14-000053-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180315000046/0001041803-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180316000096/0001041803-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180317000037/0001041803-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180318000043/0001041803-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180319000042/0001041803-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/1041803/000104180320000047/0001041803-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1041803/000156276221000364/0001562762-21-000364-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-12500000,-11400000,-24800000,3000000,-3900000,-5444000,3384000,11779000,-30226000,-29982000,-42337000,11858000,12926000,38106000,42319000,49315000,61750000,67621000,84265000,92886000,89124000,88723000,90724000,74328000,73191000,78109000,97963000
74,Depreciation and Amortization,- -,- -,2300000,2300000,1400000,1400000,1600000,4833000,10412000,12480000,14957000,14435000,9487000,9618000,9449000,11370000,13898000,15260000,21154000,23739000,24444000,28475000,34445000,39794000,46292000,52640000,54958000,61225000,64983000
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,- -,- -,- -,-12203000,-640000,1085000,-5885000,1661000,-1063000,-1898000,-1805000,3562000,642000,2128000,3049000,2362000,2972000,2875000,-2845000,6962000,-4401000,-3405000,-3853000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3298000,3778000,4037000,5469000,6302000,6451000,5969000,9121000,9689000,10218000,15061000,13817000,18424000
77,Change in Working Capital,- -,- -,-3200000,- -,47200000,-5500000,-32900000,-18279000,-15009000,10632000,-26857000,18657000,40637000,11626000,-13288000,22382000,-76000,16504000,15192000,27323000,-1170000,-403000,26957000,17393000,2336000,-8498000,-54046000,46285000,-51579000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8271000,5429000,10848000,-9362000,-11713000,-18547000,-17915000,-1947000,-15349000,-46043000,-23811000,-16370000,-8970000,-40792000,-15732000,-28039000,-10079000,-10248000,21764000,-80202000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22989000,39030000,9766000,23080000,27800000,16423000,23202000,3344000,-16489000,25325000,90185000,15526000
81,Other Working Capital,- -,- -,28700000,28700000,75900000,70400000,37500000,19221000,4212000,14844000,-12013000,- -,25187000,36813000,23525000,45907000,- -,59358000,74550000,101873000,100703000,100300000,127257000,144650000,146986000,138488000,84442000,130727000,13097000
82,Other Non-Cash Items,- -,- -,-5500000,1200000,-14700000,-600000,27200000,5154000,-1455000,-18599000,45290000,9759000,-8487000,-10114000,23794000,-26242000,-2276000,-5390000,-27176000,-36391000,13743000,7504000,-48964000,-18044000,-23340000,-16196000,85569000,63237000,1228000
83,Cash Provided by Operating Activities,- -,- -,-18900000,-7900000,9100000,-1600000,-8000000,-13736000,-2668000,4089000,2524000,13954000,-6585000,24649000,31818000,43718000,55358000,83029000,75599000,89889000,130633000,137275000,110503000,139862000,122856000,119454000,170332000,259268000,127166000
84,CAPEX,- -,- -,-3500000,-2600000,-8100000,-5100000,-37200000,-79101000,-45421000,-34387000,-22223000,-4053000,-10755000,-32631000,-30913000,-23571000,-49347000,-50207000,-47033000,-52705000,-69927000,-118101000,-89185000,-77700000,-135294000,-98109000,-140061000,-100320000,-113174000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-11347000,-1525000,- -,- -,- -,- -,- -,-22413000,-7630000,-3800000,- -,- -,-550000,-750000,-1360000,-119000,- -,-23895000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-86400000,-44600000,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,-50000,-433000,- -,- -,- -,- -,- -,- -,- -,-77997000,-15244000,-51114000,-70938000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,30800000,82400000,12145000,5482000,- -,3000000,- -,- -,2800000,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,45693000,30527000,20182000,67006000
88,Other Investing Activites,- -,- -,3000000,2000000,8700000,1800000,2100000,21877000,8879000,-10304000,-10000000,5000000,- -,2612000,221000,2459000,2276000,282000,7588000,138000,-1335000,-708000,1463000,-356000,77000,529000,74000,40000,385000
89,Cash Used for Investing Activites,- -,- -,-500000,-600000,600000,-58900000,2700000,-45079000,-42407000,-49216000,-29223000,947000,-10755000,-27219000,-30692000,-41525000,-54751000,-54158000,-39445000,-52567000,-71812000,-119559000,-89082000,-78175000,-135217000,-153779000,-124704000,-131212000,-116721000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23926000,-24922000,-39232000,-67259000,-7646000,-23756000,-97048000,-35839000,-46574000,-113939000,-23802000,-228083000,-84976000
91,Common Stock Issued,- -,- -,- -,- -,- -,600000,600000,1881000,4209000,33336000,24546000,5149000,48434000,21014000,3949000,921000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-8600000,-6600000,- -,- -,-724000,- -,- -,- -,-3000,-609000,-2770000,-1289000,-1434000,-2711000,-3154000,-3467000,-4773000,-4677000,-3334000,-3193000,-3183000,-4604000,-3651000,-5542000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,- -,-4659000,-9463000,-19551000,-14895000,-17934000,-18120000,-18133000,-21144000,-21126000,-21274000,-21285000,-21240000,-21654000,-21527000,-21988000
94,Other Financing Activites,- -,- -,19300000,8500000,48700000,18800000,20900000,66868000,42972000,16824000,4108000,5862000,-34372000,-10310000,-5962000,24892000,40642000,40116000,29237000,63451000,7440000,51549000,132816000,43987000,49247000,110545000,18105000,328824000,17369000
95,Cash Used/Provided by Financing Activities,- -,- -,19300000,8500000,48700000,10800000,14900000,68749000,47181000,49436000,27054000,11011000,14062000,10701000,-7281000,13580000,-4124000,-1135000,-30640000,-25082000,-21806000,1876000,9965000,-16460000,-21805000,-27817000,-31955000,75563000,-95137000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-200000,-388000,-329000,-5345000,-7730000,-2741000,515000,1717000,-1775000,283000,-411000,1417000,-2043000,2191000,-6389000,-4368000,-11412000,-2777000,-2838000,-6656000,-4351000,-6084000,-3600000
97,Net Change In Cash,- -,- -,- -,- -,48700000,10800000,9400000,9546000,1777000,-1036000,-7375000,23171000,-2763000,9848000,-7930000,16056000,-3928000,29153000,3471000,14431000,30626000,15224000,19974000,42450000,-37004000,-68798000,9322000,197535000,-88292000
