,https://roic.ai/company/ITI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,11400000,14000000,17200000,18000000,17400000,23900000,23000000,22200000,27000000,32600000,33400000,47300000,40300000,48100000,62246000,71844000,34874000,20372000,16767000,29986000,21007000,20180000,21002000,22212000,20841000,22693000,21054000,21805000,23925000,30252000,34139000,40471000,45433000,46565000,53737000,45798000
11,COGS and Expenses,31200000,37700000,46700000,51900000,51800000,68500000,67800000,67000000,79800000,87900000,98500000,132700000,99100000,101700000,119375000,126902000,70251000,47830000,44237000,57029000,49867000,54469000,57868000,63652000,54745000,56195000,56389000,60232000,66179000,74321000,81218000,99051000,109331000,107082000,120093000,116080000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000,113000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,651000,264000,152000,72000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1200000,1500000,1600000,1800000,2300000,3100000,2800000,2800000,2600000,2400000,2700000,3600000,2900000,5200000,7185000,4967000,5006000,-603000,2000,597000,892000,766000,1074000,1165000,1145000,1252000,1411000,1545000,1501000,1122000,1175000,1352000,1545000,1979000,2340000,2770000
15,EBITDA,3100000,1700000,3100000,2900000,3600000,4600000,2900000,3000000,5100000,-4600000,6700000,9700000,-6600000,-14900000,4906000,-27573000,-22367000,-13751000,109000,-10825000,87000,2341000,7337000,6993000,4507000,-3452000,4640000,4640000,3614000,-764000,-2067000,-3518000,-3799000,-5801000,-3110000,13019000
16,EBITDA ratio,0.0937,0.0428,0.0624,0.0529,0.0651,0.0635,0.0413,0.0433,0.0606,-0.0525,0.0641,0.0689,-0.0735,-0.1787,0.0608,-0.3578,-0.3760,-0.2887,0.0024,-0.2333,0.0017,0.0402,0.1126,0.1008,0.0776,-0.0581,0.0794,0.0752,0.0530,-0.0106,-0.0266,-0.0367,-0.0366,-0.0585,-0.0273,0.1111
17,Operating Income,1900000,2000000,3000000,2900000,3500000,3900000,2500000,2300000,4300000,-200000,6100000,8100000,-9300000,-18300000,-38668000,-49833000,-10763000,-203000,1046000,-10772000,619000,3828000,7295000,5707000,3318000,-4722000,2017000,1634000,2024000,-2079000,-3470000,-5237000,-5602000,-7959000,-5976000,439000
18,Operating Income ratio,0.0574,0.0504,0.0604,0.0529,0.0633,0.0539,0.0356,0.0332,0.0511,-0.0023,0.0583,0.0575,-0.1036,-0.2194,-0.4791,-0.6466,-0.1809,-0.0043,0.0231,-0.2322,0.0123,0.0657,0.1120,0.0823,0.0571,-0.0794,0.0345,0.0265,0.0297,-0.0288,-0.0446,-0.0546,-0.0540,-0.0803,-0.0524,0.0037
19,Total Other Income Expenses (Gains),- -,-1800000,-1500000,-1800000,-2200000,-2400000,- -,-2100000,-1800000,-6800000,-2100000,-2000000,-2300000,- -,38437000,12770000,-1326000,-373000,880000,-124000,-1424000,-2253000,-1032000,-530000,-220000,-134000,-68000,-4000,- -,-14000,14000,6000,16000,179000,526000,167000
20,Income Before Tax,- -,200000,1500000,1100000,1300000,1500000,- -,200000,2500000,-7000000,4000000,6100000,-11600000,- -,- -,- -,-12089000,-576000,1926000,-10896000,-805000,1575000,6263000,5177000,3098000,-4856000,1949000,1630000,2024000,-2093000,-3456000,-5231000,-5586000,-7780000,-5450000,606000
21,Income Before Tax Ratio,- -,0.0050,0.0302,0.0201,0.0235,0.0207,- -,0.0029,0.0297,-0.0798,0.0382,0.0433,-0.1292,- -,- -,- -,-0.2032,-0.0121,0.0425,-0.2348,-0.0159,0.0270,0.0961,0.0746,0.0534,-0.0817,0.0334,0.0264,0.0297,-0.0290,-0.0445,-0.0545,-0.0539,-0.0785,-0.0478,0.0052
22,Income Tax expense (Gain),- -,100000,600000,400000,100000,500000,- -,100000,700000,-2300000,1500000,2400000,-2900000,- -,- -,- -,-785000,- -,100000,-94000,-885000,-1343000,-5900000,-5297000,895000,353000,643000,716000,704000,-816000,9079000,-44000,-1818000,36000,160000,115000
23,Net Income,- -,100000,900000,700000,1200000,1000000,100000,100000,1800000,-4700000,2500000,3700000,-6600000,-20100000,-2279000,-32540000,-26588000,-13148000,7000,-11328000,80000,2918000,12163000,10474000,2203000,-5209000,2514000,2379000,1409000,-1070000,-12321000,-4826000,-3526000,-7816000,-5610000,10134000
24,Net Income ratio,- -,0.0025,0.0181,0.0128,0.0217,0.0138,0.0014,0.0014,0.0214,-0.0536,0.0239,0.0263,-0.0735,-0.2410,-0.0282,-0.4222,-0.4469,-0.2761,0.0002,-0.2442,0.0016,0.0501,0.1867,0.1510,0.0379,-0.0876,0.0430,0.0386,0.0207,-0.0148,-0.1585,-0.0503,-0.0340,-0.0789,-0.0492,0.0865
25,EPS,- -,0.03,0.29,0.16,0.28,0.24,0.02,0.03,0.34,-0.80,0.40,0.55,-0.95,-2.57,-0.25,-3.26,-2.36,-0.92,0.00,-0.45,0.00,0.10,0.37,0.31,0.06,-0.15,0.07,0.07,0.04,-0.03,-0.38,-0.15,-0.11,-0.23,-0.14,0.24
26,EPS Diluted,- -,0.03,0.29,0.16,0.28,0.24,0.02,0.03,0.34,-0.80,0.40,0.55,-0.95,-2.57,-0.25,-3.26,-2.36,-0.92,0.00,-0.45,0.00,0.09,0.35,0.30,0.06,-0.15,0.07,0.07,0.04,-0.03,-0.38,-0.15,-0.11,-0.23,-0.14,0.24
27,Weighted Average Shares Outstanding,3084000,3084000,3084000,4375000,4285714,4166667,5000000,3333333,5326000,5872000,6250000,6727273,6947368,7821012,9116000,9977000,11267000,14276000,19454000,25284000,28182000,29698000,32723000,33964000,34249000,34335000,34259000,33491000,32665000,32595000,32049000,32174000,32776000,33266000,39012000,41176000
28,Weighted Average Shares Outstanding Diluted,3084000,3084000,3084000,4375000,4285714,4166667,5000000,3333333,5326000,5872000,6250000,6727273,6947368,7821012,9353000,9977000,11267000,14276000,19680000,25284000,32737000,33348000,34713000,34638000,34435000,34335000,34380000,33609000,32847000,32595000,32049000,32174000,32776000,33266000,39012000,41599000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706296000015/0001017062-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/350868/000089256997001736/0000892569-97-001736-index.html,https://www.sec.gov/Archives/edgar/data/350868/000101706298001457/0001017062-98-001457-index.html,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706200001446/0001017062-00-001446-index.html,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706202001321/0001017062-02-001321-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746903022912/a2113700z10-k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465904018476/a04-7432_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465905032468/a05-11244_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465906044634/a06-9767_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465907049160/0001104659-07-049160-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465908039576/0001104659-08-039576-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465909037935/0001104659-09-037935-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465910029895/0001104659-10-029895-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465911032666/0001104659-11-032666-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465912042848/0001104659-12-042848-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465913047720/0001104659-13-047720-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746914007351/a2221256z10-k.htm,https://www.sec.gov/Archives/edgar/data/350868/000104746915005534/0001047469-15-005534-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746916013877/0001047469-16-013877-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746917003975/0001047469-17-003975-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746918004333/0001047469-18-004333-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746919003522/0001047469-19-003522-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746920003463/0001047469-20-003463-index.htm,https://www.sec.gov/Archives/edgar/data/350868/000035086821000015/0000350868-21-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,300000,100000,200000,400000,800000,400000,500000,200000,400000,1100000,11400000,1100000,800000,4880000,2218000,408000,437000,2612000,46000,131000,35000,421000,6372000,10405000,11818000,18701000,19137000,20414000,21961000,16029000,18201000,10152000,7071000,14217000,25205000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5319000,1935000,11556000,3100000
33,Cash and Short-Term Investments,300000,300000,100000,200000,400000,800000,400000,500000,200000,400000,1100000,11400000,1100000,800000,4880000,2218000,408000,437000,2612000,46000,131000,35000,421000,6372000,10405000,11818000,18701000,19137000,20414000,21961000,16029000,18201000,15471000,9006000,25773000,28305000
34,Net Receivables,7600000,10400000,14400000,16600000,17200000,19500000,21400000,12700000,22200000,20900000,28200000,29400000,22400000,21300000,16859000,17676000,13866000,10947000,11033000,10952000,14119000,15182000,18459000,12448000,11311000,10941000,11081000,17292000,18162000,15472000,18491000,20755000,20339000,23416000,27921000,30561000
35,Inventory,5700000,6100000,6700000,9200000,9700000,12400000,13800000,16800000,22400000,25500000,22700000,28300000,20800000,15900000,18212000,13066000,8412000,4264000,3598000,4344000,2814000,6379000,4226000,5681000,2727000,3680000,2454000,2465000,2546000,3062000,3153000,2250000,2921000,2916000,3040000,5066000
36,Other Current Assets,900000,400000,400000,500000,600000,900000,1000000,4800000,700000,4200000,3700000,5300000,4300000,2300000,1978000,1078000,2035000,4827000,1144000,485000,1158000,879000,2912000,8730000,9487000,7429000,8689000,3215000,2704000,4018000,1505000,2108000,1165000,1367000,2295000,5708000
37,Total Current Assets,14500000,17200000,21600000,26500000,27900000,33600000,36600000,34800000,45500000,51000000,55700000,74400000,48600000,40300000,41929000,34038000,24721000,20475000,18387000,15827000,18222000,22475000,26018000,33231000,33930000,33868000,40925000,42109000,43826000,44513000,39178000,43314000,39896000,36705000,59029000,69640000
38,PP&E,19200000,18900000,19300000,20100000,20900000,21800000,21100000,19800000,19500000,20700000,21600000,23800000,23300000,22500000,20736000,21135000,17720000,1963000,1642000,1103000,1783000,1712000,3467000,3244000,2550000,2607000,1948000,1862000,1546000,1990000,2139000,2064000,2333000,1965000,14986000,13276000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27774000,27774000,27774000,27774000,27791000,21270000,17318000,17318000,17318000,17318000,17318000,15150000,15150000,15150000,20590000,28340000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,9600000,12004000,10622000,9769000,9807000,9807000,28472000,551000,404000,257000,110000,452000,1850000,2578000,2124000,1584000,987000,951000,1498000,3751000,3286000,6137000,14297000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,9600000,12004000,10622000,9769000,9807000,9807000,28472000,28325000,28178000,28031000,27884000,28243000,23120000,19896000,19442000,18902000,18305000,18269000,16648000,18901000,18436000,26727000,42637000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559000,818000,2533000,7807000,11505000,9739000,10807000,6761000,5888000,6112000,5610000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,400000,200000,100000,400000,1700000,800000,900000,500000,300000,700000,1500000,2700000,11000000,9000000,7181000,2266000,28000,2597000,215000,695000,485000,352000,322000,202000,200000,203000,210000,210000,221000,214000,434000,319000,1756000,849000,1215000,1316000
45,Total Non-Current Assets,19600000,19100000,19400000,20500000,22600000,22600000,22000000,20300000,19800000,21400000,23100000,26500000,40200000,41100000,39921000,34023000,27517000,14367000,11664000,30829000,31411000,32775000,39627000,42835000,40732000,36737000,28815000,27402000,26781000,26119000,20842000,19031000,22990000,21250000,42928000,57229000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34100000,36300000,41000000,47000000,50500000,56200000,58600000,55100000,65300000,72400000,78800000,100900000,88800000,81400000,81850000,68061000,52238000,34842000,30051000,46656000,49633000,55250000,65645000,76066000,74662000,70605000,69740000,69511000,70607000,70632000,60020000,62345000,62886000,57955000,101957000,126869000
48,Accounts Payable,- -,- -,- -,- -,- -,4500000,6300000,4900000,8300000,8200000,11500000,18500000,13700000,10500000,10702000,10644000,6611000,5862000,3560000,3936000,4513000,4389000,5028000,4228000,2492000,3412000,4044000,5411000,5913000,5915000,5469000,7886000,7838000,9441000,8355000,8935000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,1700000,1600000,2100000,6808000,20461000,16133000,- -,142000,4953000,4631000,5962000,244000,2019000,2324000,2324000,634000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226000,- -,- -,- -,- -,- -,- -,- -,- -,1958000,1391000,1549000,2294000,4049000,4900000,4883000,5963000,7349000
52,Other Current Liabilities,5200000,6000000,10200000,10900000,9700000,8500000,6900000,6300000,8800000,10100000,12000000,15000000,13300000,12500000,11564000,11778000,11304000,11267000,5090000,4741000,5785000,5145000,5798000,6384000,6562000,8260000,7882000,5353000,5614000,6191000,7164000,8644000,9756000,8906000,12197000,16749000
53,Total Current Liabilities,5200000,6000000,10200000,10900000,9700000,13000000,13200000,11200000,17100000,18300000,25300000,35200000,28600000,25100000,29074000,42883000,34048000,17129000,9018000,13630000,14929000,15496000,11070000,12631000,11378000,13996000,12560000,12722000,12918000,13655000,14927000,20579000,22494000,23230000,26515000,33033000
54,Long-Term Debt,16500000,16900000,15500000,19500000,22700000,24600000,26200000,24400000,16700000,25800000,22000000,11900000,21000000,20000000,11666000,4800000,2042000,1250000,891000,10315000,11374000,9760000,7566000,5274000,2969000,640000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10146000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686000,1386000,1058000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1200000,1300000,1900000,1500000,1500000,1000000,500000,300000,200000,600000,500000,500000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,751000,587000,351000,- -,- -,- -,685000,707000,65000,65000,190000,808000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,-100000,- -,- -,100000,- -,- -,- -,- -,- -,5000000,- -,- -,6040000,1774000,5249000,4695000,4307000,3798000,1117000,112000,1028000,1357000,908000,199000,1009000,946000,835000,806000,605000,12125000,3903000
58,Total Non-Current Liabilities,17700000,18200000,17400000,21000000,24100000,25500000,26700000,24700000,17000000,26400000,22500000,12400000,21600000,20000000,16666000,4800000,2042000,7290000,2665000,15564000,16069000,14067000,11364000,8077000,5218000,3313000,1708000,908000,199000,1009000,1631000,1542000,871000,670000,12315000,14857000
59,Other Liabilities,17700000,36500000,17300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11995000,10146000
61,Total Liabilities,22900000,24300000,27500000,31900000,33800000,38500000,39900000,35900000,34100000,44700000,47800000,47600000,50200000,45100000,45740000,47683000,36090000,24419000,11683000,29194000,30998000,29563000,22434000,20708000,16596000,17309000,14268000,13630000,13117000,14664000,16558000,22121000,23365000,23900000,38830000,47890000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,923000,1050000,1252000,1512000,2141000,2709000,2743000,3060000,3342000,3420000,3432000,3436000,3391000,3264000,3280000,3242000,3205000,3249000,3318000,3338000,4071000,4170000
64,Retained Earnings,4400000,4500000,5400000,6500000,7600000,8700000,8700000,8900000,10700000,6000000,8500000,12200000,-3800000,-23900000,-26192000,-58732000,-85320000,-98468000,-98461000,-110436000,-110356000,-107438000,-95499000,-85025000,-82869000,-88078000,-85564000,-83185000,-81776000,-82846000,-95167000,-99993000,-103519000,-111543000,-117153000,-107019000
65,Other Comprehensive Income/Loss,-4000000,-5300000,-6600000,-8300000,-10500000,-12900000,-15500000,-17600000,-18900000,-21100000,-23000000,-25700000,-26600000,-29600000,-33520000,-35266000,-31441000,-150000,-45000,-1344000,-493000,14000,54000,-3000,- -,-8735000,-5543000,-6217000,-6970000,-6946000,-6854000,-7508000,-6600000,-7418000,-8201000,-7929000
66,Other Total Stockholders Equity,10800000,12800000,14700000,16900000,19600000,21900000,25500000,27900000,39400000,42800000,45500000,66800000,69000000,89800000,94899000,113326000,131657000,92818000,96988000,126533000,126741000,130051000,135314000,136966000,137503000,146673000,143188000,142019000,142956000,142518000,142278000,144476000,146322000,149678000,184410000,189757000
67,Total Stockholders Equity,11200000,12000000,13500000,15100000,16700000,17700000,18700000,19200000,31200000,27700000,31000000,53300000,38600000,36300000,36110000,20378000,16148000,-4288000,623000,17462000,18635000,25687000,43211000,55358000,58066000,53296000,55472000,55881000,57490000,55968000,43462000,40224000,39521000,34055000,63127000,78979000
68,Total Liabilities And Stockholders Equity,34100000,36300000,41000000,47000000,50500000,56200000,58600000,55100000,65300000,72400000,78800000,100900000,88800000,81400000,81850000,68061000,52238000,20131000,12306000,46656000,49633000,55250000,65645000,76066000,74662000,70605000,69740000,69511000,70607000,70632000,60020000,62345000,62886000,57955000,101957000,126869000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14711000,17745000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34100000,36300000,41000000,47000000,50500000,56200000,58600000,55100000,65300000,72400000,78800000,100900000,88800000,81400000,81850000,68061000,52238000,34842000,30051000,46656000,49633000,55250000,65645000,76066000,74662000,70605000,69740000,69511000,70607000,70632000,60020000,62345000,62886000,57955000,101957000,126869000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706296000015/0001017062-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/350868/000089256997001736/0000892569-97-001736-index.html,https://www.sec.gov/Archives/edgar/data/350868/000101706298001457/0001017062-98-001457-index.html,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706200001446/0001017062-00-001446-index.html,- -,https://www.sec.gov/Archives/edgar/data/350868/000101706202001321/0001017062-02-001321-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746903022912/a2113700z10-k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465904018476/a04-7432_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465905032468/a05-11244_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465906044634/a06-9767_110k.htm,https://www.sec.gov/Archives/edgar/data/350868/000110465907049160/0001104659-07-049160-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465908039576/0001104659-08-039576-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465909037935/0001104659-09-037935-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465910029895/0001104659-10-029895-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465911032666/0001104659-11-032666-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465912042848/0001104659-12-042848-index.html,https://www.sec.gov/Archives/edgar/data/350868/000110465913047720/0001104659-13-047720-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746914007351/a2221256z10-k.htm,https://www.sec.gov/Archives/edgar/data/350868/000104746915005534/0001047469-15-005534-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746916013877/0001047469-16-013877-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746917003975/0001047469-17-003975-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746918004333/0001047469-18-004333-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746919003522/0001047469-19-003522-index.html,https://www.sec.gov/Archives/edgar/data/350868/000104746920003463/0001047469-20-003463-index.htm,https://www.sec.gov/Archives/edgar/data/350868/000035086821000015/0000350868-21-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1000000,100000,100000,1800000,-4700000,2500000,3700000,-6600000,-20100000,-2279000,-32540000,-26588000,-13148000,7000,-11328000,80000,2918000,12163000,10474000,2203000,-5209000,2514000,2379000,1409000,-1070000,-12321000,-4826000,-3526000,-7816000,-5610000,10134000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3100000,2800000,2800000,2600000,2400000,2700000,3600000,2900000,5200000,7185000,4967000,5006000,-603000,2000,597000,892000,766000,1074000,1165000,1145000,1252000,1411000,1545000,1501000,1122000,1175000,1352000,1545000,1979000,2340000,2770000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-500000,-300000,-200000,-100000,-2300000,100000,500000,-900000,900000,- -,- -,- -,- -,- -,-200000,-948000,-1419000,-7321000,-5398000,1014000,273000,286000,1414000,710000,-749000,8859000,12000,-660000,-18000,105000,607000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364000,375000,382000,331000,279000,300000,398000,659000,976000,1781000,2156000,2785000,2902000
77,Change in Working Capital,- -,- -,- -,- -,- -,-1500000,2800000,200000,4800000,4300000,-2300000,8800000,-19200000,-4800000,-2345000,-21700000,-482000,12673000,6023000,-7172000,1096000,3686000,7969000,5652000,1952000,-2680000,8493000,1022000,1521000,-50000,-6607000,-1516000,-5333000,-3927000,19039000,4093000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000,1137000,1052000,-1826000,135000,-1403000,1143000,-2035000,-1058000,1433000,-4063000,265000,-227000
79,Inventory,- -,- -,- -,- -,- -,-2200000,-1400000,- -,-5600000,-3100000,- -,- -,-4600000,4800000,- -,- -,- -,-556000,305000,-746000,1530000,-3565000,2153000,-1455000,2954000,-953000,79000,-11000,-81000,-516000,-91000,903000,-671000,5000,-124000,-1085000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
