,https://roic.ai/company/BBI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-1700000,-2300000,-2000000,-1400000,-4400000,-4000000,-5100000,-5600000,-7500000,-6900000,-8516873,-9239991,-27932494,-24449551,-23733000,-24357000,-23148000,-35894000,-36896000,-28558000,-30385000,-7283000,-22899000,-31238000,-16492000,-9238000,-8973000,-12960000,-16254000,-23877000,-20913000,-39474000
24,Net Income ratio,-0.9444,-0.9583,-0.5556,-0.2333,-0.8000,-0.6349,-0.7612,-0.7179,-1.2712,-0.6449,-1.1177,-0.8129,-3.9862,-3.0265,-1.6317,-2.0292,-1.5704,-6.5120,-4.6375,-2.2511,-3.4881,-0.2426,-1.3071,-4.0474,-1.0838,-0.4410,-0.6175,-0.9378,-10.0210,-3.0159,-11.4780,-97.7079
25,EPS,-15.40,-18.90,-16.10,-9.80,-23.80,-20.30,-23.10,-25.20,-32.90,-30.10,-30.10,-32.20,-97.30,-85.40,-73.50,-69.30,-51.80,-64.40,-65.10,-42.70,-35.70,-7.00,-18.90,-25.20,-13.30,-7.00,-6.30,-7.07,-5.18,-4.50,-0.85,-0.49
26,EPS Diluted,-15.40,-18.90,-16.10,-9.80,-23.80,-20.30,-23.10,-25.20,-32.90,-30.10,-30.10,-32.20,-97.30,-85.40,-73.50,-69.30,-51.80,-64.40,-65.10,-42.70,-35.70,-7.00,-18.90,-25.20,-13.30,-7.00,-6.30,-7.07,-5.18,-4.50,-0.85,-0.49
27,Weighted Average Shares Outstanding,110390,121693,124223,142857,184874,197044,219754,221213,225679,230508,281267,286176,286836,287020,324218,351156,449056,559856,569370,672656,858341,1029013,1228084,1240570,1268370,1310727,1431284,1841141,3120282,3023023,24514157,80315595
28,Weighted Average Shares Outstanding Diluted,110390,121693,124223,142857,184874,197044,220238,221675,226891,230508,281267,286176,286836,287020,324218,351156,449056,559856,569370,672656,858341,1029013,1228084,1240570,1268370,1310727,1431284,1841141,3120282,3023023,24514157,80315595
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819050/000091205702012546/0000912057-02-012546-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000110465903005481/0001104659-03-005481-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000110465904007082/0001104659-04-007082-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312505049800/0001193125-05-049800-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312506050747/0001193125-06-050747-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312507038399/0001193125-07-038399-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312508044028/0001193125-08-044028-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312509043742/0001193125-09-043742-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312510040666/0001193125-10-040666-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312511056436/0001193125-11-056436-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312512117647/0001193125-12-117647-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312513062438/0001193125-13-062438-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312514054318/0001193125-14-054318-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312515065997/0001193125-15-065997-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459016014677/0001564590-16-014677-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459017003970/0001564590-17-003970-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459018005853/0001564590-18-005853-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459019005633/0001564590-19-005633-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905020000043/0000819050-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905021000029/0000819050-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905022000016/0000819050-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2500000,500000,10100000,1200000,2300000,7200000,12600000,12200000,13600000,11100000,16480087,43736068,32608954,18929612,17666000,5710000,19363000,35347000,23761000,25873000,47320000,38696000,43159000,38837000,20471000,13450000,5069000,24841000,11870000,7232000,30115000,26884000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,131663766,90351409,78904526,65588091,53627000,60776000,81030000,36142000,12505000,18385000,5037000,8733000,37639000,11541000,23499000,23258000,30552000,35658000,36201000,4497000,- -,- -
33,Cash and Short-Term Investments,2500000,500000,10100000,1200000,2300000,7200000,12600000,12200000,13600000,37600000,148143853,134087477,111513480,84517703,71293000,66486000,100393000,71489000,36266000,44258000,52357000,47429000,80798000,50378000,43970000,36708000,35621000,60499000,48071000,11729000,30115000,26884000
34,Net Receivables,100000,200000,500000,600000,600000,500000,1900000,1600000,1400000,4000000,4413077,4635534,5893491,5386211,3412000,5778000,5049000,1261000,1852000,1349000,940000,3130000,2152000,4590000,4178000,4544000,8935000,5124000,1128000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,31400000,25000000,45400000,34300000,33300000,26600000,- -,- -,- -,- -,- -,2703000,- -,- -,- -,- -,2827000,2911000,2998000,3059000,3119000,3182000,3246000,3311000,10694000,- -,6240000,3415000,2716000
37,Total Current Assets,2600000,700000,10600000,33200000,27900000,53100000,48800000,47100000,41600000,41600000,152556930,138723011,117406971,89903914,77408000,72264000,105442000,72750000,38118000,48434000,56208000,53557000,86009000,58087000,51330000,44498000,47867000,76317000,49199000,17969000,33530000,29600000
38,PP&E,1000000,800000,600000,800000,1000000,700000,2300000,2200000,1700000,1900000,3537045,5059878,4942514,14335241,16277000,15170000,13500000,12287000,10734000,9260000,7560000,6226000,5284000,3935000,2639000,1873000,1173000,606000,100000,175000,104000,117000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,400000,700000,400000,600000,700000,800000,1100000,1200000,1400000,1400000,1638935,5406500,5642372,5870123,5775000,5481000,5162000,4855000,4337000,3743000,3247000,2871000,2813000,1972000,1660000,1300000,810000,703000,- -,- -,- -,- -
41,Intangible Assets,400000,700000,400000,600000,700000,800000,1100000,1200000,1400000,1400000,1638935,5406500,5642372,5870123,5775000,5481000,5162000,4855000,4337000,3743000,3247000,2871000,2813000,1972000,1660000,1300000,810000,703000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5477000,5434000,5928000,2225000,1980000,1971000,2052000,2046000,2209000,2386000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,400000,300000,300000,500000,700000,500000,200000,200000,100000,200000,5170302,5305345,1434091,597912,1766000,1615000,1145000,693000,868000,458000,458000,191000,191000,379000,379000,191000,388000,659000,659000,- -,- -,- -
45,Total Non-Current Assets,1800000,1800000,1300000,1900000,2400000,2000000,3600000,3600000,3200000,3500000,10346282,15771723,12018977,20803276,23818000,22266000,19807000,17835000,20939000,18938000,16699000,15216000,10513000,8266000,6649000,5416000,4417000,4177000,3145000,175000,104000,117000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4400000,2500000,11900000,35100000,30300000,55100000,52400000,50700000,44800000,45100000,162903212,154494734,129425948,110707190,101226000,94530000,125249000,90585000,59057000,67372000,72907000,68773000,96522000,66353000,57979000,49914000,52284000,80494000,52344000,18144000,33634000,29717000
48,Accounts Payable,200000,300000,300000,300000,600000,500000,800000,1400000,2300000,3800000,3895531,4492005,7369546,5626914,4970000,4687000,5437000,555000,677000,8020000,752000,351000,377000,395000,227000,733000,326000,1213000,412000,2245000,568000,1605000
49,Short-Term Debt,400000,300000,100000,400000,400000,300000,500000,700000,700000,700000,929539,1503491,1901307,4258594,4607000,4093000,2716000,555000,156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4639000,78000,365000,69000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1794857,1528409,2337019,531000,- -,- -,2100000,1709000,1990000,- -,99000,150000,150000,- -,250000,3018000,11700000,30000,1795000,- -,- -
52,Other Current Liabilities,300000,700000,2700000,1500000,900000,700000,1200000,200000,200000,1200000,2162474,- -,- -,- -,- -,- -,- -,4898000,5432000,- -,5582000,6011000,5252000,3108000,4974000,3179000,3801000,4004000,-1500000,6379000,5420000,3136000
53,Total Current Liabilities,900000,1300000,3100000,2200000,1900000,1500000,2500000,2300000,3200000,5700000,6987544,7790353,10799262,12222527,10108000,8780000,8153000,8108000,7974000,10010000,6334000,6461000,5779000,3653000,5201000,4162000,7145000,16917000,3581000,10497000,6353000,4810000
54,Long-Term Debt,300000,300000,300000,400000,500000,300000,1600000,1200000,800000,700000,2121471,2590487,340476,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2380000,2211000,- -,- -,- -,- -,- -,- -,- -,1595000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,-100000,- -,- -,- -,3000001,1954926,3978961,8662386,8209000,5444000,2973000,2565000,2469000,- -,- -,1964000,1657000,1288000,856000,359000,- -,- -,145000,73000,- -,- -
58,Total Non-Current Liabilities,300000,300000,300000,500000,500000,300000,1500000,1200000,800000,700000,5121472,4545413,4319437,8662386,8209000,5444000,2973000,2565000,2469000,2380000,2211000,1964000,1657000,1288000,856000,359000,- -,- -,- -,73000,146000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1976920,7196376,5822000,3426000,711000,156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000,74000,- -
61,Total Liabilities,1200000,1600000,3400000,2700000,2400000,1800000,4000000,3500000,4000000,6400000,12109016,12335766,15118699,20884913,18317000,14224000,11126000,10673000,10443000,12390000,8545000,8425000,7436000,4941000,6057000,4521000,7145000,16917000,3581000,10570000,6499000,4810000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200112,200563,200913,200926,235000,283000,391000,392000,403000,538000,716000,719000,861000,868000,903000,915000,111000,218000,218000,85000,536000,1194000
64,Retained Earnings,-5600000,-7900000,-9900000,-11200000,-15600000,-19600000,-24600000,-30300000,-37700000,-44600000,-53162254,-62402245,-90334739,-114784290,-138517000,-162874000,-186022000,-221916000,-258812000,-287370000,-317755000,-325038000,-347937000,-379175000,-395667000,-404905000,-413878000,-426738000,-442064000,-84980000,-105893000,-145367000
65,Other Comprehensive Income/Loss,-1100000,-1700000,-2000000,-2400000,-2900000,-3000000,-3600000,-4300000,-5000000,-5700000,-6504640,-7966257,887068,798223,-150000,-94000,173000,-71000,-28000,512000,472000,580000,247000,11000,-12000,40000,25000,122000,272000,-28000,- -,- -
66,Other Total Stockholders Equity,9900000,10500000,20400000,46000000,46400000,75900000,76600000,81800000,83500000,88900000,210260978,212326907,203554007,203607418,221341000,242991000,299581000,301507000,307051000,341302000,380929000,384087000,435915000,439708000,446698000,449343000,458881000,489975000,490337000,92497000,132492000,169080000
67,Total Stockholders Equity,3200000,900000,8500000,32400000,27900000,53300000,48400000,47200000,40800000,38700000,150794196,142158968,114307249,89822277,82909000,80306000,114123000,79912000,48614000,54982000,64362000,60348000,89086000,61412000,51922000,45393000,45139000,63577000,48763000,7574000,27135000,24907000
68,Total Liabilities And Stockholders Equity,4400000,2500000,11900000,35100000,30300000,55100000,52400000,50700000,44800000,45100000,162903212,154494734,129425948,110707190,101226000,94530000,125249000,90585000,59057000,67372000,72907000,68773000,96522000,66353000,57979000,49914000,52284000,80494000,52344000,18144000,33634000,29717000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4400000,2500000,11900000,35100000,30300000,55100000,52400000,50700000,44800000,45100000,162903212,154494734,129425948,110707190,101226000,94530000,125249000,90585000,59057000,67372000,72907000,68773000,96522000,66353000,57979000,49914000,52284000,80494000,52344000,18144000,33634000,29717000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819050/000091205702012546/0000912057-02-012546-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000110465903005481/0001104659-03-005481-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000110465904007082/0001104659-04-007082-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312505049800/0001193125-05-049800-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312506050747/0001193125-06-050747-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312507038399/0001193125-07-038399-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312508044028/0001193125-08-044028-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312509043742/0001193125-09-043742-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312510040666/0001193125-10-040666-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312511056436/0001193125-11-056436-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312512117647/0001193125-12-117647-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312513062438/0001193125-13-062438-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312514054318/0001193125-14-054318-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000119312515065997/0001193125-15-065997-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459016014677/0001564590-16-014677-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459017003970/0001564590-17-003970-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459018005853/0001564590-18-005853-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000156459019005633/0001564590-19-005633-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905020000043/0000819050-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905021000029/0000819050-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/819050/000081905022000016/0000819050-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1700000,-2300000,-2000000,-1400000,-4400000,-4000000,-5100000,-5600000,-7500000,-6900000,-8516873,-9239991,-27932494,-24449551,-23733000,-24357000,-23148000,-35894000,-36896000,-28558000,-30385000,-7283000,-22899000,-31238000,-16492000,-9238000,-8973000,-12960000,-16254000,-23877000,-20913000,-39474000
74,Depreciation and Amortization,600000,600000,400000,400000,500000,500000,600000,900000,900000,1000000,1200328,1882877,2736305,3542821,3637000,3594000,3283000,3264000,2868000,2629000,2808000,2298000,1984000,2213000,1663000,1159000,1117000,793000,151000,28000,10000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2636000,3106000,3290000,3466000,3159000,1902000,990000,756000,361000,1532000,1993000,- -
77,Change in Working Capital,-500000,-2300000,8100000,23500000,-5000000,25600000,-5300000,-1500000,-6400000,-2500000,109669386,-14636728,-24324949,-28926322,-10381387,-3816000,33805000,-32647000,-34498000,8280000,11450000,-2778000,33134000,-25796000,-8305000,-5793000,386000,18678000,-13782000,-38146000,19705000,-2387000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,977000,-2626000,412000,-178000,-4588000,-1973000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2845000,-1822000,-1677000,- -
81,Other Working Capital,1700000,-600000,7500000,31000000,26000000,51600000,46300000,44800000,38400000,35900000,145569386,130932658,106607709,77681387,67300000,63484000,97289000,64642000,30144000,38424000,49874000,47096000,80230000,54434000,46129000,40336000,40722000,59400000,45618000,7472000,27177000,24790000
82,Other Non-Cash Items,100000,2700000,-5800000,-24300000,5100000,-25400000,4900000,1600000,7600000,2400000,-110968644,13753469,29801025,28532482,9408387,1798000,-29608000,41095000,37659000,-3803000,-14737000,809000,-33083000,21557000,10169000,5022000,-1908000,-15868000,15079000,24482000,-20829000,41861000
83,Cash Provided by Operating Activities,-1500000,-1300000,700000,-1800000,-3800000,-3300000,-4900000,-4600000,-5400000,-6000000,-8615803,-8240373,-19720113,-21300570,-21069000,-22781000,-15668000,-24182000,-30867000,-21452000,-28228000,-3848000,-17574000,-29798000,-9806000,-6948000,-8388000,-8601000,-14445000,-35981000,-20034000,- -
84,CAPEX,- -,-100000,-100000,-100000,-500000,-400000,-1000000,-400000,- -,-400000,-1317547,-2004907,-497657,-1856797,-514000,-1774000,-1564000,-1782000,-1053000,-652000,-760000,-662000,-1055000,-744000,-354000,-125000,-255000,-80000,-36000,-7000,-23000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-31400000,- -,-19700000,- -,- -,- -,-100000,-173781977,-146903472,-90093258,-109825814,-54777000,-114672000,-161567000,-90344000,-14058000,-24657000,-18549000,-24598000,-51842000,-5137000,-22643000,-20114000,-38134000,-36640000,-45009000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5800000,- -,11000000,900000,6800000,- -,69433851,188382838,101610544,123371186,65790000,110283000,141580000,134987000,31031000,16018000,31815000,20429000,26245000,30974000,10556000,20183000,30652000,31429000,44688000,19500000,4500000,- -
88,Other Investing Activites,- -,-200000,-200000,-400000,-100000,200000,-100000,-100000,-300000,-200000,-388064,-4073183,-762562,-3180143,-709000,-576000,39000,68000,3000,-305000,-413000,-406000,-400000,-363000,-254000,-50000,- -,- -,1639000,13010000,-23000,- -
89,Cash Used for Investing Activites,- -,-300000,-300000,-31900000,5200000,-19900000,9900000,400000,6500000,-700000,-106053737,35401276,10257067,8508432,9790000,-6739000,-21512000,42929000,15923000,-9281000,12506000,-4831000,-26643000,25142000,-12426000,-53000,-7737000,-5291000,1282000,32510000,4477000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000,- -,- -,- -,- -,- -,- -,- -,- -,-1282000,-4808000,- -,- -
91,Common Stock Issued,3200000,- -,9500000,25000000,- -,28600000,200000,4400000,1100000,5000000,119851911,282340,8801,2887,17348000,21268000,55029000,54000,3989000,33038000,37261000,214000,48933000,816000,3925000,3000,7758000,30549000,1000,- -,37977000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
