,https://roic.ai/company/UHAL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,897972000,162305000,137904000,91214000,83849000,93281000,122634000,124037000,149357000,175265000,187896000,149615000,167078000,206727000,235063000,385866000,356303000,539998000,533531000,1636688000,1800618000,2007216000,2023364000,2280748000,2627935000,2823631000,3042543000,3335205000
11,COGS and Expenses,990151000,1079645000,1130639000,1268052000,1269627000,1380664000,1499091000,1701867000,1946686000,2023177000,1996483000,1841125000,1801245000,1850049000,1845452000,1718794000,1651517000,1863580000,1955453000,1861352000,2028354000,2233086000,2218134000,2470576000,2822384000,3018931000,3233443000,3549264000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58021000,49989000,52661000,64200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98470000,93347000,88381000,90371000,86563000,89141000,94030000,94668000,109961000,122839000,138700000,156523000,157553000
14,Depreciation and Amortization,148740000,163890000,102427000,94364000,113822000,114102000,135481000,144185000,169440000,185833000,190676000,146603000,157708000,203244000,240979000,248569000,229589000,212324000,229789000,260492000,293169000,352796000,389393000,481520000,555069000,581025000,664120000,664001000
15,EBITDA,208777000,257346000,198653000,175573000,176449000,211712000,237894000,166062000,174419000,146912000,195901000,291735000,357981000,349067000,343281000,369617000,423126000,590019000,645796000,755542000,919832000,1008244000,1252972000,1219839000,1315521000,1197254000,1198767000,1618212000
16,EBITDA ratio,0.1840,0.2074,0.1535,0.1232,0.1251,0.1364,0.1413,0.0916,0.0843,0.0689,0.0904,0.1453,0.1699,0.1674,0.1675,0.1911,0.2168,0.2696,0.2648,0.2953,0.3244,0.3279,0.3825,0.3565,0.3653,0.3177,0.3013,0.3563
17,Operating Income,135361000,161218000,163784000,157051000,140315000,171268000,184279000,111771000,121324000,109210000,126915000,166996000,305381000,235548000,203722000,121048000,193537000,377695000,416007000,499183000,630214000,663024000,866814000,742263000,764319000,620987000,540128000,961147000
18,Operating Income ratio,0.1193,0.1299,0.1265,0.1102,0.0995,0.1104,0.1095,0.0616,0.0587,0.0512,0.0586,0.0832,0.1450,0.1129,0.0994,0.0626,0.0991,0.1726,0.1706,0.1951,0.2223,0.2157,0.2646,0.2169,0.2122,0.1648,0.1357,0.2116
19,Total Other Income Expenses (Gains),-68859000,-67762000,-67558000,-73523000,-64016000,-73658000,-81532000,-87773000,-116345000,-148131000,-121690000,-21864000,-105108000,-89725000,-101420000,-98470000,-93347000,-88381000,-90371000,-90696000,-92692000,-101606000,-97903000,-113905000,-126706000,-143458000,-162004000,-164489000
20,Income Before Tax,66502000,93456000,96226000,83528000,76299000,97610000,102747000,23998000,4979000,-38921000,5225000,145132000,200273000,145823000,102302000,22578000,100190000,289314000,325636000,408487000,537522000,561418000,768911000,628358000,637613000,477529000,378124000,796658000
21,Income Before Tax Ratio,0.0586,0.0753,0.0743,0.0586,0.0541,0.0629,0.0610,0.0132,0.0024,-0.0183,0.0024,0.0723,0.0951,0.0699,0.0499,0.0117,0.0513,0.1322,0.1335,0.1597,0.1896,0.1826,0.2347,0.1836,0.1771,0.1267,0.0950,0.1754
22,Income Tax expense (Gain),19853000,33424000,35832000,29344000,27643000,35101000,36922000,8912000,2258000,-13935000,8077000,55708000,79119000,55270000,34518000,9168000,34567000,105739000,120269000,143779000,195131000,204677000,279910000,229934000,-152970000,106672000,-63924000,185802000
23,Net Income,40184000,60032000,60394000,51865000,34984000,62509000,65491000,12965000,2721000,-24986000,-2852000,89424000,121154000,90553000,67784000,13410000,65623000,183575000,205367000,264708000,342391000,356741000,489001000,398424000,790583000,370857000,442048000,610856000
24,Net Income ratio,0.0354,0.0484,0.0467,0.0364,0.0248,0.0403,0.0389,0.0071,0.0013,-0.0117,-0.0013,0.0445,0.0575,0.0434,0.0331,0.0069,0.0336,0.0839,0.0842,0.1035,0.1208,0.1160,0.1493,0.1164,0.2195,0.0984,0.1111,0.1345
25,EPS,0.89,1.23,1.33,1.35,0.66,2.07,2.37,0.60,-0.49,-1.83,-0.76,3.68,5.19,3.72,2.78,0.02,2.74,8.80,10.09,13.56,17.51,18.21,24.95,20.34,40.36,18.93,22.55,31.15
26,EPS Diluted,0.89,1.23,1.33,1.35,0.66,2.07,2.36,0.60,-0.49,-1.83,-0.76,3.68,5.19,3.72,2.78,0.02,2.74,8.80,10.09,13.56,17.51,18.21,24.95,20.34,40.36,18.93,22.55,31.15
27,Weighted Average Shares Outstanding,38664063,38190552,35736335,25479651,21896101,21937686,21934390,21486370,21022712,20743072,20749998,20804773,20857108,20838570,19740571,19350041,19386791,19432781,19476187,19518779,19558758,19586633,19596110,19586606,19588889,19592048,19603708,19607788
28,Weighted Average Shares Outstanding Diluted,38664063,38190552,36796961,26683455,21896101,21937686,22226057,21486370,21022712,20743072,20749998,20804773,20857108,20838570,19740571,19350041,19386791,19432781,19476187,19518779,19558758,19586633,19596110,19586606,19588889,19592048,19603708,19607788
29,SEC Link,https://www.sec.gov/Archives/edgar/data/4457/000000445794000020/0000004457-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445795000021/0000004457-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445796000044/0000004457-96-000044-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445797000016/0000004457-97-000016-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445798000023/0000004457-98-000023-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445799000028/0000004457-99-000028-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445700000067/0000004457-00-000067-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/4457/000095015303001671/p67969e10vk.htm,https://www.sec.gov/Archives/edgar/data/4457/000095015304001463/p69260e10vk.htm,https://www.sec.gov/Archives/edgar/data/4457/000095015305001469/p70807e10vk.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445706000008/march200610-k.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445707000011/march200710-k.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445708000010/0000004457-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445709000006/0000004457-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445710000021/0000004457-10-000021-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445711000059/0000004457-11-000059-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445712000023/mar10k.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445713000016/0000004457-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445714000036/0000004457-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445715000019/0000004457-15-000019-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445716000085/0000004457-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445717000032/0000004457-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445718000016/0000004457-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445719000024/0000004457-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445720000053/0000004457-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445721000040/0000004457-21-000040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18442000,35286000,31168000,41752000,31606000,44505000,48435000,52778000,47651000,66834000,81557000,55955000,155459000,75272000,206622000,240587000,244118000,375496000,350100000,463744000,495112000,441850000,600646000,697806000,759388000,673701000,494352000,1194012000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,695958000,860500000,819375000,746653000,776804000,861677000,1032423000,43574000,44700000,47739000,34798000,15149000,10350000,5546000,- -,- -
33,Cash and Short-Term Investments,18442000,35286000,31168000,41752000,31606000,44505000,48435000,52778000,47651000,66834000,81557000,55955000,851417000,935772000,1025997000,987240000,1020922000,1237173000,1382523000,507318000,539812000,489589000,635444000,712955000,769738000,679247000,494352000,1194012000
34,Net Receivables,204814000,300238000,340564000,238523000,317620000,390960000,402386000,318421000,295821000,266605000,272923000,236817000,232711000,186286000,203204000,520318000,501870000,507339000,614131000,443824000,368946000,331659000,260944000,264249000,226814000,255674000,221456000,259821000
35,Inventory,49012000,50337000,45891000,65794000,68887000,80159000,84614000,84005000,76519000,53270000,52802000,63658000,64919000,67023000,65349000,70749000,52837000,59942000,58735000,56396000,67020000,69472000,79756000,82439000,89877000,103504000,101083000,105577000
36,Other Current Assets,- -,25933000,16415000,17264000,21154000,16363000,17822000,14416000,31069000,21846000,13172000,1392724000,53262000,436896000,526761000,232838000,238437000,277127000,226297000,13877000,10569000,78557000,99502000,109579000,155342000,168554000,562904000,469144000
37,Total Current Assets,272268000,411794000,434038000,363333000,439267000,531987000,553257000,469620000,451060000,408555000,420454000,1749154000,1202309000,1625977000,1821311000,1811145000,1814066000,2081581000,2281686000,1021415000,986347000,969277000,1075646000,1169222000,1241771000,1206979000,1379795000,2028554000
38,PP&E,1174236000,1274246000,1316715000,1247066000,1275756000,1294824000,1382662000,1362644000,1914903000,1946317000,1451805000,1354468000,1535165000,1897071000,2011176000,2013928000,1948388000,2094573000,2372365000,2755054000,3409211000,4107637000,5017511000,5957735000,6816741000,7933971000,9030044000,9300158000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337103000,1387125000,1573682000,1820610000,2031598000,2318924000,2536133000,2853111000,3185415000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,32242000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,919949000,1077225000,1108595000,1198254000,1260692000,1189306000,1551800000,1407492000,1418552000,1503346000,- -,629744000,- -,- -,- -,- -,- -,- -,193029000,216295000,221579000,236958000,247285000,369549000,214630000,175074000,137479000
45,Total Non-Current Assets,- -,2194195000,2393940000,2355661000,2474010000,2555516000,2571968000,2914444000,3322395000,3397111000,2955151000,1354468000,2164909000,1897071000,2011176000,2013928000,1948388000,2094573000,2372365000,4285186000,5012631000,5902898000,7075079000,8236618000,9505214000,10684734000,12058229000,12623052000
46,Other Assets,2072174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2344442000,2605989000,2827978000,2718994000,2913277000,3087503000,3125225000,3384064000,3773455000,3805666000,3375605000,3103622000,3367218000,3523048000,3832487000,3825073000,3762454000,4176154000,4654051000,5306601000,5998978000,6872175000,8150725000,9405840000,10746985000,11891713000,13438024000,14651606000
48,Accounts Payable,- -,127613000,151754000,131099000,144201000,169185000,152654000,151192000,149338000,387017000,280596000,206763000,235878000,251197000,292526000,- -,- -,- -,- -,358491000,357954000,495135000,502613000,450541000,510678000,556873000,554353000,645575000
49,Short-Term Debt,26559000,31363000,32159000,23606000,21414000,28169000,30460000,26484000,34629000,- -,- -,857482000,1041866000,1256052000,1504677000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,7426000,2926000,35247000,45298000,41549000,29641000,24546000,7360000,40387000,51383000,38743000,21346000,16478000,11781000,24612000,25207000,27209000,31525000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,942441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427795000,800413000,1281223000,1265072000,1536342000,1576701000,1758083000,2100495000,1115048000,1082598000,1062188000,1071412000,1086322000,1248033000,1011183000,997647000,997701000
53,Total Current Liabilities,969000000,166402000,186839000,189952000,210913000,238903000,212755000,202222000,191327000,427404000,331979000,2530783000,2099503000,2804950000,3074056000,1560954000,1601908000,1785292000,2132020000,1473539000,1440552000,1557323000,1574025000,1536863000,1758711000,1568056000,1552000000,1643276000
54,Long-Term Debt,723764000,881222000,998220000,983550000,1025323000,1114748000,1137840000,1156848000,1603563000,1543875000,959156000,- -,- -,- -,- -,1546490000,1347635000,1397842000,1486211000,1388387000,1525609000,1588399000,2015933000,2386052000,2528859000,3120671000,3487587000,4761417000
55,Deferred Revenue,5913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30217000,31390000,18081000,22784000,28696000,34276000,35186000,31620000,42592000
56,Deferred Tax Liabilities,50791000,71037000,73310000,9675000,29082000,64580000,109413000,139419000,103275000,- -,63800000,- -,108092000,- -,- -,- -,- -,- -,- -,393658000,432596000,526799000,653612000,835009000,658108000,750970000,1093543000,1178489000
57,Other Non-Current Liabilities,-56468000,800544000,920061000,933497000,1052900000,1053247000,1079923000,1270209000,1376184000,1506939000,1516824000,857000000,464019000,1256000000,1505000000,- -,- -,- -,- -,791541000,1041463000,1297214000,1632965000,1999476000,2358323000,2724441000,3052554000,2173950000
58,Total Non-Current Liabilities,724000000,1752803000,1991591000,1926722000,2107305000,2232575000,2327176000,2566476000,3083022000,3050814000,2539780000,857000000,572111000,1256000000,1505000000,1546490000,1347635000,1397842000,1486211000,2603803000,3031058000,3430493000,4325294000,5249233000,5579566000,6631268000,7665304000,8156448000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99609000,- -,- -,- -,- -,- -,- -,- -,- -,273458000,416750000,602470000,672825000,876828000,984217000,1042652000,1240147000,1250508000
61,Total Liabilities,1692655000,1919205000,2178430000,2116674000,2318218000,2471478000,2539931000,2768698000,3274349000,3478218000,2871759000,2530783000,2671614000,2804950000,3074056000,3107444000,2949543000,3183134000,3618231000,4077342000,4471610000,4987816000,5899319000,6786096000,7338277000,8199324000,9217304000,9799724000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000000,10000000,10000000,10563000,10563000,10563000,10563000,10563000,10563000,10563000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000,10497000
64,Retained Earnings,515200000,561589000,609019000,644009000,658227000,703322000,755172000,755174000,716614000,568222000,595181000,671642000,773784000,849300000,915415000,915862000,969017000,1140002000,1317064000,1482630000,1805453000,2142600000,2533641000,2892893000,3635561000,3976962000,4399402000,4958359000
65,Other Comprehensive Income/Loss,-941769000,-1065850000,-1102731000,-1094925000,-1103990000,-1122529000,-1178448000,-1168183000,-1211182000,-68942000,-33472000,-41552000,-38240000,-49913000,-62174000,-98000000,-56207000,-46467000,-45436000,-22680000,-53923000,-34365000,-60525000,-51236000,-4623000,-66698000,34652000,106857000
66,Other Total Stockholders Equity,1068356000,1181045000,1133260000,1042673000,1030259000,1024669000,998007000,1017812000,983111000,-182395000,-68360000,-67748000,-50437000,-91786000,-105307000,-110730000,-110396000,-111012000,-246305000,-241188000,-234659000,-234373000,-232207000,-232410000,-232727000,-228372000,-223831000,-223831000
67,Total Stockholders Equity,651787000,686784000,649548000,602320000,595059000,616025000,585294000,615366000,499106000,327448000,503846000,572839000,695604000,718098000,758431000,717629000,812911000,993020000,1035820000,1229259000,1527368000,1884359000,2251406000,2619744000,3408708000,3692389000,4220720000,4851882000
68,Total Liabilities And Stockholders Equity,2344442000,2605989000,2827978000,2718994000,2913277000,3087503000,3125225000,3384064000,3773455000,3805666000,3375605000,3103622000,3367218000,3523048000,3832487000,3825073000,3762454000,4176154000,4654051000,5306601000,5998978000,6872175000,8150725000,9405840000,10746985000,11891713000,13438024000,14651606000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2344442000,2605989000,2827978000,2718994000,2913277000,3087503000,3125225000,3384064000,3773455000,3805666000,3375605000,3103622000,3367218000,3523048000,3832487000,3825073000,3762454000,4176154000,4654051000,5306601000,5998978000,6872175000,8150725000,9405840000,10746985000,11891713000,13438024000,14651606000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/4457/000000445794000020/0000004457-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445795000021/0000004457-95-000021-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445796000044/0000004457-96-000044-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445797000016/0000004457-97-000016-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445798000023/0000004457-98-000023-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445799000028/0000004457-99-000028-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445700000067/0000004457-00-000067-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/4457/000095015303001671/p67969e10vk.htm,https://www.sec.gov/Archives/edgar/data/4457/000095015304001463/p69260e10vk.htm,https://www.sec.gov/Archives/edgar/data/4457/000095015305001469/p70807e10vk.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445706000008/march200610-k.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445707000011/march200710-k.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445708000010/0000004457-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445709000006/0000004457-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445710000021/0000004457-10-000021-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445711000059/0000004457-11-000059-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445712000023/mar10k.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445713000016/0000004457-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445714000036/0000004457-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445715000019/0000004457-15-000019-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445716000085/0000004457-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445717000032/0000004457-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445718000016/0000004457-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445719000024/0000004457-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/4457/000000445720000053/0000004457-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/4457/000000445721000040/0000004457-21-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,40184000,60032000,60394000,51865000,34984000,62509000,65491000,12965000,2721000,-24986000,-2852000,89424000,121154000,90553000,67784000,13410000,65623000,183575000,205367000,264708000,342391000,356741000,489001000,398424000,790583000,370857000,442048000,610856000
74,Depreciation and Amortization,148740000,163890000,102427000,94364000,113822000,114102000,135481000,144185000,169440000,185833000,190676000,146603000,157708000,203244000,240979000,248569000,229589000,212324000,229789000,260492000,293169000,352796000,389393000,481520000,555069000,581025000,664120000,664001000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61113000,28429000,6972000,-10031000,7941000,15497000,80898000,104360000,13518000,46371000,76500000,138075000,173112000,-193434000,106811000,317893000,68411000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,8781000,1214392000,1807000,-73818000,54973000,64730000,47418000,-73104000,-7665000,-278582000,107324000,-870104000,-115565000,-281779000,-73772000,1502936000,-38033000,84131000,-146623000,-601790000,-2081000,-133841000,89667000,130738000,-149299000,155863000,188872000,557483000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36322000,62506000,9632000,14765000,-2890000,-15329000,-31365000,38129000,-39516000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9856000,-3596000,-4761000,-2445000,-6192000,16759000,-6431000,-173000,1206000,-11495000,-1579000,-9009000,-4072000,-12384000,-13492000,1776000,-5775000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40032000,34731000,166056000,37387000,-5056000,-25546000,10263000,-4530000,92925000
81,Other Working Capital,-969000000,245392000,247199000,173381000,228354000,293084000,340502000,267398000,259733000,-18849000,88475000,-781629000,-897194000,-1178973000,-1252745000,250191000,212158000,296289000,149666000,-452124000,-454205000,-588046000,-498379000,-367641000,-516940000,-361077000,-172205000,385278000
82,Other Non-Cash Items,4614000,-1203911000,-12724000,115770000,-43877000,-81792000,-10733000,42007000,-34003000,192265000,-335473000,793683000,78782000,331731000,104327000,-1497896000,127196000,11866000,271712000,724602000,29654000,155994000,-65073000,-163733000,-66591000,-238973000,-537420000,-365356000
83,Cash Provided by Operating Activities,202319000,234403000,151904000,188181000,159902000,159549000,237657000,126053000,130493000,74530000,-40325000,220719000,270508000,350721000,329287000,274960000,399872000,572794000,664605000,661530000,709504000,808190000,1041063000,1020061000,936328000,975583000,1075513000,1535395000
84,CAPEX,-530696000,-446568000,-299184000,-203943000,-392298000,-298829000,-417717000,-364855000,-275887000,-264920000,-215599000,-284966000,-344382000,-648344000,-570210000,-396690000,-259491000,-480418000,-589799000,-402000,12000,-15003000,-75000,-24054000,844000,-635000,-3975000,-1441475000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-344812000,-186000000,-332155000,-189763000,-148332000,-213107000,-158304000,-122863000,-257559000,-278357000,-77384000,-121390000,-794244000,-359064000,-329027000,-464588000,-490227000,-526805000,-515537000,-877485000,-555316000,-510515000,-935281000,-991437000,-456118000,-595050000,-440658000,-693268000
87,Sales/Maturities of Investments,301595000,192428000,190846000,206995000,131334000,223114000,133915000,152761000,233716000,364114000,243490000,178749000,778885000,393548000,378014000,533327000,482912000,458530000,439539000,585956000,442596000,401259000,685886000,850485000,236823000,199821000,330252000,601864000
88,Other Investing Activites,216095000,84662000,196295000,236874000,268505000,84040000,260427000,208217000,86381000,143061000,104672000,263783000,100905000,96241000,163261000,106225000,150304000,167705000,88835000,-420282000,-733045000,-700970000,-1023929000,-979508000,-678497000,-1175272000,-1652268000,403350000
89,Cash Used for Investing Activites,-357818000,-355478000,-244198000,50163000,-140791000,-204782000,-181679000,-126740000,-213349000,-36102000,55179000,36176000,-258836000,-517619000,-357962000,-221726000,-116502000,-380988000,-576962000,-712213000,-845753000,-825229000,-1273399000,-1144514000,-896948000,-1571136000,-1766649000,-1129529000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149174000,-306023000,-300404000,-210216000,-284834000,-346147000,-714924000,-597064000,-580389000,-652814000,-603179000,-657768000,-883835000
91,Common Stock Issued,- -,2022000,2348000,174846000,2677000,1977000,1128000,1239000,1019000,975000,- -,- -,1553000,1204000,1239000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-5672000,-105233000,-248607000,-25005000,-54211000,-59469000,-9663000,-10154000,-1408000,- -,- -,- -,-49106000,-57478000,-976000,- -,- -,-144807000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-7900000,-12964000,-12964000,-16875000,-20766000,-17414000,-13641000,-12963000,-12961000,-6480000,-3241000,-29167000,-12963000,-12963000,-12963000,-12963000,-12856000,-12412000,-22397000,-97421000,-19568000,-19594000,-78374000,-58757000,-29380000,-39179000,-29404000,-49019000
94,Other Financing Activites,160550000,154533000,204025000,-137124000,13837000,127780000,19934000,26417000,99815000,-6127000,3110000,-253330000,99428000,148550000,229131000,145281000,36396000,252117000,264675000,540038000,533509000,709057000,1082310000,862899000,698798000,1156940000,1199492000,1220207000
