,https://roic.ai/company/BK,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1192000000,1430000000,- -,- -,- -,- -,5433000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5406000000,6803000000,11104000000,13628000000,10072000000,10342000000,11327000000,11228000000,11544000000,11353000000,11174000000,10949000000,12007000000,14021000000,15235000000,11038000000,- -
11,COGS and Expenses,1939000000,2359000000,- -,- -,- -,- -,8758000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,4577200000,4397500000,3188000000,2450000000,2503000000,2962000000,3831000000,3583000000,3560000000,3510000000,3473000000,4377000000,3620000000,2613000000,2330000000,2453000000,3356000000,3740000000,5751000000,5638000000,3507000000,3533000000,3588000000,3507000000,3368000000,3247000000,3332000000,3600000000,4382000000,6432000000,7548000000,4124000000,2845000000
13,Interest Expense (Gain),747000000,929000000,- -,- -,- -,- -,3325000000,3078500000,1990000000,1226000000,1006000000,1245000000,1802000000,1622000000,1705000000,1859000000,1772000000,2507000000,1939000000,948000000,721000000,808000000,1447000000,2241000000,3451000000,2687000000,592000000,608000000,604000000,534000000,343000000,354000000,300000000,437000000,1074000000,2821000000,4360000000,1147000000,227000000
14,Depreciation and Amortization,- -,- -,- -,32200000,48500000,59400000,114700000,148600000,155000000,165000000,187000000,200000000,198000000,237000000,200000000,187000000,215000000,247000000,284000000,232000000,430000000,480000000,526000000,494000000,826000000,887000000,711000000,629000000,776000000,1246000000,1389000000,1292000000,1457000000,1502000000,1474000000,1339000000,1315000000,1630000000,1867000000
15,EBITDA,895000000,1076000000,- -,- -,- -,- -,3504700000,3659300000,2322000000,1950000000,2079000000,2643000000,3482000000,3513000000,3678000000,3937000000,4827000000,5005000000,4281000000,2552000000,2913000000,3487000000,4340000000,6440000000,7314000000,5490000000,-1176000000,4802000000,4944000000,5004000000,5363000000,5125000000,5928000000,6663000000,7134000000,9364000000,11236000000,7236000000,6730000000
16,EBITDA ratio,1.5093,1.6605,- -,- -,- -,- -,1.6128,1.6230,1.0394,0.8273,0.7383,0.8792,0.9878,0.8587,0.9213,1.0008,0.9293,1.0052,0.8200,0.5308,0.5188,0.5503,0.6322,0.9441,0.6455,0.4021,-0.1530,0.3461,0.3356,0.3540,0.3686,0.3358,0.4002,0.4492,0.4787,0.6094,0.6825,0.4667,0.4305
17,Operating Income,148000000,147000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.2496,0.2269,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,123900000,55000000,190000000,327000000,449000000,568000000,634000000,669000000,699000000,1101000000,822000000,715000000,470000000,605000000,759000000,796000000,694000000,998000000,497000000,-1394000000,1110000000,1101000000,857000000,1601000000,996000000,1077000000,1178000000,520000000,926000000,1146000000,- -,- -
20,Income Before Tax,148000000,147000000,- -,- -,- -,- -,65000000,432200000,177000000,559000000,886000000,1198000000,1482000000,1654000000,1773000000,1891000000,2840000000,2251000000,2058000000,1372000000,1762000000,2199000000,2367000000,2170000000,3225000000,1939000000,-2208000000,3694000000,3617000000,3302000000,3712000000,3563000000,4235000000,4725000000,4610000000,5192000000,5587000000,4468000000,4648000000
21,Income Before Tax Ratio,0.2496,0.2269,- -,- -,- -,- -,0.0299,0.1917,0.0792,0.2372,0.3146,0.3985,0.4204,0.4043,0.4441,0.4807,0.5468,0.4521,0.3942,0.2854,0.3138,0.3471,0.3448,0.3181,0.2846,0.1420,-0.2872,0.2662,0.2456,0.2336,0.2552,0.2334,0.2859,0.3186,0.3093,0.3379,0.3394,0.2881,0.2973
22,Income Tax expense (Gain),57000000,39000000,- -,- -,- -,- -,14000000,123900000,55000000,190000000,327000000,449000000,568000000,634000000,669000000,699000000,1101000000,822000000,715000000,470000000,605000000,759000000,796000000,694000000,998000000,497000000,-1395000000,1047000000,1048000000,779000000,1520000000,912000000,1013000000,1177000000,496000000,938000000,1120000000,842000000,877000000
23,Net Income,91000000,108000000,130300000,155200000,103400000,213000000,51000000,308300000,122000000,369000000,559000000,749000000,914000000,1020000000,1104000000,1192000000,1739000000,1429000000,1343000000,902000000,1157000000,1440000000,1571000000,3011000000,2039000000,1419000000,-1084000000,2518000000,2516000000,2445000000,2111000000,2567000000,3158000000,3547000000,4090000000,4266000000,4441000000,3617000000,3759000000
24,Net Income ratio,0.1535,0.1667,Infinity,Infinity,Infinity,Infinity,0.0235,0.1367,0.0546,0.1566,0.1985,0.2492,0.2593,0.2493,0.2766,0.3030,0.3348,0.2870,0.2572,0.1876,0.2061,0.2273,0.2288,0.4414,0.1799,0.1039,-0.1410,0.1815,0.1708,0.1730,0.1451,0.1682,0.2132,0.2391,0.2744,0.2776,0.2698,0.2333,0.2405
25,EPS,0.55,0.62,0.54,0.63,0.38,0.71,0.03,0.50,0.16,0.56,0.72,0.98,1.14,1.24,1.44,1.59,2.31,1.95,1.84,1.25,1.54,1.87,2.05,3.98,2.21,1.21,-1.16,2.06,2.03,2.09,1.75,2.69,2.73,3.16,3.74,3.74,4.53,3.84,4.22
26,EPS Diluted,0.55,0.62,0.51,0.57,0.36,0.66,0.03,0.50,0.16,0.53,0.68,0.93,1.07,1.21,1.35,1.53,2.27,1.92,1.81,1.24,1.52,1.85,2.03,3.93,2.18,1.20,-1.16,2.05,2.03,2.09,1.74,2.67,2.71,3.15,3.72,3.72,4.51,3.83,4.21
27,Weighted Average Shares Outstanding,166000000,174000000,226666667,236507937,272105263,506464000,543168000,616600000,486923077,601785714,738888889,751556000,790371991,817813765,760000000,751000000,751000000,733000000,731000000,721000000,752000000,772000000,765000000,756000000,923199000,1142239000,1178907000,1212630000,1220804000,1163490341,1150689000,1129897000,1104719000,1066286000,1034281000,1034281000,939623000,890839000,890839000
28,Weighted Average Shares Outstanding Diluted,166000000,174000000,240000000,261403509,287222222,506464000,543168000,616600000,486923077,635849057,782352941,794594595,848000000,840000000,808000000,781000000,765000000,745000000,741000000,728000000,759000000,778000000,773000000,766000000,934704000,1152085000,1178907000,1216214000,1223026000,1163490341,1154441000,1137480000,1112511000,1072013000,1040290000,1040290000,943109000,892514000,892514000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1390777/000119312508041952/d10k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000119312509041050/0001193125-09-041050-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312510042948/0001193125-10-042948-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312511049932/d10k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000119312512085349/0001193125-12-085349-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312513084562/0001193125-13-084562-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000144530514000745/bk201310-k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000162828015001194/bk201410-k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077716000204/0001390777-16-000204-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000065/0001390777-17-000065-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/0001390777-18-000069-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/0001390777-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/0001390777-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077721000037/0001390777-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077722000043/0001390777-22-000043-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,3712600000,2255000000,5317000000,4780000000,3895000000,5693000000,7419000000,7895000000,8503000000,10126000000,8462000000,9841000000,9852000000,12129000000,12078000000,12159000000,16012000000,40947000000,97285000000,67396000000,72424000000,130739000000,138747000000,146119000000,123147000000,134886000000,77949000000,108871000000,88000000000,114683000000,165327000000,121336000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92619000000,79309000000,98330000000,75867000000,73822000000,79543000000,85809000000,88550000000,106116000000,45471000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,3712600000,2255000000,5317000000,4780000000,3895000000,5693000000,7419000000,7895000000,8503000000,10126000000,8462000000,9841000000,9852000000,12129000000,12078000000,12159000000,16012000000,40947000000,97285000000,67396000000,72424000000,130739000000,231366000000,225428000000,221477000000,210753000000,151771000000,188414000000,173809000000,203233000000,271443000000,166807000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,375900000,268000000,201000000,222000000,290000000,270000000,315000000,356000000,355000000,319000000,354000000,236000000,204000000,214000000,285000000,391000000,422000000,5628000000,4676000000,639000000,508000000,660000000,7947000000,6754000000,6915000000,5651000000,5800000000,6733000000,5488000000,4814000000,5716000000,5903000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67872000000,63958000000,74564000000,76799000000,84034000000,79261000000,135007000000,119477000000,122352000000,-9772000000,-52272000000,-100065000000,-152873000000,-129455000000,-139975000000,-83181000000,-114994000000,-92817000000,-118528000000,-256690000000,69000000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77949000000,74014000000,86907000000,89162000000,96584000000,95695000000,181582000000,221438000000,190387000000,63160000000,79127000000,139248000000,79309000000,98937000000,76429000000,74390000000,80153000000,86480000000,89519000000,20469000000,241710000000
38,PP&E,125000000,122000000,128000000,145000000,178000000,872000000,852000000,822200000,734000000,718000000,945000000,914000000,902000000,875000000,835000000,856000000,893000000,924000000,992000000,975000000,1398000000,1097000000,1060000000,1050000000,1731000000,1686000000,1602000000,1693000000,1681000000,1659000000,1655000000,1394000000,1379000000,1303000000,1634000000,1832000000,3625000000,3602000000,3431000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16249000000,18042000000,17904000000,18075000000,18073000000,17869000000,17618000000,17316000000,17564000000,17350000000,17386000000,17496000000,17512000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5588000000,5696000000,5152000000,5926000000,5703000000,5459000000,5197000000,5049000000,4910000000,4872000000,4697000000,4896000000,5087000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2084000000,2575000000,4092000000,4270000000,4430000000,6625000000,23252000000,22361000000,21837000000,23738000000,23056000000,24001000000,23776000000,23328000000,22815000000,22365000000,22474000000,22222000000,22083000000,22392000000,22599000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25609000000,28309000000,28429000000,33256000000,27507000000,57518000000,58587000000,60304000000,86231000000,98215000000,120045000000,122218000000,136253000000,127308000000,121513000000,127820000000,128090000000,136898000000,171984000000,176698000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25609000000,-28309000000,-28429000000,-33256000000,-27507000000,-66427000000,-66560000000,-61906000000,72437000000,123187000000,74037000000,147352000000,125391000000,165849000000,113898000000,139677000000,124249000000,129383000000,-177470000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3076000000,3550000000,5490000000,5367000000,5490000000,7675000000,16074000000,16074000000,21837000000,184099000000,246139000000,219742000000,295001000000,286366000000,317351000000,259079000000,291605000000,276393000000,291989000000,20508000000,202728000000
46,Other Assets,12797000000,15157000000,18486000000,20709000000,23065000000,47388000000,48856000000,45389900000,39426000000,40909000000,45546000000,48879000000,53720000000,55765000000,59961000000,63503000000,74756000000,77114000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647166000000
47,Total Assets,12797000000,15157000000,18486000000,20709000000,23065000000,47388000000,48856000000,45389900000,39426000000,40909000000,45546000000,48879000000,53720000000,55765000000,59961000000,63503000000,74756000000,77114000000,81025000000,77564000000,92397000000,94529000000,102074000000,103370000000,197656000000,237512000000,212224000000,247259000000,325266000000,358990000000,374310000000,385303000000,393780000000,333469000000,371758000000,362873000000,381508000000,40977000000,444438000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,280000000,225000000,146000000,111000000,213000000,190000000,167000000,182000000,188000000,131000000,127000000,92000000,101000000,82000000,113000000,172000000,200000000,7578000000,9274000000,- -,9962000000,12671000000,16095000000,15707000000,21181000000,21900000000,20987000000,20184000000,19731000000,18758000000,25085000000,25150000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1831300000,1128000000,3029000000,2781000000,4738000000,3706000000,4144000000,4673000000,4536000000,3825000000,1687000000,2363000000,625000000,834000000,833000000,860000000,1775000000,6086000000,1007000000,614000000,2941000000,2287000000,1839000000,893000000,875000000,523000000,754000000,6103000000,5166000000,4558000000,350000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4066000000,4256000000,4452000000,4124000000,5129000000,8101000000,4052000000,4484000000,6164000000,6235000000,7316000000,6985000000,6903000000,5986000000,5867000000,6225000000,5669000000,5642000000,5696000000,5767000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,12034000000,14227000000,17135000000,19154000000,21125000000,44596000000,45141000000,39527700000,33939000000,32518000000,36992000000,37858000000,42744000000,43911000000,47295000000,49945000000,61346000000,64612000000,67277000000,64714000000,76932000000,78172000000,83349000000,81029000000,137716000000,183316000000,165399000000,185485000000,256958000000,286095000000,300325000000,305542000000,311773000000,248454000000,276241000000,268175000000,288611000000,- -,- -
53,Total Current Liabilities,12034000000,14227000000,17135000000,19154000000,21125000000,44596000000,45141000000,41639000000,35292000000,35693000000,39884000000,42809000000,46640000000,48222000000,52150000000,54669000000,65302000000,66426000000,69732000000,65440000000,77848000000,79118000000,84381000000,83004000000,151380000000,193597000000,166013000000,198388000000,271916000000,304029000000,316925000000,327598000000,334196000000,270195000000,302528000000,293072000000,311927000000,25435000000,- -
54,Long-Term Debt,99000000,169000000,430000000,502000000,726000000,- -,951000000,864800000,1232000000,1701000000,1590000000,1774000000,1848000000,1816000000,1809000000,2086000000,2811000000,3036000000,4976000000,5440000000,6121000000,5821000000,7817000000,10398000000,22792000000,22349000000,17711000000,19375000000,22107000000,18530000000,19864000000,20264000000,21547000000,24463000000,27979000000,29163000000,27501000000,28306000000,26680000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1318000000,- -,200000,- -,- -,- -,- -,- -,600000000,1000000000,1300000000,1500000000,1500000000,- -,- -,- -,300000000,- -,-1625000000,-5919000000,-6484000000,-477000000,-2858000000,-2174000000,- -,- -,- -,- -,- -,- -,- -,597000000,-2322000000,- -
58,Total Non-Current Liabilities,99000000,169000000,430000000,502000000,726000000,- -,951000000,865000000,1232000000,1701000000,1590000000,1774000000,1848000000,2416000000,2809000000,3386000000,4311000000,4536000000,4976000000,5440000000,6121000000,6121000000,7817000000,8773000000,16873000000,15865000000,17234000000,16517000000,19933000000,18530000000,19864000000,20264000000,21547000000,24463000000,27979000000,29163000000,28098000000,25984000000,26680000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1730200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,424238000000,427727000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12133000000,14396000000,17565000000,19656000000,21851000000,44596000000,46092000000,42504200000,36524000000,37394000000,41474000000,44583000000,48488000000,50038000000,53959000000,56755000000,68113000000,69462000000,74708000000,70880000000,83969000000,85239000000,92198000000,91777000000,168253000000,209462000000,183221000000,214102000000,291065000000,321726000000,336006000000,346829000000,355005000000,294040000000,330191000000,322134000000,339923000000,423689000000,401047000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2786000000,- -,- -,- -,1068000000,1562000000,1562000000,2552000000,3542000000,3542000000,3542000000,3542000000,4541000000,4838000000
63,Common Stock,115000000,122000000,151000000,232000000,263000000,492000000,526000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7335000000,7391000000,7431000000,7453000000,7800000000,7836000000,7838000000,7903000000,11000000,11000000,12000000,12000000,12000000,13000000,13000000,13000000,13000000,13000000,14000000,14000000,14000000,14000000,14000000
64,Retained Earnings,365000000,435000000,517000000,619000000,662000000,806000000,688000000,781200000,785000000,1010000000,1536000000,2048000000,2689000000,2798000000,3493000000,1318000000,2620000000,3566000000,4383000000,4736000000,5330000000,6162000000,7089000000,9444000000,10015000000,10250000000,8912000000,10898000000,12812000000,14622000000,15976000000,17683000000,19974000000,22621000000,25635000000,28652000000,31894000000,34241000000,36667000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,71000000,-6000000,-141000000,-317000000,-574000000,-5426000000,-1835000000,-1355000000,-1627000000,-643000000,-892000000,-1634000000,-2600000000,-3765000000,-2357000000,-3171000000,-2638000000,-985000000,-2213000000
66,Other Total Stockholders Equity,184000000,203000000,253000000,202000000,289000000,1494000000,1550000000,2104500000,2117000000,2505000000,2536000000,2248000000,2543000000,2929000000,2509000000,5430000000,- -,- -,- -,-5636000000,-4773000000,-4702000000,-4910000000,-5437000000,19951000000,20429000000,21888000000,22799000000,22220000000,21371000000,20862000000,19817000000,18098000000,16400000000,14417000000,11601000000,8671000000,7990000000,3728000000
67,Total Stockholders Equity,664000000,760000000,921000000,1053000000,1214000000,2792000000,2764000000,2885700000,2902000000,3515000000,4072000000,4296000000,5232000000,5727000000,6002000000,6748000000,6643000000,7652000000,6317000000,6684000000,8428000000,9290000000,9876000000,11593000000,29403000000,28050000000,28977000000,32354000000,33417000000,36431000000,37521000000,37441000000,38037000000,38811000000,41251000000,40638000000,41483000000,45801000000,43034000000
68,Total Liabilities And Stockholders Equity,12797000000,15156000000,18486000000,20709000000,23065000000,47388000000,48856000000,45389900000,39426000000,40909000000,45546000000,48879000000,53720000000,55765000000,59961000000,63503000000,74756000000,77114000000,81025000000,77564000000,92397000000,94529000000,102074000000,103370000000,197656000000,237512000000,212198000000,246456000000,324482000000,358157000000,373527000000,384270000000,393042000000,332851000000,371442000000,362772000000,381406000000,469490000000,444081000000
69,Minority Interest,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,803000000,784000000,833000000,783000000,1033000000,738000000,618000000,316000000,101000000,102000000,-428513000000,357000000
70,Total Liabilities & Equity,12797000000,15157000000,18486000000,20709000000,23065000000,47388000000,48856000000,45389900000,39426000000,40909000000,45546000000,48879000000,53720000000,55765000000,59961000000,63503000000,74756000000,77114000000,81025000000,77564000000,92397000000,94529000000,102074000000,103370000000,197656000000,237512000000,212224000000,247259000000,325266000000,358990000000,374310000000,385303000000,393780000000,333469000000,371758000000,362873000000,381508000000,40977000000,444438000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1390777/000119312508041952/d10k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000119312509041050/0001193125-09-041050-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312510042948/0001193125-10-042948-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312511049932/d10k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000119312512085349/0001193125-12-085349-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000119312513084562/0001193125-13-084562-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000144530514000745/bk201310-k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000162828015001194/bk201410-k.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077716000204/0001390777-16-000204-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077717000065/0001390777-17-000065-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077718000069/0001390777-18-000069-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077719000050/0001390777-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077720000044/0001390777-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/1390777/000139077721000037/0001390777-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1390777/000139077722000043/0001390777-22-000043-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,155200000,103400000,213000000,51000000,308300000,122000000,369000000,559000000,749000000,914000000,1020000000,1104000000,1192000000,1739000000,1429000000,1343000000,902000000,1157000000,1440000000,1571000000,3011000000,2039000000,1419000000,-1084000000,2518000000,2516000000,2445000000,2111000000,2567000000,3158000000,3547000000,4090000000,4266000000,4441000000,3617000000,3759000000
74,Depreciation and Amortization,- -,- -,- -,32200000,48500000,59400000,114700000,148600000,155000000,165000000,187000000,200000000,198000000,237000000,200000000,187000000,215000000,247000000,284000000,232000000,430000000,480000000,526000000,494000000,826000000,887000000,711000000,629000000,776000000,1246000000,1389000000,1292000000,1457000000,1502000000,1474000000,1339000000,1315000000,1630000000,1867000000
