,https://roic.ai/company/NLS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
53,Total Current Liabilities,- -,14091456,23797465,43820909,65081000,75601000,96324000,138220000,147358000,179386000,87533000,56200000,36279000,38648000,44477000,47925000,59671000,95518000,98405000,97374000,114841000,88708000,129561000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4158000,- -,- -,2866000,- -,5141000,- -,- -,- -,63971000,47979000,31986000,15993000,14071000,10710000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,187484,462004,2669540,9149000,10206000,11081000,16990000,16792000,5123000,1037000,754000,1008000,1434000,1484000,- -,- -,18380000,16991000,8558000,11888000,1783000,2426000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,200000,5610000,- -,9877000,5264000,2869000,10281000,5637000,5024000,4077000,4911000,11052000,8834000,7669000,7626000,25321000,22225000
58,Total Non-Current Liabilities,- -,187484,462004,2669540,9149000,10206000,11281000,22600000,20950000,15000000,6301000,6489000,11289000,12212000,6508000,4077000,4911000,93403000,73804000,48213000,35507000,41175000,35361000
59,Other Liabilities,6722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3935000,- -,- -,- -,- -,- -,- -,- -,22702000,22067000
61,Total Liabilities,6722000,14278940,24259469,46490449,74230000,85807000,107605000,160820000,168308000,194386000,93834000,62689000,47568000,50860000,50985000,52002000,64582000,188921000,172209000,145587000,150348000,129883000,164922000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,18602420,16812476,4900241,- -,2828000,10682000,3549000,- -,- -,- -,- -,- -,- -,6103000,6769000,8033000,796000,578000,- -,215000,1261000,3061000
64,Retained Earnings,- -,34428405,76054499,142637163,201238000,221580000,238474000,248123000,251418000,185021000,94433000,41136000,18295000,19715000,36598000,84552000,103347000,127522000,161496000,179448000,183290000,90272000,150120000
65,Other Comprehensive Income/Loss,- -,-1100255,-3612469,-6805277,-11624000,-22025000,-31998000,3000000,4000000,7000000,6000000,7000000,7000000,7000000,1000000,-40541000,-26168000,-1000000,-1000000,-23287000,-1000000,-1000000,14000
66,Other Total Stockholders Equity,17651000,1100255,3612469,6681916,12809000,23745000,34878000,-2206000,1216000,4433000,3252000,4347000,5504000,5238000,-375000,40785000,25860000,-327000,-217000,23028000,91000,63000,- -
67,Total Stockholders Equity,17651000,53030825,92866975,147414043,202423000,226128000,252036000,252466000,256634000,196454000,103685000,52483000,30799000,31953000,43326000,91565000,111072000,126991000,160857000,179189000,182596000,90596000,153195000
68,Total Liabilities And Stockholders Equity,24373000,67309765,117126444,193904492,276653000,311935000,359641000,413286000,424942000,390840000,197519000,115172000,78367000,82813000,94311000,143567000,175654000,315912000,333066000,324776000,332944000,220479000,318117000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24373000,67309765,117126444,193904492,276653000,311935000,359641000,413286000,424942000,390840000,197519000,115172000,78367000,82813000,94311000,143567000,175654000,315912000,333066000,324776000,332944000,220479000,318117000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1078207/000091205701008737/0000912057-01-008737-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107261302000520/0001072613-02-000520-index.html,https://www.sec.gov/Archives/edgar/data/1078207/000107261303000523/0001072613-03-000523-index.html,https://www.sec.gov/Archives/edgar/data/1078207/000119312504041978/0001193125-04-041978-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312505052373/0001193125-05-052373-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312506056860/0001193125-06-056860-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312507057035/0001193125-07-057035-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312508058971/0001193125-08-058971-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312509055622/0001193125-09-055622-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312510050320/0001193125-10-050320-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000144530511000403/0001445305-11-000403-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000144530512000692/0001445305-12-000692-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820713000003/0001078207-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820714000003/0001078207-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820715000009/0001078207-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820716000064/0001078207-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820717000009/0001078207-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820718000010/0001078207-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820719000011/0001078207-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820720000015/0001078207-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820721000036/0001078207-21-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,20342891,41626094,66582664,97887000,34402000,29985000,23000000,29100000,-55613000,-90588000,-53297000,-22841000,1420000,16883000,47954000,18795000,26602000,34178000,26267000,14658000,-92800000,59848000
74,Depreciation and Amortization,- -,1183412,2874101,3620954,6316000,12430000,12312000,16717000,17044000,15686000,15496000,10739000,6627000,3815000,3269000,3344000,4024000,3412000,7874000,8643000,8942000,10811000,9448000
75,Deferred Income Tax,- -,-484448,144945,1732709,4980000,-663000,860000,-437000,414000,-18261000,-22064000,1025000,290000,431000,145000,-32814000,8007000,11669000,9510000,-8556000,3229000,-10613000,-2008000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4792000,1207000,637000,306000,630000,454000,1066000,1484000,2613000,1856000,1981000,619000,3734000
77,Change in Working Capital,- -,-236869,34311310,11846061,24657121,29688000,30838000,-62578000,-3568000,-6069000,-58166000,-18105000,-5747000,4123000,5971000,20252000,37418000,-13707000,15578000,6167000,-14497000,-36136000,89646000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34354000,23458000,7247000,-4580000,1928000,-4417000,-1331000,-6812000,-694000,2516000,-3030000,-8790000,-41565000
79,Inventory,- -,-3448750,-3485563,-14005616,-11109000,11650000,4693000,-33342000,21128000,-1981000,15115000,11003000,6343000,-1287000,-7573000,2388000,-9560000,-7147000,-3110000,-7526000,-15634000,13237000,-9584000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10049000,-1252000,-12620000,4041000,4189000,4487000,10456000,4506000,6464000,449000,19312000,-13451000,21819000
81,Other Working Capital,- -,38208508,72519818,84365879,109023000,138711000,169549000,106971000,103403000,97334000,39168000,21063000,15316000,19439000,25410000,45662000,83080000,69373000,84951000,91118000,76621000,40485000,130131000
82,Other Non-Cash Items,- -,1262,-26171072,-16905772,-33280121,-32136000,-26989000,13652000,-9184000,72761000,156100000,73213000,10375000,-5497000,-14085000,-18104000,-34938000,11660000,-23902000,639000,6938000,105546000,-89008000
83,Cash Provided by Operating Activities,- -,20806248,52785378,66876616,100560000,43721000,47006000,-9646000,33806000,8504000,5570000,14782000,-10659000,4598000,12813000,21086000,34372000,41120000,45851000,35016000,21251000,-22573000,71660000
84,CAPEX,- -,-1929137,-8761526,-5716348,-31542000,-7017000,-9043000,-31771000,-19602000,-10689000,-4800000,-2000000,-222000,-2506000,-2442000,-3590000,-3181000,-5734000,-4656000,-3792000,-10380000,-8952000,-9727000
85,Acquisitions Net,- -,-16615012,- -,-69843214,-24131000,- -,- -,-73689000,- -,-21879000,- -,- -,- -,1303000,- -,- -,- -,-114062000,-3468000,- -,-2750000,-3500000,- -
86,Purchases of Investments,- -,- -,- -,-37132771,-39360000,- -,-126143000,-49352000,- -,- -,- -,- -,- -,- -,- -,- -,-37434000,-61933000,-34739000,-88413000,-29522000,- -,-36199000
87,Sales/Maturities of Investments,- -,- -,- -,21063080,37852000,17578000,92106000,134671000,- -,- -,- -,- -,- -,- -,- -,- -,10450000,58894000,32994000,62939000,61365000,25271000,- -
88,Other Investing Activites,- -,-8697,83562,-2626862,-720000,-112000,498000,2531000,4475000,5175000,66869000,6699000,11864000,351000,416000,121000,- -,- -,- -,- -,- -,- -,21410000
89,Cash Used for Investing Activites,- -,-18552846,-8677964,-94256115,-57901000,10449000,-42582000,-17610000,-15127000,-27393000,62354000,4699000,11642000,-852000,-2026000,-3469000,-30165000,-122835000,-9869000,-29266000,18713000,12819000,-24516000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61056000,-17944000,- -,- -,-5000000,- -,- -,- -,-16000000,-16000000,-16000000,-50667000,-45101000
91,Common Stock Issued,- -,18238173,622236,2270226,2727000,979000,6569000,5609000,603000,756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-3698793,-3252043,-16309486,-49969000,-1422000,- -,-15636000,-16653000,- -,-5320000,- -,- -,- -,- -,- -,- -,-11567000,-5390000,-11055000,-12996000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-13030000,-13091000,-13351000,-12913000,-9465000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,39847000,5501000,31433000,-2739000,-75000,4676000,-32000,113000,212000,198000,80419000,2355000,306000,414000,33177000,41983000
95,Cash Used/Provided by Financing Activities,- -,14539380,-2629807,-14039260,-47242000,-13473000,-6522000,16469000,-23462000,22724000,-69115000,-18019000,4676000,-32000,-4887000,212000,198000,68852000,-19035000,-26749000,-28582000,-17490000,-3118000
96,Effect of Forex Changes on Cash,- -,- -,- -,-123361,663000,218000,12000,-495000,1061000,-186000,-1173000,280000,1348000,-583000,-120000,-57000,-178000,-1565000,149000,1018000,-1150000,189000,2824000
97,Net Change In Cash,- -,16792782,41477607,-41542120,-3920000,40915000,-2086000,-11282000,-3722000,3649000,-2364000,1742000,7007000,3131000,5780000,17772000,4227000,-14428000,17096000,-19981000,10232000,-27055000,46850000
98,Cash at the End of Period,- -,35703457,77181064,35638944,31719000,72634000,19266000,7984000,4262000,7911000,5547000,7289000,14296000,17427000,23207000,40979000,45206000,30778000,47874000,27893000,38125000,11070000,57920000
99,Cash at the Beginning of Period,- -,18910675,35703457,77181064,35639000,31719000,21352000,19266000,7984000,4262000,7911000,5547000,7289000,14296000,17427000,23207000,40979000,45206000,30778000,47874000,27893000,38125000,11070000
100,Free Cash Flow,- -,18877111,44023852,61160268,69018000,36704000,37963000,-41417000,14204000,-2185000,770000,12782000,-10881000,2092000,10371000,17496000,31191000,35386000,41195000,31224000,10871000,-31525000,61933000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1078207/000091205701008737/0000912057-01-008737-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107261302000520/0001072613-02-000520-index.html,https://www.sec.gov/Archives/edgar/data/1078207/000107261303000523/0001072613-03-000523-index.html,https://www.sec.gov/Archives/edgar/data/1078207/000119312504041978/0001193125-04-041978-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312505052373/0001193125-05-052373-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312506056860/0001193125-06-056860-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312507057035/0001193125-07-057035-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312508058971/0001193125-08-058971-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312509055622/0001193125-09-055622-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000119312510050320/0001193125-10-050320-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000144530511000403/0001445305-11-000403-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000144530512000692/0001445305-12-000692-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820713000003/0001078207-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820714000003/0001078207-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820715000009/0001078207-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820716000064/0001078207-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820717000009/0001078207-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820718000010/0001078207-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820719000011/0001078207-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820720000015/0001078207-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1078207/000107820721000036/0001078207-21-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
