,https://roic.ai/company/CAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000095013195000431/0000950131-95-000431-index.html,https://www.sec.gov/Archives/edgar/data/18230/000095013196000892/0000950131-96-000892-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000001823001500017/0000018230-01-500017-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823002000014/form10k_2001.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823003000130/form10k_2002.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823004000161/form10k_2003.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/18230/000001823007000053/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823008000052/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823009000063/0000018230-09-000063-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823010000092/0000018230-10-000092-index.html,https://www.sec.gov/Archives/edgar/data/18230/000110465911008938/a10-18643_110k.htm,https://www.sec.gov/Archives/edgar/data/18230/000110465912011331/0001104659-12-011331-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823013000075/0000018230-13-000075-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823014000058/cat_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823015000061/cat_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823016000410/0000018230-16-000410-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823017000041/0000018230-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823018000042/0000018230-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823019000034/0000018230-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823020000056/0000018230-20-000056-index.html,https://www.sec.gov/Archives/edgar/data/18230/000001823021000063/0000018230-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/0000018230-22-000050-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,282000000,124000000,103000000,74000000,148000000,110000000,104000000,119000000,83000000,419000000,638000000,487000000,292000000,360000000,548000000,334000000,400000000,309000000,342000000,445000000,1108000000,530000000,1122000000,2736000000,4867000000,3592000000,3057000000,5490000000,6081000000,7341000000,6460000000,7168000000,8261000000,7857000000,8284000000,9352000000,9254000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,282000000,124000000,103000000,74000000,148000000,110000000,104000000,119000000,83000000,419000000,638000000,487000000,292000000,360000000,548000000,334000000,400000000,309000000,342000000,445000000,1108000000,530000000,1122000000,2736000000,4867000000,3592000000,3057000000,5490000000,6081000000,7341000000,6460000000,7168000000,8261000000,7857000000,8284000000,9352000000,9254000000
34,Net Receivables,1244000000,1728000000,2033000000,2669000000,2813000000,2965000000,2673000000,2948000000,3625000000,4290000000,4285000000,5222000000,5991000000,7176000000,7439000000,8079000000,8441000000,9586000000,11271000000,14126000000,13968000000,14972000000,15752000000,18128000000,13912000000,16792000000,17953000000,18952000000,17176000000,16764000000,15686000000,14503000000,16193000000,17452000000,17904000000,16780000000,17375000000
35,Inventory,1139000000,1211000000,1323000000,1986000000,2120000000,2105000000,1921000000,1675000000,1525000000,1835000000,1921000000,2222000000,2603000000,2842000000,2594000000,2692000000,2925000000,2763000000,3047000000,4675000000,5224000000,6351000000,7204000000,8781000000,6360000000,9587000000,14544000000,15547000000,12625000000,12205000000,9700000000,8614000000,10018000000,11529000000,11266000000,11402000000,14038000000
36,Other Current Assets,317000000,300000000,354000000,588000000,627000000,721000000,872000000,795000000,838000000,865000000,803000000,852000000,928000000,1081000000,1153000000,1416000000,1634000000,1970000000,2131000000,1610000000,2490000000,1240000000,1399000000,1988000000,1650000000,1839000000,2574000000,2535000000,2453000000,2557000000,2572000000,1682000000,1772000000,1765000000,1739000000,1930000000,2788000000
37,Total Current Assets,2982000000,3363000000,3813000000,5317000000,5708000000,5901000000,5570000000,5537000000,6071000000,7409000000,7647000000,8783000000,9814000000,11459000000,11734000000,12521000000,13400000000,14628000000,16791000000,20856000000,22790000000,23093000000,25477000000,31633000000,26789000000,31810000000,38128000000,42524000000,38335000000,38867000000,34418000000,31967000000,36244000000,38603000000,39193000000,39464000000,43455000000
38,PP&E,2652000000,2433000000,2464000000,2909000000,3505000000,3986000000,4049000000,3954000000,3827000000,3776000000,3644000000,3767000000,4058000000,4866000000,5201000000,5588000000,6603000000,7046000000,7290000000,7682000000,7988000000,8851000000,9997000000,12524000000,12386000000,12539000000,14395000000,16461000000,17075000000,16577000000,16090000000,15322000000,14155000000,13574000000,12904000000,12401000000,12090000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1450000000,1451000000,1904000000,1963000000,2261000000,2269000000,2614000000,7080000000,6942000000,6956000000,6694000000,6615000000,6020000000,6200000000,6217000000,6196000000,6394000000,6324000000
40,Intangible Assets,77000000,60000000,47000000,71000000,147000000,176000000,120000000,357000000,353000000,237000000,170000000,233000000,228000000,1241000000,1543000000,1507000000,1671000000,1683000000,1637000000,315000000,424000000,387000000,475000000,511000000,465000000,805000000,4368000000,4016000000,3596000000,3076000000,2821000000,2349000000,2111000000,1897000000,1565000000,1308000000,1042000000
41,Intangible Assets,77000000,60000000,47000000,71000000,147000000,176000000,120000000,357000000,353000000,237000000,170000000,233000000,228000000,1241000000,1543000000,1507000000,1671000000,1683000000,1637000000,1765000000,1875000000,2291000000,2438000000,2772000000,2734000000,3419000000,11448000000,10958000000,10552000000,9770000000,9436000000,8369000000,8311000000,8114000000,7761000000,7702000000,7366000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,517000000,565000000,562000000,598000000,94000000,105000000,164000000,133000000,272000000,272000000,257000000,246000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,938000000,850000000,616000000,674000000,768000000,1949000000,1553000000,3311000000,2714000000,2493000000,2157000000,2011000000,594000000,1404000000,1654000000,2790000000,1693000000,1439000000,1411000000,1523000000,1840000000
44,Other Non-Current Assets,305000000,432000000,542000000,1389000000,1566000000,1888000000,2303000000,4087000000,4556000000,4828000000,5369000000,5945000000,6656000000,7562000000,8157000000,8848000000,8045000000,8644000000,10131000000,11597000000,13083000000,14133000000,16069000000,17448000000,15310000000,13595000000,15185000000,17130000000,18068000000,17806000000,16653000000,16256000000,16559000000,16779000000,17184000000,17234000000,18042000000
45,Total Non-Current Assets,3034000000,2925000000,3053000000,4369000000,5218000000,6050000000,6472000000,8398000000,8736000000,8841000000,9183000000,9945000000,10942000000,13669000000,14901000000,15943000000,17257000000,18223000000,19674000000,22235000000,24279000000,27786000000,30655000000,36149000000,33249000000,32210000000,43318000000,46832000000,46561000000,45814000000,44079000000,42737000000,40718000000,39906000000,39260000000,38860000000,39338000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6016000000,6288000000,6866000000,9686000000,10926000000,11951000000,12042000000,13935000000,14807000000,16250000000,16830000000,18728000000,20756000000,25128000000,26635000000,28464000000,30657000000,32851000000,36465000000,43091000000,47069000000,50879000000,56132000000,67782000000,60038000000,64020000000,81446000000,89356000000,84896000000,84681000000,78497000000,74704000000,76962000000,78509000000,78453000000,78324000000,82793000000
48,Accounts Payable,- -,- -,- -,- -,1550000000,1685000000,1662000000,1772000000,2055000000,2624000000,2579000000,2858000000,3358000000,3558000000,2003000000,2339000000,2123000000,2269000000,3100000000,3990000000,3471000000,4085000000,4723000000,4827000000,2993000000,5856000000,8161000000,6753000000,6560000000,6515000000,5023000000,4614000000,6487000000,7051000000,5957000000,6128000000,8154000000
49,Short-Term Debt,227000000,619000000,584000000,1307000000,1706000000,1831000000,1355000000,1553000000,1533000000,1633000000,2436000000,2927000000,1626000000,3048000000,3874000000,3733000000,5311000000,6087000000,5738000000,7688000000,10068000000,9616000000,10600000000,12701000000,9784000000,7981000000,9648000000,12391000000,11031000000,11501000000,12846000000,13965000000,11031000000,11553000000,11376000000,11164000000,11756000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000000,395000000,921000000,1442000000,1898000000,1217000000,1831000000,2691000000,2978000000,2360000000,1697000000,1146000000,1167000000,1193000000,1243000000,1187000000,1108000000,1087000000
52,Other Current Liabilities,1515000000,1561000000,1808000000,2128000000,648000000,743000000,842000000,902000000,1083000000,1241000000,1034000000,1228000000,1395000000,1339000000,2301000000,2496000000,2842000000,2988000000,3783000000,3977000000,5158000000,4630000000,5480000000,6643000000,5298000000,6352000000,8061000000,7633000000,7346000000,8164000000,7288000000,6386000000,8220000000,8371000000,8101000000,7317000000,8850000000
53,Total Current Liabilities,1742000000,2180000000,2392000000,3435000000,3904000000,4259000000,3859000000,4227000000,4671000000,5498000000,6049000000,7013000000,6379000000,7945000000,8178000000,8568000000,10276000000,11344000000,12621000000,16210000000,19092000000,19252000000,22245000000,26069000000,19292000000,22020000000,28561000000,29755000000,27297000000,27877000000,26303000000,26132000000,26931000000,28218000000,26621000000,25717000000,29847000000
54,Long-Term Debt,1177000000,963000000,900000000,1953000000,2288000000,2890000000,3892000000,4119000000,3895000000,4270000000,3964000000,4532000000,6942000000,9404000000,9928000000,11334000000,11291000000,11596000000,14078000000,15837000000,15677000000,17680000000,17829000000,22834000000,21847000000,20437000000,24944000000,27679000000,26622000000,27699000000,25170000000,22750000000,23410000000,24544000000,26153000000,25999000000,26033000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,29000000,-4000000,9000000,185000000,260000000,262000000,247000000,19000000,24000000,23000000,36000000,48000000,58000000,58000000,528000000,448000000,376000000,401000000,516000000,591000000,877000000,1209000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3995000000,4018000000,3548000000,3393000000,3019000000,2698000000,2590000000,2536000000,2514000000,3103000000,4038000000,3172000000,2986000000,2991000000,5879000000,7175000000,12268000000,9599000000,10238000000,14539000000,14340000000,10099000000,12279000000,12139000000,12609000000,12855000000,11667000000,11050000000,11230000000,10397000000
58,Total Non-Current Liabilities,1206000000,959000000,909000000,2138000000,2548000000,3152000000,4139000000,8133000000,7937000000,7841000000,7393000000,7599000000,9698000000,12052000000,12992000000,14296000000,14770000000,16035000000,17766000000,19414000000,19545000000,24768000000,25004000000,35102000000,31446000000,30675000000,39483000000,42019000000,36721000000,39978000000,37309000000,35359000000,36265000000,36211000000,37203000000,37229000000,36430000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,97000000,85000000,77000000,68000000,437000000,456000000,128000000,103000000,79000000
61,Total Liabilities,2948000000,3139000000,3301000000,5573000000,6452000000,7411000000,7998000000,12360000000,12608000000,13339000000,13442000000,14612000000,16077000000,19997000000,21170000000,22864000000,25046000000,27379000000,30387000000,35624000000,38637000000,44020000000,47249000000,61171000000,50738000000,52695000000,68044000000,71774000000,64018000000,67855000000,63612000000,61491000000,63196000000,64429000000,63824000000,62946000000,66277000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045000000,1048000000,1043000000,1034000000,1059000000,1231000000,1859000000,2465000000,2744000000,3057000000,3439000000,3888000000,4273000000,4481000000,4709000000,5016000000,5238000000,5277000000,5593000000,5827000000,5935000000,6230000000,6398000000
64,Retained Earnings,2349000000,2363000000,2656000000,3184000000,3560000000,3648000000,3138000000,643000000,1234000000,1961000000,2840000000,3904000000,5026000000,6123000000,6617000000,7205000000,7533000000,7849000000,8450000000,9937000000,11808000000,14593000000,17398000000,19826000000,19711000000,21384000000,25219000000,29558000000,31854000000,33887000000,34208000000,27377000000,26301000000,30427000000,34437000000,35167000000,39282000000
65,Other Comprehensive Income/Loss,-3581000000,-3852000000,-3785000000,-3583000000,-633000000,-661000000,-774000000,-3888000000,-4138000000,-4454000000,-4659000000,-5050000000,-5345000000,-5529000000,-5529000000,-5850000000,-6187000000,-742000000,-517000000,-424000000,-598000000,-2847000000,-1808000000,-5579000000,-3764000000,-4051000000,-6328000000,-6433000000,-3898000000,-6431000000,-6997000000,-2039000000,-1192000000,-1684000000,-1567000000,-888000000,-1553000000
66,Other Total Stockholders Equity,4300000000,4638000000,4694000000,4512000000,1547000000,1553000000,1680000000,4820000000,5103000000,5404000000,5207000000,5262000000,4998000000,4537000000,3332000000,3197000000,3222000000,-2669000000,-2914000000,-3277000000,-4637000000,-7352000000,-9451000000,-11217000000,-10646000000,-10397000000,-10281000000,-10074000000,-11854000000,-15726000000,-17640000000,-17478000000,-17005000000,-20531000000,-24217000000,-25178000000,- -
67,Total Stockholders Equity,3068000000,3149000000,3565000000,4113000000,4474000000,4540000000,4044000000,1575000000,2199000000,2911000000,3388000000,4116000000,4679000000,5131000000,5465000000,5600000000,5611000000,5472000000,6078000000,7467000000,8432000000,6859000000,8883000000,6087000000,8740000000,10824000000,12883000000,17532000000,20811000000,16746000000,14809000000,13137000000,13697000000,14039000000,14588000000,15331000000,16484000000
68,Total Liabilities And Stockholders Equity,6016000000,6288000000,6866000000,9686000000,10926000000,11951000000,12042000000,13935000000,14807000000,16250000000,16830000000,18728000000,20756000000,25128000000,26635000000,28464000000,30657000000,32851000000,36465000000,43091000000,47069000000,50879000000,56132000000,67258000000,59478000000,63519000000,80927000000,89306000000,84829000000,84601000000,78421000000,74628000000,76893000000,78468000000,78412000000,78277000000,82761000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,524000000,560000000,501000000,519000000,50000000,67000000,80000000,76000000,76000000,69000000,41000000,41000000,47000000,32000000
70,Total Liabilities & Equity,6016000000,6288000000,6866000000,9686000000,10926000000,11951000000,12042000000,13935000000,14807000000,16250000000,16830000000,18728000000,20756000000,25128000000,26635000000,28464000000,30657000000,32851000000,36465000000,43091000000,47069000000,50879000000,56132000000,67782000000,60038000000,64020000000,81446000000,89356000000,84896000000,84681000000,78497000000,74704000000,76962000000,78509000000,78453000000,78324000000,82793000000
