,https://roic.ai/company/MLI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,65900000,-49700000,24300000,33400000,40800000,64500000,88400000,100800000,109300000,145700000,146900000,108000000,88500000,51400000,115400000,124205000,203600000,183300000,119100000,23100000,121900000,130161000,120400000,271400000,148000000,131789000,146030000,126972000,150417000,166083000,209189000,641139000
21,Income Before Tax Ratio,0.1304,-0.1126,0.0470,0.0665,0.0742,0.0950,0.1231,0.1134,0.1176,0.1247,0.1218,0.1034,0.0929,0.0514,0.0837,0.0718,0.0811,0.0679,0.0466,0.0149,0.0592,0.0538,0.0550,0.1257,0.0626,0.0628,0.0710,0.0560,0.0600,0.0683,0.0872,0.1701
22,Income Tax expense (Gain),1100000,-6000000,8100000,12300000,12900000,19700000,27200000,31100000,33900000,46400000,54200000,41000000,17300000,7200000,35900000,34987000,54700000,67800000,-38332000,-17792000,34315000,43075000,36681000,98109000,45479000,43382000,48137000,37884000,30952000,35257000,55321000,165858000
23,Net Income,56700000,-43700000,16600000,21100000,27900000,44800000,61200000,69800000,75400000,99300000,92700000,67000000,78000000,45400000,79400000,92542000,148900000,115500000,80800000,4700000,86200000,86321000,82400000,172600000,101600000,87864000,99727000,85598000,104459000,100972000,139493000,468520000
24,Net Income ratio,0.1122,-0.0990,0.0321,0.0420,0.0507,0.0660,0.0852,0.0785,0.0811,0.0850,0.0769,0.0641,0.0818,0.0454,0.0576,0.0535,0.0593,0.0428,0.0316,0.0030,0.0418,0.0357,0.0376,0.0800,0.0430,0.0418,0.0485,0.0378,0.0417,0.0415,0.0582,0.1243
25,EPS,0.71,-0.56,0.21,0.26,0.35,0.58,0.79,1.00,1.06,1.40,1.35,1.00,1.15,0.66,1.13,1.26,2.02,1.56,1.09,0.07,1.15,1.14,1.17,3.10,1.81,1.56,1.76,1.50,1.84,1.81,2.50,8.36
26,EPS Diluted,0.71,-0.56,0.21,0.26,0.35,0.58,0.79,0.89,0.95,1.25,1.22,0.90,1.05,0.61,1.07,1.25,2.00,1.55,1.08,0.06,1.14,1.13,1.16,3.06,1.79,1.54,1.74,1.49,1.82,1.79,2.47,8.25
27,Weighted Average Shares Outstanding,80000000,77345133,79047619,82745098,79120000,76596000,77988000,69996000,70904000,71188000,68610000,66818000,67986000,68528000,70642000,73180000,73786000,74120000,74246000,74672000,75344000,75670000,70664000,55742000,56042000,56316000,56572000,56925000,56782000,55798000,55821000,56011000
28,Weighted Average Shares Outstanding Diluted,80000000,77345133,79047619,82745098,79120000,77312000,77996000,78500000,79288000,79210000,76192000,74490000,74096000,73722000,73822000,74206000,74492000,74446000,74618000,74848000,75538000,76392000,71492000,56484000,56768000,56968000,57169000,57484000,57269000,56343000,56390000,56798000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943995000002/0000089439-95-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943997000003/0000089439-97-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943909000004/0000089439-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943910000002/0000089439-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943911000003/0000089439-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943912000007/0000089439-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943913000008/0000089439-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943914000010/0000089439-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943915000006/0000089439-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943916000038/0000089439-16-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943918000010/0000089439-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943919000021/0000089439-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943920000016/0000089439-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943921000015/0000089439-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943922000013/0000089439-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40700000,7500000,44500000,77300000,34500000,48400000,97000000,70000000,80600000,149500000,100300000,121900000,217600000,255100000,47400000,129685000,200500000,308600000,278900000,346000000,394100000,514162000,198900000,311800000,352100000,274844000,351317000,120269000,72616000,97944000,119075000,87924000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76434000,58042000,48363000,- -,- -
33,Cash and Short-Term Investments,40700000,7500000,44500000,77300000,34500000,48400000,97000000,70000000,80600000,149500000,100300000,121900000,217600000,255100000,47400000,129685000,200500000,308600000,278900000,346000000,394100000,514162000,198900000,311800000,352100000,274844000,351317000,196703000,130658000,146307000,119075000,87924000
34,Net Receivables,53800000,58500000,59800000,59200000,66900000,83700000,88900000,128900000,155600000,167900000,152200000,148800000,132400000,163000000,201400000,248395000,281700000,323000000,219000000,228700000,269300000,250027000,271100000,271800000,275100000,251571000,256291000,244795000,273417000,269943000,357532000,471859000
35,Inventory,97700000,82300000,69600000,53100000,74400000,66400000,76600000,98200000,134700000,119600000,142300000,126600000,143000000,140500000,187900000,196987000,258600000,269000000,210600000,191300000,209900000,219193000,229400000,251700000,256600000,239378000,242013000,327901000,329795000,292107000,315002000,430244000
36,Other Current Assets,8700000,3800000,8500000,4800000,7800000,12500000,12200000,12000000,11400000,3700000,10400000,6600000,7300000,11800000,18600000,36919000,35400000,39700000,46300000,42800000,39000000,43317000,47800000,39400000,57400000,34608000,44702000,-30284000,-31252000,-14585000,33752000,28976000
37,Total Current Assets,200900000,152100000,182400000,194400000,183600000,211000000,274700000,309100000,382300000,440700000,405200000,403900000,500300000,570400000,455300000,611986000,776200000,940300000,754800000,808800000,912300000,1026699000,747200000,874700000,941200000,800401000,894323000,739115000,702618000,693772000,825361000,1019003000
38,PP&E,187100000,169300000,156700000,154400000,196800000,221000000,219900000,260400000,379100000,347800000,379900000,387500000,352500000,345500000,335600000,307046000,315100000,308400000,276900000,250400000,229500000,203744000,233300000,244500000,245900000,280224000,295231000,304321000,370633000,390050000,405873000,409072000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,76000000,94500000,102700000,98700000,105600000,104800000,136600000,- -,155700000,153300000,129200000,102300000,102300000,102250000,104600000,94400000,102900000,120252000,123993000,130293000,150335000,153276000,167764000,171330000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152171000,- -,- -,- -,- -,- -,- -,- -,- -,18500000,40636000,36168000,42008000,61971000,60082000,77207000,61714000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,76000000,94500000,102700000,98700000,105600000,104800000,136600000,152171000,155700000,153300000,129200000,102300000,102300000,102250000,104600000,94400000,121400000,160888000,160161000,172301000,212306000,213358000,244971000,233044000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65900000,77110000,76434000,58042000,48363000,37976000,61133000
43,Tax Assets,- -,- -,- -,- -,- -,2700000,2900000,2000000,10500000,24300000,39400000,51800000,59300000,63700000,67500000,- -,46400000,52200000,33900000,31100000,24100000,- -,20900000,36000000,24600000,7161000,- -,19403000,16615000,21094000,- -,- -
44,Other Non-Current Assets,27600000,13400000,33400000,20900000,50400000,16100000,11900000,39300000,26800000,-3200000,-16900000,-25800000,-29800000,-29200000,-31300000,33435000,-24500000,-5000000,-11900000,-12500000,-9200000,14911000,-1800000,-1800000,-5000000,24227000,20651000,8599000,9335000,4303000,14387000,6684000
45,Total Non-Current Assets,214700000,182700000,190100000,175300000,247200000,239800000,234700000,301700000,492400000,463400000,505100000,512200000,487600000,484800000,508400000,492652000,492700000,508900000,428100000,371300000,346700000,320905000,357000000,373100000,386900000,538400000,553153000,581058000,666931000,677168000,703207000,709933000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,415600000,334800000,372500000,369700000,430800000,450800000,509400000,610800000,874700000,904100000,910300000,916100000,987900000,1055200000,963700000,1104638000,1268900000,1449200000,1182900000,1180100000,1259000000,1347604000,1104200000,1247800000,1328100000,1338801000,1447476000,1320173000,1369549000,1370940000,1528568000,1728936000
48,Accounts Payable,11900000,19200000,25700000,15600000,21600000,16900000,18300000,30500000,46600000,50000000,43700000,34200000,41000000,42100000,79700000,124216000,96100000,140500000,63700000,73800000,67800000,65545000,87600000,80900000,100700000,88051000,103175000,102503000,103754000,85644000,147741000,180793000
49,Short-Term Debt,- -,- -,- -,- -,18600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4120000,- -,- -,- -,- -,- -,41265000,- -,- -,- -,- -,13655000,- -,- -,5250000,47542000,6826000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17212000,18491000,19227000,- -,26438000,8106000,24556000,- -,- -,19403000,16615000,21094000,- -,- -
52,Other Current Liabilities,101200000,70300000,35800000,35300000,27000000,51000000,60700000,70100000,96000000,103100000,74100000,67300000,65400000,71400000,101100000,123056000,159400000,194600000,120688000,91109000,108073000,106434000,144662000,130294000,112844000,121378000,102162000,120346000,112432000,122299000,144360000,194820000
53,Total Current Liabilities,113100000,89500000,61500000,50900000,67200000,67900000,79000000,100600000,142600000,153100000,117800000,101500000,106400000,113500000,180800000,251392000,255500000,335100000,201600000,183400000,195100000,213244000,258700000,219300000,238100000,209429000,218992000,242252000,232801000,234287000,339643000,382439000
54,Long-Term Debt,54000000,45200000,62400000,54300000,76100000,59700000,44800000,53100000,174600000,118900000,101000000,47000000,14000000,11400000,310700000,312070000,308200000,281700000,158700000,158200000,158200000,156476000,207300000,206300000,205300000,204250000,213709000,448592000,489597000,378724000,308195000,18163000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6900000,13100000,3900000,3800000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63944000,- -,- -,- -,- -,24081000,14856000,20910000,35975000,24556000,- -,19573000,19403000,16615000,21094000,16842000,14347000
57,Other Non-Current Liabilities,41600000,34400000,40300000,38600000,42600000,37400000,37500000,39000000,55400000,62700000,77400000,94600000,114000000,115400000,120500000,47387000,116400000,121900000,121900000,125400000,92919000,78266000,110290000,82825000,97944000,97837000,58765000,87815000,82180000,93367000,62828000,57024000
58,Total Non-Current Liabilities,102500000,92700000,106600000,96700000,121700000,97100000,82300000,92100000,230000000,181600000,178400000,141600000,128000000,126800000,431200000,423401000,424600000,403600000,280600000,283600000,275200000,249598000,338500000,325100000,327800000,302087000,292047000,555810000,588392000,493185000,387865000,89534000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27638000,27861000,23114000
61,Total Liabilities,215600000,182200000,168100000,147600000,188900000,165000000,161300000,192700000,372600000,334700000,296200000,243100000,234400000,240300000,612000000,674793000,680100000,738700000,482200000,467000000,470300000,462842000,597200000,544400000,565900000,511516000,511039000,798062000,821193000,727472000,727508000,471973000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,200000,200000,400000,400000,400000,400000,400000,400000,400000,401000,400000,400000,400000,400000,400000,401000,400000,400000,800000,802000,802000,802000,802000,802000,802000,802000
64,Retained Earnings,- -,-43700000,-27100000,-5900000,22000000,66800000,128000000,197800000,273200000,372500000,465200000,532100000,610100000,655500000,175500000,253433000,386000000,484500000,550500000,540200000,611300000,682380000,749800000,908300000,992800000,1063543000,1141831000,743503000,824737000,903070000,1019694000,1458489000
65,Other Comprehensive Income/Loss,- -,-10900000,-21400000,-29700000,-40400000,-5000000,-5600000,-6400000,-6600000,-16200000,-23600000,-44000000,-42200000,-11200000,6200000,-9000000,13000000,32000000,-48000000,-36000000,-37000000,-49000000,-43000000,-11000000,-43000000,-55000000,-66956000,-51000000,-80000000,-69000000,-54883000,-53347000
66,Other Total Stockholders Equity,200000000,207200000,252900000,257700000,260300000,223900000,225500000,226400000,235100000,212700000,172100000,184400000,185223000,170158000,169586000,178074000,189414000,193595000,197783000,208567000,214036000,221907000,-200292000,-194295000,-188450000,-182060000,-176993000,-171194000,-197183000,-191404000,-188868000,-183826000
67,Total Stockholders Equity,200000000,152600000,204400000,222100000,241900000,285900000,348100000,418000000,502100000,569400000,614100000,672900000,753523000,814858000,351686000,422908000,588814000,710495000,700683000,713167000,788736000,855688000,506908000,703405000,762150000,827285000,898684000,522111000,548356000,643468000,776745000,1222118000
68,Total Liabilities And Stockholders Equity,415600000,334800000,372500000,369700000,430800000,450900000,509400000,610700000,874700000,904100000,910300000,916000000,987923000,1055158000,963686000,1097701000,1268914000,1449195000,1182883000,1180167000,1259036000,1318530000,1104108000,1247805000,1328050000,1338801000,1409723000,1320173000,1369549000,1370940000,1504253000,1694091000
69,Minority Interest,- -,- -,- -,- -,- -,-100000,- -,100000,- -,- -,- -,100000,-23000,42000,14000,6937000,-14000,5000,17000,-67000,-36000,29074000,92000,-5000,50000,- -,37753000,- -,- -,- -,24315000,34845000
70,Total Liabilities & Equity,415600000,334800000,372500000,369700000,430800000,450800000,509400000,610800000,874700000,904100000,910300000,916100000,987900000,1055200000,963700000,1104638000,1268900000,1449200000,1182900000,1180100000,1259000000,1347604000,1104200000,1247800000,1328100000,1338801000,1447476000,1320173000,1369549000,1370940000,1528568000,1728936000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943995000002/0000089439-95-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943997000003/0000089439-97-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943909000004/0000089439-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943910000002/0000089439-10-000002-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943911000003/0000089439-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943912000007/0000089439-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943913000008/0000089439-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943914000010/0000089439-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943915000006/0000089439-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943916000038/0000089439-16-000038-index.html,- -,https://www.sec.gov/Archives/edgar/data/89439/000008943918000010/0000089439-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943919000021/0000089439-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943920000016/0000089439-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943921000015/0000089439-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/89439/000008943922000013/0000089439-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,56700000,-43700000,16600000,21100000,27900000,44800000,61200000,69800000,75400000,99300000,92700000,67000000,78000000,45400000,79400000,92542000,148900000,115500000,80800000,4700000,86200000,86321000,82400000,172600000,101600000,87864000,99727000,85598000,104459000,100972000,139493000,468520000
74,Depreciation and Amortization,13300000,13300000,12500000,14200000,12700000,15500000,18500000,21000000,24900000,37000000,37457000,42083000,37440000,38954000,40639000,40858000,41855000,44477000,44884000,41758000,40364000,36865000,31495000,32394000,33735000,34608000,35133000,33944000,39555000,42693000,44843000,45390000
75,Deferred Income Tax,- -,- -,3000000,9000000,4700000,7100000,4100000,2800000,4900000,31300000,8912000,15801000,9686000,-287000,2711000,-9556000,-19339000,3094000,-4465000,-2554000,-6627000,-4190000,-1284000,19213000,-6495000,-15818000,6998000,-3160000,170000,-428000,-4046000,7413000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2915000,2633000,2877000,3482000,6136000,5704000,6265000,6244000,6387000,7450000,8035000,8744000,8570000,9822000
77,Change in Working Capital,-8200000,-25200000,58300000,22600000,-27100000,26700000,52600000,12800000,31200000,47900000,-200000,15000000,91500000,63000000,-182400000,86094000,160106000,84500000,-52000000,72200000,91800000,96255000,-324955000,166900000,47700000,-112128000,84359000,-178468000,-27046000,-10332000,26233000,-177660000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,14500000,15400000,12700000,16500000,-20800000,8000000,-10100000,1300000,-4900000,13000000,-22835000,14983000,-13744000,2948000,-26208000,-5979000,-56786000,20411000,44591000,22699000,-17248000,-15678000,-4834000,5963000,1381000,41086000,6662000,-86286000,27512000,39561000,5207000,-119514000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,87800000,62600000,120900000,143500000,116400000,143100000,195700000,208500000,239700000,287600000,287400000,302400000,393900000,456900000,274500000,360594000,520700000,605200000,553200000,625400000,717200000,813455000,488500000,655400000,703100000,590972000,675331000,496863000,469817000,459485000,485718000,-2645000
82,Other Non-Cash Items,-92000000,61200000,-51700000,-15900000,3800000,-39100000,-57700000,-53500000,-37500000,-50700000,-20395000,-14118000,-90908000,-73399000,214411000,-100497000,-266983000,-61727000,113626000,-41349000,-158257000,-64984000,314505000,-268298000,-92200000,158839000,-74827000,98631000,42719000,58895000,29980000,-41784000
83,Cash Provided by Operating Activities,-30200000,5600000,38700000,51000000,22000000,55000000,78700000,52900000,98900000,164800000,118474000,125766000,125718000,73668000,154761000,109441000,64539000,185844000,185760000,77388000,56357000,153749000,108297000,128513000,90605000,159609000,157777000,43995000,167892000,200544000,245073000,311701000
84,CAPEX,-10000000,-11800000,-11000000,-11100000,-48200000,-41000000,-19300000,-74700000,-214000000,-40800000,-63458000,-49081000,-23265000,-27236000,-19980000,-18449000,-41206000,-29870000,-22261000,-13942000,-18678000,-18751000,-56825000,-41349000,-39173000,-28834000,-37497000,-46131000,-38481000,-31162000,-43885000,-31833000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15245000,- -,-27777000,- -,-56946000,-6937000,3632000,-32243000,- -,- -,-2021000,-6882000,-11561000,-55276000,-30137000,-171844000,-20533000,-21713000,-169286000,-12535000,-72648000,50065000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-25500000,-4000000,7400000,2300000,-23500000,19900000,4200000,-15400000,12900000,17700000,683000,200000,66013000,-8945000,6334000,10112000,23528000,-385000,-33125000,-6318000,35000,-19822000,-4815000,52291000,-8287000,-18963000,-32524000,-11709000,-17810000,-27922000,-52974000,-20992000
89,Cash Used for Investing Activites,-35500000,-15800000,-3600000,-8800000,-71700000,-21100000,-15100000,-90100000,-201100000,-23100000,-78020000,-48881000,14971000,-36181000,-70592000,-15274000,-14046000,-62498000,-33125000,-6318000,-1986000,-26704000,-16376000,-2985000,-38424000,-190807000,-53057000,-33422000,-187096000,-40457000,-125622000,29073000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152441000,-370000,- -,-750000,-163605000,-1000000,-1050000,-24567000,-1074000,-114593000,-174917000,-211023000,-247157000,-925723000
91,Common Stock Issued,42500000,- -,200000,500000,800000,900000,1300000,600000,7300000,1100000,2708000,1729000,3204000,389000,18978000,4819000,7701000,1124000,1167000,9145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-3600000,-500000,-3100000,-25900000,-2100000,- -,- -,- -,-29700000,-48411000,- -,-14754000,- -,-42641000,-551000,-1092000,-54000,-32000,-870000,-418000,- -,-427446000,- -,- -,- -,- -,- -,-33562000,-1763000,-5574000,-4864000
