,https://roic.ai/company/ACGL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,150000000,152835516,153293409,153586485,153780588,118782675,115701012,180861282,236376495,284046633,318083850,658911888,638961048,558910827,536043249,451635444,396665910,403338474,394066176,392452830,365358381,362376342,404138364,404347621,401802815,403062179,403062179
28,Weighted Average Shares Outstanding Diluted,150000000,152835516,153772092,159464007,153781272,118782675,153020079,536959602,610000146,652671405,672388722,686220525,663861771,583101468,557344188,472695471,414869106,414776541,407331549,404766966,378116229,374152479,417785025,412906478,411609478,410259455,410259455
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/947484/000104746904007281/a2129737z10-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000104746905006594/a2150753z10-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000110465906016208/a06-4988_110k.htm,https://www.sec.gov/Archives/edgar/data/947484/000110465907015520/a07-5876_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/947484/000104746909002082/0001047469-09-002082-index.html,https://www.sec.gov/Archives/edgar/data/947484/000104746910001560/0001047469-10-001560-index.html,https://www.sec.gov/Archives/edgar/data/947484/000104746911001529/a2202059z10-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000104746912001895/0001047469-12-001895-index.html,https://www.sec.gov/Archives/edgar/data/947484/000104746913002083/0001047469-13-002083-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748414000006/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748415000010/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748416000043/0000947484-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748417000015/0000947484-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748418000012/0000947484-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748419000008/0000947484-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748420000012/0000947484-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748421000028/0000947484-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748422000015/0000947484-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1466000,9014000,12037000,9457000,11481000,9970000,91717000,56899000,113052000,222477000,317017000,239915000,251739000,334571000,362740000,351699000,371041000,434057000,485702000,553326000,842942000,606199000,646556000,726230000,18932000,858668000
32,Short-Term Investments,- -,104886000,89167000,108809000,72785000,97387000,476820000,480541000,229348000,135153000,1575266000,1849074000,2202759000,1209780000,571489000,985501000,904219000,10874858000,11546967000,12206178000,11665662000,14556623000,15840849000,15993789000,18689997000,- -,21536995000
33,Cash and Short-Term Investments,- -,106352000,98181000,120846000,82242000,108868000,486790000,572258000,286247000,248205000,1797743000,2166091000,2442674000,1461519000,906060000,1348241000,1255918000,11245899000,11981024000,12691880000,12218988000,15399565000,16447048000,16640345000,19416227000,18932000,22395663000
34,Net Receivables,- -,24767000,47507000,119697000,201200000,993000,164323000,569278000,905032000,1243237000,2143618000,2614435000,2488895000,734024000,782201000,559579000,1712685000,3443886000,3673055000,4148902000,4382617000,4962293000,5859342000,6333879000,8269126000,2064586000,10342706000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,1820925000,4358160000,6710646000,- -,- -,- -,- -,- -,10576259000,9885708000,-938631000,-4894322000,-75136000,778105000,1273170000,1275070000,716766000,-778160000,- -,- -
