,https://roic.ai/company/ECL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31462/000110465902000656/j3013_10k405.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465903003796/j8116_10k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465904006565/a04-2967_210k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465905009384/a05-1766_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465906012710/a06-2286_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465907015053/a07-5385_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465908012647/a08-6080_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465909013091/0001104659-09-013091-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465910010302/0001104659-10-010302-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465911010321/a11-2254_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465912014104/0001104659-12-014104-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465913014387/0001104659-13-014387-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465914014489/a13-25814_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465915014788/a14-25700_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000155837016003581/0001558370-16-003581-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837017000944/0001558370-17-000944-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837018000999/0001558370-18-000999-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837019001379/0001558370-19-001379-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/0001558370-20-001788-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/0001558370-21-001916-index.htm,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/0001558370-22-002059-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24700000,69300000,61200000,28400000,47700000,43965000,41793000,49205000,85626000,71231000,104378000,484029000,137400000,66700000,73600000,242300000,1843600000,1157800000,339200000,209600000,92800000,327400000,211400000,114700000,186400000,1260200000,359900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125063000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24700000,69300000,61200000,28400000,47700000,43965000,41793000,49205000,85626000,71231000,229441000,484029000,137400000,66700000,73600000,242300000,1843600000,1157800000,339200000,209600000,92800000,327400000,211400000,114700000,186400000,1260200000,359900000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198400000,205000000,246000000,246700000,299800000,326937000,514074000,553154000,626002000,738266000,743520000,867541000,974000000,971000000,1016100000,999600000,2095300000,2225100000,2568000000,2626700000,2527800000,2446200000,2703300000,2806700000,2930200000,2442400000,2629700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106100000,122200000,154800000,165600000,176400000,168220000,279785000,291506000,309959000,338603000,325574000,364886000,450800000,467200000,493400000,447600000,1069600000,1088100000,1321900000,1466900000,1388200000,1319400000,1445900000,1546400000,1505600000,1285200000,1491800000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28900000,39000000,47500000,62800000,53400000,61446000,93931000,122072000,128753000,130966000,123131000,137101000,155100000,186200000,231100000,180400000,387500000,421000000,469300000,567900000,438700000,186400000,235800000,209900000,206200000,129600000,205700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358100000,435500000,509500000,503500000,577300000,600568000,929583000,1015937000,1150340000,1279066000,1421666000,1853557000,1717300000,1691100000,1814200000,1869900000,5396000000,4892000000,4698400000,4871100000,4447500000,4279400000,4596400000,4677700000,4828400000,5117400000,4687100000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292900000,332300000,395600000,420200000,448100000,501640000,644323000,680265000,736797000,834730000,835503000,951569000,1083400000,1135200000,1176200000,1148300000,2295400000,2409100000,2882000000,3050600000,3228300000,3365000000,3707100000,3836000000,4532400000,3548700000,3685300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1035929000,1279200000,1267700000,1414100000,1329300000,5855300000,5920500000,6862900000,6717000000,6490800000,6383000000,7167100000,7078000000,7251700000,6006900000,8063900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50800000,96900000,217100000,165600000,249700000,- -,775876000,884370000,1001070000,1220906000,1139955000,223787000,328900000,326700000,312500000,282500000,4275200000,4044100000,4785300000,4456800000,4109200000,3817800000,4017600000,3797700000,3672500000,2977000000,4224100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50800000,96900000,217100000,165600000,249700000,- -,775876000,884370000,1001070000,1220906000,1139955000,1259716000,1608100000,1594400000,1726600000,1611800000,10130500000,9964600000,11648200000,11173800000,10600000000,10200800000,11184700000,10875700000,10924200000,8983900000,12288000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36797000,- -,- -,- -,176184000,- -,- -,- -,112000000,118000000,51000000,54500000,71500000,58300000,92300000,102200000,105100000,155600000,163200000,120600000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359100000,343700000,294100000,381700000,310800000,611803000,175218000,261060000,340711000,381472000,399504000,178339000,314000000,336200000,303900000,130200000,300900000,255600000,353400000,299700000,307600000,392700000,372000000,580000000,428500000,312800000,425400000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702800000,772900000,906800000,967500000,1008600000,1113443000,1595417000,1862492000,2078578000,2437108000,2374962000,2565808000,3005500000,3065800000,3206700000,3002300000,12844800000,12680300000,14938100000,14595600000,14194200000,14050800000,15366000000,15396800000,16040700000,13008600000,16519300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060900000,1208400000,1416300000,1471000000,1585900000,1714011000,2525000000,2878429000,3228918000,3716174000,3796628000,4419365000,4722800000,4756900000,5020900000,4872200000,18240800000,17572300000,19636500000,19466700000,18641700000,18330200000,19962400000,20074500000,20869100000,18126000000,21206400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81900000,103800000,130700000,124600000,122700000,146428000,199772000,205665000,212287000,269561000,277635000,330858000,343700000,359600000,360900000,349300000,815700000,879700000,1021900000,1162400000,1049600000,983200000,1177100000,1255600000,1284300000,1160600000,1384200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71600000,27600000,48900000,68000000,112100000,136592000,233393000,160099000,70203000,56132000,226927000,508978000,403500000,338900000,98500000,189200000,1023000000,805800000,861000000,1705400000,2205300000,541300000,564400000,743600000,533800000,142900000,526100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21800000,85900000,155800000,174700000,196200000,211200000,162700000,191100000,313500000,217500000,256200000,247900000,258500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75800000,84700000,80400000,91700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000000,196400000,224900000,207200000,235900000,249014000,394787000,500586000,569452000,613854000,614795000,662894000,771100000,743400000,790800000,786300000,1327600000,1367200000,1605800000,1518800000,1509500000,1494900000,1690300000,1610600000,1727800000,1548300000,1551200000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310500000,327800000,404500000,399800000,470700000,532034000,827952000,866350000,851942000,939547000,1119357000,1502730000,1518300000,1441900000,1250200000,1324800000,3166300000,3052700000,3488700000,4386600000,4764400000,3019400000,3431800000,3685600000,3630600000,2932200000,3553200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89400000,148700000,259400000,227000000,169000000,234377000,512280000,539743000,604441000,645445000,519374000,557058000,599900000,799300000,868800000,656400000,6613200000,5736100000,6043500000,4864000000,4260200000,6145700000,6758300000,6301600000,5973500000,6969800000,8629800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92478000,86100000,74200000,86700000,65300000,1305300000,1174200000,1661300000,1415800000,1281200000,970200000,642800000,764600000,740400000,483900000,622000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204300000,211900000,200700000,153700000,184200000,190593000,304416000,372585000,477109000,568663000,508687000,586869000,582800000,869900000,805600000,692700000,1414900000,1449200000,1033600000,1418200000,1355500000,1224000000,1440800000,1269100000,1798800000,1538600000,1148300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293700000,360600000,460100000,380700000,353200000,424970000,816696000,912328000,1081550000,1214108000,1028061000,1236405000,1268800000,1743400000,1761100000,1414400000,9333400000,8359500000,8738400000,7698000000,6896900000,8339900000,8841900000,8335300000,8512700000,8992300000,10400100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,578400000,426100000,397700000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,604200000,688400000,864600000,780500000,823900000,957004000,1644648000,1778678000,1933492000,2153655000,2147418000,2739135000,2787100000,3185300000,3011300000,2739200000,12499700000,11412200000,12227100000,12084600000,11661300000,11359300000,12273700000,12020900000,12143300000,11924500000,13953300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145600000,- -,149734000,151950000,310284000,315743000,318603000,322578000,326500000,328000000,329800000,333100000,336100000,342100000,345100000,347700000,350300000,352600000,354700000,357000000,359600000,362600000,364100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325700000,404400000,495000000,638500000,756600000,757007000,1021049000,1159663000,1359879000,1585957000,1719201000,1983272000,2298400000,2617000000,2898100000,3279100000,3559900000,4020600000,4699000000,5555100000,6160300000,6975000000,8045400000,8909500000,9993700000,8243000000,8814500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-327000000,-356200000,-400000000,-454800000,-509100000,-509100000,-815312000,-77818000,3688000,71746000,9764000,-96512000,63100000,-359100000,-232900000,-271900000,-344900000,-459700000,-305200000,-951900000,-1423300000,-1712900000,-1642300000,-1761700000,-2089700000,-1994400000,-1634800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,471800000,456700000,506800000,368900000,509100000,524881000,-134044000,-378425000,-410927000,-398358000,-529108000,-752300000,-1014300000,-994100000,-1211100000,2115600000,2174000000,2605400000,2365000000,1822600000,1286400000,860700000,498400000,421700000,-444700000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456700000,520000000,551700000,690500000,762000000,757007000,880352000,1099751000,1295426000,1562519000,1649210000,1680230000,1935700000,1571600000,2000900000,2129200000,5666700000,6077000000,7344300000,7315900000,6909900000,6901100000,7618500000,8003200000,8685300000,6166500000,7224200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060900000,1208400000,1416300000,1471000000,1585900000,1714011000,2525000000,2878429000,3228918000,3716174000,3796628000,4419365000,4722800000,4756900000,5012200000,4868400000,18166400000,17489200000,19571400000,19400500000,18571200000,18260400000,19892200000,20024100000,20828600000,18091000000,21177500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,3800000,74400000,83100000,65100000,66200000,70500000,69800000,70200000,50400000,40500000,35000000,28900000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060900000,1208400000,1416300000,1471000000,1585900000,1714011000,2525000000,2878429000,3228918000,3716174000,3796628000,4419365000,4722800000,4756900000,5020900000,4872200000,18240800000,17572300000,19636500000,19466700000,18641700000,18330200000,19962400000,20074500000,20869100000,18126000000,21206400000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/31462/000110465902000656/j3013_10k405.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465903003796/j8116_10k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465904006565/a04-2967_210k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465905009384/a05-1766_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465906012710/a06-2286_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465907015053/a07-5385_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465908012647/a08-6080_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465909013091/0001104659-09-013091-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465910010302/0001104659-10-010302-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465911010321/a11-2254_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465912014104/0001104659-12-014104-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465913014387/0001104659-13-014387-index.html,https://www.sec.gov/Archives/edgar/data/31462/000110465914014489/a13-25814_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000110465915014788/a14-25700_110k.htm,https://www.sec.gov/Archives/edgar/data/31462/000155837016003581/0001558370-16-003581-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837017000944/0001558370-17-000944-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837018000999/0001558370-18-000999-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837019001379/0001558370-19-001379-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837020001788/0001558370-20-001788-index.html,https://www.sec.gov/Archives/edgar/data/31462/000155837021001916/0001558370-21-001916-index.htm,https://www.sec.gov/Archives/edgar/data/31462/000155837022002059/0001558370-22-002059-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,3100000,53700000,-243600000,64300000,76600000,84600000,99200000,113200000,134000000,192500000,175800000,206127000,188170000,209770000,277348000,310488000,319481000,368615000,427200000,448100000,417300000,530300000,462500000,703600000,967800000,1202800000,1002100000,1229600000,1508400000,1429100000,1558900000,-1205100000,1129900000
74,Depreciation and Amortization,- -,- -,- -,- -,75300000,82900000,55000000,59400000,59500000,66900000,76100000,89500000,100900000,122000000,134500000,148436000,162990000,223428000,229656000,247382000,256935000,268569000,291900000,334700000,334300000,347900000,395700000,714500000,816200000,872000000,859500000,850700000,893300000,938300000,973300000,812700000,843100000
75,Deferred Income Tax,- -,- -,- -,- -,-16300000,5600000,-3400000,300000,-15200000,2400000,-800000,-6900000,-2100000,-2000000,-3900000,-11604000,-2950000,49923000,42455000,24309000,-13021000,-18806000,2500000,80600000,88100000,-31100000,41700000,-3200000,-130500000,-121500000,-244500000,-90600000,-354500000,85100000,-37600000,-45800000,-1100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37300000,29200000,39900000,65800000,69600000,71100000,78200000,85700000,90500000,94400000,91100000,82100000,89500000
77,Change in Working Capital,- -,- -,- -,- -,46700000,- -,- -,- -,- -,- -,47600000,60100000,-2700000,-1300000,2900000,-38066000,33097000,47956000,148811000,41121000,-37210000,48518000,-151827000,50200000,314800000,-18900000,1684600000,-390400000,-629600000,-725200000,-801400000,1576900000,-95400000,-172500000,205700000,987400000,600000
