,https://roic.ai/company/EPD,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.04,0.45,0.81,0.85,0.28,0.21,0.43,0.46,0.61,0.48,0.93,0.86,0.19,1.24,1.34,1.39,1.44,1.25,1.19,1.30,1.91,2.10,1.73,2.12
26,EPS Diluted,0.04,0.41,0.66,0.69,0.24,0.20,0.43,0.46,0.61,0.48,0.93,0.86,0.19,1.19,1.34,1.39,1.44,1.25,1.19,1.30,1.91,2.09,1.71,2.12
27,Weighted Average Shares Outstanding,240496000,182211660,186098060,204222860,347272727,538552381,616691954,921995604,985500000,1111820833,874754000,973600000,1696404006,1641000000,1806667536,1871370016,1937324817,2012553024,2117588414,2154300000,2187000000,2189226130,2182308958,2182129957
28,Weighted Average Shares Outstanding Diluted,240496000,182211660,186098060,204222860,347272727,551687805,616691954,921995604,985500000,1111820833,875164000,975600000,1696404006,1719800000,1806667536,1871370016,1937324817,2012553024,2117588414,2154300000,2187000000,2201700000,2202200000,2200400000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1061219/000106121900000015/0001061219-00-000015-index.html,https://www.sec.gov/Archives/edgar/data/1061219/000106121901000008/0001061219-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/1061219/000089924302000673/0000899243-02-000673-index.html,- -,https://www.sec.gov/Archives/edgar/data/1061219/000106121904000033/0001061219-04-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012905002430/0000950129-05-002430-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012906001866/0000950129-06-001866-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012907001030/0000950129-07-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012908001371/0000950129-08-001371-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121909000012/0001061219-09-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121910000011/0001061219-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121911000009/0001061219-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121912000006/0001061219-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121913000011/0001061219-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000114036114010442/0001140361-14-010442-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121915000007/0001061219-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121916000058/0001061219-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121917000008/0001061219-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121918000008/0001061219-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121919000007/0001061219-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121920000014/0001061219-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121921000009/0001061219-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121922000008/0001061219-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24100000,5200000,60409000,137823000,22568000,44317000,50713000,42098000,22619000,39722000,35373000,54700000,65500000,19800000,16100000,56900000,74400000,19000000,63100000,5100000,344800000,334700000,1059900000,2819000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2429000000,- -
33,Cash and Short-Term Investments,24100000,5200000,60409000,137823000,22568000,44317000,50713000,42098000,22619000,39722000,35373000,168500000,65500000,19800000,16100000,56900000,74400000,19000000,63100000,5100000,344800000,334700000,3488900000,2819000000
34,Net Receivables,72800000,318400000,415618000,261302000,399415000,462545000,1083536000,1454583000,1323028000,2010544000,1247144000,3137400000,3836900000,4545300000,4353400000,5482300000,3825800000,2571100000,3330600000,4360200000,3662600000,4876100000,4808200000,6967000000
35,Inventory,17600000,39900000,93222000,69443000,167369000,150161000,189019000,339606000,423844000,354282000,362815000,711900000,1134000000,1111700000,1088400000,1093100000,1014200000,1038100000,1770500000,1609800000,1522100000,2091400000,3303500000,2681000000
36,Other Current Assets,23200000,21000000,12143000,50207000,48216000,30160000,117455000,135160000,152667000,133337000,518388000,229100000,470700000,391900000,385200000,391100000,576300000,684800000,1364000000,531300000,531200000,560700000,-1691200000,802000000
37,Total Current Assets,137700000,384500000,581392000,518775000,637568000,687183000,1440723000,1971447000,1922158000,2537885000,2163720000,4246900000,5507100000,6068700000,5843100000,7023400000,5490700000,4313000000,6528200000,6506400000,6060700000,7862900000,9909400000,13269000000
38,PP&E,499800000,767100000,975322000,1306790000,2810839000,2963505000,7831467000,8689024000,9832547000,11587264000,13154774000,17689200000,19332900000,22191600000,24846400000,26946600000,29881600000,32034700000,33292500000,35620400000,38737600000,41603400000,41912800000,42087000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,590541000,591652000,706884000,2018300000,2107700000,2092300000,2086800000,2080000000,4199900000,5745200000,5745200000,5745200000,5745200000,5745200000,5448900000,5448000000
40,Intangible Assets,- -,61600000,92869000,202226000,359208000,351320000,1439799000,1407659000,1003955000,917000000,855416000,1064800000,1841700000,1656200000,1566800000,1462200000,4302100000,4037200000,3864100000,3690300000,3608400000,3449000000,3309100000,3150000000
41,Intangible Assets,- -,61600000,92869000,202226000,359208000,351320000,1439799000,1407659000,1594496000,1508652000,1562300000,3083100000,3949400000,3748500000,3653600000,3542200000,8502000000,9782400000,9609300000,9435500000,9353600000,9194200000,8758000000,8598000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,472000000,565000000,858000000,912000000,890600000,2293100000,1859600000,1394600000,2437100000,3042000000,2628500000,2677300000,2659400000,2615100000,2600200000,2429200000,- -
43,Tax Assets,- -,- -,- -,- -,15846000,10437000,6467000,3606000,1855000,3522000,355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,103500000,281800000,301938000,403402000,406811000,790369000,597005000,47280000,73662000,112684000,164386000,241800000,278300000,256700000,196700000,189400000,184400000,193400000,86700000,196400000,202800000,472500000,1097300000,3571000000
45,Total Non-Current Assets,603300000,1110500000,1370129000,1912418000,3592704000,4115631000,9874738000,10619569000,12067560000,14070122000,15793815000,21904700000,25853700000,28056400000,30091300000,33115300000,41610000000,44639000000,45665800000,47911700000,50909100000,53870300000,54197300000,54256000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,741000000,1495000000,1951521000,2431193000,4230272000,4802814000,11315461000,12591016000,13989718000,16608007000,17957535000,26151600000,31360800000,34125100000,35934400000,40138700000,47100700000,48952000000,52194000000,54418100000,56969800000,61733200000,64106700000,67525000000
48,Accounts Payable,36600000,134100000,153006000,84154000,108055000,106429000,244435000,289066000,283855000,349431000,340090000,480400000,675100000,984600000,891600000,874200000,892700000,944200000,502800000,929000000,1243000000,1166800000,854100000,632000000
49,Short-Term Debt,- -,129000000,- -,- -,15000000,240000000,15000000,- -,- -,- -,- -,- -,282300000,500000000,1546600000,1125000000,2206400000,1863900000,2576800000,2855000000,1500100000,1981900000,1325000000,-25337000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,46200000,268000000,433373000,325062000,598301000,750447000,1326444000,1601205000,1701066000,2695252000,1883059000,4055600000,4922800000,5947800000,5317500000,6239500000,4774600000,4358500000,5170900000,5511100000,4424400000,5981000000,6808900000,36329000000
53,Total Current Liabilities,82800000,531100000,586379000,409216000,721356000,1096876000,1585879000,1890271000,1984921000,3044683000,2223149000,4536000000,5880200000,7432400000,7755700000,8238700000,7873700000,7166600000,8250500000,9295100000,7167500000,9129700000,8988000000,11624000000
54,Long-Term Debt,90000000,166000000,404000000,855278000,2231463000,1899548000,4266236000,4833781000,5295590000,6906145000,9108410000,11346400000,13281200000,14029400000,14655200000,16226500000,19157400000,20826700000,21120900000,21713700000,24678100000,25643200000,28540700000,28135000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,13723000,21364000,66062000,71700000,78000000,91200000,22500000,60800000,66600000,46100000,52700000,58500000,80400000,100400000,464700000,518000000
57,Other Non-Current Liabilities,- -,300000,15613000,8061000,7666000,14081000,63521000,84486000,86121000,73748000,81277000,155200000,220600000,352800000,205000000,172300000,310800000,411500000,503900000,578400000,751600000,1032400000,686600000,810000000
58,Total Non-Current Liabilities,90000000,166300000,419613000,863339000,2239129000,1913629000,4329757000,4918267000,5395434000,7001257000,9255749000,11573300000,13579800000,14473400000,14882700000,16459600000,19534800000,21284300000,21677500000,22350600000,25510100000,26776000000,29692000000,29463000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,172800000,697400000,1005992000,1272555000,2960485000,3010505000,5915636000,6808538000,7380355000,10045940000,11478898000,16109300000,19460000000,21905800000,22638400000,24698300000,27408500000,28450900000,29928000000,31645700000,32677600000,35905700000,38680000000,41087000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,786300000,931281000,1141613000,1210049000,1683133000,5217267000,5561338000,6329917000,5976947000,6036887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-220500000,-262000000,-294740000,-338050000,8663000,39339000,120178000,117971000,150316000,154702000,48101000,-8400000,-32500000,-351400000,-370400000,-359000000,-241600000,-219200000,-280000000,-171700000,50900000,71400000,-165200000,285000000
66,Other Total Stockholders Equity,778700000,273300000,308988000,355075000,-17808000,-16519000,-8660000,- -,- -,- -,- -,10075300000,11933800000,12570300000,13666000000,15799400000,19934200000,20720100000,22546000000,22944400000,24241200000,25756500000,25591700000,26153000000
67,Total Stockholders Equity,568200000,797600000,945529000,1158638000,1200904000,1705953000,5328785000,5679309000,6480233000,6131649000,6084988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26438000000
68,Total Liabilities And Stockholders Equity,741000000,1495000000,1951521000,2431193000,4161389000,4716458000,11244421000,12487847000,13860588000,16177589000,17563886000,26151600000,31360800000,34125100000,35934400000,40138700000,47100700000,48952000000,52194000000,54418100000,56969800000,61733200000,64106700000,67525000000
69,Minority Interest,- -,- -,- -,- -,68883000,86356000,71040000,103169000,129130000,430418000,393649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,741000000,1495000000,1951521000,2431193000,4230272000,4802814000,11315461000,12591016000,13989718000,16608007000,17957535000,26151600000,31360800000,34125100000,35934400000,40138700000,47100700000,48952000000,52194000000,54418100000,56969800000,61733200000,64106700000,67525000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1061219/000106121900000015/0001061219-00-000015-index.html,https://www.sec.gov/Archives/edgar/data/1061219/000106121901000008/0001061219-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/1061219/000089924302000673/0000899243-02-000673-index.html,- -,https://www.sec.gov/Archives/edgar/data/1061219/000106121904000033/0001061219-04-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012905002430/0000950129-05-002430-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012906001866/0000950129-06-001866-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012907001030/0000950129-07-001030-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000095012908001371/0000950129-08-001371-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121909000012/0001061219-09-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121910000011/0001061219-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121911000009/0001061219-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121912000006/0001061219-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121913000011/0001061219-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000114036114010442/0001140361-14-010442-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121915000007/0001061219-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121916000058/0001061219-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121917000008/0001061219-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121918000008/0001061219-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121919000007/0001061219-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121920000014/0001061219-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121921000009/0001061219-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1061219/000106121922000008/0001061219-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10200000,120300000,220506000,242178000,95500000,113096000,268261000,419508000,601155000,533674000,954021000,1030900000,320800000,2046900000,2419900000,2596900000,2787400000,2521200000,2513100000,2799300000,4172400000,4591300000,3775600000,4637700000
74,Depreciation and Amortization,19200000,25300000,41016000,51903000,94925000,128435000,198887000,420777000,448208000,523762000,562171000,- -,- -,- -,1104900000,1217600000,1360500000,1516000000,1552000000,1644000000,1791600000,1949300000,2071900000,1873000000
75,Deferred Income Tax,- -,- -,- -,- -,2080000,10534000,9608000,8594000,14427000,8306000,6199000,4500000,7900000,12100000,-66200000,37900000,6100000,-20600000,6600000,6100000,21400000,20000000,-147600000,39000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-300000,-201500000,141613000,114546000,-193347000,-325905000,264537000,226332000,-143939000,-444035000,447369000,-229671000,-84000000,-990600000,-548900000,697300000,-1167700000,-470600000,1131300000,-1066400000,1681900000,-160000000,2188200000,723600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-680800000,-716000000,196800000,-1139800000,1689200000,1280600000,-678600000,-1076900000,727900000,-1247900000,299400000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-44202000,-148846000,-66288000,-14051000,-15425000,- -,-437500000,135800000,-227800000,38600000,-105600000,-72700000,-871800000,194600000,121400000,-558000000,-1420400000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150700000,44200000,-50200000,13500000,-172600000,-87700000,-500000,122600000,69700000,23900000,-1500000,- -
81,Other Working Capital,54900000,-146600000,-4987000,109559000,-83788000,-409693000,-145156000,81176000,-62763000,-506798000,-59429000,-289100000,-373100000,-1363700000,-1912600000,-1215300000,-2383000000,-2853600000,-1722300000,-2788700000,-1106800000,-1266800000,921400000,1645000000
82,Other Non-Cash Items,-49400000,224700000,-42447000,-125299000,330603000,498545000,-362057000,-443503000,255218000,969234000,-732691000,1571471000,2055300000,2262100000,-18800000,-684200000,1175900000,456400000,-1136200000,1283300000,-1541000000,119900000,-1996600000,1238700000
83,Cash Provided by Operating Activities,-20300000,168800000,360688000,283328000,329761000,424705000,379236000,631708000,1175069000,1590941000,1237069000,2377200000,2300000000,3330500000,2890900000,3865500000,4162200000,4002400000,4066800000,4666300000,6126300000,6520500000,5891500000,8512000000
84,CAPEX,-8400000,-229300000,-243913000,-149896000,-74135000,-145913000,-155793000,-864453000,-1341070000,-2197032000,-1984585000,-1585700000,-2040800000,-3867500000,-3621900000,-3408200000,-2892900000,-3830700000,-3025100000,-3147900000,-4223200000,-4531700000,-3287900000,-2223000000
85,Acquisitions Net,- -,- -,- -,-225665000,-1620727000,-37348000,-724661000,-326602000,-276500000,-35793000,-202160000,-107300000,-1313900000,- -,-609500000,-1094100000,-3139200000,-1219100000,-1138800000,-249200000,-264200000,-111600000,-15600000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-138266000,-332909000,-129816000,-18800000,-8000000,-30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,38700000,24900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42300000,-35900000,-24885000,-115652000,-13486000,-473715000,-48665000,60660000,66548000,12127000,-95308000,-1438600000,-1968400000,-2772500000,-2409300000,-3163400000,-2658700000,-2222700000,-3205600000,-3036900000,-4017400000,-4463900000,-3105100000,-2134000000
89,Cash Used for Investing Activites,-50700000,-265200000,-268798000,-491213000,-1708348000,-656976000,-929119000,-1130395000,-1689288000,-2553607000,-2411869000,-1546900000,-3251600000,-2777600000,-3018800000,-4257500000,-5797900000,-3441800000,-4344400000,-3286100000,-4281600000,-4575500000,-3120700000,-2134000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7668400000,-5344400000,-7375800000,-6676400000,-12680600000,-14341100000,-19867200000,-61672600000,-68459600000,-77957100000,-56716500000,-4406600000,-11491000000
91,Common Stock Issued,- -,- -,599000000,22600000,180666000,676371000,854471000,646928000,857187000,69221000,142777000,912700000,528500000,542900000,816800000,1792000000,388800000,1188600000,2542800000,1073400000,538400000,82200000,31500000,- -
92,Common Stock Repurchased,- -,-4700000,-770000,-18003000,-12788000,- -,- -,- -,- -,- -,- -,-2100000,-3800000,-10700000,- -,- -,- -,- -,- -,- -,-30800000,-81100000,-186300000,-213000000
93,Dividends Paid,-21600000,-111800000,-141006000,-165995000,-218193000,-318031000,-445205000,-722423000,-843292000,-957705000,-1037373000,-1594800000,-307700000,-1974300000,-2178600000,-2400300000,-2638100000,-2943700000,-3300500000,-3569900000,-3726900000,-3839800000,-3891000000,- -
94,Other Financing Activites,82800000,194000000,-493935000,440945000,1310648000,-109420000,134707000,591724000,481077000,1867839000,2065562000,7515500000,6088500000,8219300000,8162400000,13721700000,18243600000,21006300000,62752000000,69228600000,79671500000,58610100000,6429700000,7133000000
95,Cash Used/Provided by Financing Activities,61200000,77500000,-36711000,279547000,1260333000,248920000,543973000,516229000,494972000,979355000,1170966000,-837100000,961100000,-598600000,124200000,432800000,1653200000,-616000000,321700000,-1727500000,-1504900000,-1945100000,-2022700000,-4571000000
96,Effect of Forex Changes on Cash,14900000,- -,- -,- -,- -,- -,- -,- -,-232000,414000,-515000,-200000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,61200000,-18900000,55179000,71662000,-118254000,16649000,-5910000,17542000,-19479000,17103000,-4349000,-7000000,10200000,-45700000,-3700000,40800000,17500000,-55400000,44100000,-347300000,339800000,-100000,748100000,- -
98,Cash at the End of Period,- -,5200000,60409000,132071000,13817000,30466000,24556000,42098000,22619000,39722000,35373000,54700000,65500000,19800000,16100000,56900000,74400000,19000000,63100000,70300000,410100000,410000000,1158100000,- -
99,Cash at the Beginning of Period,18900000,24100000,5230000,60409000,132071000,13817000,30466000,24556000,42098000,22619000,39722000,61700000,55300000,65500000,19800000,16100000,56900000,74400000,19000000,417600000,70300000,410100000,410000000,- -
100,Free Cash Flow,-28700000,-60500000,116775000,133432000,255626000,278792000,223443000,-232745000,-166001000,-606091000,-747516000,791500000,259200000,-537000000,-731000000,457300000,1269300000,171700000,1041700000,1518400000,1903100000,1988800000,2603600000,6289000000
