,https://roic.ai/company/JKHY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),200000,200000,- -,-1000000,100000,500000,800000,600000,1000000,900000,700000,900000,1500000,2000000,755000,1183000,1827000,520000,899000,774000,711000,1649000,21409000,-576000,-1457000,-8805000,-4567000,-5697000,-728000,-1425000,-1123000,-748000,-1345000,-50000,449000,-994000
20,Income Before Tax,1900000,900000,1700000,-500000,1500000,3500000,6100000,7900000,9800000,12700000,19900000,25100000,35300000,51300000,51765000,86923000,88473000,77791000,99705000,119843000,140068000,160203000,164426000,157310000,180796000,207512000,231668000,259850000,311271000,316440000,360536000,366954000,391024000,347235000,381076000,397725000
21,Income Before Tax Ratio,0.1484,0.0563,0.0939,-0.0515,0.1531,0.1691,0.2552,0.2423,0.2552,0.2755,0.2944,0.3039,0.3113,0.2780,0.2298,0.2516,0.2230,0.1923,0.2133,0.2236,0.2365,0.2398,0.2213,0.2110,0.2161,0.2146,0.2256,0.2301,0.2572,0.2519,0.2661,0.2564,0.2545,0.2236,0.2245,0.2262
22,Income Tax expense (Gain),800000,300000,700000,-200000,600000,1300000,2200000,2600000,3500000,4700000,7600000,9300000,13100000,18800000,17415000,31292000,31408000,28394000,37390000,44342000,50145000,55522000,59139000,54208000,62926000,70041000,76684000,83205000,110135000,105219000,111669000,121161000,14364000,75350000,84408000,86256000
23,Net Income,1100000,600000,1000000,-1300000,-600000,2200000,4000000,6300000,6300000,8000000,9700000,15300000,21500000,31700000,34018000,55631000,57065000,49397000,62315000,75501000,89923000,104681000,104222000,103102000,117870000,137471000,154984000,176645000,201136000,211221000,248867000,245793000,376660000,271885000,296668000,311469000
24,Net Income ratio,0.0859,0.0375,0.0552,-0.1340,-0.0612,0.1063,0.1674,0.1933,0.1641,0.1735,0.1435,0.1852,0.1896,0.1718,0.1510,0.1610,0.1439,0.1221,0.1333,0.1409,0.1518,0.1567,0.1403,0.1383,0.1409,0.1422,0.1509,0.1564,0.1662,0.1681,0.1837,0.1717,0.2451,0.1751,0.1748,0.1771
25,EPS,0.03,0.01,0.02,-0.03,-0.01,0.04,0.07,0.11,0.09,0.11,0.13,0.20,0.28,0.40,0.41,0.64,0.64,0.56,0.70,0.83,0.98,1.16,1.18,1.23,1.38,1.59,1.80,2.07,2.43,2.61,3.16,3.17,4.88,3.53,3.87,4.21
26,EPS Diluted,0.03,0.01,0.02,-0.03,-0.01,0.04,0.07,0.11,0.09,0.11,0.13,0.20,0.27,0.38,0.40,0.61,0.62,0.55,0.68,0.81,0.96,1.14,1.16,1.22,1.38,1.59,1.78,2.04,2.36,2.59,3.12,3.14,4.85,3.52,3.86,4.12
27,Weighted Average Shares Outstanding,54436000,60000000,50000000,65008000,60000000,55000000,57142857,57272727,70000000,72294000,74904000,76288000,75400000,79840000,81766000,86834000,89316000,87866000,89325000,90891000,91484000,90155000,88270000,84118000,84302000,86359538,86030397,85239919,82635367,80852582,78695454,77423087,77170659,76988123,76629660,74002266
28,Weighted Average Shares Outstanding Diluted,54436000,60000000,50000000,65008000,60000000,55000000,57142857,57272727,70000000,72294000,74904000,79285714,79044000,84448000,85278000,91344000,92367000,89270000,91859000,92998000,93787000,92032000,89702000,84830000,85381000,86687000,87287000,86619000,85396000,81601000,79734000,78255000,77585000,77347000,76934000,75658000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779152/000077915295000009/0000779152-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915296000009/0000779152-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915297000012/0000779152-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915298000007/0000779152-98-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/779152/000077915200000020/0000779152-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623601500169/0000926236-01-500169-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623602000174/0000926236-02-000174-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779152/000092623607000089/0000926236-07-000089-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623608000050/0000926236-08-000050-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623609000039/0000926236-09-000039-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623610000031/0000926236-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623611000072/0000926236-11-000072-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915212000051/0000779152-12-000051-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915213000028/0000779152-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915214000036/0000779152-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915215000056/0000779152-15-000056-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915216000142/jkhy-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915217000040/0000779152-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915218000060/0000779152-18-000060-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915219000048/jkhy-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915220000064/0000779152-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915221000073/0000779152-21-000073-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,5000000,7900000,23300000,3200000,5186000,18589000,17765000,32014000,53758000,11608000,74139000,88617000,65565000,118251000,125518000,63125000,157313000,127905000,70377000,148313000,70310000,114765000,31440000,93628000,213345000,50992000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,946000,985000,997000,998000,998000,993000,2181000,989000,997000,1000000,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,5000000,7900000,23300000,9900000,6132000,19574000,18762000,33012000,54756000,12601000,76320000,89606000,66562000,119251000,126518000,64125000,157313000,127905000,70377000,148313000,70310000,114765000,31440000,93628000,213345000,50992000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000,16000000,22700000,36800000,52600000,77418000,117110000,131431000,150951000,169873000,209922000,180295000,209242000,213947000,195425000,215390000,224626000,226781000,237370000,231978000,248140000,269559000,297058000,313301000,327897000,321996000,336807000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,7100000,12100000,9000000,17300000,20450000,35366000,29784000,33299000,34429000,37770000,49795000,51537000,49248000,44970000,51194000,65199000,84555000,82610000,82026000,97046000,92060000,108208000,123795000,147923000,133760000,155938000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,28100000,42700000,69100000,79800000,104000000,172050000,179977000,217262000,259058000,260293000,306410000,350385000,329757000,359646000,393102000,353950000,468649000,447885000,384381000,493499000,431929000,520031000,468536000,569448000,669101000,543737000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,13600000,21900000,26900000,65600000,93285000,138439000,173775000,196046000,215100000,243191000,251632000,249882000,239005000,237778000,274670000,270186000,276730000,300511000,291675000,296332000,298564000,282934000,286850000,272474000,273432000,252481000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212538000,248863000,289373000,292400000,537106000,533520000,533520000,533291000,552761000,550366000,552853000,552465000,649929000,666944000,686334000,687458000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,16800000,15500000,15300000,25200000,109282000,101389000,107164000,48242000,87157000,263900000,111011000,124447000,142761000,142128000,322790000,300566000,288726000,289159000,322646000,347783000,361906000,374143000,441673000,451136000,465491000,476065000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,16800000,15500000,15300000,25200000,109282000,101389000,107164000,48242000,87157000,263900000,323549000,373310000,432134000,434528000,859896000,834086000,822246000,822450000,875407000,898149000,914759000,926608000,1091602000,1118080000,1151825000,1163523000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,1900000,2000000,4000000,4100000,14515000,21243000,25226000,87025000,92299000,46769000,24476000,25763000,20148000,18748000,36478000,47575000,51867000,58309000,72829000,148855000,170260000,179372000,203315000,224827000,334116000,376415000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,31200000,32300000,39400000,46200000,94900000,217082000,261071000,306165000,331313000,394556000,553860000,599657000,648955000,691287000,691054000,1171044000,1151847000,1150843000,1181270000,1239911000,1343336000,1383583000,1388914000,1581767000,1615381000,1759373000,1792419000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,58700000,60400000,82100000,115300000,174700000,321082000,433121000,486142000,548575000,653614000,814153000,906067000,999340000,1021044000,1050700000,1564146000,1505797000,1619492000,1629155000,1624292000,1836835000,1815512000,1908945000,2050303000,2184829000,2428474000,2336156000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,2200000,2900000,6900000,4800000,9255000,17846000,9051000,9617000,9171000,15895000,14525000,11481000,6946000,8206000,13500000,12829000,16317000,11701000,10516000,9933000,14596000,6841000,34510000,9850000,9880000,18485000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70623000,87000,- -,- -,- -,45000000,50241000,70503000,70177000,63461000,105963000,26092000,25503000,7929000,5407000,2595000,200000,- -,- -,- -,115000,110000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165000,3851000,- -,- -,- -,- -,5543000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79490000,92028000,119492000,136302000,157605000,166402000,195691000,212375000,237557000,264219000,276837000,275907000,293255000,312002000,339544000,343525000,382777000,355538000,339752000,318161000,319748000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,19100000,24300000,32400000,52900000,71262000,9595000,11577000,17671000,27767000,28083000,32324000,52802000,51677000,35183000,63303000,64753000,84516000,99373000,100891000,91539000,85411000,81574000,97848000,120360000,166689000,182517000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,28100000,21300000,27200000,39300000,57700000,151140000,107018000,112656000,146780000,173240000,246583000,263492000,330477000,341175000,344407000,446985000,380511000,402243000,412258000,428816000,443611000,443732000,471192000,487896000,469962000,494845000,520860000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320000,228000,- -,- -,- -,- -,- -,- -,- -,- -,272732000,127939000,106166000,7366000,- -,50102000,- -,50000000,- -,- -,208000,100083000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7981000,11398000,18267000,20093000,11342000,8985000,192443000,177529000,128607000,93094000,54554000,71461000,75852000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1700000,2000000,2500000,2600000,5132000,7857000,15800000,23840000,28762000,37085000,47430000,53290000,61710000,65066000,74589000,89304000,100932000,120434000,134918000,150223000,188601000,219541000,189613000,217010000,243998000,260758000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,-100000,9945000,15514000,16947000,12732000,8694000,13331000,19933000,17208000,16708000,6740000,8070000,10000000,7002000,5586000,13412000,8922000,9440000,7554000,12872000,14290000,68274000,59311000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1700000,2100000,2500000,2500000,15397000,23599000,32747000,36572000,37456000,50416000,67363000,70498000,78418000,79787000,366789000,245510000,234193000,144728000,157315000,401690000,375570000,405702000,295579000,285854000,383941000,496004000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3016000,206000,1014000,5108000,1881000,200000,- -,- -,- -,323000,193000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29200000,23000000,29300000,41800000,60200000,166537000,130617000,145403000,183352000,210696000,296999000,330855000,400975000,419593000,424194000,813774000,626021000,636436000,556986000,586131000,845301000,819302000,876894000,783475000,755816000,878786000,1016864000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,414000,888000,905000,905000,905000,920000,939000,962000,977000,980000,998000,1008000,1015000,1020000,1024000,1027000,1029000,1031000,1033000,1035000,1036000,1038000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,26600000,38100000,54700000,82300000,110378000,156405000,201162000,233396000,271433000,330308000,401849000,484845000,560534000,636733000,724142000,827222000,944078000,1072521000,1202406000,1266443000,1431192000,1585278000,1856917000,2066073000,2235320000,2412496000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4800000,-5900000,-7900000,-11400000,-18900000,-25464000,-37754000,-58124000,-61318000,-74262000,-91345000,-99407000,-117012000,-148303000,-178727000,-200321000,-223650000,-241429000,-272586000,-286927000,-319873000,-328159000,-345014000,-364153000,-388481000,-404388000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,16700000,22600000,30200000,50900000,69217000,182965000,196796000,192240000,244842000,277271000,271831000,229570000,188243000,167520000,225553000,275196000,279392000,271214000,121658000,43937000,-107852000,-209244000,-226969000,-249614000,-282280000,-1094242000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,37400000,52800000,73500000,114500000,154545000,302504000,340739000,365223000,442918000,517154000,575212000,598365000,601451000,626506000,750372000,879776000,983056000,1072169000,1038161000,991534000,996210000,1032051000,1266828000,1429013000,1549688000,1319292000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,58700000,60400000,82100000,115300000,174700000,321082000,433121000,486142000,548575000,653614000,814153000,906067000,999340000,1021044000,1050700000,1564146000,1505797000,1619492000,1629155000,1624292000,1836835000,1815512000,1908945000,2050303000,2184829000,2428474000,2336156000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,58700000,60400000,82100000,115300000,174700000,321082000,433121000,486142000,548575000,653614000,814153000,906067000,999340000,1021044000,1050700000,1564146000,1505797000,1619492000,1629155000,1624292000,1836835000,1815512000,1908945000,2050303000,2184829000,2428474000,2336156000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/779152/000077915295000009/0000779152-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915296000009/0000779152-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915297000012/0000779152-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915298000007/0000779152-98-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/779152/000077915200000020/0000779152-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623601500169/0000926236-01-500169-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623602000174/0000926236-02-000174-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779152/000092623607000089/0000926236-07-000089-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623608000050/0000926236-08-000050-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623609000039/0000926236-09-000039-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623610000031/0000926236-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/779152/000092623611000072/0000926236-11-000072-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915212000051/0000779152-12-000051-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915213000028/0000779152-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915214000036/0000779152-14-000036-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915215000056/0000779152-15-000056-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915216000142/jkhy-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915217000040/0000779152-17-000040-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915218000060/0000779152-18-000060-index.html,https://www.sec.gov/Archives/edgar/data/779152/000077915219000048/jkhy-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915220000064/0000779152-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/779152/000077915221000073/0000779152-21-000073-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-600000,2200000,4000000,6300000,6300000,8000000,9700000,15300000,21500000,31700000,34018000,55631000,57065000,49397000,62315000,75501000,89923000,104681000,104222000,103102000,117870000,137471000,154984000,176645000,201136000,211221000,248867000,245793000,376660000,271885000,296668000,311469000
74,Depreciation and Amortization,- -,- -,- -,- -,1200000,- -,- -,- -,- -,2100000,3600000,4100000,5100000,7900000,15473000,21888000,27470000,30194000,33540000,38911000,43774000,50954000,62006000,64147000,71508000,90514000,94619000,100341000,107771000,118996000,129648000,139786000,151986000,160633000,171805000,175748000
75,Deferred Income Tax,- -,- -,- -,- -,300000,- -,- -,- -,- -,400000,400000,300000,500000,200000,2400000,2800000,7793000,7940000,5588000,5275000,8291000,4239000,5320000,7047000,16694000,20526000,22610000,24091000,22032000,29443000,37524000,30940000,-51644000,7604000,24581000,16760000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2272000,3251000,4723000,6950000,8615000,10091000,10112000,10720000,11129000,11758000,12589000,16883000,20746000
77,Change in Working Capital,- -,- -,- -,- -,700000,- -,- -,- -,- -,-600000,7400000,8700000,14300000,-7700000,-69240000,112172000,2289000,3161000,15336000,-72108000,29208000,-23010000,-31326000,26657000,-69122000,27322000,92967000,-30779000,-80062000,94323000,-61691000,60642000,-68199000,118846000,74770000,-151379000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000,630000,-671000,3488000,-4582000,-1252000,-583000,4663000,-7812000,11072000,-7526000,-47000,-94000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,6800000,15500000,29800000,22100000,-47140000,65032000,67321000,70482000,85818000,13710000,42918000,19908000,-11418000,15239000,-53883000,-26561000,66406000,35627000,-44435000,49888000,-11803000,48839000,-19360000,99486000,174256000,22877000
82,Other Non-Cash Items,- -,- -,- -,- -,1600000,2700000,1500000,3100000,500000,-200000,-6400000,-9700000,-16600000,5100000,67173000,-119669000,-4676000,8169000,-3970000,60696000,-1758000,37383000,40779000,3363000,78497000,-40424000,-107580000,30261000,80691000,-90305000,48000,-130968000,-8419000,-140429000,-74175000,88785000
