,https://roic.ai/company/XXII,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,80000,112327,1241811,2685729,174925,495438,308582,307938,- -,689148,800523,786000,904000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1270000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,179014,- -,- -,- -,28350,83075,4850,272000,119000
52,Other Current Liabilities,5100,- -,40920,2622,11277,567080,506569,575730,1293557,1644192,1601223,2204165,1826481,2977187,5169000,5231000
53,Total Current Liabilities,34133,1225,40920,88802,179054,2873783,4602948,984334,2673407,3236120,3249317,4313206,5173544,5780380,7343000,8427000
54,Long-Term Debt,- -,- -,- -,- -,- -,37000,- -,- -,605217,307938,- -,- -,848217,292177,- -,1432000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,690000,4173140,3779522,3455154,3097954,58681,- -,- -,827986,241000,21000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,727000,4173140,3779522,4060371,3405892,58681,- -,848217,1120163,241000,1453000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,601979,247000,1740000
61,Total Liabilities,34133,1225,40920,88802,179054,3600783,8776088,4763856,6733778,6642012,3307998,4313206,6021761,6900543,7584000,9880000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,31,61,62,62,174,273,344,569,641,710,907,1236,1246,1384,1000,2000
64,Retained Earnings,-63683,-93355,-175501,-230970,-320903,-7041297,-13776578,-39929736,-55525094,-66557025,-78138455,-91167572,-99134483,-125693027,-145404000,-178013000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-6103,-236115,-555814,-881938,-1235373,21363,7074,74000,-162000
66,Other Total Stockholders Equity,61969,96441,146440,146440,146328,5822882,7645017,47458158,70980305,78840629,103353845,167827909,170392249,187735391,189439000,- -
67,Total Stockholders Equity,-1683,3147,-28999,-84468,-174401,-1218142,-6131217,7522888,15219737,11728500,24334359,75426200,71280375,62050822,44110000,66074000
68,Total Liabilities And Stockholders Equity,32450,4372,11921,4334,4653,2382641,2644871,12286744,21953515,18370512,27642357,79739406,77302136,68951365,51694000,75954000
69,Minority Interest,- -,- -,- -,- -,- -,5982,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32450,4372,11921,4334,4653,2388623,2644871,12286744,21953515,18370512,27642357,79739406,77302136,68951365,51694000,75954000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1347858/000114420408071398/0001144204-08-071398-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420409066170/0001144204-09-066170-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420410064308/0001144204-10-064308-index.html,- -,https://www.sec.gov/Archives/edgar/data/1347858/000114420413015871/0001144204-13-015871-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420414004909/0001144204-14-004909-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420415006466/0001144204-15-006466-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420416083153/0001144204-16-083153-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420417013462/0001144204-17-013462-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420418013354/0001144204-18-013354-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420419012540/0001144204-19-012540-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000110465920031934/0001104659-20-031934-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000155837021002771/0001558370-21-002771-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000155837022002452/0001558370-22-002452-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-59786,-29672,-82146,-55469,-89933,-1353903,-6735281,-26153158,-15595358,-11031931,-11581430,-13029117,-7966911,-26558544,-19711000,-32609000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,179953,198406,144289,495296,774311,842179,946996,1342335,1425004,1527000,1536000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,376437,1224171,2361962,4524468,3585540,911382,941650,3187331,3539745,1654000,3983000
77,Change in Working Capital,16600,4830,-32146,-55469,-89933,-1723800,-1419112,10081424,1273618,-4041571,9556290,49760131,-7284267,-19060864,-15965118,-733000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61230,10238,-906074,85773,4433,-1292000,1574000
79,Inventory,- -,- -,- -,- -,- -,-369461,-552403,-175754,-620660,-701534,-531356,-129228,333588,-207593,-289000,-1164000
80,Accounts Payable,- -,- -,- -,- -,- -,-222660,705415,-629101,625389,86332,-136297,473804,323070,-732135,-936000,11000
81,Other Working Capital,-6013,-1183,-33329,-88798,-178731,-1902531,-3321643,6759781,8033399,3991828,13548118,63308249,56023982,36963118,20998000,-494000
82,Other Non-Cash Items,- -,-8705,71841,23347,147862,-928117,4967371,17421317,2719246,3391840,-9616001,-50688043,-7122754,26067295,16874118,4984000
83,Cash Provided by Operating Activities,-43186,-33547,-42451,-87591,-32004,-3449430,-1764445,3855834,-6582730,-7321811,-9887580,-12068383,-17844266,-14587364,-15621000,-22839000
84,CAPEX,- -,- -,- -,- -,- -,-607297,-162774,-3742789,-2389476,-450661,-553770,-1607114,-1105624,-1092665,-522000,-1071000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-950000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,-58979131,-34215994,-13841821,-22743000,-90407000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50466662,19320269,39728000,63749000
88,Other Investing Activites,-4330,- -,- -,- -,- -,-598191,-162774,-290336,-845505,-413180,-356541,-450208,-656985,-399185,-462000,-326000
89,Cash Used for Investing Activites,-4330,- -,- -,- -,- -,-607297,-162774,-3742789,-2707992,-450661,-553770,-60586245,15145044,4551933,16469000,-27729000
90,Debt Repayment,- -,- -,- -,- -,- -,-465709,-41000,-1959549,- -,-508258,-333333,-333334,-800000,-700000,-3732000,-2604000
91,Common Stock Issued,50000,- -,50000,- -,- -,- -,1467500,- -,9324088,5576083,20482378,50732200,- -,- -,- -,38206000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34500,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13650,5469,- -,80000,32327,4774375,248658,7676915,538722,96757,196,12447108,444613,10615617,3428000,15273000
95,Cash Used/Provided by Financing Activities,63650,5469,50000,80000,32327,4308666,1675158,5717366,9862810,5130082,20149241,62845974,-355387,9915617,-304000,50875000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16134,-28078,7549,- -,- -,251939,-252061,5830411,572088,-2642390,9707891,-9808654,-3054609,-119814,544000,307000
98,Cash at the End of Period,28120,42,7591,- -,323,252249,188,5830599,6402687,3760297,13468188,3659534,604925,485111,1029000,1336000
99,Cash at the Beginning of Period,11986,28120,42,7591,- -,310,252249,188,5830599,6402687,3760297,13468188,3659534,604925,485000,1029000
100,Free Cash Flow,-43186,-33547,-42451,-87591,-32004,-4056727,-1927219,113045,-8972206,-7772472,-10441350,-13675497,-18949890,-15680029,-16143000,-23910000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1347858/000114420408071398/0001144204-08-071398-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420409066170/0001144204-09-066170-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420410064308/0001144204-10-064308-index.html,- -,https://www.sec.gov/Archives/edgar/data/1347858/000114420413015871/0001144204-13-015871-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420414004909/0001144204-14-004909-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420415006466/0001144204-15-006466-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000114420416083153/0001144204-16-083153-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420417013462/0001144204-17-013462-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420418013354/0001144204-18-013354-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000114420419012540/0001144204-19-012540-index.html,https://www.sec.gov/Archives/edgar/data/1347858/000110465920031934/0001104659-20-031934-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000155837021002771/0001558370-21-002771-index.htm,https://www.sec.gov/Archives/edgar/data/1347858/000155837022002452/0001558370-22-002452-index.htm
102,false,,,,,,,,,,,,,,,,
