,https://roic.ai/company/HRTX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,-1700000,400000,1600000,-14400000,10700000,-900000,1400000,-700000,-1000000,-2800000,-400000,8972012,3549967,4720000,3257000,-1256000,5088000,-7717000,11202000,678000,612000,-78000,-513000,-972000,-1685000,-1438000,-56960000,14876000,7738000,-278550000,-21783000,208955000,32729000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-25000000,- -,- -,- -
91,Common Stock Issued,- -,- -,700000,700000,1100000,9600000,300000,6000000,2500000,7200000,5800000,2300000,400000,232176,65796,75000,83000,12012000,119000,79000,37256000,51000,7993000,30000,22787000,50491000,57802000,58916000,128199000,- -,306279000,363128000,162151000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1500000,1000000,9900000,-400000,4500000,7100000,-100000,-1500000,-2600000,200000,-3300044,- -,- -,- -,- -,- -,- -,- -,3000,20000,47000,1312000,3022000,3427000,3192000,9792000,57455000,12452000,19480000,24274000,9105000,156028000
95,Cash Used/Provided by Financing Activities,- -,- -,700000,2200000,2100000,19500000,-100000,10500000,9600000,7100000,4300000,-300000,600000,-3067868,65796,75000,83000,12012000,119000,79000,37256000,54000,8013000,77000,24099000,53513000,61229000,62108000,137991000,57455000,293731000,357608000,186425000,9105000,156028000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,2788142,-2875409,-336000,-3185000,3013000,-2320000,1543000,31177000,-23543000,-2374000,-5484000,15865000,35532000,18781000,388000,2505000,-61766000,131169000,-112747000,40062000,33240000,-14597000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,6493336,3617927,3282000,97000,3110000,790000,2333000,33510000,9967000,7593000,2109000,17974000,53506000,72287000,72675000,75180000,13414000,144583000,31836000,71898000,105138000,90541000
99,Cash at the Beginning of Period,- -,- -,7400000,2600000,1700000,1600000,2800000,1800000,2700000,5100000,5400000,8700000,4100000,3705194,6493336,3618000,3282000,97000,3110000,790000,2333000,33510000,9967000,7593000,2109000,17974000,53506000,72287000,72675000,75180000,13414000,144583000,31836000,71898000,105138000
100,Free Cash Flow,- -,- -,-4500000,-3600000,-3900000,-6300000,-12900000,-9200000,-9400000,-6800000,-2800000,-4200000,-900000,-3294968,-6767866,-5561000,-6776000,-7936000,-7843000,8994000,-17762000,-24573000,-11001000,-5561000,-8234000,-17981000,-42448000,-61720000,-79612000,-137232000,-172853000,-200976000,-131734000,-191633000,-202876000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818033/000119312508070784/d10k.htm,https://www.sec.gov/Archives/edgar/data/818033/000119312509068163/0001193125-09-068163-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312510055822/0001193125-10-055822-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312511078414/d10k.htm,https://www.sec.gov/Archives/edgar/data/818033/000119312512132146/0001193125-12-132146-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312513085823/0001193125-13-085823-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312514087658/d681090d10k.htm,https://www.sec.gov/Archives/edgar/data/818033/000119312515091072/d888999d10k.htm,https://www.sec.gov/Archives/edgar/data/818033/000119312516469890/0001193125-16-469890-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312517054088/0001193125-17-054088-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312518060951/0001193125-18-060951-index.html,https://www.sec.gov/Archives/edgar/data/818033/000119312519047780/0001193125-19-047780-index.html,https://www.sec.gov/Archives/edgar/data/818033/000156459020007973/0001564590-20-007973-index.html,https://www.sec.gov/Archives/edgar/data/818033/000156459021007841/0001564590-21-007841-index.htm,https://www.sec.gov/Archives/edgar/data/818033/000156459022007618/0001564590-22-007618-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
