,https://roic.ai/company/LNN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0425,0.0657,0.1210,0.1256,0.1277,0.1442,0.1528,0.1482,0.1530,0.1755,0.1895,0.2229,0.1551,0.1475,0.0900,0.1050,0.1150,0.0700,0.0392,0.0770,0.0856,0.1286,0.0611,0.1026,0.1180,0.1181,0.1553,0.1273,0.0835,0.0567,0.0689,0.0618,0.0047,0.1029,0.0888
22,Income Tax expense (Gain),700000,1200000,3800000,4500000,3700000,4700000,4900000,5500000,5400000,7400000,9900000,11200000,5400000,5935000,3440000,4650000,5900000,4480000,2112000,5709000,8513000,21706000,6716000,11920000,19712000,21831000,36737000,27143000,20442000,9021000,12536000,13576000,-65000,10214000,7814000
23,Net Income,1600000,3800000,7400000,8400000,8900000,11000000,10700000,11900000,11700000,16500000,20100000,23500000,12700000,13208000,7961000,10664000,12887000,9286000,4838000,11700000,15620000,39405000,13823000,24862000,36802000,43277000,70570000,51512000,26309000,20267000,23179000,20277000,2172000,38629000,42572000
24,Net Income ratio,0.0296,0.0499,0.0799,0.0818,0.0902,0.1010,0.1048,0.1056,0.1047,0.1211,0.1270,0.1509,0.1088,0.1018,0.0628,0.0731,0.0789,0.0472,0.0273,0.0518,0.0554,0.0829,0.0411,0.0694,0.0768,0.0785,0.1021,0.0834,0.0470,0.0392,0.0447,0.0370,0.0049,0.0814,0.0750
25,EPS,0.01,0.03,0.06,0.11,0.11,0.20,0.19,0.22,0.73,1.08,1.34,1.68,0.99,1.08,0.68,0.91,1.10,0.79,0.42,1.01,1.34,3.30,1.12,2.00,2.93,3.41,5.50,4.01,2.23,1.86,2.17,1.89,0.20,3.57,3.91
26,EPS Diluted,0.01,0.03,0.06,0.11,0.11,0.20,0.19,0.22,0.73,1.08,1.34,1.61,0.96,1.06,0.67,0.90,1.08,0.78,0.41,1.00,1.31,3.20,1.11,1.98,2.90,3.38,5.47,4.00,2.22,1.85,2.17,1.88,0.20,3.56,3.88
27,Weighted Average Shares Outstanding,15678000,15678000,15678000,15705000,15664000,15726000,15762000,15883000,15922379,15215164,15000000,13936000,12884000,12199000,11684000,11674000,11729000,11756000,11649000,11529000,11633000,11936000,12294000,12451000,12560000,12704000,12830000,12832000,11818000,10906000,10666000,10741000,10781000,10823000,10886000
28,Weighted Average Shares Outstanding Diluted,15678000,15678000,15678000,15705000,15664000,15726000,15762000,15883000,15922379,15277778,15000000,14556000,13285000,12503000,11900000,11858000,11896000,11947000,11801000,11712000,11964000,12324000,12461000,12585000,12692000,12810000,12901000,12882000,11855000,10930000,10694000,10772000,10810000,10861000,10985000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836157/000095013701504906/0000950137-01-504906-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836157/000095013706012293/0000950137-06-012293-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095013407023649/0000950134-07-023649-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095013708013285/0000950137-08-013285-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012309060738/0000950123-09-060738-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012310103822/0000950123-10-103822-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012311092356/0000950123-11-092356-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312512437101/0001193125-12-437101-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312513403973/0001193125-13-403973-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312514372388/0001193125-14-372388-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312515348274/0001193125-15-348274-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312516740910/0001193125-16-740910-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000083615717000035/0000836157-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459018024810/0001564590-18-024810-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012319009834/0000950123-19-009834-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459020047271/0001564590-20-047271-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459021051450/0001564590-21-051450-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,3100000,12800000,1900000,4200000,2400000,2000000,1700000,4500000,2400000,4200000,3800000,14200000,3105000,17575000,12425000,15368000,8973000,25564000,43344000,21022000,50760000,85929000,83418000,108167000,143444000,151927000,171842000,139093000,101246000,121620000,160787000,127204000,121403000,127107000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18200000,22894000,6845000,13289000,8770000,14802000,14101000,10179000,27591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19511000,19604000
33,Cash and Short-Term Investments,200000,3100000,12800000,1900000,4200000,2400000,2000000,1700000,4500000,2400000,4200000,3800000,32400000,25999000,24420000,25714000,24138000,23775000,39665000,53523000,48613000,50760000,85929000,83418000,108167000,143444000,151927000,171842000,139093000,101246000,121620000,160787000,127204000,140914000,146711000
34,Net Receivables,6100000,6200000,6500000,8500000,7300000,24100000,14700000,11100000,10400000,20100000,18900000,14100000,12900000,17589000,21316000,23385000,22970000,34369000,28919000,38115000,46968000,88410000,42862000,63629000,79006000,82565000,120291000,94135000,74063000,80610000,73850000,69107000,75551000,84604000,93609000
35,Inventory,7600000,9200000,6900000,9800000,9100000,4300000,4600000,6200000,5400000,7800000,10000000,10200000,7700000,11335000,10112000,15583000,20019000,19780000,19311000,26818000,41099000,53409000,46255000,45296000,49524000,52873000,68607000,71696000,74930000,74750000,86155000,79233000,92287000,104792000,145244000
36,Other Current Assets,1500000,700000,1100000,18500000,18700000,5000000,18200000,17400000,23400000,27600000,16700000,22600000,3900000,3270000,2638000,3355000,3311000,3448000,6318000,3947000,13098000,16042000,14483000,15668000,20996000,19983000,27966000,36385000,34081000,35518000,11309000,21924000,18448000,17625000,30539000
37,Total Current Assets,15400000,19200000,27300000,38700000,39300000,35800000,39500000,36400000,43700000,57900000,49800000,50700000,56900000,58193000,58486000,68037000,70438000,81372000,94213000,122403000,149778000,208621000,189529000,208011000,257693000,298865000,368791000,374058000,322167000,292124000,292934000,331051000,313490000,347935000,416103000
38,PP&E,3400000,4600000,4400000,4700000,5400000,6000000,5600000,5600000,7200000,9700000,11300000,14100000,15400000,15938000,14893000,14512000,13889000,16355000,17268000,26981000,44292000,57571000,59641000,57646000,58465000,56180000,65064000,72457000,78656000,77627000,74498000,57248000,68968000,107038000,110278000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11129000,16845000,24430000,24174000,27395000,30943000,29961000,37414000,37021000,76801000,76803000,77131000,64671000,64387000,68004000,67968000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21232000,25830000,30808000,29100000,27715000,28639000,25070000,36007000,31980000,51920000,47200000,42808000,27377000,24382000,23477000,20367000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32361000,42675000,55238000,53274000,55110000,59582000,55031000,73421000,69001000,128721000,124003000,119939000,92048000,88769000,91481000,88335000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5311000,6645000,11758000,9935000,8113000
44,Other Non-Current Assets,200000,200000,- -,3500000,15700000,29600000,34800000,46400000,35200000,29200000,46900000,44100000,28100000,21685000,26877000,30134000,46893000,41274000,23358000,10142000,5460000,5447000,5453000,4714000,5404000,5455000,5020000,11035000,6924000,5811000,13350000,13264000,17329000,14137000,14356000
45,Total Non-Current Assets,3600000,4800000,4400000,8200000,21100000,35600000,40400000,52000000,42400000,38900000,58200000,58200000,43500000,37623000,41770000,44646000,60782000,57629000,40626000,69831000,92427000,118256000,118368000,117470000,123451000,116666000,143505000,152493000,214301000,207441000,213098000,169205000,186824000,222591000,221082000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19000000,24000000,31700000,46900000,60400000,71400000,79900000,88400000,86100000,96800000,108000000,108900000,100400000,95816000,100256000,112683000,131220000,139001000,134839000,192234000,242205000,326877000,307897000,325481000,381144000,415531000,512296000,526551000,536468000,499565000,506032000,500256000,500314000,570526000,637185000
48,Accounts Payable,- -,- -,- -,- -,5300000,5600000,7700000,4300000,4300000,5900000,5000000,4900000,4100000,4556000,5590000,6068000,8228000,9117000,6704000,9565000,18367000,32818000,20008000,26501000,32153000,31372000,42276000,42424000,38814000,32268000,36717000,30530000,29434000,29554000,45209000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,4286000,6171000,6171000,6171000,4286000,4286000,4285000,- -,- -,193000,197000,201000,205000,209000,5318000,4208000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8922000,4034000,4210000,2813000,1293000,1469000,3726000,1072000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16345000,9307000,10993000,10262000,8928000,17748000,19118000,39516000
52,Other Current Liabilities,11800000,15400000,15200000,22200000,21600000,20600000,16000000,14700000,11600000,12800000,14400000,11800000,12600000,11914000,11234000,13640000,16053000,15359000,13434000,23619000,26964000,43458000,33008000,36295000,42880000,44781000,59816000,57598000,46798000,44412000,44857000,40431000,34740000,48405000,49307000
53,Total Current Liabilities,11800000,15400000,15200000,22200000,26900000,26200000,23700000,19000000,15900000,18700000,19500000,16800000,16800000,16470000,16824000,19708000,24281000,24476000,20138000,37470000,51502000,82447000,59187000,67082000,79319000,80438000,102092000,116367000,95112000,87870000,92037000,80094000,82131000,102395000,138240000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,100000,- -,- -,- -,- -,- -,- -,- -,25714000,31796000,25625000,19454000,8571000,4285000,- -,- -,- -,117173000,116976000,116775000,116570000,115846000,141544000,133815000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9860000,11786000,10391000,10816000,12550000,9984000,15415000,12992000,18971000,13263000,1191000,1083000,872000,889000,832000
57,Other Non-Current Liabilities,400000,600000,500000,700000,700000,800000,700000,1300000,1500000,1300000,1200000,1100000,900000,1914000,2016000,2311000,2648000,2341000,5371000,8150000,8019000,11118000,11207000,9405000,9325000,14271000,14151000,14545000,16652000,29889000,25974000,25643000,33256000,27180000,25853000
58,Total Non-Current Liabilities,400000,600000,500000,700000,700000,800000,700000,1300000,1500000,1300000,1500000,1200000,900000,1914000,2016000,2311000,2648000,2341000,5371000,33864000,49675000,48529000,41052000,28792000,26160000,24255000,29566000,27537000,152796000,160128000,143940000,143296000,149974000,169613000,160500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30985000,22292000
61,Total Liabilities,12200000,16000000,15700000,22900000,27600000,27000000,24400000,20300000,17400000,20000000,21000000,18000000,17700000,18384000,18840000,22019000,26929000,26817000,25509000,71334000,101177000,130976000,100239000,95874000,105479000,104693000,131658000,143904000,247908000,247998000,235977000,223390000,232105000,272008000,298740000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,17310000,17368000,17430000,17460000,17494000,17568000,17600000,17744000,18055000,18129000,18185000,18374000,18421000,18571000,18636000,18684000,18713000,18780000,18841000,18870000,18918000,18991000
64,Retained Earnings,20500000,1800000,9800000,18200000,27100000,38100000,48900000,60700000,72400000,88000000,106600000,123800000,134700000,146216000,152541000,161574000,174333000,181209000,183444000,192319000,204750000,239676000,249588000,270272000,302732000,341115000,405580000,445366000,458903000,466926000,477615000,484886000,474740000,499724000,528130000
65,Other Comprehensive Income/Loss,-14000000,-14700000,-15000000,-15700000,-15700000,-15700000,-16900000,-16900000,-18500000,-19600000,-20200000,-21800000,-23700000,-26053000,-28560000,-33035000,-88000,413000,1175000,1632000,2549000,5093000,2995000,1355000,6462000,-877000,-2316000,-2201000,-15308000,-14172000,-12108000,-18088000,-19847000,-20572000,-17933000
66,Other Total Stockholders Equity,300000,20900000,21200000,21500000,21400000,22000000,23500000,24300000,14800000,8400000,600000,- -,- -,- -,- -,- -,-87414000,-86932000,-92857000,-90651000,-84015000,-66923000,-63054000,-60205000,-51903000,-47821000,-41197000,-79154000,-173719000,-219900000,-214232000,-208773000,-205554000,-199552000,-190743000
67,Total Stockholders Equity,6800000,8000000,16000000,24000000,32800000,44400000,55500000,68100000,68700000,76800000,87000000,90900000,82700000,77432000,81416000,90664000,104291000,112184000,109330000,120900000,141028000,195901000,207658000,229607000,275665000,310838000,380638000,382647000,288560000,251567000,270055000,276866000,268209000,298518000,338445000
68,Total Liabilities And Stockholders Equity,19000000,24000000,31700000,46900000,60400000,71400000,79900000,88400000,86100000,96800000,108000000,108900000,100400000,95816000,100256000,112683000,131220000,139001000,134839000,192234000,242205000,326877000,307897000,325481000,381144000,415531000,512296000,526551000,536468000,499565000,506032000,500256000,500314000,570526000,637185000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19000000,24000000,31700000,46900000,60400000,71400000,79900000,88400000,86100000,96800000,108000000,108900000,100400000,95816000,100256000,112683000,131220000,139001000,134839000,192234000,242205000,326877000,307897000,325481000,381144000,415531000,512296000,526551000,536468000,499565000,506032000,500256000,500314000,570526000,637185000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836157/000095013701504906/0000950137-01-504906-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836157/000095013706012293/0000950137-06-012293-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095013407023649/0000950134-07-023649-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095013708013285/0000950137-08-013285-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012309060738/0000950123-09-060738-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012310103822/0000950123-10-103822-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012311092356/0000950123-11-092356-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312512437101/0001193125-12-437101-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312513403973/0001193125-13-403973-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312514372388/0001193125-14-372388-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312515348274/0001193125-15-348274-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000119312516740910/0001193125-16-740910-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000083615717000035/0000836157-17-000035-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459018024810/0001564590-18-024810-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000095012319009834/0000950123-19-009834-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459020047271/0001564590-20-047271-index.htm,https://www.sec.gov/Archives/edgar/data/836157/000156459021051450/0001564590-21-051450-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,8400000,8900000,11000000,10700000,11900000,11700000,16500000,20100000,23500000,12700000,13208000,7961000,10664000,12887000,9286000,4838000,11700000,15620000,39405000,13823000,24862000,36802000,43277000,70570000,51512000,26309000,20267000,23179000,20277000,2172000,38629000,42572000
74,Depreciation and Amortization,- -,- -,- -,900000,900000,1000000,1200000,1500000,1600000,1800000,2200000,2500000,2800000,2931000,3048000,3190000,3380000,3118000,3729000,4285000,7199000,9238000,10442000,10710000,11734000,12468000,12600000,14793000,16412000,16881000,16678000,16514000,14018000,19396000,19177000
75,Deferred Income Tax,- -,- -,- -,-1400000,-1000000,-100000,400000,-100000,700000,-600000,-1200000,700000,100000,697000,942000,-242000,1388000,1034000,-1140000,-3689000,-2630000,-886000,-1226000,-1500000,-2828000,-3868000,-3237000,-8195000,278000,-5755000,-903000,-50000,-2891000,1384000,1911000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2140000,2206000,3474000,3939000,4573000,4207000,3332000,3060000,3598000,3891000,4195000,5616000,6186000
77,Change in Working Capital,- -,- -,- -,1100000,-4100000,-2800000,6200000,1600000,10400000,11400000,-8900000,3600000,6200000,1623000,-61000,6667000,-2172000,10739000,17179000,10858000,13343000,27898000,4168000,10587000,37445000,40053000,48272000,-9008000,-30636000,-22801000,-3357000,50060000,-19598000,14181000,-23887000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-2900000,700000,4800000,-300000,-1600000,900000,-2400000,-2200000,-200000,2500000,-3578000,2898000,-2720000,-2578000,920000,828000,-2030000,-10925000,-7959000,7726000,827000,-1826000,-5609000,-10020000,-2724000,915000,1330000,-10092000,-8173000,-16187000,-14039000,-38158000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12116000,6739000,4780000,723000,9188000,-623000,-337000,-7101000,4076000,159000,2119000,-691000,17993000
81,Other Working Capital,- -,- -,- -,16500000,12400000,9600000,15800000,17400000,27800000,39200000,30300000,33900000,40100000,41723000,41662000,48329000,46157000,56896000,74075000,84933000,98276000,126174000,130342000,140929000,178374000,218427000,266699000,257691000,227055000,204254000,200897000,250957000,231359000,245540000,-2488000
82,Other Non-Cash Items,- -,- -,- -,100000,10900000,5500000,-15700000,-4900000,-11900000,-19300000,9100000,-1300000,-2200000,-10397000,-1853000,-8716000,-176000,-22972000,-12828000,-8758000,-23408000,-45142000,28148000,-23032000,-43572000,-43430000,-75273000,38489000,32987000,21420000,254000,-56758000,5901000,-33172000,-1991000
83,Cash Provided by Operating Activities,- -,- -,- -,9100000,15600000,14600000,2800000,10000000,12500000,9800000,21300000,29000000,19600000,8062000,10037000,11563000,15307000,1205000,11778000,14396000,10124000,30513000,57495000,23833000,43055000,52439000,57505000,91798000,48682000,33072000,39449000,33934000,3797000,46034000,43968000
84,CAPEX,- -,- -,- -,-1200000,-1700000,-1700000,-900000,-1300000,-2800000,-4000000,-3300000,-5100000,-4000000,-3464000,-2929000,-2217000,-1918000,-5037000,-4122000,-3592000,-14647000,-14093000,-10500000,-5784000,-8405000,-9890000,-11136000,-17715000,-15244000,-11496000,-8863000,-11054000,-23211000,-21445000,-26511000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-545000,-1985000,-4813000,- -,-1025000,- -,-34428000,-16705000,-21028000,-3076000,-6436000,-6180000,- -,-29007000,- -,-69521000,- -,- -,29888000,- -,-3034000,- -
