,https://roic.ai/company/FTEK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-3000000,-2300000,-2400000,-2900000,-1800000,-2600000,500000,3000000,415000,-1633000,3057000,1120000,1572000,7588000,6826000,7243000,3602000,-2306000,1753000,6148000,2776000,5101000,-17725000,-12380000,-17388000,-10983000,-28000,-7852000,-4278000,82000
24,Net Income ratio,-30.0000,-23.0000,-12.0000,-14.5000,-9.0000,-26.0000,0.0193,0.0901,0.0189,-0.0924,0.0937,0.0313,0.0510,0.1434,0.0909,0.0902,0.0444,-0.0323,0.0214,0.0656,0.0284,0.0467,-0.2243,-0.1681,-0.3152,-0.2432,-0.0005,-0.2577,-0.1897,0.0034
25,EPS,-0.29,-0.21,-0.20,-0.23,-0.15,-0.21,0.03,0.17,0.02,-0.09,0.16,0.06,0.08,0.38,0.32,0.33,0.15,-0.10,0.07,0.26,0.12,0.23,-0.78,-0.54,-0.74,-0.46,-0.00,-0.32,-0.17,0.00
26,EPS Diluted,-0.29,-0.21,-0.20,-0.23,-0.15,-0.21,0.03,0.16,0.02,-0.09,0.14,0.05,0.07,0.33,0.28,0.29,0.15,-0.10,0.07,0.25,0.12,0.23,-0.78,-0.54,-0.74,-0.46,-0.00,-0.32,-0.17,0.00
27,Weighted Average Shares Outstanding,10344828,10952381,12000000,12608696,12000000,12380952,16666667,17752000,18396000,18592000,19350000,19637000,19517000,20043000,21491000,22280000,23608000,24148000,24213000,24095000,22709000,22286000,22782000,23101000,23365000,23872000,24164000,24202000,24691000,29585000
28,Weighted Average Shares Outstanding Diluted,10344828,10952381,12000000,12608696,12000000,12380952,16666667,19335000,19621000,18592000,22437000,22412000,22155000,23066000,24187000,24720000,24590000,24148000,24405000,24633000,23535000,22579000,22782000,23101000,23365000,23872000,24164000,24202000,24691000,29694000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846913/000114420407011461/0001144204-07-011461-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000114420408013492/0001144204-08-013492-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000114420409012197/0001144204-09-012197-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000095012310021077/0000950123-10-021077-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000095012311023713/0000950123-11-023713-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000119312512096880/0001193125-12-096880-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000119312513112499/0001193125-13-112499-index.html,https://www.sec.gov/Archives/edgar/data/846913/000084691314000014/0000846913-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691315000026/0000846913-15-000026-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691316000116/0000846913-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691317000025/0000846913-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691318000031/0000846913-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691319000020/0000846913-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691320000019/0000846913-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774921006048/0001437749-21-006048-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774922005551/0001437749-22-005551-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,8987000,9338000,10939000,7812000,6531000,10375000,24405000,30473000,28149000,20965000,30524000,28229000,24453000,27738000,18637000,21684000,11826000,8366000,12039000,10914000,10640000,35893000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,8000000,1998000,- -,- -,- -,57000,44000,30000,36000,19000,9000,6000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,8987000,9338000,10939000,7812000,6531000,16375000,32405000,32471000,28149000,20965000,30524000,28286000,24497000,27768000,18673000,21703000,11835000,8372000,12039000,10914000,10640000,35893000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,7550000,5368000,8849000,6095000,7358000,12184000,16724000,31856000,23365000,17877000,21175000,35470000,30325000,38381000,32507000,24917000,18877000,19819000,18517000,6473000,6548000,3259000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,162000,274000,420000,312000,311000,358000,203000,186000,1014000,450000,807000,311000,513000,443000,1111000,1653000,1012000,945000,957000,264000,97000,348000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1019000,583000,744000,795000,1460000,4115000,6888000,3350000,5485000,3130000,1950000,2189000,4529000,2673000,6047000,4128000,8911000,4612000,9204000,3959000,3788000,1965000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,17718000,15563000,20952000,15014000,15660000,33032000,56220000,67863000,58013000,42422000,54456000,66256000,59864000,69265000,58338000,52401000,40635000,33748000,40717000,21610000,21073000,41465000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1584000,1756000,2123000,2127000,2863000,4045000,4051000,11302000,17515000,15549000,14384000,13625000,13749000,13027000,13527000,12001000,10920000,6272000,5976000,6642000,5614000,4851000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,2126000,- -,- -,- -,- -,2119000,2119000,5158000,21051000,21051000,21051000,21051000,21051000,2116000,2116000,2116000,2116000,2116000,2116000,2116000,2116000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2908000,411000,2119000,3393000,3461000,3343000,1156000,1088000,2543000,6749000,6050000,5442000,4838000,4305000,10464000,7144000,3451000,1671000,1164000,906000,553000,448000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2908000,2537000,2119000,3393000,3461000,3343000,3275000,3207000,7701000,27800000,27101000,26493000,25889000,25356000,12580000,9260000,5567000,3787000,3280000,3022000,2669000,2564000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144000,1579000,885000,2552000,2412000,4183000,5000000,3798000,3688000,- -,5649000,992000,- -,- -,- -,- -,- -,139000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,879000,472000,675000,1064000,700000,1027000,1229000,2290000,3232000,2308000,2262000,2818000,2707000,2410000,1377000,1357000,666000,6677000,1746000,950000,732000,955000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5371000,4765000,4917000,6584000,8168000,9994000,9440000,19351000,30860000,49840000,48747000,46734000,46033000,40793000,33133000,23610000,17153000,16736000,11002000,10614000,9015000,8509000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,23089000,20328000,25869000,21598000,23828000,43026000,65660000,87214000,88873000,92262000,103203000,112990000,105897000,110058000,91471000,76011000,57788000,50484000,51719000,32224000,30088000,49974000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2480000,1978000,5065000,2244000,2705000,6493000,7632000,13632000,8196000,5824000,7516000,10476000,12828000,9920000,7310000,8942000,6303000,9065000,9499000,2117000,2353000,1561000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,900000,2700000,- -,- -,- -,- -,- -,2051000,2188000,2925000,2269000,1181000,- -,1636000,1625000,- -,- -,- -,- -,300000,149000,226000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1796000,1705000,1940000,1744000,1663000,6949000,9873000,7037000,3283000,3095000,8026000,10973000,8118000,9090000,9715000,7594000,7747000,6658000,7662000,2495000,3028866,1436000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5176000,6702000,7005000,3988000,4368000,13442000,17505000,22720000,13667000,11844000,17811000,22630000,20946000,20646000,18650000,16536000,14050000,15723000,17161000,4912000,5531000,3223000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2700000,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1556000,122000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,- -,- -,- -,- -,171000,171000,134000,139000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,646000,491000,259000,299000,505000,448000,500000,1255000,1389000,2196000,1482000,1347000,715000,730000,520000,501000,346000,420000,335000,966000,546000,151000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3346000,491000,2059000,299000,505000,448000,500000,1255000,1389000,2196000,1482000,1347000,715000,789000,520000,501000,346000,420000,506000,1137000,2236000,551000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,980000,386000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8522000,7193000,9064000,4287000,4873000,13890000,18005000,23975000,15056000,14040000,19293000,23977000,21661000,21435000,19170000,17037000,14396000,16143000,17667000,6049000,7767000,3774000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,185000,190000,196000,196000,195000,204000,221000,224000,241000,242000,242000,237000,221000,227000,230000,234000,238000,248000,248000,254000,262000,312000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-74574000,-76207000,-73150000,-72030000,-70458000,-62870000,-56044000,-48882000,-45280000,-47828000,-46075000,-44031000,-49128000,-44027000,-61752000,-74132000,-91520000,-102503000,-102495000,-110325000,-114603000,-114549000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-4489000,-4222000,542000,580000,618000,243000,356000,438000,268000,269000,243000,381000,-392000,37000,-448000,-1556000,-1568000,-768000,-1285000,-1778000,-1370000,-1604000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,93445000,93374000,89217000,88565000,88600000,91559000,103122000,111459000,118588000,125539000,129500000,132426000,133535000,132386000,134271000,134428000,136242000,137364000,137584000,138024000,138032000,162041000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,14567000,13135000,16805000,17311000,18955000,29136000,47655000,63239000,73817000,78222000,83910000,89013000,84236000,88623000,72301000,58974000,43392000,34341000,34052000,26175000,22321000,46200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,23089000,20328000,25869000,21598000,23828000,43026000,65660000,87214000,88873000,92262000,103203000,112990000,105897000,110058000,91471000,76011000,57788000,50484000,51719000,32224000,30088000,49974000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,23089000,20328000,25869000,21598000,23828000,43026000,65660000,87214000,88873000,92262000,103203000,112990000,105897000,110058000,91471000,76011000,57788000,50484000,51719000,32224000,30088000,49974000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846913/000114420407011461/0001144204-07-011461-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000114420408013492/0001144204-08-013492-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000114420409012197/0001144204-09-012197-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000095012310021077/0000950123-10-021077-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000095012311023713/0000950123-11-023713-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000119312512096880/0001193125-12-096880-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000119312513112499/0001193125-13-112499-index.html,https://www.sec.gov/Archives/edgar/data/846913/000084691314000014/0000846913-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691315000026/0000846913-15-000026-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691316000116/0000846913-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691317000025/0000846913-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691318000031/0000846913-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691319000020/0000846913-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000084691320000019/0000846913-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774921006048/0001437749-21-006048-index.htm,https://www.sec.gov/Archives/edgar/data/846913/000143774922005551/0001437749-22-005551-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3000000,-2300000,-2400000,-2900000,-1800000,-2600000,500000,3000000,415000,-1633000,3057000,1120000,1572000,7588000,6826000,7243000,3602000,-2306000,1753000,6148000,2776000,5101000,-17725000,-12380000,-17388000,-10983000,-28000,-7852000,-4278000,82000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,400000,800000,983000,1144000,943000,1112000,1362000,1693000,2079000,2468000,2994000,5108000,4081000,3720000,3089000,3014000,4306000,4205000,3500000,1527000,847000,996000,848000,584000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1520000,-2978000,-1235000,1716000,962000,-1492000,-588000,793000,-458000,1252000,-9524000,4916000,1196000,- -,2000,- -,-38000,5000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6011000,4179000,2810000,1306000,1798000,2322000,1809000,1991000,1389000,233000,574000,290000,82000
77,Change in Working Capital,100000,- -,- -,- -,- -,- -,- -,12542000,-3681000,5086000,-2921000,266000,8298000,19125000,6428000,-797000,-13768000,6067000,6981000,-4708000,9701000,-8931000,-3823000,-9280000,-8560000,5531000,-6858000,-1156000,22752000,-52000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5488000,-3365000,-13279000,4249000,-6970000,6117000,7880000,3522000,113000,848000,11415000,1095000,3794000
79,Inventory,- -,- -,- -,- -,- -,- -,400000,100000,-459000,422000,-214000,-382000,- -,-47000,155000,17000,-828000,563000,-354000,504000,-202000,77000,-616000,-560000,446000,-134000,-108000,818000,171000,-252000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2372000,1765000,2914000,2327000,-2968000,-3600000,1817000,-2445000,2500000,521000,-7331000,198000,-772000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,12542000,8861000,13947000,11026000,11292000,19590000,38715000,45143000,44346000,30578000,36645000,43626000,38918000,48619000,39688000,35865000,26585000,18025000,23556000,16698000,15542000,38294000,38242000
82,Other Non-Cash Items,1100000,200000,300000,-700000,300000,1400000,-1400000,-11342000,3749000,-2537000,1922000,-839000,-8998000,-13897000,-5939000,-6531000,14257000,139000,-4216000,-3905000,-7747000,608000,29879000,17658000,16523000,-1032000,10731000,4051000,-22281000,60000
83,Cash Provided by Operating Activities,-1800000,-2100000,-2100000,-3600000,-1500000,-1200000,-500000,5000000,1466000,2060000,3001000,1659000,714000,11531000,8159000,4099000,8047000,13527000,12190000,4858000,8667000,2842000,5435000,6928000,-2738000,-3568000,4927000,-3387000,-2707000,761000
84,CAPEX,- -,- -,-100000,- -,- -,- -,-400000,-2800000,-774000,-1016000,-1338000,-1024000,-2080000,-2792000,- -,-9715000,-9839000,-2004000,-2206000,-2408000,-2534000,-1754000,-5818000,-802000,-940000,-492000,-570000,-550000,-247000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1348000,- -,- -,- -,- -,-3928000,-20185000,- -,- -,- -,- -,-8079000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,-4017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6002000,1998000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-700000,-2400000,- -,2000000,- -,200000,1600000,- -,-219000,-125000,267000,- -,13000,- -,- -,- -,- -,-200000,200000,2000,- -,- -,-3010000,26000,2000,2000,-569000,-550000,-247000,-84000
89,Cash Used for Investing Activites,-700000,-2400000,-100000,2000000,-1600000,1800000,1200000,-2800000,-993000,-1141000,-1071000,-2372000,-2067000,-6292000,-4017000,-3713000,-11769000,-22389000,-2006000,-2406000,-2534000,-1754000,-13897000,-776000,-938000,-490000,-569000,-550000,-247000,-84000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-737000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-570,-52000
91,Common Stock Issued,200000,6300000,- -,- -,- -,- -,3100000,200000,339000,406000,535000,323000,34000,1230000,3826000,2062000,692000,86000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25812000
92,Common Stock Repurchased,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-40000,- -,-975000,- -,- -,- -,- -,- -,- -,- -,-4111000,-7928000,-447000,-304000,-252000,-172000,-258000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,4900000,- -,- -,- -,- -,- -,800000,-675000,-900000,-900000,-1800000,- -,- -,5944000,3533000,685000,1510000,5000,-709000,-1187000,2492000,7000,-1623000,-6020000,- -,-12000,-128000,1282570,-1783000
95,Cash Used/Provided by Financing Activities,- -,11200000,- -,- -,- -,- -,3100000,1000000,-336000,-534000,-365000,-2452000,34000,1230000,9770000,5595000,1377000,1596000,-732000,-4820000,-9115000,2045000,- -,-1875000,-6192000,-258000,-12000,-128000,1282000,23977000
96,Effect of Forex Changes on Cash,-100000,- -,- -,- -,- -,- -,100000,-100000,-109000,-34000,36000,38000,38000,-125000,118000,87000,21000,82000,107000,73000,-794000,152000,-639000,-1230000,10000,856000,-673000,-998000,777000,-206000
97,Net Change In Cash,- -,11200000,- -,- -,- -,- -,3900000,3200000,28000,351000,1601000,-3127000,-1281000,6344000,14030000,6068000,-2324000,-7184000,9559000,-2295000,-3776000,3285000,-9101000,3047000,-9858000,-3460000,3673000,-4558000,-895000,24448000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,5800000,9000000,8987000,9338000,10939000,7812000,6531000,10375000,24405000,30473000,28149000,20965000,30524000,28229000,24453000,27738000,18637000,21684000,11826000,8366000,18059000,13501000,12606000,37054000
99,Cash at the Beginning of Period,4000000,1400000,8000000,5900000,4400000,1300000,1900000,5800000,8959000,8987000,9338000,10939000,7812000,4031000,10375000,24405000,30473000,28149000,20965000,30524000,28229000,24453000,27738000,18637000,21684000,11826000,14386000,18059000,13501000,12606000
100,Free Cash Flow,-1800000,-2100000,-2200000,-3600000,-1500000,-1200000,-900000,2200000,692000,1044000,1663000,635000,-1366000,8739000,8159000,-5616000,-1792000,11523000,9984000,2450000,6133000,1088000,-383000,6126000,-3678000,-4060000,4357000,-3937000,-2954000,761000
