,https://roic.ai/company/INSM,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,8793414,31161000,40482000,36446000,10736000,27562000,27565000,55364000,27968000,26110000,19047000,15013000,40146000,42438000,66515000,87365000,117493000,173400000,188920000,317173000,371712000,429645000,556221000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1256000,781000,109000,10000,763000,2412000,2415000,2889000,3498000,5925000,25472000,26308000,28167000,38583000
14,Depreciation and Amortization,86574,789000,1542000,346000,96000,34000,12897000,3369000,406000,1043000,707000,54000,343000,561000,680000,1073000,1982000,2438000,2901000,4826000,10541000,14150000,14182000
15,EBITDA,-7706110,-78873000,-35627000,-36071000,-10202000,-27169000,-28032000,-52770000,-19556000,-13368000,120315000,-6193000,-59311000,-41877000,-54202000,-86292000,-115511000,-170962000,-186019000,-293778000,-216711000,-250371000,-383647000
16,EBITDA ratio,-11.6203,-1314.5500,-120.3615,-18.4506,-68.0133,-198.3139,-213.9847,-53.2492,-2.5974,-1.1427,11.5989,-0.8948,-13.4279,-Infinity,-4.7132,-Infinity,-Infinity,-Infinity,-Infinity,-29.8707,-1.5880,-1.5228,-2.0357
17,Operating Income,-8130252,-81535000,-40186000,-37024000,-10586000,-27425000,-27434000,-54373000,-20439000,-14411000,-8674000,-8092000,-61719000,-42438000,-55015000,-87365000,-117493000,-173400000,-188920000,-307338000,-235245000,-265232000,-375094000
18,Operating Income ratio,-12.2598,-1358.9167,-135.7635,-18.9381,-70.5733,-200.1825,-209.4198,-54.8668,-2.7147,-1.2318,-0.8362,-1.1692,-13.9731,-Infinity,-4.7839,-Infinity,-Infinity,-Infinity,-Infinity,-31.2494,-1.7238,-1.6132,-1.9903
19,Total Other Income Expenses (Gains),- -,1873000,3017000,607000,-119000,- -,- -,-7103000,- -,-500000,127501000,1736000,2055000,1064000,-2279000,-2216000,-2661000,-2775000,-4001000,-16738000,-18315000,-27456000,-61318000
20,Income Before Tax,- -,-79662000,-37169000,-36417000,- -,- -,- -,- -,- -,- -,118827000,-6356000,-59664000,-41374000,-57294000,-89581000,-120154000,-176175000,-192921000,-324076000,-253560000,-292688000,-436412000
21,Income Before Tax Ratio,- -,-1327.7000,-125.5709,-18.6276,- -,- -,- -,- -,- -,- -,11.4554,-0.9184,-13.5078,-Infinity,-4.9821,-Infinity,-Infinity,-Infinity,-Infinity,-32.9513,-1.8580,-1.7802,-2.3157
22,Income Tax expense (Gain),- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,477000,78000,- -,- -,-1221000,-10422000,-1971000,98000,-272000,201000,777000,1402000,-1758000
23,Net Income,-7792684,-79862000,-37169000,-36417000,-10298000,-27203000,-40929000,-56139000,-19962000,-15667000,118350000,-6434000,-59664000,-41374000,-56073000,-79159000,-118183000,-176273000,-192649000,-324277000,-254337000,-294090000,-434654000
24,Net Income ratio,-11.7508,-1331.0333,-125.5709,-18.6276,-68.6533,-198.5620,-312.4351,-56.6488,-2.6513,-1.3392,11.4094,-0.9296,-13.5078,-Infinity,-4.8759,-Infinity,-Infinity,-Infinity,-Infinity,-32.9717,-1.8637,-1.7887,-2.3063
25,EPS,-86.40,-43.60,-11.30,-11.00,-2.90,-6.90,-8.40,-5.90,-1.70,-1.30,9.30,-0.49,-2.95,-1.56,-1.60,-1.84,-2.02,-2.85,-2.89,-4.22,-3.01,-3.01,-3.88
26,EPS Diluted,-86.40,-43.60,-11.30,-11.00,-2.90,-6.90,-8.40,-5.90,-1.70,-1.30,9.30,-0.49,-2.95,-1.56,-1.60,-1.84,-2.02,-2.85,-2.89,-4.22,-3.01,-3.01,-3.88
27,Weighted Average Shares Outstanding,90152,1831900,3287100,3306600,3560000,3916000,4874200,9532100,11468200,12213200,12711500,13250000,23348000,26545000,34980000,43095000,58633000,61892000,66576000,76889000,84560000,97605000,112111000
28,Weighted Average Shares Outstanding Diluted,90152,1831900,3287100,3306600,3560000,3916000,4874200,9532100,11468200,12213200,12727000,13250000,23348000,26545000,34980000,43095000,58633000,61892000,66576000,76889000,84560000,97605000,112111000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1104506/000091664101000387/0000916641-01-000387-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104506/000091664103000829/0000916641-03-000829-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312504040365/0001193125-04-040365-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312505052742/0001193125-05-052742-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312506045468/0001193125-06-045468-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312507056486/0001193125-07-056486-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312508054197/0001193125-08-054197-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450609000004/0001104506-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450610000004/0001104506-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450611000016/0001104506-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000114036112015075/0001140361-12-015075-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000114036113012797/0001140361-13-012797-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746914001864/0001047469-14-001864-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746915001346/0001047469-15-001346-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746916010395/0001047469-16-010395-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746917000856/0001047469-17-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450618000002/0001104506-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450619000009/0001104506-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450620000007/0001104506-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450621000005/0001104506-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450622000008/0001104506-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,316901,71628000,51250000,27337000,29526000,9222000,18835000,24112000,16479000,2145000,12740000,10743000,14848000,90782000,113894000,159226000,282876000,162591000,381165000,495072000,487429000,532756000,716782000
32,Short-Term Investments,4318273,11455000,- -,- -,- -,- -,- -,- -,- -,252000,109441000,97306000,61424000,2153000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4635174,83083000,51250000,27337000,29526000,9222000,18835000,24112000,16479000,2397000,122181000,108049000,76272000,92935000,113894000,159226000,282876000,162591000,381165000,495072000,487429000,532756000,716782000
34,Net Receivables,- -,- -,3521000,199000,- -,- -,- -,241000,250000,122000,2268000,471000,757000,- -,- -,- -,- -,- -,- -,5515000,19232000,16562000,24351000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,576000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7032000,28313000,49592000,67009000
36,Other Current Assets,43207,1537000,278000,615000,225000,459000,368000,494000,244000,74000,159000,277000,370000,643000,2269000,5488000,5242000,5816000,8279000,11327000,20220000,23982000,28898000
37,Total Current Assets,4678381,84620000,55049000,28151000,29751000,9681000,19203000,25423000,16973000,2593000,124608000,108797000,77399000,93578000,116163000,164714000,288118000,168407000,389444000,518946000,555194000,622892000,837040000
38,PP&E,241367,1628000,1172000,157000,61000,27000,17000,8000,4000,- -,- -,1102000,1937000,1666000,1812000,7534000,8092000,10020000,12432000,22636000,113109000,97233000,95516000
39,Goodwill,- -,- -,15385000,- -,- -,- -,- -,- -,- -,- -,- -,6290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136110000
40,Intangible Assets,- -,16220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58200000,58200000,58200000,58200000,58200000,58200000,58200000,58675000,53682000,49261000,73809000
41,Intangible Assets,- -,16220000,15385000,- -,- -,- -,- -,- -,- -,- -,- -,6290000,58200000,58200000,58200000,58200000,58200000,58200000,58200000,58675000,53682000,49261000,209919000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2085000,2176000,2085000,- -,- -,- -,- -,- -,- -,- -,- -,- -,50043000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,375784,250000,- -,- -,- -,3303000,3650000,2917000,2523000,2165000,2000,77900000,212000,117000,323000,416000,2146000,1329000,1971000,4299000,20314000,26769000,50990000
45,Total Non-Current Assets,617151,18098000,16557000,157000,61000,3330000,3667000,2925000,2527000,2165000,2087000,87468000,62434000,59983000,60335000,66150000,68438000,69549000,72603000,85610000,187105000,173263000,406468000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5295532,102718000,71606000,28308000,29812000,13011000,22870000,28348000,19500000,4758000,126695000,196265000,139833000,153561000,176498000,230864000,356556000,237956000,462047000,604556000,742299000,796155000,1243508000
48,Accounts Payable,746682,3391000,4427000,941000,660000,2621000,968000,7187000,904000,1277000,312000,1450000,2334000,7060000,5929000,9249000,7468000,10439000,14671000,17741000,13184000,42853000,35784000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1261000,1615000,208000,81000,114000,3103000,3347000,- -,3113000,- -,- -,- -,12261000,12556000,10136000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,143000,310000,- -,- -,- -,- -,- -,470000,530000,552000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,87259,747000,5686000,2641000,2286000,2427000,3902000,2494000,1517000,1515000,1731000,1256000,2029000,5584000,7180000,10381000,11678000,17550000,29985000,61991000,59795000,63398000,89246000
53,Total Current Liabilities,833941,4138000,10256000,3892000,2946000,5048000,4870000,9681000,3682000,4877000,2781000,3339000,4477000,15747000,16456000,19630000,22259000,27989000,44656000,79732000,85240000,118807000,135166000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,6437000,3161000,2113000,487000,- -,- -,- -,16221000,16338000,24856000,22027000,54791000,55567000,316558000,335940000,392286000,602132000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1798000,1655000,968000,646000,728000,1034000,1626000,2217000,2217000,- -,83000,1089000,711000,380000,141000,572000,693000,765000,- -,59445000,9178000,95742000
58,Total Non-Current Liabilities,- -,1798000,1655000,968000,646000,728000,7471000,4787000,4330000,2704000,- -,83000,1089000,16932000,16718000,24997000,22599000,55484000,56332000,316558000,395385000,401464000,697874000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000,1203000,160000,64000,- -,- -,- -,- -,- -,61098000,48524000,45680000
61,Total Liabilities,833941,5936000,11911000,4860000,3592000,5776000,12341000,14468000,8012000,7581000,2781000,3422000,5566000,32679000,33174000,44627000,44858000,83473000,100988000,396290000,480625000,520271000,833040000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,38725,328000,329000,332000,384000,449000,665000,1013000,1219000,1225000,1302000,1565000,248000,315000,391000,498000,618000,620000,766000,773000,897000,1028000,1187000
64,Retained Earnings,-22780309,-102642000,-139811000,-176228000,-186526000,-213729000,-254658000,-310797000,-330759000,-346426000,-228076000,-234510000,-294174000,-335548000,-391621000,-470780000,-588963000,-765236000,-957885000,-1282162000,-1536499000,-1830589000,-2265243000
65,Other Comprehensive Income/Loss,-262267,-548000,-1152000,-354000,-450000,-484000,-494000,-503000,-242000,- -,445000,993000,450000,- -,-3562000,-3324000,-5306000,-65000,-3000,-9000,-10000,193000,968000
66,Other Total Stockholders Equity,27465442,199644000,200329000,199698000,212812000,220999000,265016000,324167000,341270000,342378000,350243000,423877000,427743000,456115000,538116000,659843000,905349000,919164000,1318181000,1489664000,1797286000,2105252000,- -
67,Total Stockholders Equity,4461591,96782000,59695000,23448000,26220000,7235000,10529000,13880000,11488000,-2823000,123914000,192843000,134267000,120882000,143324000,186237000,311698000,154483000,361059000,208266000,261674000,275884000,410468000
68,Total Liabilities And Stockholders Equity,5295532,102718000,71606000,28308000,29812000,13011000,22870000,28348000,19500000,4758000,126695000,196265000,139833000,153561000,176498000,230864000,356556000,237956000,462047000,604556000,742299000,796155000,1243508000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5295532,102718000,71606000,28308000,29812000,13011000,22870000,28348000,19500000,4758000,126695000,196265000,139833000,153561000,176498000,230864000,356556000,237956000,462047000,604556000,742299000,796155000,1243508000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1104506/000091664101000387/0000916641-01-000387-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104506/000091664103000829/0000916641-03-000829-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312504040365/0001193125-04-040365-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312505052742/0001193125-05-052742-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312506045468/0001193125-06-045468-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312507056486/0001193125-07-056486-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312508054197/0001193125-08-054197-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450609000004/0001104506-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450610000004/0001104506-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450611000016/0001104506-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000114036112015075/0001140361-12-015075-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000114036113012797/0001140361-13-012797-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746914001864/0001047469-14-001864-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746915001346/0001047469-15-001346-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746916010395/0001047469-16-010395-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746917000856/0001047469-17-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450618000002/0001104506-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450619000009/0001104506-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450620000007/0001104506-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450621000005/0001104506-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450622000008/0001104506-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7792684,-79862000,-37169000,-36417000,-10298000,-27203000,-40929000,-56139000,-19962000,-15667000,118350000,-6434000,-59664000,-41374000,-56073000,-79159000,-118183000,-176273000,-192649000,-324277000,-254337000,-294090000,-434654000
74,Depreciation and Amortization,86574,789000,1542000,346000,96000,34000,12897000,3369000,406000,1043000,707000,54000,343000,561000,680000,1073000,1982000,2438000,2901000,4826000,10541000,14150000,14182000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,850000,2542000,366000,1599000,2981000,8668000,11328000,15590000,18039000,18073000,26240000,26971000,36158000,46021000
77,Change in Working Capital,178512,76637560,-35689000,-20534000,2546000,-22172000,9700000,1409000,-2451000,-15575000,124111000,-16369000,-32536000,4909000,21876000,45377000,120775000,-125441000,204370000,94426000,30740000,34131000,-58580000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000,-123000,19000,-286000,757000,- -,- -,- -,- -,- -,-5515000,-13717000,2670000,-8118000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-576000,576000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7032000,-21281000,-21180000,-17456000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,373000,-965000,-2750000,884000,4726000,-1131000,3312000,-1781000,2767000,3604000,3870000,-4966000,29825000,-7575000
81,Other Working Capital,3844440,80482000,44793000,24259000,26805000,4633000,14333000,15742000,13291000,-2284000,121827000,105458000,72922000,77831000,99707000,145084000,265859000,140418000,344788000,439214000,469954000,504085000,4553000
82,Other Non-Cash Items,294262,-18980560,39536000,32522000,-3106000,24440000,-9433000,9157000,-3248000,17357000,-256722000,14661000,60053000,1911000,-21815000,-43035000,-120864000,134529000,-192312000,-59192000,-64564000,-9697000,69729000
83,Cash Provided by Operating Activities,-7233336,-21416000,-31780000,-24083000,-10762000,-24901000,-27765000,-42204000,-25255000,-11992000,-11012000,-7722000,-30205000,-31012000,-46664000,-64416000,-100700000,-146708000,-159617000,-257977000,-250649000,-219348000,-363302000
84,CAPEX,-109378,-1294000,-251000,- -,- -,- -,- -,-5020000,- -,- -,- -,- -,-979000,-290000,-826000,-5351000,-3454000,-4200000,-3001000,-14814000,-42268000,-6822000,-7289000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6704000
86,Purchases of Investments,-4329610,-19224000,- -,- -,- -,- -,- -,- -,-500000,- -,-108744000,-102462000,-1161000,-19657000,- -,- -,- -,- -,- -,- -,- -,- -,-50292000
87,Sales/Maturities of Investments,- -,12264000,11500000,- -,- -,- -,- -,- -,9066000,12673000,10000,115153000,36500000,81464000,2153000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3613000,- -,- -,- -,- -,- -,- -,- -,- -,127474000,- -,- -,5000,2000,10000,- -,- -,- -,-1724000,- -,-582000,- -
89,Cash Used for Investing Activites,-4438988,-4641000,11249000,- -,- -,- -,- -,-5020000,8566000,12673000,18740000,5958000,34360000,61522000,1329000,-5341000,-3454000,-4200000,-3001000,-14814000,-42268000,-6822000,-64285000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2211000,-1246000,-237000,-82000,-120000,-96000,-64000,- -,- -,- -,-57835000,- -,-936000,-225000000
91,Common Stock Issued,312141,97302000,153000,170000,12951000,8185000,4621000,52213000,17102000,121000,580000,- -,32000,25658000,67017000,109013000,222942000,- -,377656000,- -,261074000,245866000,269886000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,66000,- -,- -,- -,-3588000,32757000,288000,1020000,- -,3533000,4000,- -,19886000,1526000,6140000,4862000,30673000,3433000,444578000,24204000,26073000,567660000
95,Cash Used/Provided by Financing Activities,312141,97368000,153000,170000,12951000,4597000,37378000,52501000,18122000,-2090000,2867000,-233000,-50000,45424000,68447000,115089000,227804000,30673000,381089000,386743000,285278000,271003000,612546000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,103000,-45000,-4000,494000,-933000
97,Net Change In Cash,-11360183,71311000,-20378000,-23913000,2189000,-20304000,9613000,5277000,1433000,-1409000,10595000,-1997000,4105000,75934000,23112000,45332000,123650000,-120285000,218574000,113907000,-7643000,45327000,184026000
98,Cash at the End of Period,316901,71628000,51250000,27337000,29526000,9222000,18835000,24112000,3554000,2145000,12740000,10743000,14848000,90782000,113894000,159226000,282876000,162591000,381165000,495072000,487429000,532756000,716782000
99,Cash at the Beginning of Period,11677084,317000,71628000,51250000,27337000,29526000,9222000,18835000,2121000,3554000,2145000,12740000,10743000,14848000,90782000,113894000,159226000,282876000,162591000,381165000,495072000,487429000,532756000
100,Free Cash Flow,-7342714,-22710000,-32031000,-24083000,-10762000,-24901000,-27765000,-47224000,-25255000,-11992000,-11012000,-7722000,-31184000,-31302000,-47490000,-69767000,-104154000,-150908000,-162618000,-272791000,-292917000,-226170000,-370591000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1104506/000091664101000387/0000916641-01-000387-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104506/000091664103000829/0000916641-03-000829-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312504040365/0001193125-04-040365-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312505052742/0001193125-05-052742-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312506045468/0001193125-06-045468-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312507056486/0001193125-07-056486-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000119312508054197/0001193125-08-054197-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450609000004/0001104506-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450610000004/0001104506-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450611000016/0001104506-11-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000114036112015075/0001140361-12-015075-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000114036113012797/0001140361-13-012797-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746914001864/0001047469-14-001864-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746915001346/0001047469-15-001346-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746916010395/0001047469-16-010395-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000104746917000856/0001047469-17-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450618000002/0001104506-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450619000009/0001104506-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450620000007/0001104506-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450621000005/0001104506-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1104506/000110450622000008/0001104506-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
