,https://roic.ai/company/KLAC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2400,0.1871,0.1639,0.1474,0.1352,-0.0027,-0.0179,0.1130,0.2093,0.2247,0.2953,0.2193,0.2102,0.1168,0.2778,0.1245,0.2181,0.1904,0.2724,0.3331,0.2180,0.2885,0.2723,-0.2706,0.2378,0.3667,0.3532,0.2928,0.2974,0.2206,0.3512,0.3890,0.4045,0.3622,0.3146,0.4122
17,Operating Income,14400000,10000000,12200000,18100000,12900000,5000000,-13600000,11400000,40100000,107300000,177500000,145800000,164600000,-10300000,311541000,458468000,244893000,138722000,297358000,582562000,309791000,589868000,499376000,-577941000,314166000,1160330000,1016325000,729685000,772070000,661340000,960445000,1276261000,1537194000,1389373000,1758850000,2488480000
18,Operating Income ratio,0.1745,0.1134,0.1081,0.1094,0.0768,0.0337,-0.0872,0.0682,0.1645,0.2425,0.2554,0.1413,0.1411,-0.0122,0.2079,0.2179,0.1496,0.1049,0.1987,0.2794,0.1496,0.2160,0.1980,-0.3802,0.1725,0.3654,0.3204,0.2567,0.2636,0.2350,0.3218,0.3667,0.3808,0.3041,0.3029,0.3597
19,Total Other Income Expenses (Gains),2500000,2800000,1600000,-100000,1100000,-1500000,-2700000,-2100000,200000,-18500000,11400000,28200000,41700000,60600000,41536000,54116000,42563000,41796000,27358000,37755000,68067000,87367000,60858000,-24590000,-22985000,-50264000,-42231000,-39064000,-37609000,-227209000,-102253000,-103015000,-81263000,-93142000,-442139000,-128026000
20,Income Before Tax,16900000,12800000,13800000,18000000,14000000,3500000,-16300000,9300000,40300000,88800000,188900000,174000000,206300000,50300000,353077000,512584000,287456000,180518000,324716000,620317000,377858000,677235000,560234000,-602531000,291181000,1110066000,974094000,690621000,734461000,434131000,858192000,1173246000,1455931000,1296231000,1316711000,2360454000
21,Income Before Tax Ratio,0.2048,0.1451,0.1222,0.1088,0.0834,0.0236,-0.1045,0.0556,0.1654,0.2007,0.2718,0.1686,0.1769,0.0597,0.2356,0.2437,0.1756,0.1364,0.2170,0.2975,0.1825,0.2480,0.2222,-0.3963,0.1599,0.3496,0.3071,0.2429,0.2507,0.1543,0.2876,0.3371,0.3607,0.2837,0.2268,0.3412
22,Income Tax expense (Gain),7000000,5300000,5000000,6300000,4600000,1100000,300000,2300000,10100000,30200000,68000000,68600000,72200000,11100000,99279000,139526000,71290000,43327000,81015000,157000000,1507000,150509000,201151000,-79163000,78881000,315578000,218079000,147472000,151706000,67973000,153770000,247170000,653666000,121214000,101686000,283101000
23,Net Income,9900000,7500000,8800000,11700000,9400000,-10600000,-13800000,7000000,30200000,58600000,120900000,105400000,134100000,39200000,253798000,66683000,216166000,137191000,243701000,466695000,380452000,528098000,359083000,-523368000,212300000,794488000,756015000,543149000,582755000,366158000,704422000,926076000,802265000,1175617000,1216785000,2078292000
24,Net Income ratio,0.1200,0.0850,0.0779,0.0707,0.0560,-0.0714,-0.0885,0.0419,0.1239,0.1325,0.1740,0.1022,0.1150,0.0465,0.1693,0.0317,0.1320,0.1037,0.1628,0.2238,0.1837,0.1934,0.1424,-0.3443,0.1166,0.2502,0.2383,0.1911,0.1989,0.1301,0.2360,0.2661,0.1987,0.2573,0.2096,0.3004
25,EPS,0.04,0.03,0.03,0.04,0.03,-0.04,-0.05,0.02,0.34,0.60,1.16,0.62,0.79,0.23,1.39,0.36,1.15,0.72,1.25,2.38,1.92,2.68,1.99,-3.07,1.24,4.75,4.53,3.27,3.51,2.26,4.52,5.92,5.13,7.53,7.76,13.49
26,EPS Diluted,0.04,0.03,0.03,0.04,0.03,-0.04,-0.05,0.02,0.34,0.60,1.16,0.62,0.76,0.21,1.32,0.34,1.10,0.70,1.21,2.32,1.86,2.61,1.95,-3.07,1.23,4.66,4.44,3.21,3.47,2.24,4.49,5.88,5.10,7.49,7.70,13.37
27,Weighted Average Shares Outstanding,68176000,69704000,71132000,71424000,71948000,73192000,74564000,74784000,88176000,97740000,104658000,170406000,170194000,175474000,182177000,185860000,187667000,189817000,194976000,196346000,198625000,197126000,180594000,170253000,170652000,167261000,166795000,166089000,166016000,162282000,155869000,156468000,156346000,156053000,156797000,154086000
28,Weighted Average Shares Outstanding Diluted,68176000,69704000,71132000,71424000,71948000,73192000,74564000,74784000,88176000,97740000,104658000,212056000,177044000,183344000,192564000,193435000,196594000,194785000,201799000,201014000,204097000,202204000,184259000,170253000,173034000,170352000,170147000,169260000,168118000,163701000,156779000,157481000,157378000,156949000,158005000,155437000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319201/000089161894000204/0000891618-94-000204-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161895000564/0000891618-95-000564-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161896002153/0000891618-96-002153-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161897003921/0000891618-97-003921-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161898004336/0000891618-98-004336-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161899004364/0000891618-99-004364-index.html,https://www.sec.gov/Archives/edgar/data/319201/000109581100003641/0001095811-00-003641-index.html,https://www.sec.gov/Archives/edgar/data/319201/000109581101505048/0001095811-01-505048-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920102000008/0000319201-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920103000112/fy2003kla10k.htm,https://www.sec.gov/Archives/edgar/data/319201/000120677404001081/kl71293.htm,https://www.sec.gov/Archives/edgar/data/319201/000120677405001516/kt71640.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312507014655/d10k.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312507185381/0001193125-07-185381-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312508169062/0001193125-08-169062-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312509167528/0001193125-09-167528-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/0001193125-10-179757-index.html,https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/0001445305-11-002394-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920112000008/0000319201-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920113000033/0000319201-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920114000038/0000319201-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920115000053/0000319201-15-000053-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920116000090/0000319201-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920117000034/0000319201-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920118000045/0000319201-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920120000047/0000319201-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920121000029/0000319201-21-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,139100000,92100000,109400000,279200000,216000000,271500000,478212000,529674000,429820000,606903000,802678000,874509000,1129191000,722511000,1128106000,524967000,529918000,711329000,751294000,985390000,630861000,838025000,1108488000,1153051000,1404382000,1015994000,1234409000,1434610000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69600000,92300000,59600000,119932000,167421000,243526000,350061000,330476000,1320677000,1196605000,988118000,409130000,804917000,1004126000,1327206000,1783150000,1933491000,2521776000,1549086000,1382806000,1863689000,1475936000,723391000,746063000,1059912000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,139100000,92100000,109400000,348800000,308300000,331100000,598144000,697095000,673346000,956964000,1133154000,2195186000,2325796000,1710629000,1537236000,1329884000,1534044000,2038535000,2534444000,2918881000,3152637000,2387111000,2491294000,3016740000,2880318000,1739385000,1980472000,2494522000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,74200000,129300000,203500000,269300000,304100000,280100000,481950000,402013000,277006000,223535000,372773000,333218000,439899000,581500000,492488000,210143000,440125000,643044000,724223000,550435000,520315000,618344000,631423000,593188000,651678000,1084128000,1207289000,1396531000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,53300000,79800000,132400000,174600000,234600000,195700000,282489000,394406000,323016000,258799000,337414000,358339000,449156000,535370000,459449000,370206000,401730000,575730000,650802000,634448000,656457000,617904000,698635000,732988000,931845000,1262500000,1310985000,1575380000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,11900000,59700000,48300000,67300000,109400000,135400000,189171000,403432000,345920000,367085000,348161000,315902000,328392000,425272000,546591000,488384000,459566000,418701000,254574000,247739000,257421000,281217000,46680000,49150000,85159000,229062000,224799000,229815000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,278500000,360900000,493600000,860000000,956400000,942300000,1551754000,1896946000,1619288000,1806383000,2191502000,3202645000,3543243000,3252771000,3035764000,2398617000,2835465000,3676010000,4164043000,4351503000,4586830000,3904576000,3868032000,4392066000,4549000000,4315075000,4723545000,5696248000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,37100000,49000000,71800000,117600000,140900000,168300000,199719000,290254000,300560000,382729000,376052000,385222000,395412000,382240000,355474000,291878000,236752000,257358000,277686000,305281000,330263000,314591000,278014000,283975000,286306000,448799000,620614000,765910000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70341000,311856000,601882000,329379000,328006000,328156000,327716000,326635000,335355000,335263000,335177000,349526000,354698000,2211858000,2045402000,2011172000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20621000,58670000,- -,175432000,297778000,149080000,117336000,85902000,55636000,34515000,27697000,11895000,4331000,18963000,19333000,1560670000,1391413000,1185311000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20621000,58670000,70341000,487288000,899660000,478459000,445342000,414058000,383352000,361150000,363052000,347158000,339508000,368489000,374031000,3772528000,3436815000,3196483000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88593000,192613000,392028000,309487000,323870000,- -,- -,173788000,128738000,114833000,75138000,78648000,302219000,305493000,212806000,264533000,236797000,270461000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6000000,136400000,147400000,365700000,451100000,474300000,452030000,557351000,797870000,677485000,862411000,147222000,174887000,191463000,233622000,440584000,389497000,154307000,146489000,154590000,183381000,181039000,174659000,182150000,197213000,207581000,262189000,342022000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,43100000,185400000,219200000,483300000,592000000,642600000,651749000,847605000,1098430000,1060214000,1347677000,783727000,1032668000,1370478000,1812626000,1210921000,1071591000,999511000,936265000,935854000,951834000,921436000,1094400000,1140107000,1070356000,4693441000,4556415000,4574876000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,321600000,546300000,712800000,1343300000,1548400000,1584900000,2203503000,2744551000,2717718000,2866597000,3539179000,3986372000,4575911000,4623249000,4848390000,3609538000,3907056000,4675521000,5100308000,5287357000,5538664000,4826012000,4962432000,5532173000,5619356000,9008516000,9279960000,10271124000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,11900000,19400000,27300000,41200000,46400000,35200000,55016000,60740000,52988000,33893000,63991000,67717000,95192000,92165000,104315000,63485000,107938000,142945000,139183000,115680000,103422000,103342000,106517000,147380000,169354000,202416000,264280000,342083000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4700000,24600000,3100000,25100000,21500000,14600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16981000,- -,249983000,- -,249999000,28994000,52322000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16564000,- -,11076000,15283000,15582000,27964000,17040000,23287000,23350000,35640000,87320000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248738000,225689000,57318000,80122000,80543000,99254000,207489000,63237000,241790000,192338000,210313000,218803000,207099000,313238000,315692000,341556000,465276000,622694000,684626000,830912000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,49000000,88900000,138800000,258500000,282800000,302500000,439811000,923345000,385764000,391474000,790320000,784023000,826746000,881788000,638528000,437261000,422059000,546735000,513411000,527049000,585090000,568202000,580214000,554243000,583453000,693377000,721886000,877910000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,65600000,132900000,169200000,324800000,350700000,352300000,494827000,984085000,687490000,651056000,911629000,931862000,1002481000,1073207000,950332000,563983000,771787000,882018000,862907000,861532000,895611000,1001763000,1002423000,1293162000,1218083000,1768486000,1699786000,2103227000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744661000,745204000,799239000,746290000,746833000,747376000,747919000,3173435000,3057936000,2680474000,2237402000,3173383000,3540555000,3493506000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6058000,20354000,- -,34899000,42228000,57500000,47145000,56336000,59713000,71997000,98772000,96325000,87575000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8600000,9500000,6300000,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49738000,53492000,- -,- -,- -,- -,- -,- -,- -,- -,702285000,660885000,650623000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,171667000,60163000,15573000,186320000,140074000,154069000,168288000,182230000,156623000,172407000,471363000,587897000,601399000,560551000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,28600000,9400000,6400000,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,916328000,861163000,888658000,932610000,921806000,943673000,973707000,3402810000,3270895000,2912594000,2780762000,4562337000,4899164000,4792255000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99879000,103061000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,94200000,142300000,175600000,328700000,350700000,352300000,494827000,984085000,687490000,651056000,911629000,931862000,1002481000,1073207000,1866660000,1425146000,1660445000,1814628000,1784713000,1805205000,1869318000,4404573000,4273318000,4205756000,3998845000,6330823000,6598950000,6895482000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,187000,188000,190000,192000,196000,196000,199000,191000,174000,- -,168000,167000,167000,165000,165000,158000,156000,157000,156000,159000,155000,153000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,80300000,138900000,259800000,542700000,683800000,723000000,976846000,1043529000,1259695000,1396886000,1640587000,2083638000,2137710000,2570751000,2204417000,1370132000,1356454000,1852633000,2247258000,2359233000,2479113000,-12362000,284825000,848457000,1056445000,714825000,654930000,1277123000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-31800000,-39600000,-48900000,-90500000,-116000000,-150600000,-142756000,-192911000,-223784000,3687000,2159000,3882000,8908000,11405000,47684000,-21217000,-31303000,-2399000,-21143000,-36646000,-30271000,-40573000,-48685000,-51323000,-53933000,-73029000,-79774000,-75557000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,178900000,304700000,326300000,562300000,629800000,660100000,874399000,909660000,994127000,814776000,984608000,957541000,1421174000,967695000,729455000,835260000,921292000,1010492000,1089313000,1159400000,1220339000,474216000,452818000,529126000,617843000,2017153000,2090113000,2175835000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,227400000,404000000,537200000,1014600000,1197700000,1232600000,1708676000,1760466000,2030228000,2215541000,2627550000,3045257000,3567991000,3550042000,2981730000,2184392000,2246611000,2860893000,3315595000,3482152000,3669346000,421439000,689114000,1326417000,1620511000,2659108000,2665424000,3377554000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,321600000,546300000,712800000,1343300000,1548400000,1584900000,2203503000,2744551000,2717718000,2866597000,3539179000,3977119000,4570472000,4623249000,4848390000,3609538000,3907056000,4675521000,5100308000,5287357000,5538664000,4826012000,4962432000,5532173000,5619356000,8989931000,9264374000,10273036000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9253000,5439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18585000,15586000,-1912000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,321600000,546300000,712800000,1343300000,1548400000,1584900000,2203503000,2744551000,2717718000,2866597000,3539179000,3986372000,4575911000,4623249000,4848390000,3609538000,3907056000,4675521000,5100308000,5287357000,5538664000,4826012000,4962432000,5532173000,5619356000,9008516000,9279960000,10271124000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/319201/000089161894000204/0000891618-94-000204-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161895000564/0000891618-95-000564-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161896002153/0000891618-96-002153-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161897003921/0000891618-97-003921-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161898004336/0000891618-98-004336-index.html,https://www.sec.gov/Archives/edgar/data/319201/000089161899004364/0000891618-99-004364-index.html,https://www.sec.gov/Archives/edgar/data/319201/000109581100003641/0001095811-00-003641-index.html,https://www.sec.gov/Archives/edgar/data/319201/000109581101505048/0001095811-01-505048-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920102000008/0000319201-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920103000112/fy2003kla10k.htm,https://www.sec.gov/Archives/edgar/data/319201/000120677404001081/kl71293.htm,https://www.sec.gov/Archives/edgar/data/319201/000120677405001516/kt71640.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312507014655/d10k.htm,https://www.sec.gov/Archives/edgar/data/319201/000119312507185381/0001193125-07-185381-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312508169062/0001193125-08-169062-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312509167528/0001193125-09-167528-index.html,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/0001193125-10-179757-index.html,https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/0001445305-11-002394-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920112000008/0000319201-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920113000033/0000319201-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920114000038/0000319201-14-000038-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920115000053/0000319201-15-000053-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920116000090/0000319201-16-000090-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920117000034/0000319201-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920118000045/0000319201-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920120000047/0000319201-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/319201/000031920121000029/0000319201-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,9400000,-10600000,-13800000,7000000,30200000,58600000,120900000,105400000,134100000,39200000,253798000,66683000,216166000,137191000,243701000,466695000,380452000,528098000,359083000,-523368000,212300000,794488000,756015000,543149000,582755000,366158000,704422000,926076000,802265000,1175617000,1216785000,2078292000
74,Depreciation and Amortization,- -,- -,- -,- -,8700000,9100000,10700000,9600000,10700000,10600000,16300000,52300000,38900000,48200000,63338000,55649000,69590000,71448000,82926000,70853000,69436000,109290000,126376000,135848000,87348000,- -,92133000,87534000,83072000,80536000,66932000,57836000,62684000,233224000,348049000,333335000
75,Deferred Income Tax,- -,- -,- -,- -,1500000,-2500000,100000,-500000,-2100000,-9600000,-12200000,-19200000,-46200000,-27900000,-60522000,-56939000,36037000,-10629000,-24578000,-42604000,-134384000,-13944000,16644000,59697000,-19865000,64736000,193412000,4532000,17176000,-24245000,19804000,4007000,98760000,-27511000,-93110000,-44445000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105535000,85982000,81430000,78835000,70084000,60940000,55302000,45050000,50943000,62784000,94194000,111381000,111836000
