,https://roic.ai/company/SKM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2297649820589,3291869758520,4719185828910,3548252308299,4167259785060,5370000000000,4611000000000,5731766765232,5856442810210,9827244402856,12035316000000,12296409000000,12205397000000,12873394000000,11654819000000,11793770000000,12253613000000,12096734000000,12321158000000,12928577000000,12713526000000,13717386000000,14555367000000,13134266000000
11,COGS and Expenses,2993889537614,4121942237780,5914603019348,6049996072641,6526690389240,7516250000000,7855000000000,7965912863730,7954893970341,10139098336102,12268516000000,12676921000000,12840011000000,13832670000000,14477954000000,14586711000000,15330056000000,15400019000000,15508205000000,16032386000000,15627848000000,16575698000000,17229271000000,15361423000000
12,Interest Income ,- -,- -,67424778593,- -,- -,117500000000,- -,60495653064,76277831756,- -,136006000000,187095000000,235556000000,442325000000,99967000000,65560000000,60006000000,45884000000,54353000000,76045000000,69936000000,63401000000,50357000000,155133000000
13,Interest Expense (Gain),- -,- -,212960808570,- -,- -,410000000000,- -,250786449571,228100771063,- -,366022000000,440281000000,397051000000,343776000000,412379000000,331834000000,323910000000,297662000000,290454000000,299100000000,307319000000,397890000000,399176000000,315604000000
14,Depreciation and Amortization,927144534570,706942241571,1453247783978,1760400792749,1543297745620,1726250000000,1738000000000,1709075647633,1668694220072,2051205996858,2759276000000,2732793000000,2868768000000,2482703000000,2613018000000,2829784000000,2891870000000,2993486000000,3068558000000,3247519000000,3284339000000,3935841000000,4169996000000,3672555000000
15,EBITDA,1207403053575,1089126839108,3002841964680,3757608419193,3729537365280,5026250000000,3787000000000,4498913761911,3826915627515,4387564616043,4639867000000,4775926000000,5049738000000,5038461000000,4472989000000,5201379000000,5471466000000,5329232000000,5471017000000,6892102000000,7563523000000,5524351000000,6450026000000,6842478000000
16,EBITDA ratio,0.3488,0.2460,0.4054,0.4486,0.4000,0.4666,0.3708,0.4241,0.3638,0.3649,0.3309,0.3281,0.3272,0.3151,0.2744,0.3133,0.3188,0.3110,0.3201,0.3934,0.4482,0.3113,0.3463,0.4085
17,Operating Income,467450058114,306289920385,1492195950758,2325504604909,2797153023960,3256250000000,2357000000000,2642324373845,2500152569361,1811436333428,1752468000000,1878544000000,1942303000000,2131458000000,1766253000000,1578403000000,1607826000000,1495425000000,1303418000000,1224572000000,833851000000,1000893000000,1104634000000,1387162000000
18,Operating Income ratio,0.1350,0.0692,0.2015,0.2777,0.3000,0.3023,0.2308,0.2491,0.2377,0.1506,0.1250,0.1291,0.1258,0.1333,0.1084,0.0951,0.0937,0.0873,0.0763,0.0699,0.0494,0.0564,0.0593,0.0828
19,Total Other Income Expenses (Gains),-187191539109,75894677152,-155562578625,-328296978465,-610913404300,-367500000000,-306000000000,-107894473905,-571881485001,174979401120,-493735000000,-478046000000,-268615000000,51400000000,-215366000000,248698000000,646002000000,539940000000,792721000000,2178677000000,3142115000000,161762000000,772406000000,331029000000
20,Income Before Tax,280258519005,382184597537,1336633372133,1997207626444,2186239619660,2888750000000,2051000000000,2534429899940,1928271084359,1986415734548,1258733000000,1400498000000,1673688000000,2182858000000,1550887000000,1827101000000,2253828000000,2035365000000,2096139000000,3403249000000,3975966000000,1162655000000,1877040000000,1718191000000
21,Income Before Tax Ratio,0.0810,0.0863,0.1805,0.2385,0.2345,0.2682,0.2008,0.2389,0.1833,0.1652,0.0898,0.0962,0.1084,0.1365,0.0951,0.1101,0.1313,0.1188,0.1226,0.1942,0.2356,0.0655,0.1008,0.1026
22,Income Tax expense (Gain),129847238365,100870894565,366501895418,850670172912,698695136180,827500000000,608000000000,685914859834,545624055825,686549626924,298850000000,355670000000,404306000000,599093000000,295887000000,400797000000,454508000000,519480000000,436038000000,745654000000,843978000000,300713000000,376502000000,446796000000
23,Net Income,150411280640,281313702972,970131476715,1146537453532,1487544483480,2062500000000,1441000000000,1853136804873,1384496580555,1649808992262,1215719000000,1247182000000,1379613000000,1612889000000,1151705000000,1638964000000,1801178000000,1518604000000,1675967000000,2599829000000,3127887000000,889907000000,1504352000000,2407523000000
24,Net Income ratio,0.0435,0.0635,0.1310,0.1369,0.1595,0.1915,0.1411,0.1747,0.1316,0.1372,0.0867,0.0857,0.0894,0.1009,0.0707,0.0987,0.1049,0.0886,0.0981,0.1484,0.1854,0.0502,0.0808,0.1437
25,EPS,413.30,708.56,2035.28,2421.11,3225.63,5020.84,3576.94,4596.76,3451.75,4149.10,3219.63,3254.59,3584.24,4443.03,3020.06,4241.98,4597.08,3835.71,4294.25,6685.63,8053.38,2219.40,3739.76,3671.04
26,EPS Diluted,413.30,708.56,2035.28,2421.11,3225.63,5020.84,3576.94,4523.23,3403.29,4090.42,3219.63,3254.59,3529.41,4443.03,2949.88,4241.98,4597.08,3835.71,4294.25,6685.63,8053.38,2219.40,3739.03,3671.04
27,Weighted Average Shares Outstanding,361745652,402207324,476803659,473559513,461163467,410787963,402858642,403139479,401099915,397630781,398212768,398304294,393649944,381352825,381351217,384376470,388145097,391513663,386354876,386354876,386430472,394316250,398317578,655814694
28,Weighted Average Shares Outstanding Diluted,361745652,402207324,476803659,473559513,461163467,410787963,402858642,409693148,406811429,403335332,402324283,405552946,405091328,381352825,390423695,384376470,388145097,391513663,386354876,386354876,386430472,394316250,398388427,655814694
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015650/000114554905000972/0001145549-05-000972-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000114554906000940/0001145549-06-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000114554907001179/0001145549-07-001179-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000114554908001206/0001145549-08-001206-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000095012309018923/0000950123-09-018923-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000095012310062608/0000950123-10-062608-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000095012311063014/0000950123-11-063014-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312512194158/0001193125-12-194158-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312513185133/0001193125-13-185133-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312514169627/0001193125-14-169627-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312515158586/0001193125-15-158586-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312516566089/0001193125-16-566089-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312517140753/0001193125-17-140753-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312518136633/0001193125-18-136633-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312519123795/0001193125-19-123795-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312520124200/0001193125-20-124200-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,664294187200,332500000000,358000000000,374416908293,463542090316,886348316486,1011340000000,953855000000,778509000000,1650794000000,920125000000,1398639000000,834429000000,768922000000,1505242000000,1457735000000,1506699000000,1270824000000,1369653000000,872731000000
32,Short-Term Investments,- -,- -,- -,- -,956109133720,1188750000000,648000000000,874699710503,728481324852,783981275070,741403000000,728398000000,974500000000,1074393000000,574544000000,417542000000,593229000000,783352000000,576132000000,761166000000,1240756000000,997313000000,1577344000000,513687000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,1620403320920,1521250000000,1006000000000,1249116618796,1192023415168,1670329591556,1752743000000,1682253000000,1753009000000,2725187000000,1494669000000,1816181000000,1427658000000,1552274000000,2081374000000,2218901000000,2747455000000,2268137000000,2946997000000,1386418000000
34,Net Receivables,- -,- -,- -,- -,2295373664700,2566250000000,3021000000000,3021459979052,3029061465120,10065547774148,3365145000000,4162613000000,4584995000000,2832435000000,2621926000000,2980314000000,3157189000000,3072501000000,3421349000000,3449672000000,3095643000000,3330037000000,3366007000000,2609388000000
35,Inventory,- -,- -,- -,- -,27283511260,32500000000,51000000000,7701608876,18865430618,47052434557,34974000000,119890000000,149643000000,219590000000,242146000000,177120000000,267667000000,273556000000,259846000000,272403000000,288053000000,162882000000,171443000000,204637000000
36,Other Current Assets,- -,- -,- -,- -,100830367700,147500000000,163000000000,271585889970,208743900723,-6967133909901,269585000000,405875000000,485342000000,340267000000,935680000000,149800000000,230634000000,261911000000,234059000000,260823000000,1827688000000,2341238000000,2290639000000,2152222000000
37,Total Current Assets,- -,- -,- -,- -,4043890864580,4267500000000,4241000000000,4549864096694,4448694211629,4815795890359,5422447000000,6370631000000,6972989000000,6117479000000,5294421000000,5123415000000,5083148000000,5160242000000,5996628000000,6201799000000,7958839000000,8102294000000,8775086000000,6352665000000
38,PP&E,- -,- -,- -,- -,4569395016240,4867500000000,4544000000000,4613967224527,4299296536220,4969353943119,7602520000000,8239676000000,7864594000000,9030998000000,9712719000000,10196607000000,10567701000000,10371256000000,10374212000000,10144882000000,10718354000000,12334280000000,13377077000000,12871259000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1854550815066,1691737775400,1749604872623,1899739000000,1737966000000,1624311000000,1749933000000,1744483000000,1733261000000,1917595000000,1908590000000,1932452000000,1915017000000,2938563000000,2949530000000,3357524000000,2072493000000
40,Intangible Assets,- -,- -,- -,- -,3721233687940,3853750000000,3403000000000,1561759768698,1664279246254,1684356745144,2078406000000,2254359000000,2116332000000,2995803000000,2689658000000,2750782000000,2483994000000,2304784000000,3776354000000,3586965000000,5513510000000,4866092000000,4436194000000,3869769000000
41,Intangible Assets,- -,- -,- -,- -,3721233687940,3853750000000,3403000000000,3416310583764,3356017021654,3433961617767,3978145000000,3992325000000,3740643000000,4745736000000,4434141000000,4484043000000,4401589000000,4213374000000,5708806000000,5501982000000,8452073000000,7815622000000,7793718000000,5942262000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4738112000000,3709104000000,2792351000000,3201264000000,5586333000000,6301966000000,7254999000000,8114142000000,8233781000000,10426667000000,13477718000000,14243469000000,16003843000000,3912804000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1478964725,2532600010,7290262188,- -,- -,16497000000,227578000000,124098000000,26322000000,25083000000,17257000000,75111000000,88132000000,92465000000,109057000000,105088000000,128000000
44,Other Non-Current Assets,- -,- -,- -,- -,1894424673140,1502500000000,1610000000000,1967374838288,3383862315635,5833313682779,732447000000,894520000000,1264630000000,1042981000000,443847000000,444162000000,608713000000,705116000000,909125000000,1065207000000,1669662000000,2006898000000,1852145000000,1832159000000
45,Total Non-Current Assets,- -,- -,- -,- -,10185053377320,10223750000000,9557000000000,9999131611304,11041708473519,14243919505853,17051224000000,16835625000000,15678715000000,18248557000000,20301138000000,21453100000000,22858085000000,23421145000000,25301035000000,27226870000000,34410272000000,36509326000000,39131871000000,24558612000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,14228944241900,14491250000000,13798000000000,14548995707998,15490402685148,19059715396212,22473671000000,23206256000000,22651704000000,24366036000000,25595559000000,26576515000000,27941233000000,28581387000000,31297663000000,33428669000000,42369111000000,44611620000000,47906957000000,30911277000000
48,Accounts Payable,- -,- -,- -,- -,1697508896220,1381250000000,1165000000000,1036679324828,1165315351735,1253442886552,1268750000000,1464255000000,1629804000000,1703268000000,253884000000,214716000000,275495000000,279782000000,402445000000,351711000000,381302000000,438297000000,372909000000,190559000000
49,Short-Term Debt,- -,- -,- -,- -,1609727164340,2268750000000,892000000000,801957629934,815904370803,659979402148,1571947000000,1490692000000,2130797000000,2363554000000,1493112000000,1321628000000,961118000000,963113000000,891081000000,1660948000000,1064272000000,1342177000000,1409171000000,1792890000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328403000000,395720000000,259967000000,293725000000,777423000000,841252000000,1152299000000,1247121000000,1439015000000,1181292000000,1536006000000,1355694000000,1630005000000,982710000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290791000000,366963000000,544662000000,456258000000,361077000000,362991000000,336998000000,140711000000,191225000000,229892000000,166436000000
52,Other Current Liabilities,- -,- -,- -,- -,996441280800,1101250000000,906000000000,994402918299,1079109373109,1105159178373,1788124000000,1939989000000,2154700000000,2315977000000,4060936000000,3988214000000,3727439000000,3652521000000,4787582000000,4759466000000,5261272000000,5816023000000,6165995000000,4810550000000
53,Total Current Liabilities,- -,- -,- -,- -,4303677341360,4751250000000,2963000000000,2833039873061,3060329095647,3018581467074,4628821000000,4894936000000,5915301000000,6673590000000,6174895000000,6069220000000,5420310000000,5256493000000,6444099000000,7109123000000,6847557000000,7787722000000,8177967000000,6960435000000
54,Long-Term Debt,- -,- -,- -,- -,2919335704820,3011250000000,2794000000000,2299941042060,2184503674728,2674306185445,5374720000000,5366910000000,3862091000000,4442297000000,5370493000000,5014254000000,5798904000000,6560700000000,6478646000000,5808056000000,8587576000000,9634536000000,10746271000000,8575260000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212172000000,160821000000,50894000000,19659000000,2842000000,2389000000,7052000000,43102000000,32231000000,30704000000,36531000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,104389086560,237500000000,296000000000,396906165820,508054642296,1045349253152,408755000000,321372000000,104118000000,- -,- -,168825000000,444211000000,538114000000,479765000000,978693000000,2269792000000,2466295000000,2709075000000,941301000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,669039145680,100000000000,784000000000,779787149263,692124543272,627231274738,236935000000,278413000000,291545000000,305268000000,1034568000000,1106765000000,1009879000000,849142000000,1776334000000,1496550000000,2271834000000,1867300000000,1846697000000,2062612000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3692763937060,3348750000000,3874000000000,3476634357143,3384682860296,4346886713335,6020410000000,5966695000000,4257754000000,4959737000000,6565882000000,6340738000000,7272653000000,7950798000000,8737134000000,8290351000000,13172304000000,14000362000000,15332747000000,11615704000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,10095932850,1774150620,712546818,139273000000,77709000000,60075000000,41940000000,22036000000,23218000000,3830000000,26000000,- -,- -,- -,712740000000,1436777000000,1534282000000
61,Total Liabilities,- -,- -,- -,- -,7996441278420,8100000000000,6837000000000,6309674230205,6445011955943,7365468180409,10649231000000,10861631000000,10173055000000,11633327000000,12740777000000,12409958000000,12692963000000,13207291000000,15181233000000,15399474000000,20019861000000,21788084000000,23510714000000,18576139000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,45077105560,46250000000,43000000000,44166083757,42578727805,44663857773,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,44639000000,30493000000
64,Retained Earnings,- -,- -,- -,- -,4873072358960,5390000000000,5944000000000,7190658541489,7485231060386,8920015000184,9448185000000,9909753000000,10603399000000,11642525000000,12124657000000,13102495000000,14188591000000,15007627000000,15953164000000,17835946000000,22144541000000,22235285000000,22981913000000,22437341000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-103202846940,-116250000000,-11000000000,-1395023484,462966378440,1592064610117,356192000000,915306000000,639632000000,320494000000,-25636000000,-12270000000,-4489000000,9303000000,-226183000000,-234727000000,-373442000000,-329576000000,40139000000,735238000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,691577698460,907500000000,890000000000,898118317486,892226556325,883976593634,799465000000,285061000000,37930000000,-345777000000,-288883000000,317508000000,277998000000,189510000000,199779000000,196281000000,655084000000,1006481000000,677203000000,-11623726000000
67,Total Stockholders Equity,- -,- -,- -,- -,5506524316040,6227500000000,6866000000000,8131547919248,8883002722956,11440720061708,10648481000000,11154759000000,11325600000000,11661881000000,11854777000000,13452372000000,14506739000000,15251079000000,15971399000000,17842139000000,22470822000000,22956829000000,23743894000000,11579346000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,13502965594460,14327500000000,13703000000000,14441222149452,15328014678899,18806188242116,21297712000000,22016390000000,21498655000000,23295208000000,24595554000000,25862330000000,27199702000000,28458370000000,31152632000000,33241613000000,42490683000000,44744913000000,47254608000000,30155485000000
69,Minority Interest,- -,- -,- -,- -,725978647440,163750000000,95000000000,107773558546,162388006249,253527154096,1175959000000,1189866000000,1153049000000,1070828000000,1000005000000,714185000000,741531000000,123017000000,145031000000,187056000000,-121572000000,-133293000000,652349000000,755792000000
70,Total Liabilities & Equity,- -,- -,- -,- -,14228944241900,14491250000000,13798000000000,14548995707998,15490402685148,19059715396212,22473671000000,23206256000000,22651704000000,24366036000000,25595559000000,26576515000000,27941233000000,28581387000000,31297663000000,33428669000000,42369111000000,44611620000000,47906957000000,30911277000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1015650/000114554905000972/0001145549-05-000972-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000114554906000940/0001145549-06-000940-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000114554907001179/0001145549-07-001179-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000114554908001206/0001145549-08-001206-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000095012309018923/0000950123-09-018923-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000095012310062608/0000950123-10-062608-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000095012311063014/0000950123-11-063014-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312512194158/0001193125-12-194158-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312513185133/0001193125-13-185133-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312514169627/0001193125-14-169627-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312515158586/0001193125-15-158586-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312516566089/0001193125-16-566089-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312517140753/0001193125-17-140753-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312518136633/0001193125-18-136633-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312519123795/0001193125-19-123795-index.htm,https://www.sec.gov/Archives/edgar/data/1015650/000119312520124200/0001193125-20-124200-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,150411280640,281313702972,970131476715,1146537453532,1487544483480,2062500000000,1441000000000,1853136804873,1384496580555,1649808992262,1215719000000,1247182000000,1379613000000,1612889000000,1151705000000,1638964000000,1801178000000,1518604000000,1675967000000,2599829000000,3127887000000,889907000000,1504352000000,2407523000000
74,Depreciation and Amortization,927144534570,706942241571,1453247783978,1760400792749,1543297745620,1726250000000,1738000000000,1709075647633,1668694220072,2051205996858,2759276000000,2732793000000,2868768000000,2482703000000,2613018000000,2829784000000,2891870000000,2993486000000,3068558000000,3247519000000,3284339000000,3935841000000,4169996000000,- -
75,Deferred Income Tax,- -,27437146062,25663716750,315889619696,81850533780,- -,- -,- -,-72895413599,121750000258,- -,- -,- -,- -,277217000000,461922000000,454508000000,519480000000,436038000000,745654000000,843978000000,300713000000,376502000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000000,789000000,2073000000,4313000000,- -
77,Change in Working Capital,-573795533879,-33281993168,513589126403,-996015771166,715302490860,-532500000000,-904000000000,-202852003667,147420384543,193075843106,-870938000000,-1232283000000,-298915000000,2180223000000,250374000000,-926922000000,-660802000000,-627221000000,69114000000,-200585000000,89906000000,-752237000000,379445000000,-568695000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-311571000000,-1028662000000,-247911000000,- -,-183238000000,-267754000000,-168839000000,7554000000,88549000000,46144000000,175841000000,-211712000000,-33410000000,- -
79,Inventory,-11750881300,-10721404292,29929203465,-33063074982,39145907460,-3750000000,-20000000000,8209253525,-8722611523,-20059925136,-66166000000,-187943000000,-102428000000,- -,-108904000000,-39610000000,-171000000,-7814000000,798000000,-17958000000,-13429000000,115893000000,-7219000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167995000000,- -,74923000000,-4708000000,-37790000000,12442000000,75585000000,-26151000000,-58487000000,-23607000000,3023000000,- -
81,Other Working Capital,- -,- -,1155499365,- -,- -,- -,- -,-31743779365,-94511664753,-170472846803,-910205000000,-579402000000,-212746000000,- -,-500136000000,-520909000000,-128057000000,-141022000000,14192000000,-31007000000,3811000000,-9152000000,41361000000,- -
82,Other Non-Cash Items,134900117324,-295353340556,74182047855,198090670656,440094899020,235000000000,156000000000,-20091935652,310314910794,-361528090654,192881000000,185618000000,71555000000,30580000000,-292650000000,-445178000000,-809369000000,-626220000000,-1006509000000,-2537011000000,-3014319000000,-390215000000,-612732000000,3192451000000
83,Cash Provided by Operating Activities,638660398655,687057756882,3036814151700,2424902765468,4268090152760,3491250000000,2431000000000,3339268513187,3438030682365,3654312741830,3296938000000,2933310000000,4021021000000,6306395000000,3999664000000,3558570000000,3677385000000,3778129000000,4243168000000,3855820000000,4332580000000,3986082000000,5821876000000,5031279000000
84,CAPEX,-837602819064,-1120362399662,-2236150436888,-1382704339787,-2024911031340,- -,-1576000000000,-1598995703556,-1499544038735,-2011058993027,-2386271000000,-2283207000000,-2271327000000,-3645278000000,-3540598000000,-3122289000000,-3138693000000,-2606726000000,-3125842000000,-2861599000000,-3295619000000,-3516893000000,-3687776000000,-3308439000000
85,Acquisitions Net,- -,- -,-1681724395290,-719511171277,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-229357000000
86,Purchases of Investments,-316803759848,-1217626272714,-1012011375473,-109197109335,-2374851719240,-648750000000,-192000000000,-740892375591,-1346934263629,-630190076242,-638612000000,-926867000000,-1040517000000,-743018000000,-92945000000,-74683000000,-218036000000,-707881000000,-37625000000,-206349000000,-442357000000,-383976000000,-691501000000,-286587000000
87,Sales/Maturities of Investments,94124559213,306360135560,105166877108,28660972475,1393831553500,977500000000,419000000000,100954332002,516661934029,231239700865,585632000000,2271115000000,940919000000,381671000000,1040971000000,474218000000,73449000000,261892000000,777869000000,129753000000,371821000000,518989000000,64693000000,275208000000
88,Other Investing Activites,155934194851,-90091732629,167173198065,209085414441,-56939501760,-1812500000000,-71000000000,321278105436,-88325201541,9604868934,-1585484000000,-1010038000000,-114406000000,-830873000000,-2863261000000,-26886000000,-530552000000,44268000000,-711997000000,-278152000000,-1184799000000,-341653000000,-65794000000,-329602000000
89,Cash Used for Investing Activites,-904347824848,-2121720269446,-4657546132478,-1973666233482,-3062870698840,-1483750000000,-1420000000000,-1917655641709,-2418141569876,-2400404499471,-3875394000000,-1828226000000,-2358678000000,-4239061000000,-5309584000000,-2506477000000,-3683165000000,-2880499000000,-2462208000000,-3070607000000,-4047725000000,-3582523000000,-4250402000000,-3486189000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-751507000000,-2030536000000,-1504082000000,-1579118000000,-2991067000000,-1761355000000,-1290401000000,-943166000000,-1183522000000,-1180910000000,-3662023000000,-1911293000000,-3339040000000,-1659365000000
91,Common Stock Issued,14101057560,1614559454606,1653710488913,- -,- -,- -,- -,- -,- -,- -,42246000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1351126927180,-1446250000000,- -,- -,-199427835818,- -,-63538000000,-28939000000,-210356000000,-208012000000,- -,- -,- -,-490192000000,- -,- -,- -,- -,-426664000000,-76111000000
93,Dividends Paid,-4582843707,-6588901465,-15374209823,-48122207739,-58125741380,-158750000000,-462000000000,-750159888336,-632222121738,-581637641683,-682504000000,-681548000000,-680043000000,-668293000000,-655133000000,-655946000000,-666802000000,-668494000000,-706091000000,-706091000000,-706091000000,-718698000000,-742136000000,-1028520000000
94,Other Financing Activites,306815510743,-535510758182,-12658659893,374007885279,1186239620,-766250000000,-474000000000,-663739382660,-76770158553,-274954120433,2324718000000,1535932000000,576193000000,1376108000000,4231467000000,1844144000000,1397804000000,1137269000000,844784000000,1060383000000,4129801000000,1693157000000,3050261000000,710385000000
