,https://roic.ai/company/IPG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,79400000,86200000,100700000,127900000,179200000,201400000,246000000,218200000,294700000,255300000,343700000,458700000,554700000,721000000,774100000,931233000,-138500000,540300000,80200000,-36800000,39200000,247500000,514200000,624900000,536900000,377900000,1010200000,941200000,729200000,941500000,980200000,1057300000,1108800000,1144000000,1338600000,841900000,1661500000
16,EBITDA ratio,0.1191,0.1058,0.1068,0.1073,0.1426,0.1472,0.1466,0.1209,0.1643,0.1287,0.1577,0.1808,0.1775,0.1876,0.1748,0.1655,-0.0206,0.0871,0.0137,-0.0058,0.0062,0.0400,0.0785,0.0897,0.0891,0.0579,0.1440,0.1353,0.1024,0.1249,0.1287,0.1347,0.1407,0.1178,0.1310,0.0929,0.1622
17,Operating Income,61100000,93600000,82200000,138500000,152700000,168400000,218800000,188800000,258200000,233700000,292100000,397900000,490700000,497200000,601400000,833522000,-243600000,405800000,52200000,-94300000,-104200000,106000000,344300000,589700000,341300000,548700000,687200000,678300000,598300000,788400000,871900000,938000000,973600000,1008800000,1086000000,588400000,1436200000
18,Operating Income ratio,0.0916,0.1149,0.0872,0.1162,0.1215,0.1231,0.1304,0.1046,0.1439,0.1178,0.1340,0.1568,0.1570,0.1293,0.1358,0.1482,-0.0362,0.0654,0.0089,-0.0148,-0.0166,0.0171,0.0525,0.0847,0.0566,0.0840,0.0980,0.0975,0.0840,0.1046,0.1145,0.1195,0.1235,0.1038,0.1062,0.0649,0.1402
19,Total Other Income Expenses (Gains),18300000,-7400000,18500000,-10600000,-14000000,-15800000,-36500000,14400000,-33000000,-32200000,-39600000,-42700000,-66800000,44700000,-43200000,-201830000,-319900000,-140400000,-321200000,-172700000,-82400000,-111000000,-108600000,-118200000,-108900000,-98100000,51200000,-3500000,-130300000,-67700000,-109700000,-107800000,-97600000,-170800000,-207700000,-227100000,-214100000
20,Income Before Tax,79400000,86200000,100700000,127900000,138700000,152600000,182300000,203200000,225200000,201500000,252500000,355200000,423900000,541900000,558200000,631692000,-563500000,265400000,-269000000,-267000000,-186600000,-5000000,235700000,471500000,232400000,450600000,738400000,674800000,468000000,720700000,762200000,830200000,876000000,838000000,878300000,361300000,1222100000
21,Income Before Tax Ratio,0.1191,0.1058,0.1068,0.1073,0.1104,0.1115,0.1087,0.1126,0.1255,0.1015,0.1158,0.1400,0.1356,0.1410,0.1261,0.1123,-0.0838,0.0428,-0.0459,-0.0418,-0.0297,-0.0008,0.0360,0.0677,0.0386,0.0690,0.1053,0.0970,0.0657,0.0956,0.1001,0.1058,0.1111,0.0863,0.0859,0.0399,0.1193
22,Income Tax expense (Gain),42800000,45100000,51400000,67800000,68100000,72500000,87700000,91300000,99900000,86300000,122700000,150000000,184800000,232000000,236300000,273034000,-55300000,140300000,254000000,262200000,81900000,18700000,58900000,156600000,90100000,-171300000,190200000,213300000,181200000,216500000,282800000,198000000,281900000,199200000,204800000,8000000,251800000
23,Net Income,36600000,41100000,49300000,60100000,70600000,80100000,94600000,87300000,124800000,93400000,129800000,205200000,239100000,309900000,321900000,358658000,-534500000,99500000,-451700000,-538400000,-262900000,-31700000,167600000,295000000,121300000,261100000,532300000,446700000,267900000,477100000,454600000,608500000,579000000,618900000,656000000,351100000,952800000
24,Net Income ratio,0.0549,0.0505,0.0523,0.0504,0.0562,0.0585,0.0564,0.0484,0.0696,0.0471,0.0595,0.0809,0.0765,0.0806,0.0727,0.0638,-0.0795,0.0160,-0.0770,-0.0843,-0.0419,-0.0051,0.0256,0.0424,0.0201,0.0400,0.0759,0.0642,0.0376,0.0633,0.0597,0.0775,0.0735,0.0637,0.0642,0.0387,0.0930
25,EPS,0.19,0.21,0.25,0.31,0.35,0.40,0.44,0.39,0.56,0.41,0.55,0.85,0.99,1.15,1.15,1.18,-1.37,0.26,-1.17,-1.34,-0.68,-0.19,0.29,0.57,0.20,0.57,1.12,1.01,0.62,1.14,1.11,1.53,1.49,1.61,1.70,0.90,2.47
26,EPS Diluted,0.19,0.21,0.25,0.31,0.35,0.40,0.44,0.39,0.56,0.41,0.55,0.85,0.95,1.10,1.11,1.15,-1.37,0.26,-1.17,-1.34,-0.68,-0.19,0.26,0.52,0.19,0.47,0.99,0.94,0.61,1.12,1.09,1.49,1.46,1.59,1.68,0.89,2.43
27,Weighted Average Shares Outstanding,192631579,195714286,197200000,193870968,201714286,200250000,215000000,223846154,222857143,225967742,234578313,240468750,241515152,270655022,278923000,303192000,369000000,376100000,385500000,415300000,424800000,428100000,457700000,461500000,468200000,473600000,465500000,432500000,421100000,419200000,408100000,397900000,389600000,383300000,386100000,389400000,393500000
28,Weighted Average Shares Outstanding Diluted,192631579,195714286,197200000,193870968,201714286,200250000,215000000,223846154,222857143,225967742,234578313,241886792,251684211,280452489,289548000,312653000,369000000,381300000,385500000,415300000,424800000,428100000,503100000,518300000,508100000,542100000,540600000,481400000,429600000,425400000,415700000,408000000,397300000,389000000,391200000,393200000,399800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51644/000005164495000029/0000051644-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164496000012/0000051644-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164497000022/0000051644-97-000022-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51644/000005164401000011/0000051644-01-000011-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164402000010/0000051644-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164403000014/0000051644-03-000014-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164404000004/0000051644-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012305011689/0000950123-05-011689-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012306003501/0000950123-06-003501-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012307002858/0000950123-07-002858-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012308002315/0000950123-08-002315-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312509040141/0001193125-09-040141-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312510041804/0001193125-10-041804-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312511046438/0001193125-11-046438-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164412000005/0000051644-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164413000003/0000051644-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164414000011/0000051644-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164415000011/0000051644-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164416000056/0000051644-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164417000007/0000051644-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164418000019/0000051644-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164419000009/0000051644-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164420000013/0000051644-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164421000012/0000051644-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164422000010/0000051644-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,413700000,418400000,468500000,715200000,808800000,981400000,708312000,935200000,933000000,2005700000,1550400000,2075900000,1955700000,2014900000,2107200000,2495200000,2675700000,2302700000,2574800000,1636800000,1660600000,1502900000,1097600000,790900000,673400000,1192200000,2509000000,3270000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000,39777000,- -,- -,- -,420000000,115600000,1400000,22500000,167700000,10900000,13700000,12900000,16000000,5300000,6600000,6800000,3000000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,413700000,418400000,468500000,715200000,808800000,1018200000,748089000,935200000,933000000,2005700000,1970400000,2191500000,1957100000,2037400000,2274900000,2506100000,2689400000,2315600000,2590800000,1642100000,1667200000,1509700000,1100600000,790900000,673400000,1192200000,2509000000,3270000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,2072800000,2320200000,2646300000,2987700000,3799200000,4618700000,4687552000,4673200000,4517600000,4593900000,4907500000,4015700000,4956300000,5343300000,4846000000,4856600000,5534700000,4425400000,5815400000,6101800000,5800800000,5955400000,5907800000,6332400000,7027200000,7143300000,6467100000,7524900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,188800000,235800000,238700000,322800000,168900000,130900000,590412000,743100000,871700000,750100000,758800000,1290200000,295400000,305100000,366700000,275000000,229400000,1545800000,332100000,340100000,342200000,228000000,429600000,340800000,482300000,435200000,391500000,436900000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2675300000,2974400000,3353500000,4025700000,4776900000,5767800000,6026053000,6351500000,6322300000,7349700000,7636700000,7497400000,7208800000,7685800000,7487600000,7637700000,8453500000,8286800000,8738300000,8084000000,7810200000,7693100000,7438000000,7464100000,8182900000,8770700000,9367600000,11231800000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,248100000,279300000,307000000,348800000,439600000,534300000,660382000,847700000,825700000,657100000,722900000,650000000,624000000,620000000,561500000,490100000,454300000,459800000,504800000,540000000,548200000,567200000,622000000,650400000,790900000,2352500000,2069600000,2220200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3067800000,3231600000,3220900000,3321000000,3368500000,3444300000,3580600000,3629000000,3669200000,3608500000,3674400000,3820400000,4875900000,4894400000,4945500000,4908700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,601100000,638200000,749300000,1024100000,1281400000,1657500000,2696230000,3096500000,3458700000,3352600000,3179200000,3030900000,- -,- -,- -,- -,- -,- -,140700000,163800000,175000000,148300000,148100000,140700000,1094800000,1014300000,933100000,847500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,601100000,638200000,749300000,1024100000,1281400000,1657500000,2696230000,3096500000,3458700000,3352600000,3179200000,3030900000,3067800000,3231600000,3220900000,3321000000,3368500000,3444300000,3721300000,3792800000,3844200000,3756800000,3822500000,3961100000,5970700000,5908700000,5878600000,5756200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495000000,509900000,344500000,274200000,297300000,476500000,479900000,416800000,398300000,334200000,214500000,160500000,144000000,192900000,228400000,220300000,236000000,247000000,252100000,302000000,301400000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,268900000,367900000,355300000,303900000,444900000,767700000,855557000,584600000,677100000,530600000,459300000,469600000,487000000,440800000,438400000,416000000,460300000,471200000,369000000,344200000,351700000,339600000,382400000,383600000,428800000,467900000,424400000,399600000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118100000,1285400000,1411600000,1676800000,2165900000,2959500000,4212169000,5023800000,5471400000,4884800000,4635600000,4447800000,4655300000,4772300000,4637600000,4625400000,4617300000,4589800000,4755600000,4821000000,4937000000,4892000000,5047200000,5231100000,7437400000,8981200000,8674600000,8677400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3793400000,4259800000,4765100000,5702500000,6942800000,8727300000,10238222000,11375300000,11793700000,12234500000,12272300000,11945200000,11864100000,12458100000,12125200000,12263100000,13070800000,12876600000,13493900000,12905000000,12747200000,12585100000,12485200000,12695200000,15620300000,17751900000,18042200000,19909200000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2090400000,2291200000,2626700000,3013600000,3613700000,4541700000,4590361000,4555500000,5125500000,5240400000,6128700000,4245400000,4124100000,4124300000,4022600000,4003900000,4474500000,6647200000,6584800000,6914200000,6558000000,6672000000,6303600000,6907800000,6698100000,7205400000,7269700000,8960000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,128500000,162500000,121700000,157600000,214500000,262000000,491984000,453100000,820300000,282600000,325900000,56800000,82900000,305100000,332800000,308600000,153700000,558300000,388700000,532700000,109300000,152000000,409600000,86900000,73800000,821600000,819000000,314000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50600000,42800000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533900000,585600000,657800000,688500000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,376300000,373000000,450600000,580400000,830200000,833200000,1023735000,1421200000,1144000000,1101500000,1108600000,2554300000,2456000000,2691200000,2521600000,2593100000,3112700000,827100000,728200000,718400000,796000000,760300000,992800000,683500000,818100000,807800000,834000000,927500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2595200000,2826700000,3199000000,3751600000,4658400000,5636900000,6106080000,6429800000,7089800000,6624500000,7563200000,6856500000,6663000000,7120600000,6877000000,6905600000,7740900000,8032600000,7701700000,8165300000,7463300000,7584300000,7706000000,7678200000,8123900000,9420400000,9580500000,10890000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,131300000,283500000,347000000,452700000,506600000,867300000,1505061000,2480600000,1817700000,2191700000,1936000000,2183000000,2248600000,2044100000,1786900000,1638000000,1583300000,1210900000,2060800000,1129800000,1623500000,1610300000,1280700000,1285600000,3660200000,2771900000,4356800000,4484600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,405100000,384700000,323800000,359100000,456800000,475000000,494919000,535500000,715800000,742400000,999600000,911100000,965400000,961200000,985700000,1183200000,888500000,892400000,1274800000,1359100000,1509200000,1388700000,1441800000,1495600000,1403400000,2734000000,1161500000,929800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,536400000,668200000,670800000,811800000,963400000,1383700000,1999980000,3016100000,2533500000,2934100000,2935600000,3094100000,3214000000,3005300000,2772600000,2821200000,2471800000,2103300000,3335600000,2488900000,3132700000,2999000000,2722500000,2781200000,5063600000,5505900000,5518300000,5414400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1696800000,1709500000,1841800000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3131600000,3494900000,3869800000,4563400000,5621800000,7020600000,8106060000,9445900000,9623300000,9558600000,10498800000,9950600000,9877000000,10125900000,9649600000,9726800000,10212700000,10135900000,11037300000,10654200000,10596000000,10583300000,10428500000,10459400000,13187500000,14926300000,15098800000,16304400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373700000,373700000,898700000,525000000,525000000,525000000,525000000,221500000,221500000,221500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29700000,32013000,38600000,38900000,41800000,42500000,43000000,45600000,45900000,46400000,47100000,47500000,48200000,48800000,53000000,41200000,40400000,39400000,38600000,38300000,38700000,39000000,39300000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,619600000,704900000,859700000,1036300000,1116400000,1325300000,1627163000,868300000,858000000,406300000,-578200000,-841100000,-899200000,-741100000,-446100000,-324800000,-63700000,405100000,738300000,864500000,1183300000,1437600000,1804300000,2093600000,2400100000,2689900000,2636900000,3154300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212800000,-240300000,-276400000,-312100000,-420900000,-480600000,-699609000,-858000000,-474700000,-279700000,-314600000,-365400000,-303000000,-118600000,-318500000,-176600000,-119000000,-225700000,-288000000,-411200000,-636700000,-845600000,-962500000,-827400000,-941100000,-930000000,-880200000,-894200000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,300300000,312000000,414900000,625500000,832300000,1172595000,1880500000,1677800000,2063800000,2194900000,2210100000,2572200000,2621000000,2668800000,2427000000,2442700000,2012600000,1700000000,1708900000,1528500000,1333100000,1135900000,896200000,895900000,977300000,1099300000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,661800000,764900000,895300000,1139100000,1321000000,1706700000,2132162000,1929400000,2100000000,2605900000,1718300000,1945300000,1940600000,2332200000,2475600000,2497700000,2529000000,2461700000,2420600000,2215200000,2116300000,1965500000,2017100000,2201000000,2393200000,2775900000,2895000000,3526000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3793400000,4259800000,4765100000,5702500000,6942800000,8727300000,10238222000,11375300000,11723300000,12164500000,12217100000,11895900000,11817600000,12458100000,12125200000,12224500000,12741700000,12597600000,13457900000,12869400000,12712300000,12548800000,12445600000,12660400000,15580700000,17702200000,17993800000,19830400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70400000,70000000,55200000,49300000,46500000,- -,- -,38600000,329100000,279000000,36000000,35600000,34900000,36300000,39600000,34800000,39600000,49700000,48400000,78800000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3793400000,4259800000,4765100000,5702500000,6942800000,8727300000,10238222000,11375300000,11793700000,12234500000,12272300000,11945200000,11864100000,12458100000,12125200000,12263100000,13070800000,12876600000,13493900000,12905000000,12747200000,12585100000,12485200000,12695200000,15620300000,17751900000,18042200000,19909200000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/51644/000005164495000029/0000051644-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164496000012/0000051644-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164497000022/0000051644-97-000022-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51644/000005164401000011/0000051644-01-000011-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164402000010/0000051644-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/51644/000005164403000014/0000051644-03-000014-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164404000004/0000051644-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012305011689/0000950123-05-011689-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012306003501/0000950123-06-003501-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012307002858/0000950123-07-002858-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000095012308002315/0000950123-08-002315-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312509040141/0001193125-09-040141-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312510041804/0001193125-10-041804-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000119312511046438/0001193125-11-046438-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164412000005/0000051644-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164413000003/0000051644-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164414000011/0000051644-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164415000011/0000051644-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164416000056/0000051644-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164417000007/0000051644-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164418000019/0000051644-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164419000009/0000051644-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164420000013/0000051644-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164421000012/0000051644-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164422000010/0000051644-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,70600000,80100000,94600000,87300000,124800000,93400000,129800000,205200000,239100000,309900000,321900000,358658000,-534500000,99500000,-451700000,-538400000,-262900000,-31700000,167600000,295000000,121300000,261100000,532300000,446700000,267900000,477100000,454600000,608500000,579000000,618900000,656000000,351100000,952800000
74,Depreciation and Amortization,- -,- -,- -,- -,40500000,48800000,63700000,39600000,70000000,75600000,91200000,103500000,130800000,179100000,215900000,299541000,451300000,300500000,277900000,239400000,220200000,260500000,287700000,173300000,169900000,148400000,150900000,147700000,157400000,163000000,157000000,160200000,157100000,202900000,278500000,290600000,283800000
