,https://roic.ai/company/BA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1272000000,1826000000,15650000000,567000000,627000000,678000000,826000000,961000000,1025000000,- -,600000000,- -,5511000000,4041000000,3503000000,3994000000,4568000000,4658000000,4826000000,5536000000,6345000000,7999000000,7193000000,6611000000,9621000000,7498000000,7048000000,7015000000,7027000000,6814000000,6856000000,8243000000,7273000000,7836000000,7128000000,7293000000,6406000000
11,COGS and Expenses,13053000000,15711000000,15146000000,16514000000,19695000000,26065000000,27360000000,28144000000,23747000000,20773000000,19213000000,21327000000,46155000000,54587000000,54823000000,47706000000,53346000000,50157000000,49130000000,50561000000,52553000000,58436000000,60595000000,56963000000,66161000000,59341000000,62915000000,75659000000,80295000000,83566000000,88944000000,89033000000,83339000000,89326000000,79221000000,71136000000,65675000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,650000000,730000000,358000000,335000000,294000000,240000000,196000000,202000000,339000000,516000000,498000000,463000000,386000000,333000000,275000000,306000000,360000000,475000000,722000000,2156000000,2682000000
14,Depreciation and Amortization,386000000,463000000,504000000,567000000,627000000,678000000,826000000,961000000,1025000000,1142000000,1033000000,991000000,1458000000,1622000000,1645000000,1479000000,1750000000,1497000000,1450000000,1509000000,1503000000,1545000000,1486000000,1491000000,1666000000,1727000000,1660000000,1811000000,1844000000,1906000000,1833000000,1910000000,2069000000,2114000000,2271000000,2246000000,2144000000
15,EBITDA,1249000000,1491000000,1162000000,1387000000,1549000000,2650000000,3030000000,2215000000,2846000000,2285000000,1393000000,2354000000,1117000000,3019000000,4969000000,4478000000,5965000000,3580000000,2358000000,3856000000,4626000000,4988000000,7816000000,5706000000,3713000000,6746000000,7558000000,8181000000,8461000000,9376000000,9263000000,7784000000,12476000000,14193000000,734000000,-10006000000,-119000000
16,EBITDA ratio,0.0916,0.0912,0.0757,0.0818,0.0764,0.0960,0.1034,0.0734,0.1119,0.1042,0.0714,0.1038,0.0244,0.0538,0.0857,0.0873,0.1025,0.0662,0.0467,0.0735,0.0843,0.0811,0.1177,0.0937,0.0544,0.1049,0.1100,0.1001,0.0977,0.1033,0.0964,0.0823,0.1336,0.1403,0.0096,-0.1720,-0.0019
17,Operating Income,583000000,630000000,209000000,448000000,581000000,1530000000,1954000000,2040000000,1691000000,1151000000,302000000,1354000000,-355000000,1567000000,3170000000,3058000000,3896000000,3868000000,449000000,2007000000,2812000000,3014000000,5830000000,3950000000,2096000000,4971000000,5844000000,6311000000,6562000000,7473000000,7443000000,5834000000,10278000000,11987000000,-1975000000,-12767000000,-2902000000
18,Operating Income ratio,0.0428,0.0386,0.0136,0.0264,0.0287,0.0554,0.0667,0.0676,0.0665,0.0525,0.0155,0.0597,-0.0078,0.0279,0.0547,0.0596,0.0669,0.0715,0.0089,0.0383,0.0513,0.0490,0.0878,0.0649,0.0307,0.0773,0.0850,0.0772,0.0758,0.0823,0.0774,0.0617,0.1101,0.1185,-0.0258,-0.2195,-0.0466
19,Total Other Income Expenses (Gains),280000000,398000000,449000000,372000000,341000000,442000000,250000000,216000000,130000000,-8000000,58000000,9000000,14000000,-170000000,154000000,-59000000,-332000000,-688000000,101000000,-47000000,7000000,180000000,288000000,45000000,-365000000,-464000000,-451000000,-401000000,-330000000,-336000000,-288000000,-266000000,-231000000,-383000000,-284000000,-1709000000,-2131000000
20,Income Before Tax,863000000,1028000000,658000000,820000000,922000000,1972000000,2204000000,2256000000,1821000000,1143000000,360000000,1363000000,-341000000,1397000000,3324000000,2999000000,3564000000,3180000000,550000000,1960000000,2819000000,3194000000,6118000000,3995000000,1731000000,4507000000,5393000000,5910000000,6232000000,7137000000,7155000000,5568000000,10047000000,11604000000,-2259000000,-14476000000,-5033000000
21,Income Before Tax Ratio,0.0633,0.0629,0.0429,0.0483,0.0455,0.0715,0.0752,0.0747,0.0716,0.0521,0.0184,0.0601,-0.0074,0.0249,0.0573,0.0584,0.0612,0.0588,0.0109,0.0374,0.0514,0.0519,0.0922,0.0656,0.0254,0.0701,0.0785,0.0723,0.0719,0.0786,0.0744,0.0589,0.1076,0.1147,-0.0295,-0.2489,-0.0808
22,Income Tax expense (Gain),297000000,363000000,178000000,206000000,247000000,587000000,637000000,702000000,577000000,287000000,-33000000,268000000,-163000000,277000000,1015000000,871000000,738000000,861000000,-168000000,140000000,257000000,988000000,2060000000,1341000000,396000000,1196000000,1382000000,2007000000,1646000000,1691000000,1979000000,673000000,1850000000,1144000000,-1623000000,-2535000000,-743000000
23,Net Income,566000000,665000000,480000000,614000000,675000000,1385000000,1567000000,552000000,1244000000,856000000,393000000,1095000000,-178000000,1120000000,2309000000,2128000000,2827000000,492000000,718000000,1872000000,2572000000,2215000000,4074000000,2672000000,1312000000,3307000000,4018000000,3900000000,4585000000,5446000000,5176000000,4895000000,8197000000,10460000000,-636000000,-11873000000,-4202000000
24,Net Income ratio,0.0415,0.0407,0.0313,0.0362,0.0333,0.0502,0.0535,0.0183,0.0489,0.0390,0.0201,0.0483,-0.0039,0.0199,0.0398,0.0415,0.0486,0.0091,0.0142,0.0357,0.0469,0.0360,0.0614,0.0439,0.0192,0.0514,0.0585,0.0477,0.0529,0.0600,0.0539,0.0518,0.0878,0.1034,-0.0083,-0.2042,-0.0675
25,EPS,0.84,0.95,0.69,0.90,0.98,2.01,2.28,0.81,1.66,1.25,0.57,1.59,-0.18,1.16,2.52,2.48,3.46,0.62,0.90,2.33,3.27,2.89,5.38,3.70,1.86,4.49,5.39,5.15,6.03,7.47,7.52,7.70,13.60,18.05,-1.12,-20.88,-7.39
26,EPS Diluted,0.82,0.95,0.69,0.90,0.98,2.01,2.28,0.81,1.64,1.25,0.57,1.59,-0.18,1.15,2.49,2.44,3.41,0.61,0.89,2.30,3.20,2.85,5.28,3.67,1.84,4.45,5.34,5.11,5.96,7.38,7.44,7.61,13.43,17.85,-1.12,-20.88,-7.38
27,Weighted Average Shares Outstanding,673809524,700000000,695652174,682222222,688775510,689054726,687280702,681481481,749397590,682071713,683478261,686520376,970100000,966900000,917100000,859500000,816200000,799000000,800100000,807000000,788500000,771000000,759300000,722600000,705376344,744300000,745454545,757281553,760364842,729049531,688297872,635714286,602720588,579501385,567857143,568630268,568630268
28,Weighted Average Shares Outstanding Diluted,690243902,700000000,695652174,682222222,688775510,689054726,687280702,681481481,758536585,682071713,683600000,689200000,970100000,976700000,925900000,871300000,829300000,808400000,808900000,813000000,802900000,787600000,772500000,729000000,713400000,744300000,753100000,763800000,769500000,738000000,696100000,643800000,610700000,586200000,567857143,569000000,569000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12927/000001292795000002/0000012927-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292796000003/0000012927-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292797000020/0000012927-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292798000007/0000012927-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292799000010/0000012927-99-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/12927/000001292701000004/0000012927-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292702000005/0000012927-02-000005-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292703000005/boeing10k_123102.htm,- -,https://www.sec.gov/Archives/edgar/data/12927/000119312505038602/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312506040952/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312507033902/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312508032328/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312509022654/0001193125-09-022654-index.html,https://www.sec.gov/Archives/edgar/data/12927/000119312510024406/0001193125-10-024406-index.html,https://www.sec.gov/Archives/edgar/data/12927/000119312511028490/d10k.htm,https://www.sec.gov/Archives/edgar/data/12927/000119312512048565/0001193125-12-048565-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292713000014/0000012927-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292714000004/a201312dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292715000011/a201412dec3110k.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292716000099/0000012927-16-000099-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292717000006/0000012927-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292718000007/0000012927-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292719000010/0000012927-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292720000014/0000012927-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/12927/000001292721000011/0000012927-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/12927/000001292722000010/0000012927-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3209000000,4172000000,3435000000,3963000000,1863000000,3326000000,2938000000,2711000000,2342000000,2084000000,3730000000,4375000000,4420000000,2183000000,3354000000,1010000000,633000000,2333000000,4633000000,3204000000,5412000000,6118000000,7042000000,3268000000,9215000000,5359000000,10049000000,10341000000,9088000000,11733000000,11302000000,8801000000,8813000000,7637000000,9485000000,7752000000,8052000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,559000000,- -,883000000,729000000,279000000,100000000,- -,- -,- -,- -,319000000,554000000,268000000,2266000000,11000000,2008000000,5158000000,1223000000,3217000000,6170000000,1359000000,750000000,1228000000,1179000000,927000000,545000000,17838000000,8192000000
33,Cash and Short-Term Investments,3209000000,4172000000,3435000000,3963000000,1863000000,3326000000,2938000000,2711000000,2342000000,2643000000,3730000000,5258000000,5149000000,2462000000,3454000000,1010000000,633000000,2333000000,4633000000,3523000000,5966000000,6386000000,9308000000,3279000000,11223000000,10517000000,11272000000,13558000000,15258000000,13092000000,12052000000,10029000000,9992000000,8564000000,10030000000,25590000000,16244000000
34,Net Receivables,885000000,1201000000,1546000000,1559000000,1809000000,2044000000,2085000000,1428000000,1615000000,1664000000,1470000000,1988000000,3121000000,3288000000,3453000000,4928000000,5156000000,5007000000,4714000000,4653000000,5246000000,5285000000,5740000000,5602000000,5785000000,5422000000,5793000000,5972000000,6890000000,7919000000,8925000000,9260000000,10825000000,14364000000,12471000000,10051000000,11378000000
35,Inventory,2672000000,3105000000,3509000000,2947000000,4942000000,3332000000,3277000000,2701000000,3434000000,4979000000,6933000000,6939000000,8967000000,8349000000,6539000000,6794000000,6920000000,6184000000,5338000000,4247000000,7940000000,8105000000,9563000000,15612000000,16933000000,24317000000,32240000000,37751000000,42912000000,46756000000,47257000000,43199000000,44344000000,62567000000,76622000000,81715000000,78823000000
36,Other Current Assets,- -,- -,823000000,92000000,46000000,68000000,529000000,1247000000,1784000000,1128000000,1045000000,895000000,2026000000,2276000000,2266000000,3132000000,3497000000,3331000000,2573000000,2677000000,2816000000,3207000000,2669000000,1471000000,1334000000,316000000,505000000,28000000,14000000,18000000,- -,- -,- -,2335000000,3106000000,4286000000,2221000000
37,Total Current Assets,6766000000,8478000000,9313000000,8561000000,8660000000,8770000000,8829000000,8087000000,9175000000,10414000000,13178000000,15080000000,19263000000,16375000000,15712000000,15864000000,16206000000,16855000000,17258000000,15100000000,21968000000,22983000000,27280000000,25964000000,35275000000,40572000000,49810000000,57309000000,65074000000,67785000000,68234000000,62488000000,65161000000,87830000000,102229000000,121642000000,108666000000
38,PP&E,1866000000,2281000000,2554000000,2703000000,3481000000,4448000000,5530000000,6724000000,7088000000,6802000000,6456000000,6813000000,8391000000,8589000000,8245000000,8814000000,8459000000,8765000000,8432000000,8443000000,8420000000,7675000000,8265000000,8762000000,8784000000,8931000000,9313000000,9660000000,10224000000,11007000000,12076000000,12807000000,12672000000,12645000000,12502000000,11820000000,10918000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2478000000,2395000000,2312000000,- -,- -,- -,2760000000,1913000000,1948000000,1924000000,3047000000,3081000000,3647000000,4319000000,4937000000,4945000000,5035000000,5043000000,5119000000,5126000000,5324000000,5559000000,7840000000,8060000000,8081000000,8068000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2233000000,5214000000,- -,1128000000,1035000000,955000000,875000000,1698000000,2093000000,2685000000,2877000000,2979000000,3044000000,3111000000,3052000000,2869000000,2657000000,2540000000,2573000000,3429000000,3338000000,2843000000,2562000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2478000000,2395000000,2312000000,2233000000,5214000000,6443000000,3888000000,2948000000,2903000000,2799000000,4745000000,5174000000,6332000000,7196000000,7916000000,7989000000,8146000000,8095000000,7988000000,7783000000,7864000000,8132000000,11269000000,11398000000,10924000000,10630000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3050000000,2852000000,4085000000,4111000000,1328000000,1030000000,1111000000,1043000000,1180000000,1204000000,1154000000,1284000000,1317000000,1260000000,1087000000,1092000000,1016000000,975000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,415000000,15000000,411000000,- -,60000000,- -,- -,1242000000,154000000,140000000,1051000000,197000000,4114000000,3062000000,4031000000,5892000000,6753000000,2939000000,6576000000,265000000,332000000,341000000,284000000,683000000,86000000,77000000
44,Other Non-Current Assets,614000000,309000000,699000000,1344000000,1137000000,1373000000,1425000000,3336000000,4187000000,4247000000,2406000000,2468000000,7960000000,8985000000,9957000000,12076000000,17235000000,22834000000,23155000000,24313000000,23879000000,11255000000,13959000000,7279000000,6706000000,6004000000,5939000000,5848000000,5127000000,4688000000,4766000000,5189000000,4767000000,4244000000,5721000000,6648000000,7286000000
45,Total Non-Current Assets,2480000000,2590000000,3253000000,4047000000,4618000000,5821000000,6955000000,10060000000,11275000000,11049000000,8920000000,12174000000,18761000000,20297000000,20435000000,26164000000,32137000000,35487000000,35777000000,38863000000,38090000000,28811000000,31706000000,27815000000,26778000000,27993000000,30176000000,31587000000,27589000000,31413000000,26174000000,27509000000,27172000000,29529000000,31396000000,30494000000,29886000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9246000000,11068000000,12566000000,12608000000,13278000000,14591000000,15784000000,18147000000,20450000000,21463000000,22098000000,27254000000,38024000000,36672000000,36147000000,42028000000,48343000000,52342000000,53035000000,53963000000,60058000000,51794000000,58986000000,53779000000,62053000000,68565000000,79986000000,88896000000,92663000000,99198000000,94408000000,89997000000,92333000000,117359000000,133625000000,152136000000,138552000000
48,Accounts Payable,- -,- -,- -,- -,4932000000,5566000000,5466000000,5248000000,5854000000,3207000000,3017000000,3554000000,5609000000,5263000000,4909000000,5040000000,13872000000,13739000000,13563000000,14869000000,16513000000,16201000000,16676000000,17587000000,7096000000,7715000000,8406000000,9394000000,9498000000,10667000000,10800000000,11190000000,12202000000,12916000000,15553000000,12928000000,9261000000
49,Short-Term Debt,18000000,14000000,14000000,7000000,5000000,4000000,4000000,21000000,17000000,6000000,271000000,13000000,731000000,869000000,752000000,1232000000,1399000000,1814000000,1144000000,1321000000,1189000000,1381000000,762000000,560000000,707000000,948000000,2353000000,1436000000,1563000000,929000000,1234000000,384000000,1335000000,3190000000,7340000000,1961000000,1564000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1134000000,277000000,522000000,556000000,670000000,253000000,41000000,182000000,607000000,2780000000,- -,- -,- -,262000000,89000000,380000000,485000000,670000000,43000000,5000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16672000000,20027000000,23175000000,24364000000,23869000000,27440000000,50676000000,51551000000,50488000000,52980000000
52,Other Current Liabilities,4399000000,5645000000,7050000000,6698000000,1736000000,1562000000,806000000,871000000,660000000,3614000000,4127000000,5075000000,7812000000,7290000000,7995000000,12017000000,5215000000,4257000000,3741000000,4645000000,10486000000,12119000000,14100000000,12778000000,25080000000,26732000000,30515000000,17480000000,20398000000,21946000000,14014000000,14691000000,15292000000,14808000000,22868000000,21903000000,18187000000
53,Total Current Liabilities,4417000000,5659000000,7064000000,6705000000,6673000000,7132000000,6276000000,6140000000,6531000000,6827000000,7415000000,8642000000,14152000000,13422000000,13656000000,18289000000,20486000000,19810000000,18448000000,20835000000,28188000000,29701000000,31538000000,30925000000,32883000000,35395000000,41274000000,44982000000,51486000000,56717000000,50412000000,50134000000,56269000000,81590000000,97312000000,87280000000,81992000000
54,Long-Term Debt,16000000,263000000,256000000,251000000,275000000,311000000,1313000000,1772000000,2613000000,2603000000,2344000000,3980000000,6123000000,6103000000,5980000000,7567000000,10866000000,12589000000,13299000000,10879000000,9538000000,8157000000,7455000000,6952000000,12217000000,11473000000,10018000000,8890000000,7989000000,8044000000,8633000000,9487000000,9696000000,10558000000,19804000000,61890000000,56806000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,622000000,542000000,775000000,745000000,269000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,326000000,219000000,- -,205000000,174000000,161000000,102000000,- -,- -,51000000,- -,- -,- -,- -,172000000,- -,177000000,- -,- -,1090000000,2067000000,- -,2311000000,- -,827000000,418000000,- -,- -,- -,- -,2392000000,1338000000,1839000000,1736000000,413000000,1010000000,218000000
57,Other Non-Current Liabilities,123000000,101000000,259000000,43000000,25000000,14000000,- -,2179000000,2323000000,2282000000,2441000000,3691000000,4796000000,4831000000,4877000000,5152000000,5367000000,11705000000,12374000000,9128000000,8937000000,9197000000,8678000000,17196000000,13901000000,18417000000,25086000000,29057000000,18191000000,25647000000,26574000000,28161000000,24117000000,23065000000,24396000000,20031000000,14382000000
58,Total Non-Current Liabilities,465000000,583000000,515000000,499000000,474000000,486000000,1415000000,3951000000,4936000000,4936000000,4785000000,7671000000,10919000000,10934000000,11029000000,12719000000,17032000000,24836000000,26448000000,21842000000,20811000000,17354000000,18444000000,24148000000,26945000000,30308000000,35104000000,37947000000,26180000000,33691000000,37599000000,38986000000,35652000000,35359000000,44613000000,82931000000,71406000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,151000000,161000000,150000000,138000000,138000000,156000000,229000000,471000000,448000000
61,Total Liabilities,4882000000,6242000000,7579000000,7204000000,7147000000,7618000000,7691000000,10091000000,11467000000,11763000000,12200000000,16313000000,25071000000,24356000000,24685000000,31008000000,37518000000,44646000000,44896000000,42677000000,48999000000,47055000000,49982000000,55073000000,59828000000,65703000000,76378000000,82929000000,77666000000,90408000000,88011000000,89120000000,91921000000,116949000000,141925000000,170211000000,153398000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1746000000,1746000000,1802000000,5000000000,5059000000,5059000000,5059000000,5059000000,5059000000,5059000000,5059000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000,5061000000
64,Retained Earnings,3018000000,3497000000,3760000000,4137000000,4452000000,4840000000,6064000000,6276000000,7180000000,7696000000,7746000000,8447000000,8147000000,8706000000,10487000000,12090000000,14340000000,14262000000,14407000000,15565000000,17276000000,18453000000,21376000000,22675000000,22746000000,24784000000,27524000000,30037000000,32964000000,36180000000,38756000000,40714000000,45320000000,55941000000,50644000000,38610000000,34408000000
65,Other Comprehensive Income/Loss,-2515000000,-2875000000,-3259000000,-3682000000,-4109000000,-4543000000,-5070000000,-5569000000,-6144000000,-6786000000,-7288000000,-7838000000,-10903000000,-11652000000,-11874000000,-12156000000,-12369000000,-4045000000,-4145000000,-1925000000,-1778000000,-8217000000,-4596000000,-13525000000,-11877000000,-13758000000,-16500000000,-17416000000,-9894000000,-13903000000,-12748000000,-13623000000,-13376000000,-15083000000,-16153000000,-17133000000,-11659000000
66,Other Total Stockholders Equity,3861000000,4204000000,4486000000,4949000000,5788000000,6676000000,7099000000,7349000000,7947000000,7044000000,7694000000,8530000000,10709000000,10203000000,7790000000,6027000000,3795000000,-7580000000,- -,-7413000000,-9500000000,-10558000000,-12837000000,-15505000000,-13802000000,-13321000000,-12570000000,-11815000000,-13256000000,-18673000000,-24734000000,-31335000000,-36650000000,-45580000000,-48169000000,-44854000000,- -
67,Total Stockholders Equity,4364000000,4826000000,4987000000,5404000000,6131000000,6973000000,8093000000,8056000000,8983000000,9700000000,9898000000,10941000000,12953000000,12316000000,11462000000,11020000000,10825000000,7696000000,8139000000,11286000000,11059000000,4739000000,9004000000,-1294000000,2128000000,2766000000,3515000000,5867000000,14875000000,8665000000,6335000000,817000000,355000000,339000000,-8617000000,-18316000000,-14999000000
68,Total Liabilities And Stockholders Equity,9246000000,11068000000,12566000000,12608000000,13278000000,14591000000,15784000000,18147000000,20450000000,21463000000,22098000000,27254000000,38024000000,36672000000,36147000000,42028000000,48343000000,52342000000,53035000000,53963000000,60058000000,51794000000,58986000000,53779000000,61956000000,68469000000,79893000000,88796000000,92541000000,99073000000,94346000000,89937000000,92276000000,117288000000,133308000000,151895000000,138399000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000000,96000000,93000000,100000000,122000000,125000000,62000000,60000000,57000000,71000000,317000000,241000000,153000000
70,Total Liabilities & Equity,9246000000,11068000000,12566000000,12608000000,13278000000,14591000000,15784000000,18147000000,20450000000,21463000000,22098000000,27254000000,38024000000,36672000000,36147000000,42028000000,48343000000,52342000000,53035000000,53963000000,60058000000,51794000000,58986000000,53779000000,62053000000,68565000000,79986000000,88896000000,92663000000,99198000000,94408000000,89997000000,92333000000,117359000000,133625000000,152136000000,138552000000
