,https://roic.ai/company/CRUS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.7283,0.1816,0.2565,0.2412,0.1830,0.1356,0.1643,0.1525,0.0220,0.0268,0.1262,-0.5170,0.1097,0.2415,-0.3880,-0.6214,0.4004,-0.0474,0.3135,0.1378,0.0972,0.0982,0.1623,0.2523,0.2107,0.2657,0.2400,0.1440,0.2030,0.2483,0.2269,0.1473,0.1956,0.2143
17,Operating Income,-8500000,4400000,16100000,26600000,21200000,31300000,39200000,84200000,-31600000,-39100000,51900000,-303500000,12976000,69452000,-235071000,-203888000,25540000,-38508000,39315000,5977000,-14765000,3216000,25404000,83327000,79536000,200830000,155016000,108769000,180211000,317050000,262461000,100769000,173480000,237182000
18,Operating Income ratio,-0.9239,0.1192,0.1894,0.1876,0.1235,0.0882,0.0720,0.0947,-0.0276,-0.0426,0.0544,-0.4832,0.0230,0.0892,-0.5630,-0.7782,0.1301,-0.1976,0.2030,0.0328,-0.0812,0.0184,0.1150,0.2255,0.1863,0.2480,0.2170,0.1187,0.1541,0.2060,0.1713,0.0850,0.1354,0.1732
19,Total Other Income Expenses (Gains),600000,- -,1900000,2500000,1800000,1600000,15700000,5400000,-10100000,-12500000,4100000,-77900000,-60076000,88664000,17971000,2288000,13860000,4308000,6085000,13516000,11965000,2984000,1296000,873000,447000,370000,684000,-17220000,-4222000,-2003000,2638000,-7025000,7786000,8064000
20,Income Before Tax,- -,4400000,18000000,29100000,23000000,32900000,54900000,89600000,-41700000,-51600000,56000000,-381400000,-47100000,158116000,-217100000,-201600000,39400000,-34200000,45400000,19493000,-2800000,6200000,26700000,84200000,79983000,201200000,155700000,91549000,175989000,315047000,265099000,93744000,181266000,245246000
21,Income Before Tax Ratio,- -,0.1192,0.2118,0.2052,0.1340,0.0927,0.1009,0.1008,-0.0364,-0.0563,0.0587,-0.6072,-0.0835,0.2031,-0.5200,-0.7695,0.2007,-0.1755,0.2344,0.1069,-0.0154,0.0355,0.1208,0.2278,0.1874,0.2485,0.2180,0.0999,0.1505,0.2047,0.1730,0.0791,0.1415,0.1791
22,Income Tax expense (Gain),- -,300000,2600000,10300000,7400000,12300000,17800000,28200000,-5500000,-5500000,19500000,46000000,- -,15715000,-10400000,-3818000,-7100000,-20800000,-7000000,-8402000,3045000,2682000,-11715000,-119289000,-8000000,64592000,47626000,36371000,52359000,53838000,103104000,3753000,21768000,27902000
23,Net Income,-8400000,4100000,15400000,18800000,15600000,20600000,44700000,61400000,-36200000,-46200000,36500000,-427400000,-47100000,143176000,-206100000,-199200000,46500000,-13400000,52400000,27895000,-5800000,3500000,38400000,203500000,87983000,136600000,108100000,55178000,123630000,261209000,161995000,89991000,159498000,217344000
24,Net Income ratio,-0.9130,0.1111,0.1812,0.1326,0.0909,0.0581,0.0822,0.0691,-0.0316,-0.0504,0.0382,-0.6805,-0.0835,0.1839,-0.4937,-0.7603,0.2369,-0.0688,0.2705,0.1530,-0.0319,0.0200,0.1738,0.5506,0.2061,0.1687,0.1513,0.0602,0.1057,0.1697,0.1057,0.0759,0.1245,0.1587
25,EPS,-0.34,0.16,0.52,0.59,0.41,0.41,0.88,1.03,-0.58,-0.71,0.54,-6.77,-0.77,2.00,-2.66,-2.39,0.55,-0.16,0.63,0.32,-0.07,0.05,0.59,3.00,1.35,2.12,1.72,0.88,1.96,4.12,2.55,1.50,2.74,3.74
26,EPS Diluted,-0.34,0.16,0.52,0.59,0.41,0.41,0.80,0.96,-0.58,-0.71,0.52,-6.77,-0.77,1.86,-2.66,-2.39,0.54,-0.16,0.62,0.31,-0.07,0.05,0.59,2.82,1.29,2.00,1.65,0.85,1.87,3.92,2.46,1.46,2.64,3.62
27,Weighted Average Shares Outstanding,24705882,25625000,29615385,31864407,38048780,50243902,50795455,59611650,62413793,65070423,67592593,63131462,61554000,71678000,77552000,83445000,84019000,84746000,86036000,87643000,87967000,65530000,65338000,67857000,64934000,64580000,62926000,62503000,63197000,63329000,63407000,60116000,58317000,58106000
28,Weighted Average Shares Outstanding Diluted,24705882,25625000,29615385,31864407,38048780,50243902,55875000,63958333,62413793,65070423,70192308,63131462,61554000,82654000,77552000,83445000,85602000,84746000,87775000,88805000,87967000,65711000,65626000,72103000,68064000,68454000,65535000,65235000,65993000,66561000,65951000,61583000,60462000,60060000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/772406/000077240695000083/0000772406-95-000083-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240696000074/0000772406-96-000074-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240697000077/0000772406-97-000077-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/772406/000110601300000133/0001106013-00-000133-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013401503479/0000950134-01-503479-index.html,https://www.sec.gov/Archives/edgar/data/772406/000093066102002102/0000930661-02-002102-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013403009150/0000950134-03-009150-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013404008572/h15766e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013405011031/d25899e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013406010647/d36521e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013407012853/0000950134-07-012853-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013408010461/0000950134-08-010461-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012309009845/0000950123-09-009845-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012310054820/0000950123-10-054820-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012311053974/0000950123-11-053974-index.html,https://www.sec.gov/Archives/edgar/data/772406/000120677412002462/cirrus_10k.htm,https://www.sec.gov/Archives/edgar/data/772406/000119312513239492/0001193125-13-239492-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312514215076/0001193125-14-215076-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312515201883/0001193125-15-201883-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312516602269/0001193125-16-602269-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312517181625/0001193125-17-181625-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240618000007/0000772406-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240619000008/0000772406-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240620000007/0000772406-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/772406/000077240621000013/0000772406-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4900000,6700000,33000000,23700000,32100000,34600000,187900000,106900000,156000000,151500000,307200000,144500000,144000000,253136000,140500000,111000000,157900000,79200000,116700000,87960000,56600000,31500000,16100000,37000000,65997000,66400000,31900000,76401000,168793000,351166000,235604000,216172000,292119000,442164000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,80100000,19300000,188200000,125400000,74600000,48100000,6581000,2300000,500000,27100000,91600000,102300000,183755000,125100000,79300000,85400000,159500000,115877000,105200000,263400000,124246000,60582000,99813000,26397000,70183000,22008000,55697000
33,Cash and Short-Term Investments,4900000,6700000,33000000,23700000,32100000,34600000,187900000,187000000,175300000,339700000,432600000,219100000,192100000,259717000,142800000,111500000,185000000,170800000,219000000,271715000,181700000,110800000,101500000,196500000,181874000,171600000,295300000,200647000,229375000,450979000,262001000,286355000,314127000,497861000
34,Net Receivables,2300000,6300000,14000000,20800000,29400000,64100000,81800000,161300000,133700000,173700000,103100000,66100000,100200000,136102000,42200000,22700000,19800000,18600000,20900000,19127000,22700000,13300000,24000000,39100000,44153000,69300000,63200000,112608000,88532000,119974000,100801000,120656000,153998000,108712000
35,Inventory,2600000,1900000,11200000,10000000,15800000,48500000,73100000,103600000,134500000,127300000,103700000,40300000,53300000,109161000,28000000,22300000,29600000,26600000,18700000,16496000,22500000,19900000,35400000,40500000,55915000,119300000,69700000,84196000,142015000,167895000,205760000,164733000,146725000,173263000
36,Other Current Assets,100000,300000,8800000,36000000,21200000,46300000,70200000,28000000,151300000,154300000,176800000,105200000,75100000,28217000,32700000,20200000,18700000,14500000,13600000,13699000,15800000,11100000,24000000,43400000,69645000,84300000,47100000,54462000,46207000,37080000,45112000,53239000,35346000,62683000
37,Total Current Assets,9900000,15200000,67000000,90500000,98500000,193500000,413000000,479900000,594800000,795000000,816200000,430700000,420700000,533197000,245700000,176700000,253100000,230500000,272200000,321037000,242700000,155100000,184900000,319500000,351587000,444500000,475300000,451913000,506129000,775928000,613674000,624983000,650196000,842519000
38,PP&E,3900000,4700000,9100000,15700000,21700000,46900000,69700000,100200000,170200000,130900000,99400000,48000000,34700000,32340000,36500000,35300000,22700000,17600000,14100000,11407000,21000000,19400000,18700000,34600000,66978000,100600000,103700000,144346000,162656000,168139000,191154000,186185000,299518000,288490000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99700000,- -,- -,- -,- -,6461000,6200000,6000000,6000000,6000000,6027000,6000000,16400000,263115000,287518000,286767000,288718000,286241000,287088000,287518000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,104500000,151700000,167000000,14000000,- -,- -,95000000,38800000,28600000,10800000,3000000,8550000,26000000,23300000,21900000,20100000,18241000,12700000,12000000,175743000,162832000,135188000,111547000,67847000,34430000,22031000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,104500000,151700000,167000000,14000000,- -,- -,194700000,38800000,28600000,10800000,3000000,15011000,32200000,29300000,27900000,26100000,24268000,18700000,28400000,438858000,450350000,421955000,400265000,354088000,321518000,309549000
42,Investments,- -,- -,- -,- -,- -,- -,- -,63700000,- -,- -,- -,- -,- -,- -,- -,- -,7000000,1000000,26700000,4000000,- -,3627000,34278000,12702000,2914000,64910000,89243000,60072000,20631000,- -,172499000,158968000,283573000,312759000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89071000,- -,- -,- -,- -,- -,14716000,- -,- -,9977000
44,Other Non-Current Assets,1500000,1200000,1500000,2800000,20300000,16000000,19500000,29700000,48100000,59200000,54900000,39900000,49400000,32468000,4700000,6500000,3300000,2900000,3000000,1605000,2400000,2073000,1822000,103698000,9644000,22590000,28057000,53589000,42117000,47448000,37809000,28416000,37872000,67320000
45,Total Non-Current Assets,5400000,5900000,10600000,18500000,42000000,62900000,89200000,193600000,322800000,341800000,321300000,101900000,84100000,64808000,235900000,80600000,61600000,32300000,46800000,32023000,55600000,54400000,82700000,177100000,192875000,206800000,249400000,696865000,675754000,637542000,816443000,727657000,942481000,988095000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15300000,21100000,77600000,109000000,140500000,256400000,502200000,673500000,917600000,1136800000,1137500000,532600000,504800000,598005000,481600000,257300000,314700000,262800000,319000000,353060000,298300000,209500000,267600000,496600000,544462000,651300000,724700000,1148778000,1181883000,1413470000,1430117000,1352640000,1592677000,1830614000
48,Accounts Payable,- -,- -,14700000,13000000,16700000,59700000,80000000,140400000,214300000,231200000,209500000,167000000,88000000,77899000,35500000,10300000,19300000,10500000,14100000,10434000,16200000,9900000,20300000,27600000,38108000,60800000,51900000,112213000,71619000,73811000,69850000,48398000,78412000,102744000
49,Short-Term Debt,1700000,1400000,1500000,2800000,4600000,9300000,11000000,- -,80000000,- -,- -,- -,- -,3133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13580000,14573000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9765000,- -,5095000,5504000,7935000,7098000,4290000,6584000,5918000,6488000,6844000,7228000,4956000,5631000,6105000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3000000,5000000,5500000,10100000,11600000,26800000,54400000,87900000,117900000,135100000,130500000,99700000,95600000,68643000,83200000,65505000,57996000,28265000,18802000,19896000,25216000,12382000,15112000,17656000,27649000,27344000,24969000,58260000,56505000,70264000,70359000,67142000,66645000,96293000
53,Total Current Liabilities,4700000,6400000,21700000,25900000,32900000,95800000,145400000,228300000,412200000,366300000,340000000,266700000,183600000,159440000,118700000,80900000,82800000,46700000,40000000,34620000,48000000,28200000,41900000,52100000,72985000,93100000,82500000,176578000,128124000,144075000,140209000,115540000,158637000,213610000
54,Long-Term Debt,2100000,2300000,3500000,9600000,12100000,18100000,19100000,26200000,71800000,361100000,338000000,314400000,302500000,336000,100000,- -,- -,3800000,5600000,- -,2900000,2100000,1100000,300000,- -,- -,- -,180439000,160439000,60000000,- -,- -,- -,127883000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64937000,22024000,18559000,35451000,30138000,- -,78309000,71143000,- -
57,Other Non-Current Liabilities,28900000,28700000,100000,- -,- -,-100000,100000,- -,4900000,5200000,3200000,9300000,34400000,3983000,4700000,12800000,17800000,8600000,9200000,13503000,6500000,6300000,6000000,5800000,5620000,-54837000,-17124000,16431000,-1614000,27565000,128180000,18551000,133118000,100116000
58,Total Non-Current Liabilities,31000000,31000000,3600000,9600000,12100000,18000000,19200000,26200000,76700000,366300000,341200000,323700000,336900000,4319000,4800000,12800000,17800000,12400000,14800000,13503000,9400000,8400000,7100000,6100000,5620000,10100000,4900000,215429000,194276000,117703000,128180000,96860000,204261000,227999000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142892000,142456000
61,Total Liabilities,35700000,37400000,25300000,35500000,45000000,113800000,164600000,254500000,488900000,732600000,681200000,590400000,520500000,163759000,123500000,93700000,100600000,59100000,54800000,48123000,57400000,36600000,49000000,58200000,78605000,103200000,87400000,392007000,322400000,261778000,268389000,212400000,362898000,441609000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,283700000,329600000,351300000,100000,100000,100000,80000,100000,100000,100000,100000,100000,88000,100000,100000,100000,100000,64000,100000,100000,63000,63000,64000,62000,59000,58000,58000
64,Retained Earnings,-20400000,-16400000,-1000000,17800000,11500000,29200000,73800000,135300000,99100000,52900000,89400000,-383900000,-431000000,-287825000,-504700000,-703900000,-657400000,-670800000,-649100000,-621180000,-696600000,-772000000,-733600000,-552800000,-541609000,-492700000,-440600000,-400613000,-344345000,-107014000,-139345000,-222430000,-201681000,-112689000
65,Other Comprehensive Income/Loss,-2600000,-3500000,-5600000,-9800000,-17800000,-31500000,-48600000,-73100000,-113500000,-160700000,-3400000,-3000000,94600000,-172557000,200000,-537000,-171000,-1153000,-890000,-783000,-224000,-576000,-649000,-754000,-762000,-919000,-886000,-2110000,332000,-573000,-11361000,-1066000,-3469000,2875000
66,Other Total Stockholders Equity,2600000,3600000,58900000,65500000,101800000,144900000,312400000,73100000,113500000,160700000,370200000,329100000,320600000,894548000,862500000,867864000,871570000,875590000,914304000,926812000,937659000,945404000,952750000,991833000,1008164000,1041693000,1078744000,1159431000,1203433000,1259215000,1312372000,1363677000,1434871000,1498761000
67,Total Stockholders Equity,-20400000,-16300000,52300000,73500000,95500000,142600000,337600000,419000000,428700000,404200000,456300000,-57700000,-15700000,434246000,358100000,163527000,214099000,203737000,264414000,304937000,240935000,172928000,218601000,438379000,465857000,548174000,637358000,756771000,859483000,1151692000,1161728000,1140240000,1229779000,1389005000
68,Total Liabilities And Stockholders Equity,15300000,21100000,77600000,109000000,140500000,256400000,502200000,673500000,917600000,1136800000,1137500000,532700000,504800000,598005000,481600000,257227000,314699000,262837000,319214000,353060000,298335000,209528000,267601000,496579000,544462000,651374000,724758000,1148778000,1181883000,1413470000,1430117000,1352640000,1592677000,1830614000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,73000,1000,-37000,-214000,- -,-35000,-28000,-1000,21000,- -,-74000,-58000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15300000,21100000,77600000,109000000,140500000,256400000,502200000,673500000,917600000,1136800000,1137500000,532600000,504800000,598005000,481600000,257300000,314700000,262800000,319000000,353060000,298300000,209500000,267600000,496600000,544462000,651300000,724700000,1148778000,1181883000,1413470000,1430117000,1352640000,1592677000,1830614000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/772406/000077240695000083/0000772406-95-000083-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240696000074/0000772406-96-000074-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240697000077/0000772406-97-000077-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/772406/000110601300000133/0001106013-00-000133-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013401503479/0000950134-01-503479-index.html,https://www.sec.gov/Archives/edgar/data/772406/000093066102002102/0000930661-02-002102-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013403009150/0000950134-03-009150-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013404008572/h15766e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013405011031/d25899e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013406010647/d36521e10vk.htm,https://www.sec.gov/Archives/edgar/data/772406/000095013407012853/0000950134-07-012853-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095013408010461/0000950134-08-010461-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012309009845/0000950123-09-009845-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012310054820/0000950123-10-054820-index.html,https://www.sec.gov/Archives/edgar/data/772406/000095012311053974/0000950123-11-053974-index.html,https://www.sec.gov/Archives/edgar/data/772406/000120677412002462/cirrus_10k.htm,https://www.sec.gov/Archives/edgar/data/772406/000119312513239492/0001193125-13-239492-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312514215076/0001193125-14-215076-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312515201883/0001193125-15-201883-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312516602269/0001193125-16-602269-index.html,https://www.sec.gov/Archives/edgar/data/772406/000119312517181625/0001193125-17-181625-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240618000007/0000772406-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240619000008/0000772406-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/772406/000077240620000007/0000772406-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/772406/000077240621000013/0000772406-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,15400000,18800000,15600000,20600000,44700000,61400000,-36200000,-46200000,36500000,-427400000,-47100000,143176000,-206100000,-199200000,46500000,-13400000,52400000,27895000,-5800000,3500000,38400000,203500000,87983000,136600000,108100000,55178000,123630000,261209000,161995000,89991000,159498000,217344000
74,Depreciation and Amortization,- -,- -,3800000,5100000,8400000,15200000,26900000,34300000,64300000,88000000,71900000,62300000,32218000,29127000,35408000,40048000,27198000,24157000,7516000,5636000,8333000,8168000,7888000,8145000,9972000,13562000,14883000,34855000,58060000,63433000,81399000,79826000,68237000,47083000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46700000,-4062000,- -,- -,- -,- -,- -,-340000,-7553000,4222000,2701000,-11932000,-120045000,-10154000,60600000,35959000,32238000,23202000,10885000,11646000,1717000,-5888000,-5581000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5166000,5318000,8141000,12178000,21495000,23074000,37549000,33506000,39593000,48741000,49689000,53757000,56762000
77,Change in Working Capital,- -,- -,-2600000,19300000,1000000,32100000,169900000,-16000000,-69000000,246100000,47500000,-312200000,73100000,136657000,-246757000,-31200000,74500000,13500000,48400000,54217000,-91717000,-67800000,16100000,124400000,11202000,72798000,41400000,-117465000,102670000,253848000,-158388000,35978000,-17884000,137350000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9346000,-13149000,-15135000,-5055000,-25232000,6815000,-37344000,24156000,-31442000,19173000,-14316000,-33082000,45286000
79,Inventory,- -,- -,-9400000,1300000,-4200000,-24500000,-24600000,-24800000,-30900000,2400000,21600000,54900000,-12856000,-55873000,81891000,5646000,-7293000,2983000,6976000,2396000,-3259000,2744000,-15518000,-5101000,-15418000,-67606000,49557000,16077000,-57819000,-25880000,-37865000,40636000,17765000,-26538000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6278000,10454000,7299000,10469000,22423000,-9443000,36504000,-41456000,1772000,143000,-21965000,27626000,21104000
81,Other Working Capital,- -,- -,45300000,64600000,65600000,97700000,267600000,251600000,182600000,428700000,476200000,164000000,237100000,373757000,127000000,95800000,170300000,183800000,232200000,286417000,194700000,126900000,143000000,267400000,278602000,351400000,392800000,275335000,378005000,631853000,473465000,509443000,491559000,628909000
82,Other Non-Cash Items,- -,- -,-2000000,-21900000,-7500000,-39500000,-192300000,-14600000,48600000,-285300000,36300000,615000000,-233546000,-307879000,388451000,172185000,-78614000,-41360000,-48160000,-44570000,116312000,71332000,-30638000,-137201000,-27986000,-144231000,4622000,121158000,-185786000,-259217000,173318000,-50507000,38095000,-104013000
