,https://roic.ai/company/CVR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-11900000,-4000000,-6100000,-3500000,-6200000,-3383619,-2563985,-5987733,-505000,-1015000,-1235000,-17825000,-19610000,-14097000,-12669000,- -,- -,-6368000,-6207348,-3984000,-7810000,-7719000,-6814000,-4980000,-6823000,-4733000,-2492000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,700000,2300000,1000000,7400000,8400000,10100000,5100000,5800000,6200000,2506327,3815989,3007882,3207733,665000,1035000,13425000,18135000,14980000,12236000,- -,- -,5160000,7088000,4133348,7303000,6225000,7063000,5727000,7312000,6574000,4484000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,-1900000,200000,- -,-14100000,100000,- -,- -,22225,57894,37179,24144,2730,257160,23000,38766,-342519,-402340,-617380,-606349,-1013359,-3279676,-1637130,-2076403,-2024130,-1332288,-1971712,-1797914,-824136,-663098
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,1600000,-2000000,-800000,-3700000,-8900000,-1900000,-400000,-1700000,-2980256,-121800,-3828681,2085162,-1690176,-586148,-5704482,-1842527,540481,-835340,-617380,-606349,-2221359,-2399024,-1487782,-2583403,-3518130,-1083288,-1224712,-1308914,1016864,1328902
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,- -,-100000,-600000,-300000,-3895122,- -,-26976,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-800000,-700000,-800000,-900000,-1000000,-1100000,-1100000,-1300000,-1200000,-1129544,-938119,-840918,-937148,-695615,-840535,-695615,-695615,-840535,-463743,-405775,-492728,-869518,-608663,-1082068,-937148,-956471,-1111052,-1101391,-1140036,-502388,-850196
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,9000000,-2200000,-1800000,-1900000,2082760,-1800000,-1800000,-1632760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-1600000,-700000,-800000,-900000,-1100000,7900000,-3400000,-3700000,-3400000,-2941906,-2738119,-2667894,-2569908,-695615,-840535,-695615,-695615,-840535,-463743,-405775,-492728,-869518,-608663,-1082068,-937148,-956471,-1111052,-1101391,-1140036,-502388,-850196
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,-1149018,2427557,-2488569,3325669,-65731,-733531,-4363256,297491,888154,-983940,156238,-21179,-311535,50798,-212356,569642,-447419,799094,-445696,722581,1138277,-530777
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,2265442,4692999,2204430,5530099,5464368,4730837,367581,665072,1553226,569286,725524,704345,392810,443608,231252,800894,353475,1152569,706873,1429454,2567731,2036954
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,900000,1000000,2900000,1900000,2200000,1300000,3200000,4000000,3200000,3414460,2265442,4692999,2204430,5530099,5464368,4730837,367581,665072,1553226,569286,725524,704345,392810,443608,231252,800894,353475,1152569,706873,1429454,2567731
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,800000,400000,600000,1700000,3600000,1900000,5100000,500000,3600000,2647955,3855778,3121997,3168700,977154,49844,709359,2429340,817285,-114374,504313,-444641,1686583,-386391,701264,2008921,1999322,1659446,-117940,1368617,-200335,-1680381
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/0000950137-96-000389-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/000095013701000943/0000950137-01-000943-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19871/000095013708003952/0000950137-08-003952-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095013709002073/0000950137-09-002073-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095012310027218/0000950123-10-027218-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000095012311029728/0000950123-11-029728-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312512137299/0001193125-12-137299-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312513132228/0001193125-13-132228-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312514110285/0001193125-14-110285-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312515100150/0001193125-15-100150-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312516511898/0001193125-16-511898-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312517089303/0001193125-17-089303-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312518089128/0001193125-18-089128-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312519080761/0001193125-19-080761-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312520080625/0001193125-20-080625-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312521087465/0001193125-21-087465-index.htm,https://www.sec.gov/Archives/edgar/data/19871/000119312522080508/0001193125-22-080508-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
