,https://roic.ai/company/STCN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,2300000,17100000,49700000,149700000,4955076000,561501000,151759000,22122000,22122000,201314000,16540000,11719000,29292000,23120000,24173000,4699000,2897000,1764000,667000,- -,- -,- -,192964000,162518000,135263000,115005000
41,Intangible Assets,- -,- -,2300000,17100000,49700000,149700000,4955076000,561501000,151759000,22122000,22122000,201314000,197779000,189995000,219304000,48828000,40380000,7757000,5955000,4822000,3725000,- -,- -,- -,447316000,419646000,392391000,346475000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12369000,13016000,12016000,10803000,7970000,7172000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,8100000,13500000,68700000,172800000,770886000,388806000,91127000,38840000,22032000,28432000,23810000,33467000,42452000,7353000,9760000,9545000,5465000,5528000,9855000,10124000,6783000,4897000,8821000,7325000,7420000,6810000
45,Total Non-Current Assets,- -,- -,18900000,41700000,132400000,347300000,5985232000,1159861000,311648000,69560000,51400000,272609000,267609000,278569000,336645000,129728000,116062000,76617000,62995000,52610000,45878000,32860000,29054000,23452000,562769000,518239000,535629000,462983000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,109500000,148400000,237500000,2404600000,8557107000,2185565000,870338000,455341000,433766000,721684000,763219000,819128000,810560000,555821000,525786000,422362000,358882000,343696000,451646000,446502000,348945000,281298000,827050000,731563000,759172000,676381000
48,Accounts Payable,- -,- -,7300000,10000000,11300000,31800000,128627000,69841000,46011000,39254000,37055000,135677000,151077000,151233000,168190000,122125000,132098000,114588000,110520000,110148000,105045000,120118000,114432000,71476000,78212000,85898000,70002000,55517000
49,Short-Term Debt,- -,- -,- -,25700000,44300000,25300000,529671000,39807000,95641000,6622000,15963000,26759000,386000,459000,349000,7659000,- -,- -,- -,- -,4453000,- -,- -,- -,70257000,11732000,5527000,19292000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57152000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12638000,11816000,8551000,13452000
52,Other Current Liabilities,- -,- -,11300000,32400000,36700000,619200000,803472000,334740000,213159000,135172000,68242000,62001000,61925000,68661000,66634000,59330000,55013000,46909000,71856000,66283000,89096000,91235000,80334000,77679000,129505000,147404000,165852000,129732000
53,Total Current Liabilities,- -,- -,18600000,68100000,92300000,676300000,1461770000,444388000,354811000,181048000,121260000,224437000,213388000,220353000,235173000,189114000,187111000,161497000,182376000,176431000,198594000,211353000,194766000,149155000,290612000,256850000,249932000,217993000
54,Long-Term Debt,- -,- -,- -,9600000,1400000,15100000,228023000,221814000,7890000,1673000,1544000,98000,24819000,24786000,- -,18504000,29000,- -,- -,- -,73391000,77864000,58182000,59758000,383111000,375937000,373522000,406459000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,9100000,8500000,10500000,35100000,61365000,20795000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,500000,7300000,4500000,19800000,50945000,409737000,65301000,25143000,17224000,25831000,27097000,18920000,29413000,2605000,19945000,17686000,11374000,10360000,8043000,12684000,10057000,9414000,10507000,10898000,51720000,10537000
58,Total Non-Current Liabilities,- -,- -,9600000,25400000,16400000,70000000,340333000,652346000,73191000,26816000,18768000,25929000,51916000,43706000,29413000,21109000,19974000,17686000,11374000,10360000,81434000,90548000,68239000,69172000,393618000,386835000,425242000,416996000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823000,548000,329000,55000,346000,69000,65000,142000,401000,- -,- -,- -,- -,- -,- -,57529000,52617000
61,Total Liabilities,- -,- -,28200000,93500000,108700000,746300000,1802103000,1096734000,428002000,207864000,140028000,250366000,265304000,264059000,264586000,210223000,207085000,179183000,193750000,186791000,280028000,301901000,263005000,218327000,684230000,643685000,675174000,634989000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35192000,35186000,35180000,35180000
63,Common Stock,- -,- -,- -,- -,- -,1000000,2965000,3467000,3926000,3956000,4016000,4846000,4865000,4889000,491000,457000,440000,438000,439000,516000,521000,522000,553000,556000,608000,618000,628000,632000
64,Retained Earnings,- -,- -,44700000,11600000,28200000,518100000,-857814000,-6242893000,-6880452000,-7096760000,-7009785000,-6983260000,-6968315000,-6918904000,-6909776000,-7103228000,-7121015000,-7170030000,-7236775000,-7277130000,-7293412000,-7311841000,-7373122000,-7398949000,-7363569000,-7426287000,-7433700000,-7480220000
65,Other Comprehensive Income/Loss,- -,- -,-6200000,-8900000,-10400000,-12700000,-58653000,-117428000,-74530000,-18539000,-22232000,2000000,6000000,8000000,19000000,14000000,14000000,26000000,11000000,14000000,14000000,4000000,2000000,4000000,3000000,1000000,4000000,7162000
