,https://roic.ai/company/LNT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,3800000,-4100000,-4900000,-10700000,4483000,-18208000,-15755000,-5683000,-28167000,-15600000,-27200000,28200000,-25600000,-22000000,1700000,13600000,22500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37600000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96700000,-145900000,-234900000,-166200000,-261600000,-447639000,-443354000,-112895000,487630000,28794000,147500000,203100000,71700000,535300000,407400000,303200000,226000000,11500000,-25700000,-422100000,-171600000,-532500000,-284900000,-1243900000,-859000000,-1178600000,-410000000,-1000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,82700000,165800000,193300000,16200000,494200000,428845000,-86143000,-18927000,-172511000,636150000,178794000,668500000,-36600000,-391300000,67200000,219600000,246900000,261300000,11400000,231800000,-249700000,315800000,-261100000,851800000,-964000000,-210200000,-1440600000,17000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,173300000,185700000,190700000,151200000,467800000,423129000,431849000,480288000,544040000,419990000,501600000,565400000,403300000,588800000,319500000,657100000,984900000,702700000,841100000,731000000,891600000,871200000,859600000,983400000,527700000,660400000,501000000,582000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129700000,-115400000,-141500000,-119400000,-372100000,-478573000,-1066464000,-818363000,-656792000,-838893000,-649200000,-527600000,-397400000,-542000000,-879000000,- -,- -,-608100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1202600000,-866900000,-65300000,-1158100000,-798300000,-902800000,-1034300000,-1196800000,-1466900000,-1633900000,-1640100000,-1366000000,-1169000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,-5100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51700000,- -,- -,- -,- -,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-35200000,22900000,-26700000,-33400000,34193000,59670000,75050000,24134000,564245000,9700000,211600000,815000000,871000000,12900000,53700000,400000,-4600000,2600000,43600000,-14900000,115100000,10300000,-29400000,567100000,352800000,415000000,441000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132600000,-150600000,-118600000,-146100000,-405500000,-444380000,-1006794000,-743313000,-632658000,-274648000,-639500000,-316000000,465800000,329000000,-866100000,-1148900000,-866500000,-652100000,-1155500000,-754700000,-917700000,-919200000,-1186500000,-1496300000,-1066800000,-1287300000,-951000000,-728000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-377900000,-450400000,-1300000,-1400000,- -,-358500000,-183000000,-313400000,-4600000,-855700000,-256500000,-657000000,-8000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33800000,36491000,1069000,288553000,200668000,384344000,115100000,29300000,49600000,34100000,1300000,1000000,- -,- -,- -,- -,- -,151200000,26600000,149600000,196600000,390300000,247000000,28000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56389000,- -,- -,- -,-105100000,-296800000,-300000,-900000,- -,-40000000,- -,-211000000,- -,- -,- -,- -,- -,- -,- -,-200000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49400000,-59700000,-60700000,-61600000,-140700000,-156489000,-158131000,-158231000,-180987000,-101313000,-114000000,-121900000,-134400000,-143200000,-153700000,-184200000,-193300000,-204900000,-215200000,-219700000,-236000000,-247300000,-266500000,-288300000,-312200000,-337700000,-377000000,-403000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,28700000,-11700000,59400000,49200000,223091000,766753000,70906000,120798000,-248951000,158600000,-205400000,-629200000,-32300000,300600000,882200000,509300000,47700000,540800000,443000000,667700000,276000000,882600000,675900000,1502000000,823000000,1275000000,713000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52800000,-31000000,-72400000,-2200000,-57700000,103093000,609691000,201228000,84090000,34080000,159700000,-298000000,-819100000,-438200000,147900000,320200000,-134400000,-198500000,324200000,12300000,73200000,-3100000,329300000,532600000,530700000,619100000,488000000,130000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,4100000,-300000,2900000,4500000,81842000,34746000,-61797000,-4528000,179422000,21800000,-48600000,50000000,479600000,-398700000,-171600000,-16000000,-147900000,9800000,-11400000,47100000,-51100000,2400000,19700000,-8400000,-7800000,38000000,-16000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,11400000,11100000,14000000,31800000,113669000,148415000,86618000,63872000,242281000,262600000,216000000,266000000,745600000,346900000,175300000,159300000,11400000,21200000,9800000,56900000,5800000,8200000,27900000,25500000,17700000,56000000,40000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,19500000,7300000,11400000,11100000,27300000,31827000,113669000,148415000,68400000,62859000,240800000,264600000,216000000,266000000,745600000,346900000,175300000,159300000,11400000,21200000,9800000,56900000,5800000,8200000,33900000,25500000,18000000,56000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,43600000,70300000,49200000,31800000,95700000,-55444000,-634615000,-338075000,-112752000,-418903000,-147600000,37800000,5900000,46800000,-559500000,657100000,984900000,94600000,841100000,731000000,891600000,871200000,859600000,983400000,527700000,660400000,501000000,582000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/352541/000089706995000018/0000897069-95-000018-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107832/000089706999000197/0000897069-99-000197-index.html,https://www.sec.gov/Archives/edgar/data/352541/000010783200000027/0000107832-00-000027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/107832/000010783203000014/0000107832-03-000014-index.html,https://www.sec.gov/Archives/edgar/data/352541/000010783204000096/0000107832-04-000096-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783205000069/0000107832-05-000069-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783206000055/0000107832-06-000055-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783207000058/0000107832-07-000058-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783208000019/0000107832-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000010783209000001/0000107832-09-000001-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254110000009/0000352541-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/0001193125-11-049662-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/0001193125-12-081622-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254113000007/0000352541-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254114000006/0000352541-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254115000005/0000352541-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254116000076/0000352541-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254117000017/0000352541-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254118000019/0000352541-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254119000013/0000352541-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254120000021/0000352541-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254121000022/0000352541-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/352541/000035254122000020/0000352541-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
