,https://roic.ai/company/MDU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,-100000,26600000,30900000,71100000,164400000,195813000,236165000,237903000,299479000,279085000,304268000,339773000,364444000,304817000,394473000,399092000,295885000,277966000,331788000,226279000,73403000,307816000,257137000,198082000,431274000,373825000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,67400000,88000000,29400000,66800000,81400000,-38200000,27991000,131339000,145390000,116910000,213235000,152733000,268162000,39129000,487251000,1050068000,239770000,397904000,610916000,322660000,336043000,1416154000,165412000,242910000,226883000,-89780000,152319000,117700000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,97800000,124900000,106200000,138600000,138400000,154900000,206962000,348554000,326331000,418397000,433071000,483239000,659475000,563192000,786187000,846686000,551633000,626648000,584740000,742193000,615782000,641144000,462209000,448011000,499881000,542280000,768374000,495800000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81600000,-115000000,-111900000,-112200000,-191200000,-170500000,-408826000,-382285000,-276776000,-313053000,-337688000,-510906000,-508975000,-558283000,-746478000,-448675000,-449282000,-497000000,-872920000,-909400000,-972102000,-625375000,-388183000,-341382000,-568230000,-576065000,-558007000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-214000000,-114000000,-348000000,-533543000,-6000000,-105000000,- -,-67000000,- -,- -,- -,- -,- -,-168000000,-56000000,-105979000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-4666000,- -,-54265000,- -,- -,- -,- -,-3740000,- -,- -,- -,- -,- -,- -,-1396000,- -,- -,- -,-1814000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102000,2760000,- -,2491000,- -,39999000,- -,- -,85773000,- -,- -,- -,9725000,302000,- -,1515000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,1900000,15000000,29300000,-10900000,-17900000,10000000,31828000,-72440000,-110402000,5380000,40997000,-37251000,564019000,86927000,-422406000,146338000,32455000,-830677000,-782963000,-904191000,-570806000,-343357000,-216402000,-544143000,-547861000,-522450000,-885900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73500000,-113100000,-96900000,-82900000,-202100000,-188500000,-396724000,-347697000,-353882000,-420964000,-386573000,-643910000,-660226000,-342264000,-1107321000,-432146000,-407944000,-464545000,-887952000,-782661000,-904191000,-569291000,-344753000,-216402000,-712143000,-603861000,-630243000,-885900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-398007000,-23968000,-105151000,-138775000,-423707000,-380303000,-569498000,-315647000,-217394000,-174520000,-638917000,-173634000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,32900000,3200000,47249000,67176000,55134000,568000,70129000,9165000,19963000,17263000,15011000,65207000,4972000,5744000,88000,14554000,150060000,21898000,- -,- -,- -,106848000,3385000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17284000,-5020000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30800000,-31500000,-32100000,-33400000,-41200000,-46100000,-53950000,-61855000,-68287000,-73371000,-81019000,-87551000,-93450000,-100641000,-108591000,-115023000,-119157000,-123323000,-159768000,-98405000,-136712000,-142835000,-147156000,-150727000,-154573000,-160256000,-166405000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27900000,16000000,37200000,-51900000,83100000,114900000,155571000,-779000,66549000,94155000,-22572000,247115000,43390000,-105116000,361243000,155901000,41386000,1539000,488083000,544424000,692149000,434705000,267889000,140055000,564489000,766417000,191611000,384700000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58800000,-15600000,5000000,-75300000,74700000,71900000,148770000,4442000,53296000,21352000,-33462000,168729000,-30097000,-188494000,267663000,-291922000,-96767000,-221191000,189628000,36866000,325194000,-255730000,-194914000,-245350000,230376000,74092000,-145043000,384700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1666000,308000,-635000,782000,38000,-214000,-146000,-215000,-155000,-225000,4000,-1000,-1000,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34500000,-3800000,14400000,-19600000,11000000,38300000,-40992000,5299000,25745000,18785000,13036000,8058000,-32514000,32742000,-54106000,123400000,46960000,-59302000,-113730000,-3817000,36630000,2736000,-37796000,-11508000,19349000,12511000,-6912000,-5400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,37200000,33400000,47800000,28200000,39200000,77500000,36512000,41811000,67556000,86341000,99377000,107435000,74921000,105820000,51714000,175114000,222074000,162772000,49042000,45225000,81855000,84591000,46107000,34599000,53948000,66459000,59547000,54200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,71700000,37200000,33400000,47800000,28200000,39200000,77504000,36512000,41811000,67556000,86341000,99377000,107435000,73078000,105820000,51714000,175114000,222074000,162772000,49042000,45225000,81855000,83903000,46107000,34599000,53948000,66459000,59600000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,16200000,9900000,-5700000,26400000,-52800000,-15600000,-201864000,-33731000,49555000,105344000,95383000,-27667000,150500000,4909000,39709000,398011000,102351000,129648000,-288180000,-167207000,-356320000,15769000,74026000,106629000,-68349000,-33785000,210367000,495800000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/67716/000006771695000002/0000067716-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771696000004/0000067716-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771697000002/0000067716-97-000002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771601500013/0000067716-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771602000023/0000067716-02-000023-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771606000058/mdu200510k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771607000045/mdu200610k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771608000048/mdu10k.htm,- -,https://www.sec.gov/Archives/edgar/data/67716/000006771610000030/0000067716-10-000030-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771611000021/mduform10-k2010.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771612000031/0000067716-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771613000021/0000067716-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771614000029/mdu-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771615000027/mdu-12312014form10xk.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771616000116/0000067716-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771617000017/0000067716-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771618000013/0000067716-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771619000019/0000067716-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771620000010/0000067716-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/67716/000006771621000007/0000067716-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/67716/000006771622000012/0000067716-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
