,https://roic.ai/company/NSYS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,1200000,700000,400000,453500,527998,- -,448751,101179,555783,840123,725891,888036,803041,245381,230582,- -,- -,- -,66371,887,268204,472886,480000,351000,352000,643000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1200000,700000,400000,453500,527998,- -,448751,101179,555783,840123,725891,888036,803041,245381,230582,- -,- -,- -,66371,887,268204,472886,480000,351000,352000,643000
34,Net Receivables,- -,- -,- -,3700000,5000000,5400000,5427441,8580791,- -,7616093,11255330,13707099,14447612,14702364,15366965,13582753,14537284,15938278,16890754,13607933,16171022,17832904,18733751,17519319,17647085,26524000,26217000,15625000,14548000
35,Inventory,- -,- -,- -,6700000,9200000,9400000,8725417,11595135,- -,12320317,11594557,14235716,15849470,15976222,18876464,20703144,15806669,16108773,19029593,17664862,17427470,18528418,20185445,20653841,18526722,17004000,14279000,13917000,19434000
36,Other Current Assets,- -,- -,- -,700000,1000000,1000000,2063156,1469462,- -,1812223,1388371,1217210,1378083,1348177,1486884,2103044,1295643,1190363,1377140,1418576,1317350,1252775,1452656,1048373,1120728,1848000,2437000,11143000,17149000
37,Total Current Assets,- -,- -,- -,12300000,15900000,16200000,16669514,22173386,- -,22197384,24339437,29715808,32515288,32752654,36618349,37191982,31884977,33467996,37297487,32691371,34915842,37680468,40372739,39489737,37767421,45856000,43284000,41037000,51774000
38,PP&E,- -,- -,- -,7900000,7300000,6800000,6441884,6318412,- -,5949414,6090317,6424515,6682224,8255168,8924682,10245208,8239161,7157543,9083874,11566315,11037160,10888717,10507748,10330834,10175533,10178000,14408000,6426000,14816000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75006,75006,75006,- -,- -,- -,- -,- -,- -,3283454,3283454,2375454,2375000,2375000,- -,- -
40,Intangible Assets,- -,- -,- -,1000000,900000,1200000,116022,99750,- -,76006,75006,75006,284313,82890,643791,493670,343549,202150,61547,44978,- -,- -,2052419,1861764,1738621,1523000,1343000,1173000,501000
41,Intangible Assets,- -,- -,- -,1000000,900000,1200000,116022,99750,- -,76006,75006,75006,284313,157896,718797,568676,343549,202150,61547,44978,- -,- -,5335873,5145218,4114075,3898000,3718000,1173000,501000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,71000,52000,179000,277000,303400,- -,348000,219000,- -,- -,- -,- -,341000,543000,20720,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1000000,600000,500000,376296,61401,- -,1346596,1005030,614279,7726,435226,435226,435226,313518,514235,339235,212235,122419,117127,7726,7726,7726,28000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,9900000,8800000,8500000,6934202,6479563,- -,7405016,7241353,7165800,7153263,9125290,10382105,11249110,9244228,8092928,9484656,11823528,11159579,11005844,16192347,16026778,14318054,14104000,18126000,7599000,15317000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,22200000,24700000,24700000,23603716,28652949,- -,29602400,31580790,36881608,39668551,41877944,47000454,48441092,41129205,41560924,46782143,44514899,46075421,48686312,56565086,55516515,52085475,59960000,61410000,48636000,67091000
48,Accounts Payable,- -,- -,- -,1600000,3000000,3200000,4101981,5743836,- -,3298474,4068148,5602913,9902998,10018263,10627381,10746206,9050684,10727907,11333013,9051978,8185012,9008426,13041377,13825530,11699220,18142000,14014000,11239000,12710000
49,Short-Term Debt,- -,- -,- -,1200000,1500000,800000,860079,3333401,- -,1642179,1360935,9470873,6635539,6218770,6811285,5318999,6504527,6456881,10655254,8376592,7867159,732835,1495513,1565347,1002586,780000,444000,660000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1000000,1700000,1200000,2016265,3462610,- -,2990673,2187091,2892031,3762423,3804343,4367331,5348993,3113966,3218763,3023788,2702871,3314367,3628569,5134820,4914762,5343160,5970000,7774000,7637000,9596000
53,Total Current Liabilities,- -,- -,- -,3800000,6200000,5200000,6978325,12539847,- -,7931326,7616174,17965817,20300960,20041376,21805997,21414198,18669177,20403551,25012055,20131441,19366538,13369830,19671710,20305639,18044966,24892000,22232000,19536000,22306000
54,Long-Term Debt,- -,- -,- -,10900000,10400000,11100000,10246911,7665536,- -,8580944,9643336,3399210,2714227,3509039,4840689,4386064,3572264,1731318,812917,2865899,4246914,12070690,13645906,12206893,12855895,12888000,13267000,1204000,8959000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,- -,- -,271000,227000,282000,149000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,25670,42919,153805,160912,137236,180378,155328,244521,268400,975615,689195,1359081,1090000,5935000,146000,-12591000
58,Total Non-Current Liabilities,- -,- -,- -,10900000,10300000,11100000,10246911,7665536,- -,8580944,9643336,3399210,2714227,3534709,4883608,4608869,3733176,1868554,1264295,3248227,4773435,12488090,14621521,12896088,14214976,13978000,19202000,1350000,-3632000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1516906,1288000,7232000,11389000,- -
61,Total Liabilities,- -,- -,- -,14700000,16500000,16300000,17225236,20205383,- -,16512270,17259510,21365027,23015187,23576085,26689605,26023067,22402353,22272105,26276350,23379668,24139973,25857920,34293231,33201727,32259942,38870000,41434000,19380000,18674000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,23519,23611,- -,24419,25127,25821,26182,26747,27149,27390,27390,27430,27430,27430,27430,27430,27463,27478,27393,27000,27000,- -,27000
64,Retained Earnings,- -,- -,- -,-5000000,-4400000,-4000000,-6027654,-3984081,- -,-57946,575502,1162831,2091612,3403390,4950403,6704252,2869211,3375977,4565907,5195345,5982721,6862738,6291316,6335090,3889315,5436000,4208000,2662000,9816000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2900000,-3900000,-4800000,-4004666,-4987805,- -,-7084565,-8191274,-8681033,-9868536,-10823655,-11785374,-13204036,-14155943,-14758769,-15943094,-17411472,-18943393,-20827645,-22712738,-24524750,-26312628,-27700000,-29539000,-37000,56000
66,Other Total Stockholders Equity,- -,- -,- -,15400000,16500000,17200000,16387281,17395841,- -,19958222,21661925,22758962,24154106,25445377,26868671,28640419,29736194,30394181,31605550,33073928,34618690,36515869,38415815,40226970,41971453,43077000,45030000,16093000,16212000
67,Total Stockholders Equity,- -,- -,- -,7500000,8200000,8400000,6378480,8447566,- -,13090130,14321280,15516581,16653364,18301859,20310849,22418025,18726852,19288819,20505793,21135231,21935448,22828392,22271856,22314788,19825533,21090000,19976000,18718000,26111000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,22200000,24700000,24700000,23603716,28652949,- -,29602400,31580790,36881608,39668551,41877944,47000454,48441092,41129205,41560924,46782143,44514899,46075421,48686312,56565087,55516515,52085475,59960000,61410000,38098000,44785000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,10538000,22306000
70,Total Liabilities & Equity,- -,- -,- -,22200000,24700000,24700000,23603716,28652949,- -,29602400,31580790,36881608,39668551,41877944,47000454,48441092,41129205,41560924,46782143,44514899,46075421,48686312,56565086,55516515,52085475,59960000,61410000,48636000,67091000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/722313/000091205797011087/0000912057-97-011087-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722313/000091205701505975/0000912057-01-505975-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/722313/000104746903011040/0001047469-03-011040-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746904010122/0001047469-04-010122-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000110465905011806/0001104659-05-011806-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000110465906015347/0001104659-06-015347-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000110465907017864/0001104659-07-017864-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746908002928/0001047469-08-002928-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746909002895/0001047469-09-002895-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746910002202/0001047469-10-002202-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746911002025/0001047469-11-002025-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746912002345/0001047469-12-002345-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746913002420/0001047469-13-002420-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746914001953/0001047469-14-001953-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746915001985/0001047469-15-001985-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000104746916011421/0001047469-16-011421-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000110465917015189/0001104659-17-015189-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000110465918020483/0001104659-18-020483-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000110465919018979/0001104659-19-018979-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000143774920005686/0001437749-20-005686-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000143774921006916/0001437749-21-006916-index.htm,https://www.sec.gov/Archives/edgar/data/722313/000143774922006550/0001437749-22-006550-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,1200000,1300000,400000,700000,300000,-1987666,2043573,2102863,2403112,633448,587329,928781,1311778,1579013,1753849,-3835041,506766,1189930,629438,787376,880017,-571422,43774,-2445775,166000,-1228000,-1546000,7154000
74,Depreciation and Amortization,200000,200000,400000,700000,1100000,1100000,940101,1069332,1181754,1380499,1640775,1499986,1582845,1599150,1822553,1878969,1924038,1695976,2035664,1862503,2010231,2030152,2259092,2295637,2500401,2189000,2221000,191000,- -
75,Deferred Income Tax,-300000,-300000,-100000,100000,200000,100000,556000,808000,22000,439000,-44000,166000,-221000,-42000,-144400,-11600,188000,288000,279000,-96000,229000,114000,-54501,-202000,439577,1000,20000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128047,31728,27044,- -,12841,29927,3309,994,43200,126000,145000,68000,- -
77,Change in Working Capital,-900000,- -,- -,8500000,- -,1200000,1300000,-1308811,-57650,4632519,2457205,-4973272,464337,496950,2101074,965432,-2561984,-151355,-779013,274498,2989374,8761334,-3609609,-1516931,538357,1241545,88000,449000,7967000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1146371,-3532471,718771,3112529,-2422915,-1336820,-864078,1067751,577658,-2746000,1413000,8000,- -
79,Inventory,-500000,200000,-400000,-500000,-2500000,-100000,-920048,-2869718,-856344,175775,725760,-2641159,-1613754,-126752,-617516,-1826680,4896475,865,-2920820,1364731,237392,-1100948,-1661386,-489084,2127119,-3607000,2718000,672000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1696872,1674954,-1167228,-2211460,-1137447,1121716,3935440,817227,-2114637,6028000,-3680000,-2950000,- -
81,Other Working Capital,- -,- -,- -,8500000,8500000,9700000,11000000,9691189,9633539,14266058,16723263,11749991,12214328,12711278,14812352,15777784,13215800,13064445,12285432,12559930,15549304,24310638,20701029,19184098,19722455,20964000,21052000,21501000,29468000
82,Other Non-Cash Items,- -,300000,-1100000,-9800000,-1800000,-2200000,1190414,-1757054,-2199097,-5975031,-4975888,2395827,2365188,-523347,-1014956,-559419,3303445,519139,-3626736,1951178,-5752883,-10234600,5368193,2912651,-269515,-1279545,-249000,2201000,-15121000
83,Cash Provided by Operating Activities,- -,1400000,500000,-100000,200000,500000,1998849,855040,1049870,2880099,-288460,-324130,5120151,2842531,4343284,4027231,-853495,2890254,-874111,4621617,275939,1580830,3395062,3534125,806245,2444000,997000,1363000,- -
84,CAPEX,-400000,-200000,-3400000,-2300000,-800000,-500000,-1070396,-938551,- -,- -,- -,-1451928,-1427059,-2980793,-1512430,-2315582,-680459,-626630,-1270443,-4432793,-1204681,-2187161,-1678465,-1956208,-927137,-1404000,-758000,6019000,-141000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-711968,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,-2000000,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-100000,- -,300000,-300000,- -,456691,- -,-1729040,-1412069,31802,- -,-425121,195862,12431,603850,-402969,596232,36856,57160,250,9857,3000,554967,10000,-39000,5985000,- -
89,Cash Used for Investing Activites,-400000,-200000,-3500000,-2300000,-500000,-800000,-1070396,-481860,-711968,-1729040,-1412069,-1420126,-1427059,-3405914,-6316568,-2303151,-76609,-1029599,-2674211,-4395937,-1147521,-2186911,-3668608,-1953208,-258351,-1390000,-758000,5500000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1367714,-2013106,-1793087,-1936650,-1302418,-666749,-1329498,-1835178,-6051426,-1374000,-1225000,-2684000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,14250,21364,695850,24390,22013,188305,126978,201100,137181,132,12500,- -,- -,- -,- -,10666,4822,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,- -,- -,-500000,- -,- -,- -,- -,- -,-580625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30340,-276000,-130000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,300000,-700000,3100000,3200000,-200000,-100000,-850481,-312932,-705534,-999263,1331148,2182438,-3520317,322297,1934733,-1946911,1739442,124514,5110827,1710970,2174000,1339201,1526894,440851,6043172,761000,830000,-1275000,- -
95,Cash Used/Provided by Financing Activities,200000,-700000,3100000,2700000,-200000,- -,-850481,-298682,-684170,-884038,1355538,2204451,-3332012,449275,2135833,-1809730,371860,-1876092,3317740,-225680,871582,672452,208062,-1389505,-38594,-889000,-525000,-3959000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2581,-5591,-76740,-124,-404,655,584,638,- -,- -,- -,- -,- -,75905,1065,3000,-1000,- -,- -
97,Net Change In Cash,200000,-700000,3100000,- -,- -,- -,77972,74498,-346268,267021,-347572,454604,284340,-114232,162145,-84995,-557660,-14799,- -,- -,- -,- -,-65484,267317,510365,168000,-287000,2904000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,453500,527998,181730,448751,101179,555783,840123,725891,888036,803041,245381,230582,- -,- -,- -,66371,887,268204,778569,947000,660000,3564000,- -
99,Cash at the Beginning of Period,600000,400000,800000,900000,1200000,700000,375528,453500,527998,181730,448751,101179,555783,840123,725891,888036,803041,245381,230582,- -,- -,- -,66371,887,268204,779000,947000,660000,3564000
100,Free Cash Flow,-400000,1200000,-2900000,-2400000,-600000,- -,928453,-83511,1049870,2880099,-288460,-1776058,3693092,-138262,2830854,1711649,-1533954,2263624,-2144554,188824,-928742,-606331,1716597,1577917,-120892,1040000,239000,7382000,-141000
