,https://roic.ai/company/MOD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,62100000,76600000,88200000,93800000,103700000,124500000,133300000,133900000,154800000,190700000,200700000,218100000,225100000,240800000,267274000,217003000,221733000,221170000,243169000,264088000,220090000,237837000,282678000,199613000,157502000,185300000,189046000,166300000,181700000,184500000,204500000,205000000,249100000,247000000,252600000,214200000
11,COGS and Expenses,271900000,310100000,351600000,380200000,394900000,448500000,482400000,513300000,593300000,801000000,896200000,898200000,923000000,998100000,1040231000,1003694000,1032024000,1040538000,1149852000,1457909000,1539384000,1713457000,1862456000,1421293000,1150527000,1402168000,1509628000,1333700000,1421100000,1434400000,1333500000,1454700000,1995700000,2094200000,1920600000,1729200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663000,709000,748000,900000,500000,500000,400000,400000,400000,400000,400000,500000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13775000,22888000,33723000,12483000,12600000,12400000,11700000,11100000,17200000,25600000,24800000,22700000,19400000
14,Depreciation and Amortization,10000000,11900000,13900000,14600000,17000000,23200000,26800000,25500000,28100000,34500000,39600000,41500000,41800000,44200000,48822000,49947000,63508000,54810000,61421000,68494000,72091000,71104000,80951000,73334000,65766000,56492000,57690000,55800000,58100000,51600000,50200000,58300000,76700000,76900000,77100000,68600000
15,EBITDA,49000000,49400000,55400000,56000000,56700000,71500000,70200000,65900000,102000000,143300000,138800000,139300000,157800000,162200000,144153000,128271000,103618000,88145000,125132000,165370000,109520000,110461000,59741000,-20859000,69207000,99863000,118565000,54000000,93000000,104100000,50800000,95600000,164000000,181400000,110000000,-32500000
16,EBITDA ratio,0.1571,0.1415,0.1402,0.1321,0.1300,0.1483,0.1333,0.1155,0.1523,0.1570,0.1401,0.1394,0.1517,0.1459,0.1265,0.1204,0.0964,0.0807,0.1043,0.1071,0.0672,0.0629,0.0323,-0.0148,0.0595,0.0690,0.0752,0.0392,0.0629,0.0696,0.0376,0.0636,0.0780,0.0820,0.0557,-0.0180
17,Operating Income,40100000,38900000,43600000,43700000,41400000,33500000,44200000,57500000,76300000,112000000,94300000,100800000,117400000,113300000,99038000,61701000,35196000,53092000,50066000,84990000,89516000,39723000,-16648000,-86718000,6838000,42794000,67524000,-600000,37200000,52700000,-7500000,39400000,92200000,109700000,37900000,-97700000
18,Operating Income ratio,0.1285,0.1115,0.1103,0.1031,0.0949,0.0695,0.0839,0.1007,0.1139,0.1227,0.0952,0.1009,0.1128,0.1019,0.0869,0.0579,0.0327,0.0486,0.0417,0.0550,0.0550,0.0226,-0.0090,-0.0616,0.0059,0.0295,0.0428,-0.0004,0.0252,0.0352,-0.0055,0.0262,0.0438,0.0496,0.0192,-0.0540
19,Total Other Income Expenses (Gains),-1100000,-1400000,-2100000,-2300000,-1700000,14800000,-800000,-3400000,-3300000,-3200000,4900000,-3000000,-1400000,4700000,-3707000,16623000,4914000,1935000,13645000,11886000,1024000,-436000,-4477000,-16235000,-17304000,-30099000,-19613000,-12400000,-13200000,-11500000,-2400000,-18600000,-28900000,-28900000,-27500000,-21600000
20,Income Before Tax,39000000,37500000,41500000,41400000,39700000,48300000,43400000,54100000,73000000,108800000,99200000,97800000,116000000,118000000,95331000,78324000,40110000,55027000,63711000,96876000,90540000,39287000,-21125000,-102953000,-10466000,12695000,47911000,-13000000,24000000,41200000,-9900000,20800000,63300000,80800000,10400000,-119300000
21,Income Before Tax Ratio,0.1250,0.1074,0.1050,0.0977,0.0910,0.1002,0.0824,0.0948,0.1090,0.1192,0.1002,0.0979,0.1115,0.1062,0.0837,0.0735,0.0373,0.0504,0.0531,0.0627,0.0556,0.0224,-0.0114,-0.0731,-0.0090,0.0088,0.0304,-0.0094,0.0162,0.0275,-0.0073,0.0138,0.0301,0.0365,0.0053,-0.0660
22,Income Tax expense (Gain),18500000,17900000,16500000,15200000,14500000,17800000,15400000,20400000,29900000,40400000,37800000,34000000,43500000,44100000,29928000,30719000,16765000,20669000,23274000,35214000,29788000,-2975000,44386000,644000,9832000,3468000,9931000,9800000,-107900000,19000000,-8900000,5900000,39500000,-5100000,12400000,90200000
23,Net Income,20500000,19600000,25000000,26200000,25200000,30500000,28000000,20000000,44000000,68400000,61400000,63800000,72500000,73900000,65403000,47605000,23345000,12666000,40437000,61662000,7641000,42332000,-65596000,-108612000,-29279000,6180000,38461000,-24200000,130400000,21800000,-1600000,14200000,22200000,84800000,-2200000,-210700000
24,Net Income ratio,0.0657,0.0562,0.0633,0.0618,0.0578,0.0633,0.0532,0.0350,0.0657,0.0749,0.0620,0.0639,0.0697,0.0665,0.0574,0.0447,0.0217,0.0116,0.0337,0.0399,0.0047,0.0241,-0.0355,-0.0771,-0.0252,0.0043,0.0244,-0.0176,0.0883,0.0146,-0.0012,0.0094,0.0106,0.0383,-0.0011,-0.1165
25,EPS,0.17,0.17,0.42,0.44,0.42,0.52,0.47,0.68,1.49,2.24,2.02,2.10,2.44,2.50,2.22,1.62,0.70,0.38,1.19,1.81,0.23,1.32,-2.05,-3.38,-0.75,0.13,0.84,-0.52,2.74,0.46,-0.03,0.28,0.44,1.67,-0.04,-4.08
26,EPS Diluted,0.17,0.17,0.42,0.43,0.42,0.51,0.47,0.66,1.45,2.24,2.02,2.10,2.39,2.46,2.20,1.62,0.70,0.38,1.19,1.79,0.22,1.31,-2.05,-3.38,-0.75,0.13,0.83,-0.52,2.72,0.45,-0.03,0.28,0.43,1.65,-0.04,-4.11
27,Weighted Average Shares Outstanding,30120000,29200000,29900000,29754000,29480000,29492000,29356000,29411765,29530201,30534000,30416000,30420000,29713115,29560000,29460811,29385802,33350000,33331579,33980672,34067403,33221739,32069697,31998049,32077000,39298000,46167000,46477000,46600000,47600000,47900000,47400000,50100000,50500000,50700000,50900000,51600000
28,Weighted Average Shares Outstanding Diluted,30120000,29200000,29900000,29754000,29480000,29492000,29356000,30303030,30344828,30534000,30512821,30420000,30334728,30040650,29728636,29385802,33350000,33331579,33980672,34448045,34731818,32314504,31998049,32077000,39298000,46729000,46881000,46600000,47600000,47900000,47400000,50100000,50900000,51300000,50900000,51600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734796000015/0000067347-96-000015-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734700000010/0000067347-00-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734702000014/0000067347-02-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734704000133/f10k2004-sec.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734705000173/f10k_2005.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734706000113/f10k_2006.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734707000060/0000067347-07-000060-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036108014027/0001140361-08-014027-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036109014108/0001140361-09-014108-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036110025119/0001140361-10-025119-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036111032838/0001140361-11-032838-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036112030062/form10k.htm,https://www.sec.gov/Archives/edgar/data/67347/000114036113023524/0001140361-13-023524-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036114023690/0001140361-14-023690-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036115022274/0001140361-15-022274-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036116067258/0001140361-16-067258-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036117022417/0001140361-17-022417-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036118025479/0001140361-18-025479-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036119009735/0001140361-19-009735-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036120012690/form10k.htm,https://www.sec.gov/Archives/edgar/data/67347/000114036121018956/0001140361-21-018956-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13000000,4700000,15600000,24000000,27000000,27000000,18800000,33600000,38500000,32700000,18000000,34800000,36400000,49200000,31070000,20401000,75402000,77243000,72427000,55091000,30798000,21227000,38313000,43536000,43657000,32930000,31445000,23800000,87200000,70500000,68900000,34200000,39300000,41700000,70900000,37800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3001000,2909000,1189000,1239000,2720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13000000,4700000,15600000,24000000,27000000,27000000,18800000,33600000,38500000,32700000,18000000,34800000,36400000,49200000,31070000,20401000,75402000,77243000,72427000,55091000,30798000,24228000,41222000,44725000,44896000,35650000,31445000,23800000,87200000,70500000,68900000,34200000,39300000,41700000,70900000,37800000
34,Net Receivables,54300000,53500000,58900000,63000000,67600000,73200000,81100000,80800000,110300000,145200000,148000000,149800000,162200000,182900000,182724000,167665000,162462000,161319000,180163000,251734000,254681000,252359000,287383000,122266000,167745000,219189000,216103000,194500000,221100000,192900000,189100000,295200000,342400000,338600000,292500000,267900000
35,Inventory,59500000,66200000,75100000,74300000,83000000,97500000,88600000,93600000,104300000,136100000,150000000,142100000,152700000,178900000,168597000,145579000,121663000,130812000,136441000,149781000,90227000,111912000,123395000,88077000,99559000,122629000,120819000,118800000,116800000,107700000,111000000,168500000,191300000,200700000,207400000,195600000
36,Other Current Assets,2400000,4200000,6700000,8700000,11200000,14400000,13700000,13500000,18600000,26400000,35300000,39400000,41900000,42100000,47164000,53842000,46443000,47992000,53331000,52724000,36489000,68358000,70152000,70783000,43242000,50157000,59164000,61900000,73700000,93100000,43500000,55400000,70100000,65800000,62500000,143500000
37,Total Current Assets,129200000,128600000,156300000,170000000,188800000,212100000,202200000,221500000,271700000,340400000,351300000,366100000,393200000,453100000,429555000,387487000,405970000,417366000,442362000,509330000,412195000,456857000,522152000,325851000,355442000,427625000,427531000,399000000,498800000,464200000,412500000,553300000,643100000,646800000,633300000,644800000
38,PP&E,73800000,87700000,89200000,90300000,108400000,146400000,136500000,135600000,164000000,170900000,201300000,210100000,248300000,303800000,337987000,353357000,340388000,359758000,397697000,496180000,467600000,517349000,533807000,426565000,418616000,430295000,412059000,355900000,359600000,322100000,338600000,459000000,504300000,484700000,448000000,269900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52256000,67029000,44935000,25639000,29552000,31572000,29933000,28700000,28700000,16200000,15800000,165100000,173800000,168500000,166100000,170700000
40,Intangible Assets,1400000,1900000,1700000,2000000,5600000,9100000,8200000,7300000,31900000,34100000,70500000,62900000,59400000,80400000,70339000,62316000,55054000,36106000,36400000,39494000,12735000,11137000,10605000,7041000,6888000,6533000,5805000,8300000,12400000,9900000,8200000,134100000,129900000,116200000,106300000,100600000
41,Intangible Assets,1400000,1900000,1700000,2000000,5600000,9100000,8200000,7300000,31900000,34100000,70500000,62900000,59400000,80400000,70339000,62316000,55054000,36106000,36400000,39494000,64991000,78166000,55540000,32680000,36440000,38105000,35738000,37000000,41100000,26100000,24000000,299200000,303700000,284700000,272400000,271300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11268000,3079000,3863000,3728000,3300000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98600000,102700000,123100000,108400000,96900000,97100000,104800000,24500000
44,Other Non-Current Assets,17900000,18400000,23500000,26700000,25400000,30600000,36600000,40800000,42400000,44800000,48700000,55900000,58100000,78400000,93226000,96951000,101632000,97588000,102733000,107151000,107309000,49201000,38359000,55768000,26675000,17051000,14405000,23600000,34200000,16500000,22700000,29600000,25400000,24700000,77600000,66200000
45,Total Non-Current Assets,93100000,108000000,114400000,119000000,139400000,186100000,181300000,183700000,238300000,249800000,320500000,328900000,365800000,462600000,501552000,512624000,497074000,493452000,536830000,642825000,639900000,644716000,627706000,526281000,484810000,489314000,465930000,419800000,533500000,467400000,508400000,896200000,930300000,891200000,902800000,631900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,222300000,236600000,270700000,289000000,328200000,398200000,383500000,405200000,510000000,590200000,671800000,695000000,759000000,915700000,931107000,900111000,903044000,910818000,979192000,1152155000,1052095000,1101573000,1149858000,852132000,840252000,916939000,893461000,818800000,1032300000,931600000,920900000,1449500000,1573400000,1538000000,1536100000,1276700000
48,Accounts Payable,- -,- -,- -,- -,35600000,41800000,37800000,40300000,55600000,74200000,77300000,72200000,84300000,97400000,84893000,75856000,80112000,93506000,108420000,159876000,187048000,196330000,199593000,94506000,142209000,177549000,156907000,150700000,171100000,152000000,142400000,230300000,277900000,280900000,227400000,233900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,24400000,25100000,17000000,23700000,73800000,9447000,34572000,10756000,12692000,3024000,64912000,6108000,3493000,303000,5232000,3245000,9087000,22389000,31100000,33200000,19100000,37100000,105200000,93100000,114600000,30400000,23300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,58200000,62600000,61700000,71900000,38200000,46300000,37900000,54400000,84300000,71000000,78600000,80800000,84700000,85400000,81137000,82766000,80636000,87065000,101774000,120306000,101793000,108130000,135504000,151295000,125946000,129905000,118255000,98300000,152900000,140100000,94100000,119900000,144500000,121600000,114200000,212000000
53,Total Current Liabilities,58200000,62600000,61700000,71900000,73800000,88100000,75700000,94700000,139900000,169600000,181000000,170000000,192700000,256600000,175477000,193194000,171504000,193263000,213218000,345094000,294949000,307953000,335400000,251033000,271400000,316541000,297551000,280100000,357200000,311200000,273600000,455400000,515500000,517100000,372000000,469200000
54,Long-Term Debt,33200000,33600000,43900000,33100000,55400000,88100000,74300000,52400000,77600000,62200000,87800000,85200000,89600000,143800000,211112000,134359000,139654000,98556000,84885000,40724000,151706000,175856000,226198000,243982000,135952000,138582000,141892000,132500000,131200000,129600000,125500000,405700000,386300000,335100000,452000000,311200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6100000,9000000,11100000,12900000,15300000,17100000,18500000,11300000,10000000,13000000,12200000,13300000,14300000,20500000,24536000,31796000,35127000,37370000,42774000,44072000,38424000,18385000,22843000,9979000,10830000,9988000,12297000,8600000,7300000,3400000,4200000,9700000,9900000,8200000,8100000,5900000
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,-100000,- -,23700000,30800000,37100000,41400000,40800000,39900000,41600000,39740000,38909000,40760000,51242000,51774000,62485000,61591000,106112000,97509000,103301000,97984000,88876000,115589000,129300000,108000000,126800000,134900000,157500000,163200000,136500000,210400000,134300000
58,Total Non-Current Liabilities,39300000,42600000,55000000,46100000,70700000,105100000,92800000,87400000,118400000,112300000,141400000,139300000,143800000,205900000,275388000,205064000,215541000,187168000,179433000,147281000,251721000,300353000,346550000,357262000,244766000,237446000,269778000,270400000,246500000,259800000,264600000,572900000,559400000,479800000,670500000,451400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,97500000,105200000,116700000,118000000,144500000,193200000,168500000,182100000,258300000,281900000,322400000,309300000,336500000,462500000,450865000,398258000,387045000,380431000,392651000,492375000,546670000,608306000,681950000,608295000,516166000,553987000,567329000,550500000,603700000,571000000,538200000,1028300000,1074900000,996900000,1042500000,920600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18964000,18964000,21089000,21278000,21478000,21794000,20756000,20545000,20492000,20494000,29260000,29440000,29600000,29900000,30200000,30400000,30600000,32400000,32700000,33000000,33300000,33900000
64,Retained Earnings,105000000,117500000,135900000,154000000,170100000,-3000000,205600000,213200000,243600000,296600000,339200000,378700000,423000000,469100000,505522000,516950000,518900000,514109000,535885000,575937000,433405000,439318000,342490000,227687000,198421000,203686000,231828000,207600000,338000000,359800000,358200000,372400000,394900000,472100000,469900000,259200000
65,Other Comprehensive Income/Loss,-57100000,-68600000,-79700000,-90500000,-100000000,-128200000,-147800000,-165600000,-182600000,-182600000,-232500000,-248800000,-262600000,-290900000,-296183000,-324618000,-362507000,-22316000,-454789000,32000000,10000000,-15000000,61000000,-63000000,-50000000,-23000000,-90000000,-128000000,-104000000,-199000000,-174000000,-182000000,-140000000,-178000000,-223000000,-161200000
66,Other Total Stockholders Equity,76900000,82500000,97800000,107500000,113600000,336200000,157200000,175500000,190700000,194300000,242700000,255800000,262100000,275000000,251939000,290557000,338517000,- -,483967000,30049000,41264000,48404000,43926000,58656000,146405000,152826000,153479000,156200000,160600000,164800000,161400000,191200000,202500000,206800000,207700000,216800000
67,Total Stockholders Equity,124800000,131400000,154000000,171000000,183700000,205000000,215000000,223100000,251700000,308300000,349400000,385700000,422500000,453200000,480242000,501853000,515999000,530387000,586541000,659780000,505425000,493267000,467908000,243837000,324086000,362952000,324907000,265700000,424800000,356000000,376200000,414000000,490100000,533900000,487900000,348700000
68,Total Liabilities And Stockholders Equity,222300000,236600000,270700000,289000000,328200000,398200000,383500000,405200000,510000000,590200000,671800000,695000000,759000000,915700000,931107000,900111000,903044000,910818000,979192000,1152155000,1052095000,1101573000,1149858000,852132000,840252000,916939000,892236000,816200000,1028500000,927000000,914400000,1442300000,1565000000,1530800000,1530400000,1269300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1225000,2600000,3800000,4600000,6500000,7200000,8400000,7200000,5700000,7400000
70,Total Liabilities & Equity,222300000,236600000,270700000,289000000,328200000,398200000,383500000,405200000,510000000,590200000,671800000,695000000,759000000,915700000,931107000,900111000,903044000,910818000,979192000,1152155000,1052095000,1101573000,1149858000,852132000,840252000,916939000,893461000,818800000,1032300000,931600000,920900000,1449500000,1573400000,1538000000,1536100000,1276700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734796000015/0000067347-96-000015-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734700000010/0000067347-00-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734702000014/0000067347-02-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/67347/000006734704000133/f10k2004-sec.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734705000173/f10k_2005.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734706000113/f10k_2006.htm,https://www.sec.gov/Archives/edgar/data/67347/000006734707000060/0000067347-07-000060-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036108014027/0001140361-08-014027-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036109014108/0001140361-09-014108-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036110025119/0001140361-10-025119-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036111032838/0001140361-11-032838-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036112030062/form10k.htm,https://www.sec.gov/Archives/edgar/data/67347/000114036113023524/0001140361-13-023524-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036114023690/0001140361-14-023690-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036115022274/0001140361-15-022274-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036116067258/0001140361-16-067258-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036117022417/0001140361-17-022417-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036118025479/0001140361-18-025479-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036119009735/0001140361-19-009735-index.html,https://www.sec.gov/Archives/edgar/data/67347/000114036120012690/form10k.htm,https://www.sec.gov/Archives/edgar/data/67347/000114036121018956/0001140361-21-018956-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,25200000,30500000,28000000,20000000,44000000,68400000,61400000,63800000,72500000,73900000,65403000,47605000,23345000,12666000,40437000,61662000,7641000,42332000,-65596000,-108612000,-29279000,6180000,38461000,-24200000,130400000,21800000,-1600000,14200000,22200000,84800000,-2200000,-210700000
74,Depreciation and Amortization,- -,- -,- -,- -,17000000,23200000,26800000,25500000,28100000,34500000,39600000,41500000,41800000,44200000,48822000,49947000,63508000,54810000,61421000,68494000,72091000,71104000,80951000,73334000,65766000,56492000,57690000,55800000,58100000,51600000,50200000,58300000,76700000,76900000,77100000,68600000
75,Deferred Income Tax,- -,- -,- -,- -,700000,-1600000,600000,700000,-3500000,-200000,-1800000,-1500000,-100000,5700000,-2235000,9615000,11910000,7820000,5373000,8582000,-6695000,-9028000,21541000,-13977000,3394000,-6945000,1915000,600000,-116100000,5900000,-18800000,-4600000,12100000,-4400000,1000000,67900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3458000,2725000,5218000,1632000,3100000,3600000,4000000,4900000,7400000,9500000,7900000,6600000,6300000
77,Change in Working Capital,- -,- -,- -,- -,7300000,9000000,2500000,300000,5000000,39000000,-500000,25800000,4400000,-4000000,57578000,-59785000,40173000,-10363000,5041000,-64908000,-46990000,31658000,37848000,-111934000,9224000,27042000,18896000,-11080000,22700000,11400000,-14100000,-41000000,29700000,2100000,131600000,-85700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117480000,-52126000,-42990000,-7505000,15100000,-18200000,-100000,8000000,-25700000,-26100000,-15300000,36600000,-17100000
79,Inventory,- -,- -,- -,- -,1800000,-2200000,8200000,-5200000,9600000,-26900000,-3700000,3900000,-13200000,-6800000,4799000,20700000,28362000,-3420000,620000,9168000,1423000,-3082000,-5482000,11771000,-6707000,-19351000,-3123000,-800000,-100000,-4200000,-2700000,-3300000,-12500000,-22000000,-12000000,-5000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52271000,62363000,30041000,-14557000,-3200000,15200000,-2400000,-9900000,19900000,25200000,16600000,-37700000,44000000
