,https://roic.ai/company/NUE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134554000,149922000,153093000,178812000,173503000,151986000,174142000,177543000,181179000,187282000,161256000,157358000,166613000,158854000
14,Depreciation and Amortization,31100000,34900000,41800000,56300000,76600000,85000000,93600000,97800000,122300000,157700000,173900000,182200000,218800000,253100000,256600000,259365173,289063213,307101032,364111924,383305000,375054000,363936000,427556000,548907000,566423000,582602000,590400000,607021000,610208000,724423000,700017000,687054000,727061000,719637000,734653000,785466000,864563000
15,EBITDA,137300000,119100000,125000000,163900000,162200000,196300000,189400000,215100000,309400000,514600000,606200000,570000000,679000000,668400000,635800000,737673161,462924220,537154047,430989147,2114581000,2391422000,3057754000,2680871000,3473931000,245932000,930579000,1938228000,1544957000,1455813000,2001298000,1448373000,2062747000,2602417000,3989967000,2575051000,1673059000,9929366000
16,EBITDA ratio,0.1810,0.1577,0.1469,0.1544,0.1278,0.1325,0.1292,0.1328,0.1373,0.1729,0.1751,0.1563,0.1623,0.1610,0.1586,0.1608,0.1118,0.1119,0.0688,0.1859,0.1883,0.2073,0.1616,0.1468,0.0220,0.0587,0.0968,0.0795,0.0764,0.0948,0.0881,0.1273,0.1285,0.1592,0.1140,0.0831,0.2722
17,Operating Income,98600000,78900000,82300000,110100000,96700000,118000000,95700000,125000000,200300000,370400000,431100000,387400000,460200000,411400000,374000000,477491884,180386064,293910860,103907233,1832926000,2122043000,2875674000,2552285000,3300057000,-276426000,452290000,1427949000,1058638000,928721000,1360328000,1122273000,1429146000,1881876000,3434686000,1967837000,1612909000,9318805000
18,Operating Income ratio,0.1300,0.1045,0.0967,0.1037,0.0762,0.0796,0.0653,0.0772,0.0889,0.1245,0.1245,0.1062,0.1100,0.0991,0.0933,0.1041,0.0436,0.0612,0.0166,0.1611,0.1671,0.1949,0.1538,0.1395,-0.0247,0.0285,0.0713,0.0545,0.0487,0.0645,0.0683,0.0882,0.0929,0.1370,0.0871,0.0801,0.2554
19,Total Other Income Expenses (Gains),7600000,5300000,900000,-2500000,-11100000,-6700000,100000,-7700000,-13200000,-13500000,1200000,400000,- -,3900000,5200000,816104,-6525057,-63857845,-37030010,-101650000,-105675000,-181856000,-298970000,-509587000,-137552000,-185175000,-176137000,-205698000,-137598000,-155751000,-413035000,-130487000,-131919000,-205295000,-185030000,-777371000,-117947000
20,Income Before Tax,106200000,84200000,83200000,107600000,85600000,111300000,95800000,117300000,187100000,356900000,432300000,387800000,460200000,415300000,379200000,478307988,173861007,230053015,66877223,1731276000,2016368000,2693818000,2253315000,2790470000,-413978000,267115000,1251812000,852940000,791123000,1204577000,709238000,1298659000,1749957000,3229391000,1782807000,835538000,9200858000
21,Income Before Tax Ratio,0.1400,0.1115,0.0978,0.1014,0.0675,0.0751,0.0654,0.0724,0.0830,0.1199,0.1249,0.1063,0.1100,0.1000,0.0946,0.1043,0.0420,0.0479,0.0107,0.1522,0.1588,0.1826,0.1358,0.1179,-0.0370,0.0169,0.0625,0.0439,0.0415,0.0571,0.0431,0.0801,0.0864,0.1288,0.0789,0.0415,0.2522
22,Income Tax expense (Gain),47700000,37800000,32700000,36700000,27800000,36200000,31100000,38100000,63600000,130300000,157800000,139600000,165700000,151600000,134600000,167400000,60900000,67973000,4096000,609791000,706084000,936137000,781368000,959480000,-176800000,60792000,390828000,259814000,205594000,388787000,213154000,398243000,369386000,748307000,411897000,-490000,2078488000
23,Net Income,58500000,46400000,50500000,70900000,57800000,75100000,64700000,79200000,123500000,226600000,274500000,248200000,294500000,263700000,244600000,310907988,112961007,162080015,62781223,1121485000,1310284000,1757681000,1471947000,1830990000,-293613000,134092000,778188000,504619000,488025000,713946000,357659000,796271000,1318688000,2360767000,1271143000,721470000,6827461000
24,Net Income ratio,0.0771,0.0614,0.0593,0.0668,0.0455,0.0507,0.0441,0.0489,0.0548,0.0762,0.0793,0.0681,0.0704,0.0635,0.0610,0.0678,0.0273,0.0338,0.0100,0.0986,0.1032,0.1192,0.0887,0.0774,-0.0262,0.0085,0.0389,0.0260,0.0256,0.0338,0.0218,0.0491,0.0651,0.0942,0.0563,0.0358,0.1871
25,EPS,0.17,0.14,0.15,0.21,0.17,0.22,0.19,0.23,0.35,0.65,0.79,0.71,0.84,0.75,0.70,0.95,0.36,0.52,0.20,3.54,4.17,5.73,4.98,6.01,-0.94,0.42,2.45,1.58,1.52,2.22,1.11,2.48,4.11,7.44,4.14,2.37,22.52
26,EPS Diluted,0.17,0.14,0.15,0.21,0.17,0.22,0.19,0.23,0.35,0.65,0.79,0.71,0.84,0.75,0.70,0.95,0.36,0.52,0.20,3.51,4.13,5.68,4.94,5.98,-0.94,0.42,2.45,1.58,1.52,2.22,1.11,2.48,4.10,7.42,4.14,2.36,22.52
27,Weighted Average Shares Outstanding,339130435,337454545,336666667,337619048,340000000,341363636,345066667,344347826,347887324,348615385,349681529,350812721,351641791,351600000,349428571,327271566,311616571,311692337,313906115,316803672,314216787,306750611,295571687,304525000,314873000,315962000,316997000,318172000,319077000,319838000,320565000,319563000,319990000,315858000,305040000,303168000,290510000
28,Weighted Average Shares Outstanding Diluted,339130435,337454545,336666667,337619048,340000000,341363636,345066667,344347826,347887324,348771930,349694323,350812721,351641791,352173913,350000000,346286340,311616571,313198097,313906115,319511396,317260048,309450880,297964980,306092000,314873000,316510000,317161000,318240000,319266000,320127000,320693000,319822000,320773000,316733000,305503000,303271000,291152000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000095016895000206/0000950168-95-000206-index.html,https://www.sec.gov/Archives/edgar/data/73309/000095016896000539/0000950168-96-000539-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000095016801000600/0000950168-01-000600-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000119312504040741/0001193125-04-040741-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312505044753/0001193125-05-044753-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312506047010/0001193125-06-047010-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312507041965/0001193125-07-041965-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312508039702/0001193125-08-039702-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312509038676/0001193125-09-038676-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312510040686/0001193125-10-040686-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312511049351/0001193125-11-049351-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312512083972/0001193125-12-083972-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312513084517/0001193125-13-084517-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312514077349/0001193125-14-077349-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312515068895/0001193125-15-068895-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312516481119/0001193125-16-481119-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312517062124/0001193125-17-062124-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312518064018/0001193125-18-064018-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312519057744/0001193125-19-057744-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459020007794/0001564590-20-007794-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459021009503/0001564590-21-009503-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459022007679/0001564590-22-007679-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,101900000,201800000,104400000,283400000,308700000,572200000,490576279,462348547,219004868,350332243,779049000,1837510000,785651000,1393943000,2355130000,2016981000,1325406000,1200645000,1052862000,1483252000,1024144000,1939469000,2045961000,949104000,1398886000,1534605000,2639671000,2364858000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1410633000,182450000,- -,225000000,1153623000,1362641000,104167000,28191000,100000000,100000000,150000000,50000000,- -,300040000,408004000,253005000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,101900000,201800000,104400000,283400000,308700000,572200000,490576279,462348547,219004868,350332243,779049000,1837510000,2196284000,1576393000,2355130000,2241981000,2479029000,2563286000,1157029000,1511443000,1124144000,2039469000,2195961000,999104000,1398886000,1834645000,3047675000,2617863000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,258100000,283200000,292600000,386400000,299200000,393800000,350184329,330855074,483607972,572479237,962755000,1000629000,1067322000,1611844000,1228807000,1116035000,1439828000,1710773000,1707317000,1810987000,2068298000,1383823000,1631676000,2028545000,2505568000,2160102000,2298850000,3853972000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000000,306800000,385800000,397000000,435900000,465000000,461151913,466690217,588989548,560395527,1239888000,945054000,1141194000,1601600000,2408157000,1312903000,1557574000,1987257000,2323641000,2605609000,2745032000,2145444000,2479958000,3461686000,4553500000,3842095000,3569089000,6011182000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,35700000,38900000,45600000,58700000,85700000,107500000,79534386,113772078,132536312,137352901,193256000,288360000,270236000,283412000,405392000,511329000,384744000,446765000,473377000,482007000,504414000,185644000,198798000,335085000,178311000,389528000,573048000,316540000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,638700000,830700000,828400000,1125500000,1129500000,1538500000,1381446907,1373665916,1424138700,1620559908,3174948000,4071553000,4675036000,5073249000,6397486000,5182248000,5861175000,6708081000,5661364000,6410046000,6441888000,5754380000,6506393000,6824420000,8636265000,8226370000,9488662000,12799557000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1363200000,1465400000,1791200000,1858900000,2097100000,2191300000,2340340812,2365655061,2932058102,2817135193,2818307000,2855717000,2856415000,3232998000,4131861000,4013836000,3852118000,3755604000,4283056000,4917024000,5287639000,4891153000,5078650000,5093147000,5334748000,6178555000,6899110000,8114818000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847887000,1732045000,1803021000,1836294000,1830661000,2004538000,1973608000,2068664000,2011278000,2052728000,2196058000,2184336000,2201063000,2229672000,2827344000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469936000,946545000,902922000,856125000,784640000,959240000,874154000,862093000,770672000,866835000,914646000,828504000,742186000,668021000,1103759000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1317823000,2678590000,2705943000,2692419000,2615301000,2963778000,2847762000,2930757000,2781950000,2919563000,3110704000,3012840000,2943249000,2897693000,3931103000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,- -,- -,20027199,24804415,54657953,139952000,211517000,353538000,202052000,666506000,669877000,1516198000,905531000,1243861000,1028451000,955643000,822916000,718912000,812987000,936735000,996492000,839929000,977594000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1363200000,1465400000,1791100000,1858900000,2097000000,2191300000,2340340812,2385682260,2956862517,2871793146,2958259000,3067234000,3209953000,4752873000,7476957000,7389656000,8060735000,7862269000,8490695000,8793237000,9174039000,8496019000,8717125000,9016838000,9284323000,10118296000,10636732000,13023515000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2001900000,2296100000,2619500000,2984400000,3226500000,3729800000,3721787719,3759348176,4381001217,4492353054,6133207000,7138787000,7884989000,9826122000,13874443000,12571904000,13921910000,14570350000,14152059000,15203283000,15615927000,14250399000,15223518000,15841258000,17920588000,18344666000,20125394000,25823072000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,182800000,214600000,224400000,260300000,198300000,255200000,203334079,189235046,247229067,329862740,471549000,501624000,516640000,691668000,534161000,707038000,896703000,958645000,1046713000,1117078000,993872000,566527000,838109000,1181346000,1428191000,1201698000,1432159000,1974041000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,200000,800000,300000,- -,- -,- -,- -,16000000,- -,- -,1250000,- -,22868000,189022000,7748000,13328000,651826000,279912000,32502000,223811000,51315000,617959000,552833000,57870000,82444000,57906000,723401000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,199400000,232300000,240500000,263900000,288600000,275800000,354734373,294923680,328306761,299732106,594241000,752825000,933388000,867500000,1131009000,512271000,594407000,785588000,702943000,810636000,880093000,767331000,933898000,1090585000,1320239000,1179632000,1137795000,2459971000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,382500000,447100000,465700000,524500000,486900000,531000000,558068452,484158726,591535828,629594846,1065790000,1255699000,1450028000,1582036000,1854192000,1227057000,1504438000,2396059000,2029568000,1960216000,2097776000,1385173000,2389966000,2824764000,2806300000,2463774000,2627860000,5157413000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,173000000,106900000,152600000,168000000,215500000,390500000,460450000,460450000,878550000,903550000,923550000,922300000,922300000,2250300000,3086200000,3080200000,4280200000,3630200000,3380200000,4376900000,4360600000,4360600000,3739141000,3242242000,4233276000,4215341000,5192336000,4961410000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,806578000,837511000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,147800000,139300000,126200000,139300000,169100000,265200000,260054154,329392145,371271399,439851754,514569000,486910000,448084000,593423000,677370000,680358000,- -,- -,856917000,955889000,1082433000,718613000,839703000,689464000,679044000,874375000,1073337000,1100455000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,320800000,246200000,278800000,307300000,384600000,655700000,720504154,789842145,1249821399,1343401754,1438119000,1409210000,1370384000,2843723000,3763570000,3760558000,5086778000,4467711000,4237117000,5332789000,5443033000,5079213000,4578844000,3931706000,4912320000,5089716000,6265673000,6061865000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85224000,90338000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,703300000,693300000,744500000,831800000,871500000,1186700000,1278572606,1274000871,1841357227,1972996600,2503909000,2664909000,2820412000,4425759000,5617762000,4987615000,6591216000,6863770000,6266685000,7293005000,7540809000,6464386000,6968810000,6756470000,7718620000,7553490000,8893533000,11219278000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,36044855,36130556,36271453,36426650,73753000,74120000,149006000,149302000,149628000,149877000,150181000,150496000,150805000,151010000,151237000,151426000,151734000,151960000,152061000,152061000,152061000,152061000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1140900000,1315800000,1535900000,1795300000,2016900000,2216100000,2478785710,2538883994,2641581152,2641708428,3688555000,4709111000,5808705000,6621646000,7860629000,7120218000,6795988000,7111566000,7124523000,7140440000,7378214000,7255972000,7630916000,8463709000,10337445000,11115056000,11343852000,17674100000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-614400000,-747500000,-907600000,-1097800000,-1300700000,-1488600000,-1684495011,-1860911347,-2162172617,-2513681289,-2875312000,47000000,4000000,163000000,-190000000,-41000000,-28000000,-38000000,57000000,9000000,-146000000,-351000000,-318000000,-255000000,-304000000,-303000000,-118861000,-115282000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,596100000,813800000,981000000,1178900000,1356400000,1498700000,1300616086,1487357126,1807309501,2177623999,2568989000,-550443000,-1135722000,-1821031000,108947000,161431000,201901000,250823000,309243000,345319000,389019000,360480000,415215000,378367000,-393428000,-606251000,-588387000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1122600000,1382100000,1609300000,1876400000,2072600000,2262200000,2130951640,2201460329,2322989489,2342077788,3455985000,4279788000,4825989000,5112917000,7929204000,7390526000,7120070000,7474885000,7641571000,7645769000,7772470000,7416878000,7879865000,8739036000,9792078000,10357866000,10788665000,14016389000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1825900000,2075400000,2353800000,2708200000,2944100000,3448900000,3409524246,3475461200,4164346716,4315074388,5959894000,6944697000,7646401000,9538676000,13546966000,12378141000,13711286000,14338655000,13908256000,14938774000,15313279000,13881264000,14848675000,15495506000,17510698000,17911356000,19682198000,25235667000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000000,220700000,265700000,276200000,282400000,280900000,312263473,283886976,216654501,177278666,173313000,194090000,238588000,287446000,327477000,193763000,210624000,231695000,243803000,264509000,302648000,369135000,374843000,345752000,409890000,433310000,443196000,587405000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2001900000,2296100000,2619500000,2984400000,3226500000,3729800000,3721787719,3759348176,4381001217,4492353054,6133207000,7138787000,7884989000,9826122000,13874443000,12571904000,13921910000,14570350000,14152059000,15203283000,15615927000,14250399000,15223518000,15841258000,17920588000,18344666000,20125394000,25823072000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/73309/000095016895000206/0000950168-95-000206-index.html,https://www.sec.gov/Archives/edgar/data/73309/000095016896000539/0000950168-96-000539-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000095016801000600/0000950168-01-000600-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/73309/000119312504040741/0001193125-04-040741-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312505044753/0001193125-05-044753-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312506047010/0001193125-06-047010-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312507041965/0001193125-07-041965-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312508039702/0001193125-08-039702-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312509038676/0001193125-09-038676-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312510040686/0001193125-10-040686-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312511049351/0001193125-11-049351-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312512083972/0001193125-12-083972-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312513084517/0001193125-13-084517-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312514077349/0001193125-14-077349-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312515068895/0001193125-15-068895-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312516481119/0001193125-16-481119-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312517062124/0001193125-17-062124-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312518064018/0001193125-18-064018-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000119312519057744/0001193125-19-057744-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459020007794/0001564590-20-007794-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459021009503/0001564590-21-009503-index.htm,https://www.sec.gov/Archives/edgar/data/73309/000156459022007679/0001564590-22-007679-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,57800000,75100000,64700000,79200000,123500000,226600000,274500000,248200000,294500000,263700000,244600000,310907988,112961007,162080015,62781223,1121485000,1310284000,1757681000,1471947000,1830990000,-293613000,134092000,778188000,504619000,488025000,713946000,357659000,796271000,1318688000,2360767000,1271143000,721470000,6827461000
74,Depreciation and Amortization,- -,- -,- -,- -,76600000,85000000,93600000,97800000,122300000,157700000,173900000,182200000,218800000,253100000,256600000,259365173,289063213,307101032,364111924,383305000,375054000,363936000,427556000,548907000,566423000,582602000,590400000,607021000,610208000,724423000,700017000,687054000,727061000,719637000,734653000,785466000,864563000
75,Deferred Income Tax,- -,- -,- -,- -,3500000,7000000,-4000000,-3000000,1000000,-2000000,-15000000,-8000000,-4000000,-1000000,10600000,19400000,11000000,31200000,74300000,6693000,-29379000,-38910000,-81206000,-293476000,88546000,138262000,58051000,-25274000,56564000,90864000,-82518000,71455000,-221173000,3017000,99157000,162836000,11665000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49873000,54665000,43041000,49003000,50733000,47450000,46384000,45794000,56511000,64176000,73422000,90359000,73853000,135775000
