,https://roic.ai/company/HOVNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.1614,0.1920,0.2080,0.1655,0.1589,-0.0770,0.0060,0.0340,0.0191,0.0672,0.0707,0.0663,0.0804,0.0854,0.0763,0.0931,0.1317,0.1484,0.1386,0.1460,0.0907,-0.1269,-0.3328,-0.5715,-0.2174,-0.1658,0.0165,0.0551,0.0489,0.0307,0.0367,0.0383,0.0477,0.0317,0.0556,0.0943
19,Total Other Income Expenses (Gains),- -,-14900000,-16200000,-14800000,-15900000,-26000000,100000,- -,-100000,-22900000,-30700000,-32100000,-64200000,-34400000,-30400000,-34956000,-55814000,-109354000,-63658000,-27047000,-340000,-324434000,-38020000,-66975000,240194000,2929000,-103404000,-125765000,-80064000,-80636000,-87666000,-98513000,-139205000,-86800000,-103560000,-74995000,-72615000
20,Income Before Tax,- -,22200000,38900000,47900000,45400000,39200000,-21100000,1900000,14500000,-15500000,21600000,25000000,-12200000,41300000,50600000,51818000,106354000,226625000,411518000,549772000,780585000,233106000,-646966000,-1168048000,-672019000,-295282000,-291588000,-101248000,21935000,20180000,-21765000,2436000,-45244000,8146000,-39668000,55403000,189861000
21,Income Before Tax Ratio,- -,0.0966,0.1355,0.1589,0.1225,0.0955,-0.0766,0.0060,0.0338,-0.0401,0.0278,0.0310,-0.0156,0.0438,0.0534,0.0455,0.0611,0.0888,0.1285,0.1321,0.1459,0.0379,-0.1348,-0.3531,-0.4210,-0.2152,-0.2569,-0.0682,0.0118,0.0098,-0.0101,0.0009,-0.0185,0.0041,-0.0197,0.0236,0.0682
22,Income Tax expense (Gain),- -,10700000,20400000,21700000,19200000,17400000,-5900000,300000,4700000,-5100000,7500000,7700000,-5200000,15100000,19700000,18655000,42668000,88347000,154138000,201091000,308738000,83573000,-19847000,-43458000,44693000,-297870000,-5501000,-35051000,-9360000,-286964000,-5665000,5255000,286949000,3626000,2449000,4475000,-417956000
23,Net Income,- -,11500000,18500000,26200000,26200000,21800000,-15200000,2500000,9800000,-10400000,14100000,17300000,-7000000,25500000,30000000,33163000,63686000,137696000,257380000,348681000,471847000,149533000,-627119000,-1124590000,-716712000,2588000,-286087000,-66197000,31295000,307144000,-16100000,-2819000,-332193000,4520000,-42117000,50928000,607817000
24,Net Income ratio,- -,0.0500,0.0645,0.0869,0.0707,0.0531,-0.0552,0.0078,0.0228,-0.0269,0.0181,0.0214,-0.0089,0.0271,0.0316,0.0291,0.0366,0.0540,0.0804,0.0838,0.0882,0.0243,-0.1307,-0.3399,-0.4490,0.0019,-0.2521,-0.0446,0.0169,0.1489,-0.0075,-0.0010,-0.1355,0.0023,-0.0209,0.0217,0.2184
25,EPS,- -,0.08,0.13,0.18,0.18,0.15,-0.10,0.02,0.07,-0.07,0.10,0.12,-0.05,0.17,0.20,0.23,0.43,0.93,1.75,2.37,3.20,1.01,-4.26,-7.63,-4.86,0.02,-1.94,-0.45,0.21,2.08,-0.11,-0.02,-2.25,0.03,-0.29,0.35,4.12
26,EPS Diluted,- -,0.08,0.13,0.18,0.18,0.15,-0.10,0.02,0.07,-0.07,0.10,0.12,-0.05,0.17,0.20,0.23,0.43,0.93,1.75,2.37,3.20,1.01,-4.26,-7.63,-4.86,0.02,-1.94,-0.45,0.21,2.08,-0.11,-0.02,-2.25,0.03,-0.29,0.35,4.12
27,Weighted Average Shares Outstanding,- -,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008
28,Weighted Average Shares Outstanding Diluted,- -,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008,147366008
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/357294/000104746905000873/0001047469-05-000873-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000110465906001719/0001104659-06-001719-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746907000222/0001047469-07-000222-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746907010292/0001047469-07-010292-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746908013400/0001047469-08-013400-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000035729409000046/0000357294-09-000046-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000035729410000029/0000357294-10-000029-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774911009909/0001437749-11-009909-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774912013055/0001437749-12-013055-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774913016341/0001437749-13-016341-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774914022360/0001437749-14-022360-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774915022517/0001437749-15-022517-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774916043587/0001437749-16-043587-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774917021249/0001437749-17-021249-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774918022403/0001437749-18-022403-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774919024673/0001437749-19-024673-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774920025763/0001437749-20-025763-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774922000287/0001437749-22-000287-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262675000,128221000,78024000,229499000,54323000,16233000,848056000,419955000,367180000,250740000,258323000,329204000,261898000,253745000,346765000,469320000,187871000,130976000,262489000,245970000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262675000,128221000,78024000,416704000,54323000,16233000,848056000,419955000,367180000,250740000,258323000,329204000,261898000,253745000,346765000,469320000,187871000,130976000,262489000,245970000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26276000,42506000,56753000,135291000,354564000,304266000,205592000,- -,61023000,52277000,61794000,45085000,377089000,360628000,333359000,58149000,35189000,44914000,33686000,39934000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081582000,1660044000,2467309000,3436620000,4070841000,3518334000,2159082000,1109913000,1001940000,968112000,981466000,1078764000,1344310000,1644578000,1283084000,1009827000,1078165000,1292485000,1195775000,1254260000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86582000,97407000,134456000,125662000,186667000,192198000,164924000,152674000,113005000,77618000,79111000,201905000,192408000,233186000,258268000,38575000,51494000,65789000,52989000,53686000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1457115000,1928178000,2736542000,4114277000,4666395000,4031031000,3377654000,1682542000,1543148000,1348747000,1380694000,1654958000,2175705000,2492137000,2221476000,1575871000,1352719000,1534164000,1544939000,1593850000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19242000,26263000,44137000,96891000,110704000,106792000,92817000,73918000,62767000,53266000,48524000,48186000,48200000,46458000,50779000,52919000,20285000,20127000,38201000,36580000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32658000,32658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82275000,139636000,158150000,282164000,165053000,4224000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82275000,139636000,158150000,282164000,197711000,36882000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41260000,38000000,57826000,61083000,51438000,63883000,61209000,100502000,115090000,123694000,127038000,103164000,60897000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425678000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119496000,238294000,217438000,226623000,505225000,365843000,166851000,226857000,173645000,142341000,193949000,4548000,2142000,2494000,6683000,157018000,165344000,200095000,141038000,203503000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221013000,404193000,419725000,605678000,813640000,509517000,259668000,342035000,274412000,253433000,303556000,104172000,114225000,110161000,157964000,325027000,309323000,347260000,282403000,726658000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1678128000,2332371000,3156267000,4719955000,5480035000,4540548000,3637322000,2024577000,1817560000,1602180000,1684250000,1759130000,2289930000,2602298000,2379440000,1900898000,1662042000,1881424000,1827342000,2320508000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303070000,235903000,335701000,518990000,594551000,189688000,431254000,340229000,335891000,99932000,126919000,98585000,119657000,144735000,160924000,128844000,127795000,141667000,148541000,163898000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85498000,166711000,188417000,198856000,319943000,203548000,107913000,142534000,98613000,95598000,164562000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3301000,- -,- -,- -,2227000,3334000,2301000,3832000,3851000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16670000,23846000,30119000,34969000,44218000,37429000,33772000,30086000,35872000,48286000,68295000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64844000,197661000,148291000,509956000,184943000,410552000,28676000,18811000,62769000,241983000,305190000,58016000,54712000,59668000,50338000,15127000,18218000,21509000,50075000,49593000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453412000,600275000,672409000,1227802000,1099437000,803788000,567843000,501574000,497273000,454183000,620517000,186720000,209338000,248621000,248691000,177743000,176099000,199048000,246902000,281786000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,661390000,802166000,1083897000,1498739000,2100883000,2161294000,2578282000,1751701000,1640315000,1602770000,1542196000,1701744000,1855003000,2163496000,1888860000,1757198000,1570392000,1702656000,1587281000,1392414000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30119000,34969000,44218000,37429000,33772000,30086000,35872000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,777000,15675000,48999000,20808000,205067000,189935000,135077000,87612000,17910000,- -,6882000,273346000,308419000,274047000,332970000,392556000,338969000,433624000,429253000,470924000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,662167000,817841000,1132896000,1519547000,2305950000,2351229000,2713359000,1839313000,1658225000,1644599000,1549078000,2005209000,2198391000,2481761000,2259259000,2183526000,1939447000,2172152000,2016534000,1863338000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21049000,18952000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1115579000,1418116000,1805305000,2747349000,3405387000,3155017000,3281202000,2340887000,2155498000,2098782000,2169595000,2191929000,2407729000,2730382000,2507950000,2361269000,2115546000,2371200000,2263436000,2145124000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000,- -,- -,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000,135299000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353000,78000,722000,734000,740000,746000,891000,896000,901000,1074000,1454000,1516000,1583000,1590000,1597000,1600000,1608000,67000,67000,68000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447802000,705182000,1053863000,1522952000,1661810000,1024017000,-109295000,-826007000,-823419000,-1109506000,-1175703000,-1144408000,-837264000,-853364000,-856183000,-1188376000,-1183856000,-1225973000,-1175045000,-567228000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21000,- -,-11784000,-19648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46358000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114415000,114172000,149593000,287319000,144314000,161741000,303369000,340214000,348651000,476439000,553375000,574367000,582583000,588391000,590777000,591106000,593445000,600144000,649108000,606758000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562549000,819712000,1192394000,1791357000,1942163000,1321803000,330264000,-349598000,-338568000,-496694000,-485575000,-433226000,-117799000,-128084000,-128510000,-460371000,-453504000,-490463000,-436929000,174897000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1678128000,2237828000,2997699000,4538706000,5347550000,4476820000,3611466000,1991289000,1816930000,1602088000,1684020000,1758703000,2289930000,2602298000,2379440000,1900898000,1662042000,1880737000,1826507000,2320021000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94543000,158568000,181249000,132485000,63728000,25856000,33288000,630000,92000,230000,427000,- -,- -,- -,- -,- -,687000,835000,487000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1678128000,2332371000,3156267000,4719955000,5480035000,4540548000,3637322000,2024577000,1817560000,1602180000,1684250000,1759130000,2289930000,2602298000,2379440000,1900898000,1662042000,1881424000,1827342000,2320508000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/357294/000104746905000873/0001047469-05-000873-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000110465906001719/0001104659-06-001719-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746907000222/0001047469-07-000222-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746907010292/0001047469-07-010292-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000104746908013400/0001047469-08-013400-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000035729409000046/0000357294-09-000046-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000035729410000029/0000357294-10-000029-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774911009909/0001437749-11-009909-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774912013055/0001437749-12-013055-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774913016341/0001437749-13-016341-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774914022360/0001437749-14-022360-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774915022517/0001437749-15-022517-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774916043587/0001437749-16-043587-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774917021249/0001437749-17-021249-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774918022403/0001437749-18-022403-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774919024673/0001437749-19-024673-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774920025763/0001437749-20-025763-index.htm,https://www.sec.gov/Archives/edgar/data/357294/000143774922000287/0001437749-22-000287-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,21800000,-15200000,2500000,9800000,-10400000,14100000,17300000,-7000000,25500000,30000000,33163000,63686000,137696000,257380000,348681000,471847000,149533000,-627119000,-1124590000,-716712000,2588000,-286087000,-66197000,31295000,307144000,-16100000,-2819000,-332193000,4520000,-42117000,50928000,607817000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3300000,2900000,2900000,2900000,2500000,4100000,5200000,5000000,4300000,6300000,8936000,11928000,6506000,15094000,35112000,55874000,70744000,181479000,55309000,18527000,12576000,9340000,6223000,4712000,3417000,3388000,3565000,4249000,3156000,4172000,5304000,5280000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-4700000,-3900000,400000,-200000,-1000000,1800000,-800000,-4600000,2000000,3100000,2551000,-6265000,-18307000,4223000,-21495000,-20823000,-151072000,85612000,105302000,- -,- -,- -,- -,- -,-287740000,-4691000,6851000,285578000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13218000,8706000,6219000,6453000,6842000,10279000,8816000,2921000,557000,3669000,721000,2779000,7668000
77,Change in Working Capital,- -,- -,- -,- -,- -,-6800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1003703000,324200000,736230000,822342000,680483000,-339715000,-417432000,-1628843000,-135093000,-151311000,-134387000,708061000,498129000,277149000,-270731000,-574657000,-221508000,158496000,-37079000,-372810000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20669000,-15911000,20519000,-3016000
79,Inventory,- -,- -,- -,- -,- -,-22100000,4000000,12600000,-38500000,-113700000,-20700000,26500000,-48100000,30700000,-53600000,-89544000,12540000,-31573000,-367773000,-709577000,-645280000,-920346000,33625000,666372000,354676000,-27726000,-88385000,8430000,-111770000,-270770000,-312312000,328141000,255444000,-58801000,-220608000,87897000,-35514000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19314000,59269000,-10594000,13090000,-21876000,-31394000,-2665000,33576000,71370000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1003703000,1327903000,2064133000,2886475000,3566958000,3227243000,2809811000,1180968000,1045875000,894564000,760177000,1468238000,1966367000,2243516000,1972785000,1398128000,1176620000,1335116000,1298037000,-405669000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,6600000,1100000,24700000,-56900000,-98800000,-32200000,13000000,-23000000,30400000,-3900000,-105295000,-32280000,-881058000,-795406000,-1286677000,-1353182000,-1400398000,761709000,1843477000,2284082000,143710000,214424000,120910000,-741642000,-721814000,-589097000,647878000,914019000,143341000,-370399000,270896000,-37742000
