,https://roic.ai/company/PKE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-300000,-1000000,-100000,400000,1400000,1600000,-300000,800000,600000,2781000,-4690000,-1541000,515000,-55000,151000,-899000,-812000,-5409000,- -,- -,22000,1137000,63681000,-2815000,-11412000,-1533000,-42060000,-1147000,849000,-56000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1231000,1117000,959000,762000,915000,1730000,1418000,1535000,1214000,1445000,1249000,726000,191000
77,Change in Working Capital,- -,- -,- -,- -,- -,400000,-4700000,-5700000,-1100000,9200000,106000000,4000000,11600000,-9800000,9300000,12400000,-21500000,3274000,27179000,4048000,13433000,18833000,5293000,585000,21391000,10670000,18443000,13847000,-16999000,-3462000,-28028000,-500000,-125966000,27737000,-20291000,-12139000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14683000,-9146000,1859000,6260000,-2255000,3087000,1138000,-1152000,5312000,-2373000,-2392000,-1573000,3276000
79,Inventory,- -,- -,- -,- -,- -,-2900000,3700000,-700000,-1900000,200000,-11700000,7200000,-3100000,1300000,-2831000,-5410000,18793000,535000,86000,-3553000,110000,210000,1375000,3199000,-1273000,-907000,-2947000,2882000,-925000,-664000,4225000,-916000,49000,-1312000,-1112000,1585000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4186000,1690000,-265000,-1485000,-1929000,-240000,322000,-727000,-1964000,-204000,1344000,1566000,-1435000
81,Other Working Capital,- -,- -,- -,- -,- -,57300000,52600000,46900000,45800000,55000000,161000000,165000000,176600000,166800000,176100000,188500000,167000000,170274000,197453000,201501000,214934000,233767000,239060000,239645000,261036000,271706000,290149000,303996000,286997000,283535000,255507000,255007000,129041000,156778000,136487000,124348000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,500000,5400000,6000000,6500000,-8900000,-114700000,-6600000,-9300000,1500000,-22979000,-3922000,58858000,47242000,-3490000,-8097000,-13177000,-30929000,-5543000,-5465000,-32058000,-8328000,-17126000,-17795000,20542000,10268000,30455000,1597000,146306000,-135625000,12838000,19002000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,9600000,9300000,9600000,22100000,27000000,27400000,29200000,40500000,22200000,21482000,77402000,23406000,16189000,32330000,27703000,36927000,35788000,41903000,33649000,22866000,42668000,31434000,19334000,30382000,29011000,13948000,13167000,3341000,7543000,5218000,13012000
84,CAPEX,- -,- -,- -,- -,- -,-13700000,-10900000,-10300000,-9600000,-17500000,-24500000,-18700000,-18300000,-24400000,-27729000,-55011000,-25786000,-6468000,-4509000,-3328000,-4320000,-4793000,-4525000,-12224000,-3422000,-3699000,-3994000,-1447000,-1117000,-430000,-398000,-242000,-886000,-2764000,-6846000,-7493000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4728000,-1025000,-1100000,-1100000,-2200000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-167100000,-376800000,-288200000,-200400000,-11200000,-74900000,-137900000,-135400000,-129700000,-127677000,-70144000,-47355000,-66194000,-76530000,-66833000,-33672000,-123592000,-165690000,-296252000,-153153000,-259300000,-172724000,-142134000,-210693000,-100074000,-105998000,-72827000,-164099000,-113860000,-104600000,-83941000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,160700000,377000000,293600000,200300000,19800000,23000000,103300000,124300000,140000000,152388000,117245000,27036000,66104000,69316000,39533000,45236000,126844000,142535000,224808000,233892000,223442000,170249000,190728000,161035000,105985000,96322000,75547000,207034000,125522000,68935000,124392000
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,-4600000,100000,- -,3250000,2986000,5025000,2094000,20000,100000,896000,78000,16000,69000,894000,- -,- -,100000,- -,2057000,- -,- -,144951000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-20200000,-10700000,-4900000,-9700000,-8900000,-76400000,-53300000,-34000000,-14000000,-3018000,-4660000,-43119000,-1533000,-9629000,-30608000,7344000,-645000,-27602000,-88380000,76361000,-39763000,-7569000,44947000,-50675000,5481000,-8017000,2478000,42049000,153849000,-42511000,32958000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-94000000,-3000000,-72000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,700000,1500000,700000,600000,200000,200000,2478000,1722000,1959000,368000,620000,1555000,4378000,1979000,2622000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5600000,-100000,- -,- -,-800000,- -,-6500000,- -,-13500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000,- -,-2738000,-12188000,- -,- -,- -,- -,-1644000
93,Dividends Paid,- -,- -,- -,- -,- -,-1600000,-1400000,-1500000,-1300000,-2200000,-3200000,-3600000,-3600000,-3500000,-3325000,-3577000,-4678000,-4688000,-4739000,-25070000,-26517000,-26638000,-36994000,-6539000,-7389000,-28903000,-8296000,-60388000,-60534000,-39646000,-8155000,-8093000,-68806000,-95051000,-28721000,-8153000
94,Other Financing Activites,- -,- -,- -,- -,- -,-900000,-2800000,-1400000,-6600000,-200000,96700000,-100000,- -,100000,- -,- -,-1738000,- -,- -,- -,- -,- -,634000,2660000,1308000,4166000,1901000,52703000,27998000,26436000,64848000,- -,10096000,-10468000,417000,12000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-8100000,-4300000,-2900000,-7200000,-1700000,94200000,-9600000,-3400000,-16700000,-847000,-1855000,-4457000,-4320000,-4119000,-23515000,-22139000,-24659000,-33738000,-3879000,-6081000,-24737000,-6395000,-7778000,-32536000,-25948000,-49495000,-11093000,-130710000,-105519000,-28304000,-9785000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-200000,-500000,- -,200000,-100000,- -,-300000,100000,-1146000,-314000,-64000,1208000,371000,502000,-176000,540000,545000,-759000,94000,-3000,-162000,111000,-138000,-156000,-217000,129000,1136000,-3120000,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-8100000,-4300000,-2900000,-7200000,-1700000,94200000,-9600000,-3400000,-16700000,16471000,70573000,-24234000,11544000,18953000,-25918000,21956000,11024000,-18892000,-59369000,93240000,-21835000,17308000,56614000,-52967000,8388000,-43781000,4681000,-84184000,52753000,-65597000,36185000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53153000,123726000,99492000,111036000,129989000,86071000,108027000,119051000,100159000,40790000,134030000,112195000,129503000,186117000,133150000,141538000,97757000,102438000,18254000,71007000,5410000,41595000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,32700000,13800000,8000000,9000000,14100000,30800000,76000000,42300000,45100000,36682000,53153000,123726000,99492000,111036000,111989000,86071000,108027000,119051000,100159000,40790000,134030000,112195000,129503000,186117000,133150000,141538000,97757000,102438000,18254000,71007000,5410000
100,Free Cash Flow,- -,- -,- -,- -,- -,-4100000,-1600000,-700000,12500000,9500000,2900000,10500000,22200000,-2200000,-6247000,22391000,-2380000,9721000,27821000,24375000,32607000,30995000,37378000,21425000,19444000,38969000,27440000,17887000,29265000,28581000,13550000,12925000,2455000,4779000,-1628000,5519000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76267/000007626794000009/0000076267-94-000009-index.html,https://www.sec.gov/Archives/edgar/data/76267/000007626795000007/0000076267-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/76267/000007626796000007/0000076267-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/76267/000007626797000005/0000076267-97-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/76267/000007626700000003/0000076267-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/76267/000007626701500013/0000076267-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/76267/000007626702000009/0000076267-02-000009-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/76267/000113379607000146/0001133796-07-000146-index.html,https://www.sec.gov/Archives/edgar/data/76267/000113379608000176/0001133796-08-000176-index.html,https://www.sec.gov/Archives/edgar/data/76267/000113379609000089/0001133796-09-000089-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000114420410027186/0001144204-10-027186-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000113379611000174/0001133796-11-000174-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000113379612000091/0001133796-12-000091-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000113379613000086/0001133796-13-000086-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774914009377/0001437749-14-009377-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774915010336/0001437749-15-010336-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774916031799/0001437749-16-031799-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774917008941/0001437749-17-008941-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774918009630/0001437749-18-009630-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774919010516/0001437749-19-010516-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774920010729/0001437749-20-010729-index.htm,https://www.sec.gov/Archives/edgar/data/76267/000143774921012145/0001437749-21-012145-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
