,https://roic.ai/company/EPAC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,9200000,12700000,25200000,36600000,60000000,42700000,35400000,28300000,42209000,52227000,61447000,72883000,75819000,189703000,84266000,71948000,71132000,72785000,90339000,122491000,154065000,185473000,211349000,65452000,121772000,193570000,169942000,190145000,203108000,53554000,-100217000,-50236000,18198000,47516000,24181000,51113000
18,Operating Income ratio,0.0814,0.0981,0.1423,0.1487,0.1347,0.0984,0.0990,0.0785,0.0973,0.0991,0.1076,0.1084,0.0616,0.1083,0.1255,0.1493,0.1536,0.1243,0.1243,0.1255,0.1283,0.1271,0.1270,0.0528,0.1049,0.1339,0.1059,0.1486,0.1451,0.0429,-0.0872,-0.0458,0.0154,0.0726,0.0490,0.0967
19,Total Other Income Expenses (Gains),200000,-2400000,-2300000,-3700000,-25600000,-25800000,-19500000,-14900000,-16911000,-15354000,-12280000,-10140000,-18434000,-62952000,-36733000,-31176000,-31864000,-27895000,-51514000,-16783000,-28216000,-33783000,-33418000,-42058000,-32570000,-34363000,-49628000,-27196000,-29082000,-28163000,-30127000,-32455000,-30870000,-28792000,-16332000,-7138000
20,Income Before Tax,9400000,10300000,22900000,32900000,34400000,16900000,15900000,13400000,25298000,36873000,49167000,62743000,57385000,126751000,47533000,40772000,39268000,44890000,38825000,105708000,125849000,151690000,177931000,23394000,89202000,159207000,120314000,162949000,174026000,25391000,-130344000,-82691000,-12672000,18724000,7849000,43975000
21,Income Before Tax Ratio,0.0832,0.0796,0.1293,0.1336,0.0772,0.0389,0.0445,0.0372,0.0583,0.0700,0.0861,0.0933,0.0466,0.0724,0.0708,0.0846,0.0848,0.0767,0.0534,0.1083,0.1048,0.1040,0.1069,0.0189,0.0769,0.1102,0.0749,0.1273,0.1243,0.0203,-0.1134,-0.0755,-0.0107,0.0286,0.0159,0.0832
22,Income Tax expense (Gain),3600000,3800000,8400000,13100000,14800000,9100000,6400000,4700000,8402000,11868000,15438000,20705000,30698000,47354000,19488000,16417000,14016000,15924000,14676000,35012000,33386000,46781000,55365000,-474000,18846000,34711000,33024000,15372000,32573000,5519000,-25170000,-16478000,8976000,10657000,2292000,3763000
23,Net Income,4000000,-1600000,14500000,19800000,19600000,7800000,-24500000,-1100000,16548000,20085000,33729000,42038000,26687000,79397000,67089000,23574000,-2581000,28966000,34823000,71251000,92588000,104952000,122544000,13723000,24031000,111559000,87290000,30048000,163573000,19872000,-105174000,-66213000,-21648000,-249145000,723000,38077000
24,Net Income ratio,0.0354,-0.0124,0.0819,0.0804,0.0440,0.0180,-0.0686,-0.0031,0.0382,0.0381,0.0590,0.0625,0.0217,0.0453,0.0999,0.0489,-0.0056,0.0495,0.0479,0.0730,0.0771,0.0719,0.0736,0.0111,0.0207,0.0772,0.0544,0.0235,0.1168,0.0159,-0.0915,-0.0604,-0.0183,-0.3805,0.0015,0.0720
25,EPS,0.08,-0.10,0.71,0.95,0.93,0.38,-1.16,-0.06,1.56,1.82,1.51,1.82,0.88,2.55,2.15,0.74,-0.07,0.62,0.73,1.37,1.71,1.92,2.20,0.24,0.36,1.63,1.25,0.41,2.31,0.32,-1.78,-1.11,-0.36,-4.07,0.01,0.63
26,EPS Diluted,0.07,-0.10,0.71,0.95,0.93,0.38,-1.16,-0.06,1.56,1.82,1.51,1.80,0.82,2.48,2.08,0.71,-0.07,0.59,0.70,1.21,1.50,1.69,1.93,0.24,0.35,1.50,1.17,0.40,2.26,0.32,-1.78,-1.11,-0.36,-4.07,0.01,0.63
27,Weighted Average Shares Outstanding,14928000,16000000,20350877,20842105,21189189,20800000,21075269,17600000,10631200,10996800,22372800,23003200,30704000,31060000,31287200,31800000,39972000,46700000,47320000,51992000,54260000,54752000,55813000,58047000,67624000,68254000,70099000,72979000,70942000,61262000,59010000,59436000,60441000,61151000,59952000,60024000
28,Weighted Average Shares Outstanding Diluted,14928000,16000000,20350877,20842105,21189189,20800000,21075269,17600000,21172000,21896000,22372800,23380800,32139200,32160000,32248800,33220000,42332000,48928000,49354000,60886000,63202000,63628000,64833000,66064000,74209000,75305000,74940000,74580000,72486000,62055000,59010000,59436000,60441000,61607000,60269000,60403000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6955/000095012494001757/0000950124-94-001757-index.html,https://www.sec.gov/Archives/edgar/data/6955/000095012495003836/0000950124-95-003836-index.html,- -,https://www.sec.gov/Archives/edgar/data/6955/000095013197006854/0000950131-97-006854-index.html,https://www.sec.gov/Archives/edgar/data/6955/000095013198006204/0000950131-98-006204-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6955/000095013101503986/0000950131-01-503986-index.html,- -,https://www.sec.gov/Archives/edgar/data/6955/000119312503066628/0001193125-03-066628-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312504181607/0001193125-04-181607-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312505222624/0001193125-05-222624-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312506243784/0001193125-06-243784-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312507229345/0001193125-07-229345-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312508219025/0001193125-08-219025-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312509216254/0001193125-09-216254-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312510239211/0001193125-10-239211-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312511285382/0001193125-11-285382-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312512437816/0001193125-12-437816-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695513000013/0000006955-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695514000017/0000006955-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695515000046/0000006955-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695516000084/0000006955-16-000084-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695517000038/0000006955-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695518000038/0000006955-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695519000033/0000006955-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695520000046/0000006955-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695521000031/0000006955-21-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2200000,7300000,2300000,19900000,6500000,3600000,3000000,900000,1907000,911000,1001000,5846000,6349000,22258000,9896000,26554000,3043000,4593000,6033000,10356000,25659000,86680000,122549000,11385000,40222000,44221000,68184000,103986000,109012000,168846000,179604000,229571000,250490000,211151000,152170000,140352000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2200000,7300000,2300000,19900000,6500000,3600000,3000000,900000,1907000,911000,1001000,5846000,6349000,22258000,9896000,26554000,3043000,4593000,6033000,10356000,25659000,86680000,122549000,11385000,40222000,44221000,68184000,103986000,109012000,168846000,179604000,229571000,250490000,211151000,152170000,140352000
34,Net Receivables,35300000,30100000,37500000,78100000,83300000,50400000,49800000,48900000,64259000,71000000,68747000,84697000,147380000,149525000,116447000,54971000,58304000,81825000,90433000,131185000,171262000,194775000,226564000,155520000,185693000,223760000,234756000,219075000,227008000,193081000,186829000,190206000,187749000,125883000,84170000,103233000
35,Inventory,35100000,23900000,34800000,73800000,93100000,81200000,75000000,84100000,94949000,103358000,120648000,115761000,164786000,207518000,67599000,56738000,54898000,67640000,87074000,135960000,165760000,197539000,215391000,160656000,146154000,223235000,211690000,142549000,162620000,142752000,130756000,143651000,156356000,77187000,69171000,75347000
36,Other Current Assets,6800000,3200000,6400000,21400000,8600000,8600000,28400000,27700000,13694000,15195000,16509000,19602000,46049000,29735000,9772000,10907000,13719000,18704000,18774000,21812000,28244000,26286000,27962000,36101000,88081000,55268000,46651000,319630000,44350000,55710000,45463000,83498000,66305000,316104000,35621000,38503000
37,Total Current Assets,79400000,64500000,81000000,193200000,191500000,143800000,156200000,161600000,174809000,190464000,206905000,225906000,364564000,409036000,203714000,149170000,129964000,172762000,202314000,299313000,390925000,505280000,592466000,363662000,460150000,546484000,561281000,785240000,542990000,560389000,542652000,646926000,660900000,730325000,341132000,357435000
38,PP&E,16100000,17300000,26500000,81700000,90100000,74600000,55200000,53600000,67745000,68435000,76236000,90580000,225170000,273902000,49168000,39482000,36828000,59197000,47972000,83879000,94544000,122817000,134550000,129118000,108382000,128649000,115884000,201496000,169101000,142458000,114015000,94521000,90220000,56729000,61405000,48590000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505428000,599841000,639862000,711522000,704889000,888466000,866412000,734952000,742770000,608256000,519276000,530081000,512412000,260415000,281154000,277593000
40,Intangible Assets,- -,- -,26100000,90400000,104300000,98800000,70800000,67600000,68458000,67773000,91730000,139801000,542869000,888322000,137388000,129040000,101361000,121201000,167514000,603286000,210899000,260418000,292359000,350249000,336978000,479406000,445884000,376692000,365177000,308762000,239475000,220489000,181037000,52375000,62382000,54545000
41,Intangible Assets,- -,- -,26100000,90400000,104300000,98800000,70800000,67600000,68458000,67773000,91730000,139801000,542869000,888322000,137388000,129040000,101361000,121201000,167514000,603286000,716327000,860259000,932221000,1061771000,1041867000,1367872000,1312296000,1111644000,1107947000,917018000,758751000,750570000,693449000,312790000,343536000,332138000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5100000,20300000,16100000,5700000,7700000,9000000,6800000,7900000,6390000,6274000,6370000,7305000,42119000,53586000,26711000,25024000,26458000,8493000,6336000,9857000,11579000,12420000,9145000,13880000,11304000,13676000,17658000,20952000,36841000,17052000,27120000,24938000,36769000,24430000,78221000,82084000
45,Total Non-Current Assets,21200000,37600000,68700000,177800000,202100000,182400000,132800000,129100000,142593000,142482000,174336000,237686000,810158000,1215810000,213267000,193546000,164647000,188891000,221822000,697022000,822450000,995496000,1075916000,1204769000,1161553000,1510197000,1445838000,1334092000,1313889000,1076528000,899886000,870029000,820438000,393949000,483162000,462812000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,100600000,102100000,149700000,371000000,393600000,326200000,289000000,290700000,317402000,332946000,381241000,463592000,1174722000,1624846000,416981000,342716000,294611000,361653000,424136000,996335000,1213375000,1500776000,1668382000,1568431000,1621703000,2056681000,2007119000,2119332000,1856879000,1636917000,1442538000,1516955000,1481338000,1124274000,824294000,820247000
48,Accounts Payable,- -,- -,- -,28300000,34200000,26200000,27400000,23400000,35219000,37530000,41397000,54555000,127470000,157515000,43455000,39798000,47834000,53045000,64165000,89506000,122164000,153205000,166863000,108333000,130051000,170084000,174746000,154049000,145798000,118115000,115051000,133387000,130838000,76914000,45069000,61958000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,25499000,12807000,16068000,21428000,91000,230000,1259000,1568000,9781000,10142000,4823000,157000,18896000,519000,339000,4964000,- -,2690000,7500000,- -,4500000,3969000,18750000,30000000,30000000,7500000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20578000,50318000,19342000,5778000,14014000,38347000,14805000,9254000,6080000,4091000,4838000,1937000,5674000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,39700000,32300000,48800000,76000000,92300000,59500000,51800000,69300000,41247000,47110000,50264000,52291000,133147000,165920000,81529000,92823000,54651000,78970000,56845000,99072000,123334000,137103000,143923000,121797000,215786000,157529000,136760000,167793000,148823000,112972000,108111000,215547000,170123000,215987000,60453000,72806000
53,Total Current Liabilities,39700000,32300000,48800000,104300000,126500000,85700000,79200000,92700000,101965000,97447000,107729000,128274000,260708000,323665000,126243000,134189000,112266000,142157000,125833000,188735000,264394000,290827000,311125000,235094000,345837000,330303000,319006000,321842000,299121000,235056000,241912000,378934000,330961000,300401000,105522000,134764000
54,Long-Term Debt,12100000,5400000,26000000,168900000,141800000,114400000,104900000,86800000,77956000,74156000,76548000,101663000,512557000,808438000,431215000,325752000,182783000,159692000,189068000,442661000,461356000,561138000,573818000,400135000,367380000,522727000,390000000,515000000,385500000,584309000,565559000,531940000,502695000,452945000,255000000,175000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5500000,- -,- -,- -,- -,- -,- -,- -,16768000,16386000,15395000,14596000,23065000,15869000,4486000,3907000,4409000,8841000,8376000,58783000,70184000,103589000,99634000,117335000,110230000,165945000,132653000,115865000,96970000,72941000,31356000,29859000,21933000,1564000,1708000,4397000
57,Other Non-Current Liabilities,400000,7400000,4900000,11100000,9800000,9300000,8300000,23200000,13402000,13271000,13114000,14950000,36510000,59045000,17992000,18622000,38772000,58472000,68871000,61323000,54476000,45301000,54299000,68497000,58535000,118693000,113624000,86358000,73577000,71610000,82761000,75683000,67037000,68185000,102838000,93888000
58,Total Non-Current Liabilities,18000000,12800000,30900000,180000000,151600000,123700000,113200000,110000000,108126000,103813000,105057000,131209000,572132000,883352000,453693000,348281000,225964000,227005000,266315000,562767000,586016000,710028000,727751000,585967000,536145000,807365000,636277000,717223000,556047000,728860000,679676000,637482000,591665000,522694000,359546000,273285000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,57700000,45100000,79700000,284300000,278100000,209400000,192400000,202700000,210091000,201260000,212786000,259483000,832840000,1207017000,579936000,482470000,338230000,369162000,392148000,751502000,850410000,1000855000,1038876000,821061000,881982000,1137668000,955283000,1039065000,855168000,963916000,921588000,1016416000,922626000,823095000,465068000,408049000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2630000,2681000,2730000,2763000,7725000,7796000,7923000,1603000,2319000,4702000,4753000,5410000,5460000,5535000,11200000,13543000,13610000,13731000,15102000,15399000,15695000,15787000,15879000,16040000,16285000,16384000,16519000,16604000
64,Retained Earnings,35400000,32000000,46000000,65100000,83100000,89400000,63400000,60800000,75802000,94285000,126392000,166766000,335805000,412863000,478163000,501737000,499156000,528122000,562945000,632032000,722439000,825165000,936055000,947070000,968373000,1077192000,1161564000,1188685000,1349602000,1367176000,1259645000,1191042000,1166955000,915466000,917671000,953339000
65,Other Comprehensive Income/Loss,-13100000,-11300000,-12800000,-17500000,-33200000,-39000000,-41100000,-49000000,-71047000,-84939000,-91889000,-100756000,-193045000,-275210000,-80571000,-73715000,-78982000,-21823000,-17600000,-20568000,-4581000,12876000,7149000,-24599000,-67105000,-17679000,-66783000,-65536000,-64325000,-209348000,-249177000,-224565000,-171795000,-168602000,-98162000,-89917000
66,Other Total Stockholders Equity,20600000,36300000,36800000,39100000,65600000,66400000,74300000,76200000,99926000,119659000,131222000,135336000,191397000,272380000,- -,- -,- -,-522627000,-518321000,-372041000,-360353000,-343655000,-324898000,-188644000,-175157000,-154231000,-58047000,-58281000,-299261000,-500614000,-505397000,-481978000,-452733000,-462069000,-476802000,- -
67,Total Stockholders Equity,42900000,57000000,70000000,86700000,115500000,116800000,96600000,88000000,107311000,131686000,168455000,204109000,341882000,417829000,-162955000,-139754000,-43619000,-11626000,31777000,244833000,362965000,499921000,629506000,747370000,739721000,919013000,1051836000,1080267000,1001711000,673001000,520950000,500539000,558712000,301179000,359226000,412198000
68,Total Liabilities And Stockholders Equity,100600000,102100000,149700000,371000000,393600000,326200000,289000000,290700000,317402000,332946000,381241000,463592000,1174722000,1624846000,416981000,342716000,294611000,357536000,423925000,996335000,1213375000,1500776000,1668382000,1568431000,1621703000,2056681000,2007119000,2119332000,1856879000,1636917000,1442538000,1516955000,1481338000,1124274000,824294000,820247000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4117000,211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,100600000,102100000,149700000,371000000,393600000,326200000,289000000,290700000,317402000,332946000,381241000,463592000,1174722000,1624846000,416981000,342716000,294611000,361653000,424136000,996335000,1213375000,1500776000,1668382000,1568431000,1621703000,2056681000,2007119000,2119332000,1856879000,1636917000,1442538000,1516955000,1481338000,1124274000,824294000,820247000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6955/000095012494001757/0000950124-94-001757-index.html,https://www.sec.gov/Archives/edgar/data/6955/000095012495003836/0000950124-95-003836-index.html,- -,https://www.sec.gov/Archives/edgar/data/6955/000095013197006854/0000950131-97-006854-index.html,https://www.sec.gov/Archives/edgar/data/6955/000095013198006204/0000950131-98-006204-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6955/000095013101503986/0000950131-01-503986-index.html,- -,https://www.sec.gov/Archives/edgar/data/6955/000119312503066628/0001193125-03-066628-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312504181607/0001193125-04-181607-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312505222624/0001193125-05-222624-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312506243784/0001193125-06-243784-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312507229345/0001193125-07-229345-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312508219025/0001193125-08-219025-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312509216254/0001193125-09-216254-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312510239211/0001193125-10-239211-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312511285382/0001193125-11-285382-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000119312512437816/0001193125-12-437816-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695513000013/0000006955-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695514000017/0000006955-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695515000046/0000006955-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695516000084/0000006955-16-000084-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695517000038/0000006955-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695518000038/0000006955-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695519000033/0000006955-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695520000046/0000006955-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/6955/000000695521000031/0000006955-21-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,19800000,19600000,7800000,-24500000,-1100000,16548000,20085000,33729000,42038000,26687000,79397000,67089000,23574000,-2581000,28966000,34823000,71251000,92588000,104952000,122544000,13723000,24031000,111559000,87290000,30048000,163573000,19872000,-105174000,-66213000,-21648000,-249145000,723000,38077000
74,Depreciation and Amortization,- -,- -,- -,8700000,19900000,19900000,14800000,15800000,19406000,18456000,21078000,23663000,47570000,76690000,22550000,18915000,14698000,16556000,18020000,23718000,29244000,38387000,44709000,51978000,51875000,52996000,54263000,53902000,60635000,53239000,47777000,43110000,40707000,20217000,20720000,21611000
75,Deferred Income Tax,- -,- -,- -,1000000,1800000,-600000,-500000,-3900000,-789000,-2707000,-1588000,-1274000,-8508000,6453000,324000,1107000,1371000,4115000,2631000,3767000,1391000,8341000,5912000,-17847000,-2876000,6480000,-10524000,-44265000,40000,-13939000,-17403000,-8956000,-6890000,3955000,-7819000,9639000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8609000,8399000,10758000,13346000,13440000,17115000,12046000,10442000,16733000,14457000,10882000,9624000,9215000
77,Change in Working Capital,- -,- -,- -,-19300000,-23900000,-6900000,18900000,-8100000,3944000,20173000,6159000,-1544000,6224000,-18485000,-7900000,-62490000,2717000,12907000,45876000,34097000,15953000,87922000,66888000,-152773000,-14255000,101868000,26094000,221123000,-219529000,81464000,-24593000,-32748000,61947000,99985000,-194314000,-12939000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87052000,-14507000,-2564000,-12310000,-10925000,1336000,12827000,20261000,-3475000,-3093000,-4993000,44749000,-19113000
