,https://roic.ai/company/UAL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1495000000,1670000000,3495000000,4495000000,5163000000,5055000000,5452000000,6056000000,6568000000,10019400000,10590000000,13429000000,14838000000,15239000000,16119000000,16083000000,16636000000,17660000000,10538000000,15883000000,14081000000,16536000000,16913000000,18214000000,20116000000,10280000000,6165000000,10163000000,15237000000,6033000000,6585000000,6516000000,6420000000,6724000000,7006000000,7359000000,7926000000,409000000,1089000000
11,COGS and Expenses,5806000000,6324000000,5534000000,7029000000,8058000000,8317000000,9329000000,11074000000,12157000000,13427500000,14248000000,13429000000,14838000000,15239000000,16119000000,16083000000,16636000000,18698000000,14809000000,17123000000,15084000000,17245000000,17598000000,18893000000,20432000000,19474000000,13620000000,17970000000,34696000000,35790000000,36510000000,36085000000,32372000000,31580000000,34062000000,37524000000,38712000000,20794000000,25002000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,- -,- -,- -,- -,- -,- -,112000000,29000000,30000000,20000000,23000000,21000000,22000000,25000000,42000000,57000000,101000000,133000000,50000000,36000000
13,Interest Expense (Gain),-195000000,-154000000,-159000000,-223000000,-258000000,-245000000,-221000000,-192000000,-210000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,525000000,- -,- -,- -,- -,- -,- -,503000000,577000000,798000000,917000000,798000000,734000000,683000000,620000000,542000000,559000000,659000000,646000000,992000000,1577000000
14,Depreciation and Amortization,- -,- -,424100000,502300000,550500000,518400000,517000000,559600000,603800000,-725600000,-681000000,640000000,724000000,759000000,724000000,793000000,867000000,1058000000,1932000000,970000000,938000000,874000000,792000000,888000000,-925000000,932000000,902000000,1079000000,1547000000,1522000000,1689000000,1679000000,1819000000,1977000000,2149000000,2240000000,2288000000,2488000000,2485000000
15,EBITDA,53000000,349000000,102100000,175300000,619500000,1786400000,834000000,531600000,-114200000,-1921600000,-747000000,785000000,1316000000,1662000000,2234000000,2043000000,2801000000,1268000000,-908000000,-2242000000,-1870000000,-847000000,-20384000000,23785000000,-225000000,-3938000000,811000000,2130000000,3309000000,1596000000,2962000000,3490000000,6658000000,6338000000,5707000000,5557000000,6848000000,-5342000000,1505000000
16,EBITDA ratio,0.0088,0.0501,0.0193,0.0246,0.0746,0.1989,0.0852,0.0482,-0.0098,-0.1491,-0.0515,0.0563,0.0881,0.1016,0.1286,0.1163,0.1554,0.0655,-0.0563,-0.1569,-0.1363,-0.0517,-1.1729,1.2298,-0.0112,-0.1950,0.0496,0.0917,0.0892,0.0430,0.0774,0.0897,0.1758,0.1734,0.1512,0.1345,0.1583,-0.3479,0.0611
17,Operating Income,216000000,643000000,-243000000,90000000,247000000,665000000,465000000,-36000000,-494000000,- -,- -,521000000,829000000,1123000000,1259000000,1478000000,1391000000,654000000,-3771000000,-2837000000,-1360000000,-854000000,-219000000,447000000,1037000000,-4438000000,-161000000,976000000,1822000000,39000000,1249000000,2373000000,5166000000,4338000000,3498000000,3292000000,4301000000,-6359000000,-1022000000
18,Operating Income ratio,0.0359,0.0923,-0.0459,0.0126,0.0297,0.0740,0.0475,-0.0033,-0.0424,- -,- -,0.0373,0.0555,0.0686,0.0724,0.0842,0.0772,0.0338,-0.2337,-0.1986,-0.0991,-0.0521,-0.0126,0.0231,0.0515,-0.2198,-0.0099,0.0420,0.0491,0.0010,0.0326,0.0610,0.1364,0.1187,0.0927,0.0797,0.0994,-0.4141,-0.0415
19,Total Other Income Expenses (Gains),32000000,-161000000,34000000,-318000000,-260000000,324000000,74000000,200000000,-14000000,-118200000,-310000000,-350000000,-208000000,-153000000,265000000,-222000000,551000000,-223000000,414000000,-368000000,-1448000000,-872000000,-20961000000,22442000000,-342000000,-941000000,-511000000,-726000000,-977000000,-763000000,-710000000,-1245000000,-947000000,-519000000,-499000000,-634000000,-387000000,-2463000000,-1535000000
20,Income Before Tax,248000000,482000000,-209000000,-228000000,-13000000,989000000,539000000,164000000,-508000000,-656000000,-47000000,171000000,621000000,970000000,1524000000,1256000000,1942000000,431000000,-3357000000,-3205000000,-2808000000,-1726000000,-21180000000,22889000000,695000000,-5379000000,-672000000,250000000,845000000,-724000000,539000000,1128000000,4219000000,3819000000,2999000000,2658000000,3914000000,-8822000000,-2557000000
21,Income Before Tax Ratio,0.0412,0.0692,-0.0395,-0.0320,-0.0016,0.1101,0.0550,0.0149,-0.0436,-0.0509,-0.0032,0.0123,0.0416,0.0593,0.0877,0.0715,0.1077,0.0223,-0.2080,-0.2243,-0.2046,-0.1053,-1.2187,1.1835,0.0345,-0.2664,-0.0411,0.0108,0.0228,-0.0195,0.0141,0.0290,0.1114,0.1045,0.0795,0.0644,0.0905,-0.5745,-0.1038
22,Income Tax expense (Gain),106000000,221000000,-114000000,-115000000,-8000000,389000000,214000000,70000000,-176000000,-239000000,-16000000,94000000,243000000,370000000,561000000,429000000,699000000,160000000,-1226000000,- -,- -,- -,- -,21000000,297000000,-25000000,-17000000,- -,5000000,-1000000,-32000000,-4000000,-3121000000,1556000000,868000000,529000000,905000000,-1753000000,-593000000
23,Net Income,142000000,282000000,-49000000,11000000,335000000,1124000000,324000000,94000000,-332000000,-957000000,-50000000,51000000,349000000,533000000,949000000,821000000,1235000000,50000000,-2139000000,-3212000000,-2808000000,-1721000000,-21176000000,22876000000,403000000,-5348000000,-651000000,253000000,840000000,-723000000,571000000,1132000000,7340000000,2263000000,2131000000,2129000000,3009000000,-7069000000,-1964000000
24,Net Income ratio,0.0236,0.0405,-0.0093,0.0015,0.0403,0.1251,0.0331,0.0085,-0.0285,-0.0742,-0.0034,0.0037,0.0234,0.0326,0.0546,0.0468,0.0685,0.0026,-0.1325,-0.2248,-0.2046,-0.1050,-1.2185,1.1828,0.0200,-0.2648,-0.0399,0.0109,0.0226,-0.0195,0.0149,0.0291,0.1939,0.0619,0.0565,0.0515,0.0696,-0.4604,-0.0797
25,EPS,1.10,1.73,-0.35,0.06,1.50,9.45,3.72,1.08,-3.57,-19.24,-1.01,-0.15,5.00,5.16,14.83,12.71,21.20,0.04,-40.04,-53.55,-27.36,-15.25,-182.29,196.75,3.34,-42.21,-4.32,1.22,2.54,-2.18,1.64,3.05,19.52,7.19,7.43,7.89,11.98,-22.67,-6.30
26,EPS Diluted,1.10,1.73,-0.35,0.06,1.50,9.45,3.72,1.08,-3.57,-19.24,-1.01,-0.15,4.78,5.04,8.95,6.83,9.94,0.04,-40.04,-53.55,-27.36,-15.25,-182.29,196.75,2.79,-42.21,-4.32,1.08,2.26,-2.18,1.53,2.93,19.47,6.85,7.02,7.70,11.58,-25.30,-6.30
27,Weighted Average Shares Outstanding,129000000,163000000,139000000,181000000,223000000,119000000,87000000,87000000,93000000,49739460,49739460,49739460,50500756,58933372,63991908,64594807,58254717,61082474,53800000,56169251,102631579,112852459,116166548,116269377,120658683,126800000,150700000,207000000,329000000,331000000,348000000,371000000,376000000,314612744,286973195,269914769,251216381,311845232,311845232
28,Weighted Average Shares Outstanding Diluted,129000000,163000000,139000000,181000000,223000000,119000000,87000000,87000000,93000000,49739460,49739460,49739460,50500756,58933372,63991908,64594807,58254717,61082474,53800000,56169251,102631579,112852459,116166548,116269377,144444444,126800000,150700000,253000000,383000000,331000000,390000000,390000000,377000000,330000000,303600000,276700000,259900000,311845232,311845232
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100517/000010051705000006/0000100517-05-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/100517/000110465907019919/0001104659-07-019919-index.htm,- -,https://www.sec.gov/Archives/edgar/data/100517/000095013709001460/0000950137-09-001460-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312510041523/0001193125-10-041523-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312511042335/0001193125-11-042335-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/0001193125-12-073010-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312513074391/0001193125-13-074391-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312514060695/0001193125-14-060695-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/0001193125-15-056493-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312516468479/0001193125-16-468479-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/0001193125-17-054129-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/0001193125-18-054235-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/0000100517-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/0000100517-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051721000016/0000100517-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/100517/000010051722000009/0000100517-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,292000000,442000000,751000000,102000000,2208000000,1087000000,465000000,221000000,449000000,522000000,437000000,500000000,194000000,229000000,295000000,390000000,310000000,1679000000,- -,886000000,1640000000,1223000000,1761000000,3832000000,1259000000,2039000000,3042000000,8069000000,6246000000,4770000000,3220000000,2002000000,3006000000,2179000000,1482000000,1694000000,2762000000,11269000000,18283000000
32,Short-Term Investments,- -,- -,- -,- -,- -,46000000,957000000,974000000,727000000,- -,- -,1032000000,949000000,468000000,550000000,425000000,379000000,665000000,- -,388000000,78000000,78000000,77000000,312000000,2295000000,- -,- -,611000000,1516000000,1773000000,1901000000,2382000000,2190000000,2249000000,2316000000,2256000000,2182000000,414000000,123000000
33,Cash and Short-Term Investments,292000000,442000000,751000000,102000000,2208000000,1133000000,1422000000,1195000000,1176000000,522000000,437000000,1532000000,1143000000,697000000,845000000,815000000,689000000,2344000000,- -,1274000000,1718000000,1301000000,1838000000,4144000000,3554000000,2039000000,3042000000,8680000000,7762000000,6543000000,5121000000,4384000000,5196000000,4428000000,3798000000,3950000000,4944000000,11683000000,18406000000
34,Net Receivables,767000000,721000000,1012000000,779000000,836000000,743000000,888000000,913000000,1079000000,1066000000,1095000000,889000000,951000000,962000000,1051000000,1138000000,1316000000,1326000000,- -,1114000000,929000000,951000000,839000000,820000000,888000000,714000000,743000000,1613000000,1358000000,1338000000,1503000000,1146000000,1128000000,1176000000,1340000000,1346000000,1364000000,1295000000,1663000000
35,Inventory,139000000,179000000,209000000,198000000,222000000,175000000,249000000,323000000,336000000,324000000,278000000,285000000,298000000,369000000,355000000,384000000,340000000,424000000,- -,310000000,264000000,234000000,193000000,218000000,242000000,237000000,197000000,466000000,615000000,695000000,667000000,666000000,738000000,873000000,924000000,985000000,1072000000,932000000,983000000
36,Other Current Assets,56000000,84000000,1117000000,123000000,217000000,99000000,179000000,209000000,291000000,1386000000,1903000000,486000000,651000000,654000000,697000000,571000000,590000000,685000000,- -,681000000,1113000000,1428000000,1389000000,1091000000,1411000000,1871000000,1123000000,1286000000,1262000000,1473000000,1411000000,1942000000,766000000,832000000,1051000000,913000000,814000000,890000000,782000000
37,Total Current Assets,1254000000,1426000000,3089000000,1202000000,3483000000,2150000000,2738000000,2640000000,2882000000,3298000000,3713000000,3192000000,3043000000,2682000000,2948000000,2908000000,2935000000,4779000000,- -,3379000000,4024000000,3914000000,4259000000,6273000000,6095000000,4861000000,5105000000,12045000000,10997000000,10049000000,8702000000,8138000000,7828000000,7309000000,7113000000,7194000000,8194000000,14800000000,21834000000
38,PP&E,3653000000,3543000000,4116000000,3660000000,4027000000,3941000000,3898000000,4749000000,5995000000,6395000000,7206000000,6723000000,7021000000,9409000000,12024000000,13054000000,14865000000,17623000000,- -,16361000000,16148000000,14174000000,13228000000,11463000000,11359000000,10312000000,9840000000,16945000000,16419000000,17292000000,18047000000,19467000000,21580000000,23318000000,26208000000,28329000000,34928000000,36003000000,36719000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2703000000,2280000000,- -,- -,4523000000,4523000000,5504000000,5486000000,5479000000,5465000000,5059000000,5059000000,5069000000,5069000000,5087000000,4527000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,907000000,866000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3028000000,2871000000,2693000000,2455000000,4917000000,4750000000,3616000000,3473000000,3328000000,3194000000,3096000000,3003000000,2613000000,2463000000,2278000000,2803000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,907000000,866000000,814000000,763000000,524000000,703000000,676000000,568000000,671000000,- -,412000000,406000000,399000000,388000000,5731000000,5151000000,2693000000,2455000000,9440000000,9273000000,9120000000,8959000000,8807000000,8659000000,8155000000,8062000000,7682000000,7532000000,7365000000,7330000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000000,53000000,24000000,20000000,113000000,122000000,81000000,88000000,103000000,- -,- -,- -,- -,- -,- -,852000000,966000000,1180000000,1000000000,1344000000
43,Tax Assets,261000000,305000000,226000000,91000000,21000000,- -,- -,- -,- -,- -,- -,480000000,238000000,132000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2037000000,655000000,- -,- -,- -,131000000,659000000
44,Other Non-Current Assets,-34000000,-115000000,443000000,1474000000,858000000,610000000,571000000,594000000,999000000,1657000000,1055000000,555000000,576000000,-70000000,128000000,1921000000,2595000000,1282000000,- -,3264000000,1348000000,2194000000,1447000000,1789000000,1493000000,1514000000,1196000000,1065000000,1299000000,1167000000,1104000000,941000000,757000000,703000000,91000000,621000000,777000000,249000000,289000000
45,Total Non-Current Assets,3880000000,3733000000,4785000000,5225000000,4906000000,4551000000,4469000000,5343000000,6994000000,8959000000,9127000000,8572000000,8598000000,9995000000,12855000000,15651000000,18028000000,19576000000,- -,20277000000,17955000000,16791000000,15083000000,19096000000,18125000000,14600000000,13579000000,27553000000,26991000000,27579000000,28110000000,29215000000,33033000000,32831000000,35213000000,37598000000,44417000000,44748000000,46341000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5134000000,5159000000,7874000000,6427000000,8389000000,6701000000,7207000000,7983000000,9876000000,12257000000,12840000000,11764000000,11641000000,12677000000,15803000000,18559000000,20963000000,24355000000,- -,23656000000,21979000000,20705000000,19342000000,25369000000,24220000000,19461000000,18684000000,39598000000,37988000000,37628000000,36812000000,37353000000,40861000000,40140000000,42326000000,44792000000,52611000000,59548000000,68175000000
48,Accounts Payable,398000000,383000000,584000000,475000000,486000000,495000000,596000000,553000000,580000000,646000000,599000000,651000000,696000000,994000000,1030000000,1151000000,967000000,1188000000,- -,284000000,501000000,601000000,596000000,667000000,877000000,829000000,803000000,1805000000,1998000000,2312000000,2087000000,1882000000,1869000000,2139000000,2196000000,2363000000,2703000000,1595000000,2562000000
49,Short-Term Debt,188000000,298000000,603000000,748000000,1010000000,446000000,446000000,447000000,449000000,620000000,521000000,653000000,90000000,165000000,235000000,282000000,153000000,170000000,- -,- -,689000000,903000000,33000000,1797000000,928000000,950000000,971000000,2663000000,1311000000,1934000000,1485000000,1423000000,1359000000,965000000,1693000000,1379000000,2139000000,2705000000,3634000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3461000000,- -,2944000000,3007000000,5580000000,2405000000,5724000000,5774000000,5759000000,5870000000,5865000000,6052000000,6667000000,7259000000,5741000000,8593000000
52,Other Current Liabilities,1348000000,1271000000,1786000000,1354000000,1887000000,1928000000,2182000000,2757000000,3054000000,3579000000,3776000000,3602000000,3647000000,3844000000,3983000000,4235000000,4291000000,5423000000,- -,3707000000,4922000000,4957000000,4605000000,2020000000,6174000000,2558000000,1692000000,2597000000,5680000000,2848000000,2761000000,3444000000,3316000000,3317000000,2735000000,2803000000,2837000000,2684000000,3515000000
53,Total Current Liabilities,1934000000,1952000000,2973000000,2577000000,3383000000,2869000000,3224000000,3757000000,4083000000,4845000000,4896000000,4906000000,4433000000,5003000000,5248000000,5668000000,5411000000,6781000000,- -,3991000000,6112000000,6461000000,5234000000,7945000000,7979000000,7281000000,6473000000,12645000000,11394000000,12818000000,12107000000,12508000000,12414000000,12286000000,12676000000,13212000000,14938000000,12725000000,18304000000
54,Long-Term Debt,1512000000,1238000000,2877000000,1117000000,1715000000,2063000000,1336000000,1239000000,2424000000,3613000000,3529000000,2887000000,2919000000,1661000000,2092000000,2858000000,2650000000,4688000000,- -,700000000,163000000,154000000,1400000000,7453000000,7521000000,6007000000,6378000000,11434000000,10496000000,10440000000,10171000000,10121000000,9673000000,9918000000,11703000000,12215000000,13145000000,30046000000,35732000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1214000000,1151000000,1210000000,1180000000,986000000,912000000,- -,- -,- -,- -,- -,2569000000,- -,3855000000,3877000000,4650000000,3253000000,4293000000,3873000000,4096000000,3836000000,3178000000,2565000000,2719000000,2836000000,5067000000,4043000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,398000000,1147000000,1241000000,- -,249000000,285000000,389000000,428000000,688000000,638000000,799000000,551000000,1585000000,1603000000,1543000000,1662000000,1591000000,- -,- -,225000000,814000000,1736000000,- -,- -
57,Other Non-Current Liabilities,291000000,326000000,465000000,440000000,369000000,543000000,1082000000,1316000000,1772000000,3094000000,3242000000,4238000000,3255000000,3836000000,4837000000,5174000000,5618000000,5543000000,- -,21199000000,21335000000,21381000000,37840000000,4566000000,5664000000,3984000000,4216000000,7557000000,9436000000,8053000000,6015000000,6641000000,5972000000,6099000000,6351000000,5837000000,8425000000,5750000000,5067000000
58,Total Non-Current Liabilities,1803000000,1564000000,3342000000,1557000000,2084000000,2606000000,2418000000,2555000000,4196000000,6707000000,6771000000,7125000000,7388000000,6648000000,8218000000,9610000000,10401000000,12384000000,- -,22148000000,21783000000,21924000000,39668000000,15276000000,13823000000,14645000000,15022000000,25226000000,24788000000,24329000000,21721000000,22449000000,19481000000,19195000000,20844000000,21585000000,26142000000,40863000000,44842000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000000,175000000,122000000,1460000000,1356000000,1360000000,1620000000,1288000000,1053000000,914000000,870000000,681000000,862000000,938000000,1124000000,1283000000,5898000000,6004000000,6003000000
61,Total Liabilities,3737000000,3516000000,6315000000,4134000000,5467000000,5475000000,5642000000,6312000000,8279000000,11551000000,11602000000,12031000000,11821000000,11651000000,13466000000,15278000000,15812000000,19165000000,- -,26139000000,27895000000,28385000000,44902000000,23221000000,21802000000,21926000000,21495000000,37871000000,36182000000,37147000000,33828000000,34957000000,31895000000,31481000000,33520000000,34797000000,41080000000,53588000000,63146000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,172000000,174000000,177000000,251000000,292000000,117000000,117000000,117000000,126000000,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,3000000,3000000,3000000,4000000,4000000,4000000,3000000,3000000,3000000,3000000,4000000,4000000
64,Retained Earnings,681000000,922000000,814000000,781000000,1074000000,1202000000,1527000000,1621000000,1289000000,332000000,249000000,-1335000000,-1039000000,-566000000,309000000,1028000000,2138000000,1998000000,- -,-3417000000,-6225000000,-7946000000,-29122000000,16000000,152000000,-5199000000,-5956000000,-5703000000,-4863000000,-5586000000,-5015000000,-3883000000,3457000000,3427000000,4621000000,6668000000,9716000000,2626000000,625000000
65,Other Comprehensive Income/Loss,-22000000,-26000000,-20000000,-3428000000,-3941000000,-3841000000,-30000000,-16000000,-34000000,-4205000000,-5086000000,-5233000000,-5656000000,-5963000000,-5741000000,-5773000000,-5852000000,-6223000000,- -,-2663000000,-3288000000,-3332000000,-36000000,82000000,141000000,93000000,35000000,387000000,-417000000,-1046000000,608000000,-1079000000,-831000000,-829000000,-1147000000,-803000000,-718000000,-1139000000,-942000000
66,Other Total Stockholders Equity,566000000,573000000,588000000,4688000000,5497000000,3748000000,- -,- -,216000000,4579000000,6040000000,6252000000,6456000000,7523000000,7768000000,8025000000,8864000000,9414000000,- -,3596000000,3596000000,3597000000,3597000000,2049000000,2124000000,2640000000,3108000000,7040000000,7083000000,7110000000,7387000000,7354000000,6336000000,6058000000,5329000000,4127000000,2530000000,4469000000,5342000000
67,Total Stockholders Equity,1397000000,1643000000,1559000000,2292000000,2922000000,1226000000,1564000000,1671000000,1597000000,706000000,1203000000,-316000000,-239000000,995000000,2337000000,3281000000,5151000000,5190000000,- -,-2483000000,-5916000000,-7680000000,-25560000000,2148000000,2418000000,-2465000000,-2811000000,1727000000,1806000000,481000000,2984000000,2396000000,8966000000,8659000000,8806000000,9995000000,11531000000,5960000000,5029000000
68,Total Liabilities And Stockholders Equity,5134000000,5159000000,7874000000,6426000000,8389000000,6701000000,7206000000,7983000000,9876000000,12257000000,12805000000,11715000000,11582000000,12646000000,15803000000,18559000000,20963000000,24355000000,- -,23656000000,21979000000,20705000000,19342000000,25369000000,24220000000,19461000000,18684000000,39598000000,37988000000,37628000000,36812000000,37353000000,40861000000,40140000000,42326000000,44792000000,52611000000,59548000000,68175000000
69,Minority Interest,- -,- -,- -,1000000,- -,- -,1000000,- -,- -,- -,35000000,49000000,59000000,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5134000000,5159000000,7874000000,6427000000,8389000000,6701000000,7207000000,7983000000,9876000000,12257000000,12840000000,11764000000,11641000000,12677000000,15803000000,18559000000,20963000000,24355000000,- -,23656000000,21979000000,20705000000,19342000000,25369000000,24220000000,19461000000,18684000000,39598000000,37988000000,37628000000,36812000000,37353000000,40861000000,40140000000,42326000000,44792000000,52611000000,59548000000,68175000000
