,https://roic.ai/company/RPM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,19300000,29300000,35400000,39000000,57100000,66000000,76700000,87500000,114000000,143800000,162500000,186800000,206500000,221800000,150911000,182981000,210983000,106527000,280893000,229720000,-48176000,389142000,124420000,320472000,410890000,419123000,456205000,329233000,581183000,651200000,683455000,455212000,648607000,582850000,664912000,899838000
16,EBITDA ratio,0.0770,0.1009,0.1035,0.1037,0.1284,0.1319,0.1389,0.1398,0.1398,0.1414,0.1430,0.1383,0.1278,0.1295,0.0772,0.0911,0.1062,0.0511,0.1200,0.0899,-0.0160,0.1166,0.0341,0.0951,0.1204,0.1239,0.1208,0.0807,0.1328,0.1417,0.1420,0.0918,0.1219,0.1047,0.1207,0.1474
17,Operating Income,24400000,35300000,42900000,47100000,54400000,58500000,71800000,79500000,101600000,130400000,145700000,168300000,186200000,192400000,175524000,166690000,194588000,214565000,246561000,277106000,298868000,339568000,374118000,256584000,329493000,344798000,386549000,393484000,485640000,518425000,566071000,522168000,518069000,492277000,544202000,741133000
18,Operating Income ratio,0.0973,0.1215,0.1254,0.1252,0.1223,0.1169,0.1300,0.1271,0.1246,0.1282,0.1282,0.1246,0.1153,0.1124,0.0898,0.0830,0.0980,0.1030,0.1053,0.1084,0.0993,0.1017,0.1027,0.0762,0.0965,0.1020,0.1023,0.0965,0.1110,0.1128,0.1176,0.1053,0.0974,0.0885,0.0988,0.1214
19,Total Other Income Expenses (Gains),-5100000,-6000000,-7500000,-8100000,-9500000,-6900000,-14500000,-13400000,-13500000,-23500000,-25800000,-32600000,-36700000,-32700000,-103763000,-65203000,-40464000,-166712000,-28945000,-113378000,-421343000,-32033000,-335064000,-75716000,-61039000,-49745000,-58260000,-216593000,-61153000,-65172000,-82605000,-277835000,-101021000,-152432000,-136438000,-72695000
20,Income Before Tax,19300000,29300000,35400000,39000000,44900000,51600000,57300000,66100000,88100000,106900000,119900000,135700000,149500000,159700000,71761000,101487000,154124000,47853000,217616000,163728000,-122475000,307535000,39054000,180868000,268454000,295053000,328289000,176891000,424487000,453253000,483466000,244333000,417048000,339845000,407764000,668438000
21,Income Before Tax Ratio,0.0770,0.1009,0.1035,0.1037,0.1009,0.1031,0.1038,0.1056,0.1080,0.1051,0.1055,0.1005,0.0926,0.0933,0.0367,0.0505,0.0776,0.0230,0.0929,0.0641,-0.0407,0.0921,0.0107,0.0537,0.0787,0.0872,0.0869,0.0434,0.0970,0.0987,0.1004,0.0493,0.0784,0.0611,0.0740,0.1095
22,Income Tax expense (Gain),6700000,13400000,14000000,14800000,17200000,19800000,22800000,26700000,35500000,45800000,51000000,57400000,61700000,65100000,30769000,38526000,52570000,12526000,75730000,58696000,-46270000,99246000,-8655000,61252000,87327000,91885000,94526000,67040000,118503000,224925000,126008000,59662000,77791000,72158000,102682000,164938000
23,Net Income,12600000,15900000,21400000,24200000,27700000,31800000,34500000,39400000,52600000,61100000,68900000,78300000,87800000,94600000,40992000,62961000,101554000,35327000,141886000,105032000,-76205000,208289000,47709000,119616000,180037000,189058000,215936000,98603000,291660000,239484000,354725000,181823000,337770000,266558000,304385000,502643000
24,Net Income ratio,0.0503,0.0547,0.0626,0.0643,0.0623,0.0636,0.0625,0.0630,0.0645,0.0601,0.0606,0.0580,0.0544,0.0553,0.0210,0.0314,0.0511,0.0170,0.0606,0.0411,-0.0253,0.0624,0.0131,0.0355,0.0528,0.0559,0.0572,0.0242,0.0666,0.0521,0.0737,0.0367,0.0635,0.0479,0.0553,0.0823
25,EPS,0.24,0.26,0.33,0.37,0.42,0.44,0.46,0.53,0.74,0.86,0.72,0.80,0.89,0.87,0.38,0.62,0.97,0.31,1.23,0.90,-0.65,1.76,0.40,0.95,1.40,1.46,1.65,0.75,2.20,1.81,2.70,1.37,2.55,2.03,2.35,3.89
26,EPS Diluted,0.24,0.26,0.31,0.35,0.40,0.43,0.46,0.50,0.71,0.81,0.69,0.76,0.84,0.86,0.38,0.62,0.97,0.30,1.22,0.86,-0.65,1.64,0.39,0.93,1.39,1.45,1.65,0.74,2.18,1.78,2.63,1.36,2.50,2.01,2.34,3.87
27,Weighted Average Shares Outstanding,52500000,61153846,64848485,65405405,65952381,72272727,75000000,74339623,70896250,71553750,95685000,97893750,98527000,108731000,107221000,102202000,104418000,115294000,115777000,116899000,116837000,118179000,120151000,126373000,127047000,127403000,128130000,128956000,129438000,129933000,129383000,130662000,131179000,130552000,128468000,128334000
28,Weighted Average Shares Outstanding Diluted,52500000,61153846,69032258,69142857,69250000,73953488,75000000,78800000,73876404,75618812,100145349,103026316,104523810,110000000,107221000,102202000,104418000,115986000,116710000,126364000,116837000,128711000,130539000,128255000,127731000,128066000,128717000,129801000,132288000,134893000,136716000,135165000,137171000,134333000,129974000,128927000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/110621/000095015294000879/0000950152-94-000879-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015295001893/0000950152-95-001893-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015296004398/0000950152-96-004398-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015297006314/0000950152-97-006314-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015298007084/0000950152-98-007084-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015299007173/0000950152-99-007173-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015200006308/0000950152-00-006308-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015201504169/0000950152-01-504169-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015206007634/0000950152-06-007634-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015203008012/0000950152-03-008012-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015204006325/0000950152-04-006325-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015205007057/0000950152-05-007057-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015206006828/0000950152-06-006828-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015207006193/0000950152-07-006193-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015208005780/0000950152-08-005780-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095012309026127/0000950123-09-026127-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095012310069889/0000950123-10-069889-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312511198745/0001193125-11-198745-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312512316906/0001193125-12-316906-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312513300693/0001193125-13-300693-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312514310185/0001193125-14-310185-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312515264092/0001193125-15-264092-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459016021706/0001564590-16-021706-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459017013863/0001564590-17-013863-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459018017180/0001564590-18-017180-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459019025795/0001564590-19-025795-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459020033611/0001564590-20-033611-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459021037949/0001564590-21-037949-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,18400000,19900000,19900000,37400000,40800000,19700000,31340000,23926000,42172000,50725000,38561000,184140000,108616000,159016000,231251000,253387000,215355000,435011000,315968000,343554000,332868000,174711000,265152000,350497000,244422000,223168000,233416000,246704000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,18400000,19900000,19900000,37400000,40800000,19700000,31340000,23926000,42172000,50725000,38561000,184140000,108616000,159016000,231251000,253387000,215355000,435011000,315968000,343554000,332868000,174711000,265152000,350497000,244422000,223168000,233416000,246704000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,162300000,207500000,231600000,291900000,332900000,362600000,399683000,411718000,397659000,439623000,484847000,553084000,650945000,744259000,817241000,638659000,632485000,712863000,745541000,787517000,873946000,956211000,963092000,995330000,1113818000,1232350000,1137957000,1280806000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,130500000,169200000,178900000,215300000,243200000,242400000,244559000,277494000,251446000,253204000,289359000,334404000,399014000,437759000,476149000,406175000,386982000,463120000,489978000,548680000,613644000,674205000,685818000,788197000,834461000,841873000,810448000,938095000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,23300000,24700000,34700000,175700000,55600000,80700000,109510000,106282000,110037000,184542000,181850000,199867000,210643000,229215000,259334000,254695000,213914000,256976000,259850000,206521000,241837000,294719000,224280000,263412000,278230000,220701000,241608000,316399000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,334500000,421300000,465100000,720300000,672500000,705400000,785092000,819420000,801314000,928094000,994617000,1271495000,1369218000,1570249000,1783975000,1552916000,1448736000,1867970000,1811337000,1886272000,2062295000,2099846000,2138342000,2397436000,2470931000,2518092000,2423429000,2782004000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,151000000,204000000,224700000,270300000,305900000,339700000,366228000,362036000,355797000,370789000,381055000,389978000,444692000,473296000,497721000,470103000,382527000,390027000,418832000,492363000,532805000,589646000,629453000,742686000,780306000,819211000,1134177000,1266009000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592329000,- -,- -,- -,750635000,830177000,908358000,856166000,768244000,831489000,849346000,1113831000,1147374000,1215688000,1219630000,1143913000,1192174000,1245762000,1250066000,1345754000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,136900000,297200000,428300000,594700000,655900000,658500000,915737000,871648000,264530000,914202000,930615000,938968000,321942000,351435000,384370000,358097000,303159000,312867000,345620000,459613000,459536000,604130000,575401000,573092000,584272000,601082000,584380000,628693000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,136900000,297200000,428300000,594700000,655900000,658500000,915737000,871648000,856859000,914202000,930615000,938968000,1072577000,1181612000,1292728000,1214263000,1071403000,1144356000,1194966000,1573444000,1606910000,1819818000,1795031000,1717005000,1776446000,1846844000,1834446000,1974447000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20248000,18694000,88754000,92500000,- -,- -,- -,- -,7943000,5685000,19771000,19793000,21897000,34908000,30894000,26804000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,38400000,36600000,37000000,47900000,49000000,33600000,32146000,25386000,22433000,34126000,46832000,55804000,73483000,89298000,100389000,80139000,101358000,112676000,134885000,163447000,168412000,179245000,193444000,213529000,222242000,222300000,208008000,203705000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,326300000,537800000,690000000,912900000,1010800000,1031800000,1314111000,1259070000,1235089000,1319117000,1358502000,1384750000,1611000000,1762900000,1979592000,1857005000,1555288000,1647059000,1748683000,2229254000,2316070000,2594394000,2637699000,2693013000,2800891000,2923263000,3207525000,3470965000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,660800000,959100000,1155100000,1633200000,1683300000,1737200000,2099203000,2078490000,2036403000,2247211000,2353119000,2656245000,2980218000,3333149000,3763567000,3409921000,3004024000,3515029000,3560020000,4115526000,4378365000,4694240000,4776041000,5090449000,5271822000,5441355000,5630954000,6252969000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,49100000,70200000,85900000,109400000,119900000,131100000,154256000,152307000,160767000,171956000,205092000,274573000,333684000,385003000,411448000,294814000,299596000,358790000,391467000,478185000,525680000,512165000,500506000,534718000,592281000,556696000,535311000,717176000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1200000,600000,1700000,4000000,6300000,3800000,4987000,7379000,5876000,1282000,991000,97000,6141000,101641000,6934000,168547000,4307000,2549000,2584000,4521000,5662000,2038000,4713000,253645000,3501000,552446000,80890000,1282000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,57200000,80300000,101800000,128400000,159600000,167600000,216959000,216082000,198071000,254412000,271410000,300669000,373675000,378096000,427979000,385801000,327591000,373950000,365741000,445324000,405744000,389033000,496972000,447031000,410944000,430263000,477379000,612956000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,107500000,151100000,189400000,241800000,285800000,302500000,376202000,375768000,364714000,427650000,477493000,575339000,713500000,864740000,846361000,849162000,631494000,735289000,759792000,928030000,937086000,903236000,1002191000,1235394000,1006726000,1539405000,1093580000,1331414000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,233000000,406400000,447700000,784400000,715700000,582100000,959330000,955399000,707921000,724846000,718929000,837948000,870415000,886416000,1066687000,762295000,924308000,1106304000,1112952000,1369176000,1345965000,1654037000,1646332000,1836437000,2170643000,1973462000,2702981000,2635959000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5800000,39700000,57800000,70200000,58100000,53900000,60566000,54134000,50204000,54756000,78388000,78914000,- -,17897000,26806000,23815000,43152000,62042000,26326000,46227000,50061000,90681000,49791000,97427000,104023000,114843000,59555000,106395000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14300000,14400000,43500000,56600000,55800000,57381000,53479000,55458000,162951000,103017000,117535000,470362000,477226000,687157000,630978000,243829000,224026000,346967000,417160000,466659000,752821000,702979000,482491000,356892000,405040000,510175000,436176000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,238800000,460400000,519900000,898100000,830400000,691800000,1077277000,1063012000,813583000,942553000,900334000,1034397000,1340777000,1381539000,1780650000,1417088000,1211289000,1392372000,1486245000,1832563000,1862685000,2497539000,2399102000,2416355000,2631558000,2493345000,3272711000,3178530000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244691000,257415000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,346300000,611500000,709300000,1139900000,1116200000,994300000,1453479000,1438780000,1178297000,1370203000,1377827000,1609736000,2054277000,2246279000,2627011000,2266250000,1842783000,2127661000,2246037000,2760593000,2799771000,3400775000,3401293000,3651749000,3638284000,4032750000,4366291000,4509944000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1616000,1619000,1786000,1156000,1161000,1176000,1187000,1209000,1222000,1285000,1299000,1306000,1316000,1326000,1333000,1332000,1329000,1336000,1336000,1310000,1295000,1295000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,169400000,199200000,231900000,270500000,314900000,359000000,348102000,360458000,409603000,385791000,464026000,500125000,349493000,475676000,427788000,443429000,502562000,583035000,686818000,667774000,833691000,936996000,1147371000,1172442000,1342736000,1425052000,1544336000,1852259000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-112200000,-156700000,-174900000,-189800000,-210000000,-233000000,-233451000,-261018000,-300044000,-343220000,-386017000,10000000,30000000,25000000,101000000,-32000000,-108000000,6000000,-178000000,-159000000,-157000000,-394000000,-502000000,-474000000,-459000000,-578000000,-717497000,-514884000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,257300000,305100000,388800000,412600000,462200000,615300000,529457000,538651000,746761000,833281000,896122000,535208000,545261000,584985000,606546000,730957000,683612000,672823000,673522000,690758000,704820000,747064000,725635000,736283000,745701000,557590000,434311000,402394000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,314500000,347600000,445800000,493300000,567100000,742900000,645724000,639710000,858106000,877008000,975292000,1046509000,925941000,1086870000,1136556000,1143671000,1079473000,1263164000,1183656000,1200858000,1382844000,1291392000,1372335000,1436061000,1630773000,1405952000,1262445000,1741064000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,660800000,959100000,1155100000,1633200000,1683300000,1737200000,2099203000,2078490000,2036403000,2247211000,2353119000,2656245000,2980218000,3333149000,3763567000,3409921000,2922256000,3390825000,3429693000,3961451000,4182615000,4692167000,4773628000,5087810000,5269057000,5438702000,5628736000,6251008000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81768000,124204000,130327000,154075000,195750000,2073000,2413000,2639000,2765000,2653000,2218000,1961000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,660800000,959100000,1155100000,1633200000,1683300000,1737200000,2099203000,2078490000,2036403000,2247211000,2353119000,2656245000,2980218000,3333149000,3763567000,3409921000,3004024000,3515029000,3560020000,4115526000,4378365000,4694240000,4776041000,5090449000,5271822000,5441355000,5630954000,6252969000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/110621/000095015294000879/0000950152-94-000879-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015295001893/0000950152-95-001893-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015296004398/0000950152-96-004398-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015297006314/0000950152-97-006314-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015298007084/0000950152-98-007084-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015299007173/0000950152-99-007173-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015200006308/0000950152-00-006308-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015201504169/0000950152-01-504169-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015206007634/0000950152-06-007634-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015203008012/0000950152-03-008012-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015204006325/0000950152-04-006325-index.html,https://www.sec.gov/Archives/edgar/data/110621/000095015205007057/0000950152-05-007057-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015206006828/0000950152-06-006828-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015207006193/0000950152-07-006193-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095015208005780/0000950152-08-005780-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095012309026127/0000950123-09-026127-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000095012310069889/0000950123-10-069889-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312511198745/0001193125-11-198745-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312512316906/0001193125-12-316906-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312513300693/0001193125-13-300693-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312514310185/0001193125-14-310185-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000119312515264092/0001193125-15-264092-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459016021706/0001564590-16-021706-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459017013863/0001564590-17-013863-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459018017180/0001564590-18-017180-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459019025795/0001564590-19-025795-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459020033611/0001564590-20-033611-index.htm,https://www.sec.gov/Archives/edgar/data/110621/000156459021037949/0001564590-21-037949-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,27700000,31800000,34500000,39400000,52600000,61100000,68900000,78300000,87800000,94600000,40992000,62961000,101554000,35327000,141886000,105032000,-76205000,208289000,47709000,119616000,180037000,189058000,215936000,98603000,291660000,239484000,354725000,181823000,337770000,266558000,304385000,502643000
74,Depreciation and Amortization,- -,- -,- -,- -,12200000,14400000,19400000,21400000,25900000,36900000,42600000,51100000,57000000,62100000,79150000,81494000,56859000,58674000,63277000,65992000,74299000,81607000,85366000,85144000,84253000,72753000,73698000,83744000,90069000,99176000,111039000,116773000,128499000,141742000,156842000,146857000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5700000,- -,- -,- -,- -,- -,-3930000,-46733000,21422000,- -,-116616000,32740000,-73888000,1136000,32485000,7708000,-7088000,-40991000,6572000,97502000,9399000,24049000,-10690000,5434000,-12150000,20188000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10030000,12282000,13904000,17145000,23568000,31741000,31287000,32541000,25440000,31154000,19789000,40926000
