,https://roic.ai/company/CENX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,661700000,716600000,631000000,591800000,410070000,652812000,707060000,755274000,909189000,1005458000,1249407000,1492159000,1707375000,996709000,1066291000,1312934000,1279385000,1490869000,1790262000,1958095000,1374257000,1508032000,1956700000,1908700000,1685600000,2146500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1869000,1063000,641000,554000,728000,301000,339000,758000,1397000,1500000,800000,800000,800000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30390000,25625000,25129000,24029000,23091000,22015000,21954000,22216000,22174000,22400000,25100000,31600000,30400000
14,Depreciation and Amortization,18000000,18400000,19700000,18700000,14395000,44433000,56655000,51264000,50254000,56533000,69220000,78060000,84268000,72624000,63550000,- -,62570000,66570000,70731000,80117000,84780000,84249000,90100000,83200000,83000000,82600000
15,EBITDA,43400000,20100000,47800000,23200000,51001000,20700000,23921000,55071000,93119000,-140419000,-23776000,-137038000,-494737000,-115325000,160279000,50813000,59899000,52479000,223548000,63621000,-142595000,162586000,46100000,19100000,-11800000,-84700000
16,EBITDA ratio,0.0630,0.0279,0.0735,0.0410,0.1190,0.0316,0.0336,0.0704,0.0878,-0.1240,-0.0153,-0.0762,-0.2510,-0.1282,0.1371,0.0375,0.0471,0.0361,0.1158,0.0326,-0.1081,0.1023,0.0244,0.0104,-0.0074,-0.0383
17,Operating Income,27200000,4400000,19300000,15600000,23683000,2110000,4278000,27205000,151558000,126904000,309159000,303543000,168557000,-97456000,102980000,47296000,-7274000,-36556000,140780000,-39088000,-234213000,93858000,-59000000,-72100000,-80500000,66000000
18,Operating Income ratio,0.0395,0.0061,0.0297,0.0275,0.0553,0.0032,0.0060,0.0348,0.1429,0.1121,0.1984,0.1688,0.0855,-0.1084,0.0881,0.0349,-0.0057,-0.0251,0.0729,-0.0200,-0.1776,0.0591,-0.0312,-0.0393,-0.0502,0.0298
19,Total Other Income Expenses (Gains),-2100000,-2700000,8800000,-9700000,12923000,-28285000,-42264000,-18506000,-109514000,-334559000,-418238000,-534286000,-764468000,-52687000,-35434000,-25057000,-22049000,-3288000,-11283000,-2034000,-16652000,-38487000,-11600000,-13400000,-45800000,-263600000
20,Income Before Tax,25100000,1700000,28100000,5900000,36606000,-26175000,-37986000,8699000,42044000,-207655000,-109079000,-230743000,-595911000,-150143000,67546000,22239000,-29323000,-39844000,129497000,-41122000,-250865000,55371000,-70600000,-85500000,-126300000,-197600000
21,Income Before Tax Ratio,0.0364,0.0024,0.0432,0.0104,0.0854,-0.0400,-0.0534,0.0111,0.0396,-0.1834,-0.0700,-0.1283,-0.3024,-0.1670,0.0578,0.0164,-0.0231,-0.0274,0.0671,-0.0211,-0.1902,0.0348,-0.0373,-0.0466,-0.0787,-0.0893
22,Income Tax expense (Gain),8900000,600000,10200000,600000,11301000,-10031000,-14126000,2841000,14894000,-80697000,-52041000,-113849000,319311000,-12357000,11133000,14359000,8910000,3131000,18308000,9276000,2824000,7583000,-200000,-8400000,-3100000,-30600000
23,Net Income,16500000,1100000,17900000,3900000,25305000,-13702000,-18608000,966000,27971000,-116255000,-40955000,-101249000,-898316000,-205982000,59971000,11325000,-35610000,-40313000,112494000,-47726000,-252415000,48580000,-66200000,-80800000,-123300000,-167100000
24,Net Income ratio,0.0240,0.0015,0.0275,0.0069,0.0590,-0.0209,-0.0262,0.0012,0.0264,-0.1027,-0.0263,-0.0563,-0.4558,-0.2291,0.0513,0.0083,-0.0280,-0.0277,0.0583,-0.0245,-0.1914,0.0306,-0.0350,-0.0440,-0.0768,-0.0755
25,EPS,0.79,0.05,0.90,0.19,1.25,-0.74,-1.00,-0.05,0.95,-3.62,-1.26,-2.72,-20.07,-2.73,0.59,0.11,-0.40,-0.45,1.16,-0.68,-2.90,0.51,-0.76,-0.91,-1.38,-1.85
26,EPS Diluted,0.79,0.05,0.89,0.19,1.24,-0.74,-1.00,-0.05,0.95,-3.62,-1.26,-2.72,-20.07,-2.73,0.59,0.11,-0.40,-0.45,1.15,-0.68,-2.90,0.51,-0.76,-0.91,-1.38,-1.85
27,Weighted Average Shares Outstanding,20857000,22000000,19888889,20526316,20244000,20543243,20608000,20680000,28633684,32114641,32503968,37223897,44759000,75343000,92676000,91854000,88534000,88612000,88823000,87375000,87064000,87295000,87600000,88800000,89500000,90200000
28,Weighted Average Shares Outstanding Diluted,21692308,22000000,20112360,20526316,20407258,20543243,20608000,20680000,28633684,32163000,33515000,37223897,44759000,75343000,93302000,92257000,88534000,88612000,89428000,87375000,87064000,88020000,87600000,88800000,89500000,90200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949157/000095012305003243/y06783e10vk.htm,https://www.sec.gov/Archives/edgar/data/949157/000095012306003288/y18618e10vk.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915707000008/cenx_2006form10k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915708000008/form10k_cenx2007.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915709000017/0000949157-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915710000006/0000949157-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915711000015/cenx2010_form10k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915712000012/0000949157-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915713000013/0000949157-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915714000008/a12312013_q4x10-k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915715000023/a20141231q410-k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915716000164/0000949157-16-000164-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915717000028/0000949157-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915718000020/0000949157-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915719000031/0000949157-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915720000023/0000949157-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915721000042/0000949157-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915722000024/0000949157-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,- -,- -,85000000,32962000,13388000,45092000,28204000,44168000,17752000,96365000,60962000,129400000,198234000,304296000,183401000,183976000,84088000,163242000,115393000,132403000,167211000,38900000,38900000,81600000,29000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280169000,13686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,- -,- -,85000000,32962000,13388000,45092000,28204000,44168000,17752000,96365000,341131000,143086000,198234000,304296000,183401000,183976000,84088000,163242000,115393000,132403000,167211000,38900000,38900000,81600000,29000000
34,Net Receivables,89300000,111100000,91000000,54500000,46791000,68477000,68972000,62327000,93947000,101654000,150913000,144661000,143381000,56961000,94909000,92312000,106556000,116856000,117835000,26892000,29083000,53437000,105200000,100200000,61300000,88900000
35,Inventory,176100000,170100000,197700000,44900000,44081000,75217000,77135000,89360000,108555000,111436000,145410000,175101000,138111000,131473000,155908000,171961000,159925000,239615000,283480000,231872000,233563000,317469000,343800000,320600000,291100000,425600000
36,Other Current Assets,21700000,22300000,14800000,12200000,9487000,3573000,4777000,7514000,37421000,63651000,124951000,86305000,89556000,102800000,21965000,40646000,36940000,30502000,34683000,73900000,45573000,15557000,18800000,27600000,22000000,74700000
37,Total Current Assets,287200000,303500000,303500000,196600000,133321000,160655000,195976000,187405000,284091000,294493000,517639000,747198000,514134000,489468000,577078000,488320000,487397000,471061000,599240000,448057000,440622000,553674000,506700000,487300000,456000000,618200000
38,PP&E,176100000,198300000,227300000,105200000,184526000,426006000,417621000,494957000,806250000,1070158000,1218777000,1260040000,1340037000,1298288000,1256970000,1218225000,1188214000,1247661000,1291218000,1232256000,1026285000,971916000,967300000,949200000,880400000,892500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94844000,94844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,146002000,119744000,99136000,182419000,169487000,61594000,47603000,32527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,146002000,119744000,99136000,182419000,169487000,156438000,142447000,32527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67005000,35767000,34478000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203452000,321068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10400000,5300000,14800000,9000000,15923000,44043000,31826000,28828000,58110000,143293000,88928000,107518000,149401000,73994000,89008000,104549000,33710000,55707000,89099000,72155000,73420000,56051000,63500000,63200000,63200000,59200000
45,Total Non-Current Assets,186500000,203600000,242100000,114200000,200449000,616051000,569191000,622921000,1046779000,1382938000,1667595000,1831073000,1521965000,1372282000,1345978000,1322774000,1288929000,1339135000,1414795000,1304411000,1099705000,1027967000,1030800000,1012400000,943600000,951700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,473700000,507100000,545600000,310800000,333770000,776706000,765167000,810326000,1330870000,1677431000,2185234000,2578271000,2036099000,1861750000,1923056000,1811094000,1776326000,1810196000,2014035000,1752468000,1540327000,1581641000,1537500000,1499700000,1399600000,1569900000
48,Accounts Payable,31300000,51400000,37500000,29100000,30072000,42394000,37757000,34829000,47479000,61919000,64849000,79482000,102143000,77301000,88004000,86172000,75370000,108490000,151443000,90489000,94960000,89931000,119400000,97100000,106100000,186500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,7815000,278212000,183396000,212920000,182815000,182815000,43239000,53298000,7815000,7815000,16418000,7815000,7815000,7815000,7815000,31100000,27800000,27800000,121400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13370000,8146000,6198000,14302000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,89600000,71600000,77900000,43100000,26548000,51881000,63601000,66227000,61767000,221730000,368508000,289233000,141804000,92118000,113558000,99378000,98519000,122855000,137066000,69015000,76385000,92771000,73800000,108800000,106400000,239500000
53,Total Current Liabilities,120900000,123000000,115400000,72200000,56620000,94275000,101358000,108871000,387458000,467045000,646277000,551530000,426762000,212658000,254860000,193365000,181704000,247763000,296324000,167319000,179160000,190517000,224300000,233700000,240300000,547400000
54,Long-Term Debt,24400000,59000000,89400000,- -,- -,321446000,321852000,336310000,361127000,488505000,559331000,250000000,275000000,247624000,248530000,249512000,250582000,246528000,246888000,247278000,247699000,248153000,248600000,269200000,288100000,352700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,39542000,41376000,55094000,68273000,16890000,41587000,62931000,71805000,81622000,85999000,90958000,110252000,106218000,113604000,96994000,108939000,103476000,104300000,95100000,89200000,58700000
57,Other Non-Current Liabilities,161900000,161600000,163300000,58900000,74511000,80341000,89783000,122354000,131195000,472436000,808329000,1152606000,303013000,252116000,179151000,238982000,251145000,206875000,266072000,223007000,247874000,209852000,198100000,226700000,235900000,190100000
58,Total Non-Current Liabilities,186300000,220600000,252700000,58900000,74511000,441329000,453011000,513758000,560595000,977831000,1409247000,1465537000,649818000,581362000,513680000,579452000,611979000,559621000,626564000,567279000,604512000,561481000,551000000,591000000,613200000,601500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22800000,24300000,22900000
61,Total Liabilities,307200000,343600000,368100000,131100000,131131000,535604000,554369000,622629000,948053000,1444876000,2055524000,2017067000,1076580000,794020000,768540000,772817000,793683000,807384000,922888000,734598000,783672000,751998000,775300000,824700000,853500000,1148900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,25000000,25000000,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,1000,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200000,203000,205000,211000,211000,320000,322000,325000,410000,491000,925000,928000,932000,933000,935000,939000,942000,944000,947000,1000000,1000000,1000000,1000000
64,Retained Earnings,4300000,1400000,15300000,15100000,36252000,16814000,-6385000,-5430000,19230000,-95358000,-136313000,-245462000,-1143778000,-1360315000,-1300344000,-1289019000,-1324629000,-1364942000,-1252448000,-1297778000,-1559252000,-1510672000,-1576800000,-1656400000,-1779800000,-1946900000
65,Other Comprehensive Income/Loss,-125100000,-142700000,-161600000,-161600000,-161600000,-136331000,1173000,-5222000,-52186000,-91418000,-166572000,-51531000,-137208000,-74270000,-49976000,-134588000,-151192000,-91832000,-117682000,-112650000,-113893000,-91742000,-98700000,-109800000,-118800000,-82300000
66,Other Total Stockholders Equity,287300000,304800000,323800000,326000000,327784000,360414000,172133000,173138000,415453000,419009000,432270000,857787000,2240014000,2501389000,2503907000,2460951000,2457530000,2458650000,2460337000,2427355000,2428855000,2431109000,2436700000,2440200000,2443700000,2449200000
67,Total Stockholders Equity,166500000,163500000,177500000,179700000,202639000,241102000,192132000,187697000,382817000,232555000,129710000,561204000,959519000,1067730000,1154516000,1038277000,982643000,1002812000,1091147000,1017870000,756655000,829643000,762200000,675000000,546100000,421000000
68,Total Liabilities And Stockholders Equity,473700000,507100000,545600000,310800000,333770000,776706000,746501000,810326000,1330870000,1677431000,2185234000,2578271000,2036099000,1861750000,1923056000,1811094000,1776326000,1810196000,2014035000,1752468000,1540327000,1581641000,1537500000,1499700000,1399600000,1569900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,18666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,473700000,507100000,545600000,310800000,333770000,776706000,765167000,810326000,1330870000,1677431000,2185234000,2578271000,2036099000,1861750000,1923056000,1811094000,1776326000,1810196000,2014035000,1752468000,1540327000,1581641000,1537500000,1499700000,1399600000,1569900000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949157/000095012305003243/y06783e10vk.htm,https://www.sec.gov/Archives/edgar/data/949157/000095012306003288/y18618e10vk.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915707000008/cenx_2006form10k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915708000008/form10k_cenx2007.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915709000017/0000949157-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915710000006/0000949157-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915711000015/cenx2010_form10k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915712000012/0000949157-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915713000013/0000949157-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915714000008/a12312013_q4x10-k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915715000023/a20141231q410-k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915716000164/0000949157-16-000164-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915717000028/0000949157-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915718000020/0000949157-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915719000031/0000949157-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915720000023/0000949157-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915721000042/0000949157-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915722000024/0000949157-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,16500000,1100000,17900000,3900000,25305000,-13702000,-18608000,966000,27971000,-116255000,-40955000,-101249000,-898316000,-205982000,59971000,11325000,-35610000,-40313000,112494000,-47726000,-252415000,48580000,-66200000,-80800000,-123300000,-167100000
74,Depreciation and Amortization,18000000,18400000,19700000,18700000,14395000,44433000,56655000,51264000,50254000,56533000,69220000,78060000,84268000,72624000,63550000,- -,62570000,66570000,70731000,80117000,84780000,84249000,90100000,83200000,83000000,82600000
75,Deferred Income Tax,-7900000,-6400000,-3800000,22000000,12448000,-10148000,4965000,8892000,6623000,-59834000,-126342000,-131819000,329526000,44952000,15552000,2494000,1529000,- -,2633000,-178000,-893000,-4610000,- -,- -,- -,-30600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3338000,1905000,2856000,613000,1078000,1334000,1844000,1502000,1851000,- -,- -,- -,- -
77,Change in Working Capital,2000000,14200000,7600000,-63700000,-47699000,-10321000,28238000,-16084000,-181901000,-69185000,43914000,324306000,-108296000,189438000,45408000,-27263000,10738000,-82395000,79618000,-22178000,-19276000,101695000,-80757000,-28800000,-37900000,-73500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23154000,-6197000,-3744000,-2537000,-6001000,-19981000,68192000,-2957000,-30639000,-39400000,12400000,19100000,-16200000
79,Inventory,-16800000,6100000,-22800000,26800000,3086000,763000,-1671000,-2762000,-4937000,-152000,-28524000,-26080000,-18839000,35766000,-24009000,-35819000,31854000,-21740000,-16513000,44896000,919000,-67534000,-62800000,4400000,-15500000,-134500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17596000,11674000,-904000,-12114000,25224000,11797000,-60583000,2271000,4746000,30500000,-25200000,20600000,44800000
81,Other Working Capital,166300000,180500000,188100000,124400000,76701000,66380000,94618000,78534000,-103367000,-172552000,-128638000,195668000,87372000,276810000,322218000,294955000,305693000,223298000,302916000,280738000,261462000,363157000,282400000,253600000,215700000,1800000
82,Other Non-Cash Items,-20200000,-18000000,-16000000,-25100000,53654000,28361000,-16764000,42341000,202881000,323677000,239516000,-175053000,-72620000,-64971000,-54876000,7652000,-2701000,74778000,-70399000,19987000,224475000,-180006000,-12243000,44100000,121100000,123900000
83,Cash Provided by Operating Activities,8400000,9300000,25400000,-44200000,58103000,38623000,54486000,87379000,105828000,134936000,185353000,-5755000,-665438000,39399000,131510000,-2936000,37139000,19718000,196411000,31866000,38173000,51759000,-69100000,17700000,42900000,-64700000
84,CAPEX,-20600000,-40000000,-51500000,-23000000,-112365000,-14456000,-18427000,-18858000,-15240000,-18027000,-23602000,-24240000,-44536000,-16935000,-12241000,-20100000,-31491000,-64746000,-54789000,-54700000,-21944000,-31839000,-83000000,-59600000,-13400000,-83000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-466814000,- -,-59837000,-198584000,-7000000,- -,- -,- -,-20220000,-19227000,-9826000,-7592000,-51514000,-55210000,11313000,- -,- -,- -,20800000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36974000,-9058000,-32000,-113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1754000,- -,5206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-52000000,- -,-300000,245700000,6207000,99025000,231000,- -,-61462000,-280312000,-188335000,-84331000,-79975000,- -,823000,5144000,6552000,-914000,942000,24000,781000,14484000,100000,- -,1600000,400000
89,Cash Used for Investing Activites,-72600000,-40000000,-51800000,222700000,-106158000,-382245000,-18196000,-78695000,-275286000,-305339000,-211937000,-108571000,-159731000,-46213000,-25471000,-24895000,-32531000,-117174000,-109057000,-43363000,-21163000,-17355000,-82900000,-38800000,-11800000,-82600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27429000,- -,-63156000,-18076000,-266329000,-101026000,-1737000,-1179000,-1281000,-96800000,-410700000,-487900000,-1180200000
91,Common Stock Issued,- -,- -,- -,- -,- -,25000000,5000,736000,215793000,1408000,3453000,417771000,1373148000,103077000,23000,83000,- -,44000,403000,- -,- -,404000,400000,300000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45891000,-4033000,- -,- -,-36352000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3000000,-4000000,-4000000,-4100000,-4170000,-5736000,-4591000,-11000,-3311000,-16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,24400000,34500000,30400000,-89400000,- -,304784000,- -,-26297000,-27060000,142595000,101744000,-338848000,-479541000,- -,- -,15900000,18076000,263853000,92423000,1737000,- -,1281000,120100000,431500000,501400000,1283900000
95,Cash Used/Provided by Financing Activities,21400000,30500000,26400000,-93500000,-4170000,324048000,-4586000,-25572000,185422000,143987000,105197000,78923000,893607000,75648000,23000,-93064000,-4033000,-2432000,-8200000,-36352000,- -,404000,23700000,21100000,13500000,103700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-52225000,-19574000,31704000,-16888000,15964000,-26416000,78613000,-35403000,68438000,68834000,106062000,-120895000,575000,-99888000,79154000,-47849000,17010000,34808000,-128300000,- -,44600000,-43600000
98,Cash at the End of Period,- -,- -,- -,85000000,32962000,13388000,45092000,28204000,44168000,17752000,96365000,60962000,129400000,198234000,304296000,183401000,183976000,84088000,163242000,115393000,132403000,167211000,39700000,39700000,84300000,40700000
99,Cash at the Beginning of Period,42900000,100000,- -,- -,85187000,32962000,13388000,45092000,28204000,44168000,17752000,96365000,60962000,129400000,198234000,304296000,183401000,183976000,84088000,163242000,115393000,132403000,168000000,39700000,39700000,84300000
100,Free Cash Flow,-12200000,-30700000,-26100000,-67200000,-54262000,24167000,36059000,68521000,90588000,116909000,161751000,-29995000,-709974000,22464000,119269000,-23036000,5648000,-45028000,141622000,-22834000,16229000,19920000,-152100000,-41900000,29500000,-147700000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/949157/000095012305003243/y06783e10vk.htm,https://www.sec.gov/Archives/edgar/data/949157/000095012306003288/y18618e10vk.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915707000008/cenx_2006form10k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915708000008/form10k_cenx2007.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915709000017/0000949157-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915710000006/0000949157-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915711000015/cenx2010_form10k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915712000012/0000949157-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915713000013/0000949157-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915714000008/a12312013_q4x10-k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915715000023/a20141231q410-k.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915716000164/0000949157-16-000164-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915717000028/0000949157-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915718000020/0000949157-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915719000031/0000949157-19-000031-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915720000023/0000949157-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/949157/000094915721000042/0000949157-21-000042-index.htm,https://www.sec.gov/Archives/edgar/data/949157/000094915722000024/0000949157-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
