,https://roic.ai/company/NHTC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,1641808,1979948,269331,407490,51768,119817,519752,238487,209000,300000,462000,418000,71000,143000,105000,93000,361000,134000,107000,57000,- -,- -,- -,- -,- -,- -
35,Inventory,255182,1026999,314367,847212,197069,924761,2921124,3580303,13991000,12360000,5857000,3585000,2141000,1006000,751000,1089000,867000,1828000,3760000,10455000,11257000,8398000,12165000,6404000,3779000,5257000
36,Other Current Assets,305249,434576,3370,272986,90426,247191,407806,4727129,4491000,6868000,3094000,1622000,1075000,1526000,1061000,1031000,402000,658000,930000,2286000,4066000,7534000,5369000,5936000,3595000,4369000
37,Total Current Assets,2719562,3546307,881288,1961751,447682,1616084,7712628,19678994,41015000,37998000,22626000,11907000,6778000,4227000,2565000,3830000,5837000,17170000,49613000,117712000,141244000,151243000,150187000,108375000,99741000,93469000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4284000,3484000
39,Goodwill,- -,- -,829468,682654,- -,207765,- -,- -,- -,14145000,14145000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,7912594,- -,- -,207765,207765,19619000,4529000,3400000,2600000,1800000,1000000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,829468,8595248,- -,207765,207765,207765,19619000,18674000,17545000,4364000,3564000,2764000,1964000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,1764000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,434000,- -,208000,208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1435000,1207000,2039000,731000,309000
44,Other Non-Current Assets,4752721,10258614,5141960,696900,143166,673163,1413826,2170646,1037000,6643000,8206000,8217000,6283000,1869000,834000,529000,618000,893000,1163000,4676000,5043000,5112000,4763000,8083000,1186000,1093000
45,Total Non-Current Assets,4752721,10258614,5971428,9292148,143166,880928,1621591,2378411,21090000,25317000,25959000,12789000,9847000,4633000,2798000,2293000,2382000,2657000,2927000,6440000,6807000,8311000,7734000,10122000,6201000,4886000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7472283,13804921,6852716,11253899,590848,2497012,9334219,22057405,62105000,63315000,48585000,24696000,16625000,8860000,5363000,6123000,8219000,19827000,52540000,124152000,148051000,159554000,157921000,118497000,105942000,98355000
