,https://roic.ai/company/NVS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1114448/000104746903006549/0001047469-03-006549-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746904002525/0001047469-04-002525-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746905001778/0001047469-05-001778-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746906001059/0001047469-06-001059-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746907000510/0001047469-07-000510-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746908000606/0001047469-08-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746909000435/0001047469-09-000435-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746910000310/0001047469-10-000310-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746911000325/0001047469-11-000325-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746912000354/0001047469-12-000354-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746913000377/0001047469-13-000377-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746914000415/0001047469-14-000415-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746915000433/0001047469-15-000433-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746916009872/0001047469-16-009872-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746917000338/0001047469-17-000338-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746918000380/0001047469-18-000380-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036819000002/0001370368-19-000002-index.htm,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5060319767,3950000000,5368000000,6727000000,5813000000,5646000000,6083000000,6321000000,3815000000,5360000000,2038000000,2894000000,5319000000,3709000000,5552000000,6687000000,13023000000,4674000000,7007000000,8860000000,13271000000,11112000000,9658000000,12407000000
32,Short-Term Investments,4631540698,6319000000,7146000000,6456000000,6762000000,7613000000,8510000000,4612000000,4140000000,7841000000,4079000000,14555000000,2815000000,1366000000,2567000000,2535000000,839000000,773000000,770000000,625000000,2693000000,334000000,1635000000,15706000000
33,Cash and Short-Term Investments,9691860465,10269000000,12514000000,13183000000,12575000000,13259000000,14593000000,10933000000,7955000000,13201000000,6117000000,17449000000,8134000000,5075000000,8119000000,9222000000,13862000000,5447000000,7777000000,9485000000,15964000000,11446000000,11293000000,28113000000
34,Net Receivables,4225290698,4429000000,3221000000,3228000000,3707000000,5480000000,6189000000,6563000000,7971000000,8504000000,8573000000,10010000000,11716000000,12373000000,12533000000,12625000000,10255000000,10551000000,10202000000,11100000000,11024000000,10337000000,10036000000,9621000000
35,Inventory,4865552326,4331000000,2513000000,2482000000,2971000000,3346000000,3558000000,3725000000,4498000000,5455000000,5792000000,5830000000,6093000000,5930000000,6744000000,7267000000,6093000000,6226000000,6255000000,6867000000,6956000000,5982000000,7242000000,6666000000
36,Other Current Assets,2379360465,2782000000,1836000000,1747000000,1617000000,188000000,271000000,222000000,980000000,270000000,399000000,402000000,742000000,706000000,608000000,1428000000,7351000000,621000000,697000000,756000000,1619000000,1739000000,1102000000,1318000000
37,Total Current Assets,21162063953,21811000000,20084000000,20640000000,20870000000,22273000000,24611000000,21443000000,21404000000,27430000000,20881000000,33691000000,26685000000,24084000000,28004000000,30542000000,37561000000,22845000000,24931000000,28208000000,35563000000,29504000000,29673000000,45718000000
38,PP&E,8237645349,7337000000,5507000000,5468000000,6338000000,7597000000,8497000000,8679000000,10945000000,12633000000,13100000000,14075000000,15840000000,15627000000,16939000000,18197000000,15983000000,15982000000,15641000000,16464000000,15696000000,13746000000,13939000000,13106000000
39,Goodwill,- -,- -,- -,- -,- -,1477000000,1899000000,7279000000,10659000000,11110000000,11285000000,12039000000,29692000000,29943000000,31090000000,31026000000,29311000000,31174000000,30980000000,31750000000,35294000000,26524000000,29999000000,29595000000
40,Intangible Assets,- -,2021000000,3555000000,3952000000,4407000000,3231000000,3730000000,6015000000,10571000000,10139000000,9534000000,10331000000,35231000000,31969000000,30331000000,27841000000,23832000000,34217000000,31340000000,29997000000,38719000000,28787000000,36809000000,34182000000
41,Intangible Assets,1929505814,2021000000,3555000000,3952000000,4407000000,4708000000,5629000000,13294000000,21230000000,21249000000,20819000000,22370000000,64923000000,61912000000,61421000000,58867000000,53143000000,65391000000,62320000000,61747000000,74013000000,55311000000,66808000000,63777000000
42,Investments,- -,- -,- -,- -,- -,12338000000,13543000000,10915000000,10526000000,8264000000,18894000000,18838000000,9242000000,9598000000,9957000000,10748000000,10152000000,17780000000,16500000000,17613000000,10697000000,11162000000,11611000000,2268000000
43,Tax Assets,2223837209,- -,- -,1952000000,2184000000,2401000000,2189000000,3401000000,3903000000,3567000000,4423000000,4615000000,5240000000,5857000000,7390000000,7375000000,7994000000,8957000000,10034000000,8229000000,8699000000,7909000000,8214000000,3743000000
44,Other Non-Current Assets,6661337209,10043000000,6338000000,8293000000,11345000000,- -,- -,- -,- -,2309000000,182000000,1916000000,1388000000,418000000,505000000,525000000,554000000,601000000,698000000,818000000,895000000,738000000,1814000000,3183000000
45,Total Non-Current Assets,19052325581,19401000000,15400000000,19665000000,24274000000,27044000000,29858000000,36289000000,46604000000,48022000000,57418000000,61814000000,96633000000,93412000000,96212000000,95712000000,87826000000,108711000000,105193000000,104871000000,110000000000,88866000000,102386000000,86077000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40214389535,41212000000,35484000000,40305000000,45144000000,49317000000,54469000000,57732000000,68008000000,75452000000,78299000000,95505000000,123318000000,117496000000,124216000000,126254000000,125387000000,131556000000,130124000000,133079000000,145563000000,118370000000,132059000000,131795000000
48,Accounts Payable,1117005814,1240000000,970000000,1092000000,1270000000,1665000000,2020000000,1961000000,2487000000,3018000000,3395000000,4012000000,4788000000,4989000000,5593000000,6148000000,5419000000,5668000000,4873000000,5169000000,5556000000,5424000000,5403000000,5553000000
49,Short-Term Debt,4172238372,4704000000,2304000000,3062000000,2849000000,2280000000,3822000000,6890000000,6560000000,4916000000,4857000000,5233000000,8583000000,6344000000,5945000000,6776000000,6560000000,5574000000,5789000000,5201000000,9620000000,6846000000,9591000000,6502000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3034000000
51,Deferred Revenue,- -,- -,- -,158000000,14000000,14000000,13000000,74000000,77000000,91000000,88000000,90000000,79000000,70000000,71000000,70000000,329000000,385000000,287000000,305000000,236000000,114000000,56000000,123000000
52,Other Current Liabilities,5257994186,5008000000,3823000000,4275000000,4161000000,5361000000,5223000000,6403000000,7110000000,8616000000,8164000000,10135000000,11208000000,11745000000,12442000000,13374000000,14665000000,12081000000,11260000000,12728000000,14195000000,15880000000,18009000000,18030000000
53,Total Current Liabilities,10547238372,10952000000,7097000000,8587000000,8294000000,9320000000,11078000000,15328000000,16234000000,16641000000,16504000000,19470000000,24658000000,23148000000,24051000000,26368000000,26973000000,23708000000,22209000000,23403000000,29607000000,28264000000,33059000000,30208000000
54,Long-Term Debt,2063226744,1537000000,1392000000,1504000000,2736000000,3191000000,2736000000,1319000000,656000000,677000000,2178000000,8675000000,14360000000,13855000000,13781000000,11242000000,13799000000,16327000000,17897000000,23224000000,22470000000,20353000000,26259000000,24523000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2061773256,2293000000,2127000000,2345000000,2828000000,3138000000,3384000000,3472000000,5290000000,4466000000,4144000000,4407000000,7689000000,6761000000,7286000000,6904000000,6099000000,6355000000,6657000000,5168000000,7475000000,5867000000,7422000000,3070000000
57,Other Non-Current Liabilities,2884447674,2885000000,2344000000,2311000000,2876000000,3149000000,3350000000,4449000000,4534000000,4272000000,5036000000,5491000000,6842000000,7792000000,9879000000,7268000000,7672000000,8044000000,8470000000,7057000000,7319000000,8335000000,8653000000,6172000000
58,Total Non-Current Liabilities,7009447674,6715000000,5863000000,6160000000,8440000000,9478000000,9470000000,9240000000,10480000000,9415000000,11358000000,18573000000,28891000000,28408000000,30946000000,25414000000,27570000000,30726000000,33024000000,35449000000,37264000000,34555000000,42334000000,33765000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1949000000,2005000000,1896000000
61,Total Liabilities,17556686047,17667000000,12960000000,14747000000,16734000000,18798000000,20548000000,24568000000,26714000000,26056000000,27862000000,38043000000,53549000000,51556000000,54997000000,51782000000,54543000000,54434000000,55233000000,58852000000,66871000000,62819000000,75393000000,63973000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1048691860,908000000,880000000,871000000,1008000000,1017000000,1008000000,994000000,990000000,990000000,959000000,957000000,957000000,1016000000,1001000000,1001000000,1001000000,991000000,972000000,969000000,944000000,936000000,913000000,901000000
64,Retained Earnings,21521075581,22580000000,21682000000,22954000000,26978000000,29533000000,32902000000,32142000000,40261000000,48408000000,49825000000,56562000000,62364000000,64949000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-7136000000,-5196000000,-5316000000,-6540000000,-7296000000,-8349000000,-7835000000,-8758000000,-10167000000,-10873000000,-11825000000,-13117000000,-14308000000,-15833000000,-17259000000,-15445000000,-15466000000,-15655000000,-17546000000,-18332000000,-14930000000,-15955000000,66802000000
66,Other Total Stockholders Equity,- -,7054000000,5111000000,6986000000,6898000000,7175000000,8222000000,7689000000,8618000000,9992000000,10377000000,11693000000,12992000000,14187000000,83925000000,90601000000,85210000000,91521000000,89515000000,90745000000,96002000000,69468000000,71640000000,- -
67,Total Stockholders Equity,22516715116,23406000000,22477000000,25495000000,28344000000,30429000000,33783000000,32990000000,41111000000,49223000000,50288000000,57387000000,63196000000,65844000000,69093000000,74343000000,70766000000,77046000000,74832000000,74168000000,78614000000,55474000000,56598000000,67655000000
68,Total Liabilities And Stockholders Equity,40073401163,41073000000,35437000000,40242000000,45078000000,49227000000,54331000000,57558000000,67825000000,75279000000,78150000000,95430000000,116745000000,117400000000,124090000000,126125000000,125309000000,131480000000,130065000000,133020000000,145485000000,118293000000,131991000000,131628000000
69,Minority Interest,140988372,139000000,47000000,63000000,66000000,90000000,138000000,174000000,183000000,173000000,149000000,75000000,6573000000,96000000,126000000,129000000,78000000,76000000,59000000,59000000,78000000,77000000,68000000,167000000
70,Total Liabilities & Equity,40214389535,41212000000,35484000000,40305000000,45144000000,49317000000,54469000000,57732000000,68008000000,75452000000,78299000000,95505000000,123318000000,117496000000,124216000000,126254000000,125387000000,131556000000,130124000000,133079000000,145563000000,118370000000,132059000000,131795000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1114448/000104746903006549/0001047469-03-006549-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746904002525/0001047469-04-002525-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746905001778/0001047469-05-001778-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746906001059/0001047469-06-001059-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746907000510/0001047469-07-000510-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746908000606/0001047469-08-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746909000435/0001047469-09-000435-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746910000310/0001047469-10-000310-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746911000325/0001047469-11-000325-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746912000354/0001047469-12-000354-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746913000377/0001047469-13-000377-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746914000415/0001047469-14-000415-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746915000433/0001047469-15-000433-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746916009872/0001047469-16-009872-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746917000338/0001047469-17-000338-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000104746918000380/0001047469-18-000380-index.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036819000002/0001370368-19-000002-index.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4406976744,4188000000,4395000000,4239000000,5224000000,5016000000,5767000000,6130000000,7175000000,11946000000,8195000000,8400000000,9794000000,9113000000,9505000000,9175000000,10210000000,17783000000,6712000000,7703000000,12611000000,11732000000,8072000000,24021000000
74,Depreciation and Amortization,1008720930,949000000,918000000,585000000,690000000,1283000000,1339000000,1717000000,1987000000,2858000000,2670000000,2301000000,3419000000,5788000000,4920000000,4925000000,4682000000,5471000000,6043000000,6076000000,6892000000,5826000000,6464000000,6113000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1008000000,1126000000,1124000000,1282000000,947000000,1336000000,1468000000,1733000000,1528000000,1625000000,1443000000,1545000000,1106000000,1119000000,1296000000,1221000000,1793000000,1807000000,2119000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,415000000,522000000,570000000,567000000,642000000,655000000,790000000,746000000,730000000,744000000,773000000,671000000,683000000,759000000,758000000,738000000,736000000
77,Change in Working Capital,-670058140,-618000000,-202000000,124000000,-126000000,457000000,132000000,872000000,166000000,-535000000,-630000000,688000000,1762000000,-113000000,-140000000,-739000000,-625000000,-863000000,-77000000,244000000,499000000,199000000,-291000000,241000000
78,Accounts Receivable,- -,- -,- -,- -,- -,297000000,-130000000,-490000000,- -,-204000000,-431000000,-934000000,26000000,-732000000,369000000,-411000000,-367000000,-513000000,-229000000,-204000000,-569000000,-980000000,137000000,-389000000
79,Inventory,- -,295000000,140000000,-46000000,-490000000,-78000000,23000000,175000000,-117000000,-747000000,-571000000,237000000,965000000,45000000,-701000000,-653000000,-506000000,-482000000,-235000000,-247000000,-533000000,-382000000,-543000000,81000000
80,Accounts Payable,- -,- -,- -,- -,- -,238000000,239000000,-54000000,- -,323000000,246000000,512000000,490000000,195000000,515000000,502000000,142000000,378000000,-587000000,58000000,309000000,553000000,-324000000,-21000000
81,Other Working Capital,- -,-307000000,-178000000,- -,- -,- -,- -,1241000000,166000000,1365000000,562000000,1031000000,802000000,1295000000,539000000,807000000,1490000000,1642000000,956000000,160000000,-2000000,1000000,-1000000,241000000
82,Other Non-Cash Items,-468023256,-184000000,-470000000,-517000000,42000000,-1112000000,-1639000000,-2178000000,-2422000000,-6576000000,-2369000000,-1308000000,-3296000000,-2797000000,-2462000000,-2360000000,-2659000000,-12373000000,-2993000000,-3381000000,-7710000000,-6683000000,-3140000000,-18159000000
83,Cash Provided by Operating Activities,4277616279,4335000000,4641000000,4431000000,5830000000,6652000000,6725000000,8080000000,8710000000,9210000000,9769000000,12191000000,14067000000,14309000000,14194000000,13174000000,13897000000,11897000000,11475000000,12621000000,14272000000,13625000000,13650000000,15071000000
84,CAPEX,-1129360465,-862000000,-825000000,-815000000,-1186000000,-1543000000,-1450000000,-1548000000,-2322000000,-3133000000,-2316000000,-2733000000,-2232000000,-2387000000,-3068000000,-3571000000,-3404000000,-3505000000,-2879000000,-2746000000,-3355000000,-2257000000,-2585000000,-2971000000
85,Acquisitions Net,170784884,107000000,-836000000,-102000000,-605000000,-402000000,-1031000000,-8866000000,-4523000000,-62000000,-11526000000,-1006000000,-26666000000,-581000000,-1741000000,-94000000,1039000000,-16507000000,-765000000,-755000000,-1068000000,-3766000000,-9964000000,20102000000
86,Purchases of Investments,- -,-1104000000,- -,- -,-7383000000,-10923000000,-8062000000,-4823000000,-5561000000,-7543000000,-4156000000,-14341000000,-40708000000,-1937000000,-1819000000,-443000000,-408000000,-859000000,-777000000,-1048000000,-2702000000,-530000000,-2130000000,-16594000000
87,Sales/Maturities of Investments,- -,- -,2951000000,1553000000,7860000000,10511000000,7011000000,7432000000,5631000000,4253000000,7404000000,3762000000,53269000000,3409000000,737000000,564000000,2517000000,428000000,869000000,879000000,639000000,3713000000,1215000000,2740000000
88,Other Investing Activites,8720930,-38000000,-1421000000,-3457000000,-1868000000,845000000,132000000,-37000000,-320000000,-343000000,17000000,-747000000,27000000,484000000,-154000000,-315000000,357000000,8521000000,-906000000,-499000000,-687000000,-264000000,-1028000000,-662000000
89,Cash Used for Investing Activites,-949854651,-1897000000,-131000000,-2821000000,-3182000000,-1298000000,-3219000000,-7482000000,-6575000000,-6244000000,-10367000000,-14219000000,-15756000000,-792000000,-5675000000,-3352000000,881000000,-10784000000,-3441000000,-3119000000,-5591000000,-2226000000,-13182000000,4208000000
90,Debt Repayment,- -,- -,- -,- -,- -,-3489000000,-15000000,-884000000,-182000000,-59000000,-68000000,-22000000,-5000000,-28000000,-704000000,-2022000000,-2599000000,-3086000000,-1696000000,-188000000,-366000000,-3468000000,-2315000000,-2478000000
91,Common Stock Issued,1453488,- -,- -,2448000000,- -,- -,60000000,67000000,254000000,1849000000,2875000000,724000000,730000000,163000000,414000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-15261628,-1207000000,-710000000,-2322000000,-3676000000,-273000000,-1874000000,-231000000,- -,-6448000000,-3348000000,-461000000,-311000000,-3628000000,-505000000,-2930000000,-6915000000,-6071000000,-1109000000,-5490000000,-2036000000,-5533000000,-2842000000,-3057000000
93,Dividends Paid,- -,-1217000000,-1259000000,-1324000000,-1639000000,-1724000000,-1968000000,-2107000000,-2049000000,-2598000000,-3345000000,-3941000000,-4486000000,-5368000000,-6030000000,-6100000000,-6810000000,-6643000000,-6475000000,-6495000000,-6966000000,-6645000000,-6987000000,-7368000000
94,Other Financing Activites,-4537790698,-293000000,-931000000,984000000,589000000,-278000000,673000000,2889000000,-2993000000,-2062000000,1313000000,6509000000,8188000000,-6163000000,150000000,2283000000,8177000000,6624000000,3966000000,4440000000,5124000000,2019000000,9936000000,-3361000000
95,Cash Used/Provided by Financing Activities,-4551598837,-2717000000,-2900000000,-214000000,-4726000000,-5764000000,-3124000000,-266000000,-4970000000,-9318000000,-2573000000,2809000000,4116000000,-15024000000,-6675000000,-8769000000,-8147000000,-9176000000,-5314000000,-7733000000,-4244000000,-13627000000,-2208000000,-16264000000
96,Effect of Forex Changes on Cash,-22529070,46000000,-73000000,19000000,-71000000,258000000,55000000,-94000000,25000000,298000000,-46000000,75000000,-2000000,-103000000,-1000000,82000000,-295000000,-286000000,-387000000,84000000,-26000000,69000000,286000000,-266000000
97,Net Change In Cash,-1246366279,-233000000,1537000000,1414000000,-2149000000,-152000000,437000000,238000000,-2506000000,1545000000,-3322000000,856000000,2425000000,-1610000000,1843000000,1135000000,6336000000,-8349000000,2333000000,1853000000,4411000000,-2159000000,-1454000000,2749000000
98,Cash at the End of Period,5060319767,3950000000,5368000000,6727000000,5813000000,5646000000,6083000000,6321000000,3815000000,5360000000,2038000000,2894000000,5319000000,3709000000,5552000000,6687000000,13023000000,4674000000,7007000000,8860000000,13271000000,11112000000,9658000000,12407000000
99,Cash at the Beginning of Period,6306686047,4183000000,3831000000,5313000000,7962000000,5798000000,5646000000,6083000000,6321000000,3815000000,5360000000,2038000000,2894000000,5319000000,3709000000,5552000000,6687000000,13023000000,4674000000,7007000000,8860000000,13271000000,11112000000,9658000000
100,Free Cash Flow,3148255814,3473000000,3816000000,3616000000,4644000000,5109000000,5275000000,6532000000,6388000000,6077000000,7453000000,9458000000,11835000000,11922000000,11126000000,9603000000,10493000000,8392000000,8596000000,9875000000,10917000000,11368000000,11065000000,12100000000
