,https://roic.ai/company/TOL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0680,0.1880,0.2434,0.2038,0.1215,0.0756,0.0352,0.1033,0.1118,0.1134,0.1229,0.1127,0.1107,0.1113,0.1118,0.1280,0.1515,0.1491,0.1482,0.1663,0.2284,0.1840,0.0152,-0.1478,-0.2828,-0.0784,-0.0199,0.0600,0.1001,0.1290,0.1284,0.1139,0.1400,0.1307,0.1090,0.0829,0.1252
22,Income Tax expense (Gain),1300000,7700000,16200000,16700000,8400000,6100000,2500000,11500000,16500000,20700000,29500000,32000000,39800000,48500000,59700000,85023000,124216000,127431000,151333000,238321000,517018000,439403000,35029000,-168977000,259360000,-113813000,-69161000,-374204000,97091000,164550000,172395000,206932000,278816000,185765000,197163000,140277000,266688000
23,Net Income,3900000,16100000,17200000,24100000,13100000,10000000,5000000,16600000,28000000,36200000,49900000,53700000,65000000,84700000,101500000,145943000,213673000,219887000,259820000,409111000,806110000,687213000,35651000,-297810000,-755825000,-3374000,39795000,487146000,170606000,340032000,363167000,382095000,535495000,748151000,590007000,446624000,833627000
24,Net Income ratio,0.0510,0.1272,0.1254,0.1204,0.0741,0.0504,0.0284,0.0593,0.0713,0.0721,0.0772,0.0706,0.0669,0.0702,0.0697,0.0809,0.0958,0.0944,0.0936,0.1051,0.1391,0.1122,0.0077,-0.0943,-0.4306,-0.0023,0.0270,0.2587,0.0638,0.0869,0.0871,0.0739,0.0921,0.1047,0.0817,0.0631,0.0948
25,EPS,0.03,0.11,0.14,0.20,0.11,0.09,0.04,0.13,0.21,0.27,0.37,0.39,0.47,0.58,0.69,1.00,1.49,1.56,1.84,2.75,5.23,4.45,0.23,-1.88,-4.68,-0.02,0.24,2.91,1.01,1.91,2.06,2.27,3.30,4.92,4.07,3.43,6.72
26,EPS Diluted,0.03,0.11,0.14,0.20,0.11,0.09,0.04,0.13,0.21,0.26,0.35,0.38,0.45,0.56,0.68,0.97,1.38,1.46,1.72,2.52,4.78,4.17,0.22,-1.88,-4.68,-0.02,0.24,2.86,0.97,1.84,1.97,2.18,3.17,4.85,4.03,3.40,6.63
27,Weighted Average Shares Outstanding,120000000,149767442,120701754,120500000,119090909,117647059,125000000,132800000,133333333,134504000,135636000,137968000,139672000,145932000,146756000,145076000,143340000,140944000,141340000,148646000,154272000,154300000,155318000,158730000,161549000,165666000,167140000,167346000,169288000,177578000,176425000,168261000,162222000,151984000,145008000,130095000,124100000
28,Weighted Average Shares Outstanding Diluted,120000000,149767442,120701754,120500000,119090909,117647059,125000000,132800000,133333333,142656000,146604000,147564000,149416000,153440000,149744000,149652000,154732000,150960000,151082000,162330000,168552000,164852000,164166000,158730000,161549000,165666000,168381000,170154000,177963000,185875000,184703000,175973000,169487000,154201000,146501000,131247000,125807000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794170/000079417095000004/0000794170-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417096000001/0000794170-96-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/794170/0000794170-98-000002-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794170/000095011606000078/ten-k.htm,https://www.sec.gov/Archives/edgar/data/794170/000112528207000094/b416604_10k.htm,https://www.sec.gov/Archives/edgar/data/794170/000089322007004038/0000893220-07-004038-index.html,https://www.sec.gov/Archives/edgar/data/794170/000089322008003218/0000893220-08-003218-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012309072352/0000950123-09-072352-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012310115566/0000950123-10-115566-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012311103874/0000950123-11-103874-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417012000030/0000794170-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417013000059/0000794170-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417014000044/0000794170-14-000044-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417015000059/0000794170-15-000059-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417016000131/0000794170-16-000131-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417017000065/0000794170-17-000065-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417018000055/0000794170-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417019000067/0000794170-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417020000066/0000794170-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/794170/000079417021000079/0000794170-21-000079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,27800000,22900000,147600000,80100000,96500000,161860000,182840000,102337000,425251000,580863000,689219000,632524000,900337000,1633495000,1807718000,1039060000,906340000,778824000,772972000,586315000,918993000,633715000,712829000,1182195000,1286014000,1370944000,1638494000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101176000,197867000,233572000,439068000,52508000,12026000,10001000,11552000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,27800000,22900000,147600000,80100000,96500000,161860000,182840000,102337000,425251000,580863000,689219000,632524000,900337000,1633495000,1908894000,1236927000,1139912000,1217892000,825480000,598341000,928994000,645267000,712829000,1182195000,1286014000,1370944000,1638494000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,25000000,26800000,31800000,46700000,87500000,113025000,118542000,159014000,171133000,246126000,285478000,460883000,275624000,163017000,95774000,97039000,105576000,148315000,229295000,251572000,284130000,85627000,99311000,96937000,121655000,109791000,84399000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,506300000,623800000,772500000,921600000,1111900000,1443300000,1712383000,2183541000,2551061000,3080349000,3878260000,5068624000,6095702000,5572655000,4127475000,3183566000,3241725000,3416723000,3761187000,4650412000,6490321000,6997516000,7353967000,7281453000,7598219000,7873048000,7658906000,7915884000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49676000,34367000,18913000,- -,60906000,19760000,47276000,192441000,162359000,196075000,485689000,306567000,344840000,352084000,361904000,412227000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,571600000,676600000,822200000,1101000000,1238700000,1627300000,1987268000,2484923000,2812412000,3676733000,4705249000,6043321000,7238785000,6782983000,5942900000,5188234000,4636597000,4681971000,5174670000,5897628000,7502593000,8406715000,8570550000,8400160000,9222191000,9632801000,9501545000,10051004000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,11900000,12900000,15100000,14400000,19600000,24075000,33095000,38496000,43711000,52429000,79524000,99089000,84265000,86462000,70441000,79916000,99712000,106214000,131320000,143010000,136755000,169576000,189547000,193281000,273412000,421129000,406731000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152844000,198442000,195529000,426139000,439507000,451079000,412860000,507963000,481758000,431813000,366252000,430701000,599101000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169897000,405703000,- -,- -,- -,358056000,286032000,250421000,198455000,167413000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,4000000,2800000,2500000,1400000,21200000,18911000,14182000,44457000,66947000,147900000,220995000,245667000,183171000,151771000,222925000,256600000,78034000,115965000,72972000,69799000,51730000,321287000,373760000,397305000,555673000,712358000,481014000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300000,15900000,15700000,17600000,15800000,40800000,42986000,47277000,82953000,110658000,200329000,300519000,344756000,437333000,643936000,446210000,534958000,373275000,1006374000,929831000,914309000,799800000,1166239000,1045065000,1022399000,1195337000,1564188000,1486846000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,586900000,692500000,837900000,1118600000,1254500000,1668100000,2030254000,2532200000,2895365000,3787391000,4905578000,6343840000,7583541000,7220316000,6586836000,5634444000,5171555000,5055246000,6181044000,6827459000,8416902000,9206515000,9736789000,9445225000,10244590000,10828138000,11065733000,11537850000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,28900000,31600000,42400000,48600000,58100000,84800000,110927000,132970000,126391000,151730000,181972000,256557000,292171000,236877000,134843000,79097000,91738000,96817000,99911000,167787000,225347000,236953000,281955000,275223000,362098000,348599000,411397000,562466000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1057047000,253194000,331636000,432433000,340226000,119705000,696814000,613594000,- -,- -,1654937000,- -,- -,- -,- -,- -,- -,- -,- -,- -,116248000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174630000,162359000,106066000,80991000,81188000,125996000,58868000,62782000,57509000,30959000,102971000,198974000,215280000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83824000,- -,- -,- -,- -,43488000,42798000,42179000,51678000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,40900000,120000000,137500000,172700000,217600000,284200000,378146000,429600000,517612000,660728000,1075521000,1489518000,1519935000,1182344000,1076434000,814851000,732680000,-1111644000,557341000,492614000,588866000,541889000,909824000,782121000,760808000,766955000,930353000,934220000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,69800000,151600000,179900000,221300000,275700000,369000000,489073000,1619617000,897197000,1144094000,1689926000,2086301000,1931811000,2116035000,1824871000,893948000,824418000,723934000,657252000,660401000,814213000,778842000,1235267000,1100142000,1165085000,1167232000,1341750000,1612934000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,250200000,284200000,343300000,512100000,453000000,682700000,796036000,- -,868659000,1166669000,1295665000,1490028000,2228101000,1569036000,1524312000,2135389000,1710968000,1654937000,2252944000,2503664000,3399586000,3790240000,3775451000,3220024000,3698176000,3921347000,3958284000,3679283000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88625000,77156000,83824000,142977000,212669000,223799000,284309000,352587000,438824000,453043000,437274000,493502000,673017000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,- -,- -,-100000,- -,100000,- -,1057000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111561000,118607000,125045000,138282000,149145000,159374000,183592000,344721000,232161000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,312900000,284200000,343300000,512000000,453000000,682800000,796036000,1057000000,868659000,1166669000,1295665000,1490028000,2228101000,1569036000,1524312000,2224014000,1788124000,1738761000,2395921000,2827894000,3741992000,4199594000,4266320000,3807993000,4310593000,4542213000,4796507000,4584461000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124756000,116248000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,382700000,435800000,523200000,733300000,728700000,1051800000,1285109000,1619617000,1765856000,2310763000,2985591000,3576329000,4159912000,3685071000,3349183000,3117962000,2612542000,2462695000,3053173000,3488295000,4556205000,4978436000,5501587000,4908135000,5475678000,5709445000,6138257000,6197395000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,359000,369000,740000,770000,770000,1563000,1563000,1570000,1604000,1647000,1664000,1687000,1687000,1694000,1779000,1779000,1779000,1779000,1779000,1529000,1529000,1279000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,167600000,217600000,271300000,336400000,421100000,522700000,668608000,882281000,1101799000,1361619000,1770730000,2576061000,3263274000,3298925000,2953655000,2197830000,2194456000,2234251000,2721397000,2892003000,3232035000,3595202000,3977297000,4474064000,5161551000,4774422000,5164086000,4969839000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30288000,-35792000,-44500000,-44500000,-64400000,-686000,-78700000,-397000,325000,-2637000,-577000,-2902000,-4819000,-2387000,-2838000,-2509000,-3336000,-1910000,694000,-5831000,-7198000,1109000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,36600000,39100000,43400000,48900000,104700000,93200000,106466000,65725000,71470000,158739000,212887000,186633000,229789000,227136000,282069000,316359000,359910000,353317000,403435000,441677000,623400000,628085000,253552000,57261000,-403825000,301696000,-283182000,322797000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,204200000,256700000,314700000,385300000,525800000,616300000,745145000,912583000,1129509000,1476628000,1919987000,2763571000,3415926000,3527234000,3237653000,2513199000,2555453000,2586353000,3121700000,3332987000,3854376000,4222557000,4229292000,4531194000,4760199000,5071816000,4875235000,5295024000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,586900000,692500000,837900000,1118600000,1254500000,1668100000,2030254000,2532200000,2895365000,3787391000,4905578000,6339900000,7575838000,7212305000,6586836000,5631161000,5167995000,5049048000,6174873000,6821282000,8410581000,9200993000,9730879000,9439329000,10235877000,10781261000,11013492000,11492419000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3940000,7703000,8011000,- -,3283000,3560000,6198000,6171000,6177000,6321000,5522000,5910000,5896000,8713000,46877000,52241000,45431000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,586900000,692500000,837900000,1118600000,1254500000,1668100000,2030254000,2532200000,2895365000,3787391000,4905578000,6343840000,7583541000,7220316000,6586836000,5634444000,5171555000,5055246000,6181044000,6827459000,8416902000,9206515000,9736789000,9445225000,10244590000,10828138000,11065733000,11537850000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/794170/000079417095000004/0000794170-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417096000001/0000794170-96-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/794170/0000794170-98-000002-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/794170/000095011606000078/ten-k.htm,https://www.sec.gov/Archives/edgar/data/794170/000112528207000094/b416604_10k.htm,https://www.sec.gov/Archives/edgar/data/794170/000089322007004038/0000893220-07-004038-index.html,https://www.sec.gov/Archives/edgar/data/794170/000089322008003218/0000893220-08-003218-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012309072352/0000950123-09-072352-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012310115566/0000950123-10-115566-index.html,https://www.sec.gov/Archives/edgar/data/794170/000095012311103874/0000950123-11-103874-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417012000030/0000794170-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417013000059/0000794170-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417014000044/0000794170-14-000044-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417015000059/0000794170-15-000059-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417016000131/0000794170-16-000131-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417017000065/0000794170-17-000065-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417018000055/0000794170-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417019000067/0000794170-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/794170/000079417020000066/0000794170-20-000066-index.htm,https://www.sec.gov/Archives/edgar/data/794170/000079417021000079/0000794170-21-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,13100000,10000000,5000000,16600000,28000000,36200000,49900000,53700000,65000000,84700000,101500000,145943000,213673000,219887000,259820000,409111000,806110000,687213000,35651000,-297810000,-755825000,-3374000,39795000,487146000,170606000,340032000,363167000,382095000,535495000,748151000,590007000,446624000,833627000
74,Depreciation and Amortization,- -,- -,- -,- -,2600000,2600000,2500000,2600000,2700000,2700000,2900000,3300000,4100000,5600000,6600000,8528000,9356000,10495000,12075000,21767000,24347000,32314000,31240000,28333000,23925000,20044000,23142000,22586000,25210000,22999000,23557000,23121000,25361000,25259000,72149000,68873000,76250000
75,Deferred Income Tax,- -,- -,- -,- -,5100000,1700000,1400000,2000000,-900000,-400000,-500000,900000,3300000,300000,1600000,5191000,7323000,1831000,17933000,32377000,26763000,8773000,-289203000,-235806000,405703000,60697000,- -,-352908000,73882000,35502000,49442000,20270000,185710000,-21930000,102764000,97780000,11815000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10987000,11677000,12768000,15575000,19041000,21656000,22903000,26679000,28466000,28312000,26180000,24326000,23187000
77,Change in Working Capital,- -,- -,- -,- -,-61500000,- -,- -,- -,- -,501800000,23200000,117300000,237400000,83300000,295300000,239895000,-632889000,1049909000,617424000,482684000,941697000,1349954000,-640026000,-548919000,176257000,-482107000,145858000,559381000,719809000,1451153000,939493000,-292590000,-35265000,757088000,408463000,-305774000,345172000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51794000,-5214000,-55553000,-307351000,31766000,-85414000,-185261000,-176293000,135806000
79,Inventory,- -,- -,- -,- -,-54000000,12000000,11800000,-63200000,-116300000,-104500000,-118700000,-138100000,-120300000,-179800000,-282800000,-264303000,-443887000,-360409000,-478478000,-692400000,-1025421000,-877746000,-18273000,662769000,489213000,-140344000,-215738000,-195948000,-941314000,-271982000,-351983000,-391178000,129666000,-143598000,-40236000,352858000,-196227000
