,https://roic.ai/company/DX,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,-9200000,-20000000,-32200000,-58700000,-59800000,-25000000,-51700000,-70500000,-68200000,-9682000,- -,-1617000,-1199000,-1787000,-2599000,-5347000,-4378000,-4010000,-9852000,-15759000,-18893000,-40873000,-59061000,-69332000,-64880000,-61016000,-51900000,-47532000,-52790000,-68042000,-52437000,-58895000
94,Other Financing Activites,- -,- -,10300000,379200000,726800000,1709400000,102900000,593000000,1675000000,1623500000,2076300000,1072055000,141508000,486293000,172898000,4332000,53313000,62847000,-51625000,-57664000,266631000,367086000,646532000,835941000,1525577000,56569000,-597272000,86826000,-184185000,-302282000,703307000,1503807000,-2207587000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,1100000,359200000,320100000,1414900000,-150900000,-279600000,394700000,1299000000,-70000000,-898447000,-786412000,-695621000,-314322000,-321058000,-246488000,-240663000,-104286000,-102221000,232665000,331436000,644254000,875054000,1548837000,-30101000,-664142000,-17627000,-238297000,-303570000,690281000,1473882000,-2353151000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1100000,359200000,320100000,1414900000,-150900000,-279600000,394700000,1299000000,-70000000,18498000,-19646000,3644000,7948000,-7690000,45136000,-7287000,11645000,-21528000,-11017000,5838000,-11337000,29940000,7033000,13521000,-25386000,-10009000,40185000,-11689000,1504000,45526000,168449000,111572000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48601000,3485000,7129000,15077000,7386000,52522000,45235000,56880000,35352000,24335000,30173000,18836000,48776000,55809000,69330000,43944000,33935000,74120000,87200000,88704000,134230000,302679000,421307000
99,Cash at the Beginning of Period,- -,- -,900000,300000,800000,1100000,1500000,7900000,22200000,11400000,18500000,30103000,23131000,3485000,7129000,15076000,7386000,52522000,45235000,56880000,35352000,24335000,30173000,18836000,48776000,55809000,69330000,43944000,33935000,98889000,87200000,88704000,134230000,309735000
100,Free Cash Flow,- -,- -,-14700000,-48400000,113400000,-608300000,304900000,334400000,55300000,107700000,83000000,53754000,20376000,69442000,37079000,29816000,23033000,12337000,7425000,8025000,6791000,19631000,30071000,70641000,149388000,208760000,214551000,216988000,210514000,204448000,180560000,175346000,173952000,146970000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826675/000082667506000005/body.htm,https://www.sec.gov/Archives/edgar/data/826675/000082667507000008/0000826675-07-000008-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667508000033/body.htm,https://www.sec.gov/Archives/edgar/data/826675/000082667509000007/0000826675-09-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/826675/000082667511000006/body.htm,https://www.sec.gov/Archives/edgar/data/826675/000082667512000011/0000826675-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667513000006/0000826675-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667514000014/dx2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/826675/000082667515000006/a2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/826675/000082667516000037/0000826675-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667517000011/0000826675-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667518000005/0000826675-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667519000012/0000826675-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667520000013/0000826675-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/826675/000082667521000015/0000826675-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/826675/000082667522000006/0000826675-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
