,https://roic.ai/company/NC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0773,0.0914,0.1036,0.1001,0.0784,0.0364,0.0221,0.0297,0.0162,0.0410,0.0457,0.0373,0.0393,0.0643,0.0330,0.0209,-0.0169,0.0234,0.0263,0.0188,0.0224,0.0360,0.0312,-0.1138,0.0125,0.0360,0.0642,0.0664,0.0597,-0.0854,0.0271,0.0402,0.2777,0.3115,0.3078,0.1110,0.2963
22,Income Tax expense (Gain),10500000,20100000,13500000,15300000,38300000,19100000,9500000,19400000,13500000,30700000,34700000,34300000,26400000,60700000,31700000,22300000,-9900000,11300000,15800000,5300000,13100000,27800000,23100000,18600000,20500000,17400000,51700000,15800000,11270000,-38455000,2815000,4863000,639000,7378000,3767000,-535000,8725000
23,Net Income,31400000,33300000,34000000,45000000,53900000,30900000,20500000,-85900000,8300000,42100000,94400000,50600000,61800000,102300000,53100000,67700000,-36000000,42400000,52800000,47900000,62500000,106200000,89300000,-437600000,31100000,79500000,162100000,108700000,44450000,-38118000,21984000,29607000,30337000,34785000,39632000,14793000,48125000
24,Net Income ratio,0.0579,0.0570,0.0741,0.0747,0.0458,0.0225,0.0151,-0.0586,0.0054,0.0227,0.0431,0.0223,0.0275,0.0403,0.0204,0.0236,-0.0136,0.0166,0.0214,0.0172,0.0198,0.0317,0.0248,-0.1189,0.0135,0.0296,0.0487,0.1245,0.0477,-0.0425,0.0240,0.0346,0.2895,0.2570,0.2811,0.1152,0.2509
25,EPS,3.31,3.48,3.75,5.08,6.08,3.49,2.31,-9.66,0.93,4.70,10.54,5.67,7.56,12.56,6.52,8.29,-4.40,5.17,6.44,5.83,7.60,12.90,10.81,-52.84,3.75,9.55,19.34,12.97,5.48,-5.02,3.14,4.34,4.44,5.02,5.68,2.11,6.73
26,EPS Diluted,3.31,3.48,3.75,5.08,6.08,3.49,2.31,-9.66,0.93,4.70,10.54,5.67,7.55,12.53,6.51,8.29,-4.40,5.17,6.44,5.83,7.60,12.89,10.80,-52.84,3.75,9.53,19.28,12.92,5.47,-5.02,3.13,4.32,4.41,5.00,5.66,2.10,6.69
27,Weighted Average Shares Outstanding,9486405,9568966,9066667,8858268,8865132,8853868,8874459,8892340,8924731,8957447,8956357,8924162,8174603,8144904,8144172,8166466,8181818,8201161,8198758,8216123,8223684,8232558,8263000,8281000,8290000,8328000,8383000,8384000,8105000,7590000,7001000,6818000,6830000,6924000,6974000,7026000,7146000
28,Weighted Average Shares Outstanding Diluted,9486405,9568966,9066667,8858268,8865132,8853868,8874459,8892340,8924731,8959276,8957346,8961039,8185430,8164405,8156682,8166466,8181818,8201161,8198758,8216123,8223684,8238945,8272000,8281000,8296000,8344000,8408000,8414000,8124000,7590000,7022000,6854000,6873000,6960000,7007000,7057000,7190000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789933/000095015295000516/0000950152-95-000516-index.html,https://www.sec.gov/Archives/edgar/data/789933/000095015296001243/0000950152-96-001243-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789933/000095015201001970/0000950152-01-001970-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789933/000095015205002157/0000950152-05-002157-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015206001530/0000950152-06-001530-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015207001632/0000950152-07-001632-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015208001379/0000950152-08-001379-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015209002559/0000950152-09-002559-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095012310020094/0000950123-10-020094-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993311000019/0000789933-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993312000026/0000789933-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993313000013/0000789933-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993314000020/0000789933-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993315000015/0000789933-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993316000069/0000789933-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993317000007/0000789933-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993318000019/0000789933-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993319000013/0000789933-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993320000017/0000789933-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993321000011/0000789933-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993322000015/0000789933-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,121200000,173800000,146200000,95000000,172000000,100800000,52300000,33800000,29100000,19500000,30900000,47800000,24100000,34700000,36200000,33700000,71900000,64100000,68900000,150400000,166500000,196700000,281400000,138300000,256200000,261900000,338600000,139900000,95390000,61135000,52499000,80648000,101600000,85257000,122892000,88450000,86005000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,121200000,173800000,146200000,95000000,172000000,100800000,52300000,33800000,29100000,19500000,30900000,47800000,24100000,34700000,36200000,33700000,71900000,64100000,68900000,150400000,166500000,196700000,281400000,138300000,256200000,261900000,338600000,139900000,95390000,61135000,52499000,80648000,101600000,85257000,122892000,88450000,86005000
34,Net Receivables,74400000,79800000,72700000,94800000,180000000,215500000,201000000,181200000,200100000,236200000,284300000,212200000,240800000,275100000,292200000,315400000,264500000,278800000,320800000,351500000,366000000,401500000,512500000,419200000,315000000,425900000,464500000,149300000,153425000,180887000,114105000,124867000,37387000,28816000,21855000,41273000,25667000
35,Inventory,79100000,79100000,72900000,118400000,252600000,259100000,225100000,235500000,238200000,299000000,388800000,309600000,302900000,356200000,390300000,411800000,360600000,357000000,348200000,426000000,449200000,484900000,551500000,480200000,336700000,447400000,470300000,169400000,184445000,190382000,165016000,157342000,30015000,31209000,40465000,47551000,54085000
36,Other Current Assets,8800000,1200000,1400000,49100000,97100000,82200000,53200000,45400000,37400000,31900000,18000000,22200000,31800000,37200000,53500000,54800000,73000000,83100000,75000000,68900000,92000000,70700000,89400000,103500000,59700000,79000000,101700000,28200000,28030000,33309000,29814000,18875000,7986000,18892000,15456000,10872000,37296000
37,Total Current Assets,283500000,333900000,293200000,357300000,701700000,657600000,531600000,495900000,504800000,586600000,722000000,591800000,599600000,703200000,772200000,815700000,770000000,783000000,812900000,996800000,1073700000,1153800000,1434800000,1141200000,967600000,1214200000,1375100000,486800000,461290000,465713000,361434000,381732000,176988000,164174000,200668000,188146000,203053000
38,PP&E,450300000,420100000,304900000,312600000,417100000,456300000,463300000,497200000,496200000,485300000,534500000,550300000,541700000,593400000,625400000,710700000,732000000,658000000,412600000,415800000,399400000,371400000,374200000,358900000,323900000,270400000,254300000,183000000,219256000,159644000,132539000,131049000,120068000,124554000,149459000,182741000,202078000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437800000,441900000,- -,- -,- -,- -,6400000,- -,6253000,6253000,6253000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,65400000,451300000,503800000,494500000,479400000,488000000,471600000,465100000,461000000,449300000,441000000,449400000,529300000,427900000,427400000,516600000,515400000,510100000,74200000,71000000,66700000,63500000,60000000,57900000,63400000,59685000,60821000,56843000,52959000,43554000,40516000,37902000,35330000,31774000
41,Intangible Assets,- -,- -,- -,65400000,451300000,503800000,494500000,479400000,488000000,471600000,465100000,461000000,449300000,441000000,449400000,529300000,427900000,427400000,516600000,515400000,510100000,512000000,512900000,66700000,63500000,60000000,57900000,69800000,59685000,67074000,63096000,59212000,43554000,40516000,37902000,35330000,31774000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31054000,16335000,20091000,24611000,28978000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,26100000,255500000,- -,- -,- -,- -,17600000,21300000,11800000,5200000,3500000,- -,- -,15806000,42013000,28380000,5962000,- -,- -,- -,14792000
44,Other Non-Current Assets,332300000,338700000,104500000,101700000,110100000,104300000,119100000,191800000,153500000,150800000,112200000,105000000,138500000,160700000,166000000,125400000,205900000,- -,97700000,110600000,110800000,119100000,88700000,99800000,121900000,108500000,110600000,36700000,69725000,62283000,56326000,36594000,26645000,27656000,32133000,40984000,55523000
45,Total Non-Current Assets,782600000,758800000,409400000,479700000,978500000,1064400000,1076900000,1168400000,1137700000,1107700000,1111800000,1116300000,1129500000,1195100000,1240800000,1378200000,1391900000,1340900000,1026900000,1041800000,1020300000,1002500000,993400000,546700000,521100000,444100000,426300000,289500000,348666000,304807000,293974000,286289000,212564000,212817000,244105000,288033000,304167000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1066100000,1092700000,702600000,837000000,1680200000,1722000000,1608500000,1664300000,1642500000,1694300000,1833800000,1708100000,1729100000,1898300000,2013000000,2193900000,2161900000,2123900000,1839800000,2038600000,2094000000,2156300000,2428200000,1687900000,1488700000,1658300000,1801400000,776300000,809956000,770520000,655408000,668021000,389552000,376991000,444773000,476179000,507220000
48,Accounts Payable,- -,- -,- -,- -,104600000,106600000,119100000,125800000,148400000,226900000,250700000,186300000,244700000,252900000,254400000,263000000,235300000,257200000,295800000,399800000,394300000,432100000,505200000,376400000,271700000,414500000,412500000,127500000,133016000,133668000,100300000,128248000,9500000,9399000,9951000,5647000,12208000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,94300000,115600000,67200000,42400000,59600000,89100000,149400000,404500000,103200000,72000000,42300000,61000000,56600000,67100000,49000000,31900000,36200000,245100000,42300000,31319000,56467000,9869000,14458000,15000000,4000000,7795000,22112000,2527000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15054000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,17700000,12500000,11200000,11200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4082000
52,Other Current Liabilities,110100000,128200000,83700000,226600000,357800000,301900000,254600000,204800000,249100000,160200000,157400000,162500000,219400000,236100000,239600000,237800000,234500000,235800000,222000000,229900000,249400000,262300000,265800000,232200000,163200000,201600000,222400000,57400000,73784000,64546000,81577000,79122000,29476000,28849000,44220000,24498000,27199000
53,Total Current Liabilities,110100000,128200000,83700000,226600000,462400000,408500000,373700000,330600000,397500000,481400000,523700000,416000000,506500000,548600000,583100000,650200000,874300000,596200000,589800000,672000000,704700000,751000000,856500000,675300000,479300000,663500000,891200000,227200000,238119000,254681000,191746000,221828000,53976000,42248000,61966000,52257000,46016000
54,Long-Term Debt,681000000,660400000,343100000,188400000,723000000,825500000,746200000,459900000,696300000,773600000,666700000,333300000,230200000,569600000,615500000,732700000,248100000,406500000,363200000,407400000,406200000,359900000,439500000,400500000,377600000,355300000,129100000,135400000,152431000,191431000,160113000,120295000,35000000,6367000,17148000,35549000,27916000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14792000
56,Deferred Tax Liabilities,- -,- -,- -,1500000,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,27300000,24786000,- -,- -,- -,- -,2846000,12338000,17550000,14792000
57,Other Non-Current Liabilities,112800000,122100000,70300000,174500000,187400000,98600000,103300000,593200000,271800000,119400000,229300000,565400000,550700000,238900000,240700000,200400000,506800000,560700000,249300000,271100000,279800000,252300000,240100000,255200000,234700000,191300000,191400000,105000000,96840000,112934000,102411000,105605000,81128000,74826000,63929000,70199000,51588000
58,Total Non-Current Liabilities,793800000,782500000,413400000,364400000,910400000,925600000,849500000,1053100000,968100000,893000000,896000000,898700000,780900000,808500000,856200000,933100000,754900000,967200000,612500000,678500000,686000000,612200000,679600000,655700000,612300000,546600000,333200000,267700000,274057000,304365000,262524000,225900000,116128000,84039000,93415000,123298000,109088000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8146000,7021000,12448000,11196000,- -
61,Total Liabilities,903900000,910700000,497100000,591000000,1372800000,1334100000,1223200000,1383700000,1365600000,1374400000,1419700000,1314700000,1287400000,1357100000,1439300000,1583300000,1629200000,1563400000,1202300000,1350500000,1390700000,1363200000,1536100000,1331000000,1091600000,1210100000,1224400000,494900000,512176000,559046000,454270000,447728000,170104000,126287000,155381000,175555000,155104000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,8100000,8100000,8200000,8200000,8200000,8200000,8300000,8300000,8300000,8300000,8400000,8400000,8400000,7871000,7235000,6837000,6779000,6852000,6921000,6966000,7058000,- -
64,Retained Earnings,150800000,169300000,187000000,227100000,275900000,301600000,316600000,225100000,226200000,262200000,350300000,359200000,412900000,504900000,554400000,614900000,571300000,605700000,648200000,682300000,729600000,792500000,855600000,399300000,413300000,475400000,619700000,313600000,301227000,224428000,217745000,239441000,216490000,250352000,284852000,294270000,336778000
65,Other Comprehensive Income/Loss,-137500000,-164100000,-132800000,-121200000,-131900000,-170800000,-211500000,-248000000,-286000000,-339800000,-385700000,-436400000,-491200000,-546600000,-613400000,-653600000,-740800000,-727300000,-467100000,-458500000,-42000000,-20000000,14000000,-65000000,-41000000,-59000000,-75000000,-22000000,-12000000,-20000000,-23000000,-26000000,-8000000,-14000000,-11000000,-11599000,-8176000
66,Other Total Stockholders Equity,148900000,176800000,151300000,140100000,156800000,222100000,245200000,262500000,295400000,357000000,405500000,456500000,503400000,560000000,613100000,637000000,690700000,672800000,447700000,456000000,7500000,12300000,14200000,14100000,16000000,22600000,23100000,-18600000,682000,-189000,-444000,73000,4106000,7431000,8574000,10895000,23514000
67,Total Stockholders Equity,162200000,182000000,205500000,246000000,300800000,352900000,350300000,239600000,235600000,279400000,370100000,379300000,425100000,518300000,562200000,606400000,529300000,559400000,637000000,688000000,703300000,793100000,892100000,356700000,396600000,447400000,576200000,281400000,297780000,211474000,201138000,220293000,219448000,250704000,289392000,300624000,352116000
68,Total Liabilities And Stockholders Equity,1066100000,1092700000,702600000,837000000,1673600000,1687000000,1573500000,1623300000,1601200000,1653800000,1789800000,1694000000,1712500000,1875400000,2001500000,2189700000,2158500000,2122800000,1839300000,2038500000,2094000000,2156300000,2428200000,1687700000,1488200000,1657500000,1800600000,776300000,809956000,770520000,655408000,668021000,389552000,376991000,444773000,476179000,507220000
69,Minority Interest,- -,- -,- -,- -,6600000,35000000,35000000,41000000,41300000,40500000,44000000,14100000,16600000,22900000,11500000,4200000,3400000,1100000,500000,100000,- -,- -,- -,200000,500000,800000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1066100000,1092700000,702600000,837000000,1680200000,1722000000,1608500000,1664300000,1642500000,1694300000,1833800000,1708100000,1729100000,1898300000,2013000000,2193900000,2161900000,2123900000,1839800000,2038600000,2094000000,2156300000,2428200000,1687900000,1488700000,1658300000,1801400000,776300000,809956000,770520000,655408000,668021000,389552000,376991000,444773000,476179000,507220000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789933/000095015295000516/0000950152-95-000516-index.html,https://www.sec.gov/Archives/edgar/data/789933/000095015296001243/0000950152-96-001243-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789933/000095015201001970/0000950152-01-001970-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789933/000095015205002157/0000950152-05-002157-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015206001530/0000950152-06-001530-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015207001632/0000950152-07-001632-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015208001379/0000950152-08-001379-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095015209002559/0000950152-09-002559-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000095012310020094/0000950123-10-020094-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993311000019/0000789933-11-000019-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993312000026/0000789933-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993313000013/0000789933-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993314000020/0000789933-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993315000015/0000789933-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993316000069/0000789933-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993317000007/0000789933-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993318000019/0000789933-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993319000013/0000789933-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993320000017/0000789933-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993321000011/0000789933-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/789933/000078993322000015/0000789933-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,31400000,33300000,- -,45000000,53900000,30900000,20500000,-85900000,8300000,42100000,94400000,50600000,61800000,102300000,53100000,67700000,-36000000,42400000,52800000,47900000,62500000,106200000,89300000,-437600000,31100000,79500000,162100000,108700000,44450000,-38118000,21984000,29607000,30337000,34785000,39632000,14793000,48125000
74,Depreciation and Amortization,38400000,38300000,- -,32200000,52300000,64300000,66500000,67900000,78100000,80200000,79300000,85300000,88600000,89000000,104000000,106100000,117600000,92700000,68400000,67600000,67000000,64900000,62800000,60500000,- -,- -,- -,19100000,3668000,3300000,3987000,3884000,2123000,3038000,2614000,18114000,23085000
75,Deferred Income Tax,- -,- -,- -,- -,-6400000,-4200000,7500000,7000000,5200000,4000000,1500000,-3200000,-24300000,-13200000,3300000,-12500000,-5000000,17800000,10900000,-1900000,-7600000,8700000,4100000,20300000,24700000,10500000,14400000,14600000,-7646000,-41347000,-6942000,12697000,4089000,9281000,8698000,7517000,-3553000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3958000,4924000,3078000,5561000
77,Change in Working Capital,- -,3800000,- -,-78800000,108600000,9800000,-91200000,7400000,-58000000,-2100000,93100000,-22500000,-82700000,61500000,34500000,-23600000,-269800000,291100000,36300000,101700000,44200000,33800000,175500000,-112400000,22400000,62400000,-66800000,-224300000,-36429000,-12139000,-41344000,-9784000,-36892000,-1086000,16776000,-2813000,21148000
