,https://roic.ai/company/NCTY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,- -,- -,- -,81258,10025705,9128549,50728477,56690807,- -,23183239,- -,- -,- -,- -,775152,161144,30525,193928,18576,429732
13,Interest Expense (Gain),483556,906781,1380555,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6397192,56471609,83922200,104776674,34501556,4070179
14,Depreciation and Amortization,3443483,3864729,3444232,3527866,73285404,166304643,212268977,307496208,174431163,35790083,18794284,32849932,43972129,46440982,32621319,19390186,7219969,5571171,4219460,447782
15,EBITDA,-11916900,-21230775,47449371,33086565,145955050,475849908,462788959,452260777,-236257110,-456453491,-265535482,-481152160,-482289443,-40181488,-265809843,-523999076,-27023681,-106745081,-139074152,409566446
16,EBITDA ratio,-2.1561,-6.4720,2.7478,0.9030,0.3137,0.4831,0.3611,0.2642,-0.3107,-4.4386,-2.4962,-3.1156,-4.6030,-0.6251,-5.7273,-9.3239,-0.3694,-6.1236,-407.2509,654.7950
17,Operating Income,-15434257,-19712228,-6037031,-9764533,59737046,269926486,236203428,134549625,-482841119,-353783512,-384032364,-592390562,-530247814,-160834764,-326500222,-295606307,-113310589,-104765492,-163716655,336708307
18,Operating Income ratio,-2.7925,-6.0091,-0.3496,-0.2665,0.1284,0.2740,0.1843,0.0786,-0.6349,-3.4402,-3.6101,-3.8359,-5.0608,-2.5022,-7.0349,-5.2600,-1.5490,-6.0100,-479.4116,538.3130
19,Total Other Income Expenses (Gains),-409682,-1079536,-1215489,15876051,24498769,37521235,20631679,9560210,92341404,42441525,29763374,32564437,-32668791,31892356,-14667956,-267027434,-56393838,-130226417,-29604825,66056463
20,Income Before Tax,-15843939,-20791764,-7252520,6111518,84235815,307447721,256835107,144109835,-390499715,-311341987,-354268990,-559826125,-562916605,-128942408,-341168178,-562633741,-169704427,-234991909,-193321480,402764770
21,Income Before Tax Ratio,-2.8666,-6.3382,-0.4200,0.1668,0.1811,0.3121,0.2004,0.0842,-0.5135,-3.0275,-3.3303,-3.6250,-5.3726,-2.0060,-7.3510,-10.0114,-2.3200,-13.4806,-566.1034,643.9209
22,Income Tax expense (Gain),155736,338722,-5850078,5074489,168324,-2667501,9281952,47928533,-5535866,7368020,165,- -,- -,- -,- -,-6079282,- -,- -,- -,7165097
23,Net Income,-15999674,-26341008,48474661,24484210,72501322,312212766,241238031,96836036,-405152407,-499611594,-284329931,-514002092,-526261572,-86622470,-304828354,-593781589,-118165850,-217092926,-177795168,397883388
24,Net Income ratio,-2.8948,-8.0298,2.8072,0.6682,0.1558,0.3170,0.1883,0.0566,-0.5327,-4.8583,-2.6729,-3.3283,-5.0227,-1.3476,-6.5680,-10.5656,-1.6154,-12.4538,-520.6377,636.1167
25,EPS,-55.21,-87.29,96.32,35.11,90.04,383.03,263.74,377.70,-478.20,-596.70,-341.70,-629.40,-681.30,-139.50,-496.50,-850.20,-157.20,-124.50,-53.70,72.60
26,EPS Diluted,-55.21,-87.29,58.21,26.11,87.64,381.23,261.64,377.10,-478.20,-596.70,-341.70,-629.40,-681.30,-139.50,-496.50,-850.20,-157.20,-124.50,-53.70,72.60
27,Weighted Average Shares Outstanding,328900,328900,328900,342535,806403,815216,913541,922155,847153,837388,831872,816467,772493,772156,774527,795803,1114214,2070492,3546900,5453331
28,Weighted Average Shares Outstanding Diluted,328900,328900,573191,484270,826832,818864,921353,923472,847153,837388,831872,816467,772493,772156,774527,795803,1114214,2070492,3546900,5453331
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296774/000119312506140647/d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312507145771/d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000114554908001189/h02254e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012309022307/c87279e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012310035576/c99221e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012311033777/c15005e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312512127422/0001193125-12-127422-index.html,https://www.sec.gov/Archives/edgar/data/1296774/000119312513160781/d438179d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312514118637/d650017d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312515109616/d852134d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312516536257/d215066d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312517114887/d269507d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312518136946/d520807d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000114420419021931/tv517526_20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000110465920054433/tm206461d1_20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1729912,5627993,62765637,793563459,488444320,937052671,2218464507,2152585574,1675081345,1416189294,1071725828,554278809,156987201,181482300,49010541,38878076,142624020,4256449,10113141,31696237
32,Short-Term Investments,8276731,- -,- -,- -,- -,- -,- -,68039221,- -,- -,- -,877350,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10006642,5627993,62765637,793563459,488444320,937052671,2218464507,2220624795,1675081345,1416189294,1071725828,555156159,156987201,181482300,49010541,38878076,142624020,4256449,10113141,31696237
34,Net Receivables,21167,2248757,24970386,30017226,10598196,10165881,26692565,8960792,2030638,10712252,10054911,33566475,19324689,52973674,17886306,28449259,9082819,8248818,3607914,2516170
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1642255,3799217,7260914,31619975,112197446,138955279,173071108,264399657,125684971,134551661,86885265,75893224,41750350,21397481,10361275,20710881,31405543,20508754,140746776,8102708
37,Total Current Assets,11670065,11675967,94996937,855200660,611239962,1086173831,2418228180,2493985244,1802796954,1561453207,1168666004,664615858,218062240,255853455,77258122,88038216,183112382,33014021,154467831,42315115
38,PP&E,11287162,7943397,5616038,8083895,231531316,227319597,344888255,200034094,75977200,58061464,60513021,64575315,50439400,36346230,33846518,26765824,85231818,17352445,10476125,6126192
39,Goodwill,- -,- -,- -,- -,30212103,30174212,30243141,30199751,- -,10548323,10035775,10011247,9710854,9746054,10342694,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,33300630,289153420,244064697,361502418,217928556,131506133,95604778,235529426,229164926,200838030,167812637,147228872,66431476,64510566,62589656,- -,- -
41,Intangible Assets,- -,- -,- -,33300630,319365522,274238909,391745559,248128307,131506133,106153101,245565201,239176173,210548884,177558691,157571566,66431476,- -,62589656,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,320860929,309410035,74843710,78393243,82303292,50848141,39223925,267539694,163037501,48243558,45216118,10000000,- -
43,Tax Assets,28212,- -,4581973,3150631,2105327,5386560,29398710,- -,5267185,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,850399,874000,50603288,127064064,49988763,30092135,66504301,- -,- -,56827902,75756603,61674734,16780483,8348409,1879021,6618977,6521420,6515200,6515200,- -
45,Total Non-Current Assets,12165773,8817397,60801298,171599220,602990928,537037202,832536825,769023330,522160553,295886177,460228068,447729514,328616908,261477255,460836799,262853778,139996796,131673419,26991325,6126192
46,Other Assets,- -,- -,- -,- -,- -,- -,1665073650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23835837,20493364,155798235,1026799880,1214230890,1623211033,3250765005,3263008574,2324957507,1857339384,1628894072,1112345372,546679148,517330710,538094921,350891994,323109178,164687440,181459156,48441307
48,Accounts Payable,1850995,850647,46904,2272650,15955198,12682244,49016378,29758563,35013675,46948658,44149842,54947197,69376348,40213660,41248455,37038856,37129671,38035661,38232425,35597417
49,Short-Term Debt,16028432,16233414,19726608,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107517367,369306389,487718523,535061667,3787210
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,99473495,6300465,5437764,5797785,4148647,1238852,932431,551445,283994,1714992,2949082,1203644,1293423
51,Deferred Revenue,472298,90215,- -,2222725,76546226,111208405,167155914,201645952,10933464,18508169,43672362,38133380,39009305,37268127,38157810,42633840,53134811,39791075,95803978,38011992
52,Other Current Liabilities,4851973,29807470,114436790,144799305,179359665,164292101,224470710,312362021,265560767,250861942,223702790,224631985,221706775,219108920,348559759,386558960,359874479,342878508,388984525,286976172
53,Total Current Liabilities,23203698,46981746,134210302,149294680,271861089,288182750,440643003,543766536,311507906,316318769,311524994,317712562,330092428,296590707,427966024,573749023,819445350,908423767,1058082595,364372791
54,Long-Term Debt,- -,264675,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166909111,232426295,- -,- -,6251705,2464495
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5803848,5521837,5508341,5343060,5362427,5690705,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,30776122,31707522,34241922,- -,- -,- -,- -,- -,- -,- -,60016072,39912925,21110517,18992201,- -,- -,306014668,341074539,349046548,349046548
58,Total Non-Current Liabilities,30776122,31972197,34241922,- -,- -,- -,- -,- -,- -,5803848,65537909,45421266,26453577,24354628,172599816,232426295,306014668,341074539,355298253,351511043
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,264675,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9659375,6251705
61,Total Liabilities,53979820,78953943,168452223,149294680,271861089,288182750,440643003,543766536,311507906,322122617,377062903,363133828,356546005,320945335,600565840,806175318,1125460018,1249498306,1413380848,715883834
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,816914,816914,816921,2002178,2004852,2039943,2353843,2190645,2051712,2051878,1996367,1997390,1881784,1885153,1917620,1931642,3328852,6502658,7969808,18097801
64,Retained Earnings,-31018454,-59710652,-13770636,7328365,79831220,371270134,551626234,549964327,-88364685,-587976279,-872306210,-1386308302,-1912569874,-1999192344,-2304020698,-2897802287,-3015968137,-3233061063,-3410856231,-2992227421
65,Other Comprehensive Income/Loss,-4754126,-5555,-138990,39561,-32359,20727876,34437959,13643131,- -,-2096698,-5968056,21361011,19084941,19433378,24699394,30654005,11626234,18867426,24294030,-9351643
66,Other Total Stockholders Equity,4811684,438713,438717,855967614,860566088,940990331,2221703966,2153443935,2097688957,2119185865,2139058605,2148416134,2152320786,2075900461,2080041288,2525599832,2527215315,2496069065,2539552478,2695763016
67,Total Stockholders Equity,-30143983,-58460579,-12653988,865337718,942369801,1335028284,2810122002,2719242038,2011375984,1531164766,1262780706,785466233,260717637,98026648,-197362396,-339616808,-473797736,-711621914,-839039915,-287718247
68,Total Liabilities And Stockholders Equity,23835837,20493364,155798235,1014632398,1214230890,1623211033,3250765005,3263008574,2322883890,1853287383,1639843609,1148600061,617263642,418971983,403203444,466558510,651662282,537876392,574340933,428165587
69,Minority Interest,- -,- -,- -,12167481,- -,- -,- -,- -,2073617,4052001,-10949537,-36254689,-70584494,98358727,134891477,-115666516,-328553104,-373188952,-392881777,-379724280
70,Total Liabilities & Equity,23835837,20493364,155798235,1026799880,1214230890,1623211033,3250765005,3263008574,2324957507,1857339384,1628894072,1112345372,546679148,517330710,538094921,350891994,323109178,164687440,181459156,48441307
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296774/000119312506140647/d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312507145771/d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000114554908001189/h02254e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012309022307/c87279e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012310035576/c99221e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012311033777/c15005e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312512127422/0001193125-12-127422-index.html,https://www.sec.gov/Archives/edgar/data/1296774/000119312513160781/d438179d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312514118637/d650017d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312515109616/d852134d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312516536257/d215066d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312517114887/d269507d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312518136946/d520807d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000114420419021931/tv517526_20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000110465920054433/tm206461d1_20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-15999674,-26341008,48474661,24484210,72501322,312212766,241238031,96836036,-405152407,-499611594,-284329931,-514002092,-526261572,-86622470,-304828354,-593781589,-118165850,-217092926,-177795168,397883388
74,Depreciation and Amortization,3443483,3864729,3444232,3527866,73285404,166304643,212268977,307496208,174431163,35790083,18794284,32849932,43972129,46440982,32621319,19390186,7219969,5571171,4219460,447782
75,Deferred Income Tax,-147681,119469,-6118571,4480963,-437931,-3283878,-29125537,34474878,-7407081,7407081,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,52049596,71236297,30179917,53271520,37378374,29237416,3672300,34007629,28051735,38029713,3898328,21750533,55056426
77,Change in Working Capital,-741625,19171015,60086894,16931093,-25499786,103290278,70146227,-19135553,-200376670,-51798681,-4519860,-13019474,33498085,2534678,74524593,-15292554,-29880593,-23662650,8336411,-54470326
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-6999641,6547740,-9792038,657341,-6903864,-3894295,7257096,3630201,-1453441,5742365,1904732,313044,3955
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-14360918,5529144,4163941,-18019185,-241324,8665354,-9104630,565870,-4200259,2073797,905990,246764,-2635008
81,Other Working Capital,- -,- -,- -,- -,-2819024,-6112219,-454865,- -,-603910,-18016107,5153586,7171733,12973160,5990896,-1029281,275769,10791521,-7753396,-175012,-1515786
82,Other Non-Cash Items,71763,6577042,-48176176,-14340546,29111023,19880436,122954431,220912931,261183095,230481605,-54110577,-32396803,61984306,-235122896,-11911977,380646501,16145099,130085551,89313442,-505170524
83,Cash Provided by Operating Activities,-13373735,3391248,57711040,35083586,148960031,598404244,617482129,692634096,-106085603,-247551589,-270894564,-489190063,-357569636,-269097406,-175586790,-180985721,-86651662,-101200526,-54175322,-106253254
84,CAPEX,-1530145,-1521304,-1967460,-20369282,-254391084,-124667077,-490989702,-121168262,-44350467,-20162262,-90640135,-35016034,-7557543,-4270284,-10644290,-8333052,-454560,-226717,-796921,-359573
85,Acquisitions Net,- -,- -,- -,- -,-209943496,-79958076,- -,- -,- -,-7512404,- -,3843168,5469593,163715759,12178328,- -,- -,- -,-34186372,440601307
86,Purchases of Investments,- -,- -,- -,- -,- -,-7971704,-10014366,-1094528389,-26837000,-39093200,-33984340,-14435190,-9158160,- -,-223428600,- -,-4000000,-5300000,- -,-8000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,22202125,7894298,38746685,728000000,68039221,6827900,28019115,29098880,8129843,31315138,- -,- -,167085889,- -,37026498,- -
88,Other Investing Activites,- -,-4307540,- -,-105915709,-41716881,48415,8430,-24468790,-37024978,40520124,-17759498,-13120947,-315541,6991204,12898725,-8681083,-707926,-11788733,58836174,6021474
89,Cash Used for Investing Activites,-1530145,-5828844,-1967460,-126284991,-483849336,-204654144,-462248953,-487512541,-16275602,-7114301,-41291073,-22172522,-2931808,197751817,-208995837,-10395158,161923403,-17315450,60879379,438263208
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70281005,-34782586,-69738894,-29387613,-10023576,-361474759
91,Common Stock Issued,4113361,- -,- -,813208577,3833209,57991029,1283814490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47430195
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-107481578,- -,- -,-598739,- -,-839541,-29030699,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-201028477,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7763374,6340074,1527443,8653771,35656718,- -,- -,-235734143,-155519713,91670,-21571301,-6245104,-9658243,100221650,328217940,224874928,113812327,11030602,50946376,3358369
95,Cash Used/Provided by Financing Activities,11876735,6340074,1527443,821862348,39489927,57991029,1176332912,-235734143,-356548190,-507069,-21571301,-7084645,-38688942,100221650,257936935,190092342,44073433,-18357011,40922800,-310686195
96,Effect of Forex Changes on Cash,-5952,-4396,-133435,124396,-9886009,-2520214,-52294781,-32083695,1405166,-3719092,-10706528,1000211,1898778,-4380962,-5826067,-8843928,4527918,-1494584,1257310,259337
97,Net Change In Cash,-3033113,3898082,57137596,730785339,-305285387,449220915,1279271308,-62696283,-477504229,-258892051,-344463466,-517447019,-397291608,24495099,-132471759,-10132465,103745944,-138367571,5856692,21583096
98,Cash at the End of Period,1729912,5627993,62765637,793563459,488444320,937052671,2218464507,2152585574,1675081345,1416189294,1071725828,554278809,156987201,181482300,49010541,38878076,142624020,4256449,10113141,31696237
99,Cash at the Beginning of Period,4763025,1729912,5628041,62778120,793729707,487831757,939193199,2215281857,2152585574,1675081345,1416189294,1071725828,554278809,156987201,181482300,49010541,38878076,142624020,4256449,10113141
100,Free Cash Flow,-14903880,1869944,55743580,14714304,-105431053,473737167,126492428,571465834,-150436070,-267713851,-361534699,-524206097,-365127179,-273367690,-186231080,-189318773,-87106222,-101427243,-54972243,-106612827
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296774/000119312506140647/d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312507145771/d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000114554908001189/h02254e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012309022307/c87279e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012310035576/c99221e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000095012311033777/c15005e20vf.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312512127422/0001193125-12-127422-index.html,https://www.sec.gov/Archives/edgar/data/1296774/000119312513160781/d438179d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312514118637/d650017d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312515109616/d852134d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312516536257/d215066d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312517114887/d269507d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000119312518136946/d520807d20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000114420419021931/tv517526_20f.htm,https://www.sec.gov/Archives/edgar/data/1296774/000110465920054433/tm206461d1_20f.htm,- -
102,Forex Rate,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
