,https://roic.ai/company/WEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,-7800000,15300000,36300000,-800000,-12900000,-17600000,-7500000,- -,-8100000,-37000000,-13900000,-3700000,- -,14600000,461921000,52416000,1343000,-10838000,- -,13941000,-11329000,16081000,-479741000,5062000,-4325000,- -,7083000,45487000,121434000,- -,161142000,194029000,460115000,136940000,- -,117832000
24,Net Income ratio,- -,-0.0072,0.0133,0.0331,-0.0007,-0.0105,-0.0145,-0.0059,- -,-0.0076,-0.0312,-0.0141,-0.0047,- -,0.0199,5.2948,0.3832,0.0137,-0.0369,- -,0.0424,-0.0091,0.0127,-0.2632,0.0014,-0.0013,- -,0.0028,0.0183,0.0589,- -,0.0862,0.1586,0.2894,0.0801,- -,0.0680
25,EPS,- -,-0.50,0.72,1.58,-0.03,-0.51,-0.68,-0.29,- -,-0.60,-1.24,-0.46,-0.12,- -,0.48,18.99,2.44,0.06,-0.18,- -,0.20,-0.13,0.16,-4.29,0.01,-0.01,- -,0.01,0.12,0.33,- -,0.50,0.79,1.93,0.60,- -,0.53
26,EPS Diluted,- -,-0.50,0.49,1.11,-0.03,-0.51,-0.68,-0.29,- -,-0.60,-1.24,-0.46,-0.12,- -,0.46,18.99,2.31,0.06,-0.18,- -,0.19,-0.13,0.16,-4.29,0.01,-0.01,- -,0.01,0.11,0.32,- -,0.49,0.77,1.88,0.58,- -,0.52
27,Weighted Average Shares Outstanding,- -,16800000,20416667,17290000,26666667,25294118,25882353,25862069,23166667,23166667,29838710,30217391,30833333,- -,30416667,23232000,21532000,20446000,20003000,- -,22233000,87146154,100506250,92609000,466204000,426247000,- -,390275000,392585000,370160000,- -,323018000,244179000,237797000,229944000,- -,223684000
28,Weighted Average Shares Outstanding Diluted,- -,16800000,20416667,17290000,26666667,25294118,25882353,25862069,23166667,23166667,29838710,30217391,30833333,- -,31739130,23232000,22692000,20446000,20003000,- -,23415000,87146154,100506250,92609000,466687000,426247000,- -,392140000,398680000,376182000,- -,328725000,252289000,244963000,235075000,- -,228014000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30697/000003069795000008/0000030697-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069796000011/0000030697-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069797000035/0000030697-97-000035-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069798000080/0000030697-98-000080-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/30697/000095011701000685/0000950117-01-000685-index.html,https://www.sec.gov/Archives/edgar/data/30697/000095011702000649/0000950117-02-000649-index.html,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/30697/000093041307001881/c46998_10k.htm,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069713000003/0000030697-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069714000006/twc10k2013.htm,https://www.sec.gov/Archives/edgar/data/30697/000003069715000003/twc10k2014.htm,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069716000011/0000030697-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069718000003/0000030697-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069719000004/0000030697-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069720000002/0000030697-20-000002-index.html,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069721000002/0000030697-21-000002-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,64200000,154400000,129500000,- -,161200000,596135000,506500000,457472000,560510000,- -,367992000,148152000,78116000,110882000,592833000,512508000,- -,453361000,580152000,267276000,- -,327216000,171447000,431405000,300195000,- -,306989000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46200000,- -,99700000,314017000,153400000,175161000,173127000,- -,198218000,122118000,2608000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,80100000,64200000,154400000,175700000,- -,260900000,910152000,659900000,632633000,733637000,- -,566210000,270270000,80724000,110882000,592833000,512508000,- -,453361000,580152000,267276000,- -,327216000,171447000,431405000,300195000,- -,306989000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,141400000,168500000,80600000,77900000,- -,67700000,14565000,15000000,12967000,13070000,- -,64331000,60021000,27610000,97258000,88004000,84258000,- -,61164000,62885000,73358000,- -,104854000,114390000,109805000,117461000,- -,109891000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,105700000,118500000,126400000,57400000,- -,46800000,- -,- -,2274000,2416000,- -,2222000,10019000,11067000,24646000,23024000,22694000,- -,13805000,10226000,8807000,- -,4312000,3156000,3687000,3891000,- -,4732000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,31900000,61600000,84300000,44800000,- -,34100000,10336000,14900000,23016000,23859000,- -,37003000,51460000,50853000,148052000,175131000,135328000,- -,181497000,269148000,212661000,- -,180187000,115360000,120821000,132500000,- -,266011000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,359100000,412800000,445700000,355800000,- -,409500000,935053000,689800000,670890000,772982000,- -,669766000,391770000,170254000,380838000,878992000,754788000,- -,709827000,922411000,562102000,- -,616569000,404353000,665718000,554047000,- -,687623000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,306300000,331600000,107300000,33800000,- -,31300000,40097000,61000000,115224000,106231000,- -,103434000,488484000,504874000,1770372000,1619248000,1551261000,- -,1250338000,1165487000,1271238000,- -,1227944000,1263059000,1213236000,2034343000,- -,1943522000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279200000,- -,268400000,- -,17900000,- -,- -,- -,- -,521055000,468778000,853775000,881019000,883644000,- -,876201000,842544000,822562000,- -,770781000,743334000,747884000,755911000,- -,751049000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,202800000,284900000,261200000,269200000,- -,261900000,6070000,5500000,98980000,64153000,- -,118264000,70923000,45318000,1411473000,1392883000,1358574000,- -,1301537000,1305780000,1351365000,- -,1339587000,1321585000,1294153000,1247212000,- -,1224960000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,202800000,284900000,261200000,548400000,- -,530300000,6070000,23400000,98980000,64153000,- -,118264000,591978000,514096000,2265248000,2273902000,2242218000,- -,2177738000,2148324000,2173927000,- -,2110368000,2064919000,2042037000,2003123000,- -,1976009000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31500000,- -,10400000,- -,42100000,- -,- -,- -,- -,- -,- -,- -,107020000,107223000,- -,113283000,83197000,74054000,- -,58369000,285091000,274137000,302555000,- -,312795000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92600000,- -,87200000,- -,69600000,- -,- -,- -,- -,- -,4050000,- -,475538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,56700000,40200000,-57200000,- -,-48800000,86204000,-17500000,83797000,99599000,- -,175509000,88217000,261293000,229162000,-379284000,77164000,- -,52013000,43621000,64521000,- -,95470000,79516000,96907000,100461000,- -,120057000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,563100000,673200000,408700000,649100000,- -,610400000,132371000,178600000,298001000,269983000,- -,397207000,1168679000,1284313000,4264782000,4096424000,3977866000,- -,3593372000,3440629000,3583740000,- -,3492151000,3692585000,3626317000,4440482000,- -,4352383000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,922200000,1086000000,854400000,1004900000,- -,1019900000,1067424000,868400000,968891000,1042965000,- -,1066973000,1560449000,1454567000,4645620000,4975416000,4732654000,- -,4303199000,4363040000,4145842000,- -,4108720000,4096938000,4292035000,4994529000,- -,5040006000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,59200000,61900000,52400000,63200000,- -,58300000,11923000,2900000,18998000,16314000,- -,22912000,48595000,54297000,139340000,103454000,81361000,- -,70826000,83700000,80463000,- -,53681000,22764000,21741000,22701000,- -,31063000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,52100000,83500000,93600000,- -,- -,- -,17017000,- -,34422000,35637000,- -,52548000,22682000,27802000,30426000,22127000,18415000,- -,12911000,38543000,53777000,- -,23290000,30172000,31655000,77530000,- -,86413000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28593000,21791000,23581000,- -,19925000,19924000,20811000,23926000,- -,27162000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,111700000,109200000,104500000,162500000,- -,142800000,309794000,130200000,107032000,110466000,- -,130384000,159299000,125064000,332723000,349566000,321710000,- -,203125000,227283000,205984000,- -,191803000,174226000,230789000,249467000,- -,295832000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000000,254600000,250500000,225700000,- -,201100000,338734000,133100000,160452000,162417000,- -,205844000,230576000,207163000,502489000,475147000,421486000,- -,286862000,349526000,340224000,- -,268774000,227162000,284185000,349698000,- -,413308000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,612100000,763300000,500500000,604700000,- -,699000000,291718000,289000000,352700000,483280000,- -,446479000,701916000,711531000,1081151000,1500784000,1553987000,- -,1444651000,1425285000,1394366000,- -,2402823000,2724230000,2752783000,3636145000,- -,3589564000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13195000,11460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,38000000,34500000,- -,- -,- -,69922000,- -,60967000,48697000,- -,20002000,13748000,- -,475243000,- -,412293000,- -,438217000,482499000,493843000,- -,459713000,299053000,269160000,270759000,- -,280755000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,24400000,9400000,28400000,130500000,- -,108900000,84740000,113900000,62030000,60965000,- -,80821000,125342000,86041000,203292000,649951000,170254000,- -,147614000,176244000,199833000,- -,224496000,273290000,337458000,221568000,- -,206783000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,659200000,810700000,563400000,735200000,- -,807900000,446380000,402900000,475697000,592942000,- -,547302000,841006000,797572000,1759686000,2163930000,2147994000,- -,2030482000,2084028000,2088042000,- -,3087032000,3296573000,3359401000,4128472000,- -,4077102000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467964000,455636000,1433364000,- -,1428852000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,882200000,1065300000,813900000,960900000,- -,1009000000,785114000,536000000,636149000,755359000,- -,753146000,1071582000,1004735000,2262175000,2639077000,2569480000,- -,2317344000,2433554000,2428266000,- -,3355806000,3523735000,3643586000,4478170000,- -,4490410000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,- -,3600000,3555000,3000000,2955000,8865000,- -,8865000,9321000,9357000,47042000,47042000,47042000,- -,47042000,47042000,47042000,- -,47042000,47042000,47042000,47042000,- -,47042000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60900000,-97900000,-111800000,-115400000,- -,-100800000,350561000,359700000,360995000,341642000,- -,337415000,182555000,167267000,-357541000,-380480000,-412464000,- -,-467007000,-492215000,-445917000,- -,-356632000,-163289000,146277000,185725000,- -,238674000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-208800000,-224800000,-116900000,-6000000,- -,-2800000,-11904000,1600000,-832000,10695000,- -,56585000,14852000,-2098000,-43253000,-5685000,7017000,- -,5981000,-10337000,-31294000,- -,-70823000,-46198000,-61673000,-53828000,- -,-49641000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,309700000,343400000,269200000,161800000,- -,110900000,- -,- -,-30376000,-73596000,- -,-99726000,267914000,- -,- -,- -,- -,- -,2399839000,2384996000,2147745000,- -,1133327000,735648000,516803000,337420000,- -,313521000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,20700000,40500000,44000000,- -,10900000,282310000,332400000,332742000,287606000,- -,303139000,474642000,448874000,2383291000,2336339000,2163174000,- -,1985855000,1929486000,1717576000,- -,752914000,573203000,648449000,516359000,- -,549596000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,922200000,1086000000,854400000,1004900000,- -,1019900000,1067424000,868400000,968891000,1042965000,- -,1056285000,1546224000,1453609000,4645466000,4975416000,4732654000,- -,4303199000,4363040000,4145842000,- -,4108720000,4096938000,4292035000,4994529000,- -,5040006000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10688000,14225000,958000,154000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,922200000,1086000000,854400000,1004900000,- -,1019900000,1067424000,868400000,968891000,1042965000,- -,1066973000,1560449000,1454567000,4645620000,4975416000,4732654000,- -,4303199000,4363040000,4145842000,- -,4108720000,4096938000,4292035000,4994529000,- -,5040006000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069795000008/0000030697-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069796000011/0000030697-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069797000035/0000030697-97-000035-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069798000080/0000030697-98-000080-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/30697/000095011701000685/0000950117-01-000685-index.html,https://www.sec.gov/Archives/edgar/data/30697/000095011702000649/0000950117-02-000649-index.html,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/30697/000093041307001881/c46998_10k.htm,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069713000003/0000030697-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069714000006/twc10k2013.htm,https://www.sec.gov/Archives/edgar/data/30697/000003069715000003/twc10k2014.htm,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069716000011/0000030697-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069718000003/0000030697-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069719000004/0000030697-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/30697/000003069720000002/0000030697-20-000002-index.html,undefined,https://www.sec.gov/Archives/edgar/data/30697/000003069721000002/0000030697-21-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,15300000,- -,- -,-12900000,-17600000,-7500000,-59900000,-8100000,-37000000,-13900000,-3700000,- -,14600000,461921000,52416000,1343000,-10838000,- -,13941000,-11329000,16081000,-479741000,5062000,-4325000,- -,7083000,45487000,121434000,- -,161142000,194029000,460115000,136940000,- -,117832000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,46800000,48900000,52000000,44400000,51500000,46900000,52700000,44400000,- -,45800000,5434000,8572000,8442000,16385000,- -,22912000,68338000,75360000,88315000,190251000,182172000,- -,154174000,200219000,159860000,- -,153732000,125687000,128879000,131693000,- -,132775000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-5300000,-4600000,-7600000,- -,-5100000,-1500000,- -,- -,- -,- -,9745000,-1054000,-1398000,-3585000,- -,-6101000,-874000,-10777000,-105276000,-40127000,-29779000,- -,-31598000,12853000,69540000,- -,89026000,-119330000,-6568000,837000,- -,10266000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15294000,13704000,- -,11473000,19613000,28243000,- -,23231000,20928000,17918000,18676000,- -,18930000
77,Change in Working Capital,- -,- -,- -,- -,- -,8800000,10900000,9800000,-13100000,-42000000,-25500000,-5000000,-1600000,- -,-5400000,3652000,-3706000,-3784000,-9057000,- -,4195000,-7239000,3468000,-26895000,-2735000,-48125000,- -,-50094000,8715000,-43670000,- -,-97942000,-18277000,57389000,18571000,- -,6577000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6074000,- -,- -,- -,174000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,4100000,-5100000,-13400000,12900000,2500000,-2500000,-15800000,5800000,- -,10600000,- -,- -,69000,-142000,- -,194000,1072000,-987000,-140000,1879000,394000,- -,-561000,1477000,706000,- -,-62000,-305000,-434000,-163000,- -,-841000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15795000,- -,-9266000,-380000,-3105000,- -,-7787000,-2290000,-145000,1054000,- -,1620000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23640000,164000,13955000,-2720000,- -,49052000
82,Other Non-Cash Items,- -,- -,-15300000,- -,- -,23400000,24900000,32000000,67800000,-4000000,400000,2700000,-13300000,- -,-37000000,-431474000,-230807000,19619000,-29574000,- -,-53715000,553082000,-64041000,595688000,131053000,112603000,- -,99377000,42960000,-80631000,- -,-116709000,48603000,-433505000,-17784000,- -,-2019000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,60800000,62500000,78700000,39200000,-7700000,-16700000,36500000,25800000,- -,18000000,49278000,-174579000,24222000,-36669000,- -,-18768000,601978000,20091000,72091000,298798000,226250000,- -,190415000,329847000,254776000,- -,212480000,251640000,224228000,288933000,- -,284361000
84,CAPEX,- -,- -,- -,- -,- -,-47300000,-37800000,-25300000,-23800000,-80400000,-70000000,-30100000,-332500000,- -,-24800000,-11955000,-25386000,-107000,-5270000,- -,-12535000,-80250000,-72990000,-106989000,-101914000,-147969000,- -,-197590000,-224245000,-298471000,- -,-251622000,-81710000,-69857000,-74453000,- -,-68969000
