,https://roic.ai/company/SAH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,34800000,49800000,154700000,338600000,656070000,773445000,855723000,866973000,914976000,960474000,963234000,995012000,846763000,879370000,931807000,993120000,994311000,1057132000,1125693000,1179364000,1188302000,1236717000,1238948000,1192543000,1119689000,1375800000
11,COGS and Expenses,365800000,521100000,1551000000,3235000000,5843359000,6136068000,6835808000,6827497000,7172733000,7634058000,7703726000,8040360000,5896000000,5966711000,6697973000,7655275000,8124626000,8598693000,8956892000,9389051000,9490807000,9646249000,9744453000,10125869000,9463086000,11857900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92693000,111455000,91793000,87045000,63979000,63923000,59183000,62569000,70247000,83800000,100501000,101870000,66239000,59900000
14,Depreciation and Amortization,1100000,1300000,4600000,11700000,22714000,25790000,9759000,13341000,18178000,24254000,26363000,33861000,36378000,36091000,35292000,43485000,47479000,55608000,59419000,69442000,78181000,89587000,94234000,89954000,87575000,93800000
15,EBITDA,6000000,7200000,34300000,84600000,142586000,155834000,183144000,131111000,161107000,178505000,174271000,203740000,-687704000,145843000,199510000,255166000,250531000,245492000,278987000,275387000,302317000,280341000,269307000,391069000,118329000,611900000
16,EBITDA ratio,0.0159,0.0134,0.0214,0.0252,0.0236,0.0246,0.0259,0.0186,0.0218,0.0226,0.0219,0.0244,-0.1140,0.0238,0.0290,0.0324,0.0299,0.0278,0.0303,0.0286,0.0311,0.0284,0.0271,0.0374,0.0121,0.0494
17,Operating Income,10800000,14900000,52700000,115800000,209117000,201289000,235207000,206718000,222204000,250784000,268348000,296573000,-673008000,140484000,182622000,214848000,240402000,234603000,233613000,217293000,232909000,211565000,177663000,307706000,33939000,538400000
18,Operating Income ratio,0.0287,0.0278,0.0329,0.0346,0.0346,0.0318,0.0333,0.0294,0.0300,0.0318,0.0337,0.0356,-0.1115,0.0229,0.0265,0.0273,0.0287,0.0265,0.0254,0.0226,0.0239,0.0214,0.0179,0.0294,0.0035,0.0434
19,Total Other Income Expenses (Gains),-5900000,-9000000,-23000000,-42900000,-89245000,-71245000,-59877000,-72673000,-69635000,-86603000,-102991000,-107360000,-91967000,-118125000,-104201000,-88819000,-99169000,-105582000,-71886000,-72137000,-77697000,-103441000,-102351000,-108061000,-68703000,-80200000
20,Income Before Tax,4900000,5900000,29700000,72900000,119872000,130044000,175330000,134045000,152569000,164181000,165357000,189213000,-764975000,22359000,78421000,126029000,141233000,129021000,161727000,145156000,155212000,108124000,75312000,199645000,-34764000,458200000
21,Income Before Tax Ratio,0.0130,0.0110,0.0185,0.0218,0.0198,0.0205,0.0248,0.0191,0.0206,0.0208,0.0207,0.0227,-0.1268,0.0036,0.0114,0.0160,0.0169,0.0146,0.0176,0.0151,0.0159,0.0110,0.0076,0.0191,-0.0036,0.0370
22,Income Tax expense (Gain),1900000,2200000,11100000,28300000,45700000,50715000,66821000,46210000,56858000,62390000,66791000,74377000,-130848000,-33251000,-17504000,48382000,49972000,44343000,63168000,57065000,60696000,13971000,22922000,55108000,15900000,109300000
23,Net Income,3000000,3700000,18600000,44600000,74172000,79329000,106564000,71560000,86071000,91861000,81117000,95502000,-685927000,31548000,89929000,76254000,89101000,81618000,97217000,86311000,93193000,92983000,51650000,144137000,-51385000,348900000
24,Net Income ratio,0.0080,0.0069,0.0116,0.0133,0.0123,0.0125,0.0151,0.0102,0.0116,0.0117,0.0102,0.0115,-0.1137,0.0051,0.0131,0.0097,0.0107,0.0092,0.0106,0.0090,0.0096,0.0094,0.0052,0.0138,-0.0053,0.0281
25,EPS,0.24,0.27,0.81,1.41,1.74,1.96,2.55,1.75,2.08,2.20,1.92,2.25,-17.00,0.71,1.70,1.44,1.64,1.54,1.86,1.71,2.04,2.11,1.21,3.35,-1.21,8.37
26,EPS Diluted,0.24,0.27,0.74,1.27,1.69,1.91,2.47,1.69,2.00,2.12,1.85,2.13,-17.00,0.62,1.49,1.29,1.53,1.53,1.84,1.70,2.03,2.09,1.20,3.30,-1.21,8.04
27,Weighted Average Shares Outstanding,12500000,13898000,22852000,31744000,42518000,40541000,41728000,40920000,41375000,41817000,42336000,42479000,40356000,43836000,52214000,52358000,53550000,52556000,52065000,50489000,45637000,43997000,42708000,43016000,42483000,41561000
28,Weighted Average Shares Outstanding Diluted,12500000,13898000,24970000,35248000,43826000,41609000,43158000,42421000,45217000,45533000,46265000,46941000,40356000,55832000,65794000,65464000,60406000,52941000,52563000,50883000,45948000,44358000,42950000,43710000,42483000,43285000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043509/000095016898001047/0000950168-98-001047-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095016899001029/0000950168-99-001029-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095016800000796/0000950168-00-000796-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095016801000711/0000950168-01-000711-index.html,- -,https://www.sec.gov/Archives/edgar/data/1043509/000095016803000816/0000950168-03-000816-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312504037323/0001193125-04-037323-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312505043662/0001193125-05-043662-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312506054575/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312507056850/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312508043468/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312509069485/0001193125-09-069485-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095012310016392/0000950123-10-016392-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095012311017641/g26231e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312512096732/0001193125-12-096732-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312513127041/0001193125-13-127041-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312514080200/d648534d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000156459015001112/sah-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1043509/000156459016013579/0001564590-16-013579-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000156459017002476/0001564590-17-002476-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000156459018003800/0001564590-18-003800-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000162828019001674/0001628280-19-001674-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000104350920000006/0001043509-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000104350921000004/0001043509-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1043509/000104350922000004/0001043509-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6700000,18300000,51800000,83100000,109325000,127943000,10576000,82082000,9991000,7566000,12696000,16514000,6971000,30035000,21842000,1913000,3371000,3016000,4182000,3625000,3108000,6352000,5854000,29103000,170313000,299400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6700000,18300000,51800000,83100000,109325000,127943000,10576000,82082000,9991000,7566000,12696000,16514000,6971000,30035000,21842000,1913000,3371000,3016000,4182000,3625000,3108000,6352000,5854000,29103000,170313000,299400000
34,Net Receivables,11900000,19800000,41400000,104200000,127865000,134968000,297859000,306498000,357403000,396225000,385849000,347309000,247025000,232969000,239634000,303279000,345294000,354138000,371994000,378520000,430242000,482126000,438186000,432742000,371666000,401100000
35,Inventory,71500000,156500000,265000000,630900000,773785000,664258000,929450000,1046909000,1095057000,1016457000,991984000,1093017000,916837000,795275000,903221000,863133000,1177966000,1282138000,1311702000,1599581000,1570701000,1512745000,1528461000,1517875000,1247254000,1261200000
36,Other Current Assets,1300000,2800000,6600000,17400000,26428000,29127000,63742000,118708000,129092000,196452000,222603000,123221000,423398000,27104000,25653000,12404000,84402000,92893000,81081000,101386000,26993000,18574000,20886000,37890000,93334000,122400000
37,Total Current Assets,91400000,197400000,364800000,835600000,1037403000,956296000,1301627000,1554197000,1591543000,1616700000,1613132000,1580061000,1594231000,1085383000,1190350000,1180729000,1611033000,1732185000,1768959000,2083112000,2031044000,2019797000,1993387000,2017610000,1882567000,2084100000
38,PP&E,12500000,19100000,26300000,63700000,72966000,98972000,121936000,125356000,134490000,148267000,220551000,286591000,369892000,382085000,436260000,552037000,595124000,702011000,799319000,886902000,1010380000,1146881000,1178489000,1469780000,1510969000,1931900000
39,Goodwill,- -,- -,- -,- -,- -,738103000,- -,- -,- -,- -,1155428000,1276074000,327007000,469482000,468516000,468465000,454224000,476315000,475929000,471493000,472437000,525780000,509592000,475791000,213977000,416400000
40,Intangible Assets,4300000,74400000,180100000,592700000,668782000,- -,937694000,984321000,1141701000,1211234000,94136000,111342000,82328000,80806000,79149000,76276000,70521000,87866000,83720000,80876000,80233000,74589000,69705000,64300000,64300000,480200000
41,Intangible Assets,4300000,74400000,180100000,592700000,668782000,738103000,937694000,984321000,1141701000,1211234000,1249564000,1387416000,409335000,550288000,547665000,544741000,524745000,564181000,559649000,552369000,552670000,600369000,579297000,540091000,278277000,896600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2800000,600000,4900000,9100000,10097000,12555000,14051000,22355000,33877000,49300000,41517000,28676000,37243000,51099000,76489000,62122000,45820000,52793000,55208000,39998000,45242000,51471000,45634000,43554000,74180000,62500000
45,Total Non-Current Assets,19600000,94100000,211300000,665500000,751845000,849630000,1073681000,1132032000,1310068000,1408801000,1511632000,1702683000,816470000,983472000,1060414000,1158900000,1165689000,1318985000,1414176000,1479269000,1608292000,1798721000,1803420000,2053425000,1863426000,2891000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,111000000,291500000,576100000,1501100000,1789248000,1805926000,2375308000,2686229000,2901611000,3025501000,3124764000,3282744000,2410701000,2068855000,2250764000,2339629000,2776722000,3051170000,3183135000,3562381000,3639336000,3818518000,3796807000,4071035000,3745993000,4975100000
48,Accounts Payable,3600000,6600000,15000000,48400000,50274000,44802000,58560000,63577000,88616000,91101000,68016000,66026000,53215000,55345000,59719000,86902000,120981000,126025000,132405000,131204000,117740000,129903000,114263000,135217000,105098000,133300000
49,Short-Term Debt,- -,133800000,235900000,520000000,687315000,590500000,852926000,997757000,1053828000,992065000,1067165000,1129867000,1672360000,787355000,871035000,879949000,542610000,588877000,581920000,658804000,718356000,770412000,739270000,793027000,853117000,1318100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,68000000,12300000,34800000,89500000,80732000,101951000,126898000,135595000,190931000,237328000,296512000,230224000,424205000,164201000,174833000,189824000,860564000,879634000,932681000,1124613000,1100784000,1054517000,1092314000,1137912000,873198000,440300000
53,Total Current Liabilities,71600000,152700000,285700000,657900000,818321000,737253000,1038384000,1196929000,1333375000,1320494000,1431693000,1426117000,2149780000,1006901000,1105587000,1156675000,1524155000,1594536000,1647006000,1914621000,1936880000,1954832000,1945847000,2066156000,1831413000,1891700000
54,Long-Term Debt,5300000,38600000,131300000,417300000,485212000,511877000,637545000,694898000,668826000,712311000,598627000,697800000,- -,552150000,546401000,536011000,610798000,730157000,742610000,781145000,839675000,963389000,918779000,977442000,1010677000,1911000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1100000,4400000,4100000,8500000,21093000,28199000,40616000,76933000,100835000,132419000,151034000,144170000,- -,- -,- -,- -,10768000,31552000,57601000,73322000,76447000,51619000,33178000,8927000,345000,- -
57,Other Non-Current Liabilities,6400000,11400000,12600000,14800000,13700000,11336000,21585000,19136000,28888000,29479000,39570000,83829000,71132000,141052000,134081000,124201000,104456000,81286000,69200000,64245000,61170000,61918000,75887000,73746000,88753000,96000000
58,Total Non-Current Liabilities,12800000,54400000,148000000,440600000,520005000,551412000,699746000,790967000,798549000,874209000,789231000,925799000,71132000,693202000,680482000,660212000,726022000,842995000,869411000,918712000,977292000,1076926000,1027844000,1060115000,1099775000,2007000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385360000,404708000,489200000
61,Total Liabilities,84400000,207100000,433700000,1098500000,1338326000,1288665000,1738130000,1987896000,2131924000,2194703000,2220924000,2351916000,2220912000,1700103000,1786069000,1816887000,2250177000,2437531000,2516417000,2833333000,2914172000,3031758000,2973691000,3126271000,2931188000,3898700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,400000,456000,469000,492000,505000,518000,524000,537000,545000,550000,671000,678000,685000,735000,737000,741000,747000,751000,756000,763000,768000,777000,800000
64,Retained Earnings,13000000,16200000,34700000,79400000,153564000,232893000,339457000,402799000,470663000,542374000,598293000,664280000,-40597000,-35180000,53427000,124383000,208048000,284368000,376353000,457010000,541146000,625356000,670691000,790158000,721770000,1051700000
65,Other Comprehensive Income/Loss,-5600000,-6200000,-7300000,-9500000,-14645000,-20768000,-22197000,-30295000,-42370000,-164402000,-138322000,-15000000,-37000000,-22000000,-19000000,-21000000,-20000000,-9000000,-6000000,-6000000,-2000000,1000000,4000000,-2062000,-3616000,-1300000
66,Other Total Stockholders Equity,18900000,74400000,115000000,332300000,311547000,304667000,319426000,325324000,340876000,452302000,443332000,281003000,266836000,425261000,429590000,418674000,337762000,337534000,295624000,277291000,185267000,159648000,147662000,155900000,95874000,25200000
67,Total Stockholders Equity,26300000,84400000,142400000,402600000,450922000,517261000,637178000,698333000,769687000,830798000,903840000,930828000,189789000,368752000,464695000,522742000,526545000,613639000,666718000,729048000,725164000,786760000,823116000,944764000,814805000,1076400000
68,Total Liabilities And Stockholders Equity,110700000,291500000,576100000,1501100000,1789248000,1805926000,2375308000,2686229000,2901611000,3025501000,3124764000,3282744000,2410701000,2068855000,2250764000,2339629000,2776722000,3051170000,3183135000,3562381000,3639336000,3818518000,3796807000,4071035000,3745993000,4975100000
69,Minority Interest,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,111000000,291500000,576100000,1501100000,1789248000,1805926000,2375308000,2686229000,2901611000,3025501000,3124764000,3282744000,2410701000,2068855000,2250764000,2339629000,2776722000,3051170000,3183135000,3562381000,3639336000,3818518000,3796807000,4071035000,3745993000,4975100000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043509/000095016898001047/0000950168-98-001047-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095016899001029/0000950168-99-001029-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095016800000796/0000950168-00-000796-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095016801000711/0000950168-01-000711-index.html,- -,https://www.sec.gov/Archives/edgar/data/1043509/000095016803000816/0000950168-03-000816-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312504037323/0001193125-04-037323-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312505043662/0001193125-05-043662-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312506054575/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312507056850/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312508043468/d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312509069485/0001193125-09-069485-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095012310016392/0000950123-10-016392-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000095012311017641/g26231e10vk.htm,https://www.sec.gov/Archives/edgar/data/1043509/000119312512096732/0001193125-12-096732-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312513127041/0001193125-13-127041-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000119312514080200/d648534d10k.htm,https://www.sec.gov/Archives/edgar/data/1043509/000156459015001112/sah-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1043509/000156459016013579/0001564590-16-013579-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000156459017002476/0001564590-17-002476-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000156459018003800/0001564590-18-003800-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000162828019001674/0001628280-19-001674-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000104350920000006/0001043509-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1043509/000104350921000004/0001043509-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1043509/000104350922000004/0001043509-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3000000,3700000,18600000,44600000,74172000,79329000,106564000,71560000,86071000,91861000,81117000,95502000,-685927000,31548000,89929000,76254000,89101000,81618000,97217000,86311000,93193000,92983000,51650000,144137000,-51385000,348900000
74,Depreciation and Amortization,1100000,1300000,4600000,11700000,22714000,25790000,9759000,13341000,18178000,24254000,26363000,33861000,36378000,36091000,35292000,43485000,47479000,55608000,59419000,69442000,78181000,89587000,94234000,89954000,87575000,93800000
75,Deferred Income Tax,-200000,-300000,2200000,2100000,12384000,11788000,15048000,18610000,15781000,30731000,10572000,24028000,-141143000,-30590000,-28331000,28916000,22496000,21924000,28470000,15996000,14465000,-27760000,-20606000,-20845000,-33677000,12300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2211000,603000,513000,438000,122000,7208000,7675000,9814000,11165000,11119000,11853000,10797000,11704000,15000000
77,Change in Working Capital,-1500000,24900000,34400000,98600000,41382000,-39000,44200000,94025000,-99100000,38038000,-114767000,-27495000,-709493000,634031000,6281000,-60709000,62824000,50771000,-15696000,46538000,-74327000,-29199000,-17425000,-7998000,422000,-179500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-14000000,1400000,12000000,-45700000,-72080000,219135000,-27254000,-122789000,28055000,36123000,-20049000,-17003000,5204000,307803000,-121935000,40201000,-347633000,-78646000,-56203000,-291100000,35545000,57250000,-78701000,-78523000,278098000,252400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38363000,3920000,15689000,24057000,21636000,-11984000,190000,5190000,14953000,16612000,15987000,-21396000,-55474000,7300000
81,Other Working Capital,19800000,44700000,79100000,177700000,219082000,219043000,263243000,357268000,258168000,296206000,181439000,153944000,-555549000,78482000,84763000,24054000,86878000,137649000,121953000,168491000,94164000,64965000,47540000,47472000,-11368000,- -
82,Other Non-Cash Items,-300000,-21900000,-30000000,-110900000,-44456000,29686000,-36688000,-59587000,188820000,-99124000,-65149000,-91845000,1618613000,-268102000,151355000,65246000,-289400000,-90681000,-16435000,-158610000,93691000,26153000,23969000,-45131000,266440000,15800000
83,Cash Provided by Operating Activities,2100000,7700000,29800000,46100000,106196000,146554000,138883000,137949000,209750000,85760000,-61864000,34051000,120639000,403581000,255039000,153630000,-67378000,126448000,160650000,69491000,216368000,162883000,143675000,170914000,281079000,306300000
84,CAPEX,-1900000,-87700000,-76500000,-382200000,-73171000,-43600000,-92516000,-96075000,-104377000,-81638000,-99848000,-78295000,-137094000,-43277000,-85194000,-158716000,-95376000,-157617000,-146432000,-173249000,-206232000,-234245000,-163619000,-125576000,-127183000,-298200000
85,Acquisitions Net,- -,- -,- -,- -,-91554000,-120158000,-202365000,-68814000,-194017000,-138760000,-110371000,-149590000,-22945000,- -,- -,129000,72220000,-88184000,23956000,7978000,-15861000,-38460000,128734000,250711000,-10106000,-1012300000
86,Purchases of Investments,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,500000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805000,- -,- -
88,Other Investing Activites,-9900000,100000,1600000,13600000,55091000,26878000,59895000,76300000,98351000,88507000,92259000,32269000,44698000,33594000,26534000,1565000,1450000,1269000,14522000,1622000,1319000,596000,19554000,10841000,37105000,13100000
89,Cash Used for Investing Activites,-11500000,-86800000,-74900000,-368600000,-109634000,-136880000,-234986000,-88589000,-200043000,-131891000,-117960000,-195616000,-115341000,-9683000,-58660000,-157022000,-21706000,-244532000,-107954000,-163649000,-220774000,-272109000,-15331000,136781000,-100184000,-1297400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-922714000,-1173392000,-464240000,-333012000,-313065000,-490873000,-218816000,-417314000,-244439000,-499820000,-1039020000,-856781000,-527742000,-363800000
91,Common Stock Issued,- -,53700000,- -,87000000,2619000,9982000,12256000,14702000,15784000,9229000,19239000,13444000,5149000,101265000,1741000,645000,2333000,2171000,3274000,3662000,27000,45000,352000,60000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-6400000,-40031000,-26770000,-33780000,-24307000,-20917000,-5584000,-15056000,-48865000,-28648000,-61000,-1113000,-10987000,-82924000,-17067000,-53046000,-34483000,-99971000,-37347000,-24110000,-2381000,-71721000,-93300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-4099000,-17365000,-20077000,-20406000,-20931000,-19106000,-4860000,- -,-5286000,-6743000,-3993000,-5261000,-5078000,-8701000,-8851000,-9827000,-15493000,-17133000,-18300000
94,Other Financing Activites,7100000,37000000,78600000,273200000,67064000,25732000,128203000,35850000,-59300000,60138000,201177000,221735000,950478000,706214000,259040000,332103000,490941000,627491000,222319000,546814000,356973000,658443000,943763000,590149000,576911000,1595600000
95,Cash Used/Provided by Financing Activities,7100000,90700000,78600000,353800000,29652000,8944000,106679000,22146000,-81798000,43706000,184954000,165383000,-14841000,-370834000,-204572000,-16537000,90542000,117729000,-51530000,93601000,3889000,112470000,-128842000,-284446000,-39685000,1120200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7100000,90700000,78600000,31300000,26214000,18618000,106679000,71506000,-72091000,-2425000,5130000,3818000,-9543000,23064000,-8193000,-19929000,1458000,-355000,1166000,-557000,-517000,3244000,-498000,23249000,141210000,129100000
98,Cash at the End of Period,- -,- -,- -,83100000,109325000,127943000,10576000,82082000,9991000,7566000,12696000,16514000,6971000,30035000,21842000,1913000,3371000,3016000,4182000,3625000,3108000,6352000,5854000,29103000,170313000,299400000
99,Cash at the Beginning of Period,9000000,6700000,18300000,51800000,83111000,109325000,- -,10576000,82082000,9991000,7566000,12696000,16514000,6971000,30035000,21842000,1913000,3371000,3016000,4182000,3625000,3108000,6352000,5854000,29103000,170300000
100,Free Cash Flow,200000,-80000000,-46700000,-336100000,33025000,102954000,46367000,41874000,105373000,4122000,-161712000,-44244000,-16455000,360304000,169845000,-5086000,-162754000,-31169000,14218000,-103758000,10136000,-71362000,-19944000,45338000,153896000,8100000
