,https://roic.ai/company/TMP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4800000,5900000,7500000,10100000,8700000,11200000,11500000,11900000,15500000,15401000,28370000,19409000,22492000,34438000,35867000,38187000,37554000,37573000,61531000,23864000,64854000,71991000,61776000,83706000,77363000,82444000,90860000,86065000,107265000,101615000,101387000,121177000
84,CAPEX,- -,- -,- -,- -,-700000,-600000,-1400000,-1300000,-2300000,-1100000,-800000,-900000,-1600000,-2434000,-5547000,-3738000,-4928000,-4342000,-7799000,-6814000,-9562000,-5414000,-2652000,-5165000,-3531000,-3310000,-7070000,-6545000,-9040000,-6343000,-16056000,-35290000,-18084000,-6014000,-4551000,-4741000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1058000,-21000,-274000,-484000,- -,-3294000,-314000,12176000,- -,- -,-243000,4289000,- -,-415000,- -,-218000,- -,- -,-436000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-97100000,-100200000,-92400000,-56700000,-57100000,-61600000,-88600000,-78200000,-107200000,-122467000,-56629000,-254210000,-386808000,-501759000,-316067000,-245806000,-175284000,-234983000,-382630000,-531832000,-513151000,-553478000,-417121000,-407047000,-429372000,-461063000,-412735000,-214058000,-193959000,-340740000,-904913000,-1355802000
87,Sales/Maturities of Investments,- -,- -,- -,- -,71300000,66100000,80300000,75600000,59000000,52900000,67600000,71700000,103600000,107660000,59911000,217278000,273550000,420501000,291721000,231960000,153706000,203967000,309936000,357716000,390800000,483579000,539415000,380022000,321190000,399103000,353528000,238799000,228434000,545164000,587950000,596414000
88,Other Investing Activites,- -,- -,- -,- -,-7000000,-12100000,-23100000,-47800000,-26900000,-22200000,-32000000,-28400000,-41600000,-71386000,-109081000,-89847000,-107200000,-125044000,-115644000,-110330000,-94979000,-123219000,-232183000,-98680000,-7913000,-79164000,-92254000,-244812000,-193118000,-384617000,-498012000,-416402000,-159991000,-63988000,-322205000,180835000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-32800000,-46200000,-35200000,-28900000,-25000000,-30900000,-53000000,-34900000,-45200000,-86193000,-105799000,-127837000,-220479000,-206576000,-140474000,-124176000,-119851000,-154549000,-292701000,-277961000,-133795000,-152616000,27259000,-278382000,-310755000,-452920000,-573493000,-426951000,-143600000,133986000,-643719000,-583294000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6961000,- -,- -,-9744000,-80847000,-40436000,-78207000,-94011000,-83974000,-82655000,-75981000,-44066000,-157562000,-93981000,-94927000,-314606000,-272630000,-412245000,-585152000,-520159000,-944828000,-471807000,-173079000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631000,4150000,- -,39894000,4086000,2300000,-145000,2366000,1578000,-1403000,- -,1825000,2000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178000,- -,-13000,- -,- -,-4602000,-3505000,-1166000,- -,-2448000,-30859000,-9667000,-23773000
93,Dividends Paid,- -,- -,- -,- -,-1700000,-1900000,-2300000,-2900000,-3200000,-3500000,-3800000,-4000000,-4400000,-6159000,-7696000,-8136000,-8577000,-9093000,-9769000,-10504000,-11307000,-12023000,-12728000,-13208000,-14381000,-15420000,-19021000,-22463000,-23983000,-25411000,-26603000,-27627000,-29634000,-30637000,-31359000,-32415000
94,Other Financing Activites,- -,- -,- -,- -,21300000,41300000,28700000,23200000,19300000,15800000,49800000,26800000,35700000,92032000,95701000,95317000,236489000,263536000,129988000,199565000,173992000,210658000,328943000,335946000,127441000,253522000,53436000,271934000,547469000,674354000,925978000,972436000,586065000,828316000,1303820000,366027000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,19600000,39400000,26400000,20300000,16100000,12300000,46000000,22800000,31300000,78912000,88005000,87181000,218168000,173596000,79783000,110854000,68674000,114661000,233560000,247210000,73144000,80527000,-19672000,158630000,206578000,372663000,488330000,361235000,32421000,-178008000,792812000,136762000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,100000,- -,- -,- -,- -,100000,100000,- -,100000,8120000,10576000,-21247000,20181000,1458000,-24824000,24865000,-13623000,-2315000,2390000,-6887000,4203000,-98000,69363000,-36046000,-26814000,2187000,5697000,20349000,-3914000,57593000,250480000,-325355000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54788000,65364000,44117000,64298000,65756000,40932000,65797000,52174000,49859000,52249000,45462000,49665000,49567000,118930000,82884000,56070000,58257000,63954000,84303000,80389000,137982000,388462000,63107000
99,Cash at the Beginning of Period,- -,- -,- -,- -,37200000,28900000,28000000,26800000,28300000,28100000,20800000,25300000,25100000,46668000,54788000,65364000,44117000,64298000,65756000,40932000,65797000,52174000,49859000,52349000,45462000,49665000,49567000,118930000,82884000,56070000,58257000,63954000,84303000,80389000,137982000,388462000
100,Free Cash Flow,- -,- -,- -,- -,4100000,5300000,6100000,8800000,6400000,10100000,10700000,11000000,13900000,12967000,22823000,15671000,17564000,30096000,28068000,31373000,27992000,32159000,58879000,18699000,61323000,68681000,54706000,77161000,68323000,76101000,74804000,50775000,89181000,95601000,96836000,116436000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005817/000095013097001271/0000950130-97-001271-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905698000152/0001019056-98-000152-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905699000161/0001019056-99-000161-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905600000194/0001019056-00-000194-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905601500028/0001019056-01-500028-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905602000199/0001019056-02-000199-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905603000280/0001019056-03-000280-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905604000375/0001019056-04-000375-index.html,https://www.sec.gov/Archives/edgar/data/1005817/000101905605000312/0001019056-05-000312-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005817/000101905608000417/0001019056-08-000417-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905609000317/0001019056-09-000317-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905610000306/0001019056-10-000306-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000101905611000330/0001019056-11-000330-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713112000608/0001387131-12-000608-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713113000822/0001387131-13-000822-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713114000894/0001387131-14-000894-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713115000903/0001387131-15-000903-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000138713116004584/0001387131-16-004584-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581717000004/0001005817-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581718000002/0001005817-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581719000003/0001005817-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581720000005/0001005817-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581721000004/0001005817-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005817/000100581722000003/0001005817-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
